6239.M117.2.1	P41932
6239.C50B8.3	Q18726
6239.Y18D10A.9	Q9XW12
6239.C02F5.4	P34281
6239.T20G5.2.2	P34575
6239.F25B5.5.1	Q09316
6239.Y113G7B.16	Q9U2Y2
6239.C52B9.1a	Q22942
6239.B0285.8	P46558
6239.B0285.9	P46559
6239.B0285.10	P46560
6239.T05A6.1	Q22197
6239.C09G4.3	Q17868
6239.EEED8.11	Q09300
6239.R13F6.8	Q21984
6239.R13F6.2	Q21985
6239.F09G8.8	P34393
6239.F58A4.5	P34472
6239.C07A9.1	P34312
6239.F32E10.3	Q19970
6239.C07H6.3	Q95YF0
6239.ZC84.3	Q03609
6239.R107.6.2	P32744
6239.ZC416.8b	P32756
6239.C01C10.1	Q11085
6239.C01C10.4	Q9NGJ7
6239.C25A1.8	Q9XVS3
6239.ZK858.3	Q94417
6239.T20G5.1.1	P34574
6239.C07H6.6	Q95YE9
6239.F59A2.4a	P52874
6239.ZK970.2d	Q27539
6239.C04C3.5b	Q6I6D4
6239.F55H2.6.1	P34466
6239.K02F3.2	Q21153
6239.F55A11.4a	Q20799
6239.F17E5.2	Q19529
6239.K07A9.2	Q9TXJ0
6239.F45E12.1b	Q20432
6239.ZC84.2	Q03611
6239.T09E8.3.2	Q22361
6239.R01H10.8	G5EEW9
6239.Y56A3A.20.2	Q17345
6239.F44A6.2.2	P41830
6239.B0222.7	Q17459
6239.F55C10.3	Q21184
6239.K04H4.1a	P17139
6239.F01G12.5b.2	P17140
6239.ZK20.4a.1	Q23450
6239.C06G3.10	Q21444
6239.Y51H7C.6a.3	Q95XZ0
6239.K07C11.9	Q21270
6239.R02D3.2	O44502
6239.B0222.8	Q17460
6239.F15H10.1.2	P20630
6239.F15H10.2	P20631
6239.C46A5.3a	P18834
6239.ZK1193.1	P18835
6239.F23H12.4a	P08124
6239.W01B6.7	P17656
6239.F36A4.10	P34687
6239.C27H5.5	P34803
6239.C09G5.4	Q09455
6239.T13B5.4	P34804
6239.ZK1290.3a	P18831
6239.K03H9.2	Q09578
6239.C09G5.3	Q09233
6239.C15A11.5	P18832
6239.C09G5.5	Q09456
6239.F11H8.3	P18833
6239.C29E4.1	P34340
6239.F09G8.6	P34391
6239.F29C4.8b	O76368
6239.F38E11.5	Q20168
6239.C13B9.3	Q09236
6239.F45G2.4.2	O62246
6239.T14G10.5c	Q22498
6239.F59E10.3	O17901
6239.F57B9.4b.1	Q8I7J4
6239.T03F1.2	P91428
6239.ZK652.9	P34666
6239.K07B1.2.2	O01884
6239.ZC395.2.2	P48376
6239.C35D10.4	Q18486
6239.R01H10.3c	Q21624
6239.MTCE.26	P24893
6239.MTCE.31	P24894
6239.MTCE.23	P24891
6239.Y37D8A.14.2	P55954
6239.F54D8.2.5	Q20779
6239.C35D10.17.1	Q8MNU7
6239.C40H1.1	Q03571
6239.C30B5.3	Q18317
6239.B0414.5	O01835
6239.C07G2.1a.2	Q17802
6239.B0280.5.1	P41996
6239.R06C7.4.2	Q21771
6239.C10F3.1	O16883
6239.K09E4.6	Q7YWX9
6239.K03B4.7a	Q21175
6239.Y67D8C.8	Q95XP7
6239.Y73E7A.4	Q9GUM7
6239.B0228.4c	Q09221
6239.B0495.10a	Q09219
6239.C52E4.1	P25807
6239.T10H4.12	P43507
6239.F44C4.3	P43508
6239.W07B8.5	P43509
6239.C25B8.3a	P43510
6239.Y76B12C.7.1	Q9N4C2
6239.F09G2.4	O17403
6239.F59A2.3.2	Q21018
6239.F23H11.9a.1	O01916
6239.AH9.2	Q10905
6239.K04H4.6b.2	P34508
6239.Y48E1B.12.1	O45952
6239.B0205.7	P18334
6239.T01G9.6b.3	P28548
6239.Y59A8A.1.2	Q9GS00
6239.B0025.2.1	O01422
6239.Y38C1AA.2	Q9N425
6239.Y55F3AM.15.1	Q9N359
6239.B0547.1.1	P91001
6239.Y67H2A.6b.2	Q95PZ0
6239.F14H12.4b	Q9NB31
6239.F49E10.5	Q20595
6239.F35C8.7c.2	Q20026
6239.C41C4.7a.2	Q09500
6239.B0464.2c	Q03560
6239.F29C4.6.2	O76365
6239.F29F11.3	Q19906
6239.ZC116.3	Q20911
6239.D2045.6	Q17389
6239.ZK520.4a	Q17390
6239.Y108G3AL.1.2	Q17391
6239.F45E12.3	Q17392
6239.ZK856.1	Q23639
6239.K08E7.7	Q21346
6239.C02C2.3	P34271
6239.ZC155.5b	H2KZ72
6239.C47G2.1	Q03755
6239.ZK353.7.1	P34630
6239.Y54F10AM.4a.2	Q9BL02
6239.T10C6.5.2	O45766
6239.F33A8.1.1	Q17336
6239.F55H2.5	P34465
6239.MTCE.21	P24890
6239.E04A4.7.3	P19974
6239.ZC116.2	Q23240
6239.F56A11.1	O44518
6239.B0252.4b	P52017
6239.T01B7.4.1	P52018
6239.Y49A3A.5.2	P52009
6239.ZK520.5	P52010
6239.Y75B12B.5.1	P52011
6239.F31C3.1.2	P52013
6239.F42G9.2	P52014
6239.Y75B12B.2.2	P52015
6239.D1009.2a	P52016
6239.T27D1.1	Q09637
6239.C17G1.7.1	Q93244
6239.K10H10.2.1	O45679
6239.R08E5.2a	O01592
6239.F57B10.10	P52872
6239.F33H1.1b	Q09555
6239.F29C4.1a	P20792
6239.Y48G1A.3	Q9N3Q8
6239.K07H8.3.2	O61219
6239.C12D8.5	Q17938
6239.C05D2.1a	P50488
6239.B0412.2	P92172
6239.T13C5.1a	H2KYS3
6239.K12C11.4	O44997
6239.F56D1.7	Q20870
6239.C55B7.8.2	Q966M6
6239.D2030.9a.2	P90794
6239.ZK1251.9	Q21106
6239.F47G4.7.1	O02655
6239.Y79H2A.11	Q95QC4
6239.H38K22.2a.2	Q9U3C8
6239.K11C4.4.1	P41931
6239.F52G2.1b	O62255
6239.Y113G7A.9a	G5EFS4
6239.K12H4.8	P34529
6239.F07F6.5	Q09304
6239.F25B5.1b	Q09313
6239.ZK643.2	P30648
6239.C28H8.12	Q09248
6239.Y54E10A.5.1	Q9N3F1
6239.R11D1.11	Q21929
6239.M18.5.1	Q21554
6239.ZK829.2	P34751
6239.ZK1236.7a.2	P34623
6239.T26G10.1	P34580
6239.ZK512.2a.2	P34640
6239.F20H11.1.2	O01738
6239.C47C12.6.2	P24585
6239.F33D4.4.2	O44186
6239.Y54E5A.1	G5EC63
6239.T28D9.7	Q10025
6239.E02H4.1	Q19038
6239.Y47D3A.21	Q9NAH4
6239.F09E5.3.2	Q19264
6239.F25D7.1.1	Q93561
6239.R151.6.2	Q21997
6239.C18B12.3	Q93246
6239.F42H10.7b.2	P34420
6239.F54G8.2	Q03603
6239.K06A1.6	Q10024
6239.R06C7.3.3	Q21773
6239.C47E12.8	Q18677
6239.F54F3.4	G5EGA6
6239.C10F3.2	O16881
6239.C04F6.5	Q11177
6239.F56D1.5	Q10130
6239.F33A8.5.1	O62215
6239.ZK836.2a	Q23629
6239.F56D2.6a.1	Q20875
6239.C04H5.6	O45244
6239.Y67D2.6	Q9BKQ8
6239.T07D4.3.2	Q22307
6239.Y17G7B.4	Q9XXJ0
6239.F48E8.6	Q09568
6239.F49E8.5.1	Q27257
6239.K07E12.1a.1	Q09165
6239.E02H1.1.1	Q09522
6239.F52H2.6	O17397
6239.C18A11.7a	Q18066
6239.B0432.2.2	P90994
6239.C49G7.11	O16228
6239.K01G5.5.1	O17919
6239.W09C5.5	Q9XUJ7
6239.T25E12.4a	O45818
6239.LLC1.3a.1	O17953
6239.F33E2.2a	O01700
6239.F15D3.1a	Q9TW65
6239.Y73F4A.2	Q9XWC3
6239.Y73F4A.1	Q9XWC2
6239.F22B7.5a.2	Q8TA83
6239.T15H9.7a	Q8MPX3
6239.B0035.2	Q17433
6239.C04A2.7a.2	Q09446
6239.C29A12.3a	Q27474
6239.F01F1.9	Q19087
6239.C14A4.1.1	Q17949
6239.T14E8.3b	Q6RYS9
6239.C52B11.3	Q18775
6239.ZK507.4	P34636
6239.T23F1.7b	Q7JKY3
6239.C27C12.7	Q18253
6239.F44B9.1a	P34422
6239.C14B1.5	P49958
6239.C09G5.2a	Q09454
6239.K01H12.1a	Q21102
6239.F28D1.11	Q9XVV5
6239.R01H10.1	Q21625
6239.F10C2.4	P90829
6239.F12F6.7.2	Q19366
6239.F08B4.5.2	Q19196
6239.W03A3.2	A0FLQ6
6239.T14B4.7b.1	P35800
6239.F30B5.1	P17657
6239.F22B7.10	P34413
6239.T22B3.1	P34807
6239.R13G10.1	P48996
6239.T14B4.6	P35799
6239.ZK863.6.2	Q10661
6239.F27C1.8.1	P91285
6239.F46C8.6.2	P34688
6239.C25F6.3	Q18164
6239.K04A8.6	Q94251
6239.T20B12.7.2	P41847
6239.Y119D3B.15.1	Q95Y72
6239.Y106G6A.5a	Q9XWQ1
6239.F47G6.1	Q9Y048
6239.F56C11.1	O61213
6239.C06E1.3	P34298
6239.C26D10.2a.2	Q18212
6239.F54C1.2.2	Q10660
6239.C33G3.1b.2	Q8STF6
6239.C43C3.3	Q09276
6239.F18C12.1	Q19542
6239.T21E12.4	Q19020
6239.T26A5.9.2	Q22799
6239.M18.2	Q21557
6239.C02C6.1b	P39055
6239.C36B1.7	Q93341
6239.F46C3.1	Q19192
6239.C12D12.2a.1	Q10901
6239.K08F4.4	Q21353
6239.T22E5.2.2	Q22682
6239.R05G6.6.2	Q21751
6239.H30A04.1b	Q9NL29
6239.ZK512.6	P34644
6239.F13G3.8.1	Q27295
6239.C18A3.3	Q09958
6239.T05G5.6.2	P34559
6239.R03G5.1a.3	P53013
6239.F54H12.6	P34460
6239.Y41E3.10b	Q9U2H9
6239.F17C11.9a	P54412
6239.F42A10.4a.2	O01991
6239.F25H5.4a.2	P29691
6239.F29C12.4.2	Q9XV52
6239.M142.8a.2	Q5WRN3
6239.F56A11.3	O44516
6239.C32D5.3.1	Q09263
6239.F55C5.5	Q20819
6239.K07A12.2	P90920
6239.F28C1.2b	P49809
6239.T22B7.1a	Q23045
6239.F58A3.2c	Q10656
6239.F23B12.9	O61667
6239.C04A2.3a	Q09228
6239.F28B12.2a	Q19849
6239.F55A8.2a.1	O76360
6239.C08C3.1b	P17486
6239.F37C12.2.1	Q20123
6239.ZK1098.4	P34604
6239.C15F1.4	P80361
6239.ZK856.11	Q23646
6239.E04D5.1a.1	Q19052
6239.C27D11.1.1	P34339
6239.Y54E2A.11a.1	Q9XWI6
6239.T23D8.4.1	O02328
6239.R08D7.3.1	P30642
6239.B0511.10.2	O61820
6239.D2013.7.2	Q18967
6239.F22B5.2.1	Q19706
6239.C41D11.2	O01974
6239.Y74C10AR.1	Q965S8
6239.T16G1.11.1	Q9XUP3
6239.C17G10.9a.1	Q95QW0
6239.K08F11.3.1	Q94261
6239.C56G7.3	Q09292
6239.C40H1.4	Q03574
6239.F41H10.7	Q20300
6239.F41H10.8.2	Q20303
6239.R03D7.4	Q09413
6239.Y54G11A.11.1	Q9XVZ8
6239.ZK863.3.1	Q23651
6239.C26B2.6	Q18195
6239.W09C2.1a	P28515
6239.C33D3.1	Q10655
6239.F38A6.2a	O45487
6239.F54C8.3	P34441
6239.M01D7.6.1	O01971
6239.K02A11.3	Q21109
6239.F58H1.3a	Q21012
6239.T21B10.2c.2	Q27527
6239.T05E11.3a.2	Q22235
6239.C27A7.1a	P90754
6239.C27A7.3a	P90755
6239.Y39G10AR.10.2	Q95XR4
6239.C56C10.12	Q18892
6239.K08C7.3a.1	Q21313
6239.C28H8.4.2	Q09473
6239.F09B9.3	P48583
6239.T05H4.6.1	O16520
6239.T21C9.4	Q22640
6239.T07A9.5b	O44406
6239.B0495.7.3	Q09216
6239.C44B7.11	Q18600
6239.R12A1.4.2	Q04457
6239.F13H6.3.2	Q07085
6239.F27D4.1.2	Q93615
6239.C05D11.12.1	Q11190
6239.F32A7.3a	Q9XU98
6239.Y105E8A.22	Q8WQA4
6239.F26H11.5	O45405
6239.F52E4.7	Q20678
6239.T23G7.4	Q22706
6239.F09E5.5.2	Q19262
6239.Y106G6H.7	Q9XWS2
6239.C33H5.9	Q18406
6239.C28G1.3	Q18286
6239.B0564.1a	Q17533
6239.F12F6.3.2	O01704
6239.K01G5.6	O01705
6239.K02B2.1	Q21122
6239.F37C4.5a.3	O44400
6239.B0218.1a.1	Q17449
6239.F40F4.3.1	Q20223
6239.F40F4.2.1	Q20224
6239.F40F4.4a	Q20222
6239.ZK742.5.2	Q23092
6239.W02D3.7	O01814
6239.W02D3.5.2	O01812
6239.T22G5.2	O02323
6239.Y40B10A.1a	Q965W1
6239.C04F12.10.1	Q9XVE5
6239.F48F5.5	G5EEP3
6239.C47E8.4a.2	Q18691
6239.C01G5.8	P90740
6239.F02A9.2a.1	P34382
6239.F02A9.3.2	P34383
6239.Y67H2A.8.1	Q9NEQ0
6239.W02A2.1.2	G5EGA5
6239.W08D2.4a	Q23221
6239.T13F2.1a.3	G5EG11
6239.W06D12.3	G5ED44
6239.VZK822L.1a.1	G5EGN2
6239.F10D2.9	G5EGH6
6239.C05B5.6	P34294
6239.ZK1290.9	Q09336
6239.H12I13.4	Q9N5M6
6239.F21H12.5	Q09312
6239.F56H11.1c	O77469
6239.T01C3.7.1	Q22053
6239.C26E6.5	Q18223
6239.C02B8.2	Q11092
6239.F35D6.1a	P17221
6239.T19C3.8	P49594
6239.C01F6.4a	P34691
6239.Y47G6A.8	Q9N3T2
6239.F43G9.6a	Q17388
6239.H17B01.1b	O44827
6239.R09B5.11	O44616
6239.ZK593.8	Q23544
6239.F32D1.1	O16299
6239.F22B7.4	P34407
6239.C06E1.5	P34300
6239.F13E9.3	Q19408
6239.C06E1.6	P34301
6239.ZK265.9	Q5CZ37
6239.F26A1.2	Q19802
6239.F11A6.1b	O17798
6239.R53.1a.2	Q22017
6239.B0523.5	P34268
6239.F23B2.5a	P41855
6239.W07E11.2	Q23212
6239.C03G5.7	O61466
6239.F07D3.2	Q19165
6239.C36H8.3	Q18502
6239.K02G10.4a	Q21156
6239.F33D4.3	O44185
6239.Y37D8A.15	Q9XWV7
6239.F15D4.8	Q7YX32
6239.Y48D7A.2.1	Q9N4V0
6239.M79.4	Q9XVX1
6239.F22B7.2	P34405
6239.C24A1.1	O17058
6239.R173.4	Q8MPY9
6239.C25H3.5	Q18184
6239.F09B12.6	Q9NLA1
6239.F25B5.6b	Q09509
6239.F37B4.7	O45166
6239.C50E3.16	Q22931
6239.F29G9.4b	G5ECG2
6239.T07D1.4.1	Q10572
6239.R13H8.1h	O16850
6239.K01B6.1	P34489
6239.F59G1.7.1	Q9TY03
6239.ZK1010.3.2	O18282
6239.C09G5.8a	Q09459
6239.W03G11.3	P49713
6239.C50F4.14	Q968A5
6239.H14A12.2a	O17214
6239.ZK1248.14	Q23424
6239.ZK177.6	Q09373
6239.T09F3.3.2	P04970
6239.K10B3.8.2	P17329
6239.K10B3.7.2	P17330
6239.F33H1.2	P17331
6239.B0035.5.1	Q27464
6239.K04D7.3.2	Q21217
6239.T05H4.14.2	O16519
6239.F47D12.5	Q09562
6239.C29E4.10	Q95QT2
6239.ZK688.8.1	P34678
6239.Y116F11B.12a.1	Q8I136
6239.Y39E4B.12a.1	Q95ZJ1
6239.H38K22.5a.1	O61394
6239.Y46H3A.6	O61397
6239.Y66A7A.6.3	O45293
6239.Y47D3A.23a	Q9U2C4
6239.ZK1058.3.2	Q27536
6239.T24C12.2	Q22720
6239.ZK899.8c	Q8MLZ5
6239.Y66H1A.4.2	Q9TYK1
6239.F27E5.4	Q09553
6239.Y66D12A.7	Q9BI40
6239.F13D12.7a.1	P17343
6239.F52A8.2.2	Q20636
6239.K02A4.2.2	P54406
6239.K04D7.1.4	Q21215
6239.H35N03.1	G5ECJ0
6239.ZC482.1	O18276
6239.R06C7.1	Q21770
6239.F54D5.7.2	Q20772
6239.F32G8.6	Q19980
6239.Y59A8B.23a.1	G5EEN4
6239.R57.1a	P91406
6239.C05E4.9a	Q10663
6239.AH6.1	Q09435
6239.T07D1.1b	Q86C56
6239.C06B3.8	Q6DNF7
6239.F57F5.2c	P90895
6239.M04G12.3	P92006
6239.T04D3.4a	O02298
6239.C46E1.2	Q6DNF4
6239.C54E4.3	Q6DNF3
6239.F46H6.1.3	Q20496
6239.C10F3.4b	Q5ZR76
6239.F58A4.11	P34478
6239.W10D5.3c.3	Q94361
6239.K06A4.3	Q21253
6239.F28D1.10	P55163
6239.B0280.1a	P41992
6239.T22C1.2	Q22663
6239.ZK637.13.2	P30627
6239.F29F11.6b	Q27497
6239.F56C9.1.1	P48727
6239.B0285.5.2	P46555
6239.C33C12.3a	O16580
6239.C33C12.8	O16581
6239.F11E6.1d	G5ECR8
6239.Y4C6B.6	Q9UB00
6239.T23G11.3.2	Q17339
6239.ZC308.1a	O17087
6239.T07F8.3a	Q95ZK7
6239.ZK858.1	G5EFL0
6239.T21G5.3	P34689
6239.C55B7.1	Q966L9
6239.B0414.6.2	O01836
6239.T12F5.3.2	O76743
6239.K03H1.1	P34497
6239.F59F5.2a	Q21045
6239.C18C4.9	Q18086
6239.C28F5.2	Q09240
6239.C16C10.10	Q09253
6239.F02A9.6	P13508
6239.R11F4.1.1	Q21944
6239.C06E1.4	P34299
6239.B0280.12b	Q10914
6239.C09G5.1	Q09453
