7955.ENSDARP00000027118	Q5PRD0
7955.ENSDARP00000122322	Q7ZYX1
7955.ENSDARP00000055709	Q7SY23
7955.ENSDARP00000053398	Q66I21
7955.ENSDARP00000024463	Q6NYL5
7955.ENSDARP00000074827	Q4KMC8
7955.ENSDARP00000024492	Q8JH70
7955.ENSDARP00000070225	Q8JH71
7955.ENSDARP00000049513	Q7ZW24
7955.ENSDARP00000086116	Q08BA6
7955.ENSDARP00000098832	Q6IQE9
7955.ENSDARP00000122798	Q6NYE4
7955.ENSDARP00000062428	Q6DGA6
7955.ENSDARP00000099285	F1RDM5
7955.ENSDARP00000102405	F1QGH6
7955.ENSDARP00000069636	Q0P4D1
7955.ENSDARP00000083347	A1YB07
7955.ENSDARP00000062236	Q7ZUV0
7955.ENSDARP00000097644	Q7ZUP0
7955.ENSDARP00000071527	Q6NUW5
7955.ENSDARP00000033311	Q5RGT6
7955.ENSDARP00000002526	P58368
7955.ENSDARP00000106043	Q6NWG4
7955.ENSDARP00000068099	A2AV36
7955.ENSDARP00000059488	Q5RGQ2
7955.ENSDARP00000112117	Q4V8U5
7955.ENSDARP00000006025	Q502M6
7955.ENSDARP00000020125	Q6TNT2
7955.ENSDARP00000030948	Q502K3
7955.ENSDARP00000072599	Q6DGX3
7955.ENSDARP00000025800	A5PMU4
7955.ENSDARP00000032834	Q6NSN2
7955.ENSDARP00000028710	Q5RJ20
7955.ENSDARP00000007990	Q6P0E7
7955.ENSDARP00000046586	Q6NWK2
7955.ENSDARP00000126276	Q7ZW98
7955.ENSDARP00000105810	Q9I9H8
7955.ENSDARP00000079682	F1QY75
7955.ENSDARP00000067373	A0MTA1
7955.ENSDARP00000011743	Q8JHE9
7955.ENSDARP00000068614	Q7SZP9
7955.ENSDARP00000108783	A0T2N3
7955.ENSDARP00000004202	Q803F5
7955.ENSDARP00000025613	O42363
7955.ENSDARP00000058964	O42364
7955.ENSDARP00000035368	P61799
7955.ENSDARP00000092960	Q8JHI3
7955.ENSDARP00000110496	Q7SYL1
7955.ENSDARP00000124884	Q502P0
7955.ENSDARP00000019311	Q6NZW8
7955.ENSDARP00000063695	A3KNS9
7955.ENSDARP00000020953	Q566V0
7955.ENSDARP00000013189	Q6P5L7
7955.ENSDARP00000014072	Q7ZVW9
7955.ENSDARP00000060967	Q5XJB9
7955.ENSDARP00000027022	Q66HT8
7955.ENSDARP00000053534	Q6NW85
7955.ENSDARP00000006476	Q6PFJ9
7955.ENSDARP00000088317	A2BEA6
7955.ENSDARP00000054091	E7F888
7955.ENSDARP00000096322	Q1MTE5
7955.ENSDARP00000046093	Q5M9P8
7955.ENSDARP00000115627	Q05AL1
7955.ENSDARP00000072525	Q58EM4
7955.ENSDARP00000110276	Q9DG12
7955.ENSDARP00000068783	Q7SXW6
7955.ENSDARP00000093331	Q56A35
7955.ENSDARP00000088695	P59679
7955.ENSDARP00000091551	Q1LWJ6
7955.ENSDARP00000077752	Q08CJ7
7955.ENSDARP00000075256	O42115
7955.ENSDARP00000106883	Q6NYY4
7955.ENSDARP00000064193	Q6NY34
7955.ENSDARP00000119244	Q5W7F1
7955.ENSDARP00000100613	E7F8F4
7955.ENSDARP00000033788	Q5BKW9
7955.ENSDARP00000061584	Q32LR5
7955.ENSDARP00000032201	Q708S8
7955.ENSDARP00000011782	Q708S7
7955.ENSDARP00000035525	Q708S4
7955.ENSDARP00000095487	Q708S3
7955.ENSDARP00000056004	Q90259
7955.ENSDARP00000022655	Q90260
7955.ENSDARP00000018158	Q6IQE5
7955.ENSDARP00000123026	Q8JFW1
7955.ENSDARP00000055854	Q66I59
7955.ENSDARP00000077501	A0JMH0
7955.ENSDARP00000039902	Q66I24
7955.ENSDARP00000093440	Q1LYL8
7955.ENSDARP00000051523	Q7SY54
7955.ENSDARP00000094893	A1L209
7955.ENSDARP00000049367	Q6PH17
7955.ENSDARP00000035974	Q7ZZ25
7955.ENSDARP00000073585	Q503W7
7955.ENSDARP00000081676	A3KNL5
7955.ENSDARP00000064737	Q1LYB6
7955.ENSDARP00000042969	Q6NW59
7955.ENSDARP00000052323	Q7SYE0
7955.ENSDARP00000041303	Q6PFS7
7955.ENSDARP00000106508	Q6DG88
7955.ENSDARP00000105095	Q3B736
7955.ENSDARP00000004006	A0JMP0
7955.ENSDARP00000092102	Q8AW52
7955.ENSDARP00000087721	A4IGF3
7955.ENSDARP00000087874	Q9MIY5
7955.ENSDARP00000087873	Q9MIY6
7955.ENSDARP00000114850	F1Q4S1
7955.ENSDARP00000110144	Q1L987
7955.ENSDARP00000072984	Q566V9
7955.ENSDARP00000105276	P0CAX4
7955.ENSDARP00000054866	Q6PBN5
7955.ENSDARP00000054822	Q6NW76
7955.ENSDARP00000036978	P57094
7955.ENSDARP00000003845	P57095
7955.ENSDARP00000069612	Q04475
7955.ENSDARP00000117098	Q7T3S5
7955.ENSDARP00000123385	Q5XJP0
7955.ENSDARP00000067823	Q502B3
7955.ENSDARP00000103038	L7YAI7
7955.ENSDARP00000108593	Q503B7
7955.ENSDARP00000007567	Q6DGZ1
7955.ENSDARP00000015195	Q6AXK4
7955.ENSDARP00000053793	Q6P026
7955.ENSDARP00000117226	A3KPW9
7955.ENSDARP00000023623	Q502P7
7955.ENSDARP00000086210	A1L2G3
7955.ENSDARP00000014797	Q503F2
7955.ENSDARP00000069875	Q1RM09
7955.ENSDARP00000014497	F1QW76
7955.ENSDARP00000104660	A2BIL7
7955.ENSDARP00000118928	Q1L8Y6
7955.ENSDARP00000090497	Q08C53
7955.ENSDARP00000060999	Q98SP7
7955.ENSDARP00000058254	Q7ZWB7
7955.ENSDARP00000090592	Q6NWJ0
7955.ENSDARP00000059134	A2BIL8
7955.ENSDARP00000011145	Q5BJJ7
7955.ENSDARP00000114813	Q5XFY4
7955.ENSDARP00000123831	Q67FY3
7955.ENSDARP00000015141	Q7ZV60
7955.ENSDARP00000069085	Q561X9
7955.ENSDARP00000040421	Q32LQ4
7955.ENSDARP00000122562	Q1LWE6
7955.ENSDARP00000068337	Q9IB61
7955.ENSDARP00000008214	Q4V8V1
7955.ENSDARP00000066764	Q8JIR0
7955.ENSDARP00000115422	Q7T3E6
7955.ENSDARP00000084049	Q0P410
7955.ENSDARP00000098771	A8E7D2
7955.ENSDARP00000123964	Q6DC66
7955.ENSDARP00000123352	Q7T381
7955.ENSDARP00000120969	A0JMQ0
7955.ENSDARP00000062627	Q5U3U6
7955.ENSDARP00000063336	Q5XLR4
7955.ENSDARP00000106626	P86347
7955.ENSDARP00000005351	Q07998
7955.ENSDARP00000085122	Q1RLU1
7955.ENSDARP00000101616	F1R5H6
7955.ENSDARP00000023970	Q7ZUF2
7955.ENSDARP00000056741	Q568D5
7955.ENSDARP00000006590	A8KBY2
7955.ENSDARP00000061519	Q6IQ86
7955.ENSDARP00000061167	Q5RHR6
7955.ENSDARP00000115398	A3KQV2
7955.ENSDARP00000003318	A2BIJ3
7955.ENSDARP00000084436	Q6R3Q6
7955.ENSDARP00000099767	Q6PC91
7955.ENSDARP00000094404	A9JRD8
7955.ENSDARP00000039906	Q5TZE1
7955.ENSDARP00000086682	Q1LVW0
7955.ENSDARP00000086175	P0C7A6
7955.ENSDARP00000015461	Q567Z7
7955.ENSDARP00000022789	Q6PD83
7955.ENSDARP00000002262	Q803N9
7955.ENSDARP00000123337	Q1LUC1
7955.ENSDARP00000115844	Q6NZW0
7955.ENSDARP00000044124	Q6TH01
7955.ENSDARP00000107549	Q6DH86
7955.ENSDARP00000090957	Q90460
7955.ENSDARP00000111604	O42145
7955.ENSDARP00000010750	Q5RGJ5
7955.ENSDARP00000108599	Q3LSS0
7955.ENSDARP00000020042	Q5XJ97
7955.ENSDARP00000053957	Q08BL3
7955.ENSDARP00000072404	Q7SYI5
7955.ENSDARP00000089118	Q1LX59
7955.ENSDARP00000057552	Q567X1
7955.ENSDARP00000056559	A8WGT1
7955.ENSDARP00000040270	P0C7U4
7955.ENSDARP00000034273	Q6TEL3
7955.ENSDARP00000123282	A9JR56
7955.ENSDARP00000124594	Q5M7Y0
7955.ENSDARP00000059000	P0C7U5
7955.ENSDARP00000095769	Q0P485
7955.ENSDARP00000097929	Q6DHL7
7955.ENSDARP00000095911	Q502G5
7955.ENSDARP00000101960	Q7SZP2
7955.ENSDARP00000012989	Q567C3
7955.ENSDARP00000025246	Q8JHH5
7955.ENSDARP00000061728	Q5TYP4
7955.ENSDARP00000090818	Q1L9C7
7955.ENSDARP00000048622	A8Y5T1
7955.ENSDARP00000064364	Q4KMC9
7955.ENSDARP00000094806	Q7ZUC2
7955.ENSDARP00000093924	A2BGD5
7955.ENSDARP00000003949	Q90275
7955.ENSDARP00000055617	B8JMH0
7955.ENSDARP00000101598	A0JMK9
7955.ENSDARP00000022592	Q92051
7955.ENSDARP00000092307	Q6PI52
7955.ENSDARP00000118958	Q68EK2
7955.ENSDARP00000112921	Q6IQP3
7955.ENSDARP00000106302	Q7SXV9
7955.ENSDARP00000118745	A5WUN7
7955.ENSDARP00000014661	Q7SY49
7955.ENSDARP00000040707	Q5RJ80
7955.ENSDARP00000016959	Q6DC04
7955.ENSDARP00000104413	A6H8T2
7955.ENSDARP00000040064	Q1ECZ4
7955.ENSDARP00000013402	Q9PT92
7955.ENSDARP00000078145	F1Q8W0
7955.ENSDARP00000086133	Q08CH6
7955.ENSDARP00000011821	Q5RFV8
7955.ENSDARP00000077103	A3KQ58
7955.ENSDARP00000115089	A0JMH2
7955.ENSDARP00000117605	Q66IB8
7955.ENSDARP00000072883	Q567I9
7955.ENSDARP00000025120	Q4U2V3
7955.ENSDARP00000116922	A6H8T7
7955.ENSDARP00000094377	Q68EI3
7955.ENSDARP00000010074	Q6P0H7
7955.ENSDARP00000115468	Q567G6
7955.ENSDARP00000069975	Q6DGB6
7955.ENSDARP00000003379	Q5XJN6
7955.ENSDARP00000047014	Q5EAR6
7955.ENSDARP00000063862	Q6PHE8
7955.ENSDARP00000089271	A2BGP7
7955.ENSDARP00000060887	Q66I85
7955.ENSDARP00000103065	A8KB59
7955.ENSDARP00000118096	Q5RHZ2
7955.ENSDARP00000105219	Q1LY84
7955.ENSDARP00000082632	A3KNX6
7955.ENSDARP00000078551	A8WGB1
7955.ENSDARP00000090542	Q4V909
7955.ENSDARP00000108444	P0C8M3
7955.ENSDARP00000030117	Q7T312
7955.ENSDARP00000022810	P0CK98
7955.ENSDARP00000121686	Q56A40
7955.ENSDARP00000111114	Q6PFL6
7955.ENSDARP00000051541	Q66I12
7955.ENSDARP00000066998	Q5RGJ6
7955.ENSDARP00000106348	Q6PBK1
7955.ENSDARP00000098205	Q08CF3
7955.ENSDARP00000043945	Q6DHI2
7955.ENSDARP00000000005	Q90X49
7955.ENSDARP00000058247	A8WG43
7955.ENSDARP00000057465	A3KNI7
7955.ENSDARP00000022543	Q6DRP4
7955.ENSDARP00000124974	Q90459
7955.ENSDARP00000024696	P47794
7955.ENSDARP00000043143	Q6NYX6
7955.ENSDARP00000021380	Q7ZVX0
7955.ENSDARP00000058627	Q6P3G4
7955.ENSDARP00000084282	Q08CI4
7955.ENSDARP00000073520	Q803R2
7955.ENSDARP00000115560	A2AVJ0
7955.ENSDARP00000074168	Q7SXS8
7955.ENSDARP00000115436	Q6P2T7
7955.ENSDARP00000107533	Q0P4C5
7955.ENSDARP00000103868	Q6PC40
7955.ENSDARP00000110971	A7YY97
7955.ENSDARP00000124195	Q5U3U4
7955.ENSDARP00000100739	Q68EK9
7955.ENSDARP00000101442	Q6B3P0
7955.ENSDARP00000075572	Q1RLU9
7955.ENSDARP00000113146	A8WIP6
7955.ENSDARP00000022588	Q8JH47
7955.ENSDARP00000044356	Q6AXJ9
7955.ENSDARP00000114819	Q5RGZ1
7955.ENSDARP00000105648	Q6NZT2
7955.ENSDARP00000031228	Q7T370
7955.ENSDARP00000004506	Q7SZF1
7955.ENSDARP00000095972	Q6NXA8
7955.ENSDARP00000119950	Q6DC75
7955.ENSDARP00000098404	B3DHS1
7955.ENSDARP00000061831	A8Y5U1
7955.ENSDARP00000121710	E7F5E1
7955.ENSDARP00000124972	P85001
7955.ENSDARP00000067907	P58781
7955.ENSDARP00000111278	Q9IBD0
7955.ENSDARP00000108480	Q6P0B1
7955.ENSDARP00000039628	Q9IBD1
7955.ENSDARP00000122295	Q6DGV1
7955.ENSDARP00000126317	Q803H4
7955.ENSDARP00000056666	Q6DRD4
7955.ENSDARP00000038262	Q7ZZC6
7955.ENSDARP00000064804	Q1LV50
7955.ENSDARP00000122139	Q4V8Z3
7955.ENSDARP00000056179	Q6GQN0
7955.ENSDARP00000109882	Q6PGZ0
7955.ENSDARP00000075142	Q501X2
7955.ENSDARP00000075595	A7E2V1
7955.ENSDARP00000072564	F1R4Y7
7955.ENSDARP00000121321	Q6P402
7955.ENSDARP00000096095	A4QNX3
7955.ENSDARP00000099995	Q5BL31
7955.ENSDARP00000014999	Q6NZZ3
7955.ENSDARP00000033381	A2RV06
7955.ENSDARP00000057261	Q6PBJ2
7955.ENSDARP00000122801	Q803H0
7955.ENSDARP00000054842	Q7ZTY6
7955.ENSDARP00000119789	Q5BJC4
7955.ENSDARP00000116827	A3KP40
7955.ENSDARP00000066438	Q5PRC0
7955.ENSDARP00000094107	Q5SPB6
7955.ENSDARP00000050830	Q4KMJ1
7955.ENSDARP00000022305	Q7ZU90
7955.ENSDARP00000122217	B0R0I6
7955.ENSDARP00000099431	A5WW08
7955.ENSDARP00000055843	Q7SYK0
7955.ENSDARP00000076077	Q6PHF0
7955.ENSDARP00000070582	Q7ZW25
7955.ENSDARP00000106542	Q6NXD2
7955.ENSDARP00000017897	Q7ZVC4
7955.ENSDARP00000023938	Q6IQ73
7955.ENSDARP00000055486	Q6NY88
7955.ENSDARP00000061395	Q7T339
7955.ENSDARP00000012210	Q503V0
7955.ENSDARP00000060627	Q6PBQ2
7955.ENSDARP00000003481	Q7ZW02
7955.ENSDARP00000017292	Q7T3F7
7955.ENSDARP00000045109	O57472
7955.ENSDARP00000108405	Q6DBY9
7955.ENSDARP00000047210	Q6AXM1
7955.ENSDARP00000042962	Q7T3S3
7955.ENSDARP00000063151	Q805E5
7955.ENSDARP00000022916	Q5U3N7
7955.ENSDARP00000109078	P0C8Y3
7955.ENSDARP00000076347	B0UXH9
7955.ENSDARP00000104860	A2BDR7
7955.ENSDARP00000116312	A2BFC9
7955.ENSDARP00000076693	Q6P0D9
7955.ENSDARP00000102223	Q1L8T5
7955.ENSDARP00000069092	Q7T326
7955.ENSDARP00000108591	Q7ZVY5
7955.ENSDARP00000071850	Q4V8S9
7955.ENSDARP00000091650	Q08BN1
7955.ENSDARP00000103797	Q6PGW3
7955.ENSDARP00000105334	Q6DGK9
7955.ENSDARP00000002669	A0PJS5
7955.ENSDARP00000038075	Q6NWE0
7955.ENSDARP00000042366	Q6NWH0
7955.ENSDARP00000122168	A5PN52
7955.ENSDARP00000067304	Q5PR55
7955.ENSDARP00000100969	Q503V3
7955.ENSDARP00000077059	A5WUX7
7955.ENSDARP00000117810	Q1L8F9
7955.ENSDARP00000039870	Q6NYW6
7955.ENSDARP00000025508	B2ZGJ1
7955.ENSDARP00000052843	Q6DHP1
7955.ENSDARP00000004546	Q9YH92
7955.ENSDARP00000025766	Q9YH91
7955.ENSDARP00000015898	Q9YH90
7955.ENSDARP00000008246	Q6DHU1
7955.ENSDARP00000087664	E7F3I6
7955.ENSDARP00000046647	Q6DEL2
7955.ENSDARP00000101015	Q7ZVC2
7955.ENSDARP00000047470	A0JMD0
7955.ENSDARP00000069597	Q5SPP0
7955.ENSDARP00000074888	Q6GML1
7955.ENSDARP00000018592	Q5XJK9
7955.ENSDARP00000049372	Q803R5
7955.ENSDARP00000052804	Q7ZVS8
7955.ENSDARP00000003814	Q7ZUH1
7955.ENSDARP00000040826	Q5RH01
7955.ENSDARP00000036009	Q5U395
7955.ENSDARP00000103636	Q5U3T3
7955.ENSDARP00000116800	Q66I68
7955.ENSDARP00000115028	Q5BL21
7955.ENSDARP00000106673	Q08CL8
7955.ENSDARP00000090050	A4QP78
7955.ENSDARP00000071278	A2BHJ4
7955.ENSDARP00000004298	A1A5H6
7955.ENSDARP00000087385	Q08BM8
7955.ENSDARP00000009432	Q2L6L1
7955.ENSDARP00000040115	A3KNS2
7955.ENSDARP00000072654	Q2L6K8
7955.ENSDARP00000089410	Q7ZW34
7955.ENSDARP00000011815	Q568D2
7955.ENSDARP00000094210	Q08BW6
7955.ENSDARP00000057676	Q5BJD2
7955.ENSDARP00000119803	Q1L899
7955.ENSDARP00000098911	A8KB87
7955.ENSDARP00000119256	Q0P451
7955.ENSDARP00000026471	Q5TYQ3
7955.ENSDARP00000108248	E7F568
7955.ENSDARP00000009986	O93375
7955.ENSDARP00000016314	Q5U3G1
7955.ENSDARP00000111997	A5PMY6
7955.ENSDARP00000063831	F1R983
7955.ENSDARP00000073498	Q66HV4
7955.ENSDARP00000043659	Q9PUE4
7955.ENSDARP00000118229	A9JR86
7955.ENSDARP00000051643	Q66L51
7955.ENSDARP00000079444	F1RAX8
7955.ENSDARP00000117013	A8E7D3
7955.ENSDARP00000087871	Q9MIY8
7955.ENSDARP00000018961	Q6DH88
7955.ENSDARP00000087872	Q9MIY7
7955.ENSDARP00000087875	Q9MIY4
7955.ENSDARP00000118380	Q6DHJ6
7955.ENSDARP00000052003	Q0D289
7955.ENSDARP00000052536	A4VCH4
7955.ENSDARP00000011098	A2BE76
7955.ENSDARP00000015462	Q6DGQ4
7955.ENSDARP00000102869	A7MCS3
7955.ENSDARP00000106507	U3JAG9
7955.ENSDARP00000107420	Q5RG45
7955.ENSDARP00000038472	Q7ZVJ8
7955.ENSDARP00000056618	Q66I74
7955.ENSDARP00000041727	P79739
7955.ENSDARP00000101543	Q6EIG3
7955.ENSDARP00000109570	Q9YGX5
7955.ENSDARP00000073682	Q7SXN4
7955.ENSDARP00000067234	Q6AZB3
7955.ENSDARP00000045608	Q5U3W0
7955.ENSDARP00000017229	Q7T3C6
7955.ENSDARP00000076726	Q6NWC6
7955.ENSDARP00000122226	Q5U3U3
7955.ENSDARP00000068896	Q6DBQ8
7955.ENSDARP00000096339	Q6DGA7
7955.ENSDARP00000065503	Q803E1
7955.ENSDARP00000073037	Q567E6
7955.ENSDARP00000024330	Q6PBN4
7955.ENSDARP00000100607	Q1LUS5
7955.ENSDARP00000106065	Q1MTD4
7955.ENSDARP00000090299	Q5CZQ0
7955.ENSDARP00000087416	A1L224
7955.ENSDARP00000113661	Q502F0
7955.ENSDARP00000113661	Q1LYG4
7955.ENSDARP00000057303	C7DZK3
7955.ENSDARP00000088068	A0MSJ1
7955.ENSDARP00000113878	Q642H2
7955.ENSDARP00000062723	Q68EH9
7955.ENSDARP00000022726	Q6TLE6
7955.ENSDARP00000048382	Q7SXF6
7955.ENSDARP00000105491	Q5XTN8
7955.ENSDARP00000041348	Q6DGY7
7955.ENSDARP00000050533	Q7T3Q2
7955.ENSDARP00000070383	Q568M3
7955.ENSDARP00000121988	Q4KML2
7955.ENSDARP00000099176	Q1L990
7955.ENSDARP00000057732	B0V3H4
7955.ENSDARP00000068467	A7YY07
7955.ENSDARP00000092184	A3KNM4
7955.ENSDARP00000089365	Q9I8N6
7955.ENSDARP00000098474	Q91398
7955.ENSDARP00000012359	Q6IQT4
7955.ENSDARP00000021983	Q6P2U9
7955.ENSDARP00000064214	Q6P0H6
7955.ENSDARP00000074782	Q6PC30
7955.ENSDARP00000037304	Q7ZUZ0
7955.ENSDARP00000093415	A0JMF1
7955.ENSDARP00000082411	Q08BB5
7955.ENSDARP00000079940	A4QNX6
7955.ENSDARP00000023293	Q7SYC9
7955.ENSDARP00000075416	A5PMW0
7955.ENSDARP00000074529	B0S5A7
7955.ENSDARP00000092080	B7ZC77
7955.ENSDARP00000104882	Q5PR34
7955.ENSDARP00000009303	Q803X1
7955.ENSDARP00000068045	Q6DC53
7955.ENSDARP00000051196	Q6DRC3
7955.ENSDARP00000107612	Q6TLH3
7955.ENSDARP00000120564	Q7T3C3
7955.ENSDARP00000115603	Q0P3X7
7955.ENSDARP00000022647	Q6IQU4
7955.ENSDARP00000013971	Q08C72
7955.ENSDARP00000064209	Q7ZW86
7955.ENSDARP00000069117	Q66I61
7955.ENSDARP00000112321	Q7T047
7955.ENSDARP00000061260	O57474
7955.ENSDARP00000064106	Q90Y50
7955.ENSDARP00000015225	Q92052
7955.ENSDARP00000089361	A3KPR5
7955.ENSDARP00000093650	Q503V1
7955.ENSDARP00000087881	Q9MIX8
7955.ENSDARP00000034555	Q6IQM2
7955.ENSDARP00000095008	Q90YM8
7955.ENSDARP00000055793	Q8UUR3
7955.ENSDARP00000093478	Q575S8
7955.ENSDARP00000081094	Q08CH8
7955.ENSDARP00000010292	Q2KN93
7955.ENSDARP00000079032	A1L258
7955.ENSDARP00000005772	A8DZE7
7955.ENSDARP00000115728	Q7ZV84
7955.ENSDARP00000118558	F1Q7Z7
7955.ENSDARP00000058000	Q6QZN6
7955.ENSDARP00000078756	Q673G8
7955.ENSDARP00000090057	A0JML8
7955.ENSDARP00000116595	Q1LV15
7955.ENSDARP00000052602	Q9YGW7
7955.ENSDARP00000073957	Q7T3E4
7955.ENSDARP00000023732	Q9PTU1
7955.ENSDARP00000013350	Q9PTU0
7955.ENSDARP00000058146	Q7SXY4
7955.ENSDARP00000047739	Q6NWH1
7955.ENSDARP00000086448	Q08BB3
7955.ENSDARP00000028109	Q803X4
7955.ENSDARP00000121682	A8WHR0
7955.ENSDARP00000082563	Q0P4C4
7955.ENSDARP00000025936	Q66I84
7955.ENSDARP00000114939	Q5RHX6
7955.ENSDARP00000090466	B0V2S2
7955.ENSDARP00000067187	Q5RGE5
7955.ENSDARP00000093918	Q7T3H1
7955.ENSDARP00000023867	Q9PTS2
7955.ENSDARP00000112315	Q7T2A3
7955.ENSDARP00000011673	Q6TH22
7955.ENSDARP00000054787	Q7T346
7955.ENSDARP00000088891	Q6P0E5
7955.ENSDARP00000118603	P0C218
7955.ENSDARP00000090038	Q4TVV3
7955.ENSDARP00000029445	Q6DRI7
7955.ENSDARP00000020323	Q8JHJ2
7955.ENSDARP00000066557	Q6NV34
7955.ENSDARP00000025016	Q7SYB5
7955.ENSDARP00000073917	Q6NXD8
7955.ENSDARP00000054152	Q6DH65
7955.ENSDARP00000049675	Q803Q4
7955.ENSDARP00000071808	Q1JQ19
7955.ENSDARP00000033545	Q6DC39
7955.ENSDARP00000072301	Q6AXJ3
7955.ENSDARP00000116381	Q4V9F0
7955.ENSDARP00000014003	Q6P3L6
7955.ENSDARP00000089612	Q6QA33
7955.ENSDARP00000124869	Q7SXF1
7955.ENSDARP00000012198	Q642M9
7955.ENSDARP00000053870	P79729
7955.ENSDARP00000061738	Q6PUF3
7955.ENSDARP00000072578	Q6DGM2
7955.ENSDARP00000039864	Q68FN7
7955.ENSDARP00000025776	Q5PRA2
7955.ENSDARP00000019936	Q6NVJ5
7955.ENSDARP00000069661	A2RV18
7955.ENSDARP00000045880	Q6TV19
7955.ENSDARP00000011386	Q6PEH4
7955.ENSDARP00000065230	Q6R5J2
7955.ENSDARP00000105116	Q6R5J1
7955.ENSDARP00000073184	Q804T6
7955.ENSDARP00000074126	Q6PGY5
7955.ENSDARP00000109834	Q6IMK3
7955.ENSDARP00000073282	Q5PYH7
7955.ENSDARP00000007027	Q7ZYZ6
7955.ENSDARP00000003059	Q6DI48
7955.ENSDARP00000021660	O57409
7955.ENSDARP00000018643	Q9IAT6
7955.ENSDARP00000089996	Q8UWJ4
7955.ENSDARP00000011033	Q98875
7955.ENSDARP00000103004	P50574
7955.ENSDARP00000007080	Q98876
7955.ENSDARP00000022291	Q01702
7955.ENSDARP00000122639	Q98879
7955.ENSDARP00000096665	Q98878
7955.ENSDARP00000093553	Q98877
7955.ENSDARP00000108943	Q71MM5
7955.ENSDARP00000051145	P83758
7955.ENSDARP00000051145	Q9DFI0
7955.ENSDARP00000057589	Q5UU75
7955.ENSDARP00000028305	Q6DG03
7955.ENSDARP00000027577	Q8JI10
7955.ENSDARP00000027542	Q566X8
7955.ENSDARP00000104643	Q6DHB1
7955.ENSDARP00000035017	Q7T1H5
7955.ENSDARP00000094239	Q6NWJ4
7955.ENSDARP00000090162	A1L1P7
7955.ENSDARP00000006315	Q7SXN5
7955.ENSDARP00000103969	B8A556
7955.ENSDARP00000011317	Q7ZUX6
7955.ENSDARP00000079744	Q0P448
7955.ENSDARP00000109205	A9LMC0
7955.ENSDARP00000101488	Q567W6
7955.ENSDARP00000097722	A4QN59
7955.ENSDARP00000106089	A2RV01
7955.ENSDARP00000017489	Q6DRD3
7955.ENSDARP00000108791	Q6NYG8
7955.ENSDARP00000108688	Q52PJ5
7955.ENSDARP00000075541	Q4V9H3
7955.ENSDARP00000061828	F1QRC1
7955.ENSDARP00000088134	Q9W747
7955.ENSDARP00000122514	Q566S6
7955.ENSDARP00000073347	Q1LWL2
7955.ENSDARP00000058288	Q566R7
7955.ENSDARP00000097447	A8E5C5
7955.ENSDARP00000104706	Q5BL28
7955.ENSDARP00000053701	Q2WG78
7955.ENSDARP00000071887	Q7ZWE6
7955.ENSDARP00000120242	Q68EL2
7955.ENSDARP00000033992	Q5RHI5
