224308.Bsubs1_010100014651	O05413
224308.Bsubs1_010100019711	P94575
224308.Bsubs1_010100002628	P10725
224308.Bsubs1_010100009706	P94494
224308.Bsubs1_010100019481	Q04778
224308.Bsubs1_010100009981	Q45068
224308.Bsubs1_010100001653	P54983
224308.Bsubs1_010100017401	O32106
224308.Bsubs1_010100008011	P39762
224308.Bsubs1_010100016496	O34518
224308.Bsubs1_010100016491	O34706
224308.Bsubs1_010100012946	Q07683
224308.Bsubs1_010100006306	P42063
224308.Bsubs1_010100006276	P42064
224308.Bsubs1_010100006281	P42065
224308.Bsubs1_010100009496	O31788
224308.Bsubs1_010100015091	O34443
224308.Bsubs1_010100015716	P94524
224308.Bsubs1_010100015711	P94525
224308.Bsubs1_010100018421	P96710
224308.Bsubs1_010100015706	P94526
224308.Bsubs1_010100015696	P94528
224308.Bsubs1_010100015691	P94529
224308.Bsubs1_010100015686	P94530
224308.Bsubs1_010100018426	P96711
224308.Bsubs1_010100018101	O32204
224308.Bsubs1_010100020156	P46910
224308.Bsubs1_010100006196	P68729
224308.Bsubs1_010100006186	P23715
224308.Bsubs1_010100006201	P36839
224308.Bsubs1_010100021751	P39138
224308.Bsubs1_010100006191	P36843
224308.Bsubs1_010100013306	P17893
224308.Bsubs1_010100016066	O34858
224308.Bsubs1_010100012416	P20691
224308.Bsubs1_010100012471	P31102
224308.Bsubs1_010100012476	P31104
224308.Bsubs1_010100012676	P35146
224308.Bsubs1_010100014031	P54374
224308.Bsubs1_010100016231	P39912
224308.Bsubs1_010100012466	P19080
224308.Bsubs1_010100001763	P37944
224308.Bsubs1_010100013416	P54517
224308.Bsubs1_010100014106	P45946
224308.Bsubs1_010100014101	P45947
224308.Bsubs1_010100014116	P45949
224308.Bsubs1_010100013146	P54537
224308.Bsubs1_010100013156	P54535
224308.Bsubs1_010100013151	P54536
224308.Bsubs1_010100002998	P96677
224308.Bsubs1_010100016626	P54420
224308.Bsubs1_010100021526	P42113
224308.Bsubs1_010100005966	O05272
224308.Bsubs1_010100012936	P26899
224308.Bsubs1_010100012941	P26900
224308.Bsubs1_010100001493	O34482
224308.Bsubs1_010100018676	O07002
224308.Bsubs1_010100016071	O34347
224308.Bsubs1_010100008646	O34431
224308.Bsubs1_010100019936	P37813
224308.Bsubs1_010100019911	P37808
224308.Bsubs1_010100019901	P37809
224308.Bsubs1_010100019916	P37811
224308.Bsubs1_010100019896	P37812
224308.Bsubs1_010100019921	P37814
224308.Bsubs1_010100019906	P37810
224308.Bsubs1_010100019931	P37815
224308.Bsubs1_010100019941	P37816
224308.Bsubs1_010100014611	O07920
224308.Bsubs1_010100014606	O07942
224308.Bsubs1_010100014601	O07923
224308.Bsubs1_010100010616	O35022
224308.Bsubs1_010100018206	O32224
224308.Bsubs1_010100005158	O07529
224308.Bsubs1_010100020386	P39638
224308.Bsubs1_010100020381	P39639
224308.Bsubs1_010100020376	P39640
224308.Bsubs1_010100020371	P39641
224308.Bsubs1_010100020366	P39642
224308.Bsubs1_010100018751	Q9R9H8
224308.Bsubs1_010100018751	O06988
224308.Bsubs1_010100013356	P49786
224308.Bsubs1_010100016541	O34697
224308.Bsubs1_010100016536	O34741
224308.Bsubs1_010100016551	O34951
224308.Bsubs1_010100016546	O35044
224308.Bsubs1_010100004828	Q796Y8
224308.Bsubs1_010100019746	P94571
224308.Bsubs1_010100012141	P54157
224308.Bsubs1_010100011816	P68569
224308.Bsubs1_010100011806	P68571
224308.Bsubs1_010100018171	O32217
224308.Bsubs1_010100018176	O32218
224308.Bsubs1_010100003503	O34788
224308.Bsubs1_010100017381	O32102
224308.Bsubs1_010100016891	P71016
224308.Bsubs1_010100003978	O31529
224308.Bsubs1_010100018506	O07012
224308.Bsubs1_010100021631	P42973
224308.Bsubs1_010100001908	P42403
224308.Bsubs1_010100021186	P40740
224308.Bsubs1_010100011796	O31983
224308.Bsubs1_010100011801	O31984
224308.Bsubs1_010100016451	P53557
224308.Bsubs1_010100016456	P53558
224308.Bsubs1_010100009351	O31777
224308.Bsubs1_010100016461	P53556
224308.Bsubs1_010100016446	P53554
224308.Bsubs1_010100016466	P53555
224308.Bsubs1_010100016471	P53559
224308.Bsubs1_010100017391	O32104
224308.Bsubs1_010100005751	O07620
224308.Bsubs1_010100012336	P0CI75
224308.Bsubs1_010100010361	P39824
224308.Bsubs1_010100010046	C0H419
224308.Bsubs1_010100014546	P39909
224308.Bsubs1_010100014536	P39842
224308.Bsubs1_010100011791	O31982
224308.Bsubs1_010100013171	P33449
224308.Bsubs1_010100014541	P39843
224308.Bsubs1_010100018856	O06967
224308.Bsubs1_010100013176	P39075
224308.Bsubs1_010100013166	P39074
224308.Bsubs1_010100000115	P24282
224308.Bsubs1_010100015166	O05391
224308.Bsubs1_010100016146	O34545
224308.Bsubs1_010100014596	P94499
224308.Bsubs1_010100012056	P52035
224308.Bsubs1_010100020761	P25152
224308.Bsubs1_010100014846	O08335
224308.Bsubs1_010100002053	P94403
224308.Bsubs1_010100002058	P94404
224308.Bsubs1_010100002063	P94405
224308.Bsubs1_010100002068	C0H3U9
224308.Bsubs1_010100017656	O32150
224308.Bsubs1_010100000933	P40408
224308.Bsubs1_010100013201	P54532
224308.Bsubs1_010100017291	O32099
224308.Bsubs1_010100013781	P24469
224308.Bsubs1_010100018181	O32219
224308.Bsubs1_010100004578	P54721
224308.Bsubs1_010100001778	P94388
224308.Bsubs1_010100019411	P96738
224308.Bsubs1_010100019421	P96736
224308.Bsubs1_010100019416	P96737
224308.Bsubs1_010100008571	P25993
224308.Bsubs1_010100008576	P25994
224308.Bsubs1_010100006206	P36838
224308.Bsubs1_010100006211	P18185
224308.Bsubs1_010100004888	P26901
224308.Bsubs1_010100004573	P54720
224308.Bsubs1_010100021081	P42234
224308.Bsubs1_010100020851	P94377
224308.Bsubs1_010100017086	Q08432
224308.Bsubs1_010100012156	P50848
224308.Bsubs1_010100012341	P42977
224308.Bsubs1_010100009876	P45706
224308.Bsubs1_010100009881	P45709
224308.Bsubs1_010100009886	P45710
224308.Bsubs1_010100016226	P25144
224308.Bsubs1_010100022061	P37517
224308.Bsubs1_010100013806	O34994
224308.Bsubs1_010100013836	P19079
224308.Bsubs1_010100018981	O34351
224308.Bsubs1_010100016931	O32085
224308.Bsubs1_010100009116	O31752
224308.Bsubs1_010100010951	P42089
224308.Bsubs1_010100010956	P42090
224308.Bsubs1_010100010946	P42091
224308.Bsubs1_010100010941	P42092
224308.Bsubs1_010100010936	P42093
224308.Bsubs1_010100018416	O32253
224308.Bsubs1_010100003368	P28599
224308.Bsubs1_010100003373	P28598
224308.Bsubs1_010100004413	O34840
224308.Bsubs1_010100009061	P29072
224308.Bsubs1_010100009056	Q05522
224308.Bsubs1_010100009071	P40403
224308.Bsubs1_010100009076	P40404
224308.Bsubs1_010100012481	P31105
224308.Bsubs1_010100007781	P37599
224308.Bsubs1_010100009066	P39802
224308.Bsubs1_010100009011	P24072
224308.Bsubs1_010100014701	O07921
224308.Bsubs1_010100020686	P39591
224308.Bsubs1_010100020921	P94363
224308.Bsubs1_010100009316	P46323
224308.Bsubs1_010100014091	P17867
224308.Bsubs1_010100015901	P39120
224308.Bsubs1_010100005286	P39119
224308.Bsubs1_010100004253	P55069
224308.Bsubs1_010100021086	P42308
224308.Bsubs1_010100005281	P39127
224308.Bsubs1_010100004233	O34427
224308.Bsubs1_010100004238	O34534
224308.Bsubs1_010100000445	P37571
224308.Bsubs1_010100007586	O31673
224308.Bsubs1_010100018711	P80244
224308.Bsubs1_010100008896	P39070
224308.Bsubs1_010100015416	P50866
224308.Bsubs1_010100008901	P39778
224308.Bsubs1_010100020126	P45860
224308.Bsubs1_010100019781	P71040
224308.Bsubs1_010100020101	P45865
224308.Bsubs1_010100017211	P14204
224308.Bsubs1_010100013041	P54556
224308.Bsubs1_010100008671	O35033
224308.Bsubs1_010100008306	O34797
224308.Bsubs1_010100015851	O34932
224308.Bsubs1_010100000355	P37564
224308.Bsubs1_010100008906	P39779
224308.Bsubs1_010100006371	O31604
224308.Bsubs1_010100017206	P14205
224308.Bsubs1_010100006041	O06738
224308.Bsubs1_010100013996	P39694
224308.Bsubs1_010100013991	P32393
224308.Bsubs1_010100013986	P39695
224308.Bsubs1_010100014001	P39696
224308.Bsubs1_010100019186	P39145
224308.Bsubs1_010100019181	P39146
224308.Bsubs1_010100019176	P39147
224308.Bsubs1_010100013546	P25953
224308.Bsubs1_010100013541	P25954
224308.Bsubs1_010100013536	P25955
224308.Bsubs1_010100013531	P25956
224308.Bsubs1_010100013526	P25957
224308.Bsubs1_010100013521	P25958
224308.Bsubs1_010100013516	P25959
224308.Bsubs1_010100005776	P40396
224308.Bsubs1_010100015116	O32049
224308.Bsubs1_010100017216	Q99027
224308.Bsubs1_010100017226	P33690
224308.Bsubs1_010100017221	P45453
224308.Bsubs1_010100006251	O32437
224308.Bsubs1_010100018186	O32220
224308.Bsubs1_010100018191	O32221
224308.Bsubs1_010100013556	P40948
224308.Bsubs1_010100003538	P07788
224308.Bsubs1_010100019496	P07789
224308.Bsubs1_010100009746	P07790
224308.Bsubs1_010100009366	P14016
224308.Bsubs1_010100021876	P23261
224308.Bsubs1_010100019501	Q45535
224308.Bsubs1_010100016816	O34656
224308.Bsubs1_010100003883	Q45536
224308.Bsubs1_010100003888	Q45537
224308.Bsubs1_010100003893	Q45538
224308.Bsubs1_010100009896	Q45058
224308.Bsubs1_010100013491	P54507
224308.Bsubs1_010100006481	O31622
224308.Bsubs1_010100003128	P96698
224308.Bsubs1_010100018706	O06996
224308.Bsubs1_010100016811	P46915
224308.Bsubs1_010100016806	P46914
224308.Bsubs1_010100006686	P11863
224308.Bsubs1_010100006506	Q08309
224308.Bsubs1_010100006501	Q08310
224308.Bsubs1_010100006496	Q08313
224308.Bsubs1_010100006491	Q08311
224308.Bsubs1_010100006486	Q08312
224308.Bsubs1_010100008246	P24010
224308.Bsubs1_010100008241	P24011
224308.Bsubs1_010100008251	P24012
224308.Bsubs1_010100008256	P24013
224308.Bsubs1_010100015216	P94446
224308.Bsubs1_010100006681	O31652
224308.Bsubs1_010100008236	P24009
224308.Bsubs1_010100014621	O08469
224308.Bsubs1_010100005361	O07590
224308.Bsubs1_010100005366	O07591
224308.Bsubs1_010100018816	O06976
224308.Bsubs1_010100010516	P37584
224308.Bsubs1_010100019036	P37953
224308.Bsubs1_010100004763	Q45539
224308.Bsubs1_010100021471	P46333
224308.Bsubs1_010100019826	P70964
224308.Bsubs1_010100015171	O05390
224308.Bsubs1_010100007911	O31700
224308.Bsubs1_010100016396	P94496
224308.Bsubs1_010100000120	P37534
224308.Bsubs1_010100001158	P54379
224308.Bsubs1_010100002593	P96614
224308.Bsubs1_010100013756	P54475
224308.Bsubs1_010100010551	P94497
224308.Bsubs1_010100018196	O32222
224308.Bsubs1_010100005033	P32081
224308.Bsubs1_010100002888	P39158
224308.Bsubs1_010100012071	P51777
224308.Bsubs1_010100019136	P33911
224308.Bsubs1_010100017911	O32192
224308.Bsubs1_010100017916	O32193
224308.Bsubs1_010100015676	P94532
224308.Bsubs1_010100008231	P12946
224308.Bsubs1_010100008261	O34329
224308.Bsubs1_010100000265	P14194
224308.Bsubs1_010100010821	O34666
224308.Bsubs1_010100019066	O35002
224308.Bsubs1_010100000430	P37568
224308.Bsubs1_010100005346	O07586
224308.Bsubs1_010100019271	Q02113
224308.Bsubs1_010100014171	P24808
224308.Bsubs1_010100009576	Q06320
224308.Bsubs1_010100000790	P50864
224308.Bsubs1_010100014061	P54450
224308.Bsubs1_010100001443	P42249
224308.Bsubs1_010100001553	O34360
224308.Bsubs1_010100018846	P40767
224308.Bsubs1_010100010716	O31852
224308.Bsubs1_010100019081	O34594
224308.Bsubs1_010100018521	O07009
224308.Bsubs1_010100020916	P94364
224308.Bsubs1_010100020911	P94365
224308.Bsubs1_010100020906	P94366
224308.Bsubs1_010100020901	P94367
224308.Bsubs1_010100001173	O31440
224308.Bsubs1_010100004068	O08394
224308.Bsubs1_010100014841	O08336
224308.Bsubs1_010100018976	O34926
224308.Bsubs1_010100008621	O34577
224308.Bsubs1_010100006026	O06735
224308.Bsubs1_010100000485	Q06750
224308.Bsubs1_010100008606	P94498
224308.Bsubs1_010100006036	O06737
224308.Bsubs1_010100018151	O32213
224308.Bsubs1_010100018156	O32214
224308.Bsubs1_010100000370	P37887
224308.Bsubs1_010100020341	P39647
224308.Bsubs1_010100016341	O34476
224308.Bsubs1_010100014576	O07084
224308.Bsubs1_010100014571	O07085
224308.Bsubs1_010100014566	P71025
224308.Bsubs1_010100010556	O31844
224308.Bsubs1_010100005396	O07597
224308.Bsubs1_010100000050	P08750
224308.Bsubs1_010100012736	P35150
224308.Bsubs1_010100010111	P39844
224308.Bsubs1_010100012886	P38422
224308.Bsubs1_010100003793	O31502
224308.Bsubs1_010100009236	Q04796
224308.Bsubs1_010100012361	P42976
224308.Bsubs1_010100007881	O34916
224308.Bsubs1_010100017461	O32114
224308.Bsubs1_010100007876	O34981
224308.Bsubs1_010100012521	P08821
224308.Bsubs1_010100011596	P68573
224308.Bsubs1_010100021111	P42305
224308.Bsubs1_010100012831	P23630
224308.Bsubs1_010100000070	P37529
224308.Bsubs1_010100002528	P96603
224308.Bsubs1_010100002513	P96600
224308.Bsubs1_010100002523	P96602
224308.Bsubs1_010100002518	P96601
224308.Bsubs1_010100005626	P32395
224308.Bsubs1_010100002583	P96612
224308.Bsubs1_010100008681	P94462
224308.Bsubs1_010100008071	Q45495
224308.Bsubs1_010100005991	P37947
224308.Bsubs1_010100017231	Q99039
224308.Bsubs1_010100012076	P68731
224308.Bsubs1_010100019201	P13799
224308.Bsubs1_010100019196	P13800
224308.Bsubs1_010100019191	P32436
224308.Bsubs1_010100012896	P46353
224308.Bsubs1_010100021271	P39121
224308.Bsubs1_010100010841	O34925
224308.Bsubs1_010100021276	P39140
224308.Bsubs1_010100012546	P50743
224308.Bsubs1_010100010591	O34757
224308.Bsubs1_010100010596	O34723
224308.Bsubs1_010100010586	O34653
224308.Bsubs1_010100000075	P37530
224308.Bsubs1_010100009226	Q04797
224308.Bsubs1_010100017336	Q08352
224308.Bsubs1_010100017376	P39071
224308.Bsubs1_010100017361	P45743
224308.Bsubs1_010100017371	P45744
224308.Bsubs1_010100017366	P40871
224308.Bsubs1_010100017356	P45745
224308.Bsubs1_010100020411	P39633
224308.Bsubs1_010100001563	P80869
224308.Bsubs1_010100002213	P12310
224308.Bsubs1_010100013206	P54531
224308.Bsubs1_010100021626	P42974
224308.Bsubs1_010100017506	P19582
224308.Bsubs1_010100000390	P28822
224308.Bsubs1_010100015536	P08064
224308.Bsubs1_010100003458	Q06004
224308.Bsubs1_010100003168	Q02886
224308.Bsubs1_010100012316	P54394
224308.Bsubs1_010100000455	P37573
224308.Bsubs1_010100008526	P71021
224308.Bsubs1_010100008436	P16655
224308.Bsubs1_010100000315	P37471
224308.Bsubs1_010100008101	P21880
224308.Bsubs1_010100013196	P54533
224308.Bsubs1_010100004503	O34324
224308.Bsubs1_010100020786	P39581
224308.Bsubs1_010100020791	P39580
224308.Bsubs1_010100020796	P39579
224308.Bsubs1_010100020801	P39578
224308.Bsubs1_010100020806	P39577
224308.Bsubs1_010100002388	P96578
224308.Bsubs1_010100000005	P05648
224308.Bsubs1_010100015816	P07908
224308.Bsubs1_010100021821	P37469
224308.Bsubs1_010100012291	P39787
224308.Bsubs1_010100013791	P05096
224308.Bsubs1_010100015811	P06567
224308.Bsubs1_010100013931	P17820
224308.Bsubs1_010100003743	O31498
224308.Bsubs1_010100009216	Q04809
224308.Bsubs1_010100009221	Q04810
224308.Bsubs1_010100015876	O34996
224308.Bsubs1_010100015946	O34623
224308.Bsubs1_010100000010	P05649
224308.Bsubs1_010100000095	P09122
224308.Bsubs1_010100009136	P13267
224308.Bsubs1_010100013096	P54545
224308.Bsubs1_010100013016	P54560
224308.Bsubs1_010100007166	P26902
224308.Bsubs1_010100007171	P26903
224308.Bsubs1_010100007176	P26904
224308.Bsubs1_010100007181	P26905
224308.Bsubs1_010100007186	P26906
224308.Bsubs1_010100015081	O32042
224308.Bsubs1_010100000410	P37567
224308.Bsubs1_010100004473	O31546
224308.Bsubs1_010100009121	O31753
224308.Bsubs1_010100013316	P54523
224308.Bsubs1_010100012011	P11045
224308.Bsubs1_010100015731	P94522
224308.Bsubs1_010100021221	P42293
224308.Bsubs1_010100007561	P06630
224308.Bsubs1_010100009521	P0CW80
224308.Bsubs1_010100009516	P0CW82
224308.Bsubs1_010100000750	P40735
224308.Bsubs1_010100000755	P70970
224308.Bsubs1_010100000760	P70972
224308.Bsubs1_010100005586	P55339
224308.Bsubs1_010100005591	P55340
224308.Bsubs1_010100005596	P55341
224308.Bsubs1_010100020661	P39596
224308.Bsubs1_010100020656	P39597
224308.Bsubs1_010100020666	P39595
224308.Bsubs1_010100000580	P80868
224308.Bsubs1_010100013406	P49778
224308.Bsubs1_010100009096	P80700
224308.Bsubs1_010100000585	P33166
224308.Bsubs1_010100012286	P39788
224308.Bsubs1_010100013751	P54476
224308.Bsubs1_010100002633	P96621
224308.Bsubs1_010100002638	P96622
224308.Bsubs1_010100015401	P38424
224308.Bsubs1_010100018386	P37869
224308.Bsubs1_010100018616	P71052
224308.Bsubs1_010100018611	P71053
224308.Bsubs1_010100018606	P71054
224308.Bsubs1_010100018601	P71055
224308.Bsubs1_010100018596	P71056
224308.Bsubs1_010100018591	P71057
224308.Bsubs1_010100018586	P71058
224308.Bsubs1_010100018581	P71059
224308.Bsubs1_010100018566	P71062
224308.Bsubs1_010100018561	P71063
224308.Bsubs1_010100018556	Q795J3
224308.Bsubs1_010100018551	P71065
224308.Bsubs1_010100013831	P42182
224308.Bsubs1_010100001498	P37957
224308.Bsubs1_010100004633	Q79F14
224308.Bsubs1_010100018246	O32232
224308.Bsubs1_010100015571	P94551
224308.Bsubs1_010100015576	P94550
224308.Bsubs1_010100012111	P54161
224308.Bsubs1_010100013331	P54521
224308.Bsubs1_010100013326	P54522
224308.Bsubs1_010100022066	P37454
224308.Bsubs1_010100003158	P39115
224308.Bsubs1_010100006836	Q9JMQ1
224308.Bsubs1_010100006831	O34456
224308.Bsubs1_010100016151	O34894
224308.Bsubs1_010100021676	Q45597
224308.Bsubs1_010100008771	P71019
224308.Bsubs1_010100006266	O34340
224308.Bsubs1_010100008776	P51831
224308.Bsubs1_010100006261	O34746
224308.Bsubs1_010100005651	O07600
224308.Bsubs1_010100006476	P54616
224308.Bsubs1_010100004793	P71079
224308.Bsubs1_010100019666	P94584
224308.Bsubs1_010100017811	O32177
224308.Bsubs1_010100015581	P94549
224308.Bsubs1_010100017806	O32176
224308.Bsubs1_010100020096	P45866
224308.Bsubs1_010100007816	O34320
224308.Bsubs1_010100007811	O34717
224308.Bsubs1_010100017816	O32178
224308.Bsubs1_010100015586	P94548
224308.Bsubs1_010100008491	O31724
224308.Bsubs1_010100008761	O34835
224308.Bsubs1_010100019846	P39756
224308.Bsubs1_010100014876	Q795Y4
224308.Bsubs1_010100001823	O31475
224308.Bsubs1_010100017431	O05268
224308.Bsubs1_010100012656	P50727
224308.Bsubs1_010100000928	P40409
224308.Bsubs1_010100000923	P40410
224308.Bsubs1_010100000918	P40411
224308.Bsubs1_010100018086	P49936
224308.Bsubs1_010100018076	P49938
224308.Bsubs1_010100018091	P37580
224308.Bsubs1_010100018081	P49937
224308.Bsubs1_010100007861	O34737
224308.Bsubs1_010100007871	O34589
224308.Bsubs1_010100019131	P02968
224308.Bsubs1_010100008911	P24500
224308.Bsubs1_010100008916	P24501
224308.Bsubs1_010100008986	P23446
224308.Bsubs1_010100019156	P39810
224308.Bsubs1_010100019151	P96501
224308.Bsubs1_010100019166	P39809
224308.Bsubs1_010100009041	P35620
224308.Bsubs1_010100009036	P35538
224308.Bsubs1_010100009046	Q01960
224308.Bsubs1_010100019681	P39752
224308.Bsubs1_010100019676	P39753
224308.Bsubs1_010100019121	P39738
224308.Bsubs1_010100008921	P24502
224308.Bsubs1_010100008926	P23447
224308.Bsubs1_010100008931	P23448
224308.Bsubs1_010100008941	P23449
224308.Bsubs1_010100008956	P20487
224308.Bsubs1_010100008976	P23451
224308.Bsubs1_010100008996	P23452
224308.Bsubs1_010100009001	P23453
224308.Bsubs1_010100009021	P35528
224308.Bsubs1_010100009026	P35535
224308.Bsubs1_010100009031	P35537
224308.Bsubs1_010100019116	P39739
224308.Bsubs1_010100019111	P39740
224308.Bsubs1_010100019141	P96503
224308.Bsubs1_010100009006	P24073
224308.Bsubs1_010100009016	P35536
224308.Bsubs1_010100012661	P50726
224308.Bsubs1_010100008686	P94463
224308.Bsubs1_010100020166	P46908
224308.Bsubs1_010100000395	P28823
224308.Bsubs1_010100015346	Q05865
224308.Bsubs1_010100013336	P54382
224308.Bsubs1_010100009826	O31817
224308.Bsubs1_010100015871	O34403
224308.Bsubs1_010100003228	Q797E6
224308.Bsubs1_010100017691	O32157
224308.Bsubs1_010100017671	O32153
224308.Bsubs1_010100007976	O31713
224308.Bsubs1_010100008456	P28264
224308.Bsubs1_010100019076	O34814
224308.Bsubs1_010100000350	P37476
224308.Bsubs1_010100008376	Q07867
224308.Bsubs1_010100008221	O07639
224308.Bsubs1_010100019071	O34876
224308.Bsubs1_010100008796	P51835
224308.Bsubs1_010100008461	P17865
224308.Bsubs1_010100017931	P07343
224308.Bsubs1_010100012911	P54574
224308.Bsubs1_010100010621	P80872
224308.Bsubs1_010100001598	P80875
224308.Bsubs1_010100004218	P80241
224308.Bsubs1_010100015701	P94527
224308.Bsubs1_010100016676	P80879
224308.Bsubs1_010100018411	P09124
224308.Bsubs1_010100015831	O34425
224308.Bsubs1_010100013086	P54547
224308.Bsubs1_010100017041	P80860
224308.Bsubs1_010100002203	P94428
224308.Bsubs1_010100003543	P46349
224308.Bsubs1_010100002193	P94426
224308.Bsubs1_010100002198	P94427
224308.Bsubs1_010100020621	P39574
224308.Bsubs1_010100020971	P55180
224308.Bsubs1_010100010116	P39840
224308.Bsubs1_010100020616	P39575
224308.Bsubs1_010100001303	O31458
224308.Bsubs1_010100018501	O07013
224308.Bsubs1_010100018516	O32261
224308.Bsubs1_010100018511	O07011
224308.Bsubs1_010100018526	O07008
224308.Bsubs1_010100001388	P42240
224308.Bsubs1_010100003773	O06491
224308.Bsubs1_010100003778	O30509
224308.Bsubs1_010100003768	O06492
224308.Bsubs1_010100016886	P71017
224308.Bsubs1_010100016896	P71015
224308.Bsubs1_010100012516	P19465
224308.Bsubs1_010100017796	O32174
224308.Bsubs1_010100013461	P54376
224308.Bsubs1_010100013456	P54377
224308.Bsubs1_010100013466	P54378
224308.Bsubs1_010100017941	P07868
224308.Bsubs1_010100017946	P07869
224308.Bsubs1_010100017951	P07870
224308.Bsubs1_010100019371	P39569
224308.Bsubs1_010100019376	P39570
224308.Bsubs1_010100019381	P39571
224308.Bsubs1_010100000800	P16450
224308.Bsubs1_010100015516	P11470
224308.Bsubs1_010100002093	P49939
224308.Bsubs1_010100002103	P49940
224308.Bsubs1_010100002098	P49941
224308.Bsubs1_010100015501	P39072
224308.Bsubs1_010100005926	O06721
224308.Bsubs1_010100005921	O06720
224308.Bsubs1_010100005916	O06719
224308.Bsubs1_010100005911	O06718
224308.Bsubs1_010100005906	O06717
224308.Bsubs1_010100005901	O06716
224308.Bsubs1_010100020481	P39620
224308.Bsubs1_010100010766	Q7WY67
224308.Bsubs1_010100019301	P46917
224308.Bsubs1_010100019296	P46918
224308.Bsubs1_010100010146	P54422
224308.Bsubs1_010100015656	P94535
224308.Bsubs1_010100015661	P94534
224308.Bsubs1_010100005826	O07563
224308.Bsubs1_010100019626	P94591
224308.Bsubs1_010100007706	O31691
224308.Bsubs1_010100002208	P40420
224308.Bsubs1_010100016831	P39125
224308.Bsubs1_010100016846	P39118
224308.Bsubs1_010100016841	P39122
224308.Bsubs1_010100016836	P39124
224308.Bsubs1_010100013611	P54495
224308.Bsubs1_010100001008	O34824
224308.Bsubs1_010100001013	P0CI73
224308.Bsubs1_010100000255	P14192
224308.Bsubs1_010100009606	P12425
224308.Bsubs1_010100014986	O34563
224308.Bsubs1_010100001353	P40758
224308.Bsubs1_010100001358	P40759
224308.Bsubs1_010100014991	O34671
224308.Bsubs1_010100014996	O34606
224308.Bsubs1_010100014981	O34677
224308.Bsubs1_010100009601	P37582
224308.Bsubs1_010100001338	O31464
224308.Bsubs1_010100006451	O31616
224308.Bsubs1_010100005133	P18158
224308.Bsubs1_010100005123	P18156
224308.Bsubs1_010100005128	P18157
224308.Bsubs1_010100005118	P30300
224308.Bsubs1_010100001188	P37965
224308.Bsubs1_010100001193	P37948
224308.Bsubs1_010100020051	Q03224
224308.Bsubs1_010100001348	O31465
224308.Bsubs1_010100008211	O07637
224308.Bsubs1_010100010166	P39812
224308.Bsubs1_010100010161	O34399
224308.Bsubs1_010100010171	P20668
224308.Bsubs1_010100001293	P39817
224308.Bsubs1_010100014586	P94501
224308.Bsubs1_010100005676	O07605
224308.Bsubs1_010100013621	P54493
224308.Bsubs1_010100004548	P54716
224308.Bsubs1_010100004553	P54717
224308.Bsubs1_010100021596	P42100
