5833.PF14_0425	P14223
5833.PF11_0148	A0A0A0R7L6
5833.PF13_0238	A0A077GYG0
5833.PF11_0344	B2LV53
5833.PF11_0344	B2LV83
5833.PF13_0197	C5HWI2
5833.PF11_0344	M1VQA0
5833.PFE0395c	C5HXE7
5833.PF11_0344	A0A089Q8A0
5833.PF11_0344	C5IE44
5833.PF11_0165	A0A077GYM7
5833.PF11_0344	C5IE42
5833.PFA0590w	A0A076Q2T2
5833.PF11_0344	C5IEU5
5833.PF14_0260	I6Q5I6
5833.PF11_0344	I4CGK5
5833.PFE1150w	G3LXQ8
5833.PFB0935w	G5EKZ7
5833.PF11_0344	C5HWC3
5833.PFE0395c	C5HXH9
5833.PFI1475w	M1UZW3
5833.PF11_0344	B2LUZ7
5833.PF11_0344	B2LV26
5833.PFA0125c	C0L3G0
5833.PFE0395c	C5HXM6
5833.PF13_0348	C5HXV4
5833.PF11_0344	M1V1G2
5833.PF11_0344	M1VAF7
5833.PF11_0344	M1VM33
5833.PFD0830w	A7UD79
5833.PFE0395c	F6N6D4
5833.PF13_0196	C5HE32
5833.PF10_0348	C5HX23
5833.PF11_0344	M9YXP2
5833.PFE1150w	A0A060D1W6
5833.MAL7P1.27	F1CHI5
5833.PFE1150w	A0A060CXB2
5833.PFB0310c	Q58SX0
5833.PF10_0342	D9HMW2
5833.PFD1150c	U6C8F2
5833.PF11_0344	C5IEF0
5833.PFD1150c	U6C974
5833.MAL7P1.176	A0A023ZYY8
5833.PFD0830w	A0A060D2F0
5833.PFE1150w	A0A060CT48
5833.MAL7P1.27	G8C4Z2
5833.MAL7P1.27	G8C6G3
5833.MAL7P1.27	G8C6G5
5833.PF11_0344	I4CFY5
5833.PF11_0344	I4CFZ5
5833.PF11_0344	I4CGL6
5833.PFD0830w	A0A023PQ30
5833.PFD0830w	A0A023W3N2
5833.MAL7P1.27	A0A024BSX8
5833.PFE1150w	F1CHN3
5833.PFA0310c	Q5R2K6
5833.MAL7P1.27	G8C4J5
5833.PFE1150w	A0A060D244
5833.PFE1150w	G3LXP4
5833.MAL7P1.27	G8C470
5833.PF08_0095	A0A023W322
5833.MAL8P1.121	Q2KNS1
5833.PF10_0355	D9HN99
5833.PFB0310c	Q58SW0
5833.PF08_0095	Q9GN32
5833.MAL7P1.27	G8C4F3
5833.MAL7P1.27	G8C4G9
5833.PFI1730w	A0A060N197
5833.PF10_0153	Q27723
5833.PFI1475w	Q9TVG8
5833.PF11_0344	I4CG90
5833.PFE1150w	A0A060D1R1
5833.PF11_0165	A0A077H2W2
5833.PFA0310c	A0A024A091
5833.PFE1150w	A0A060CT35
5833.MAL7P1.27	G8C480
5833.PF11_0344	I4CFZ7
5833.PF11_0344	I4CGR8
5833.PFA0310c	Q5R2K3
5833.PFE1150w	A0A060D2U3
5833.PFA0310c	E5RTY5
5833.PFA0015c	Q1KV67
5833.MAL7P1.27	A0A024BSY4
5833.PF11_0165	A0A077H2P4
5833.PF14_0543	C0KWU7
5833.MAL7P1.27	G8C4K8
5833.PF10_0344	Q9TW66
5833.MAL7P1.27	G8C492
5833.MAL7P1.27	G8C4F9
5833.PF13_0238	A0A077LQB4
5833.MAL7P1.27	F1CHJ3
5833.MAL7P1.27	A0A024BTR7
5833.PFD0830w	A0A060D6E8
5833.PFB0305c.1	O76245
5833.PF13_0197	Q95NH8
5833.MAL7P1.27	F8TW76
5833.PFD0830w	A0A060DB32
5833.PF08_0095	Q9GNJ3
5833.PFE1640w	Q95W54
5833.PF07_0006	B0Z896
5833.PFE0075c	C5HEX1
5833.PF13_0197	C5HWJ4
5833.PF10_0323	C5HWR6
5833.PFD1160w	H7CFZ6
5833.PFA0125c	Q66PK6
5833.PFB0310c	Q70IE8
5833.PF08_0095	Q27865
5833.PF10_0344	Q9TVY9
5833.PFA0310c	D3KCG8
5833.PF13_0011	Q27336
5833.PF11_0344	Q8I0B6
5833.PFL0620c	Q9BH83
5833.PFE0545c	Q3YE97
5833.PF11_0344	Q967K1
5833.PFI1445w	Q8I060
5833.MAL13P1.22	Q8WQK1
5833.PFD0830w	A0A060D6J1
5833.MAL7P1.27	F1CHK2
5833.PF08_0095	A0A023PPR3
5833.PFA0125c	A0A023ZZH9
5833.PFE1150w	A0A060CT13
5833.PFI1730w	A0A060MZT7
5833.PF11_0165	A0A077GX05
5833.PF13_0238	A0A077H391
5833.PFA0310c	Q5R2K0
5833.PF13_0271	S5Y677
5833.PF11_0344	C5IDY2
5833.PF11_0344	C5IE02
5833.PFA0590w	D0QEY2
5833.PF11_0344	I4CG24
5833.PF11_0344	I4CG72
5833.PF11_0344	I4CG92
5833.PF13_0271	I6Q2K7
5833.PFC0210c	Q764K4
5833.MAL7P1.27	Q1PS33
5833.PF13_0218	S5YJ49
5833.PFD1150c	U6C8U7
5833.PF10_0323	C5HWR7
5833.PF11_0344	Q967I7
5833.PF11_0344	B0L8J5
5833.PF11_0344	C5IE49
5833.PF11_0344	C5IEZ1
5833.MAL7P1.176	I6M225
5833.PF11_0344	M1VM40
5833.PFD1235w	Q9XZ78
5833.PFE0395c	F6N6D7
5833.PF13_0271	I6Q5G8
5833.PF11_0344	Q967J1
5833.PF13_0197	C5HWI8
5833.PF10_0355	D9HNB6
5833.PF13_0338	C5HX60
5833.PFE1150w	G3LXP1
5833.PF11_0344	C5HW85
5833.PF13_0338	C5HDV8
5833.PF11_0344	C5HWF9
5833.PF10_0323	C5HWS9
5833.PFE0395c	C5HXG3
5833.PF13_0197	C5HWK9
5833.PFE0395c	C5HXF7
5833.PF14_0281	Q2KNX9
5833.PFE1150w	A0A060D1M5
5833.PF11_0344	C5IDX5
5833.PF11_0344	C5IEA0
5833.PF11_0344	C5IEM0
5833.PF13_0198	E5G966
5833.PF13_0198	E5G969
5833.PF11_0344	C5IE16
5833.PF08_0095	Q9GN63
5833.PF11_0344	C5IDX2
5833.PF11_0165	A0A077GXU1
5833.PF10_0355	D9HNA1
5833.PF11_0344	M1VAC9
5833.PF11_0344	D9MXV8
5833.PFB0310c	Q58SX8
5833.PF11_0344	D9MXH7
5833.PF13_0271	I6Q418
5833.PF14_0260	I6Q105
5833.PF13_0238	A0A077H0E5
5833.PF11_0344	C5IEV2
5833.PF11_0344	D9MXU7
5833.PF11_0344	S6AN35
5833.PF11_0344	C5IDY9
5833.PF11_0344	D7GLS8
5833.PFD0830w	Q9GN27
5833.PFE1150w	R4JR42
5833.PF11_0344	A0A075DB04
5833.PF07_0037	Q9XTQ1
5833.MAL13P1.60	Q105T8
5833.PF11_0344	Q95NJ2
5833.PFE1150w	A0A060CWG2
5833.PF14_0260	I6Q2L9
5833.PF11_0344	D7GLM6
5833.PF11_0344	D7GLR7
5833.PF14_0102	D7NSU0
5833.PF08_0108	Q2KNW6
5833.PFB0310c	Q8I0I8
5833.PFA0310c	D3KCI3
5833.PFA0125c	Q66PL4
5833.PF11_0224	Q6V9G6
5833.PF11_0344	Q8I0Q1
5833.PFD0830w	Q9GNC7
5833.PFE1150w	G3LXT6
5833.PFE1150w	G3LXV4
5833.PF13_0247	Q26011
5833.MAL7P1.176	Q27361
5833.PFA0125c	Q6RKC6
5833.PFB0915w	Q8I0D0
5833.PF11_0344	Q8I0I7
5833.PFB0310c	Q8ITM1
5833.PFI1370c	Q9GPP8
5833.PF10_0344	Q9TVJ5
5833.PF13_0247	Q9U415
5833.PFB0340c	I0IYZ3
5833.PFB0340c	I0IZS8
5833.PF13_0133	Q17SA7
5833.PF07_0037	Q9XTL7
5833.PFE1150w	A0A060D1V7
5833.PF11_0344	C5IED7
5833.PF11_0344	D9MXM7
5833.PF11_0344	B2LV02
5833.PFB0340c	T1RUG4
5833.PFE1150w	A0A060D2K1
5833.PFE1150w	R4JUH7
5833.MAL7P1.176	Q105H9
5833.MAL13P1.60	Q105S1
5833.PF08_0108	Q2KNW1
5833.PFE1150w	Q5PZ10
5833.PF11_0344	A0A075DC64
5833.PFE1150w	A0A088AX67
5833.PF11_0344	A0A075DBS2
5833.PF11_0344	A0A075DBS4
5833.PF11_0344	D7GLP5
5833.PF14_0102	Q27330
5833.PF07_0037	Q9GN11
5833.MAL7P1.27	G8C624
5833.MAL7P1.27	G8C4A1
5833.MAL7P1.27	G8C5H5
5833.PFA0310c	E1CCM0
5833.MAL7P1.27	G8C617
5833.MAL7P1.176	Q105C1
5833.PFE1150w	R4K0K2
5833.PFE1150w	G3LXS3
5833.PFB0340c	I0IZM3
5833.PFD0830w	A0A060D264
5833.PFE1150w	R4JSJ8
5833.PF13_0247	Q26010
5833.MAL7P1.27	Q5PZ18
5833.PFB0310c	Q70IC5
5833.MAL7P1.176	Q8I0C8
5833.PF13_0271	S5YWN5
5833.MAL7P1.176	Q105F9
5833.PF11_0224	Q6V9G9
5833.PF11_0344	A0A075DA12
5833.PFB0310c	Q8I076
5833.MAL7P1.27	G8C4L7
5833.PFI1475w	M1VFA4
5833.PFE1150w	R4K0D0
5833.MAL7P1.176	Q105B9
5833.MAL13P1.60	Q105T5
5833.PF10_0356	Q27243
5833.PFA0310c	D3KCH1
5833.PFE0395c	Q962H6
5833.PFE1150w	R4JY26
5833.PFE1150w	A0A060CWM5
5833.PF11_0344	I4CGW6
5833.PFB0010w	O46360
5833.MAL13P1.60	Q8I049
5833.PF13_0271	S5YWR0
5833.PFA0590w	A0A076PUD0
5833.PFC0210c	Q27425
5833.PFE1150w	A0A075DZI8
5833.PF11_0344	D7GLM5
5833.MAL7P1.176	Q105B7
5833.PFD0830w	Q9GNB0
5833.PFA0125c	Q105Z6
5833.MAL13P1.60	Q105S3
5833.PFE0080c	Q9TVT9
5833.PFE1150w	A0A060D2W7
5833.PF13_0248	A8QVR5
5833.MAL7P1.27	D1LDU0
5833.PFB0935w	G5EL02
5833.MAL7P1.176	Q105A7
5833.MAL7P1.176	Q105A9
5833.MAL7P1.176	Q105C2
5833.PF11_0344	A0A075DC68
5833.PF11_0344	I4CGP2
5833.MAL7P1.176	Q105E7
5833.PF10_0356	Q9TW78
5833.PFE1150w	S5YWD8
5833.PFE0395c	F6N6G4
5833.PFE1150w	R4JUE5
5833.PF13_0238	A0A077GZC8
5833.PF13_0238	A0A077H0A2
5833.PF11_0344	I4CGU8
5833.PF13_0201	Q5EIN5
5833.PF10_0342	D9HMY3
5833.PFA0310c	E5RU34
5833.PF14_0102	Q25730
5833.MAL7P1.176	Q27390
5833.PF11_0344	Q95NZ1
5833.PF11_0344	Q9BHB6
5833.PF07_0037	Q9XTK5
5833.PFE1150w	A0A075DZQ8
5833.MAL7P1.27	G8C695
5833.PF11_0344	I4CH49
5833.PFB0305c.1	Q8I0H3
5833.PF11_0344	D7GLR5
5833.PFE1150w	G3LXN5
5833.MAL7P1.176	Q27248
5833.PF10_0342	D9HMV3
5833.PF10_0342	D9HMV8
5833.PF11_0344	I4CH64
5833.PFE1150w	R4JUF1
5833.PFA0125c	Q66PK8
5833.PFA0125c	Q66PL1
5833.PF07_0037	Q9BH29
5833.MAL8P1.109	Q2KNT3
5833.MAL7P1.176	Q105A6
5833.PF11_0344	D7GLY3
5833.MAL13P1.60	Q8T9L8
5833.PF11_0344	Q8I068
5833.PFE1150w	G3LXS5
5833.PF11_0344	I4CGI9
5833.PF11_0344	Q8I0C4
5833.PF13_0238	A0A077H302
5833.PF11_0344	A0A075D9Y5
5833.PF08_0095	Q9GNJ9
5833.PFB0310c	Q58SW9
5833.MAL13P1.60	Q8MM74
5833.PF13_0247	Q8STH6
5833.PFL0630w	Q94652
5833.PF08_0095	Q9GN25
5833.PF10_0344	Q9TVW1
5833.MAL13P1.60	Q66PM7
5833.PF10_0344	Q9TVI1
5833.PF13_0218	S5ZEH3
5833.PFB0210c	O97467
5833.PFD0210c	A8QVP1
5833.PFE1150w	G3LXT7
5833.MAL13P1.60	Q8MM04
5833.PFE1150w	G3LXN2
5833.PFE1150w	G3LXU6
5833.PF08_0095	Q27892
5833.PFA0310c	E1CBZ0
5833.MAL7P1.27	G8C4P4
5833.PFB0340c	I0IZQ7
5833.PF13_0141	A0A097PA37
5833.PF11_0344	A0A075DBP0
5833.PFA0590w	A7XLD3
5833.PFB0340c	I0IZL9
5833.PF13_0238	A0A077GYC8
5833.PFE1150w	A0A075DZG3
5833.PFB0935w	G5EKX8
5833.PFI1475w	M1VFJ2
5833.PF13_0338	C5HX73
5833.PF07_0035	O18662
5833.PFA0125c	Q6RKB5
5833.PF11_0344	Q8I0M1
5833.PFB0935w	G5EKY1
5833.PFE0080c	B9VGG6
5833.PF11_0344	C5HWB5
5833.PF13_0338	C5HX85
5833.PF11_0344	C5IDX7
5833.MAL7P1.176	F2X7H2
5833.PFA0310c	Q5R2K5
5833.PFE1150w	R4JXZ4
5833.PF14_0102	B9VGE2
5833.MAL7P1.27	Q1PPY2
5833.MAL7P1.27	Q1PPY4
5833.PF11_0344	C5IE08
5833.PF11_0344	C5IE66
5833.PF11_0344	C5IE71
5833.PF14_0260	I6Q2L8
5833.MAL7P1.27	Q1PPY8
5833.PF10_0139	W8S2H7
5833.PFB0310c	Q8ITL7
5833.PFE1150w	A0A060CSZ7
5833.PF11_0344	C5IDX3
5833.MAL13P1.480	E2DSA7
5833.PFE1150w	G3LXT0
5833.PF11_0344	D7GLQ6
5833.PFA0310c	E1CBY7
5833.MAL13P1.60	Q8MM45
5833.PFF0615c	C5HE20
5833.PFB0310c	O76244
5833.PF08_0034	Q6RGS5
5833.PFL1870c	Q8WSF5
5833.PF11_0344	I4CGJ8
5833.MAL7P1.176	Q25737
5833.PF11_0344	I4CG30
5833.MAL7P1.208	B9VGW8
5833.PFE1150w	S5YJ23
5833.PFE0080c	B9VGG5
5833.PF11_0344	I4CFY8
5833.PFE1150w	A0A060CWK0
5833.PF11_0344	C5IDW1
5833.PF11_0344	I4CGG0
5833.PFC0210c	Q8I9H5
5833.PFD0830w	A0A060D607
5833.PFI1730w	A0A060N0P8
5833.PF11_0344	C5IDU6
5833.MAL7P1.27	F1CHK1
5833.PF13_0271	I6Q2L4
5833.PF13_0271	I6Q413
5833.PFE0705c	A0A097PTD0
5833.PFE1150w	A0A060CT59
5833.PFE1150w	A0A060D2H0
5833.PF13_0238	A0A077GYG7
5833.PF11_0165	A0A077H2X8
5833.PF07_0006	B0Z860
5833.PF13_0197	Q000Q0
5833.PF10_0344	Q9TVJ2
5833.PF08_0095	A0A023PP69
5833.PFE1150w	A0A060D2J9
5833.PF11_0344	B2LV46
5833.PFE0395c	C5HXJ3
5833.PFE0395c	C5HXG8
5833.PFD0830w	D3W853
5833.MAL13P1.480	E2DSC7
5833.PFE1150w	G3LXQ1
5833.PFD0830w	A0A060D647
5833.PFC0210c	Q9TVP9
5833.PF13_0201	Q9TW77
5833.PFA0590w	A0A076Q439
5833.PF10_0348	C5HX30
5833.PFE1640w	Q9NHG7
5833.PF11_0344	I4CH54
5833.PFC0210c	M1V0C1
5833.PF07_0029	Q25882
5833.PF14_0368	Q9N699
5833.PF11_0344	C5IE52
5833.PF11_0344	C5IF26
5833.PF11_0344	C5IF39
5833.PF11_0344	I4CGL9
5833.PF14_0260	I6Q2M1
5833.PFB0935w	B0M0Y5
5833.MAL13P1.480	Q3ZJC7
5833.PFC0210c	Q764K3
5833.PFB0310c	Q8I0F0
5833.PFB0310c	Q8ITL8
5833.PFB0310c	Q8ITL9
5833.PF13_0252	Q9NIH7
5833.PFD0830w	A0A060D2G5
5833.PF11_0344	M1VGX9
5833.PF13_0338	C5HX87
5833.MAL13P1.174	C5HE53
5833.PF10_0342	D9HMZ9
5833.PF10_0139	W8R6N4
5833.PF07_0006	B0Z850
5833.PFA0310c	E1CBY9
5833.PF11_0344	I4CGQ2
5833.PF11_0344	M1VGH9
5833.PFE1150w	G3LXN0
5833.PF11_0344	M1VA85
5833.PF11_0344	Q9BH26
5833.PFE1150w	A0A060CT63
5833.PFA0310c	E1CC04
5833.PFA0310c	E1CCB9
5833.PFC0210c	Q8I0R5
5833.PF13_0197	C5HWM3
5833.PF13_0019	A7J243
5833.PF10_0348	C5HX21
5833.PF11_0344	M1VAK4
5833.PFC0210c	M1VPP3
5833.PF11_0313	Q705J5
5833.PFI0265c	B9VGJ1
5833.PFC0210c	M1VFX4
5833.PF11_0344	Q8I0C6
5833.PF11_0344	C5IE39
5833.PF13_0271	I6Q0Y7
5833.PFC0210c	M1V0F9
5833.PF11_0344	C5IE37
5833.PF11_0344	C5IEI9
5833.PFE1150w	A0A060D1W9
5833.PFD0830w	A0A060DB20
5833.PF13_0247	A8QVS4
5833.PFE0395c	C5HXE8
5833.PF11_0344	C5IE55
5833.MAL13P1.480	E2DSC6
5833.MAL13P1.60	C0L3D9
5833.PF11_0344	I4CFW8
5833.PFE0075c	C5HEX0
5833.MAL13P1.480	E2DSG9
5833.PF11_0344	M1V1C4
5833.MAL13P1.480	E2DSD4
5833.PFA0125c	A0A023ZZN9
5833.PF13_0201	Q9TVZ3
5833.PF11_0344	B2LV12
5833.PF13_0218	S5Y623
5833.PFA0310c	D3KCG6
5833.PF11_0344	B2LUY2
5833.PF11_0344	B2LV04
5833.PF10_0323	C5HWS5
5833.PF10_0348	C5HX10
5833.PF11_0344	C5IDU7
5833.PF14_0260	I6Q5I0
5833.PFC0210c	Q5R2L6
5833.PFI1475w	M1UZL9
5833.PFC0210c	T2CAP7
5833.PF13_0201	W8VMD5
5833.PF13_0238	A0A077H2Y2
5833.PFI1475w	M1VKX5
5833.PFE1150w	A0A060CX13
5833.PFE1150w	A0A060D256
5833.PF11_0344	C5HWE4
5833.PFB0915w	C7DU29
5833.PFE1150w	F1CHM5
5833.PF11_0344	M1VGV4
5833.PFC0210c	M1VLD3
5833.PFE0395c	C5HXJ2
5833.PF11_0344	A0A075DBN9
5833.PF10_0348	C5HX06
5833.PF08_0095	A0A023W350
5833.PF11_0344	E1ANM0
5833.PF13_0194	C5HEN2
5833.PF11_0344	C5HW79
5833.PFE0395c	C5HXF1
5833.PFD1160w	D9HNN7
5833.MAL7P1.176	F2X7G5
5833.PFA0310c	M9QUS6
5833.PF11_0145	Q71KM3
5833.PF11_0344	Q8I0J2
5833.MAL7P1.176	Q8I0U2
5833.PFL0620c	Q9BHA5
5833.PF10_0355	D9HN87
5833.PFC0210c	M1VL02
5833.PFC0210c	Q27325
5833.PF08_0108	Q2KNW5
5833.PF07_0006	B0Z8E6
5833.PF11_0344	C5HWG1
5833.MAL13P1.480	B7SS99
5833.PF10_0348	C5HWZ6
5833.PFI0265c	B9VGH9
5833.PF13_0197	C5HWI7
5833.PF11_0344	M1VLU6
5833.PF11_0344	M1V1I3
5833.PF11_0344	M1VLV3
5833.PF11_0344	C5IF22
5833.PFL1950w	F1DBQ8
5833.PF11_0344	M1VQ78
5833.PFE1150w	A0A060D2S8
5833.PF11_0344	B2LUV7
5833.PFA0590w	D0QEV0
5833.MAL13P1.480	E2DSB7
5833.PF11_0344	I4CGH4
5833.PF11_0344	I4CH00
5833.PFA0310c	I6Q0X6
5833.PFD0210c	A8QVP6
