7165.AGAP004810-PA	Q93118
7165.AGAP003155-PA	Q7QBJ0
7165.AGAP011705-PA	Q7PZ36
7165.AGAP000931-PA	Q7PSY2
7165.AGAP008099-PA	Q7PND3
7165.AGAP007742-PA	Q7Q373
7165.AGAP001364-PA	Q7PXE2
7165.AGAP005823-PA	Q7Q6I6
7165.AGAP003153-PA	Q5TTG1
7165.AGAP002473-PA	Q17029
7165.AGAP007244-PA	Q7QJ33
7165.AGAP002309-PA	Q5TTP0
7165.AGAP000553-PA	Q27256
7165.AGAP005936-PA	Q7Q6B5
7165.AGAP003962-PA	Q7Q297
7165.AGAP001406-PA	A7UVN1
7165.AGAP002111-PA	Q7PYU6
7165.AGAP001371-PA	C6JY97
7165.AGAP005693-PA	L7RPF3
7165.AGAP005693-PA	L7RTS0
7165.AGAP005693-PA	L7RQ80
7165.AGAP001371-PA	C6JY99
7165.AGAP001371-PA	C6JYA7
7165.AGAP001371-PA	C6JYA8
7165.AGAP007061-PA	L7RSC0
7165.AGAP011187-PA	B2FZ07
7165.AGAP007060-PA	L7T6K6
7165.AGAP011187-PA	B2FZ06
7165.AGAP005693-PA	L7RQA5
7165.AGAP007048-PA	L7T3V8
7165.AGAP007048-PA	L7T325
7165.AGAP007060-PA	L7T446
7165.AGAP007048-PA	L7T3L2
7165.AGAP001995-PA	Q8T0Y8
7165.AGAP002266-PA	Q7QKC8
7165.AGAP007048-PA	L7T4J6
7165.AGAP010387-PA	Q7PRG3
7165.AGAP004181-PA	A0NDD8
7165.AGAP002992-PA	Q5TU56
7165.AGAP006645-PA	A7UUG7
7165.AGAP000672-PA	Q7QEG0
7165.AGAP005891-PA	Q7PIL2
7165.AGAP003768-PA	Q7QFZ1
7165.AGAP007060-PA	L7T3J8
7165.AGAP007048-PA	L7T7K7
7165.AGAP006660-PA	Q7Q537
7165.AGAP005507-PA	A7UTQ4
7165.AGAP005945-PA	A4Q998
7165.AGAP007060-PA	L7T3J6
7165.AGAP007061-PA	L7RVW3
7165.AGAP007037-PA	L7RQT7
7165.AGAP007061-PA	L7RRN9
7165.AGAP005693-PA	L7RTV5
7165.AGAP001591-PA	Q8T5J8
7165.AGAP007061-PA	L7RRS8
7165.AGAP007061-PA	L7RSI6
7165.AGAP007048-PA	L7T4D5
7165.AGAP007048-PA	L7T7C9
7165.AGAP007048-PA	L7T7B6
7165.AGAP007061-PA	L7RRX7
7165.AGAP005693-PA	L7RPD5
7165.AGAP011187-PA	B2G2L8
7165.AGAP007048-PA	L7T258
7165.AGAP003417-PA	Q7QDJ6
7165.AGAP005693-PA	L7RNL6
7165.AGAP007061-PA	L7RS89
7165.AGAP007048-PA	L7T266
7165.AGAP005693-PA	L7RPL7
7165.AGAP007048-PA	L7T270
7165.AGAP007048-PA	L7T311
7165.AGAP010481-PA	B2G1T9
7165.AGAP007037-PA	L7RQV5
7165.AGAP010481-PA	B2G1U5
7165.AGAP007048-PA	L7T353
7165.AGAP007048-PA	L7T2Q6
7165.AGAP007048-PA	L7T414
7165.AGAP012387-PA	B2FZQ8
7165.AGAP007060-PA	L7T597
7165.AGAP012387-PA	B2FZQ0
7165.AGAP007060-PA	L7T3N3
7165.AGAP005693-PA	L7RPQ0
7165.AGAP007048-PA	L7T4G8
7165.AGAP007060-PA	L7T4A5
7165.AGAP007048-PA	L7T538
7165.AGAP005693-PA	A5A235
7165.AGAP005693-PA	L7RU00
7165.AGAP005693-PA	L7RTR0
7165.AGAP011187-PA	B2FZ10
7165.AGAP010857-PA	Q699F8
7165.AGAP003711-PD	F5HLG5
7165.AGAP007037-PA	L7RRF7
7165.AGAP007061-PA	L7RRZ9
7165.AGAP005693-PA	L7RPV8
7165.AGAP007061-PA	L7RWE7
7165.AGAP007061-PA	L7RRY8
7165.AGAP007048-PA	L7T279
7165.AGAP005693-PA	L7RNI2
7165.AGAP007048-PA	L7T562
7165.AGAP007037-PA	L7RRW2
7165.AGAP007037-PA	L7RPR7
7165.AGAP007060-PA	L7T8D4
7165.AGAP007061-PA	L7RRY4
7165.AGAP007048-PA	L7T4F0
7165.AGAP007060-PA	L7T616
7165.AGAP007035-PA	A7URS4
7165.AGAP007048-PA	L7T4H8
7165.AGAP007037-PA	L7RQR7
7165.AGAP005693-PA	A5A228
7165.AGAP012387-PA	B2FZP8
7165.AGAP010510-PA	Q6VPM2
7165.AGAP007035-PA	F2YBM6
7165.AGAP007061-PA	L7RS55
7165.AGAP007061-PA	L7RVX5
7165.AGAP007037-PA	L7RVE0
7165.AGAP005861-PA	Q5TRB4
7165.AGAP001004-PA	Q8WRE5
7165.AGAP007061-PA	L7RS15
7165.AGAP005693-PA	L7RPK7
7165.AGAP012387-PA	B2FZP7
7165.AGAP007061-PA	L7RSD6
7165.AGAP007060-PA	L7T3U5
7165.AGAP007048-PA	L7T786
7165.AGAP007048-PA	L7T7F7
7165.AGAP001219-PA	Q7PUE2
7165.AGAP007060-PA	L7T9C7
7165.AGAP007035-PA	F2YBL0
7165.AGAP007048-PA	L7T337
7165.AGAP004880-PA	Q7Q981
7165.AGAP005693-PA	L7RTM0
7165.AGAP007048-PA	L7T7E3
7165.AGAP007037-PA	L7RQ20
7165.AGAP006968-PA	Q7PT77
7165.AGAP004904-PA	A3E7Z8
7165.AGAP004437-PC	F5HLN4
7165.AGAP001697-PA	Q7PY13
7165.AGAP004352-PA	Q7QA95
7165.AGAP008281-PA	Q9BIH3
7165.AGAP000462-PA	Q7PS16
7165.AGAP012197-PA	Q7PCS9
7165.AGAP012885-PA	B1Q2A0
7165.AGAP005175-PA	Q7PQ11
7165.AGAP003078-PA	Q7PQQ4
7165.AGAP000700-PA	F5HJV6
7165.AGAP007373-PA	Q7QJ96
7165.AGAP001065-PA	F5HM13
7165.AGAP009329-PA	Q7QGF7
7165.AGAP009584-PA	Q9NGZ1
7165.AGAP007160-PA	Q7QIZ9
7165.AGAP001488-PA	A0NH37
7165.AGAP002465-PA	Q7QC60
7165.AGAP003989-PA	Q7Z1M1
7165.AGAP007209-PA	A7URL1
7165.AGAP003114-PA	Q7PQR8
7165.AGAP002464-PA	A0ND34
7165.AGAP004373-PB	F5HLM2
7165.AGAP007060-PA	L7T431
7165.AGAP007048-PA	L7T480
7165.AGAP001682-PA	Q4JSB3
7165.AGAP000466-PA	Q7QFG0
7165.AGAP001783-PA	Q7PY77
7165.AGAP007061-PA	L7RRP5
7165.AGAP007048-PA	L7T7D6
7165.AGAP007048-PA	L7T3T5
7165.AGAP005777-PA	Q7Q6L5
7165.AGAP002156-PA	Q7QK53
7165.AGAP000565-PA	Q86GB3
7165.AGAP002395-PA	Q7PQZ6
7165.AGAP007061-PA	L7RRK8
7165.AGAP007060-PA	L7T506
7165.AGAP007061-PA	L7RRL2
7165.AGAP007209-PA	Q7PTA7
7165.AGAP006342-PA	Q7Q5N9
7165.AGAP007048-PA	L7T894
7165.AGAP004679-PA	Q5TSB4
7165.AGAP001813-PA	Q7PUQ8
7165.AGAP009777-PA	Q7Q1I2
7165.AGAP012573-PA	Q5TPH4
7165.AGAP006388-PA	Q8I952
7165.AGAP007159-PA	Q7PCM8
7165.AGAP004819-PA	Q7PMR4
7165.AGAP005567-PA	Q7Q709
7165.AGAP002564-PA	F5HKV6
7165.AGAP007048-PA	L7T4K2
7165.AGAP005693-PA	L7RPI1
7165.AGAP007060-PA	L7T428
7165.AGAP007048-PA	L7T7P5
7165.AGAP006343-PA	Q7PP76
7165.AGAP007393-PA	Q5TWW9
7165.AGAP011400-PA	Q7PJD3
7165.AGAP008225-PA	Q7PJ67
7165.AGAP009520-PA	Q7QG60
7165.AGAP000599-PA	Q7QFP3
7165.AGAP005381-PA	Q7Q7C8
7165.AGAP003021-PA	Q7PQY9
7165.AGAP011425-PA	Q8I953
7165.AGAP007939-PA	Q7Q3L6
7165.AGAP004458-PA	F5HLP7
7165.AGAP007162-PA	Q7PT53
7165.AGAP000748-PA	Q7QEA4
7165.AGAP012184-PA	Q7PVA5
7165.AGAP007103-PA	A0NBK0
7165.AGAP003541-PA	F5HL97
7165.AGAP000516-PA	Q7QFJ0
7165.AGAP000179-PA	F5HJQ3
7165.AGAP002921-PA	Q7PQY8
7165.AGAP000188-PA	Q7PFX7
7165.AGAP000565-PA	Q8MZM6
7165.AGAP000565-PA	Q86GB2
7165.AGAP001459-PA	F5HMP6
7165.AGAP001388-PA	C6JWS6
7165.AGAP005247-PA	C6JXB7
7165.AGAP005247-PA	C6JXB8
7165.AGAP006918-PA	C6JXW2
7165.AGAP007712-PA	C6JY27
7165.AGAP012352-PA	D3KAN1
7165.AGAP006910-PA	C6K191
7165.AGAP009673-PA	C6K2E0
7165.AGAP003205-PA	C6JX52
7165.AGAP011294-PA	B2FZB0
7165.AGAP007683-PA	B2G1A5
7165.AGAP006909-PA	C6K0X0
7165.AGAP002635-PA	Q4JJS9
7165.AGAP005247-PA	C6JXE0
7165.AGAP006906-PA	C6JXR8
7165.AGAP006343-PA	D2SU82
7165.AGAP007034-PA	L7RHP9
7165.AGAP003250-PA	Q6VFC8
7165.AGAP008051-PA	Q8T6R3
7165.AGAP005065-PA	B2G0N8
7165.AGAP009673-PA	C6K2B9
7165.AGAP005681-PA	L7RPL4
7165.AGAP006911-PA	B5KPT5
7165.AGAP005948-PA	A5A1K8
7165.AGAP003143-PA	C6JWY7
7165.AGAP007713-PA	C6K1T3
7165.AGAP002422-PA	B2FVU0
7165.AGAP005194-PA	F2X4X1
7165.AGAP000877-PA	Q5PU07
7165.AGAP006511-PA	B5KPI5
7165.AGAP005681-PA	L7RPI2
7165.AGAP006186-PC	B2G0Y7
7165.AGAP001070-PA	Q5PTF7
7165.AGAP000969-PB	F5HJ18
7165.AGAP003143-PA	C6JWY6
7165.AGAP006343-PA	D2STP9
7165.AGAP012706-PA	G8I2G7
7165.AGAP005335-PA	A5A1R2
7165.AGAP001376-PA	C6JZW0
7165.AGAP010134-PA	Q6VPP0
7165.AGAP009221-PA	B2FY44
7165.AGAP006906-PA	C6JXQ3
7165.AGAP005656-PA	B2G0U7
7165.AGAP001388-PA	C6JWS9
7165.AGAP003143-PA	C6JWZ9
7165.AGAP007034-PA	L7RH78
7165.AGAP006906-PA	C6JXS1
7165.AGAP006910-PA	C6K174
7165.AGAP004707-PA	Q5PTB3
7165.AGAP002857-PA	D3KAC4
7165.AGAP001070-PA	Q5PTF5
7165.AGAP005717-PA	C3VRY5
7165.AGAP005247-PA	C6JXD8
7165.AGAP007713-PA	C6K1R7
7165.AGAP003250-PA	C0L2P4
7165.AGAP001070-PA	Q5PTG3
7165.AGAP006909-PA	C6K0V2
7165.AGAP011789-PA	B2FZE8
7165.AGAP007713-PA	C6K1R6
7165.AGAP007717-PA	C6K1Y6
7165.AGAP007717-PA	C6K205
7165.AGAP009673-PA	C6K2E3
7165.AGAP009701-PA	Q5PTN6
7165.AGAP007693-PA	C6JYI3
7165.AGAP009209-PA	C6K0E5
7165.AGAP007034-PA	L7RL53
7165.AGAP007041-PA	L7T653
7165.AGAP000877-PA	Q5PU37
7165.AGAP010601-PA	Q7Q8R5
7165.AGAP001826-PA	L7RKF9
7165.AGAP009196-PA	Q8MUQ7
7165.AGAP005717-PA	B5KPL8
7165.AGAP005762-PA	L7RI20
7165.AGAP001979-PA	B2FVQ7
7165.AGAP007034-PA	L7RL70
7165.AGAP007033-PA	L7T5V2
7165.AGAP000877-PA	Q5PTZ7
7165.AGAP006910-PA	C6K196
7165.AGAP007058-PA	L7T571
7165.AGAP001376-PA	C6JZW7
7165.AGAP007033-PA	L7T281
7165.AGAP005656-PA	B2G0T7
7165.AGAP002647-PA	A4GS86
7165.AGAP006911-PA	B2FXI9
7165.AGAP002593-PA	L7RKT4
7165.AGAP007030-PA	L7T578
7165.AGAP007058-PA	L7T5F9
7165.AGAP008283-PA	Q9UB32
7165.AGAP007032-PA	L7RGJ4
7165.AGAP005762-PA	L7RIQ6
7165.AGAP000344-PA	Q7PG05
7165.AGAP001377-PA	B2FVJ4
7165.AGAP011326-PA	B2FZC5
7165.AGAP000193-PA	B2FZT1
7165.AGAP003396-PA	B2G0J1
7165.AGAP007030-PA	L7T055
7165.AGAP000536-PA	B2FV99
7165.AGAP002798-PA	B2FVZ0
7165.AGAP002799-PA	B2FW23
7165.AGAP004455-PA	B2FWN4
7165.AGAP007866-PA	B2FXR4
7165.AGAP009515-PA	B2FY70
7165.AGAP009515-PA	B2FY79
7165.AGAP010833-PA	B2FYV8
7165.AGAP011186-PA	B2FYY2
7165.AGAP005391-PA	B2G0R2
7165.AGAP009098-PA	B2G1L8
7165.AGAP010044-PA	B2G1Q0
7165.AGAP009565-PA	B2G1R8
7165.AGAP006421-PA	L7RJX9
7165.AGAP004659-PA	O76760
7165.AGAP008645-PA	B2C7H0
7165.AGAP008360-PA	B2FXS1
7165.AGAP009844-PA	B2FY93
7165.AGAP010731-PA	B2FYI5
7165.AGAP010812-PA	B2FYP2
7165.AGAP010816-PA	B2FYR5
7165.AGAP011518-PA	B2G1W5
7165.AGAP012408-PA	B2G238
7165.AGAP002799-PA	B2G2C0
7165.AGAP010812-PA	B2G2J8
7165.AGAP011391-PA	Q7Q2Y1
7165.AGAP005762-PA	L7RI50
7165.AGAP006102-PA	L7RJV4
7165.AGAP005762-PA	L7RM75
7165.AGAP012352-PA	L7RQF9
7165.AGAP005717-PA	B5KPM6
7165.AGAP006911-PA	C6K108
7165.AGAP009213-PA	B2FY20
7165.AGAP006910-PA	C6K1A4
7165.AGAP001598-PA	Q8T5J1
7165.AGAP002593-PA	L7RM20
7165.AGAP002188-PA	Q8I8T5
7165.AGAP004920-PA	B2FWR7
7165.AGAP000193-PA	B2FZS7
7165.AGAP003743-PA	B2G0L3
7165.AGAP006560-PA	Q7PCP1
7165.AGAP001377-PA	C6JZ89
7165.AGAP005910-PA	Q7Q6D5
7165.AGAP005830-PA	B2G0W2
7165.AGAP001377-PA	B2FVJ8
7165.AGAP002270-PA	B2FVS3
7165.AGAP004920-PA	B2FWS0
7165.AGAP011326-PA	B2FZC4
7165.AGAP002799-PA	B2G2B5
7165.AGAP010816-PA	B2FYR9
7165.AGAP011934-PA	Q7PZI7
7165.AGAP010650-PA	Q8I8P7
7165.AGAP011072-PA	Q5TVV9
7165.AGAP010603-PA	Q6VVH1
7165.AGAP007713-PA	Q7PTF9
7165.AGAP006866-PA	B5KP89
7165.AGAP000643-PA	Q8I8Q3
7165.AGAP004640-PA	Q5TRV5
7165.AGAP012322-PA	Q6H900
7165.AGAP002324-PA	Q7QBV0
7165.AGAP001859-PA	A0NGW2
7165.AGAP004400-PA	Q7QA74
7165.AGAP004904-PA	A3E800
7165.AGAP008213-PA	Q86GQ9
7165.AGAP004660-PA	O76761
7165.AGAP003307-PA	Q8I8T1
7165.AGAP001980-PA	Q7PYK2
7165.AGAP008645-PA	B2C7H1
7165.AGAP009098-PA	B2G1L9
7165.AGAP006348-PA	B2G2D4
7165.AGAP006348-PA	B2G2C6
7165.AGAP004380-PA	Q9GPL6
7165.AGAP007058-PA	L7T684
7165.AGAP000609-PA	L7ZER7
7165.AGAP000940-PA	B2FVG3
7165.AGAP006102-PA	L7RJU5
7165.AGAP004920-PA	B2FWT0
7165.AGAP007692-PA	B2FXQ0
7165.AGAP010812-PA	B2FYN5
7165.AGAP010812-PA	B2FYP6
7165.AGAP000826-PA	B2FZZ5
7165.AGAP000994-PA	B2G012
7165.AGAP000536-PA	B2FVA2
7165.AGAP001433-PA	B2FVK8
7165.AGAP009212-PA	B2FXZ5
7165.AGAP000573-PA	B2FVB5
7165.AGAP006747-PA	B2FXG9
7165.AGAP001889-PA	Q52P92
7165.AGAP010731-PA	B2FYH4
7165.AGAP003012-PA	B2G0E1
7165.AGAP001585-PC	Q86LB8
7165.AGAP009515-PA	B2FY68
7165.AGAP010423-PA	B2FYD9
7165.AGAP011186-PA	B2FYY1
7165.AGAP012229-PA	B2G213
7165.AGAP007032-PA	L7RG18
7165.AGAP009844-PA	Q9NAS9
7165.AGAP002651-PA	B2FVW6
7165.AGAP002651-PA	B2FVX3
7165.AGAP003509-PA	F5HJ63
7165.AGAP007041-PA	L7T6I0
7165.AGAP002445-PA	Q7QC45
7165.AGAP006632-PA	B2G112
7165.AGAP010044-PA	B2G1P1
7165.AGAP004674-PA	Q5BN34
7165.AGAP001721-PA	Q7PY28
7165.AGAP004455-PA	B2FWM2
7165.AGAP006348-PA	B2FXE5
7165.AGAP006348-PA	B2FXF3
7165.AGAP006348-PA	B2FXF6
7165.AGAP009212-PA	B2FXZ4
7165.AGAP011951-PA	B2FZM4
7165.AGAP000826-PA	B2G005
7165.AGAP003743-PA	B2G0L4
7165.AGAP002972-PA	Q7QD60
7165.AGAP000099-PA	B2FV74
7165.AGAP000536-PA	B2FV93
7165.AGAP000193-PA	B2FZS6
7165.AGAP002152-PA	Q66T26
7165.AGAP007684-PA	Q7QJW0
7165.AGAP006421-PA	L7RPF4
7165.AGAP006747-PA	B2C743
7165.AGAP000536-PA	B2FV91
7165.AGAP000536-PA	B2FV92
7165.AGAP006348-PA	B2FXE6
7165.AGAP010731-PA	B2FYH5
7165.AGAP000193-PA	B2FZS5
7165.AGAP008363-PA	B2G1F3
7165.AGAP004046-PA	F5HJ49
7165.AGAP006588-PA	Q2EPZ3
7165.AGAP000662-PA	F5HJZ9
7165.AGAP002155-PA	Q7PTL7
7165.AGAP007643-PA	A0NBC2
7165.AGAP010423-PA	B2FYD7
7165.AGAP010812-PA	B2G2J6
7165.AGAP008364-PA	B2G2K9
7165.AGAP013404-PA	F5HKK3
7165.AGAP013438-PA	F5HM93
7165.AGAP007058-PA	L7T7G0
7165.AGAP005076-PA	A7UT63
7165.AGAP000794-PA	F5HJY7
7165.AGAP001653-PA	Q7PXY3
7165.AGAP006076-PA	Q7YW65
7165.AGAP009213-PA	C6JZQ0
7165.AGAP001826-PA	L7RQJ1
7165.AGAP007050-PA	B2G189
7165.AGAP003251-PA	B2FWA4
7165.AGAP006102-PA	L7RIN8
7165.AGAP010409-PA	Q7PGA3
7165.AGAP007396-PA	Q7QJB6
7165.AGAP010815-PA	B5AZL4
7165.AGAP013511-PA	F5HLR1
7165.AGAP010938-PA	Q6PUC7
7165.AGAP002974-PA	Q7QD62
7165.AGAP002025-PA	Q8I8Q9
7165.AGAP006774-PA	B5KPP7
7165.AGAP011951-PA	B2FZN2
7165.AGAP006910-PA	C6K175
7165.AGAP005681-PA	L7RNZ0
7165.AGAP002798-PA	B2FVZ2
7165.AGAP010833-PA	Q9NAS8
7165.AGAP002799-PA	B2FW18
7165.AGAP007692-PA	B2FXN9
7165.AGAP007063-PA	B2G167
7165.AGAP002798-PA	B2G2B2
7165.AGAP007698-PB	Q5TX47
7165.AGAP000193-PA	B2FZS2
7165.AGAP006421-PA	L7RK34
7165.AGAP010815-PA	B5AZE7
7165.AGAP004549-PA	F5HLH6
7165.AGAP006348-PA	L7RNA7
7165.AGAP007121-PA	Q86QH4
7165.AGAP002798-PA	B2FVZ5
7165.AGAP007692-PA	B2FXN8
7165.AGAP006421-PA	L7RJ88
7165.AGAP002593-PA	L7RM96
7165.AGAP007041-PA	L7T3K4
7165.AGAP007041-PA	L7T671
7165.AGAP011503-PA	Q6VAX1
7165.AGAP009690-PA	Q5PT72
7165.AGAP010833-PA	B2FYW7
7165.AGAP006632-PA	B2G120
7165.AGAP008232-PA	B2G1D0
7165.AGAP001377-PA	B2FVI9
7165.AGAP008368-PA	B2FXW9
7165.AGAP012295-PA	Q8T624
