272624.lpg0866	Q5ZX66
272624.lpg1215	Q5ZW72
272624.lpg0425	Q5ZYE7
272624.lpg0009	Q5ZZK1
272624.lpg1285	Q9S4T0
272624.lpg1195	Q5ZW91
272624.lpg0750	Q5ZXI1
272624.lpg1196	Q5ZW90
272624.lpg1197	Q5ZW89
272624.lpg1198	Q5ZW88
272624.lpg1998	Q5ZU10
272624.lpg1199	Q5ZW87
272624.lpg0641	Q5ZXU0
272624.lpg0640	Q5ZXU1
272624.lpg1369	Q5ZVS1
272624.lpg0180	Q5ZZ31
272624.lpg0709	Q5ZXM2
272624.lpg1380	Q5ZVR0
272624.lpg0711	Q5ZXM0
272624.lpg2476	Q5ZSP1
272624.lpg2051	Q5ZTV7
272624.lpg1770	Q5ZUM3
272624.lpg2772	Q5ZRV4
272624.lpg2709	Q5ZS10
272624.lpg2389	Q5ZSX7
272624.lpg0194	Q5ZZ17
272624.lpg1182	Q5ZWA3
272624.lpg1919	Q5ZU88
272624.lpg2010	Q5ZTZ8
272624.lpg0636	Q5ZXU5
272624.lpg1399	Q5ZVP1
272624.lpg1188	Q5ZW98
272624.lpg2126	Q5ZTN5
272624.lpg2384	Q5ZSY2
272624.lpg0696	Q5ZXN5
272624.lpg1872	Q5ZUD2
272624.lpg1768	Q5ZUM5
272624.lpg2869	Q5ZRL2
272624.lpg0745	Q5ZXI6
272624.lpg1511	Q5ZVC9
272624.lpg2278	Q5ZT84
272624.lpg2284	Q5ZT78
272624.lpg0297	Q5ZYR4
272624.lpg1371	Q5ZVR9
272624.lpg2945	Q5ZRD7
272624.lpg2608	Q5ZSB1
272624.lpg0100	Q5ZZB1
272624.lpg2944	Q5ZRD8
272624.lpg1818	Q5ZUI0
272624.lpg2830	Q5ZRQ0
272624.lpg2352	Q5ZT13
272624.lpg2022	Q5ZTY6
272624.lpg1833	Q5ZUG5
272624.lpg2696	Q5ZS23
272624.lpg1334	Q5ZVV6
272624.lpg0791	Q5ZXE0
272624.lpg1389	Q5ZVQ1
272624.lpg1532	Q5ZVA8
272624.lpg3001	Q5ZR82
272624.lpg2889	Q5ZRJ2
272624.lpg2617	Q5ZSA2
272624.lpg0913	Q5ZX20
272624.lpg1819	Q5ZUH9
272624.lpg2540	Q5ZSH7
272624.lpg0847	Q5ZX85
272624.lpg2613	Q5ZSA6
272624.lpg2614	Q5ZSA5
272624.lpg2616	Q5ZSA3
272624.lpg0808	Q5ZXC4
272624.lpg1805	Q5ZUJ3
272624.lpg1345	Q5ZVU5
272624.lpg2823	Q5ZRQ7
272624.lpg1548	Q5ZV92
272624.lpg0751	Q5ZXI0
272624.lpg0752	Q5ZXH9
272624.lpg0753	Q5ZXH8
272624.lpg2821	Q5ZRQ9
272624.lpg0726	Q5ZXK5
272624.lpg2484	Q5ZSN3
272624.lpg2788	Q5ZRT9
272624.lpg2787	Q5ZRU0
272624.lpg2786	Q5ZRU1
272624.lpg2782	Q5ZRU5
272624.lpg2781	Q5ZRU6
272624.lpg2779	Q5ZRU8
272624.lpg2649	Q5ZS70
272624.lpg2741	Q5ZRY0
272624.lpg0025	Q5ZZI5
272624.lpg2661	Q5ZS58
272624.lpg2662	Q5ZS57
272624.lpg2929	Q5ZRF3
272624.lpg1584	Q5ZV56
272624.lpg0918	Q5ZX15
272624.lpg0536	Q5ZY37
272624.lpg0946	Q3V870
272624.lpg0137	Q5ZZ74
272624.lpg1999	Q5ZU09
272624.lpg1392	Q5ZVP8
272624.lpg2356	Q5ZT09
272624.lpg2768	Q5ZRV8
272624.lpg1141	Q5ZWE4
272624.lpg0461	Q5ZYB1
272624.lpg1609	Q5ZV33
272624.lpg2974	Q5ZRA9
272624.lpg1528	Q5ZVB2
272624.lpg1928	Q5ZU79
272624.lpg2653	Q5ZS66
272624.lpg0801	Q5ZXD1
272624.lpg0486	Q5ZY86
272624.lpg0588	Q5ZXZ2
272624.lpg1821	Q5ZUH7
272624.lpg1204	Q5ZW83
272624.lpg1425	Q5ZVL5
272624.lpg1181	Q5ZWA4
272624.lpg1712	Q5ZUT0
272624.lpg2004	Q5ZU04
272624.lpg2886	Q5ZRJ5
272624.lpg2771	Q5ZRV5
272624.lpg1801	Q5ZUJ7
272624.lpg0943	Q5ZWZ0
272624.lpg2756	Q5ZRX0
272624.lpg2336	Q5ZT29
272624.lpg0872	Q5ZX60
272624.lpg0414	Q5ZYF8
272624.lpg0397	Q5ZYH5
272624.lpg0685	Q5ZXP6
272624.lpg2774	Q5ZRV2
272624.lpg0320	Q5ZYQ2
272624.lpg0318	Q5ZYQ4
272624.lpg2707	Q5ZS12
272624.lpg0339	Q5ZYN3
272624.lpg0348	Q5ZYM4
272624.lpg0336	Q5ZYN6
272624.lpg0355	Q5ZYL7
272624.lpg0345	Q5ZYM7
272624.lpg0395	Q5ZYH7
272624.lpg0319	Q5ZYQ3
272624.lpg2712	Q5ZS07
272624.lpg2651	Q5ZS68
272624.lpg0334	Q5ZYN8
272624.lpg0331	Q5ZYP1
272624.lpg0340	Q5ZYN2
272624.lpg2652	Q5ZS67
272624.lpg2650	Q5ZS69
272624.lpg0479	Q5ZY93
272624.lpg0337	Q5ZYN5
272624.lpg0332	Q5ZYP0
272624.lpg0347	Q5ZYM5
272624.lpg0650	Q5ZXT1
272624.lpg1391	Q5ZVP9
272624.lpg0478	Q5ZY94
272624.lpg3005	Q5ZR78
272624.lpg0350	Q5ZYM2
272624.lpg0329	Q5ZYP3
272624.lpg0330	Q5ZYP2
272624.lpg0341	Q5ZYN1
272624.lpg0344	Q5ZYM8
272624.lpg0321	Q5ZYQ1
272624.lpg1589	Q5ZV51
272624.lpg1456	Q5ZVI4
272624.lpg2797	Q5ZRT1
272624.lpg1376	Q5ZVR4
272624.lpg0022	Q5ZZI8
272624.lpg1547	Q5ZV93
272624.lpg1869	Q5ZUD5
272624.lpg1373	Q5ZVR7
272624.lpg1383	Q5ZVQ7
272624.lpg2012	Q5ZTZ6
272624.lpg0094	Q5ZZB7
272624.lpg0354	Q5ZYL8
272624.lpg0322	Q5ZYQ0
272624.lpg0323	Q5ZYP9
272624.lpg2872	Q5ZRK9
272624.lpg1711	Q5ZUT1
272624.lpg0328	Q5ZYP4
272624.lpg0352	Q5ZYM0
272624.lpg0324	Q5ZYP8
272624.lpg0351	Q5ZYM1
272624.lpg0342	Q5ZYN0
272624.lpg2769	Q5ZRV7
272624.lpg0399	Q5ZYH3
272624.lpg0338	Q5ZYN4
272624.lpg1591	Q5ZV49
272624.lpg2636	Q5ZS83
272624.lpg2358	Q5ZT07
272624.lpg1714	Q5ZUS8
272624.lpg0335	Q5ZYN7
272624.lpg0353	Q5ZYL9
272624.lpg0346	Q5ZYM6
272624.lpg1592	Q5ZV48
272624.lpg0325	Q5ZYP7
272624.lpg0343	Q5ZYM9
272624.lpg2928	Q5ZRF4
272624.lpg2890	Q5ZRJ1
272624.lpg0914	Q5ZX19
272624.lpg1837	Q5ZUG1
272624.lpg1288	Q5ZW00
272624.lpg1576	Q5ZV64
272624.lpg1287	Q5ZW01
272624.lpg0587	Q5ZXZ3
272624.lpg1463	Q5ZVH7
272624.lpg2308	Q5ZT57
272624.lpg1418	Q5ZVM2
272624.lpg1978	Q5ZU30
272624.lpg2176	Q5ZTI6
272624.lpg2465	Q5ZSQ2
272624.lpg2348	Q5ZT17
272624.lpg2967	P31108
272624.lpg2839	Q5ZRP1
272624.lpg0298	Q5ZYR3
272624.lpg1282	Q9S4T3
272624.lpg1799	Q5ZUJ9
272624.lpg1307	Q5ZVY1
272624.lpg1478	Q5ZVG2
272624.lpg1911	Q5ZU96
272624.lpg2711	Q5ZS08
272624.lpg2710	Q5ZS09
272624.lpg1544	Q5ZV96
272624.lpg0937	Q5ZWZ6
272624.lpg1777	Q5ZUL6
272624.lpg1348	Q5ZVU2
272624.lpg2882	Q5ZRJ9
272624.lpg0694	Q5ZXN7
272624.lpg2031	Q5ZTX7
272624.lpg0513	Q5ZY59
272624.lpg2714	Q5ZS05
272624.lpg0719	Q5ZXL2
272624.lpg0568	Q5ZY07
272624.lpg0702	Q5ZXM9
272624.lpg1862	Q5ZUD8
272624.lpg0786	Q5ZXE5
272624.lpg1571	Q5ZV69
272624.lpg2792	Q5ZRT6
272624.lpg2835	Q5ZRP5
272624.lpg0481	Q5ZY91
272624.lpg0396	Q5ZYH6
272624.lpg1305	Q5ZVY3
272624.lpg1304	Q5ZVY4
272624.lpg0833	Q5ZX99
272624.lpg0834	Q5ZX98
272624.lpg1303	Q5ZVY5
272624.lpg1302	Q5ZVY6
272624.lpg2770	Q5ZRV6
272624.lpg1623	Q5ZV19
272624.lpg2357	Q5ZT08
272624.lpg0698	Q5ZXN3
272624.lpg1022	Q5ZWR3
272624.lpg2868	Q5ZRL3
272624.lpg1430	Q5ZVL0
272624.lpg2933	Q5ZRE9
272624.lpg2903	Q5ZRH9
272624.lpg0503	Q5ZY69
272624.lpg2243	Q5ZTB9
272624.lpg0072	Q5ZZD9
272624.lpg2645	Q5ZS74
272624.lpg0089	Q5ZZC2
272624.lpg1167	Q5ZWB8
272624.lpg1286	Q5ZW02
272624.lpg1366	Q5ZVS4
272624.lpg1689	P37033
272624.lpg1691	P37034
272624.lpg1920	Q5ZU87
272624.lpg0197	Q5ZZ14
272624.lpg2036	Q5ZTX2
272624.lpg0221	Q5ZYZ0
272624.lpg2415	Q5ZSV1
272624.lpg2489	Q5ZSM8
272624.lpg2521	Q5ZSJ6
272624.lpg2755	Q5ZRX1
272624.lpg2838	Q5ZRP2
272624.lpg2959	Q5ZRC3
272624.lpg2994	Q5ZR89
272624.lpg0586	Q5ZXZ4
272624.lpg0643	Q5ZXT8
272624.lpg0216	Q5ZYZ5
272624.lpg1440	Q5ZVK0
272624.lpg1293	Q5ZVZ5
272624.lpg3002	Q5ZR81
272624.lpg3003	Q5ZR80
272624.lpg1340	Q5F2Z2
272624.lpg1340	Q5F2Z4
272624.lpg0467	Q5F2X7
272624.lpg0627	Q5F2W9
272624.lpg0627	Q5F2V8
272624.lpg0467	Q5F2X5
272624.lpg2302	Q5F2V6
272624.lpg0791	Q5F2T3
272624.lpg0791	Q5F2U2
272624.lpg2302	Q5F2V1
272624.lpg0791	Q5F2T9
272624.lpg0467	Q5F2Y1
272624.lpg2378	A0A0C9NQ70
272624.lpg0221	A0A0C9NIX9
272624.lpg1578	A0A0C9NW27
272624.lpg2065	A0A0C9P2H6
272624.lpg2863	A0A0C9MEA1
272624.lpg2498	A0A0C9NQM0
272624.lpg2112	A0A0C9NYT2
272624.lpg2386	A0A0C9NG13
272624.lpg2401	A0A0C9NUL6
272624.lpg0553	A0A0C9NJ99
272624.lpg1253	A0A0C9MZX6
272624.lpg2061	A0A0C9NEQ9
272624.lpg2079	A0A0C9NPA8
272624.lpg2096	A0A0C9N5H9
272624.lpg2545	A0A0C9NV02
272624.lpg2075	A0A0C9NYM5
272624.lpg2939	A0A0C9MPK9
272624.lpg2095	A0A0C9MBM6
272624.lpg2914	A0A0C9NQI2
272624.lpg2067	A0A0C9N657
272624.lpg1808	A0A0C9PAG9
272624.lpg1063	A0A0C9P8E9
272624.lpg0205	A0A0C9NNH1
272624.lpg2846	A0A0C9NVY7
272624.lpg2076	A0A0C9P6I2
272624.lpg2077	A0A0C9NF29
272624.lpg1312	A0A0C9N3G3
272624.lpg1685	A0A0C9NXD3
272624.lpg0383	A0A0C9NNV7
272624.lpg2066	A0A0C9NP52
272624.lpg1064	A0A0C9NQK1
272624.lpg2108	A0A0C9NYS1
272624.lpg1740	A0A0C9NE11
272624.lpg2940	A0A0C9MEH1
272624.lpg2099	A0A0C9N673
272624.lpg1004	A0A0C9NVL3
272624.lpg2944	A0A0C9NHF9
272624.lpg1946	Q70G17
272624.lpg2917	A0A0C9NZM5
272624.lpg1249	A0A0C9N915
272624.lpg2119	A0A0C9NEW3
272624.lpg2078	A0A0C9NXJ8
272624.lpg2216	A0A0C9NXQ7
272624.lpg2406	A0A0C9MMQ3
272624.lpg1810	A0A0C9PG74
272624.lpg2391	Q6RCR5
272624.lpg0390	A0A0C9MG84
272624.lpg1152	A0A0C9NLK5
272624.lpg2419	A0A0C9NUN1
272624.lpg1318	A0A0C9P099
272624.lpg1701	A0A0C9MAG0
272624.lpg2086	A0A0C9MLM3
272624.lpg2113	A0A0C9P6L7
272624.lpg0097	A0A0C9M6M6
272624.lpg2943	A0A0C9NQK9
272624.lpg1950	Q8RT31
272624.lpg1987	A0A0C9NP21
272624.lpg2826	A0A0C9NVW5
272624.lpg1684	A0A0C9MAE4
272624.lpg2941	A0A0C9N800
272624.lpg2919	A0A0C9NW44
272624.lpg1740	A0A0C9NWN5
272624.lpg1658	A0A0C9N4E4
272624.lpg2125	A0A0C9MBQ8
272624.lpg2115	A0A0C9NF74
272624.lpg2938	A0A0C9NRU3
272624.lpg2092	A0A0C9NYQ2
272624.lpg0553	A0A0C9M7J6
272624.lpg2921	A0A0C9PDD7
272624.lpg0589	A0A0C9NB81
272624.lpg2097	A0A0C9NPC5
272624.lpg2068	A0A0C9NER5
272624.lpg1636	A0A0C9NMT6
272624.lpg2109	A0A0C9P2M3
272624.lpg2062	A0A0C9N5E3
272624.lpg2089	A0A0C9NP85
272624.lpg1003	A0A0C9M8N4
272624.lpg2399	A0A0C9N6I0
272624.lpg0192	A0A0C9NA93
272624.lpg2511	A0A0C9NQN3
272624.lpg2948	A0A0C9MPL6
272624.lpg2913	A0A0C9N7Y5
272624.lpg2381	A0A0C9NFQ4
272624.lpg2082	A0A0C9NXK3
272624.lpg2400	A0A0C9P3F7
272624.lpg2063	A0A0C9NER1
272624.lpg1692	A0A0C9NSB6
272624.lpg2946	A0A0C9N804
272624.lpg1903	A0A0C9NY07
272624.lpg2073	A0A0C9MLJ8
272624.lpg2114	A0A0C9NTP0
272624.lpg2421	A0A0C9MVB1
272624.lpg1695	A0A0C9NE07
272624.lpg2383	A0A0C9NZR5
272624.lpg2510	A0A0C9P3U9
272624.lpg2224	A0A0C9N5X7
272624.lpg2829	Q6RCQ4
272624.lpg1642	A0A0C9MK87
272624.lpg2102	A0A0C9NPC9
272624.lpg2101	A0A0C9NYR4
272624.lpg2385	A0A0C9NUK5
272624.lpg1127	A0A0C9N2W5
272624.lpg2480	A0A0C9P008
272624.lpg2105	A0A0C9NPA3
272624.lpg2080	A0A0C9NTK7
272624.lpg2094	A0A0C9P6J8
272624.lpg1247	A0A0C9NIM6
272624.lpg2070	A0A0C9NPA0
272624.lpg2185	A0A0C9NPK5
272624.lpg2947	A0A0C9NS32
272624.lpg1702	A0A0C9NXF2
272624.lpg2305	A0A0C9P353
272624.lpg2503	A0A0C9NG11
272624.lpg2893	A0A0C9P194
272624.lpg2074	A0A0C9MBK1
272624.lpg1062	A0A0C9NCN7
272624.lpg2072	A0A0C9P6H8
272624.lpg2169	A0A0C9NNI1
272624.lpg1931	A0A0C9ML45
272624.lpg2081	A0A0C9N663
272624.lpg2093	A0A0C9P2K6
272624.lpg2069	A0A0C9N5F0
272624.lpg0597	A0A0C9P2K9
272624.lpg2185	A0A0C9P6V7
272624.lpg2525	A0A0C9P8L6
272624.lpg2085	A0A0C9NP77
272624.lpg1808	A0A0C9NSR4
272624.lpg1622	A0A0C9MK65
272624.lpg0598	A0A0C9NK09
272624.lpg1001	A0A0C9NL29
272624.lpg2524	A0A0C9P051
272624.lpg2911	A0A0C9P9V0
272624.lpg2091	A0A0C9MBM1
272624.lpg2223	A0A0C9NPS1
272624.lpg1742	A0A0C9P1M5
272624.lpg2098	A0A0C9P6K2
272624.lpg2088	A0A0C9P2K2
272624.lpg0999	A0A0C9P3U7
272624.lpg0041	A0A0C9MF09
272624.lpg1683	A0A0C9NDZ5
272624.lpg2793	A0A0C9P9K8
272624.lpg2107	A0A0C9PH68
272624.lpg1686	A0A0C9P1G9
272624.lpg2920	A0A0C9P9W1
272624.lpg1002	A0A0C9MIG1
272624.lpg1300	A0A0C9N3E6
272624.lpg2169	A0A0C9MBV6
272624.lpg2950	A0A0C9P533
272624.lpg2163	A0A0C9NFC4
272624.lpg2827	A0A0C9NH69
272624.lpg1257	Q9RLS4
272624.lpg1005	A0A0C9PP98
272624.lpg1718	A0A0C9P1K6
272624.lpg0233	A0A0C9M701
272624.lpg2942	A0A0C9MYW6
272624.lpg2060	A0A0C9MLI2
272624.lpg2527	A0A0C9NGA4
272624.lpg2110	A0A0C9N683
272624.lpg2100	A0A0C9NXM1
272624.lpg2090	A0A0C9N669
272624.lpg2915	A0A0C9P9V5
272624.lpg1058	A0A0C9NUY3
272624.lpg0042	A0A0C9N8K0
272624.lpg2057	A0A0C9NEQ5
272624.lpg2415	A0A0C9NY95
272624.lpg2949	A0A0C9PDH2
272624.lpg2059	A0A0C9NP84
272624.lpg1065	A0A0C9MTB5
272624.lpg2844	A0A0C9P146
272624.lpg2505	A0A0C9NQQ9
272624.lpg2106	A0A0C9NF63
272624.lpg1963	A0A0C9NY94
272624.lpg2087	A0A0C9PH59
272624.lpg2390	A0A0C9NUK7
272624.lpg2395	A0A0C9P3F2
272624.lpg2084	A0A0C9PKF6
272624.lpg0581	A0A0C9NAE0
272624.lpg1742	A0A0C9NML3
272624.lpg1626	A0A0C9NMS2
272624.lpg2083	A0A0C9PH54
272624.lpg1224	A0A0C9NLV7
272624.lpg2064	A0A0C9NYL2
272624.lpg2111	A0A0C9MBP2
272624.lpg2687	O87770
272624.lpg2686	Q6WLY4
272624.lpg2686	E3PQ14
272624.lpg2686	Q6WLJ7
272624.lpg2686	Q8RMB0
272624.lpg2686	E3PQ59
272624.lpg2686	Q6WLI9
272624.lpg2686	E3PQ05
272624.lpg0448	Q6QFS9
272624.lpg2686	E3PQ03
272624.lpg2686	Q8RMB1
272624.lpg2686	Q8RMA4
272624.lpg2686	Q8RMA9
272624.lpg2686	Q6WLT8
272624.lpg2689	Q48801
272624.lpg0004	F8U7M5
272624.lpg0004	F8U7M2
272624.lpg0004	F8U7N4
272624.lpg0004	F8U7M8
272624.lpg0004	F8U7N9
272624.lpg0322	M9T028
272624.lpg0322	Q76DX5
272624.lpg0467	Q288I4
272624.lpg2961	Q29TV0
272624.lpg2961	Q29TV1
272624.lpg1340	Q29U94
272624.lpg2155	A0A0A1I5P5
272624.lpg0065	A0A0C9P9G6
272624.lpg0065	A0A0C9P1Q0
272624.lpg0205	A0A0C9PB66
272624.lpg1578	A0A0C9PF59
272624.lpg1952	A0A0C9PAV6
272624.lpg0209	A0A0C9MQL3
272624.lpg0061	A0A0C9P5C9
272624.lpg2917	A0A0C9PXN4
272624.lpg0061	A0A0C9N9V2
272624.lpg1903	A0A0C9NEW8
272624.lpg1941	A0A0C9NF16
272624.lpg1978	A0A0C9NF60
272624.lpg1997	A0A0C9NF84
272624.lpg1004	A0A0C9P3V4
272624.lpg1063	A0A0C9P3Y9
272624.lpg1129	A0A0C9P478
272624.lpg2419	A0A0C9PC38
272624.lpg0383	A0A0C9NAS5
272624.lpg1947	A0A0C9P698
272624.lpg2538	A0A0C9P7T9
272624.lpg2920	A0A0C9P8X7
272624.lpg0926	A0A0C9PC83
272624.lpg1931	A0A0C9PEZ2
272624.lpg1940	A0A0C9PEZ9
272624.lpg1968	A0A0C9PF19
272624.lpg0045	A0A0C9PKW3
272624.lpg2527	A0A0C9PGI4
272624.lpg0068	A0A0C9PKZ3
272624.lpg0437	A0A0C9PAJ6
272624.lpg1245	A0A0C9P273
272624.lpg1957	A0A0C9P6A6
272624.lpg1312	A0A0C9MU09
272624.lpg1964	A0A0C9PF17
272624.lpg0068	A0A0C9MPZ5
272624.lpg1963	A0A0C9NI49
272624.lpg0126	A0A0C9NSE3
272624.lpg2510	A0A0C9P8K5
272624.lpg2366	A0A0C9MZK0
272624.lpg1249	A0A0C9P5R2
272624.lpg1718	A0A0C9P6M0
272624.lpg2511	A0A0C9PCC7
272624.lpg1247	A0A0C9P1A2
272624.lpg2829	A0A0C9NZF6
272624.lpg0401	A0A0C9PM35
272624.lpg0097	A0A0C9NHV7
272624.lpg2958	A0A0C9NHV9
272624.lpg0064	A0A0C9PNS2
272624.lpg1011	A0A0C9NI37
272624.lpg2421	A0A0C9PQK0
272624.lpg2370	A0A0C9PTE4
272624.lpg0390	A0A0C9NS28
272624.lpg2381	A0A0C9NY55
272624.lpg1642	A0A0C9PJ07
272624.lpg1990	A0A0C9PSA7
272624.lpg0097	A0A0C9N9Y8
272624.lpg1991	A0A0C9PUW7
272624.lpg1961	A0A0C9NF39
272624.lpg1224	A0A0C9PD50
272624.lpg0221	A0A0C9P9Z5
272624.lpg2119	A0A0C9NXD6
272624.lpg2556	A0A0C9P8P9
272624.lpg1137	A0A0C9P504
272624.lpg1642	A0A0C9P568
272624.lpg1943	A0A0C9PS64
272624.lpg0390	A0A0C9NIQ3
272624.lpg0066	A0A0C9P5D6
272624.lpg2103	A0A0C9P6K7
272624.lpg2829	A0A0C9NZY9
272624.lpg0060	A0A0C9P1P5
272624.lpg1656	A0A0C9P6A5
272624.lpg1328	A0A0C9PDD8
272624.lpg0063	A0A0C9PKY8
272624.lpg1010	A0A0C9MQC0
272624.lpg1642	A0A0C9PA04
272624.lpg0041	A0A0C9PKV8
272624.lpg1810	A0A0C9PUE6
272624.lpg1715	A0A0C9NWL6
272624.lpg0205	A0A0C9P2E6
272624.lpg1942	A0A0C9P694
272624.lpg0645	A0A0C9MH89
272624.lpg0645	A0A0C9NBI9
272624.lpg1985	A0A0C9PSA4
272624.lpg0598	A0A0C9NJE3
272624.lpg1010	A0A0C9P6K1
272624.lpg2510	A0A0C9NGM5
272624.lpg0764	A0A0C9P2F4
272624.lpg2515	A0A0C9NGN0
272624.lpg1742	A0A0C9P5H9
272624.lpg0645	A0A0C9NBE3
272624.lpg2163	A0A0C9MW88
272624.lpg2919	A0A0C9NHS3
272624.lpg2185	A0A0C9NXL4
272624.lpg1979	A0A0C9P6C2
272624.lpg0253	A0A0C9P1K9
272624.lpg1012	A0A0C9NU05
272624.lpg2538	A0A0C9PTQ8
272624.lpg0041	A0A0C9PDU3
272624.lpg0067	A0A0C9NS73
272624.lpg1152	A0A0C9P522
272624.lpg0985	A0A0C9PGT6
272624.lpg1101	A0A0C9PPG9
272624.lpg1983	A0A0C9NF65
272624.lpg1012	A0A0C9PF95
272624.lpg1127	A0A0C9PSJ1
272624.lpg1963	A0A0C9PUU5
272624.lpg1958	A0A0C9PS79
272624.lpg1970	A0A0C9PS94
272624.lpg1102	A0A0C9PSE8
272624.lpg0581	A0A0C9PFP1
272624.lpg0205	A0A0C9NAA4
272624.lpg2603	A0A0C9PWN4
272624.lpg0794	A0A0C9P2H8
272624.lpg2761	A0A0C9NHA5
272624.lpg1980	A0A0C9PSA3
272624.lpg2216	A0A0C9P717
272624.lpg1944	A0A0C9PUT0
272624.lpg2223	A0A0C9P7S7
272624.lpg0067	A0A0C9P0Z8
272624.lpg1966	A0A0C9P6B3
272624.lpg1078	A0A0C9PCI7
272624.lpg0980	A0A0C9PD78
272624.lpg1986	A0A0C9PUW3
272624.lpg2958	A0A0C9NQM6
272624.lpg1975	A0A0C9PS99
272624.lpg2479	A0A0C9NPB6
272624.lpg1087	A0A0C9PSD0
272624.lpg0066	A0A0C9N9V6
272624.lpg1976	A0A0C9PUV7
272624.lpg1965	A0A0C9NF43
272624.lpg0402	A0A0C9P6B8
272624.lpg0062	A0A0C9NS68
272624.lpg2163	A0A0C9PFI3
272624.lpg1622	A0A0C9P9Y2
272624.lpg1253	A0A0C9NA52
272624.lpg1797	A0A0C9PEK6
272624.lpg1948	A0A0C9PS70
272624.lpg1972	A0A0C9PF23
272624.lpg1253	A0A0C9NSH0
272624.lpg2480	A0A0C9P8I1
272624.lpg1969	A0A0C9P6B6
272624.lpg2465	A0A0C9P8H2
272624.lpg1249	A0A0C9P9R8
272624.lpg1127	A0A0C9NKX1
272624.lpg0064	A0A0C9NHN5
272624.lpg0221	A0A0C9NIE1
272624.lpg2862	A0A0C9P9Q6
