10116.ENSRNOP00000016981	P35213
10116.ENSRNOP00000004592	P56522
10116.ENSRNOP00000014704	Q05962
10116.ENSRNOP00000015913	Q09073
10116.ENSRNOP00000057148	Q5M828
10116.ENSRNOP00000016263	P24483
10116.ENSRNOP00000018846	A2RUV9
10116.ENSRNOP00000022390	Q63191
10116.ENSRNOP00000062841	B2GUW6
10116.ENSRNOP00000059140	P63003
10116.ENSRNOP00000026495	D4AB98
10116.ENSRNOP00000028664	Q5M971
10116.ENSRNOP00000057275	P36953
10116.ENSRNOP00000010346	Q8VH46
10116.ENSRNOP00000019672	O88788
10116.ENSRNOP00000029533	Q8CGU4
10116.ENSRNOP00000021309	Q4KLH5
10116.ENSRNOP00000011898	Q9QZ81
10116.ENSRNOP00000050623	P25304
10116.ENSRNOP00000024035	Q64565
10116.ENSRNOP00000064709	P35351
10116.ENSRNOP00000034687	P25095
10116.ENSRNOP00000014175	P29089
10116.ENSRNOP00000019077	Q6DTM3
10116.ENSRNOP00000019806	Q75NT5
10116.ENSRNOP00000006618	P41738
10116.ENSRNOP00000008503	Q9JM53
10116.ENSRNOP00000001379	Q32PX2
10116.ENSRNOP00000027417	P23565
10116.ENSRNOP00000010533	Q9JLG9
10116.ENSRNOP00000000599	Q5FWY5
10116.ENSRNOP00000064502	Q4W8E7
10116.ENSRNOP00000017753	Q5U2Z2
10116.ENSRNOP00000023072	P51635
10116.ENSRNOP00000045355	Q6AYQ2
10116.ENSRNOP00000017675	P31210
10116.ENSRNOP00000054952	Q62924
10116.ENSRNOP00000057494	Q5QD51
10116.ENSRNOP00000009123	O35817
10116.ENSRNOP00000017617	Q6JP77
10116.ENSRNOP00000052543	O88884
10116.ENSRNOP00000015576	Q5U301
10116.ENSRNOP00000003939	O35774
10116.ENSRNOP00000008416	P24587
10116.ENSRNOP00000006562	Q9WVC7
10116.ENSRNOP00000008827	Q63014
10116.ENSRNOP00000023739	P51652
10116.ENSRNOP00000023133	Q5U1Y4
10116.ENSRNOP00000010962	Q25C79
10116.ENSRNOP00000038369	P47196
10116.ENSRNOP00000025303	P47197
10116.ENSRNOP00000054688	Q63484
10116.ENSRNOP00000057588	Q5FVH4
10116.ENSRNOP00000006481	Q5FVK8
10116.ENSRNOP00000024000	P51647
10116.ENSRNOP00000021757	Q63639
10116.ENSRNOP00000045261	Q8K4D8
10116.ENSRNOP00000015282	Q66HF8
10116.ENSRNOP00000034322	Q6AY08
10116.ENSRNOP00000003182	P11883
10116.ENSRNOP00000061762	P30839
10116.ENSRNOP00000023789	Q5XI42
10116.ENSRNOP00000001207	P20291
10116.ENSRNOP00000020325	Q64057
10116.ENSRNOP00000005611	Q9JLJ3
10116.ENSRNOP00000044411	P25409
10116.ENSRNOP00000003921	P02770
10116.ENSRNOP00000013423	Q5RJP0
10116.ENSRNOP00000001816	P11884
10116.ENSRNOP00000032320	P05065
10116.ENSRNOP00000009111	P00884
10116.ENSRNOP00000015535	P09117
10116.ENSRNOP00000012879	P07943
10116.ENSRNOP00000007969	Q5I0K7
10116.ENSRNOP00000015355	Q6AY85
10116.ENSRNOP00000030278	Q5XIC8
10116.ENSRNOP00000034155	D3ZKD3
10116.ENSRNOP00000029816	A0JPQ8
10116.ENSRNOP00000011048	Q6AYP0
10116.ENSRNOP00000017917	Q63042
10116.ENSRNOP00000036116	P0C5Y8
10116.ENSRNOP00000020233	P35859
10116.ENSRNOP00000006007	Q63087
10116.ENSRNOP00000040100	P70473
10116.ENSRNOP00000005003	Q62840
10116.ENSRNOP00000009248	Q64240
10116.ENSRNOP00000046774	P14925
10116.ENSRNOP00000066608	Q80ZD7
10116.ENSRNOP00000009199	Q7TNJ4
10116.ENSRNOP00000020103	Q62893
10116.ENSRNOP00000052308	Q5U201
10116.ENSRNOP00000011347	G3V735
10116.ENSRNOP00000009198	O09175
10116.ENSRNOP00000025248	P10759
10116.ENSRNOP00000026051	Q02356
10116.ENSRNOP00000024933	O09178
10116.ENSRNOP00000064188	P50123
10116.ENSRNOP00000017102	O08838
10116.ENSRNOP00000004770	Q68FS4
10116.ENSRNOP00000020002	P15684
10116.ENSRNOP00000023638	P69527
10116.ENSRNOP00000012665	Q99068
10116.ENSRNOP00000058805	Q3HS82
10116.ENSRNOP00000022268	P00689
10116.ENSRNOP00000037159	Q400C9
10116.ENSRNOP00000000263	Q400C7
10116.ENSRNOP00000066098	P49911
10116.ENSRNOP00000012478	Q9EST6
10116.ENSRNOP00000028744	Q5XIE0
10116.ENSRNOP00000053081	Q5BJT1
10116.ENSRNOP00000009129	P15207
10116.ENSRNOP00000010778	P13205
10116.ENSRNOP00000025582	P55207
10116.ENSRNOP00000011005	P01161
10116.ENSRNOP00000014635	B2RYM0
10116.ENSRNOP00000010031	Q6TMA8
10116.ENSRNOP00000007979	O35460
10116.ENSRNOP00000022774	O35462
10116.ENSRNOP00000024917	P01015
10116.ENSRNOP00000043687	O70511
10116.ENSRNOP00000060060	P58366
10116.ENSRNOP00000053507	Q7TP65
10116.ENSRNOP00000025258	Q8R560
10116.ENSRNOP00000004298	Q5M9H0
10116.ENSRNOP00000056754	P0C0T2
10116.ENSRNOP00000036500	Q66H85
10116.ENSRNOP00000063624	Q63009
10116.ENSRNOP00000020853	O70467
10116.ENSRNOP00000000275	Q5U4E8
10116.ENSRNOP00000033330	Q6IFT6
10116.ENSRNOP00000020307	P18910
10116.ENSRNOP00000021802	P16067
10116.ENSRNOP00000025966	P41740
10116.ENSRNOP00000025011	Q499M5
10116.ENSRNOP00000034048	Q76K24
10116.ENSRNOP00000014413	Q566C8
10116.ENSRNOP00000001382	Q641X1
10116.ENSRNOP00000007806	Q62781
10116.ENSRNOP00000056036	P0C6S7
10116.ENSRNOP00000011675	Q0PMD2
10116.ENSRNOP00000023664	P07150
10116.ENSRNOP00000038428	Q07936
10116.ENSRNOP00000063496	P14669
10116.ENSRNOP00000024436	P55260
10116.ENSRNOP00000019552	P14668
10116.ENSRNOP00000014464	P48037
10116.ENSRNOP00000027464	Q4FZU6
10116.ENSRNOP00000055909	P36633
10116.ENSRNOP00000059889	O08590
10116.ENSRNOP00000063784	P21396
10116.ENSRNOP00000043466	P19643
10116.ENSRNOP00000059651	Q9Z0U5
10116.ENSRNOP00000047535	Q5QE78
10116.ENSRNOP00000030821	Q05140
10116.ENSRNOP00000054218	P52303
10116.ENSRNOP00000019350	Q32Q06
10116.ENSRNOP00000060992	P18484
10116.ENSRNOP00000040925	P58197
10116.ENSRNOP00000013629	P62944
10116.ENSRNOP00000054900	P84092
10116.ENSRNOP00000021310	P62744
10116.ENSRNOP00000016387	P53676
10116.ENSRNOP00000031142	G3V8Y7
10116.ENSRNOP00000017712	Q6PEC0
10116.ENSRNOP00000001827	Q2PWT8
10116.ENSRNOP00000032524	D3ZVB0
10116.ENSRNOP00000018972	Q499N2
10116.ENSRNOP00000020123	O35430
10116.ENSRNOP00000022049	O35431
10116.ENSRNOP00000027784	O70248
10116.ENSRNOP00000024402	P46933
10116.ENSRNOP00000024313	O35827
10116.ENSRNOP00000032753	A5HK05
10116.ENSRNOP00000027028	D3ZQX4
10116.ENSRNOP00000001794	A1L1K3
10116.ENSRNOP00000027691	P70478
10116.ENSRNOP00000005331	Q9R0R3
10116.ENSRNOP00000013176	P43138
10116.ENSRNOP00000012379	Q9JHG3
10116.ENSRNOP00000010289	Q6B959
10116.ENSRNOP00000067835	P15943
10116.ENSRNOP00000065206	P04639
10116.ENSRNOP00000004662	P04638
10116.ENSRNOP00000024918	Q9QUH3
10116.ENSRNOP00000039779	Q7TMA5
10116.ENSRNOP00000040585	P19939
10116.ENSRNOP00000067045	P06759
10116.ENSRNOP00000024832	P55797
10116.ENSRNOP00000064368	P23593
10116.ENSRNOP00000050968	P02650
10116.ENSRNOP00000049259	Q5M889
10116.ENSRNOP00000001126	P14630
10116.ENSRNOP00000015373	Q32Q90
10116.ENSRNOP00000025361	Q5U777
10116.ENSRNOP00000046400	Q8K4H4
10116.ENSRNOP00000061449	P36972
10116.ENSRNOP00000018091	Q8CHM1
10116.ENSRNOP00000015692	P29975
10116.ENSRNOP00000000324	P34080
10116.ENSRNOP00000013803	P47862
10116.ENSRNOP00000063720	P47863
10116.ENSRNOP00000024102	P47864
10116.ENSRNOP00000000323	Q9WTY0
10116.ENSRNOP00000012974	P56403
10116.ENSRNOP00000019939	P56405
10116.ENSRNOP00000021442	P56627
10116.ENSRNOP00000030412	Q6AXT3
10116.ENSRNOP00000023455	Q4V8C5
10116.ENSRNOP00000001432	Q4V8I5
10116.ENSRNOP00000006774	Q68FV2
10116.ENSRNOP00000025847	P26817
10116.ENSRNOP00000001319	Q99PD4
10116.ENSRNOP00000001315	O88656
10116.ENSRNOP00000063719	Q63053
10116.ENSRNOP00000003703	P24338
10116.ENSRNOP00000064960	P84079
10116.ENSRNOP00000006483	P84082
10116.ENSRNOP00000047811	P61206
10116.ENSRNOP00000017692	P61751
10116.ENSRNOP00000010429	P84083
10116.ENSRNOP00000006355	P62332
10116.ENSRNOP00000013900	Q62848
10116.ENSRNOP00000053988	Q3MID3
10116.ENSRNOP00000065256	Q4KLN7
10116.ENSRNOP00000014236	Q9JHU5
10116.ENSRNOP00000025159	Q6AY65
10116.ENSRNOP00000019038	Q63055
10116.ENSRNOP00000059196	P0C6P5
10116.ENSRNOP00000017911	P07824
10116.ENSRNOP00000015083	O08701
10116.ENSRNOP00000054160	Q5BJT0
10116.ENSRNOP00000037964	A1IGU3
10116.ENSRNOP00000059325	Q9Z1I6
10116.ENSRNOP00000027182	Q5FVC2
10116.ENSRNOP00000001158	Q5XXR3
10116.ENSRNOP00000043761	O55043
10116.ENSRNOP00000061089	Q9QX73
10116.ENSRNOP00000020717	Q9ES67
10116.ENSRNOP00000006800	Q6P720
10116.ENSRNOP00000054552	Q5XIB3
10116.ENSRNOP00000022445	Q9JKB5
10116.ENSRNOP00000024063	Q8CG45
10116.ENSRNOP00000024160	P38918
10116.ENSRNOP00000019646	Q5BK71
10116.ENSRNOP00000007623	P61212
10116.ENSRNOP00000028525	O08697
10116.ENSRNOP00000027093	P37996
10116.ENSRNOP00000005800	P61214
10116.ENSRNOP00000009181	P51646
10116.ENSRNOP00000010053	Q66HA6
10116.ENSRNOP00000001211	P20673
10116.ENSRNOP00000042700	B1WBW4
10116.ENSRNOP00000027032	Q5PQP9
10116.ENSRNOP00000059344	A1A5P5
10116.ENSRNOP00000026367	Q6AYT5
10116.ENSRNOP00000043675	Q5U310
10116.ENSRNOP00000033859	Q5XID7
10116.ENSRNOP00000035673	Q66HF0
10116.ENSRNOP00000017636	Q78E60
10116.ENSRNOP00000060764	P41739
10116.ENSRNOP00000028470	Q712U5
10116.ENSRNOP00000006607	Q5M7U6
10116.ENSRNOP00000004520	Q4V7C7
10116.ENSRNOP00000019405	A1L108
10116.ENSRNOP00000019265	P85970
10116.ENSRNOP00000061516	Q4KLF8
10116.ENSRNOP00000046069	P29066
10116.ENSRNOP00000026207	P29067
10116.ENSRNOP00000003946	P36576
10116.ENSRNOP00000067658	Q6TXF1
10116.ENSRNOP00000045721	Q7TP90
10116.ENSRNOP00000024733	P15887
10116.ENSRNOP00000014860	P50430
10116.ENSRNOP00000005257	Q32KJ9
10116.ENSRNOP00000033542	Q32KJ8
10116.ENSRNOP00000029855	Q32KJ2
10116.ENSRNOP00000026852	Q6AYE8
10116.ENSRNOP00000018854	P50297
10116.ENSRNOP00000051430	P50298
10116.ENSRNOP00000027223	Q8VHT6
10116.ENSRNOP00000013463	Q6P7S1
10116.ENSRNOP00000016688	Q91XT9
10116.ENSRNOP00000059763	Q1AAU6
10116.ENSRNOP00000017995	P0C927
10116.ENSRNOP00000012045	Q5U2S6
10116.ENSRNOP00000053848	F1LPQ2
10116.ENSRNOP00000005674	P19359
10116.ENSRNOP00000027688	P19360
10116.ENSRNOP00000027459	Q8VI04
10116.ENSRNOP00000025254	P02706
10116.ENSRNOP00000060474	P08290
10116.ENSRNOP00000022601	Q5RJT0
10116.ENSRNOP00000011300	O35240
10116.ENSRNOP00000027135	Q9JHS6
10116.ENSRNOP00000016039	Q9R0W5
10116.ENSRNOP00000001081	Q641Z7
10116.ENSRNOP00000001791	B3GSH5
10116.ENSRNOP00000010079	P49088
10116.ENSRNOP00000000120	P30919
10116.ENSRNOP00000000823	Q5HZW3
10116.ENSRNOP00000012075	P09034
10116.ENSRNOP00000028093	P54708
10116.ENSRNOP00000045650	P06685
10116.ENSRNOP00000054947	P06686
10116.ENSRNOP00000027497	P06687
10116.ENSRNOP00000062079	Q64541
10116.ENSRNOP00000003932	P07340
10116.ENSRNOP00000015076	P13638
10116.ENSRNOP00000015475	Q63377
10116.ENSRNOP00000009329	Q9R193
10116.ENSRNOP00000024347	P11507
10116.ENSRNOP00000060212	P18596
10116.ENSRNOP00000005491	P11505
10116.ENSRNOP00000035695	Q64568
10116.ENSRNOP00000004078	Q64542
10116.ENSRNOP00000018175	Q64566
10116.ENSRNOP00000065147	P19511
10116.ENSRNOP00000009815	Q06645
10116.ENSRNOP00000020675	Q06646
10116.ENSRNOP00000055032	Q71S46
10116.ENSRNOP00000027960	Q5I0I4
10116.ENSRNOP00000014684	Q505J9
10116.ENSRNOP00000046842	Q3KRE0
10116.ENSRNOP00000001065	Q6MG11
10116.ENSRNOP00000045560	Q1M168
10116.ENSRNOP00000002174	Q00969
10116.ENSRNOP00000005085	P29596
10116.ENSRNOP00000060302	Q9ES19
10116.ENSRNOP00000027260	Q6P788
10116.ENSRNOP00000032766	G3V909
10116.ENSRNOP00000000170	Q2TBJ5
10116.ENSRNOP00000002906	Q6AZ50
10116.ENSRNOP00000053910	Q3MQ06
10116.ENSRNOP00000063617	Q641Y5
10116.ENSRNOP00000025740	Q5FWU3
10116.ENSRNOP00000010195	Q6AY69
10116.ENSRNOP00000018038	Q03344
10116.ENSRNOP00000063998	Q4FZU4
10116.ENSRNOP00000041993	Q6PST4
10116.ENSRNOP00000063444	Q0ZHH6
10116.ENSRNOP00000045475	P54258
10116.ENSRNOP00000022074	Q04679
10116.ENSRNOP00000017588	Q9WUC4
10116.ENSRNOP00000028508	P09626
10116.ENSRNOP00000025957	P18598
10116.ENSRNOP00000067815	P29418
10116.ENSRNOP00000004836	P31399
10116.ENSRNOP00000000072	P29419
10116.ENSRNOP00000002116	P21571
10116.ENSRNOP00000040969	Q6PDU7
10116.ENSRNOP00000006509	Q5XIM4
10116.ENSRNOP00000049769	P05504
10116.ENSRNOP00000063702	P70705
10116.ENSRNOP00000054880	Q64535
10116.ENSRNOP00000042521	P11608
10116.ENSRNOP00000040756	D4ABB8
10116.ENSRNOP00000022892	P15999
10116.ENSRNOP00000003965	P10719
10116.ENSRNOP00000020670	P35434
10116.ENSRNOP00000049879	P35435
10116.ENSRNOP00000029426	D3ZAF6
10116.ENSRNOP00000002732	Q06647
10116.ENSRNOP00000011747	Q642A2
10116.ENSRNOP00000028847	Q99J86
10116.ENSRNOP00000041679	P70486
10116.ENSRNOP00000002187	Q9WUQ1
10116.ENSRNOP00000004713	Q9ESP7
10116.ENSRNOP00000060069	Q1EHB3
10116.ENSRNOP00000022721	P04694
10116.ENSRNOP00000021071	Q9ER24
10116.ENSRNOP00000023140	Q63540
10116.ENSRNOP00000007505	O35815
10116.ENSRNOP00000030526	D4A540
10116.ENSRNOP00000032347	D3ZUC4
10116.ENSRNOP00000010602	A1L134
10116.ENSRNOP00000051977	P59241
10116.ENSRNOP00000008492	O55099
10116.ENSRNOP00000067218	Q9WU06
10116.ENSRNOP00000019978	Q8VDA6
10116.ENSRNOP00000007404	P38444
10116.ENSRNOP00000019777	P38445
10116.ENSRNOP00000027705	O70239
10116.ENSRNOP00000004898	O70240
10116.ENSRNOP00000013449	Q4KMA0
10116.ENSRNOP00000007999	Q63764
10116.ENSRNOP00000059346	D4A693
10116.ENSRNOP00000043542	P53563
10116.ENSRNOP00000012409	Q99M66
10116.ENSRNOP00000039006	O88498
10116.ENSRNOP00000029468	Q6AYK4
10116.ENSRNOP00000023017	P07151
10116.ENSRNOP00000019666	P23347
10116.ENSRNOP00000027337	P23348
10116.ENSRNOP00000025137	Q8K4V2
10116.ENSRNOP00000028445	P23562
10116.ENSRNOP00000009825	O35789
10116.ENSRNOP00000063982	Q9Z137
10116.ENSRNOP00000016012	Q6AY39
10116.ENSRNOP00000067153	Q99NB2
10116.ENSRNOP00000024578	Q66H69
10116.ENSRNOP00000000550	O88178
10116.ENSRNOP00000048586	Q10468
10116.ENSRNOP00000004735	Q6P768
10116.ENSRNOP00000004289	Q66HH1
10116.ENSRNOP00000021764	O88419
10116.ENSRNOP00000065889	P0C5J2
10116.ENSRNOP00000028029	P0C5J3
10116.ENSRNOP00000006411	Q920K5
10116.ENSRNOP00000009777	Q63276
10116.ENSRNOP00000022938	Q5XIJ6
10116.ENSRNOP00000012245	Q7TNY1
10116.ENSRNOP00000065635	Q7TPL3
10116.ENSRNOP00000022796	P56819
10116.ENSRNOP00000002679	Q6IE75
10116.ENSRNOP00000014213	Q64559
10116.ENSRNOP00000061855	O35147
10116.ENSRNOP00000027734	Q9R1T1
10116.ENSRNOP00000011455	B0K019
10116.ENSRNOP00000015333	Q5QJC9
10116.ENSRNOP00000057557	Q6MG49
10116.ENSRNOP00000005687	Q6GMN2
10116.ENSRNOP00000016274	D4A4K3
10116.ENSRNOP00000021801	Q91XN4
10116.ENSRNOP00000025853	D3ZHS6
10116.ENSRNOP00000020414	Q9QZH2
10116.ENSRNOP00000017725	P63156
10116.ENSRNOP00000002887	O88181
10116.ENSRNOP00000011275	P26453
10116.ENSRNOP00000016919	P82252
10116.ENSRNOP00000004962	P97876
10116.ENSRNOP00000011563	D4A7E1
10116.ENSRNOP00000028328	Q63690
10116.ENSRNOP00000064216	Q80ZG6
10116.ENSRNOP00000026076	Q99MH9
10116.ENSRNOP00000047809	Q9ESS6
10116.ENSRNOP00000039940	Q63767
