226186.BT_3693	Q8A1G8
226186.BT_2416	Q8A528
226186.BT_2004	Q8A682
226186.BT_0913	Q8A9A2
226186.BT_3402	Q8A2A3
226186.BT_4253	Q89ZW8
226186.BT_2738	Q8A465
226186.BT_2717	Q8A486
226186.BT_2708	Q8A495
226186.BT_2720	Q8A483
226186.BT_2700	Q8A4A3
226186.BT_2711	Q8A492
226186.BT_2489	Q8A4V8
226186.BT_2737	Q8A466
226186.BT_0425	Q8AAN9
226186.BT_4314	Q89ZR2
226186.BT_2722	Q8A481
226186.BT_2716	Q8A487
226186.BT_4589	Q89YZ1
226186.BT_4313	Q89ZR3
226186.BT_0916	Q8A999
226186.BT_2719	Q8A484
226186.BT_2724	Q8A479
226186.BT_2709	Q8A494
226186.BT_1692	Q8A733
226186.BT_3833	Q8A138
226186.BT_0915	Q8A9A0
226186.BT_3710	Q8A1F6
226186.BT_0424	Q8AAP0
226186.BT_2727	Q8A476
226186.BT_2726	Q8A477
226186.BT_2715	Q8A488
226186.BT_2712	Q8A491
226186.BT_2735	Q8A468
226186.BT_2161	Q8A5S7
226186.BT_4691	Q89YP0
226186.BT_1562	Q8A7G2
226186.BT_4372	Q89ZK5
226186.BT_3357	Q8A2E8
226186.BT_3412	Q8A293
226186.BT_4417	Q89ZG0
226186.BT_4346	Q89ZN1
226186.BT_2701	Q8A4A2
226186.BT_2734	Q8A469
226186.BT_2733	Q8A470
226186.BT_2249	Q8A5J0
226186.BT_2728	Q8A475
226186.BT_2703	Q8A4A0
226186.BT_2731	Q8A472
226186.BT_2704	Q8A499
226186.BT_2714	Q8A489
226186.BT_2786	Q8A418
226186.BT_1271	Q9RQ15
226186.BT_2718	Q8A485
226186.BT_0005	Q8ABV5
226186.BT_2162	Q8A5S6
226186.BT_2723	Q8A480
226186.BT_3430	Q8A276
226186.BT_3877	Q8A0Z4
226186.BT_2721	Q8A482
226186.BT_2702	Q8A4A1
226186.BT_2710	Q8A493
226186.BT_2163	Q8A5S5
226186.BT_2730	Q8A473
226186.BT_2713	Q8A490
226186.BT_3876	Q8A0Z5
226186.BT_1190	Q8A8H7
226186.BT_2250	Q8A5I9
226186.BT_4043	Q8A0H8
226186.BT_1145	Q8A8M2
226186.BT_3455	Q8A251
226186.BT_1978	Q8A6A7
226186.BT_3285	Q8A2M0
226186.BT_0419	Q8AAP5
226186.BT_2797	Q8A407
226186.BT_4362	Q89ZL5
226186.BT_1153	Q8A8L4
226186.BT_3394	Q8A2B1
226186.BT_1497	Q8A7M7
226186.BT_0179	Q8ABD1
226186.BT_0788	Q8A9M7
226186.BT_4003	Q8A0L8
226186.BT_3704	Q8A1G0
226186.BT_3703	G8JZS4
226186.BT_3702	Q8A1G1
226186.BT_3701	Q8A1G2
226186.BT_3700	G8JZT0
226186.BT_3699	G8JZS6
226186.BT_3698	Q8A1G3
226186.BT_3995	Q8A0M6
226186.BT_3351	Q8A2F4
226186.BT_0872	Q8A9E3
226186.BT_2748	Q8A455
226186.BT_1669	Q8A756
226186.BT_0626	Q8AA39
226186.BT_1840	Q8A6N7
226186.BT_0806	Q8A9K9
226186.BT_2122	Q8A5W4
226186.BT_3126	Q8A329
226186.BT_2933	Q8A3M1
226186.BT_3873	Q8A0Z8
226186.BT_0929	Q8A988
226186.BT_2829	Q8A3X5
226186.BT_0422	Q8AAP2
226186.BT_4353	Q89ZM4
226186.BT_3230	Q8A2S5
226186.BT_4518	Q89Z59
226186.BT_1658	Q8A767
226186.BT_0650	Q8AA15
226186.BT_0652	Q8AA13
226186.BT_0651	Q8AA14
226186.BT_1593	Q8A7D1
226186.BT_3929	Q8A0U2
226186.BT_3894	Q8A0X7
226186.BT_0893	Q8A9C2
226186.BT_0838	Q8A9H7
226186.BT_0527	Q8AAD8
226186.BT_0533	Q8AAD2
226186.BT_0529	Q8AAD6
226186.BT_0530	Q8AAD5
226186.BT_4237	Q89ZY4
226186.BT_3213	Q8A2U2
226186.BT_0920	Q8A997
226186.BT_2047	Q8A639
226186.BT_2130	Q8A5V6
226186.BT_3212	Q8A2U3
226186.BT_0570	Q8AA95
226186.BT_3266	Q8A2N9
226186.BT_0825	Q8A9J0
226186.BT_0823	Q8A9J2
226186.BT_1432	Q8A7U2
226186.BT_0427	Q8AAN7
226186.BT_0793	Q8A9M2
226186.BT_1078	Q8A8T9
226186.BT_1229	Q8A8D8
226186.BT_1676	Q8A749
226186.BT_1919	Q8A6G5
226186.BT_2080	Q8A606
226186.BT_2092	Q8A5Z4
226186.BT_2236	Q8A5K3
226186.BT_0254	Q8AB57
226186.BT_0258	Q8AB53
226186.BT_3410	Q8A295
226186.BT_3869	Q8A102
226186.BT_4555	Q89Z22
226186.BT_4609	Q89YX1
226186.BT_0500	Q8AAG5
226186.BT_0627	Q8AA38
226186.BT_0643	Q8AA22
226186.BT_0736	Q8A9S9
226186.BT_3283	Q8A2M2
226186.BT_0589	Q8AA76
226186.BT_3228	Q8A2S7
226186.BT_1857	Q5KR69
226186.BT_0160	X2EXJ9
226186.BT_2734	Q69FX9
226186.BT_1244	G1UHJ5
226186.BT_4338	Q8VS77
226186.BT_1277	Q9RQ10
226186.BT_1054	Q8GQZ7
226186.BT_1278	Q9RQ09
226186.BT_1663	P71095
226186.BT_0588	Q93HR0
226186.BT_1272	Q9RQ14
226186.BT_1054	Q8GQZ6
226186.BT_3429	G1UHN3
226186.BT_0160	X2EXK0
226186.BT_3350	Q45773
226186.BT_0899	Q9F4B1
226186.BT_4339	Q8VS78
226186.BT_1829	D2YZP5
226186.BT_4610	G1UHS1
226186.BT_1275	Q9RQ11
226186.BT_1274	Q9RQ12
226186.BT_4337	Q8VS76
226186.BT_4580	Q877R1
226186.BT_4277	Q877N4
226186.BT_3831	Q877I9
226186.BT_4577	Q877L5
226186.BT_2222	Q877R2
226186.BT_2763	Q877Q9
226186.BT_4578	Q877J3
226186.BT_4290	Q877L6
226186.BT_3830	Q877R4
226186.BT_4278	Q877S4
226186.BT_4577	Q877V2
226186.BT_4291	Q877N7
226186.BT_4276	Q877J5
226186.BT_4740	Q877S8
226186.BT_2672	Q877V5
226186.BT_3350	Q8A2F5
226186.BT_1975	Q8A6B0
226186.BT_3131	Q8A324
226186.BT_3845	Q8A126
226186.BT_2999	Q8A3F5
226186.BT_3536	Q8A1X2
226186.BT_1812	Q8A6R4
226186.BT_1073	Q8A8U4
226186.BT_0578	Q8AA87
226186.BT_0434	Q8AAN0
226186.BT_4110	Q8A0B1
226186.BT_1328	Q8A846
226186.BT_1249	Q8A8B8
226186.BT_1137	Q8A8N0
226186.BT_3994	Q8A0M7
226186.BT_1858	Q8A6L9
226186.BT_0195	Q8ABB5
226186.BT_3017	Q8A3D7
226186.BT_3016	Q8A3D8
226186.BT_2200	Q8A5N8
226186.BT_2073	Q8A613
226186.BT_1188	Q8A8H9
226186.BT_0649	Q8AA16
226186.BT_4418	Q89ZF9
226186.BT_3539	Q8A1W9
226186.BT_0917	Q8A998
226186.BT_3317	Q8A2I8
226186.BT_1992	Q8A693
226186.BT_0859	Q8A9F6
226186.BT_2652	Q8A4E7
226186.BT_2363	Q8A579
226186.BT_2070	Q8A616
226186.BT_1965	Q8A6B9
226186.BT_1815	Q8A6R1
226186.BT_1729	Q8A6Z6
226186.BT_1657	Q8A768
226186.BT_1347	Q8A827
226186.BT_1254	Q8A8B3
226186.BT_1219	Q8A8E8
226186.BT_0670	Q8A9Z5
226186.BT_0339	Q8AAX3
226186.BT_4359	Q89ZL8
226186.BT_1204	Q8A8G3
226186.BT_3173	Q8A2Y2
226186.BT_0856	Q8A9F9
226186.BT_0442	Q8AAM2
226186.BT_4550	Q89Z27
226186.BT_4019	Q8A0K2
226186.BT_3537	Q8A1X1
226186.BT_2784	Q8A420
226186.BT_2761	Q8A442
226186.BT_2739	Q8A464
226186.BT_2417	Q8A527
226186.BT_1387	Q8A7Y7
226186.BT_0509	Q8AAF6
226186.BT_3134	Q8A321
226186.BT_2376	Q8A566
226186.BT_1064	Q8A8V3
226186.BT_0086	Q8ABM4
226186.BT_4484	Q89Z93
226186.BT_3958	Q8A0R3
226186.BT_2758	Q8A445
226186.BT_2326	Q8A5B3
226186.BT_2221	Q8A5L7
226186.BT_4335	Q89ZP1
226186.BT_2443	Q8A504
226186.BT_1416	Q8A7V8
226186.BT_0689	Q8A9X6
226186.BT_3006	Q8A3E8
226186.BT_0171	Q8ABD9
226186.BT_4009	Q8A0L2
226186.BT_3437	Q8A269
226186.BT_3380	Q8A2C5
226186.BT_1991	Q8A694
226186.BT_0248	Q8AB63
226186.BT_2984	Q8A3H0
226186.BT_0714	Q8A9V1
226186.BT_3928	Q8A0U3
226186.BT_3180	Q8A2X5
226186.BT_1734	Q8A6Z1
226186.BT_4390	Q89ZI7
226186.BT_3792	Q8A174
226186.BT_3546	Q8A1W2
226186.BT_1767	Q8A6V9
226186.BT_3388	Q8A2B7
226186.BT_3293	Q8A2L2
226186.BT_2605	Q8A4J4
226186.BT_2234	Q8A5K5
226186.BT_1662	Q8A763
226186.BT_0398	Q8AAR6
226186.BT_1138	Q8A8M9
226186.BT_4094	Q8A0C7
226186.BT_3746	Q8A1C0
226186.BT_3444	Q8A262
226186.BT_2667	Q8A4D2
226186.BT_1727	Q8A6Z8
226186.BT_0809	Q8A9K6
226186.BT_3434	Q8A272
226186.BT_3172	Q8A2Y3
226186.BT_2983	Q8A3H1
226186.BT_3567	Q8A1U1
226186.BT_3353	Q8A2F2
226186.BT_2217	Q8A5M1
226186.BT_3158	Q8A2Z7
226186.BT_0308	Q8AB04
226186.BT_0642	Q8AA23
226186.BT_1353	Q8A821
226186.BT_3252	Q8A2Q3
226186.BT_4657	Q89YS4
226186.BT_4052	Q8A0G9
226186.BT_0861	Q8A9F4
226186.BT_3152	Q8A303
226186.BT_1341	Q8A833
226186.BT_1904	Q8A6I0
226186.BT_2949	Q8A3K5
226186.BT_0286	Q8AB26
226186.BT_1350	Q8A824
226186.BT_0803	Q8A9L2
226186.BT_2125	Q8A5W1
226186.BT_0669	Q8A9Z6
226186.BT_4690	Q89YP1
226186.BT_3727	Q8A1D9
226186.BT_1655	Q8A770
226186.BT_1290	Q8A884
226186.BT_1574	Q8A7F0
226186.BT_0113	Q8ABJ7
226186.BT_3363	Q8A2E2
226186.BT_0011	Q8ABU9
226186.BT_2856	Q8A3U8
226186.BT_2501	Q8A4U6
226186.BT_0464	Q8AAK0
226186.BT_3314	Q8A2J1
226186.BT_4778	Q89YF4
226186.BT_2584	Q8A4L5
226186.BT_1459	Q8A7R5
226186.BT_2186	Q8A5Q2
226186.BT_0323	Q8AAY9
226186.BT_0127	Q8ABI3
226186.BT_4132	Q8A089
226186.BT_3644	Q8A1L7
226186.BT_0672	Q8A9Z3
226186.BT_2369	Q8A573
226186.BT_2259	Q8A5I0
226186.BT_0602	Q8AA63
226186.BT_0153	Q8ABF7
226186.BT_2675	Q8A4C8
226186.BT_4113	Q8A0A8
226186.BT_3978	Q8A0P3
226186.BT_1447	Q8A7S7
226186.BT_3334	Q8A2H1
226186.BT_2045	Q8A641
226186.BT_1546	Q8A7H8
226186.BT_4771	Q89YG1
226186.BT_2855	Q8A3U9
226186.BT_4534	Q89Z43
226186.BT_1542	Q8A7I2
226186.BT_1465	Q8A7Q9
226186.BT_0996	Q8A921
226186.BT_0992	Q8A925
226186.BT_4345	Q89ZN2
226186.BT_4230	Q89ZZ1
226186.BT_2546	Q8A4Q1
226186.BT_4571	Q89Z06
226186.BT_2591	Q8A4K8
226186.BT_3514	Q8A1Z4
226186.BT_1115	Q8A8Q2
226186.BT_1980	Q8A6A5
226186.BT_1430	Q8A7U4
226186.BT_2274	Q8A5G5
226186.BT_4410	Q89ZG7
226186.BT_1373	Q8A801
226186.BT_2578	Q8A4M1
226186.BT_1424	Q8A7V0
226186.BT_0315	Q8AAZ7
226186.BT_4687	Q89YP4
226186.BT_4296	Q89ZT0
226186.BT_3590	Q8A1R9
226186.BT_3333	Q8A2H2
226186.BT_2498	Q8A4U9
226186.BT_2039	Q8A647
226186.BT_1809	Q8A6R7
226186.BT_0844	Q8A9H1
226186.BT_0841	Q8A9H4
226186.BT_0325	Q8AAY7
226186.BT_3814	Q8A153
226186.BT_0946	Q8A971
226186.BT_4540	Q89Z37
226186.BT_0007	Q8ABV3
226186.BT_4160	Q8A061
226186.BT_3966	Q8A0Q5
226186.BT_3255	Q8A2Q0
226186.BT_3218	Q8A2T7
226186.BT_2755	Q8A448
226186.BT_2749	Q8A454
226186.BT_1910	Q8A6H4
226186.BT_1289	Q8A885
226186.BT_0623	Q8AA42
226186.BT_1552	Q8A7H2
226186.BT_2239	Q8A5K0
226186.BT_1363	Q8A811
226186.BT_0835	Q8A9I0
226186.BT_0622	Q8AA43
226186.BT_4152	Q8A069
226186.BT_3005	Q8A3E9
226186.BT_1913	Q8A6H1
226186.BT_1557	Q8A7G7
226186.BT_4030	Q8A0J1
226186.BT_3466	Q8A240
226186.BT_1420	Q8A7V4
226186.BT_2373	Q8A569
226186.BT_0132	Q8ABH8
226186.BT_4694	Q89YN7
226186.BT_1063	Q8A8V4
226186.BT_0551	Q8AAB4
226186.BT_0102	Q8ABK8
226186.BT_2826	Q8A3X8
226186.BT_2471	Q8A4X6
226186.BT_1308	Q8A866
226186.BT_1183	Q8A8I4
226186.BT_1107	Q8A8R0
226186.BT_0732	Q8A9T3
226186.BT_1034	Q8A8Y3
226186.BT_2240	Q8A5J9
226186.BT_1407	Q8A7W7
226186.BT_2587	Q8A4L2
226186.BT_4289	Q89ZT5
226186.BT_2574	Q8A4M5
226186.BT_3093	Q8A362
226186.BT_0851	Q8A9G4
226186.BT_0307	Q8AB05
226186.BT_3585	Q8A1S4
226186.BT_2371	Q8A571
226186.BT_1457	Q8A7R7
226186.BT_3952	Q8A0R9
226186.BT_2609	Q8A4J0
226186.BT_4711	Q89YM0
226186.BT_4368	Q89ZK9
226186.BT_3066	Q8A388
226186.BT_0868	Q8A9E7
226186.BT_0404	Q8AAR0
226186.BT_3582	Q8A1S7
226186.BT_4749	Q89YI3
226186.BT_3067	Q8A387
226186.BT_4756	Q89YH6
226186.BT_4336	Q89ZP0
226186.BT_2694	Q8A4A9
226186.BT_1656	Q8A769
226186.BT_1475	Q8A7P9
226186.BT_0457	Q8AAK7
226186.BT_4535	Q89Z42
226186.BT_2355	Q8A587
226186.BT_0318	Q8AAZ4
226186.BT_1302	Q8A872
226186.BT_2262	Q8A5H7
226186.BT_1521	Q8A7K3
226186.BT_0757	Q8A9Q8
226186.BT_0610	Q8AA55
226186.BT_0386	Q8AAS8
226186.BT_0375	Q8AAT9
226186.BT_1601	Q8A7C3
226186.BT_3440	Q8A266
226186.BT_3309	Q8A2J6
226186.BT_2570	Q8A4M9
226186.BT_1653	Q8A772
226186.BT_0907	Q8A9A8
226186.BT_0608	Q8AA57
226186.BT_3810	Q8A157
226186.BT_3292	Q8A2L3
226186.BT_2785	Q8A419
226186.BT_1962	Q8A6C2
226186.BT_4693	Q89YN8
226186.BT_0771	Q8A9P4
226186.BT_2023	Q8A663
226186.BT_0577	Q8AA88
226186.BT_3365	Q8A2E0
226186.BT_3284	Q8A2M1
226186.BT_1973	Q8A6B2
226186.BT_1619	Q8A7A6
226186.BT_1165	Q8A8K2
226186.BT_3372	Q8A2D3
226186.BT_1943	Q8A6E1
226186.BT_0604	Q8AA61
226186.BT_4539	Q89Z38
226186.BT_4538	Q89Z39
226186.BT_3932	Q8A0T9
226186.BT_0666	Q8A9Z9
226186.BT_2415	Q8A529
226186.BT_1225	Q8A8E2
226186.BT_3278	Q8A2M7
226186.BT_2615	Q8A4I4
226186.BT_2573	Q8A4M6
226186.BT_2314	Q8A5C5
226186.BT_0385	Q8AAS9
226186.BT_1383	Q8A7Z1
226186.BT_0871	Q8A9E4
226186.BT_1455	Q8A7R9
226186.BT_3130	Q8A325
226186.BT_1132	Q8A8N5
226186.BT_0322	Q8AAZ0
226186.BT_2932	Q8A3M2
226186.BT_0331	Q8AAY1
226186.BT_3030	Q8A3C4
226186.BT_0796	Q8A9L9
226186.BT_3443	Q8A263
226186.BT_4343	Q89ZN4
226186.BT_3642	Q8A1L9
226186.BT_2691	Q8A4B2
226186.BT_1381	Q8A7Z3
226186.BT_1032	Q8A8Y5
226186.BT_0847	Q8A9G8
226186.BT_4407	Q89ZH0
226186.BT_4319	Q89ZQ7
226186.BT_2056	Q8A630
226186.BT_2018	Q8A668
226186.BT_1787	Q8A6T9
226186.BT_0104	Q8ABK6
226186.BT_2375	Q8A567
226186.BT_0657	Q8AA08
226186.BT_0797	Q8A9L8
226186.BT_4724	Q89YK7
226186.BT_1437	Q8A7T7
226186.BT_3049	Q8A3A5
226186.BT_2569	Q8A4N0
226186.BT_4547	Q89Z30
226186.BT_4360	Q89ZL7
226186.BT_4047	Q8A0H4
226186.BT_3142	Q8A313
226186.BT_2518	Q8A4S9
226186.BT_2469	Q8A4X8
226186.BT_1777	Q8A6U9
226186.BT_0874	Q8A9E1
226186.BT_0528	Q8AAD7
226186.BT_4548	Q89Z29
226186.BT_4162	Q8A059
226186.BT_4014	Q8A0K7
226186.BT_2777	Q8A427
226186.BT_1846	Q8A6N1
226186.BT_1570	Q8A7F4
226186.BT_1019	Q8A8Z8
226186.BT_4139	Q8A082
226186.BT_0743	Q8A9S2
226186.BT_4232	Q89ZY9
226186.BT_2654	Q8A4E5
226186.BT_0379	Q8AAT5
226186.BT_0138	Q8ABH2
226186.BT_0081	Q8ABM9
226186.BT_0009	Q8ABV1
226186.BT_1489	Q8A7N5
226186.BT_0208	Q8ABA2
226186.BT_0553	Q8AAB2
226186.BT_3666	Q8A1J5
226186.BT_3100	Q8A355
226186.BT_2818	Q8A3Y6
226186.BT_2353	Q8A589
226186.BT_1223	Q8A8E4
226186.BT_1155	Q8A8L2
226186.BT_1146	Q8A8M1
226186.BT_0655	Q8AA10
226186.BT_4199	Q8A022
226186.BT_4144	Q8A077
226186.BT_4015	Q8A0K6
226186.BT_3770	Q8A196
226186.BT_2811	Q8A3Z3
226186.BT_2613	Q8A4I6
226186.BT_1622	Q8A7A3
226186.BT_1595	Q8A7C9
226186.BT_1021	Q8A8Z6
226186.BT_3417	Q8A289
226186.BT_2624	Q8A4H5
226186.BT_1798	Q8A6S8
226186.BT_4634	Q89YU7
226186.BT_4120	Q8A0A1
226186.BT_3290	Q8A2L5
226186.BT_3382	Q8A2C3
226186.BT_1966	Q8A6B8
226186.BT_1492	Q8A7N2
226186.BT_3385	Q8A2C0
226186.BT_2647	Q8A4F2
226186.BT_3785	Q8A181
226186.BT_0084	Q8ABM6
226186.BT_1510	Q8A7L4
226186.BT_4665	Q89YR6
226186.BT_3331	Q8A2H4
226186.BT_2014	Q8A672
226186.BT_0309	Q8AB03
226186.BT_2991	Q8A3G3
226186.BT_2243	Q8A5J6
226186.BT_1017	Q8A900
226186.BT_3120	Q8A335
226186.BT_1897	Q8A6I7
226186.BT_2330	Q8A5A9
226186.BT_4510	Q89Z67
226186.BT_4354	Q89ZM3
226186.BT_0145	Q8ABG5
226186.BT_3730	Q8A1D6
226186.BT_0565	Q8AAA0
226186.BT_4754	Q89YH8
226186.BT_3367	Q8A2D8
226186.BT_1176	Q8A8J1
226186.BT_0709	Q8A9V6
226186.BT_0620	Q8AA45
226186.BT_4680	Q89YQ1
226186.BT_3181	Q8A2X4
226186.BT_1412	Q8A7W2
226186.BT_1514	Q8A7L0
226186.BT_1413	Q8A7W1
226186.BT_0599	Q8AA66
226186.BT_3515	Q8A1Z3
226186.BT_3347	Q8A2F8
226186.BT_2201	Q8A5N7
226186.BT_0140	Q8ABH0
226186.BT_1355	Q8A819
226186.BT_2753	Q8A450
226186.BT_3891	Q8A0Y0
226186.BT_0498	Q8AAG7
226186.BT_2030	Q8A656
226186.BT_1014	Q8A903
226186.BT_2638	Q8A4G1
226186.BT_2632	Q8A4G7
226186.BT_4166	Q8A055
226186.BT_3167	Q8A2Y8
226186.BT_2837	Q8A3W7
226186.BT_0177	Q8ABD3
226186.BT_2690	Q8A4B3
226186.BT_1060	Q8A8V7
226186.BT_3112	Q8A343
226186.BT_0539	Q8AAC6
226186.BT_4702	Q89YM9
226186.BT_4679	Q89YQ2
226186.BT_4184	Q8A037
226186.BT_4178	Q8A043
226186.BT_4021	Q8A0K0
226186.BT_3835	Q8A136
226186.BT_3441	Q8A265
226186.BT_2134	Q8A5V2
226186.BT_4358	Q89ZL9
226186.BT_3397	Q8A2A8
226186.BT_2611	Q8A4I8
226186.BT_2191	Q8A5P7
226186.BT_0927	Q8A990
226186.BT_0569	Q8AA96
226186.BT_0034	Q8ABS6
