4081.Solyc01g009590.2.1	Q43495
4081.Solyc02g085520.2.1	Q9FYW9
4081.Solyc06g008580.2.1	G9HPW8
4081.Solyc01g008090.2.1	K4AT06
4081.Solyc08g081530.2.1	Q49B52
4081.Solyc04g078760.2.1	Q2VY15
4081.Solyc07g064680.2.1	F1JYZ5
4081.Solyc03g120390.2.1	G9HPW3
4081.Solyc07g019450.2.1	G9HPX4
4081.Solyc11g007020.1.1	A8WBX7
4081.Solyc09g083290.2.1	G9HPW2
4081.Solyc12g014380.1.1	Q1PCD2
4081.Solyc06g076560.1.1	Q9SYV0
4081.Solyc10g061970.1.1	K4CND1
4081.Solyc07g016180.2.1	D9IA29
4081.Solyc04g080730.2.1	D9J1Y9
4081.Solyc04g009810.2.1	M9TIM9
4081.Solyc05g014280.2.1	Q8L470
4081.Solyc01g104970.2.1	G0XZA6
4081.Solyc10g054810.1.1	K4D174
4081.Solyc02g070650.2.1	K4B846
4081.Solyc03g120500.2.1	G9HPX1
4081.Solyc02g077290.1.1	G5EKN2
4081.Solyc09g075360.2.1	Q42875
4081.Solyc11g006550.1.1	A2SXR3
4081.Solyc03g120470.2.1	C0K092
4081.Solyc10g008910.1.1	K4AY75
4081.Solyc02g067750.2.1	B1VK36
4081.Solyc12g010600.1.1	Q1L5Z1
4081.Solyc01g068060.2.1	F2YHL2
4081.Solyc03g120470.2.1	H6V7A0
4081.Solyc06g008860.2.1	Q53U41
4081.Solyc12g009570.1.1	Q4W3B3
4081.Solyc02g093300.2.1	H9E8V2
4081.Solyc05g053410.2.1	Q9SWS6
4081.Solyc01g101180.2.1	G5CV45
4081.Solyc06g048410.2.1	Q7YK44
4081.Solyc02g086820.2.1	Q5NE20
4081.Solyc08g068210.2.1	G8Z247
4081.Solyc01g099160.2.1	Q9FT17
4081.Solyc04g076850.2.1	Q45UB0
4081.Solyc09g065850.2.1	G9HPV4
4081.Solyc10g079250.1.1	B1N670
4081.Solyc02g071920.2.1	K4B8G7
4081.Solyc06g075650.2.1	K4C9T0
4081.Solyc07g049500.2.1	K4CF53
4081.Solyc11g070130.1.1	Q8VWR0
4081.Solyc08g082250.2.1	Q9ZSP9
4081.Solyc08g078850.2.1	Q96569
4081.Solyc03g121060.2.1	G9HPX0
4081.Solyc11g005090.1.1	Q9XGI5
4081.Solyc01g091160.2.1	Q5UNS2
4081.Solyc03g118410.2.1	Q672Q9
4081.Solyc08g082630.2.1	D7R605
4081.Solyc02g082480.2.1	G5EKP3
4081.Solyc10g047140.1.1	G0XZA5
4081.Solyc03g121540.2.1	Q9ZP11
4081.Solyc06g053830.2.1	G9HPV6
4081.Solyc04g081400.2.1	Q4PS96
4081.Solyc01g109790.2.1	Q15I66
4081.Solyc03g025190.2.1	Q6V7U8
4081.Solyc06g008050.2.1	D2IGV3
4081.Solyc02g067870.2.1	Q6V7U9
4081.Solyc10g055630.1.1	K4D1F3
4081.Solyc06g074820.2.1	Q53U42
4081.Solyc11g072630.1.1	E2GLN8
4081.Solyc06g008590.2.1	G9HPW5
4081.Solyc06g071350.2.1	Q56R07
4081.Solyc02g093680.2.1	D2KQI9
4081.Solyc06g072300.2.1	K4C8V0
4081.Solyc07g009380.2.1	Q9FZ05
4081.Solyc07g045480.2.1	Q41335
4081.Solyc06g083700.2.1	D2IGV4
4081.Solyc08g078700.2.1	O80432
4081.Solyc12g056220.1.1	K4DFV3
4081.Solyc02g070350.2.1	K4B816
4081.Solyc04g005680.2.1	K4ATQ2
4081.Solyc06g084070.2.1	G9HPV3
4081.Solyc06g074730.2.1	K4C9J1
4081.Solyc01g097290.2.1	G9HPW4
4081.Solyc06g065630.2.1	A0PDH2
4081.Solyc08g062450.1.1	Q96489
4081.Solyc06g076570.1.1	G5DGD4
4081.Solyc11g072410.1.1	G8Z291
4081.Solyc05g005490.2.1	Q5NE21
4081.Solyc10g051310.1.1	Q42886
4081.Solyc04g054280.1.1	G9HPW9
4081.Solyc11g012360.1.1	K4D641
4081.Solyc08g081620.2.1	Q42871
4081.Solyc03g118290.2.1	Q2LAJ3
4081.Solyc04g078470.2.1	Q9SMD4
4081.Solyc06g009130.2.1	K4C3U3
4081.Solyc03g025850.2.1	Q9XEX8
4081.Solyc02g084870.2.1	D9IV43
4081.Solyc06g007120.2.1	B6C9K2
4081.Solyc01g102580.2.1	O04890
4081.Solyc01g105710.2.1	Q2VY16
4081.Solyc11g010230.1.1	Q6LB28
4081.Solyc10g054440.1.1	Q5F307
4081.Solyc05g010420.1.1	A5JME7
4081.Solyc05g052270.1.1	G3XKW8
4081.Solyc10g084120.1.1	K4D3J8
4081.Solyc08g014420.2.1	Q84MI5
4081.Solyc06g076520.1.1	Q9SYU8
4081.Solyc06g076660.2.1	Q8H0Q1
4081.Solyc06g053840.2.1	G9HPV5
4081.Solyc06g066020.2.1	G9HPX6
4081.Solyc01g006560.2.1	C0KKU8
4081.Solyc05g049970.2.1	F8UF76
4081.Solyc03g113590.2.1	Q8LKF6
4081.Solyc01g011340.2.1	Q6VUQ5
4081.Solyc01g100520.2.1	Q93YH0
4081.Solyc05g053300.2.1	Q8GT30
4081.Solyc01g091910.2.1	Q9AWB6
4081.Solyc03g019820.2.1	K4BEV4
4081.Solyc03g120380.2.1	G9HPW6
4081.Solyc12g015880.1.1	Q6UJX4
4081.Solyc08g021820.2.1	G9HPX2
4081.Solyc08g075550.2.1	Q84V46
4081.Solyc02g092980.2.1	Q9S7H9
4081.Solyc03g098240.2.1	B1Q3F0
4081.Solyc09g064910.1.1	I0IUP8
4081.Solyc06g059930.2.1	D5KXD2
4081.Solyc04g081240.2.1	D9IVB5
4081.Solyc08g061970.2.1	Q70AG5
4081.Solyc11g011920.1.1	B1Q3F1
4081.Solyc07g056000.2.1	Q43528
4081.Solyc07g056350.2.1	F8UFC2
4081.Solyc10g086020.1.1	K4D3L7
4081.Solyc11g011990.1.1	Q9FEC9
4081.Solyc06g082000.2.1	B6C9K0
4081.Solyc07g008020.2.1	G9HPX5
4081.Solyc01g081060.2.1	Q6RHY1
4081.Solyc08g013730.2.1	K4CJ08
4081.Solyc12g096980.1.1	G9HPV9
4081.Solyc06g011350.2.1	E7EC27
4081.Solyc07g065380.2.1	A1YIQ6
4081.Solyc01g111660.2.1	K4B428
4081.Solyc09g083280.2.1	G9HPV2
4081.Solyc03g013340.2.1	K4BEQ5
4081.Solyc04g073990.2.1	O81536
4081.Solyc01g094690.2.1	K4AZL0
4081.Solyc02g069260.2.1	K4B7Q8
4081.Solyc03g121070.2.1	Q8H0Q2
4081.Solyc11g069190.1.1	Q2LAI9
4081.Solyc01g067750.2.1	O65917
4081.Solyc06g065680.2.1	Q9XGI4
4081.Solyc01g081610.2.1	D3TI69
4081.Solyc10g044670.1.1	Q41331
4081.Solyc06g005170.2.1	Q84MI4
4081.Solyc07g062970.2.1	Q6QLU0
4081.Solyc12g011270.1.1	Q9SWW0
4081.Solyc06g073460.2.1	Q7XZS6
4081.Solyc04g049090.2.1	Q56BA6
4081.Solyc01g097810.2.1	Q202I0
4081.Solyc11g069270.1.1	E3UVW7
4081.Solyc06g051650.2.1	Q5GA61
4081.Solyc04g072570.2.1	G0XZA3
4081.Solyc01g007670.2.1	A0A0C5CUU8
4081.Solyc01g007640.2.1	A0A0C5CHH1
4081.Solyc01g007660.2.1	A0A0C5CEF4
4081.Solyc02g082820.2.1	Q9XGI1
4081.Solyc06g051630.2.1	K4C5V4
4081.Solyc10g083760.1.1	A0FKE6
4081.Solyc12g007230.1.1	G9HPV7
4081.Solyc08g078390.2.1	Q5D8D3
4081.Solyc02g077920.2.1	Q0PY35
4081.Solyc11g040340.1.1	O04972
4081.Solyc01g090710.2.1	Q645N0
4081.Solyc06g073590.2.1	K4C978
4081.Solyc09g082340.2.1	B0JEU3
4081.Solyc09g010210.2.1	Q42872
4081.Solyc02g078910.2.1	G3XKQ7
4081.Solyc01g107730.2.1	Q9SMD5
4081.Solyc09g074430.2.1	D2IGV5
4081.Solyc03g093130.2.1	Q6RHY0
4081.Solyc06g060760.2.1	K4C6Q6
4081.Solyc06g073800.2.1	K4C998
4081.Solyc10g078490.1.1	K4D291
4081.Solyc02g069280.2.1	K4B7R0
4081.Solyc10g075100.1.1	Q4A1N1
4081.Solyc11g065760.1.1	Q71F77
4081.Solyc09g090610.2.1	K4CUW3
4081.Solyc11g066390.1.1	Q7XAV2
4081.Solyc10g054840.1.1	E3UMZ9
4081.Solyc02g084720.2.1	Q9LLS9
4081.Solyc02g090890.2.1	A5JV19
4081.Solyc09g059970.2.1	Q9SMD1
4081.Solyc04g009810.2.1	K4BPD6
4081.Solyc01g080150.2.1	J9PEK3
4081.Solyc12g006570.1.1	G5CV52
4081.Solyc05g008850.2.1	G9HPX3
4081.Solyc12g019460.1.1	Q84MI6
4081.Solyc01g005000.2.1	B1Q3F2
4081.Solyc06g068860.2.1	E0XN34
4081.Solyc12g019690.1.1	K4DDJ2
4081.Solyc07g066580.2.1	C0LIR4
4081.Solyc01g010970.2.1	K4ATU0
4081.Solyc03g007240.2.1	Q7XBB3
4081.Solyc02g084230.1.1	H1ZN87
4081.Solyc09g005080.1.1	C1KBH9
4081.Solyc00g102400.2.1	A1Y9R2
4081.Solyc10g083610.1.1	O24027
4081.Solyc10g008240.2.1	C8BNN6
4081.Solyc01g065980.2.1	H6U708
4081.Solyc10g083790.1.1	D2CV78
4081.Solyc05g051200.1.1	Q8LGR8
4081.Solyc09g005080.1.1	C5J3T4
4081.Solyc10g079260.1.1	B1N671
4081.Solyc11g067270.1.1	K4D9Y4
4081.Solyc10g006880.2.1	Q56UP7
4081.Solyc09g005080.1.1	Q93V91
4081.Solyc08g060810.2.1	Q2PQJ0
4081.Solyc06g051850.1.1	Q563I3
4081.Solyc01g111310.2.1	F8SS63
4081.Solyc06g005150.2.1	Q3I5C3
4081.Solyc07g043420.2.1	Q40131
4081.Solyc10g085150.1.1	K4D3U9
4081.Solyc01g104380.2.1	Q9M509
4081.Solyc01g103370.2.1	Q41339
4081.Solyc10g017850.2.1	Q9LKW2
4081.Solyc01g057190.1.1	K4AVT2
4081.Solyc03g093640.2.1	A7Y7X7
4081.Solyc02g089200.2.1	Q8VXG0
4081.Solyc01g087850.2.1	O82777
4081.Solyc01g105920.2.1	G1JUH4
4081.Solyc07g066250.1.1	Q9ZSP2
4081.Solyc11g006250.1.1	G1DEX3
4081.Solyc01g095150.2.1	Q40159
4081.Solyc09g037130.1.1	K4CSR6
4081.Solyc04g056620.1.1	E5KGD7
4081.Solyc01g101190.2.1	G5CV44
4081.Solyc01g056340.2.1	B5B6N3
4081.Solyc11g072300.1.1	Q3SC87
4081.Solyc08g081920.2.1	Q8RW34
4081.Solyc12g099990.1.1	K4DI20
4081.Solyc06g051400.2.1	Q7X7I9
4081.Solyc12g088170.1.1	B5M6H1
4081.Solyc12g008980.1.1	B2CPI9
4081.Solyc11g028020.1.1	Q8H280
4081.Solyc03g119060.2.1	Q5WM33
4081.Solyc01g087260.2.1	Q6E4P4
4081.Solyc06g071310.2.1	Q56R05
4081.Solyc12g056600.2.1	D6C447
4081.Solyc07g056570.1.1	O24023
4081.Solyc12g008350.1.1	Q8GZF1
4081.Solyc01g098410.2.1	G3KGB4
4081.Solyc11g006000.1.1	Q6RFY3
4081.Solyc04g078840.2.1	Q6QPK1
4081.Solyc12g089380.1.1	Q9FVH0
4081.Solyc08g068730.1.1	Q8RXB8
4081.Solyc08g079880.1.1	O65834
4081.Solyc10g054770.1.1	I3RSI2
4081.Solyc07g007750.2.1	B1N678
4081.Solyc06g062920.2.1	Q94FU1
4081.Solyc07g062680.1.1	A2I5C7
4081.Solyc12g096730.1.1	O22610
4081.Solyc12g063030.1.1	Q5MAC3
4081.Solyc11g010600.1.1	Q949J8
4081.Solyc12g019180.1.1	Q9ZT65
4081.Solyc08g079850.1.1	O65836
4081.Solyc03g116910.2.1	Q4U1I4
4081.Solyc10g007960.1.1	Q8GZP5
4081.Solyc01g056340.2.1	B3VSB2
4081.Solyc03g005560.1.1	O22549
4081.Solyc01g058140.2.1	Q1M319
4081.Solyc09g011920.2.1	Q8SA58
4081.Solyc02g085840.2.1	Q9STA6
4081.Solyc08g079870.1.1	O04678
4081.Solyc09g064660.2.1	K4CAT6
4081.Solyc08g068700.1.1	Q8RXB7
4081.Solyc04g007860.2.1	G8Z257
4081.Solyc06g065820.2.1	Q8S9H4
4081.Solyc11g022590.1.1	Q40129
4081.Solyc01g073640.2.1	Q9LEG3
4081.Solyc12g062860.1.1	G8Z288
4081.Solyc11g007760.1.1	Q5I6E8
4081.Solyc02g085600.1.1	Q9FYW2
4081.Solyc06g054010.2.1	A8IDW6
4081.Solyc08g081010.2.1	G8XSL1
4081.Solyc06g068440.2.1	Q4U1I5
