9031.ENSGALP00000006578	Q5ZLQ6
9031.ENSGALP00000010477	Q7ZT11
9031.ENSGALP00000017545	Q5ZMD2
9031.ENSGALP00000001157	Q5ZIB9
9031.ENSGALP00000027169	Q5ZLC6
9031.ENSGALP00000012967	Q5F478
9031.ENSGALP00000023054	Q5ZLC8
9031.ENSGALP00000032184	Q92108
9031.ENSGALP00000038695	P17785
9031.ENSGALP00000036959	P17153
9031.ENSGALP00000006938	P51901
9031.ENSGALP00000013724	Q5ZMP6
9031.ENSGALP00000008112	Q5ZMP7
9031.ENSGALP00000006629	Q5ZKK3
9031.ENSGALP00000001313	Q5R2I8
9031.ENSGALP00000012939	Q5ZMW3
9031.ENSGALP00000014075	Q5ZIF1
9031.ENSGALP00000011510	P08250
9031.ENSGALP00000026550	P11682
9031.ENSGALP00000024373	P02659
9031.ENSGALP00000033976	P61798
9031.ENSGALP00000002074	Q5ZKW5
9031.ENSGALP00000038636	Q5F4A9
9031.ENSGALP00000025980	Q8AWC3
9031.ENSGALP00000027180	Q5ZL35
9031.ENSGALP00000008791	Q5ZLX4
9031.ENSGALP00000010376	Q5ZLR6
9031.ENSGALP00000003617	Q5ZI51
9031.ENSGALP00000004725	Q5ZJ69
9031.ENSGALP00000040104	Q5ZKQ8
9031.ENSGALP00000039143	P02521
9031.ENSGALP00000039191	P05083
9031.ENSGALP00000000076	Q5ZMQ0
9031.ENSGALP00000037100	Q5ZMG5
9031.ENSGALP00000028001	Q5ZLY8
9031.ENSGALP00000038669	P53488
9031.ENSGALP00000019832	Q90WD0
9031.ENSGALP00000005624	Q5ZJA4
9031.ENSGALP00000018828	Q9DEE9
9031.ENSGALP00000023597	Q5ZK90
9031.ENSGALP00000008780	P13913
9031.ENSGALP00000008779	P13914
9031.ENSGALP00000008778	P12275
9031.ENSGALP00000024889	F1NTD6
9031.ENSGALP00000023972	Q3C1E9
9031.ENSGALP00000027066	Q5ZK74
9031.ENSGALP00000026872	Q92056
9031.ENSGALP00000003773	Q5ZJN0
9031.ENSGALP00000015846	Q5ZJU3
9031.ENSGALP00000006379	Q5ZJ23
9031.ENSGALP00000012741	F8RT80
9031.ENSGALP00000013074	P0DJJ2
9031.ENSGALP00000036004	Q5ZM88
9031.ENSGALP00000011610	Q5ZKB7
9031.ENSGALP00000036172	P09572
9031.ENSGALP00000036140	P08251
9031.ENSGALP00000004355	P33879
9031.ENSGALP00000013976	Q2HZ96
9031.ENSGALP00000038523	Q03669
9031.ENSGALP00000002373	Q9YGL9
9031.ENSGALP00000032623	O93602
9031.ENSGALP00000010165	Q6PZ02
9031.ENSGALP00000007877	Q5ZKY2
9031.ENSGALP00000040088	O57598
9031.ENSGALP00000034617	P14092
9031.ENSGALP00000034616	P14093
9031.ENSGALP00000035339	Q5ZLC5
9031.ENSGALP00000017488	Q9W689
9031.ENSGALP00000003846	P02701
9031.ENSGALP00000020317	Q90669
9031.ENSGALP00000030643	Q90670
9031.ENSGALP00000003839	P56732
9031.ENSGALP00000012076	O42400
9031.ENSGALP00000010059	Q07816
9031.ENSGALP00000039454	P21611
9031.ENSGALP00000009155	Q5F3E8
9031.ENSGALP00000018771	Q5F486
9031.ENSGALP00000006954	Q5F3N6
9031.ENSGALP00000036341	P23614
9031.ENSGALP00000036904	Q9DE13
9031.ENSGALP00000008883	Q9DDT2
9031.ENSGALP00000008671	Q9I993
9031.ENSGALP00000020984	Q00709
9031.ENSGALP00000011884	Q5ZM39
9031.ENSGALP00000011241	Q5ZJZ5
9031.ENSGALP00000019837	P25429
9031.ENSGALP00000004697	Q5ZKS6
9031.ENSGALP00000014199	Q06637
9031.ENSGALP00000021253	Q8JGM8
9031.ENSGALP00000035646	Q90660
9031.ENSGALP00000020823	Q5ZK77
9031.ENSGALP00000006762	P87362
9031.ENSGALP00000013422	Q9I920
9031.ENSGALP00000011282	Q9YGC1
9031.ENSGALP00000032095	Q9I8T7
9031.ENSGALP00000022780	Q8QGQ7
9031.ENSGALP00000014334	Q90751
9031.ENSGALP00000036400	Q90752
9031.ENSGALP00000019925	Q05438
9031.ENSGALP00000038109	Q5ZJ87
9031.ENSGALP00000009257	Q9I8I2
9031.ENSGALP00000033552	P86345
9031.ENSGALP00000018703	P79777
9031.ENSGALP00000020950	Q04982
9031.ENSGALP00000005996	Q5ZKG2
9031.ENSGALP00000025019	Q5ZLS3
9031.ENSGALP00000016287	Q5ZML0
9031.ENSGALP00000016398	Q5ZLL9
9031.ENSGALP00000022918	Q91998
9031.ENSGALP00000011314	Q7ZZR3
9031.ENSGALP00000005376	Q5ZIK6
9031.ENSGALP00000010513	Q6RFL5
9031.ENSGALP00000017180	Q5ZJG3
9031.ENSGALP00000018378	P34743
9031.ENSGALP00000007936	Q8JH64
9031.ENSGALP00000039926	Q5ZIJ0
9031.ENSGALP00000013365	Q5ZLT7
9031.ENSGALP00000037127	Q5ZL42
9031.ENSGALP00000014242	Q5ZHS3
9031.ENSGALP00000015853	Q5F3G7
9031.ENSGALP00000002903	Q5ZKE5
9031.ENSGALP00000013765	O73706
9031.ENSGALP00000021218	O73707
9031.ENSGALP00000008540	O73700
9031.ENSGALP00000021052	P79995
9031.ENSGALP00000008451	O93319
9031.ENSGALP00000038306	P33150
9031.ENSGALP00000021013	Q8QGH3
9031.ENSGALP00000024371	P10288
9031.ENSGALP00000008166	P24503
9031.ENSGALP00000008445	Q8AYD0
9031.ENSGALP00000030382	Q90762
9031.ENSGALP00000022341	Q90763
9031.ENSGALP00000001693	Q5R1T0
9031.ENSGALP00000025797	Q5R1S9
9031.ENSGALP00000025525	P07630
9031.ENSGALP00000026395	P04354
9031.ENSGALP00000003665	P07090
9031.ENSGALP00000038811	P07660
9031.ENSGALP00000021314	P12957
9031.ENSGALP00000039444	P02597
9031.ENSGALP00000037503	P62149
9031.ENSGALP00000037503	P05419
9031.ENSGALP00000015225	Q92178
9031.ENSGALP00000031999	Q92177
9031.ENSGALP00000016538	P00789
9031.ENSGALP00000006415	P14315
9031.ENSGALP00000013350	Q5ZKQ5
9031.ENSGALP00000029853	Q98943
9031.ENSGALP00000036165	P19204
9031.ENSGALP00000035934	P43233
9031.ENSGALP00000010662	Q05744
9031.ENSGALP00000020559	P09648
9031.ENSGALP00000038147	P35431
9031.ENSGALP00000039390	P13127
9031.ENSGALP00000015277	P28497
9031.ENSGALP00000026546	Q5F477
9031.ENSGALP00000030943	Q5ZKI7
9031.ENSGALP00000020540	E1C3P4
9031.ENSGALP00000025103	Q8QGP3
9031.ENSGALP00000037320	Q5ZKV9
9031.ENSGALP00000010416	Q5ZIH9
9031.ENSGALP00000025582	Q5F362
9031.ENSGALP00000001507	Q5ZK95
9031.ENSGALP00000010847	Q5ZJ07
9031.ENSGALP00000024466	Q8AXP2
9031.ENSGALP00000019790	Q5ZKI4
9031.ENSGALP00000008922	Q5F339
9031.ENSGALP00000019451	Q9PU41
9031.ENSGALP00000033831	P29332
9031.ENSGALP00000024901	P55168
9031.ENSGALP00000012203	P55169
9031.ENSGALP00000036477	P49706
9031.ENSGALP00000007147	P49707
9031.ENSGALP00000002355	Q5ZJP9
9031.ENSGALP00000007003	Q5ZM60
9031.ENSGALP00000005469	Q5ZLN2
9031.ENSGALP00000040604	E1BRC3
9031.ENSGALP00000024723	P42292
9031.ENSGALP00000014099	P31043
9031.ENSGALP00000011982	Q98910
9031.ENSGALP00000010340	Q9I8D8
9031.ENSGALP00000007641	Q90694
9031.ENSGALP00000003888	Q5ZLM0
9031.ENSGALP00000003631	Q8UVJ7
9031.ENSGALP00000004867	P13863
9031.ENSGALP00000008078	Q5ZKN1
9031.ENSGALP00000022985	Q5ZKB8
9031.ENSGALP00000011340	Q5ZJA3
9031.ENSGALP00000036822	Q5ZLH9
9031.ENSGALP00000009094	Q9DEB6
9031.ENSGALP00000012991	Q05826
9031.ENSGALP00000013128	Q5F3T7
9031.ENSGALP00000039247	Q7T2T1
9031.ENSGALP00000032226	Q90ZF9
9031.ENSGALP00000039555	Q8AYS7
9031.ENSGALP00000019414	Q1T7B9
9031.ENSGALP00000021941	Q1T765
9031.ENSGALP00000026757	Q1T7B8
9031.ENSGALP00000007455	Q1T7B7
9031.ENSGALP00000035912	Q1T764
9031.ENSGALP00000017885	Q1T763
9031.ENSGALP00000040599	E1BSW7
9031.ENSGALP00000002336	F1NPG5
9031.ENSGALP00000031579	Q2Z1W2
9031.ENSGALP00000038059	P0DJH7
9031.ENSGALP00000013137	E1C065
9031.ENSGALP00000010701	P0CB05
9031.ENSGALP00000000194	Q5ZKD1
9031.ENSGALP00000028426	Q90773
9031.ENSGALP00000008711	Q9PWB0
9031.ENSGALP00000001869	Q3V6R6
9031.ENSGALP00000004378	Q5F3N9
9031.ENSGALP00000018229	Q5ZLK8
9031.ENSGALP00000001318	Q5ZHP3
9031.ENSGALP00000020578	Q9I8Q3
9031.ENSGALP00000004488	Q75QI0
9031.ENSGALP00000011704	P40667
9031.ENSGALP00000013122	Q5ZL72
9031.ENSGALP00000013307	Q5ZI66
9031.ENSGALP00000023555	B6ZLK2
9031.ENSGALP00000024904	Q06A37
9031.ENSGALP00000001527	Q5ZHY5
9031.ENSGALP00000040314	Q8AYC9
9031.ENSGALP00000006490	Q5ZKX1
9031.ENSGALP00000028613	Q5ZHN1
9031.ENSGALP00000024944	Q5F3A2
9031.ENSGALP00000003263	Q5ZHP5
9031.ENSGALP00000030825	Q5ZL55
9031.ENSGALP00000040164	Q5ZJB7
9031.ENSGALP00000032005	Q5ZM44
9031.ENSGALP00000020806	Q5ZHQ5
9031.ENSGALP00000027798	Q5ZML4
9031.ENSGALP00000039793	Q92179
9031.ENSGALP00000027024	Q5ZIE4
9031.ENSGALP00000024744	Q5ZMJ7
9031.ENSGALP00000023047	Q5ZI03
9031.ENSGALP00000003536	Q9PW70
9031.ENSGALP00000040403	Q9I8K7
9031.ENSGALP00000013364	Q5ZJE4
9031.ENSGALP00000003594	Q90YJ9
9031.ENSGALP00000007098	O42184
9031.ENSGALP00000022354	Q8QGQ6
9031.ENSGALP00000021513	Q5ZKJ0
9031.ENSGALP00000011907	Q5ZJL4
9031.ENSGALP00000035496	O42395
9031.ENSGALP00000026992	Q90805
9031.ENSGALP00000022830	Q90980
9031.ENSGALP00000018708	Q5ZIW2
9031.ENSGALP00000022159	Q5ZJV9
9031.ENSGALP00000011774	Q02011
9031.ENSGALP00000015490	P14781
9031.ENSGALP00000034589	P28685
9031.ENSGALP00000027744	Q90W79
9031.ENSGALP00000018862	Q0V8S9
9031.ENSGALP00000015687	P02467
9031.ENSGALP00000035064	P02460
9031.ENSGALP00000038878	P20785
9031.ENSGALP00000009873	P15988
9031.ENSGALP00000006240	P15989
9031.ENSGALP00000036264	P12106
9031.ENSGALP00000009015	P32017
9031.ENSGALP00000024087	P08125
9031.ENSGALP00000036300	P13944
9031.ENSGALP00000037066	O42163
9031.ENSGALP00000026422	P32018
9031.ENSGALP00000016266	P21566
9031.ENSGALP00000035802	Q2LK95
9031.ENSGALP00000026396	Q2LK94
9031.ENSGALP00000030293	Q2LK54
9031.ENSGALP00000009665	Q5ZIA5
9031.ENSGALP00000012007	Q5ZL57
9031.ENSGALP00000004982	Q5ZIK9
9031.ENSGALP00000037533	Q5ZLL5
9031.ENSGALP00000023584	Q90733
9031.ENSGALP00000034614	P18943
9031.ENSGALP00000034615	P18944
9031.ENSGALP00000034618	P18945
9031.ENSGALP00000013167	P12394
9031.ENSGALP00000038215	P19098
9031.ENSGALP00000039219	P79760
9031.ENSGALP00000002010	P79761
9031.ENSGALP00000010871	Q9PUB4
9031.ENSGALP00000039280	P20678
9031.ENSGALP00000001808	Q5ZJA2
9031.ENSGALP00000016173	Q5ZL34
9031.ENSGALP00000004171	Q5ZM19
9031.ENSGALP00000006416	P10042
9031.ENSGALP00000009025	P49152
9031.ENSGALP00000009017	P07530
9031.ENSGALP00000013451	P0CF65
9031.ENSGALP00000006734	Q5ZL05
9031.ENSGALP00000013090	Q90ZD5
9031.ENSGALP00000000502	Q90812
9031.ENSGALP00000037171	Q8AWW5
9031.ENSGALP00000016245	Q5ZKB6
9031.ENSGALP00000004174	Q04929
9031.ENSGALP00000025202	Q98ST5
9031.ENSGALP00000019505	Q90830
9031.ENSGALP00000036920	Q8QG61
9031.ENSGALP00000037549	Q8QG60
9031.ENSGALP00000035906	P02504
9031.ENSGALP00000012892	Q05713
9031.ENSGALP00000009985	P21868
9031.ENSGALP00000001302	P21869
9031.ENSGALP00000007709	Q5ZJF1
9031.ENSGALP00000025144	Q90953
9031.ENSGALP00000039973	P67966
9031.ENSGALP00000016664	P50460
9031.ENSGALP00000033975	Q08705
9031.ENSGALP00000009144	Q9PTJ6
9031.ENSGALP00000030658	Q2IAL7
9031.ENSGALP00000025681	P30997
9031.ENSGALP00000022132	B3TP03
9031.ENSGALP00000013337	Q5F3Z7
9031.ENSGALP00000014627	Q5ZKA3
9031.ENSGALP00000023950	P14154
9031.ENSGALP00000027629	P29415
9031.ENSGALP00000024929	P18860
9031.ENSGALP00000036053	P36381
9031.ENSGALP00000027628	O93533
9031.ENSGALP00000001471	P18861
9031.ENSGALP00000022250	P00174
9031.ENSGALP00000034623	P18946
9031.ENSGALP00000037050	P67881
9031.ENSGALP00000014090	P19336
9031.ENSGALP00000010741	Q2KN97
9031.ENSGALP00000014093	P01038
9031.ENSGALP00000040147	O13113
9031.ENSGALP00000018319	Q804A9
9031.ENSGALP00000001803	Q5ZLM2
9031.ENSGALP00000037984	Q91975
9031.ENSGALP00000018705	Q90828
9031.ENSGALP00000009301	Q5F3R7
9031.ENSGALP00000025851	Q5ZLK1
9031.ENSGALP00000014300	Q5ZKU1
9031.ENSGALP00000036115	P27118
9031.ENSGALP00000032457	Q5QJC4
9031.ENSGALP00000002949	Q5QJC3
9031.ENSGALP00000022533	Q5QJC2
9031.ENSGALP00000001589	Q5ZK14
9031.ENSGALP00000039807	Q805F9
9031.ENSGALP00000013362	Q5ZJL7
9031.ENSGALP00000027656	Q5ZJF6
9031.ENSGALP00000036098	Q90WU3
9031.ENSGALP00000000810	Q5F485
9031.ENSGALP00000005215	Q5ZLN8
9031.ENSGALP00000012391	Q5ZKB9
9031.ENSGALP00000015178	Q5F3C1
9031.ENSGALP00000009062	Q5F3L4
9031.ENSGALP00000006010	Q5ZJ39
9031.ENSGALP00000023706	Q5ZLD2
9031.ENSGALP00000038068	Q8JIS3
9031.ENSGALP00000017350	Q5ZIV7
9031.ENSGALP00000014097	P18359
9031.ENSGALP00000012512	O73770
9031.ENSGALP00000003139	P00368
9031.ENSGALP00000008664	Q71R50
9031.ENSGALP00000012780	Q5ZIS0
9031.ENSGALP00000003637	P0DMQ6
9031.ENSGALP00000008031	Q5ZI74
9031.ENSGALP00000017889	Q25BN1
9031.ENSGALP00000016054	Q5ZLG3
9031.ENSGALP00000038790	Q5ZKZ4
9031.ENSGALP00000026751	Q6IMM1
9031.ENSGALP00000008091	Q5ZJH9
9031.ENSGALP00000008890	Q90839
9031.ENSGALP00000015233	P50577
9031.ENSGALP00000026200	P11533
9031.ENSGALP00000016502	Q9PTQ7
9031.ENSGALP00000006419	Q5ZKG3
9031.ENSGALP00000029321	Q9YGI5
9031.ENSGALP00000010453	Q5F3Z5
9031.ENSGALP00000027249	Q5ZI13
9031.ENSGALP00000027179	Q90YB1
9031.ENSGALP00000006352	Q4W5Z4
9031.ENSGALP00000028167	Q5ZIP3
9031.ENSGALP00000010251	Q5ZMG0
9031.ENSGALP00000015213	P58270
9031.ENSGALP00000037742	Q5ZKI2
9031.ENSGALP00000019955	Q5ZKQ6
9031.ENSGALP00000037807	Q92076
9031.ENSGALP00000000304	Q90635
9031.ENSGALP00000007370	B6ZI38
9031.ENSGALP00000009606	P34822
9031.ENSGALP00000020712	Q5ZKM0
9031.ENSGALP00000015973	Q5ZJW8
9031.ENSGALP00000008022	P0C597
9031.ENSGALP00000018606	Q9PW71
9031.ENSGALP00000034586	Q6XUX0
9031.ENSGALP00000038869	Q5ZLW3
9031.ENSGALP00000016084	Q5ZIU3
9031.ENSGALP00000025076	P00378
9031.ENSGALP00000004806	Q90977
9031.ENSGALP00000032339	Q5ZHP7
9031.ENSGALP00000040205	Q5ZIX3
9031.ENSGALP00000023891	F1NB38
9031.ENSGALP00000002041	Q5ZLS2
9031.ENSGALP00000014641	Q5ZMC0
9031.ENSGALP00000001822	Q5ZKH3
9031.ENSGALP00000025606	Q90835
9031.ENSGALP00000013968	Q9YGQ1
9031.ENSGALP00000002828	Q90705
9031.ENSGALP00000026102	Q32TG3
9031.ENSGALP00000000368	P52804
9031.ENSGALP00000020165	P13387
9031.ENSGALP00000012417	O73691
9031.ENSGALP00000039225	P51971
9031.ENSGALP00000032305	Q5ZKC1
9031.ENSGALP00000025883	Q5ZLA5
9031.ENSGALP00000025924	Q5ZLE6
9031.ENSGALP00000013321	Q5ZKA4
9031.ENSGALP00000037039	Q5F428
9031.ENSGALP00000039285	Q5ZJ64
9031.ENSGALP00000001601	P07916
9031.ENSGALP00000019792	Q5ZJR8
9031.ENSGALP00000008425	Q5ZHS1
9031.ENSGALP00000008114	Q5ZJ00
9031.ENSGALP00000006311	Q5ZL00
9031.ENSGALP00000019265	P0C7A1
9031.ENSGALP00000003737	P51913
9031.ENSGALP00000023398	O57391
9031.ENSGALP00000020744	P08110
9031.ENSGALP00000014728	P79784
9031.ENSGALP00000016566	E1C1L6
9031.ENSGALP00000014500	O93295
9031.ENSGALP00000001939	Q5NDL3
9031.ENSGALP00000014571	Q5F381
9031.ENSGALP00000017636	Q5EG71
9031.ENSGALP00000024798	P29318
9031.ENSGALP00000008426	Q07496
9031.ENSGALP00000019068	P54755
9031.ENSGALP00000025098	O42422
9031.ENSGALP00000007541	P28693
9031.ENSGALP00000013896	Q07498
9031.ENSGALP00000023737	Q07497
9031.ENSGALP00000018368	Q90944
9031.ENSGALP00000006355	Q8JIF5
9031.ENSGALP00000018752	Q5ZKK7
9031.ENSGALP00000011467	Q5ZKX9
9031.ENSGALP00000029713	Q90837
9031.ENSGALP00000038209	P81628
9031.ENSGALP00000021137	P06212
9031.ENSGALP00000019234	Q9PTU5
9031.ENSGALP00000005323	Q5ZLR4
9031.ENSGALP00000001717	P13474
9031.ENSGALP00000001717	P15062
9031.ENSGALP00000025826	P10157
9031.ENSGALP00000025297	Q9I8W6
9031.ENSGALP00000018004	Q5ZJ43
9031.ENSGALP00000025135	Q9YHA0
9031.ENSGALP00000001125	Q9YH99
9031.ENSGALP00000019569	Q5ZLF0
9031.ENSGALP00000015411	Q5ZLM8
9031.ENSGALP00000023585	Q5ZK44
9031.ENSGALP00000037208	Q5ZHS0
9031.ENSGALP00000030346	Q5ZHW7
9031.ENSGALP00000022477	Q5ZML6
9031.ENSGALP00000040355	Q5ZI34
9031.ENSGALP00000007252	Q5ZI58
9031.ENSGALP00000023291	Q5ZL95
9031.ENSGALP00000026511	Q5ZI04
9031.ENSGALP00000025294	Q5ZKN5
9031.ENSGALP00000021084	Q5ZJV7
9031.ENSGALP00000022126	Q5F3L9
9031.ENSGALP00000040352	Q5ZJ65
9031.ENSGALP00000031737	Q804X6
9031.ENSGALP00000036589	Q05423
9031.ENSGALP00000006574	P80226
9031.ENSGALP00000008570	Q5ZM72
9031.ENSGALP00000026014	Q00944
9031.ENSGALP00000038436	Q3YK19
9031.ENSGALP00000027234	F1P065
9031.ENSGALP00000038133	P12276
9031.ENSGALP00000003408	Q5ZIB2
9031.ENSGALP00000022972	O73775
9031.ENSGALP00000005724	Q5ZLN4
9031.ENSGALP00000011866	P19596
9031.ENSGALP00000037907	P48801
9031.ENSGALP00000038573	Q90722
9031.ENSGALP00000023367	Q802A9
9031.ENSGALP00000037940	P18461
9031.ENSGALP00000001710	P18460
9031.ENSGALP00000022765	Q5ZKJ4
9031.ENSGALP00000025315	Q7T2H2
9031.ENSGALP00000015061	P14448
9031.ENSGALP00000038105	Q02020
9031.ENSGALP00000005654	P11722
9031.ENSGALP00000037128	Q05858
9031.ENSGALP00000005598	P51887
9031.ENSGALP00000027412	Q5ZJP5
9031.ENSGALP00000039227	Q5W4S4
9031.ENSGALP00000010542	Q5ZJ24
9031.ENSGALP00000016284	P18625
9031.ENSGALP00000035264	P79772
9031.ENSGALP00000015999	Q90964
9031.ENSGALP00000012591	Q58NQ4
9031.ENSGALP00000038030	P08267
9031.ENSGALP00000014797	P79763
9031.ENSGALP00000023997	Q90844
9031.ENSGALP00000009880	Q9YH58
9031.ENSGALP00000026100	E1BWM5
9031.ENSGALP00000024794	Q8AWB5
9031.ENSGALP00000008285	Q8AWC7
9031.ENSGALP00000004170	Q9PWH2
9031.ENSGALP00000014736	O57328
9031.ENSGALP00000034947	Q9IA06
9031.ENSGALP00000026786	Q9PTW3
9031.ENSGALP00000027820	Q9IA05
9031.ENSGALP00000025843	Q9PTW1
9031.ENSGALP00000030969	O57329
9031.ENSGALP00000011424	Q9IA03
9031.ENSGALP00000016094	Q5F4A1
9031.ENSGALP00000036329	P00356
9031.ENSGALP00000011404	P30802
9031.ENSGALP00000037841	Q5ZJY3
9031.ENSGALP00000009491	P23824
9031.ENSGALP00000010868	P23825
9031.ENSGALP00000030912	P43691
9031.ENSGALP00000008569	P43692
9031.ENSGALP00000024112	P43693
9031.ENSGALP00000037948	Q9I9K9
9031.ENSGALP00000005275	Q5ZLK4
9031.ENSGALP00000000170	P63247
9031.ENSGALP00000002606	P19150
9031.ENSGALP00000002598	Q90845
9031.ENSGALP00000026978	P19019
9031.ENSGALP00000011732	P24045
9031.ENSGALP00000034151	P21548
9031.ENSGALP00000011763	P34904
9031.ENSGALP00000021739	O42230
9031.ENSGALP00000019895	P50141
9031.ENSGALP00000033141	P11183
9031.ENSGALP00000037556	P15505
9031.ENSGALP00000039571	O42220
9031.ENSGALP00000027954	Q3KTM2
9031.ENSGALP00000002197	O93510
9031.ENSGALP00000015601	Q9PW38
9031.ENSGALP00000006013	Q5ZKG8
9031.ENSGALP00000005496	O42409
9031.ENSGALP00000014927	O13156
9031.ENSGALP00000002763	O13157
9031.ENSGALP00000025786	O93512
9031.ENSGALP00000008652	Q6GVH4
9031.ENSGALP00000032222	Q02092
9031.ENSGALP00000009130	Q5ZKQ7
9031.ENSGALP00000023546	P55878
9031.ENSGALP00000032359	P55879
9031.ENSGALP00000020121	Q9IA31
9031.ENSGALP00000026846	Q6QLQ9
9031.ENSGALP00000030908	Q6IV20
9031.ENSGALP00000030909	Q6QLQ7
9031.ENSGALP00000030910	Q6IV18
9031.ENSGALP00000030904	P46158
9031.ENSGALP00000026851	Q9DG58
9031.ENSGALP00000026852	Q6IV26
9031.ENSGALP00000026847	Q6QLR3
9031.ENSGALP00000030905	Q6QLR2
9031.ENSGALP00000035929	Q6IV23
9031.ENSGALP00000035930	Q6QLR1
9031.ENSGALP00000005819	P16580
9031.ENSGALP00000008657	Q5ZI23
9031.ENSGALP00000004298	Q5ZMJ4
9031.ENSGALP00000001774	P19439
9031.ENSGALP00000023602	P79764
9031.ENSGALP00000018068	P68259
9031.ENSGALP00000002823	Q5ZLS7
9031.ENSGALP00000013640	P50146
9031.ENSGALP00000007379	P50147
9031.ENSGALP00000005501	Q5ZLC9
9031.ENSGALP00000000365	P37042
9031.ENSGALP00000016812	Q9DDD1
9031.ENSGALP00000018276	Q5ZLL8
9031.ENSGALP00000003684	P50593
9031.ENSGALP00000024938	Q5F448
9031.ENSGALP00000012993	Q07883
9031.ENSGALP00000037126	O73755
9031.ENSGALP00000003179	Q9PWA3
9031.ENSGALP00000003717	Q5ZM98
9031.ENSGALP00000001474	Q90593
9031.ENSGALP00000004447	P01295
9031.ENSGALP00000017857	P53545
9031.ENSGALP00000018044	Q5ZMC6
9031.ENSGALP00000039178	Q02391
9031.ENSGALP00000016919	P20137
9031.ENSGALP00000030998	Q08392
9031.ENSGALP00000026289	Q08393
9031.ENSGALP00000036177	P26697
9031.ENSGALP00000010240	P20135
9031.ENSGALP00000032260	Q5ZI40
9031.ENSGALP00000007795	P46896
9031.ENSGALP00000015129	Q90592
9031.ENSGALP00000036432	P28568
9031.ENSGALP00000002177	P79880
9031.ENSGALP00000002158	P79881
9031.ENSGALP00000012119	E1C2I2
9031.ENSGALP00000015499	Q5ZKI6
9031.ENSGALP00000019193	P08284
9031.ENSGALP00000019175	P08286
9031.ENSGALP00000037266	P08287
9031.ENSGALP00000019205	P08288
9031.ENSGALP00000019163	P09987
9031.ENSGALP00000029990	P35062
9031.ENSGALP00000029990	P02263
9031.ENSGALP00000019172	P70082
