272623.L0046	Q9CHU6
272623.L0395	Q9CDN0
272623.L0396	Q9CDW6
272623.L0397	Q9CEU5
272623.L0398	Q9CIW6
272623.L0379	Q9CDR4
272623.L0380	Q9CDW8
272623.L0381	Q9CIS2
272623.L0382	Q9CDY0
272623.L0383	Q9CDM8
272623.L0384	Q9CDG0
272623.L0385	Q9CDX7
272623.L0386	Q9CDG7
272623.L187815	Q9CEB7
272623.L0363	Q9CHN8
272623.L180469	Q9CFX1
272623.L87561	Q9CH73
272623.L0266	Q9CDL2
272623.L0267	Q9CDL3
272623.L141748	Q9CJ63
272623.L152588	Q9CFZ0
272623.L108989	Q9CG33
272623.L108430	Q9CG34
272623.L0334	Q9CJ85
272623.L0333	P58118
272623.L119731	Q9CEH4
272623.L0083	Q9CHW5
272623.L0139	Q04506
272623.L12227	P0A4J1
272623.L86677	Q9CIS0
272623.L132585	Q9CI20
272623.L73853	P60375
272623.L0300	Q9CGS5
272623.L0302	Q9CDM9
272623.L160560	Q9CEW2
272623.L0343	Q9CEW0
272623.L0348	Q9CEJ0
272623.L0346	Q9CE80
272623.L0349	Q9CDZ7
272623.L0354	Q9CEB4
272623.L0355	Q9CEB5
272623.L101560	Q9CGK1
272623.L0360	Q9CGK0
272623.L0342	Q9CE78
272623.L0350	Q9CEH8
272623.L0347	Q9CII7
272623.L0352	Q9CHB6
272623.L0353	Q9CHE0
272623.L0345	Q9CEK9
272623.L0356	Q9CDT4
272623.L0344	Q9CE12
272623.L150515	Q9CEX2
272623.L0357	Q9CED2
272623.L0351	Q9CDP6
272623.L0358	Q9CJD1
272623.L0359	Q9CIH5
272623.L0465	P35878
272623.L137446	Q9CH26
272623.L0361	Q9CJ54
272623.L0026	P52984
272623.L0201	Q9CG48
272623.L183112	Q9CII1
272623.L94809	Q9CG46
272623.L0336	Q9CI15
272623.L1002	Q9CJH4
272623.L0298	Q9CG80
272623.L0006	P50918
272623.L24515	P35881
272623.L39593	Q9CID5
272623.L156302	Q9CHI2
272623.L6128	Q9CFB7
272623.L56416	Q9CG79
272623.L0048	Q01997
272623.L0049	Q01998
272623.L0051	Q01999
272623.L0052	Q02000
272623.L0054	Q02001
272623.L0050	Q02002
272623.L0053	Q02003
272623.L0331	Q9CI80
272623.L0328	Q9CGH0
272623.L93500	Q9CIR1
272623.L0058	Q9CET9
272623.L182559	P19368
272623.L32653	Q9CIX2
272623.L58643	Q9CDM7
272623.L175538	Q9CEC9
272623.L108994	Q9CF21
272623.L0256	Q9CEL9
272623.L0257	Q9CI06
272623.L0258	Q9CH98
272623.L0019	Q9CF53
272623.L0020	Q9CF50
272623.L190464	Q9CGX9
272623.L109747	Q9CG32
272623.L57903	Q9CG78
272623.L159396	Q9CGF0
272623.L0230	Q9CFG7
272623.L0231	Q9CFG8
272623.L0306	Q9CGT5
272623.L122849	Q9CJ80
272623.L142332	Q9CJ62
272623.L181494	Q9CDT3
272623.L86338	Q9CI77
272623.L168282	Q9CHZ4
272623.L6328	Q9CIG1
272623.L87100	Q9CJB5
272623.L89118	Q9CJB2
272623.L92204	Q9CJB0
272623.L135900	Q9CJ67
272623.L136552	Q9CJ66
272623.L141485	Q9CJ64
272623.L94534	Q9CGL0
272623.L29477	Q9CIX6
272623.L31280	Q9CIX4
272623.L91273	Q9CIR5
272623.L123147	Q9CIN2
272623.L163307	Q9CIJ9
272623.L178384	Q9CII5
272623.L98583	Q9CI68
272623.L131937	Q9CI21
272623.L133111	Q9CI19
272623.L153086	Q48660
272623.L193031	Q9CHE9
272623.L131778	Q9CJ72
272623.L164312	Q9CHZ9
272623.L122982	Q9CF09
272623.L158972	Q9CH08
272623.L172073	Q9CGZ6
272623.L172471	Q9CGZ5
272623.L188550	Q9CGY1
272623.L196206	Q9CGX3
272623.L104681	Q9CGJ9
272623.L193873	Q9CGB9
272623.L38177	Q9CG88
272623.L44550	Q02151
272623.L113060	Q9CG27
272623.L57401	Q9CFN3
272623.L101688	Q02009
272623.L4747	Q9CFB9
272623.L177346	Q9CEU8
272623.L195366	Q9CET0
272623.L1889726	Q9CEL6
272623.L123851	Q9CEH0
272623.L67463	Q9CE43
272623.L116216	Q9CE03
272623.L120396	Q9CE00
272623.L11851	O86271
272623.L37880	Q9CDP0
272623.L122569	Q9CDG9
272623.L140621	Q9CDF7
272623.L136332	G3ACV0
272623.L126739	I1Y9X9
272623.L0113	G3ACZ0
272623.L91252	G0WJN7
272623.L136332	G3ACY5
272623.L60596	Q84BV3
272623.L82250	I1Y9X3
272623.L0113	G3ACU8
272623.L165684	G0WJR0
272623.L92192	G0WJN6
272623.L0093	Q54A52
272623.L62774	A0A0B8QLK9
272623.L60596	Q5WA55
272623.L0354	F1JY13
272623.L0354	A9Y6Q8
272623.L0354	A9Y6U5
272623.L0082	E5FQH5
272623.L24511	Q0GUL2
272623.L0354	A9Y6S4
272623.L24511	Q0GUL0
272623.L0264	E5FQM3
272623.L138484	G3AD18
272623.L0260	L7Z4Z1
272623.L198893	L7Z9H3
272623.L0226	G3ACW1
272623.L0226	G3ACZ6
272623.L6973	Q25B03
272623.L0086	A9Y7E3
272623.L0086	A9Y7I5
272623.L0010	E5FQK7
272623.L138484	G3AD14
272623.L136332	G3AD21
272623.L118079	A9Y6Z1
272623.L102360	A9Y777
272623.L102360	A9Y770
272623.L118079	F1JXZ1
272623.L64175	E5FQI4
272623.L102360	A9Y781
272623.L64175	E5FQI3
272623.L24511	Q0GUL5
272623.L118079	A9Y6X7
272623.L102360	A9Y764
272623.L0086	F1JXU9
272623.L0086	E5FQG2
272623.L102360	A9Y7A9
272623.L102360	F1JXW9
272623.L56488	H2D3P6
272623.L110899	Q0GUG7
272623.L12887	Q9L9X0
272623.L0354	F1JY11
272623.L0354	A9Y6Q3
272623.L0086	A9Y7E2
272623.L118079	A9Y729
272623.L102360	A9Y783
272623.L8990	A9Y7M5
272623.L0264	E5FQM0
272623.L8990	F1JXT1
272623.L0354	A9Y6Q4
272623.L0136	A9Y6H1
272623.L109162	Q0GUI3
272623.L116532	Q0GUJ8
272623.L104437	H2D3Q5
272623.L0136	F1JXQ9
272623.L0112	G3ACZ3
272623.L118079	E5FQJ6
272623.L136332	G3AD17
272623.L6973	Q25B08
272623.L116532	Q0GUK0
272623.L0354	A9Y6Q1
272623.L0136	A9Y6G3
272623.L102360	A9Y7B5
272623.L142310	G3ACX4
272623.L109162	Q0GUI7
272623.L0112	G3AD00
272623.L0112	G3ACX9
272623.L0082	E5FQH4
272623.L0354	A9Y6S6
272623.L59867	Q7DFZ1
272623.L148778	K7ZK31
272623.L117090	Q2VHJ3
272623.L198033	W6CA09
272623.L102360	W6CDG4
272623.L118079	W6CFT9
272623.L198033	W6CCP4
272623.L118079	W6CFQ4
272623.L118079	W6CH09
272623.L0288	Q64F86
272623.L0288	Q64F72
272623.L6973	Q66RW3
272623.L6973	Q66RY6
272623.L102360	W6CEZ9
272623.L198033	W6CK29
272623.L102360	W6CDG7
272623.L0309	Q9S499
272623.L151330	Q9ZF42
272623.L145267	Q93QH7
272623.L152487	Q9ZF43
272623.L72477	Q9KIF6
272623.L0178	Q2VHH4
272623.L0029	Q9ZB17
272623.L0026	Q7BSL9
272623.L0309	O68168
272623.L101577	Q9ANT5
272623.L6973	Q66RX6
272623.L0025	B8Y885
272623.L0025	B8Y886
272623.L0288	Q64F74
272623.L122632	O50647
272623.L0308	O68167
272623.L6973	Q66RY5
272623.L0288	Q64F84
272623.L166370	Q2VHN7
272623.L0026	Q8VPU4
272623.L6973	Q66RY0
272623.L0024	Q8VPU2
272623.L6973	Q66RY3
272623.L6973	Q66RY9
272623.L101577	Q7BH46
272623.L0179	Q2VHH3
272623.L118079	Q5DR97
272623.L0124	O86270
272623.L100350	Q9ANT1
272623.L118079	W6CES9
272623.L154512	Q9ZF45
272623.L0472	O32787
272623.L102634	Q7BH49
272623.L198033	W6CK53
272623.L140856	Q66UT3
272623.L181867	Q2VHQ0
272623.L64332	Q9R5J9
272623.L6973	Q66RV8
272623.L6973	Q66RW2
272623.L0288	Q64F80
272623.L198033	W6CAH2
272623.L48789	Q9ZB20
272623.L0027	Q8VPU5
272623.L0025	Q8VPU3
272623.L0288	Q64F75
272623.L40005	Q9KJ63
272623.L6973	Q66RW5
272623.L117867	Q9ANT4
272623.L0154	Q48639
272623.L0288	Q64F82
272623.L122632	Q7DKW7
272623.L142326	Q66UT4
272623.L118079	W6CEE7
272623.L1002	Q48646
272623.L48582	Q9KJ50
272623.L0025	O87523
272623.L6973	Q66RV5
272623.L0288	Q64F81
272623.L34138	Q48692
272623.L6973	Q66RV3
272623.L0204	Q6LBG9
272623.L0310	O68169
272623.L46679	O68170
272623.L65637	Q48606
272623.L165684	P94881
272623.L180636	A0A0B8R0Y3
272623.L117444	A0A0B8R5L5
272623.L184159	A0A0B8R657
272623.L131778	A0A0B8R6C3
272623.L39306	A0A0B8R6Q4
272623.L177493	A0A0B8QPF2
272623.L157321	A0A0B8QPH1
272623.L57401	A0A0B8QPW2
272623.L0229	A0A0B8QQ82
272623.L179660	A0A0B8QQD1
272623.L0020	A0A0B8QQR1
272623.L110899	A0A0B8QS97
272623.L119564	A0A0B8QSP4
272623.L103661	A0A0B8QSW9
272623.L152588	A0A0B8QT91
272623.L139168	A0A0B8QTB8
272623.L2599	A0A0B8QX73
272623.L97131	A0A0B8R090
272623.L171000	A0A0B8R0H3
272623.L0206	A0A0B8R0Q1
272623.L123159	A0A0B8R132
272623.L125196	A0A0B8R2W0
272623.L130682	A0A0B8R3E1
272623.L33187	A0A0B8R584
272623.L0108	I1Y9W7
272623.L0262	A0A0B8QK93
272623.L0278	A0A0B8QKJ1
272623.L0315	A0A0B8QKJ6
272623.L108747	A0A0B8QMZ3
272623.L161266	A0A0B8QN41
272623.L0163	A0A0B8QNA8
272623.L81453	A0A0B8QNB8
272623.L48417	A0A0B8QNF1
272623.L145757	A0A0B8QNN0
272623.L0216	A0A0B8QNP2
272623.L124677	A0A0B8QNU9
272623.L81206	A0A0B8QP19
272623.L75975	A0A0B8QP29
272623.L22496	A0A0B8QPA4
272623.L139168	A0A0B8QPC3
272623.L49741	A0A0B8QPH2
272623.L94534	A0A0B8QPM2
272623.L91569	A0A0B8QPM6
272623.L111525	A0A0B8QQ40
272623.L157841	A0A0B8QQ95
272623.L195415	A0A0B8QQF1
272623.L161059	A0A0B8QQZ6
272623.L3533	A0A0B8QR20
272623.L86424	A0A0B8QRG3
272623.L177031	A0A0B8R3K9
272623.L85854	A0A0B8QIB7
272623.L99502	A0A0B8QID0
272623.L0269	A0A0B8QIG6
272623.L148346	A0A0B8QIH1
272623.L173469	A0A0B8QIJ4
272623.L188472	A0A0B8QIL5
272623.L0259	A0A0B8QIP6
272623.L87336	A0A0B8QIU4
272623.L92686	A0A0B8QIV6
272623.L160697	A0A0B8QJ22
272623.L64737	A0A0B8QJB9
272623.L0032	A0A0B8QJQ3
272623.L32731	A0A0B8QJU1
272623.L174389	A0A0B8QK29
272623.L141530	A0A0B8QK57
272623.L123581	A0A0B8QKI9
272623.L107724	A0A0B8QKL5
272623.L0099	A0A0B8QKP9
272623.L77437	A0A0B8QKQ4
272623.L0321	A0A0B8QKV4
272623.L127902	A0A0B8QL17
272623.L131423	A0A0B8QS68
272623.L127476	A0A0B8QS71
272623.L123777	A0A0B8QS75
272623.L78434	A0A0B8QSD5
272623.L144410	A0A0B8QSS2
272623.L123536	A0A0B8QSU4
272623.L93420	A0A0B8QY89
272623.L164789	A0A0B8QYJ2
272623.L0305	A0A0B8QYS4
272623.L69304	A0A0B8QYU8
272623.L19272	A0A0B8QZ78
272623.L0102	A0A0B8QZC3
272623.L43490	A0A0B8QZK1
272623.L86554	A0A0B8R076
272623.L92686	A0A0B8R085
272623.L119891	A0A0B8R0A7
272623.L0353	A0A0B8R0M0
272623.L31294	A0A0B8R0Q9
272623.L192192	A0A0B8R194
272623.L0128	A0A0B8R1E3
272623.L151700	A0A0B8R1R3
272623.L125001	A0A0B8R274
272623.L38177	A0A0B8R2L6
272623.L179789	A0A0B8R2Q5
272623.L0159	A0A0B8R2W2
272623.L104115	A0A0B8QH40
272623.L22498	A0A0B8QHA0
272623.L0403	A0A0B8QHH8
272623.L0355	A0A0B8QI35
272623.L79678	A0A0B8QLC5
272623.L0048	A0A0B8QLD1
272623.L0230	A0A0B8QLH5
272623.L160442	A0A0B8QLI5
272623.L43866	A0A0B8QLT6
272623.L86157	A0A0B8QLW7
272623.L158343	A0A0B8QLX8
272623.L0144	A0A0B8QLZ4
272623.L0440	A0A0B8QM10
272623.L152002	A0A0B8QM20
272623.L156251	A0A0B8QM23
272623.L180415	A0A0B8QM52
272623.L883	A0A0B8QM54
272623.L0046	A0A0B8QM64
272623.L25946	A0A0B8QMB1
272623.L38650	A0A0B8QMC9
272623.L58790	A0A0B8QMF1
272623.L1889160	A0A0B8QMG4
272623.L70517	A0A0B8QMQ2
272623.L52019	A0A0B8QPW8
272623.L7722	A0A0B8QQ06
272623.L0264	A0A0B8QSF9
272623.L91444	A0A0B8QSL3
272623.L0200	A0A0B8QTR4
272623.L91510	A0A0B8QTS3
272623.L0421	A0A0B8QUD5
272623.L70498	A0A0B8QUG0
272623.L0123	A0A0B8QUJ1
272623.L90678	A0A0B8QUM3
272623.L14408	A0A0B8QV61
272623.L0244	A0A0B8QVX6
272623.L141766	A0A0B8QWT6
272623.L97415	A0A0B8QWX0
272623.L80177	A0A0B8QWY4
272623.L73386	A0A0B8QWZ2
272623.L56208	A0A0B8QX08
272623.L27646	A0A0B8QX37
272623.L192240	A0A0B8QX89
272623.L111003	A0A0B8QXH0
272623.L82520	A0A0B8QXL5
272623.L56488	A0A0B8QXQ2
272623.L174321	A0A0B8R1N1
272623.L0316	A0A0B8R1U2
272623.L33412	A0A0B8R1W9
272623.L0138	A0A0B8R1Y0
272623.L117685	A0A0B8R262
272623.L21127	A0A0B8R2B0
272623.L11083	A0A0B8R2L5
272623.L00396	A0A0B8R2Q3
272623.L0369	A0A0B8R2Q7
272623.L50637	A0A0B8R2Z0
272623.L32653	A0A0B8R300
272623.L177520	A0A0B8R374
272623.L0475	A0A0B8R385
272623.L143350	A0A0B8R3A2
272623.L131778	A0A0B8R3B3
272623.L111003	A0A0B8R3F1
272623.L88635	A0A0B8R3J5
272623.L1010	A0A0B8R3L7
272623.L52568	A0A0B8R409
272623.L54719	A0A0B8R413
272623.L82310	A0A0B8R439
272623.L37916	A0A0B8R4M1
272623.L125707	A0A0B8R4W4
272623.L99884	A0A0B8QMC3
272623.L195720	A0A0B8QMM0
272623.L52034	A0A0B8QMS2
272623.L65675	A0A0B8QMT7
272623.L121252	A0A0B8QRC9
272623.L54546	A0A0B8QRQ7
272623.L140288	A0A0B8QRX6
272623.L1530	A0A0B8QS50
272623.L0326	A0A0B8QS61
272623.L0272	A0A0B8QVM3
272623.L0266	A0A0B8QVN3
272623.L178227	A0A0B8QVW2
272623.L51032	A0A0B8QWD8
272623.L185224	A0A0B8QWM9
272623.L0300	A0A0B8QWW0
272623.L100350	A0A0B8QX41
272623.L108106	A0A0B8QX53
272623.L0438	A0A0B8QXB5
272623.L79351	A0A0B8QXM2
272623.L88730	A0A0B8QXN1
272623.L115265	A0A0B8QXQ9
272623.L171000	A0A0B8QXW0
272623.L80459	A0A0B8QYB3
272623.L88699	A0A0B8QYE9
272623.L0374	A0A0B8QYQ1
272623.L0290	A0A0B8QYQ7
272623.L30853	A0A0B8QYS6
272623.L53055	A0A0B8QYU1
272623.L142816	A0A0B8QZ63
272623.L125001	A0A0B8QZH6
272623.L57903	A0A0B8QZT9
272623.L0066	A0A0B8QZW6
272623.L210	A0A0B8QZY0
272623.L100541	A0A0B8R077
272623.L106608	A0A0B8R0L4
272623.L165202	A0A0B8R0V8
272623.L187315	A0A0B8R5E9
272623.L126409	A0A0B8R5K2
272623.L35134	A0A0B8R5Y1
272623.L0350	A0A0B8QRJ8
272623.L47248	A0A0B8QRT1
272623.L141766	A0A0B8QS59
272623.L0113	G3ACX6
272623.L199247	G0WKN3
272623.L115500	A0A0B8QH29
272623.L79717	A0A0B8QKX0
272623.L159324	A0A0B8QLD7
272623.L0223	A0A0B8QM80
272623.L125485	A0A0B8QMF2
272623.L97827	A0A0B8QR83
272623.L140754	A0A0B8QW95
272623.L171552	A0A0B8QXA7
272623.L153086	A0A0B8QZU9
272623.L162229	A0A0B8R3J1
272623.L118668	A0A0B8R4V4
272623.L0207	A0A0B8R4V8
272623.L147291	A0A0B8R2U2
272623.L83865	A0A0B8QHQ4
272623.L138452	A0A0B8QMP7
272623.L109453	A0A0B8QNX0
272623.L0278	A0A0B8QQ36
272623.L61727	A0A0B8QQP8
272623.L94760	A0A0B8QSL7
272623.L82330	A0A0B8QW78
272623.L0239	A0A0B8QW97
