9913.ENSBTAP00000022411	P68250
9913.ENSBTAP00000000755	Q1JPD2
9913.ENSBTAP00000001895	Q3ZBN0
9913.ENSBTAP00000011083	A6QNS3
9913.ENSBTAP00000014277	Q148M8
9913.ENSBTAP00000023364	Q9TTS3
9913.ENSBTAP00000017188	Q0NXR6
9913.ENSBTAP00000033383	Q3SZB4
9913.ENSBTAP00000009844	Q3ZBF6
9913.ENSBTAP00000003999	P48818
9913.ENSBTAP00000034967	A5PK26
9913.ENSBTAP00000007953	Q2KHT9
9913.ENSBTAP00000022964	P07106
9913.ENSBTAP00000055381	A2VDR2
9913.ENSBTAP00000003706	Q3SZF0
9913.ENSBTAP00000043854	Q2KHW5
9913.ENSBTAP00000012523	P07107
9913.ENSBTAP00000024017	Q5EAD4
9913.ENSBTAP00000045721	Q58DD0
9913.ENSBTAP00000001517	P23795
9913.ENSBTAP00000047966	P12820
9913.ENSBTAP00000004070	Q07263
9913.ENSBTAP00000055853	Q8SPU7
9913.ENSBTAP00000020942	P54131
9913.ENSBTAP00000024298	P02709
9913.ENSBTAP00000048228	Q8SPU6
9913.ENSBTAP00000025624	P04758
9913.ENSBTAP00000015135	P04759
9913.ENSBTAP00000042804	P02715
9913.ENSBTAP00000048242	P13536
9913.ENSBTAP00000043771	Q17R13
9913.ENSBTAP00000004179	Q9GLX0
9913.ENSBTAP00000026082	P35350
9913.ENSBTAP00000010915	A4FUX8
9913.ENSBTAP00000025933	Q32KZ2
9913.ENSBTAP00000054716	Q32L91
9913.ENSBTAP00000022258	Q32PF2
9913.ENSBTAP00000019534	P41985
9913.ENSBTAP00000010601	P41984
9913.ENSBTAP00000045040	P41986
9913.ENSBTAP00000010575	Q0II68
9913.ENSBTAP00000000731	Q0VCU1
9913.ENSBTAP00000056263	Q9TT94
9913.ENSBTAP00000008431	P20004
9913.ENSBTAP00000014953	Q3SWX2
9913.ENSBTAP00000029362	Q3SZP5
9913.ENSBTAP00000015388	P80227
9913.ENSBTAP00000008382	P52505
9913.ENSBTAP00000028385	Q17QJ1
9913.ENSBTAP00000021234	Q58DN7
9913.ENSBTAP00000001859	Q9BEA2
9913.ENSBTAP00000024880	A7MB45
9913.ENSBTAP00000007504	P62739
9913.ENSBTAP00000008132	P60712
9913.ENSBTAP00000007504	Q3ZC07
9913.ENSBTAP00000008132	P63258
9913.ENSBTAP00000014661	P34974
9913.ENSBTAP00000007504	Q5E9B5
9913.ENSBTAP00000014947	Q2T9W4
9913.ENSBTAP00000024301	Q3B7N2
9913.ENSBTAP00000012786	Q3ZC55
9913.ENSBTAP00000030018	Q0III9
9913.ENSBTAP00000014894	A5D7D1
9913.ENSBTAP00000006532	P68138
9913.ENSBTAP00000023844	Q2TA43
9913.ENSBTAP00000015797	Q28041
9913.ENSBTAP00000004734	P46446
9913.ENSBTAP00000018595	P41500
9913.ENSBTAP00000008994	P07033
9913.ENSBTAP00000042110	Q10741
9913.ENSBTAP00000042306	P18130
9913.ENSBTAP00000012514	O77700
9913.ENSBTAP00000019248	Q0VC13
9913.ENSBTAP00000037541	Q5E9J7
9913.ENSBTAP00000006947	P56658
9913.ENSBTAP00000029167	Q29RI0
9913.ENSBTAP00000012528	P19754
9913.ENSBTAP00000008153	Q29450
9913.ENSBTAP00000021304	Q3ZC42
9913.ENSBTAP00000041676	Q2EMW0
9913.ENSBTAP00000026395	Q3Y5Z3
9913.ENSBTAP00000028036	O62827
9913.ENSBTAP00000002065	A2VE47
9913.ENSBTAP00000049744	Q32KR8
9913.ENSBTAP00000056018	A7YY53
9913.ENSBTAP00000001639	Q9TT96
9913.ENSBTAP00000002779	Q28044
9913.ENSBTAP00000023923	P46626
9913.ENSBTAP00000003974	A1L5A6
9913.ENSBTAP00000056258	P08165
9913.ENSBTAP00000017580	P02722
9913.ENSBTAP00000056626	Q8SQH5
9913.ENSBTAP00000055370	P32007
9913.ENSBTAP00000017042	Q2YDD9
9913.ENSBTAP00000013630	Q05B51
9913.ENSBTAP00000015660	P00257
9913.ENSBTAP00000034344	A4FV57
9913.ENSBTAP00000013389	A6QQV9
9913.ENSBTAP00000006439	Q17R10
9913.ENSBTAP00000020427	Q0VCT1
9913.ENSBTAP00000030993	Q2KJI7
9913.ENSBTAP00000028427	Q2TA45
9913.ENSBTAP00000002068	Q6QME8
9913.ENSBTAP00000024385	Q6T5B7
9913.ENSBTAP00000019347	P56413
9913.ENSBTAP00000010113	Q17QF0
9913.ENSBTAP00000055053	P25104
9913.ENSBTAP00000050140	A6QQC0
9913.ENSBTAP00000008467	Q865F8
9913.ENSBTAP00000025096	Q2PT36
9913.ENSBTAP00000027388	Q9BDK2
9913.ENSBTAP00000001550	A5PJM4
9913.ENSBTAP00000009687	Q0II26
9913.ENSBTAP00000003517	Q08DH7
9913.ENSBTAP00000010954	Q95MP1
9913.ENSBTAP00000013841	Q7YRC1
9913.ENSBTAP00000016915	E1BKA3
9913.ENSBTAP00000000630	Q3ZCJ2
9913.ENSBTAP00000001353	O77797
9913.ENSBTAP00000012705	P24275
9913.ENSBTAP00000004897	A8YXY8
9913.ENSBTAP00000042134	Q5EA92
9913.ENSBTAP00000010661	P48644
9913.ENSBTAP00000027172	P52476
9913.ENSBTAP00000023681	A6QP75
9913.ENSBTAP00000028125	P30907
9913.ENSBTAP00000042081	Q1JPA0
9913.ENSBTAP00000020285	A7YWE4
9913.ENSBTAP00000017570	Q148F2
9913.ENSBTAP00000048297	Q2KJC9
9913.ENSBTAP00000010485	Q0P5F9
9913.ENSBTAP00000033996	Q2KJH9
9913.ENSBTAP00000010309	A4IFH5
9913.ENSBTAP00000022763	P02769
9913.ENSBTAP00000011521	P20000
9913.ENSBTAP00000054283	Q3T0S5
9913.ENSBTAP00000013082	P16116
9913.ENSBTAP00000049035	Q0P5D9
9913.ENSBTAP00000026442	Q58DM4
9913.ENSBTAP00000012522	Q32L00
9913.ENSBTAP00000034857	E1BH29
9913.ENSBTAP00000035795	Q2M2S8
9913.ENSBTAP00000014068	A1A4L5
9913.ENSBTAP00000022376	Q28133
9913.ENSBTAP00000044572	Q4LAL6
9913.ENSBTAP00000052338	Q9XSX7
9913.ENSBTAP00000020817	P00978
9913.ENSBTAP00000016466	P10731
9913.ENSBTAP00000016034	P02817
9913.ENSBTAP00000029893	Q99004
9913.ENSBTAP00000018812	Q32L08
9913.ENSBTAP00000025212	E1BEQ5
9913.ENSBTAP00000000988	F1MRK3
9913.ENSBTAP00000010972	Q32LQ0
9913.ENSBTAP00000007860	P00727
9913.ENSBTAP00000022456	P79098
9913.ENSBTAP00000016410	P51122
9913.ENSBTAP00000028486	Q3SZC6
9913.ENSBTAP00000028974	P13204
9913.ENSBTAP00000040960	P55206
9913.ENSBTAP00000008819	P07501
9913.ENSBTAP00000026126	P10152
9913.ENSBTAP00000049727	P80929
9913.ENSBTAP00000004825	A6H7I3
9913.ENSBTAP00000014193	Q1RMR1
9913.ENSBTAP00000003204	Q2KJ51
9913.ENSBTAP00000020392	Q5EA66
9913.ENSBTAP00000014656	O77802
9913.ENSBTAP00000029073	Q24K15
9913.ENSBTAP00000015584	Q3ZBX7
9913.ENSBTAP00000014576	Q0VCS9
9913.ENSBTAP00000037989	Q58CQ5
9913.ENSBTAP00000014463	A7YW45
9913.ENSBTAP00000009750	Q5E9L5
9913.ENSBTAP00000012699	A6QQV6
9913.ENSBTAP00000005430	A6QLE6
9913.ENSBTAP00000015204	P46197
9913.ENSBTAP00000036561	P10730
9913.ENSBTAP00000008026	A6QR20
9913.ENSBTAP00000024559	Q0VC93
9913.ENSBTAP00000014400	Q0P5B9
9913.ENSBTAP00000001658	Q3SX00
9913.ENSBTAP00000045318	Q5EA33
9913.ENSBTAP00000014280	Q1LZC5
9913.ENSBTAP00000009694	Q2T9W8
9913.ENSBTAP00000051383	A6QPE7
9913.ENSBTAP00000024557	Q2KI79
9913.ENSBTAP00000005713	P41361
9913.ENSBTAP00000027893	P27214
9913.ENSBTAP00000021256	P46193
9913.ENSBTAP00000012655	P04272
9913.ENSBTAP00000042843	Q3SWX7
9913.ENSBTAP00000001463	P13214
9913.ENSBTAP00000028988	P81287
9913.ENSBTAP00000019719	P79134
9913.ENSBTAP00000046882	P20072
9913.ENSBTAP00000043804	Q95L54
9913.ENSBTAP00000020350	Q3ZC08
9913.ENSBTAP00000047520	Q9TTK6
9913.ENSBTAP00000001383	Q29437
9913.ENSBTAP00000021570	P21398
9913.ENSBTAP00000001698	P56560
9913.ENSBTAP00000012827	P48034
9913.ENSBTAP00000027078	Q08DS7
9913.ENSBTAP00000017724	Q2KJ81
9913.ENSBTAP00000043007	Q3SYW1
9913.ENSBTAP00000019237	Q1JQ98
9913.ENSBTAP00000027212	Q3ZBS3
9913.ENSBTAP00000048343	Q0VCK5
9913.ENSBTAP00000001651	A1A4R9
9913.ENSBTAP00000027078	P63009
9913.ENSBTAP00000016526	Q3ZC13
9913.ENSBTAP00000013989	Q17QC5
9913.ENSBTAP00000006605	Q32PG1
9913.ENSBTAP00000011906	Q865S1
9913.ENSBTAP00000029169	Q24K11
9913.ENSBTAP00000001846	Q1JQA3
9913.ENSBTAP00000042493	Q29RJ1
9913.ENSBTAP00000003736	Q29RY8
9913.ENSBTAP00000043387	Q3ZBB6
9913.ENSBTAP00000054921	G3MZC5
9913.ENSBTAP00000017337	Q5E9X5
9913.ENSBTAP00000017721	Q2YDH1
9913.ENSBTAP00000018478	Q3ZCF6
9913.ENSBTAP00000019228	Q2NKV2
9913.ENSBTAP00000003902	Q3SZ31
9913.ENSBTAP00000000186	Q58DR0
9913.ENSBTAP00000026630	Q9TUI9
9913.ENSBTAP00000003559	P23196
9913.ENSBTAP00000017537	Q5E9N9
9913.ENSBTAP00000005603	Q3T0E5
9913.ENSBTAP00000002914	P15497
9913.ENSBTAP00000012138	P81644
9913.ENSBTAP00000026345	Q32PJ2
9913.ENSBTAP00000027393	P19034
9913.ENSBTAP00000016453	P19035
9913.ENSBTAP00000027391	Q3SYR5
9913.ENSBTAP00000043789	Q32KY0
9913.ENSBTAP00000013354	Q03247
9913.ENSBTAP00000002492	P17690
9913.ENSBTAP00000014525	Q148H0
9913.ENSBTAP00000028246	Q148E1
9913.ENSBTAP00000042890	Q7YRZ2
9913.ENSBTAP00000000841	Q56JW4
9913.ENSBTAP00000000993	P47865
9913.ENSBTAP00000011024	P79099
9913.ENSBTAP00000011196	Q08DE6
9913.ENSBTAP00000025341	O77750
9913.ENSBTAP00000006363	Q32PC9
9913.ENSBTAP00000001883	Q3MHM8
9913.ENSBTAP00000050806	P21146
9913.ENSBTAP00000000005	P26818
9913.ENSBTAP00000005555	Q1JP79
9913.ENSBTAP00000056302	Q58CQ2
9913.ENSBTAP00000038735	Q2YDE7
9913.ENSBTAP00000010159	P84080
9913.ENSBTAP00000008925	P84081
9913.ENSBTAP00000010159	Q5E9I6
9913.ENSBTAP00000021386	Q3SZF2
9913.ENSBTAP00000012592	A1L520
9913.ENSBTAP00000050747	Q17R07
9913.ENSBTAP00000004638	Q3ZCL5
9913.ENSBTAP00000009858	Q32LJ2
9913.ENSBTAP00000015167	Q0P5E3
9913.ENSBTAP00000000909	Q29RM4
9913.ENSBTAP00000016461	Q2KJ64
9913.ENSBTAP00000002529	Q58DL1
9913.ENSBTAP00000020126	Q2TA42
9913.ENSBTAP00000016923	Q58DL7
9913.ENSBTAP00000035177	Q3ZBM1
9913.ENSBTAP00000028950	Q3SYV9
9913.ENSBTAP00000008822	A2VEA3
9913.ENSBTAP00000054489	Q3SWY1
9913.ENSBTAP00000008847	E1BLP6
9913.ENSBTAP00000026428	Q5EA19
9913.ENSBTAP00000015767	Q2YDM1
9913.ENSBTAP00000002890	Q2TA37
9913.ENSBTAP00000005655	Q2TBW6
9913.ENSBTAP00000003722	Q3T0M9
9913.ENSBTAP00000022409	Q0VC18
9913.ENSBTAP00000002959	Q2KJ96
9913.ENSBTAP00000013306	Q0IIM2
9913.ENSBTAP00000017150	Q2KI07
9913.ENSBTAP00000020365	Q3SZJ0
9913.ENSBTAP00000021138	Q3ZBE1
9913.ENSBTAP00000026578	Q2KI54
9913.ENSBTAP00000024631	Q2KI89
9913.ENSBTAP00000005354	A3KMX8
9913.ENSBTAP00000028023	Q9BE97
9913.ENSBTAP00000023214	A6H7J2
9913.ENSBTAP00000019138	Q3ZBD2
9913.ENSBTAP00000022929	Q28055
9913.ENSBTAP00000053180	Q7M2N1
9913.ENSBTAP00000012872	A7MB62
9913.ENSBTAP00000004410	P61157
9913.ENSBTAP00000020318	Q5E963
9913.ENSBTAP00000014847	Q1LZF2
9913.ENSBTAP00000013707	Q3MHR7
9913.ENSBTAP00000007028	Q3T035
9913.ENSBTAP00000010469	Q148J6
9913.ENSBTAP00000054193	Q3SYX9
9913.ENSBTAP00000038580	Q17QU3
9913.ENSBTAP00000027296	P17870
9913.ENSBTAP00000046840	P32120
9913.ENSBTAP00000017088	Q9N0H5
9913.ENSBTAP00000009364	Q0VCA2
9913.ENSBTAP00000042349	Q32KX1
9913.ENSBTAP00000028633	P08168
9913.ENSBTAP00000021364	Q08DD1
9913.ENSBTAP00000026877	Q148F3
9913.ENSBTAP00000029091	Q3SZW3
9913.ENSBTAP00000045530	Q1JPA6
9913.ENSBTAP00000014960	Q17QB3
9913.ENSBTAP00000045295	O97902
9913.ENSBTAP00000038650	Q3SZE4
9913.ENSBTAP00000002787	Q8HXA6
9913.ENSBTAP00000007708	Q32KY8
9913.ENSBTAP00000038371	Q3SX45
9913.ENSBTAP00000025921	Q08DV6
9913.ENSBTAP00000018799	Q17QS6
9913.ENSBTAP00000000361	Q08E43
9913.ENSBTAP00000027294	E1BNG3
9913.ENSBTAP00000038051	Q2EGB9
9913.ENSBTAP00000027359	Q8HXK9
9913.ENSBTAP00000002664	Q2KIG1
9913.ENSBTAP00000005338	Q17QJ0
9913.ENSBTAP00000009073	Q32LE5
9913.ENSBTAP00000016358	A2VDP0
9913.ENSBTAP00000045382	Q29414
9913.ENSBTAP00000028765	Q3ZC91
9913.ENSBTAP00000054648	P10950
9913.ENSBTAP00000020758	Q0VD19
9913.ENSBTAP00000015719	A5PJI5
9913.ENSBTAP00000052455	Q0V8E4
9913.ENSBTAP00000004181	Q1LZA3
9913.ENSBTAP00000037186	A1L515
9913.ENSBTAP00000021267	Q28056
9913.ENSBTAP00000010340	P62285
9913.ENSBTAP00000034926	Q3ZBN5
9913.ENSBTAP00000027649	P14568
9913.ENSBTAP00000008194	Q2M2T6
9913.ENSBTAP00000000194	Q8WMX8
9913.ENSBTAP00000001646	Q08DA1
9913.ENSBTAP00000046095	A2VDL6
9913.ENSBTAP00000018181	Q28030
9913.ENSBTAP00000018795	Q3T0C6
9913.ENSBTAP00000011741	A7MB71
9913.ENSBTAP00000008593	Q0VCY0
9913.ENSBTAP00000015441	P57709
9913.ENSBTAP00000013587	Q5E9S4
9913.ENSBTAP00000008447	P13619
9913.ENSBTAP00000024402	P32876
9913.ENSBTAP00000007538	P07926
9913.ENSBTAP00000003832	Q3ZC75
9913.ENSBTAP00000012434	A6QNS9
9913.ENSBTAP00000002637	Q3T136
9913.ENSBTAP00000001066	F6QV99
9913.ENSBTAP00000012676	A7YWC4
9913.ENSBTAP00000024135	Q08DA8
9913.ENSBTAP00000011265	Q2KII1
9913.ENSBTAP00000023213	Q3ZCH6
9913.ENSBTAP00000023301	Q3T0W7
9913.ENSBTAP00000023036	Q08DY8
9913.ENSBTAP00000011976	Q0VCL3
9913.ENSBTAP00000018239	Q6PZ05
9913.ENSBTAP00000020474	Q6PZ03
9913.ENSBTAP00000007100	Q3MQ24
9913.ENSBTAP00000027461	Q3T904
9913.ENSBTAP00000000651	Q2HJE0
9913.ENSBTAP00000008319	P01096
9913.ENSBTAP00000019032	Q58D72
9913.ENSBTAP00000012957	Q04645
9913.ENSBTAP00000010982	Q3T0E0
9913.ENSBTAP00000051455	P05632
9913.ENSBTAP00000028282	P13620
9913.ENSBTAP00000023255	Q00361
9913.ENSBTAP00000032359	P02721
9913.ENSBTAP00000009643	Q28852
9913.ENSBTAP00000020228	P22027
9913.ENSBTAP00000053155	P00847
9913.ENSBTAP00000053143	P03929
9913.ENSBTAP00000010477	A1A4J6
9913.ENSBTAP00000003259	P19483
9913.ENSBTAP00000017710	P00829
9913.ENSBTAP00000000721	P05630
9913.ENSBTAP00000011594	Q1LZ96
9913.ENSBTAP00000018505	P05631
9913.ENSBTAP00000041308	Q28851
9913.ENSBTAP00000024326	P13621
9913.ENSBTAP00000019526	P79331
9913.ENSBTAP00000017583	Q9TT93
9913.ENSBTAP00000000849	Q9TT92
9913.ENSBTAP00000002866	Q58CZ9
9913.ENSBTAP00000012308	Q2TBW0
9913.ENSBTAP00000016771	Q32KM8
9913.ENSBTAP00000029039	A4IFU8
9913.ENSBTAP00000042073	Q2TA06
9913.ENSBTAP00000002250	Q7YRC6
9913.ENSBTAP00000041032	Q27974
9913.ENSBTAP00000032874	Q3SZR0
9913.ENSBTAP00000024108	Q28043
9913.ENSBTAP00000024095	Q95126
9913.ENSBTAP00000005379	Q3SYW5
9913.ENSBTAP00000026248	Q1RMX3
9913.ENSBTAP00000016482	Q0II48
9913.ENSBTAP00000000977	Q3C2I0
9913.ENSBTAP00000016359	P01888
9913.ENSBTAP00000030011	Q5EA01
9913.ENSBTAP00000020286	P08037
9913.ENSBTAP00000049355	Q5EA87
9913.ENSBTAP00000031913	Q56JY9
9913.ENSBTAP00000044652	Q08E57
9913.ENSBTAP00000021258	Q2T9W0
9913.ENSBTAP00000039837	Q2HJ40
9913.ENSBTAP00000005871	Q32PE7
9913.ENSBTAP00000042612	P61283
9913.ENSBTAP00000007039	Q3ZBG5
9913.ENSBTAP00000023084	Q2TA08
9913.ENSBTAP00000040235	Q5EAD0
9913.ENSBTAP00000029238	Q32LD1
9913.ENSBTAP00000054730	A2VDM8
9913.ENSBTAP00000029129	Q32KL9
9913.ENSBTAP00000035554	E1BD44
9913.ENSBTAP00000017739	O02703
9913.ENSBTAP00000010013	Q1JQ97
9913.ENSBTAP00000012495	Q9MZ08
9913.ENSBTAP00000055991	Q58DL5
9913.ENSBTAP00000031858	Q5EA40
9913.ENSBTAP00000007617	Q2NL37
9913.ENSBTAP00000013909	Q2KJG8
9913.ENSBTAP00000025701	O02718
9913.ENSBTAP00000027371	Q3T0A6
9913.ENSBTAP00000004967	Q5E9H5
9913.ENSBTAP00000003277	Q3T046
9913.ENSBTAP00000000573	Q02337
9913.ENSBTAP00000010694	Q95106
9913.ENSBTAP00000026531	Q4A1L4
9913.ENSBTAP00000002289	Q3MHP8
9913.ENSBTAP00000043951	Q2TBV0
9913.ENSBTAP00000007916	Q3ZBJ6
9913.ENSBTAP00000019530	Q3ZBJ9
9913.ENSBTAP00000029150	Q06002
9913.ENSBTAP00000020296	Q58D55
9913.ENSBTAP00000013008	Q5EA15
9913.ENSBTAP00000002916	Q5I597
9913.ENSBTAP00000043666	Q0V882
9913.ENSBTAP00000020331	E1BFE9
9913.ENSBTAP00000019553	O46382
9913.ENSBTAP00000014878	Q58D91
9913.ENSBTAP00000018046	Q6J1J1
9913.ENSBTAP00000015810	Q2NKW0
9913.ENSBTAP00000009293	A5PJP1
9913.ENSBTAP00000016245	Q08DU8
9913.ENSBTAP00000004167	P62954
9913.ENSBTAP00000013889	P52556
9913.ENSBTAP00000020705	Q32KX7
9913.ENSBTAP00000056137	Q6PX77
9913.ENSBTAP00000001351	Q08DX6
9913.ENSBTAP00000023468	P22444
9913.ENSBTAP00000004992	Q2KJH1
9913.ENSBTAP00000023645	Q29S19
9913.ENSBTAP00000033770	Q3T013
9913.ENSBTAP00000023684	Q32KN2
9913.ENSBTAP00000043360	Q3T138
9913.ENSBTAP00000020215	Q3SZ84
9913.ENSBTAP00000042899	Q08DN6
9913.ENSBTAP00000028798	Q17QW1
9913.ENSBTAP00000022728	Q8SPU5
9913.ENSBTAP00000020875	Q8SPF8
9913.ENSBTAP00000018669	P17453
9913.ENSBTAP00000005311	Q3ZCK3
9913.ENSBTAP00000023042	P04815
9913.ENSBTAP00000011616	Q864U1
9913.ENSBTAP00000010280	A5PJP6
9913.ENSBTAP00000014704	Q32S26
9913.ENSBTAP00000012521	A2VDP1
9913.ENSBTAP00000041902	A6QQW8
9913.ENSBTAP00000039624	Q29S07
9913.ENSBTAP00000048073	Q32L83
9913.ENSBTAP00000024481	A4FV29
9913.ENSBTAP00000023526	Q1LZE0
9913.ENSBTAP00000021192	Q5E9L2
9913.ENSBTAP00000025572	Q3SZZ0
9913.ENSBTAP00000003254	Q5E9P6
9913.ENSBTAP00000027526	Q3SX22
9913.ENSBTAP00000055850	Q2KIY7
9913.ENSBTAP00000000688	A4IFG2
9913.ENSBTAP00000011611	Q32L18
9913.ENSBTAP00000049973	A6QPA3
9913.ENSBTAP00000005549	Q9TTC5
9913.ENSBTAP00000025464	A6QQ07
9913.ENSBTAP00000027091	P53348
9913.ENSBTAP00000051164	Q1JQB2
9913.ENSBTAP00000036979	Q2NKU3
9913.ENSBTAP00000013326	Q5E9N0
9913.ENSBTAP00000000588	A0JNH6
9913.ENSBTAP00000027044	Q32KM2
9913.ENSBTAP00000048098	P15150
9913.ENSBTAP00000026215	P85521
9913.ENSBTAP00000006000	Q32PE4
9913.ENSBTAP00000028542	Q3SX46
9913.ENSBTAP00000006571	Q0VC84
9913.ENSBTAP00000009415	Q5E9E3
9913.ENSBTAP00000013734	Q3T0B6
9913.ENSBTAP00000014871	Q2KIV9
9913.ENSBTAP00000001799	Q0II24
9913.ENSBTAP00000006358	Q0VCX1
9913.ENSBTAP00000052260	Q0VCR7
9913.ENSBTAP00000014579	Q24JY8
9913.ENSBTAP00000027736	Q2KJ18
9913.ENSBTAP00000020417	Q5BIS3
9913.ENSBTAP00000047577	A6QLJ4
9913.ENSBTAP00000000092	Q9GKI7
9913.ENSBTAP00000047025	Q28065
9913.ENSBTAP00000023558	Q28066
9913.ENSBTAP00000021075	P35720
9913.ENSBTAP00000025505	Q5E965
9913.ENSBTAP00000054220	A1A4K1
9913.ENSBTAP00000026674	Q5E943
9913.ENSBTAP00000021717	Q32LF5
9913.ENSBTAP00000028638	Q148C7
9913.ENSBTAP00000041332	A6QQA5
9913.ENSBTAP00000044294	Q32L72
9913.ENSBTAP00000039169	Q1RMX6
9913.ENSBTAP00000013422	Q2YDE2
9913.ENSBTAP00000004526	Q32P66
9913.ENSBTAP00000041118	Q2KIL1
9913.ENSBTAP00000040067	Q2TA05
9913.ENSBTAP00000051842	Q2TA11
9913.ENSBTAP00000042269	Q32PF7
9913.ENSBTAP00000012762	Q2M2T8
9913.ENSBTAP00000044427	Q32L75
9913.ENSBTAP00000045400	A4IFJ0
9913.ENSBTAP00000040637	A7MBF6
9913.ENSBTAP00000001617	Q2T9W9
9913.ENSBTAP00000052156	Q29RI6
9913.ENSBTAP00000020778	Q3ZBZ1
9913.ENSBTAP00000026714	Q9N1R0
9913.ENSBTAP00000029967	Q9N1Q9
9913.ENSBTAP00000006283	Q8HZJ4
9913.ENSBTAP00000021449	Q9N1Q8
9913.ENSBTAP00000026444	Q2TBJ9
9913.ENSBTAP00000017401	P05805
9913.ENSBTAP00000040778	Q9MZL7
9913.ENSBTAP00000029344	Q9MZL5
9913.ENSBTAP00000029069	Q9MZL3
9913.ENSBTAP00000019992	Q2KJ21
9913.ENSBTAP00000010432	O18737
9913.ENSBTAP00000051651	Q3B7N0
9913.ENSBTAP00000031053	Q08DJ5
9913.ENSBTAP00000021272	Q6R8F2
9913.ENSBTAP00000028238	P19534
9913.ENSBTAP00000042970	P19535
9913.ENSBTAP00000009760	Q6URK6
9913.ENSBTAP00000017274	Q3SWX5
9913.ENSBTAP00000010763	A6QLA6
9913.ENSBTAP00000046047	A0JN41
9913.ENSBTAP00000043090	Q1LZA1
9913.ENSBTAP00000023581	P00921
9913.ENSBTAP00000020243	Q3SZX4
9913.ENSBTAP00000023909	Q95323
9913.ENSBTAP00000012525	P18915
9913.ENSBTAP00000012820	Q2HJ63
9913.ENSBTAP00000021174	P04467
9913.ENSBTAP00000001426	Q3ZBY3
9913.ENSBTAP00000053947	P01260
9913.ENSBTAP00000018566	Q27976
9913.ENSBTAP00000028915	Q28068
9913.ENSBTAP00000036380	Q3T0E8
9913.ENSBTAP00000036057	P62157
9913.ENSBTAP00000013175	Q2TBR8
9913.ENSBTAP00000056622	A6QP74
9913.ENSBTAP00000020111	P52193
9913.ENSBTAP00000021909	Q3T0K1
9913.ENSBTAP00000011678	Q27970
9913.ENSBTAP00000044733	Q27971
9913.ENSBTAP00000011677	P51186
9913.ENSBTAP00000014038	P63099
9913.ENSBTAP00000013112	A7MBJ5
9913.ENSBTAP00000017775	Q3SYV4
9913.ENSBTAP00000007150	Q865V6
9913.ENSBTAP00000022266	Q1LZB6
9913.ENSBTAP00000005983	P79136
9913.ENSBTAP00000021288	Q58CW6
9913.ENSBTAP00000055162	Q68RJ9
9913.ENSBTAP00000010119	P02662
9913.ENSBTAP00000006590	P02663
9913.ENSBTAP00000003409	P02666
9913.ENSBTAP00000050480	Q29RU8
9913.ENSBTAP00000008203	A5D7H5
9913.ENSBTAP00000048585	A2VE10
9913.ENSBTAP00000028685	P02668
9913.ENSBTAP00000021099	Q08DY9
