511145.b3549	P05100
511145.b3957	P23908
511145.b2918	P27254
511145.b2923	P11667
511145.b2916	P0A8S1
511145.b3237	P0A6D0
511145.b2310	P09551
511145.b1166	P75993
511145.b3960	P11447
511145.b2255	P77398
511145.b2253	P77690
511145.b2254	P77757
511145.b2256	P76472
511145.b4544	Q47377
511145.b2258	P76474
511145.b2257	P76473
511145.b0908	P0A6D3
511145.b3389	P07639
511145.b2329	P12008
511145.b1693	P05194
511145.b3281	P15770
511145.b2601	P00888
511145.b0754	P0AB91
511145.b1704	P00887
511145.b3390	P0A6D7
511145.b0388	P0A6E1
511145.b0390	P0AE28
511145.b0112	P15993
511145.b4017	P23325
511145.b3502	P0AB93
511145.b3503	P0AB96
511145.b3501	P37309
511145.b0863	P30859
511145.b0860	P30860
511145.b0861	P0AE30
511145.b0864	P0AAF6
511145.b0862	P0AE34
511145.b2716	P24240
511145.b2714	P24242
511145.b3801	P25549
511145.b3800	P25550
511145.b2064	P28249
511145.b3744	P00963
511145.b0674	P22106
511145.b3743	P0ACI6
511145.b4139	P0AC38
511145.b1767	P0A962
511145.b2957	P00805
511145.b1597	P36560
511145.b3172	P0A6E4
511145.b1747	P0AE37
511145.b1745	P76216
511145.b1748	P77581
511145.b1746	P76217
511145.b1744	P76215
511145.b1584	P0A951
511145.b0698	P03959
511145.b0697	P03960
511145.b0696	P03961
511145.b0454	P0AFP2
511145.b4242	P0ABB8
511145.b2222	P76459
511145.b2224	P76461
511145.b2220	Q06065
511145.b2221	P76458
511145.b2223	P76460
511145.b2219	Q06067
511145.b3738	P0AB98
511145.b3734	P0ABB0
511145.b3732	P0ABB4
511145.b3735	P0ABA4
511145.b3731	P0A6E6
511145.b3736	P0ABA0
511145.b3733	P0ABA6
511145.b3737	P68699
511145.b3739	P0ABC0
511145.b3469	P37617
511145.b3572	P09053
511145.b1412	P41407
511145.b4663	C1P605
511145.b2079	P69228
511145.b2078	P30847
511145.b0177	P0A940
511145.b2512	P77774
511145.b2477	P0A903
511145.b2595	P0AC02
511145.b2617	P0A937
511145.b2786	P0AEC5
511145.b4113	P30843
511145.b4112	P30844
511145.b3570	P27297
511145.b3255	P0ABD8
511145.b2480	P0AE52
511145.b2182	P28246
511145.b3533	P37653
511145.b3532	P37652
511145.b3530	P37650
511145.b3536	P37657
511145.b3537	P0ADJ5
511145.b3538	P37659
511145.b4249	P39333
511145.b4251	P39334
511145.b1481	P76127
511145.b2494	P66948
511145.b0311	P17444
511145.b0312	P17445
511145.b0313	P17446
511145.b0314	P0ABC9
511145.b3337	P0AE56
511145.b3336	P0ABD3
511145.b3076	P06864
511145.b0344	P00722
511145.b2901	Q46829
511145.b3721	P11988
511145.b3723	P11989
511145.b3720	P26218
511145.b4366	P39404
511145.b1617	P05804
511145.b2132	P33363
511145.b1112	P0AB40
511145.b0774	P12995
511145.b0775	P12996
511145.b0777	P12999
511145.b0778	P13000
511145.b1593	P0A6E9
511145.b0776	P12998
511145.b3412	P13001
511145.b3973	P06709
511145.b3551	P20099
511145.b4149	P0A901
511145.b4409	P56976
511145.b1163	P75990
511145.b1162	P75989
511145.b0435	P0ABE2
511145.b0557	P77330
511145.b0401	P0AD99
511145.b4189	P39297
511145.b0836	P0AAY1
511145.b1060	P0AB33
511145.b3966	P06129
511145.b1711	P06609
511145.b1709	P06611
511145.b1710	P06610
511145.b0158	P37028
511145.b1270	P0A9H5
511145.b1418	P0ABE5
511145.b1974	P76345
511145.b1057	P75925
511145.b4132	P0AAE8
511145.b4133	P23890
511145.b0039	P60584
511145.b0038	P31572
511145.b0037	P31552
511145.b0036	P31551
511145.b0035	P39206
511145.b0034	P0AE58
511145.b0040	P31553
511145.b0126	P61517
511145.b3956	P00864
511145.b0032	P0A6F1
511145.b0033	P00968
511145.b2755	Q46896
511145.b2754	P45956
511145.b2761	P38036
511145.b2757	Q46898
511145.b2756	Q46897
511145.b2758	Q46899
511145.b1732	P21179
511145.b2004	P76364
511145.b1987	Q47083
511145.b1000	P36659
511145.b0999	P63264
511145.b3690	P31456
511145.b3716	P31468
511145.b3717	P31469
511145.b2005	P64524
511145.b3056	P06961
511145.b2201	P33931
511145.b2200	P0ABL8
511145.b2199	P0ABM1
511145.b2198	P0ABM5
511145.b2197	P69490
511145.b2196	P33927
511145.b2194	P0ABM9
511145.b0162	P37047
511145.b2143	P0ABF6
511145.b3918	P06282
511145.b0175	P0ABG1
511145.b1731	P0AE60
511145.b1661	P0A9H7
511145.b4142	P0A6F9
511145.b4143	P0A6F5
511145.b1216	P31801
511145.b1217	P0AE63
511145.b1218	P39163
511145.b1734	P17411
511145.b1733	P37794
511145.b1735	P17410
511145.b1888	P07363
511145.b1883	P07330
511145.b1884	P07364
511145.b1887	P0A964
511145.b1882	P0AE67
511145.b1881	P0A9H9
511145.b3338	P13656
511145.b0681	P75733
511145.b0682	P75734
511145.b1741	P76213
511145.b4225	P33647
511145.b4224	P08365
511145.b3713	P0AGE6
511145.b0615	P75726
511145.b2249	P77808
511145.b2155	P17315
511145.b0720	P0ABH7
511145.b0618	P77390
511145.b0617	P69330
511145.b0616	P0A9I1
511145.b0613	P77231
511145.b0612	P0AE74
511145.b0614	P0A6G5
511145.b0155	P37019
511145.b1592	P76175
511145.b0882	P0ABH9
511145.b2592	P63284
511145.b0437	P0A6G7
511145.b0881	P0A8Q6
511145.b0438	P0A6H1
511145.b1249	P0A6H8
511145.b0789	P0AA84
511145.b1046	P75919
511145.b1870	P76290
511145.b1871	P76291
511145.b1625	P64467
511145.b3974	P0A6I3
511145.b3639	P0ABQ0
511145.b3634	P0A6I6
511145.b0103	P0A6I9
511145.b0638	P52086
511145.b1992	P36561
511145.b1991	P36562
511145.b1993	P0AE76
511145.b0337	P25524
511145.b0336	P0AA82
511145.b0446	P46891
511145.b1145	P75974
511145.b1111	P75952
511145.b0484	Q59385
511145.b3816	P0ABI4
511145.b0658	P0AE78
511145.b3032	P0AEW4
511145.b4213	P08331
511145.b2896	Q46824
511145.b2897	P64559
511145.b3911	P0AE82
511145.b4484	P0AE85
511145.b3912	P0AE88
511145.b0080	P0ACP1
511145.b0624	P37002
511145.b4397	P0AE91
511145.b4398	P08368
511145.b4399	P08401
511145.b4400	P08369
511145.b4109	P0DM85
511145.b0240	P24251
511145.b1146	P75975
511145.b3357	P0ACJ8
511145.b2810	Q46925
511145.b2811	P0AGF2
511145.b2760	Q46901
511145.b2759	P76632
511145.b1042	P28307
511145.b1041	P0ABK7
511145.b1043	P52107
511145.b1040	P52106
511145.b1039	P0AE95
511145.b1038	P0AE98
511145.b1037	P0AEA2
511145.b2659	P76621
511145.b2535	P54901
511145.b2664	P37338
511145.b3556	P0A9X9
511145.b1557	P36995
511145.b1823	P0A9Y6
511145.b0880	P0A968
511145.b0623	P0A972
511145.b1558	P0A976
511145.b0990	P0A978
511145.b0989	P0A982
511145.b1552	P0A986
511145.b2696	P69913
511145.b3252	P13518
511145.b0598	P15078
511145.b0123	P36649
511145.b0487	P0A9G4
511145.b1449	P76113
511145.b0575	P38054
511145.b0574	P77239
511145.b0572	P77211
511145.b0573	P77214
511145.b0571	P0ACZ8
511145.b0570	P77485
511145.b4137	P69488
511145.b1874	P67826
511145.b2313	P08550
511145.b3806	P00936
511145.b3807	P27838
511145.b0974	P0AAM1
511145.b4208	P0AAE0
511145.b0733	P0ABJ9
511145.b0734	P0ABK2
511145.b0886	P23886
511145.b0887	P29018
511145.b4515	P56100
511145.b0338	P27111
511145.b0340	P00816
511145.b0339	P0ABE9
511145.b0341	P17583
511145.b0432	P0ABJ1
511145.b0431	P0ABI8
511145.b0430	P0ABJ3
511145.b0429	P0ABJ6
511145.b0428	P0AEA5
511145.b2422	P16676
511145.b1275	P0A9F3
511145.b2750	P0A6J1
511145.b2752	P21156
511145.b3607	P0A9D4
511145.b3368	P0AEA8
511145.b2762	P17854
511145.b2763	P17846
511145.b2764	P38038
511145.b2414	P0ABK5
511145.b2421	P16703
511145.b2751	P23845
511145.b2425	P16700
511145.b4214	P22255
511145.b2424	P16701
511145.b2423	P0AEB0
511145.b2413	P0A6J3
511145.b3934	P0ACN7
511145.b0632	P0AEB2
511145.b3182	P24228
511145.b0839	P08506
511145.b2010	P33013
511145.b1189	P0A6J5
511145.b3388	P11557
511145.b2478	P0A6L2
511145.b0031	P04036
511145.b0166	P0A9D8
511145.b2472	P0AED7
511145.b3809	P0A6K1
511145.b1206	P0AFR2
511145.b4000	P0ACF0
511145.b0440	P0ACF4
511145.b1343	P21693
511145.b2838	P00861
511145.b2065	P28248
511145.b3517	P69908
511145.b1493	P69910
511145.b0186	P52095
511145.b1961	P0AED9
511145.b2965	P21169
511145.b0693	P24169
511145.b1538	P24171
511145.b3472	P0AEE1
511145.b3528	P0A830
511145.b3507	P37195
511145.b4138	P0ABN5
511145.b4123	P0ABN9
511145.b0621	P0ABP3
511145.b3227	P45428
511145.b3997	P29680
511145.b4124	P0AD01
511145.b4125	P0AEC8
511145.b1919	P76316
511145.b0381	P0A6J8
511145.b0092	P07862
511145.b1487	P76128
511145.b1486	P77308
511145.b1485	P77463
511145.b1484	P77268
511145.b1483	P77622
511145.b1488	P77790
511145.b3162	P0A9P6
511145.b2317	P0ABP6
511145.b2314	P09549
511145.b3287	P0A6K3
511145.b0161	P0C0V0
511145.b3234	P39099
511145.b3235	P0AEE3
511145.b4383	P0A6K6
511145.b4381	P0A6L0
511145.b4384	P0ABP8
511145.b0840	P0ACK5
511145.b2511	P0A6P5
511145.b2150	P0AEE5
511145.b4477	Q6BF16
511145.b4478	Q6BF17
511145.b3693	P31459
511145.b4479	P31460
511145.b3691	P0AA76
511145.b0160	P15723
511145.b1200	P76015
511145.b1199	P76014
511145.b1198	P37349
511145.b1201	P76016
511145.b3433	P0A9Q9
511145.b1761	P00370
511145.b0124	P15877
511145.b1109	P00393
511145.b3177	P0AC13
511145.b0721	P69054
511145.b0722	P0AC44
511145.b3149	P66817
511145.b1570	P06966
511145.b1575	P09557
511145.b1569	P06965
511145.b3645	P23840
511145.b4044	P28303
511145.b0799	P27296
511145.b1061	P0ABR1
511145.b0226	Q47150
511145.b4613	A5A624
511145.b0055	P31680
511145.b0646	P77381
511145.b0649	P77359
511145.b3012	Q46857
511145.b0207	P30863
511145.b0145	P0ABS1
511145.b0116	P0A9P0
511145.b2133	P06149
511145.b3575	P37672
511145.b3830	P56262
511145.b3387	P0AEE8
511145.b1800	P76251
511145.b1799	P76250
511145.b0894	P18775
511145.b0895	P18776
511145.b0896	P18777
511145.b1591	P69853
511145.b3702	P03004
511145.b4052	P0ACB0
511145.b4361	P0AEF0
511145.b3066	P0ABS5
511145.b0015	P08622
511145.b0014	P0A6Y8
511145.b4362	P0A8J2
511145.b2411	P15042
511145.b1490	P0AA89
511145.b1489	P76129
511145.b2871	P66899
511145.b0620	P0AEF4
511145.b0619	P77510
511145.b3863	P00582
511145.b0060	P21189
511145.b0184	P10443
511145.b3701	P0A988
511145.b0215	P03007
511145.b0470	P06710
511145.b0231	Q47155
511145.b3544	P23847
511145.b3543	P0AEF8
511145.b3542	P0AEG1
511145.b3541	P0AAG0
511145.b3540	P37313
511145.b0812	P0ABT2
511145.b3860	P0AEG4
511145.b1185	P0A6M2
511145.b2893	P0AEG6
511145.b4136	P36655
511145.b2195	P0AA86
511145.b0604	P77202
511145.b2364	P46068
511145.b2365	P08555
511145.b1952	P0AEG8
511145.b3887	P0A6M4
511145.b1634	P77304
511145.b3496	P36837
511145.b4130	P39276
511145.b0709	P75742
511145.b4049	P32695
511145.b3260	P0ABT5
511145.b2140	P33371
511145.b3640	P06968
511145.b0173	P45568
511145.b0420	P77488
511145.b0048	P0ABQ4
511145.b2927	P0A9B6
511145.b1533	P31125
511145.b2578	P38101
511145.b3077	P0AC73
511145.b3075	P06846
511145.b4410	P0ADB4
511145.b4411	P0ADB7
511145.b2209	P23827
511145.b0293	P0AAA3
511145.b0292	P77188
511145.b0291	P77802
511145.b0290	P77694
511145.b0289	P77263
511145.b0294	P71301
511145.b1851	P0ADF6
511145.b1019	P31545
511145.b1018	P0AB24
511145.b3340	P0A6M8
511145.b2171	P0A6N8
511145.b4147	P0A6N4
511145.b0170	P0A6P1
511145.b3339	P0CE47
511145.b3980	P0CE48
511145.b2267	P0AEH3
511145.b2266	P0AEH5
511145.b2269	Q47013
511145.b3209	P0ABU5
511145.b0938	P75855
511145.b0940	P75857
511145.b0939	P75856
511145.b0941	P75858
511145.b0920	P0AB01
511145.b2685	P27303
511145.b2686	P0AEJ0
511145.b3673	P31442
511145.b0543	P23895
511145.b2368	P52599
511145.b2367	P52600
511145.b1193	P0C960
511145.b2945	P25736
511145.b1633	P0AB83
511145.b2159	P0A6C1
511145.b0714	P50465
511145.b3865	P0A6P7
511145.b2779	P0A6P9
511145.b0596	P15047
511145.b0595	P0ADI4
511145.b0593	P0AEJ2
511145.b0583	P19925
511145.b0594	P10378
511145.b0586	P11454
511145.b0597	P0A8Y8
511145.b0591	P24077
511145.b3613	P37690
511145.b3264	P0ACT2
511145.b0566	P10805
511145.b3404	P0AEJ4
511145.b4155	P0A8N7
511145.b4146	P39280
511145.b2326	P76938
511145.b4114	P30845
511145.b3546	P37661
511145.b3955	P0CB39
511145.b2566	P06616
511145.b1990	P39176
511145.b0156	P0ACC3
511145.b0554	P0A9R2
511145.b1556	P77237
511145.b0981	P38134
511145.b0982	P0ACZ2
511145.b4391	P0A9W3
511145.b2451	P76551
511145.b2441	P0AEJ6
511145.b2440	P19636
511145.b2458	P77218
511145.b2455	P77445
511145.b2453	P76553
511145.b2452	P76552
511145.b2454	P77277
511145.b2438	P76540
511145.b2439	P76541
511145.b2457	P0ABF4
511145.b2456	P0AEJ8
511145.b2461	P76556
511145.b2460	P76555
511145.b2437	P36547
511145.b2462	P63746
511145.b2459	P65643
511145.b2369	P0ACZ4
511145.b2370	P30855
511145.b2011	P04995
511145.b1749	P09030
511145.b2509	P04994
511145.b0422	P0A8G9
511145.b3006	P0ABU7
511145.b3005	P0ABV2
511145.b1844	P0AEK0
511145.b3094	P0ACL2
511145.b3093	P0AA78
511145.b4232	P0A993
511145.b0954	P0A6Q3
511145.b2323	P0A953
511145.b1092	P0AAI9
511145.b1095	P0AAI5
511145.b1093	P0AEK2
511145.b1091	P0A6R0
511145.b1288	P0AEK4
511145.b3963	P0ACU5
511145.b0180	P0A6Q6
511145.b3845	P21151
511145.b3846	P21177
511145.b0221	Q47146
511145.b3081	P42593
511145.b2342	P76503
511145.b2341	P77399
511145.b1701	P38135
511145.b2344	P10384
511145.b0443	P77712
511145.b1187	P0A8V6
511145.b0262	P37009
511145.b2052	P32055
511145.b2374	P69902
511145.b3895	P32177
511145.b3891	P13024
511145.b4079	P07658
511145.b1474	P24183
511145.b1475	P0AAJ3
511145.b1476	P0AEK7
511145.b3894	P32176
511145.b3893	P0AAJ5
511145.b3892	P0AEL0
511145.b0518	Q47208
511145.b1385	P80668
511145.b1384	Q47129
511145.b4291	P13036
511145.b4290	P15028
511145.b4289	P15030
511145.b4288	P15029
511145.b4287	P15031
511145.b4293	P23484
511145.b4292	P23485
511145.b3924	P28861
511145.b3408	P0AEL3
511145.b3409	P33650
511145.b3410	P64638
511145.b0584	P05825
511145.b0592	P0AEL6
511145.b0588	P23878
511145.b0590	P23876
511145.b0587	P26266
511145.b0589	P23877
511145.b2525	P0A9R4
511145.b0585	P13039
511145.b0490	P77279
511145.b0491	P77307
511145.b2962	P0A8P3
511145.b2731	P19323
511145.b0150	P06971
511145.b0153	P06972
511145.b0151	P07821
511145.b0152	P07822
511145.b1102	P16869
511145.b4367	P39405
511145.b3361	P20605
511145.b3915	P69380
511145.b4314	P04128
511145.b4312	P0ADH5
511145.b4316	P31697
511145.b4317	P30130
511145.b4313	P0ADH7
511145.b4318	P08189
511145.b4319	P08190
511145.b4320	P08191
511145.b4315	P39264
511145.b0535	P0AEL8
511145.b3261	P0A6R3
511145.b0805	P75780
511145.b0041	P60566
511145.b0042	P31574
511145.b0043	P68644
511145.b0044	P68646
511145.b3347	P45523
511145.b4207	P0A9L3
511145.b0028	P0AEM0
511145.b0684	P61949
511145.b2895	P0ABY4
511145.b1072	P75933
511145.b1073	P0ABW9
511145.b1074	P0ABX2
511145.b1075	P75936
511145.b1076	P75937
511145.b1077	P75938
511145.b1078	P0ABX5
511145.b1079	P0A6S0
511145.b1080	P0A6S3
511145.b1081	P75942
511145.b1082	P33235
511145.b1083	P29744
511145.b1071	P0AEM4
511145.b1070	P43533
511145.b1879	P76298
511145.b1880	P76299
511145.b1891	P0ABY7
511145.b1892	P0A8S9
511145.b1878	P76297
511145.b1922	P0AEM6
511145.b1923	P04949
511145.b1924	P24216
511145.b1937	P0A8T5
511145.b1938	P25798
511145.b1939	P0ABZ1
511145.b1940	P31068
511145.b1941	P52612
511145.b1942	P52613
511145.b1943	P52614
511145.b1944	P0ABX8
511145.b1945	P06974
511145.b1946	P15070
511145.b1947	P22586
511145.b1948	P0AC05
511145.b1949	P0AC07
511145.b1950	P33135
511145.b1925	P26608
511145.b1926	P0ABY2
511145.b1920	P0AEM9
511145.b1921	P52627
511145.b2321	P15286
511145.b1566	P77609
511145.b3288	P23882
511145.b1334	P0A9E5
511145.b0904	P0AC23
511145.b2492	P77733
511145.b3058	P0AC16
511145.b2315	P08192
511145.b0529	P24186
511145.b1606	P0AFS3
511145.b2303	P0AC19
511145.b3635	P05523
511145.b4154	P00363
511145.b4153	P0AC47
511145.b4152	P0A8Q0
511145.b4151	P0A8Q3
511145.b3844	P0AEN1
511145.b3370	P45539
511145.b3371	P0AC00
511145.b4474	P45541
511145.b3374	P45543
511145.b3375	P45544
511145.b0356	P25437
511145.b0357	P0AAP3
511145.b0239	P04335
511145.b3897	P32152
511145.b3898	P32153
511145.b0825	P78055
511145.b3946	P32669
511145.b0479	P52067
511145.b1905	P0A998
511145.b1902	P0A9A2
511145.b0094	P0ABH0
511145.b2748	P0A6S5
511145.b3463	P0A9R7
511145.b3178	P0AAI3
511145.b0084	P0AD68
511145.b0890	P46889
511145.b0083	P0AEN4
511145.b3933	P29131
511145.b3017	P26648
511145.b0093	P06136
511145.b0089	P0ABG4
511145.b3462	P0AC30
511145.b3464	P10121
511145.b0095	P0A9A6
511145.b2800	P0AB87
511145.b2802	P69922
511145.b2803	P11553
511145.b2804	P0AEN8
511145.b2799	P0A9S1
511145.b2801	P11551
511145.b2805	P0ACK8
511145.b1612	P0AC33
511145.b4122	P14407
511145.b1611	P05042
511145.b0683	P0A9A9
511145.b4140	P37147
511145.b1779	P0A9B2
511145.b1852	P0AC53
511145.b4025	P0A6T1
511145.b2661	P25526
511145.b2663	P25527
511145.b2662	P22256
511145.b1492	P63235
511145.b3512	P63204
511145.b3515	P63201
511145.b3516	P37639
511145.b0757	P0A6T3
511145.b0758	P09148
511145.b0759	P09147
511145.b2042	P0AAB6
511145.b0756	P0A9C3
511145.b2943	P0AEP1
511145.b2837	P03024
511145.b2151	P25748
511145.b1236	P0AEP3
511145.b3128	P39829
511145.b3126	P23522
511145.b3127	P0AA80
511145.b3125	P0ABQ2
511145.b2091	P0A9S3
511145.b2096	P0C8J6
511145.b2095	P0C8J8
511145.b2153	P0A6T5
511145.b0507	P0AEP7
511145.b0581	P77213
511145.b2904	P0A6T9
511145.b2903	P33195
511145.b2905	P27248
511145.b2808	P0A9F6
511145.b2479	P0A9I3
511145.b0987	P75885
511145.b0986	P75884
511145.b0985	P75883
511145.b0984	P75882
511145.b0983	P0A932
511145.b3447	P18956
511145.b4128	P0AF61
511145.b4559	P64646
511145.b1033	P75913
511145.b3553	P37666
511145.b4064	P0AF52
511145.b4464	Q46817
511145.b2975	Q46839
511145.b2980	P0ACL5
511145.b2979	P0AEP9
511145.b4468	P52073
511145.b4467	P52074
511145.b2977	P0AEQ1
511145.b3945	P0A9S5
511145.b2036	P37747
511145.b3429	P0A6U8
511145.b3432	P07762
511145.b3430	P0A6V1
511145.b3049	P26649
511145.b3431	P15067
511145.b2388	P0A6V8
511145.b3176	P31120
511145.b3729	P17169
511145.b3730	P0ACC7
511145.b3870	P0A9C5
511145.b2553	P0A9Z1
511145.b0167	P27249
511145.b3053	P30870
511145.b0811	P0AEQ3
511145.b0450	P0AC55
511145.b0810	P0AEQ6
511145.b0809	P10346
511145.b0212	P0AC84
511145.b2241	P0A9C0
511145.b2242	P13033
511145.b2243	P0A996
511145.b3426	P13035
511145.b3425	P0A6V5
511145.b3927	P0AER0
511145.b3424	P09391
511145.b3926	P0A6F3
511145.b2239	P09394
511145.b3423	P0ACL0
511145.b2240	P08194
511145.b2930	P21437
511145.b3925	P0A9C9
511145.b2556	P52101
511145.b2554	P0AFU4
511145.b0849	P68688
511145.b1064	P0AC59
511145.b3610	P0AC62
511145.b1654	P0AC69
511145.b0485	P77454
511145.b1524	P0A6W0
511145.b3212	P09831
511145.b3213	P09832
511145.b3214	P28721
511145.b0655	P37902
511145.b0654	P0AER3
511145.b0653	P0AER5
511145.b0652	P0AAG3
511145.b4077	P21345
511145.b3653	P0AER8
511145.b0144	P27305
511145.b3124	P23524
511145.b0514	P77364
511145.b0509	P77161
511145.b2551	P0A825
511145.b2053	P0AC88
511145.b0222	P63224
511145.b0200	P63228
511145.b2051	P32056
511145.b1285	P77334
511145.b0780	P75767
511145.b4517	P0AC92
511145.b1550	P77695
511145.b3437	P46859
511145.b4321	P0AC94
511145.b3438	P0ACP5
511145.b3415	P39835
511145.b4476	P0AC96
511145.b3413	P46846
511145.b3608	P0A6S7
511145.b3385	P32662
511145.b0755	P62707
511145.b4395	P0A7A2
511145.b3612	P37689
511145.b3779	P25552
511145.b3001	Q46851
511145.b2579	P68066
511145.b3181	P0A6W5
511145.b3406	P30128
511145.b2614	P09372
511145.b0154	P23893
511145.b2688	P0A6W9
511145.b2947	P04425
511145.b3500	P06715
511145.b0829	P75796
511145.b0830	P75797
511145.b0831	P75798
511145.b0832	P75799
511145.b3323	P45756
511145.b3322	P03825
511145.b3324	P45757
511145.b3325	P45758
511145.b3326	P45759
511145.b3327	P41441
511145.b3328	P41442
511145.b3329	P41443
511145.b3330	P45760
511145.b3331	P45761
511145.b3332	P45762
511145.b3333	P45763
511145.b3334	P36678
511145.b2988	P0AES0
511145.b1635	P0A9D2
511145.b0838	P0ACA7
511145.b0710	P0AFP6
511145.b2350	P77682
511145.b2351	P77293
511145.b2507	P04079
511145.b0104	P60560
511145.b2883	P76641
511145.b2787	P0AES2
511145.b2789	Q46916
511145.b2788	Q46915
511145.b3531	P37651
511145.b2706	P15081
511145.b2708	P17115
511145.b2231	P0AES4
511145.b3699	P0AES6
511145.b2541	P0CI31
511145.b2540	P0ABW0
511145.b2542	P77650
511145.b2538	P0ABR5
511145.b2539	Q47140
511145.b2537	Q47141
511145.b2536	Q47142
511145.b1967	P31658
511145.b0873	P75825
511145.b0872	P75824
511145.b2496	P69931
511145.b3510	P0AES9
511145.b3509	P0AET2
511145.b3511	P0AET5
511145.b4480	P0A8R9
511145.b1619	P0AET8
511145.b0962	P15038
511145.b1210	P0A6X1
511145.b0369	P0ACB2
511145.b3805	P06983
511145.b3804	P09126
511145.b2436	P36553
511145.b3850	P0ACB4
511145.b0475	P23871
511145.b3867	P32131
511145.b3803	P09127
511145.b3802	P0ACB7
511145.b1853	P46118
511145.b4175	P0ABC3
511145.b1132	P25746
511145.b4174	P0ABC7
511145.b4173	P25519
511145.b4172	P0A6X3
511145.b0460	P0ACE3
511145.b4532	P76106
511145.b1438	P67697
511145.b3082	P67701
511145.b3083	P64578
511145.b1103	P0ACE7
511145.b1507	P23874
511145.b1508	P23873
511145.b2019	P60757
511145.b2026	P06989
511145.b2024	P10371
511145.b2023	P60595
511145.b2025	P60664
511145.b2022	P06987
511145.b2021	P06986
511145.b2309	P0AEU0
511145.b2307	P0AEU3
511145.b2306	P07109
511145.b2308	P52094
511145.b2020	P06988
511145.b1970	P76341
511145.b3619	P67910
511145.b3052	P76658
511145.b1182	P77335
511145.b2552	P24232
511145.b1237	P0ACF8
511145.b0352	P51020
511145.b0107	P36645
511145.b0106	P36646
511145.b3395	P45753
511145.b3394	P64634
511145.b3393	P45751
511145.b3392	P45750
511145.b3391	P34749
511145.b4455	P37305
511145.b4428	P77494
