593117.TGAM_1786	C5A1L9
593117.TGAM_1987	C5A270
593117.TGAM_0904	C5A594
593117.TGAM_2020	C5A2A3
593117.TGAM_1738	C5A1H1
593117.TGAM_0284	C5A3H4
593117.TGAM_0283	C5A3H3
593117.TGAM_0639	C5A4H9
593117.TGAM_0282	C5A3H2
593117.TGAM_1950	C5A233
593117.TGAM_1995	C5A278
593117.TGAM_1388	C5A6M8
593117.TGAM_1549	C5A739
593117.TGAM_1149	C5A5Y9
593117.TGAM_1150	C5A5Z0
593117.TGAM_1737	C5A1H0
593117.TGAM_0728	C5A4R8
593117.TGAM_1943	C5A226
593117.TGAM_1008	C5A5J8
593117.TGAM_1070	C5A5R0
593117.TGAM_1269	C5A6A9
593117.TGAM_1029	C5A5L9
593117.TGAM_1425	C5A6R5
593117.TGAM_1392	C5A6N2
593117.TGAM_1665	C5A7F5
593117.TGAM_1811	C5A1P4
593117.TGAM_1659	C5A7E9
593117.TGAM_1972	C5A255
593117.TGAM_1877	C5A1W0
593117.TGAM_1406	C5A6P6
593117.TGAM_0146	C5A336
593117.TGAM_0147	C5A337
593117.TGAM_0144	C5A334
593117.TGAM_0148	C5A338
593117.TGAM_0143	C5A333
593117.TGAM_0145	C5A335
593117.TGAM_1119	C5A5V9
593117.TGAM_1196	C5A636
593117.TGAM_1209	C5A649
593117.TGAM_1316	C5A6F6
593117.TGAM_1344	C5A6I4
593117.TGAM_1372	C5A6L2
593117.TGAM_1450	C5A6U0
593117.TGAM_1726	C5A7L6
593117.TGAM_1777	C5A1L0
593117.TGAM_1933	C5A216
593117.TGAM_2129	C5A2X0
593117.TGAM_0348	C5A3N8
593117.TGAM_0379	C5A3R9
593117.TGAM_0461	C5A401
593117.TGAM_0534	C5A474
593117.TGAM_0868	C5A558
593117.TGAM_1397	F5CJ95
593117.TGAM_1054	F5CJ83
593117.TGAM_1024	C5A5L4
593117.TGAM_0522	C5A462
593117.TGAM_1541	C5A731
593117.TGAM_1544	C5A734
593117.TGAM_1685	C5A7H5
593117.TGAM_1297	C5A6D7
593117.TGAM_0475	C5A415
593117.TGAM_0787	C5A4X7
593117.TGAM_1136	C5A5X6
593117.TGAM_2112	C5A2J5
593117.TGAM_0554	C5A494
593117.TGAM_1326	C5A6G6
593117.TGAM_0590	C5A4D0
593117.TGAM_0672	C5A4L2
593117.TGAM_0569	C5A4A9
593117.TGAM_0484	C5A424
593117.TGAM_0716	C5A4Q6
593117.TGAM_0848	C5A538
593117.TGAM_0714	C5A4Q4
593117.TGAM_2018	C5A2A1
593117.TGAM_0760	C5A4V0
593117.TGAM_1223	C5A663
593117.TGAM_1768	C5A1K1
593117.TGAM_1090	C5A5T0
593117.TGAM_1184	C5A624
593117.TGAM_1418	C5A6Q8
593117.TGAM_1533	C5A723
593117.TGAM_1234	C5A674
593117.TGAM_1509	C5A6Z9
593117.TGAM_1719	C5A7K9
593117.TGAM_1848	C5A1T1
593117.TGAM_1863	C5A1U6
593117.TGAM_1183	C5A623
593117.TGAM_1189	C5A629
593117.TGAM_1633	C5A7C3
593117.TGAM_1177	C5A617
593117.TGAM_1502	C5A6Z2
593117.TGAM_1792	C5A1M5
593117.TGAM_1415	C5A6Q5
593117.TGAM_1529	C5A719
593117.TGAM_1758	C5A1J1
593117.TGAM_1092	C5A5T2
593117.TGAM_1068	C5A5Q8
593117.TGAM_1718	C5A7K8
593117.TGAM_1804	C5A1N7
593117.TGAM_1550	C5A740
593117.TGAM_1784	C5A1L7
593117.TGAM_1220	C5A660
593117.TGAM_1639	C5A7C9
593117.TGAM_1552	C5A742
593117.TGAM_1266	C5A6A6
593117.TGAM_1530	C5A720
593117.TGAM_1788	C5A1M1
593117.TGAM_1831	C5A1R4
593117.TGAM_1716	C5A7K6
593117.TGAM_1583	C5A773
593117.TGAM_1148	C5A5Y8
593117.TGAM_1629	C5A7B9
593117.TGAM_1896	C5A1X9
593117.TGAM_2005	C5A288
593117.TGAM_0047	C5A2P7
593117.TGAM_0103	C5A2V3
593117.TGAM_0108	C5A2Z8
593117.TGAM_0318	C5A3K8
593117.TGAM_0586	C5A4C6
593117.TGAM_0634	C5A4H4
593117.TGAM_2135	C5A2X6
593117.TGAM_0341	C5A3N1
593117.TGAM_1957	C5A240
593117.TGAM_0141	C5A331
593117.TGAM_0107	C5A2V7
593117.TGAM_0299	C5A3I9
593117.TGAM_1981	C5A264
593117.TGAM_0292	C5A3I2
593117.TGAM_0613	C5A4F3
593117.TGAM_1918	C5A201
593117.TGAM_0384	C5A3S4
593117.TGAM_0053	C5A2Q4
593117.TGAM_0086	C5A2T6
593117.TGAM_0137	C5A327
593117.TGAM_0079	C5A2S9
593117.TGAM_0070	C5A2S0
593117.TGAM_0289	C5A3H9
593117.TGAM_0307	C5A3J7
593117.TGAM_0648	C5A4I8
593117.TGAM_1905	C5A1Y8
593117.TGAM_1993	C5A276
593117.TGAM_2130	C5A2X1
593117.TGAM_0293	C5A3I3
593117.TGAM_2042	C5A2C5
593117.TGAM_2115	C5A2J8
593117.TGAM_0224	C5A3B4
593117.TGAM_0667	C5A4K7
593117.TGAM_2033	C5A2B6
593117.TGAM_1279	C5A6B9
593117.TGAM_0466	C5A406
593117.TGAM_0663	C5A4K3
593117.TGAM_0675	C5A4L5
593117.TGAM_1805	C5A1N8
593117.TGAM_2028	C5A2B1
593117.TGAM_0274	C5A3G4
593117.TGAM_0776	C5A4W6
593117.TGAM_1312	C5A6F2
593117.TGAM_0715	C5A4Q5
593117.TGAM_0929	C5A5B9
593117.TGAM_0671	C5A4L1
593117.TGAM_0208	C5A398
593117.TGAM_0508	C5A448
593117.TGAM_0794	C5A4Y4
593117.TGAM_0898	C5A588
593117.TGAM_1846	C5A1S9
593117.TGAM_2032	C5A2B5
593117.TGAM_0550	C5A490
593117.TGAM_0664	C5A4K4
593117.TGAM_0975	C5A5G5
593117.TGAM_0489	C5A429
593117.TGAM_0791	C5A4Y1
593117.TGAM_0796	C5A4Y6
593117.TGAM_0477	C5A417
593117.TGAM_0574	C5A4B4
593117.TGAM_0976	C5A5G6
593117.TGAM_1218	C5A658
593117.TGAM_0156	C5A346
593117.TGAM_0520	C5A460
593117.TGAM_2008	C5A291
593117.TGAM_0245	C5A3D5
593117.TGAM_0504	C5A444
593117.TGAM_0529	C5A469
593117.TGAM_0563	C5A4A3
593117.TGAM_0656	C5A4J6
593117.TGAM_0713	C5A4Q3
593117.TGAM_0775	C5A4W5
593117.TGAM_0800	C5A4Z0
593117.TGAM_0828	C5A518
593117.TGAM_0939	C5A5C9
593117.TGAM_0942	C5A5D2
593117.TGAM_2085	C5A2G8
593117.TGAM_0152	C5A342
593117.TGAM_0415	C5A3V5
593117.TGAM_0679	C5A4L9
593117.TGAM_0870	C5A560
593117.TGAM_1674	C5A7G4
593117.TGAM_0479	C5A419
593117.TGAM_0987	C5A5H7
593117.TGAM_2060	C5A2E3
593117.TGAM_0182	C5A372
593117.TGAM_0659	C5A4J9
593117.TGAM_2081	C5A2G4
593117.TGAM_2116	C5A2J9
593117.TGAM_0922	C5A5B2
593117.TGAM_1760	C5A1J3
593117.TGAM_1694	C5A7I4
593117.TGAM_1949	C5A232
593117.TGAM_0192	C5A382
593117.TGAM_1734	C5A1G7
593117.TGAM_1773	C5A1K6
593117.TGAM_1238	C5A678
593117.TGAM_1537	C5A727
593117.TGAM_1578	C5A768
593117.TGAM_1903	C5A1Y6
593117.TGAM_1291	C5A6D1
593117.TGAM_0967	C5A5F7
593117.TGAM_1113	C5A5V3
593117.TGAM_1646	C5A7D6
593117.TGAM_1722	C5A7L2
593117.TGAM_0310	C5A3K0
593117.TGAM_1969	C5A252
593117.TGAM_0067	C5A2R7
593117.TGAM_0279	C5A3G9
593117.TGAM_0759	C5A4U9
593117.TGAM_1755	C5A1I8
593117.TGAM_1460	C5A6V0
593117.TGAM_2136	C5A2X7
593117.TGAM_1740	C5A1H3
593117.TGAM_2072	C5A2F5
593117.TGAM_0512	C5A452
593117.TGAM_0747	C5A4T7
593117.TGAM_0860	C5A550
593117.TGAM_0962	C5A5F2
593117.TGAM_2120	C5A2W1
593117.TGAM_1239	C5A679
593117.TGAM_1514	C5A704
593117.TGAM_1049	C5A5N9
593117.TGAM_0100	C5A2V0
593117.TGAM_0109	C5A2Z9
593117.TGAM_2007	C5A290
593117.TGAM_2087	C5A2H0
593117.TGAM_2097	C5A2I0
593117.TGAM_0218	C5A3A8
593117.TGAM_0465	C5A405
593117.TGAM_0561	C5A4A1
593117.TGAM_2145	C5A2Y6
593117.TGAM_0652	C5A4J2
593117.TGAM_1838	C5A1S1
593117.TGAM_1507	C5A6Z7
593117.TGAM_0280	C5A3H0
593117.TGAM_1290	C5A6D0
593117.TGAM_1647	C5A7D7
593117.TGAM_1474	C5A6W4
593117.TGAM_1746	C5A1H9
593117.TGAM_1829	C5A1R2
593117.TGAM_1079	C5A5R9
593117.TGAM_1906	C5A1Y9
593117.TGAM_0092	C5A2U2
593117.TGAM_1240	C5A680
593117.TGAM_1444	C5A6T4
593117.TGAM_0073	C5A2S3
593117.TGAM_0381	C5A3S1
593117.TGAM_0184	C5A374
593117.TGAM_0471	C5A411
593117.TGAM_0539	C5A479
593117.TGAM_0666	C5A4K6
593117.TGAM_0778	C5A4W8
593117.TGAM_0924	C5A5B4
593117.TGAM_0517	C5A457
593117.TGAM_0893	C5A583
593117.TGAM_0963	C5A5F3
593117.TGAM_1347	C5A6I7
593117.TGAM_0748	C5A4T8
593117.TGAM_0767	C5A4V7
593117.TGAM_1268	C5A6A8
593117.TGAM_0202	C5A392
593117.TGAM_0763	C5A4V3
593117.TGAM_1292	C5A6D2
593117.TGAM_1330	C5A6H0
593117.TGAM_1104	C5A5U4
593117.TGAM_0745	C5A4T5
593117.TGAM_0658	C5A4J8
593117.TGAM_0710	C5A4Q0
593117.TGAM_0755	C5A4U5
593117.TGAM_0487	C5A427
593117.TGAM_1654	C5A7E4
593117.TGAM_1128	C5A5W8
593117.TGAM_1401	C5A6P1
593117.TGAM_0096	C5A2U6
593117.TGAM_2124	C5A2W5
593117.TGAM_0321	C5A3L1
593117.TGAM_0773	C5A4W3
593117.TGAM_0546	C5A486
593117.TGAM_1080	C5A5S0
593117.TGAM_1855	C5A1T8
593117.TGAM_1015	C5A5K5
593117.TGAM_0071	C5A2S1
593117.TGAM_0076	C5A2S6
593117.TGAM_0441	C5A3Y1
593117.TGAM_0063	C5A2R3
593117.TGAM_0042	C5A2P2
593117.TGAM_1088	C5A5S8
593117.TGAM_1371	C5A6L1
593117.TGAM_0401	C5A3U1
593117.TGAM_0650	C5A4J0
593117.TGAM_0559	C5A499
593117.TGAM_0792	C5A4Y2
593117.TGAM_0961	C5A5F1
593117.TGAM_1309	C5A6E9
593117.TGAM_0600	C5A4E0
593117.TGAM_0129	C5A319
593117.TGAM_1628	C5A7B8
593117.TGAM_1849	C5A1T2
593117.TGAM_1089	C5A5S9
593117.TGAM_1539	C5A729
593117.TGAM_1667	C5A7F7
593117.TGAM_0443	C5A3Y3
593117.TGAM_1253	C5A693
593117.TGAM_1241	C5A681
593117.TGAM_1250	C5A690
593117.TGAM_0730	C5A4S0
593117.TGAM_1538	C5A728
593117.TGAM_0157	C5A347
593117.TGAM_0164	C5A354
593117.TGAM_0231	C5A3C1
593117.TGAM_0736	C5A4S6
593117.TGAM_0878	C5A568
593117.TGAM_1325	C5A6G5
593117.TGAM_0429	C5A3W9
593117.TGAM_0834	C5A524
593117.TGAM_1178	C5A618
593117.TGAM_2122	C5A2W3
593117.TGAM_1321	C5A6G1
593117.TGAM_0312	C5A3K2
593117.TGAM_1190	C5A630
593117.TGAM_0785	C5A4X5
593117.TGAM_0871	C5A561
593117.TGAM_0125	C5A315
593117.TGAM_1879	C5A1W2
593117.TGAM_1041	C5A5N1
593117.TGAM_1505	C5A6Z5
593117.TGAM_1531	C5A721
593117.TGAM_1670	C5A7G0
593117.TGAM_1894	C5A1X7
593117.TGAM_2125	C5A2W6
593117.TGAM_1952	C5A235
593117.TGAM_0345	C5A3N5
593117.TGAM_0960	C5A5F0
593117.TGAM_0136	C5A326
593117.TGAM_0467	C5A407
593117.TGAM_0549	C5A489
593117.TGAM_0890	C5A580
593117.TGAM_1142	C5A5Y2
593117.TGAM_1810	C5A1P3
593117.TGAM_1037	C5A5M7
593117.TGAM_1161	C5A601
593117.TGAM_1390	C5A6N0
593117.TGAM_1007	C5A5J7
593117.TGAM_0649	C5A4I9
593117.TGAM_0430	C5A3X0
593117.TGAM_0677	C5A4L7
593117.TGAM_1141	C5A5Y1
593117.TGAM_1757	C5A1J0
593117.TGAM_0997	C5A5I7
593117.TGAM_1249	C5A689
593117.TGAM_0889	C5A579
593117.TGAM_1486	C5A6X6
593117.TGAM_1286	C5A6C6
593117.TGAM_1798	C5A1N1
593117.TGAM_1073	C5A5R3
593117.TGAM_1433	C5A6S3
593117.TGAM_2155	C5A2Z6
593117.TGAM_0738	C5A4S8
593117.TGAM_1327	C5A6G7
593117.TGAM_1622	C5A7B2
593117.TGAM_0362	C5A3Q2
593117.TGAM_0995	C5A5I5
593117.TGAM_1653	C5A7E3
593117.TGAM_1449	C5A6T9
593117.TGAM_0052	C5A2Q2
593117.TGAM_0333	C5A3M3
593117.TGAM_0241	C5A3D1
593117.TGAM_0506	C5A446
593117.TGAM_0781	C5A4X1
593117.TGAM_0820	C5A510
593117.TGAM_0899	C5A589
593117.TGAM_0923	C5A5B3
593117.TGAM_0253	C5A3E3
593117.TGAM_0709	C5A4P9
593117.TGAM_0818	C5A508
593117.TGAM_1366	C5A6K6
593117.TGAM_0851	C5A541
593117.TGAM_2080	C5A2G3
593117.TGAM_0249	C5A3D9
593117.TGAM_0746	C5A4T6
593117.TGAM_0864	C5A554
593117.TGAM_0966	C5A5F6
593117.TGAM_1210	C5A650
593117.TGAM_2077	C5A2G0
593117.TGAM_0798	C5A4Y8
593117.TGAM_1296	C5A6D6
593117.TGAM_1423	C5A6R3
593117.TGAM_0385	C5A3S5
593117.TGAM_1535	C5A725
593117.TGAM_1688	C5A7H8
593117.TGAM_1853	C5A1T6
593117.TGAM_1248	C5A688
593117.TGAM_1510	C5A700
593117.TGAM_1005	C5A5J5
593117.TGAM_1106	C5A5U6
593117.TGAM_0305	C5A3J5
593117.TGAM_1725	C5A7L5
593117.TGAM_1187	C5A627
593117.TGAM_1545	C5A735
593117.TGAM_1627	C5A7B7
593117.TGAM_1962	C5A245
593117.TGAM_0611	C5A4F1
593117.TGAM_2134	C5A2X5
593117.TGAM_1597	C5A787
593117.TGAM_1455	C5A6U5
593117.TGAM_1224	C5A664
593117.TGAM_1443	C5A6T3
593117.TGAM_0127	C5A317
593117.TGAM_0555	C5A495
593117.TGAM_0567	C5A4A7
593117.TGAM_0674	C5A4L4
593117.TGAM_0683	C5A4M3
593117.TGAM_0615	C5A4F5
593117.TGAM_2131	C5A2X2
593117.TGAM_1959	C5A242
593117.TGAM_2004	C5A287
593117.TGAM_1754	C5A1I7
593117.TGAM_1349	C5A6I9
593117.TGAM_2068	C5A2F1
593117.TGAM_1687	C5A7H7
593117.TGAM_1702	C5A7J2
593117.TGAM_1753	C5A1I6
593117.TGAM_1256	C5A696
593117.TGAM_1447	C5A6T7
593117.TGAM_0106	C5A2V6
593117.TGAM_0982	C5A5H2
593117.TGAM_2037	C5A2C0
593117.TGAM_0633	C5A4H3
593117.TGAM_1053	C5A5P3
593117.TGAM_1432	C5A6S1
593117.TGAM_1679	C5A7G9
593117.TGAM_1690	C5A7I0
593117.TGAM_0421	C5A3W1
593117.TGAM_0104	C5A2V4
593117.TGAM_0623	C5A4G3
593117.TGAM_0195	C5A385
593117.TGAM_0511	C5A451
593117.TGAM_2041	C5A2C4
593117.TGAM_0206	C5A396
593117.TGAM_0877	C5A567
593117.TGAM_1623	C5A7B3
593117.TGAM_1584	C5A774
593117.TGAM_1781	C5A1L4
593117.TGAM_1857	C5A1U0
593117.TGAM_0132	C5A322
593117.TGAM_0139	C5A329
593117.TGAM_1914	C5A1Z7
593117.TGAM_1964	C5A247
593117.TGAM_0585	C5A4C5
593117.TGAM_0007	C5A2K7
593117.TGAM_0194	C5A384
593117.TGAM_1543	C5A733
593117.TGAM_2083	C5A2G6
593117.TGAM_0496	C5A436
593117.TGAM_0248	C5A3D8
593117.TGAM_0826	C5A516
593117.TGAM_0168	C5A358
593117.TGAM_0226	C5A3B6
593117.TGAM_0524	C5A464
593117.TGAM_0744	C5A4T4
593117.TGAM_0814	C5A504
593117.TGAM_1050	C5A5P0
593117.TGAM_1402	C5A6P2
593117.TGAM_0761	C5A4V1
593117.TGAM_1060	C5A5Q0
593117.TGAM_1759	C5A1J2
593117.TGAM_1801	C5A1N4
593117.TGAM_0947	C5A5D7
593117.TGAM_1820	C5A1Q3
593117.TGAM_1616	C5A7A6
593117.TGAM_0001	C5A2K1
593117.TGAM_0951	C5A5E1
593117.TGAM_1729	C5A1G2
593117.TGAM_1434	C5A6S4
593117.TGAM_1231	C5A671
593117.TGAM_1593	C5A783
593117.TGAM_1609	C5A799
593117.TGAM_2063	C5A2E6
593117.TGAM_2105	C5A2I8
593117.TGAM_0020	C5A2M0
593117.TGAM_0036	C5A2N6
593117.TGAM_2114	C5A2J7
593117.TGAM_1456	C5A6U6
593117.TGAM_1107	C5A5U7
593117.TGAM_1145	C5A5Y5
593117.TGAM_1660	C5A7F0
593117.TGAM_1723	C5A7L3
593117.TGAM_2006	C5A289
593117.TGAM_2151	C5A2Z2
593117.TGAM_1306	C5A6E6
593117.TGAM_1353	C5A6J3
593117.TGAM_0896	C5A586
593117.TGAM_2107	C5A2J0
593117.TGAM_1214	C5A654
593117.TGAM_1284	C5A6C4
593117.TGAM_1345	C5A6I5
593117.TGAM_0002	C5A2K2
593117.TGAM_0229	C5A3B9
593117.TGAM_0237	C5A3C7
593117.TGAM_0551	C5A491
593117.TGAM_0029	C5A2M9
593117.TGAM_1677	C5A7G7
593117.TGAM_1410	C5A6Q0
593117.TGAM_1473	C5A6W3
593117.TGAM_1649	C5A7D9
593117.TGAM_1710	C5A7K0
593117.TGAM_0655	C5A4J5
593117.TGAM_0190	C5A380
593117.TGAM_0670	C5A4L0
593117.TGAM_0724	C5A4R4
593117.TGAM_0732	C5A4S2
593117.TGAM_0789	C5A4X9
593117.TGAM_1320	C5A6G0
593117.TGAM_0219	C5A3A9
593117.TGAM_1011	C5A5K1
593117.TGAM_1430	C5A6S0
593117.TGAM_1517	C5A707
593117.TGAM_0398	C5A3T8
593117.TGAM_1027	C5A5L7
593117.TGAM_1048	C5A5N8
593117.TGAM_1783	C5A1L6
593117.TGAM_1469	C5A6V9
593117.TGAM_1662	C5A7F2
593117.TGAM_1018	C5A5K8
593117.TGAM_1586	C5A776
593117.TGAM_1648	C5A7D8
593117.TGAM_0089	C5A2T9
593117.TGAM_1883	C5A1W6
593117.TGAM_0424	C5A3W4
593117.TGAM_1887	C5A1X0
593117.TGAM_0074	C5A2S4
593117.TGAM_0445	C5A3Y5
593117.TGAM_0694	C5A4N4
593117.TGAM_0910	C5A5A0
593117.TGAM_0004	C5A2K4
593117.TGAM_0286	C5A3H6
593117.TGAM_0977	C5A5G7
593117.TGAM_2073	C5A2F6
593117.TGAM_0021	C5A2M1
593117.TGAM_0478	C5A418
593117.TGAM_0495	C5A435
593117.TGAM_0499	C5A439
593117.TGAM_1294	C5A6D4
593117.TGAM_2058	C5A2E1
593117.TGAM_0431	C5A3X1
593117.TGAM_0485	C5A425
593117.TGAM_0684	C5A4M4
593117.TGAM_0171	C5A361
593117.TGAM_0547	C5A487
593117.TGAM_0729	C5A4R9
593117.TGAM_0973	C5A5G3
593117.TGAM_1332	C5A6H2
593117.TGAM_1281	C5A6C1
593117.TGAM_1669	C5A7F9
593117.TGAM_1825	C5A1Q8
593117.TGAM_1695	C5A7I5
593117.TGAM_1882	C5A1W5
593117.TGAM_0122	C5A312
593117.TGAM_0322	C5A3L2
593117.TGAM_0688	C5A4M8
593117.TGAM_1299	C5A6D9
593117.TGAM_1311	C5A6F1
593117.TGAM_0894	C5A584
593117.TGAM_1699	C5A7I9
593117.TGAM_0315	C5A3K5
593117.TGAM_1438	C5A6S8
593117.TGAM_1497	C5A6Y7
593117.TGAM_1657	C5A7E7
593117.TGAM_1672	C5A7G2
593117.TGAM_1939	C5A222
593117.TGAM_0065	C5A2R5
593117.TGAM_2123	C5A2W4
593117.TGAM_0355	C5A3P5
593117.TGAM_0191	C5A381
593117.TGAM_0727	C5A4R7
593117.TGAM_0449	C5A3Y9
593117.TGAM_0261	C5A3F1
593117.TGAM_1864	C5A1U7
593117.TGAM_1938	C5A221
593117.TGAM_1871	C5A1V4
593117.TGAM_0439	C5A3X9
593117.TGAM_0944	C5A5D4
593117.TGAM_1630	C5A7C0
593117.TGAM_1059	C5A5P9
593117.TGAM_1427	C5A6R7
593117.TGAM_1435	C5A6S5
593117.TGAM_0060	C5A2R0
593117.TGAM_2156	C5A2Z7
593117.TGAM_0344	C5A3N4
593117.TGAM_0784	C5A4X4
593117.TGAM_1547	C5A737
593117.TGAM_1515	C5A705
593117.TGAM_2096	C5A2H9
593117.TGAM_0849	C5A539
593117.TGAM_2111	C5A2J4
593117.TGAM_0205	C5A395
593117.TGAM_0269	C5A3F9
593117.TGAM_1323	C5A6G3
593117.TGAM_0337	C5A3M7
593117.TGAM_1133	C5A5X3
593117.TGAM_1567	C5A757
593117.TGAM_1025	C5A5L5
593117.TGAM_1979	C5A262
593117.TGAM_1271	C5A6B1
593117.TGAM_1569	C5A759
593117.TGAM_1632	C5A7C2
593117.TGAM_1642	C5A7D2
593117.TGAM_1747	C5A1I0
593117.TGAM_1056	C5A5P6
593117.TGAM_1109	C5A5U9
593117.TGAM_1379	C5A6L9
593117.TGAM_1803	C5A1N6
593117.TGAM_1476	C5A6W6
593117.TGAM_0135	C5A325
593117.TGAM_0364	C5A3Q4
593117.TGAM_0416	C5A3V6
593117.TGAM_1951	C5A234
593117.TGAM_0408	C5A3U8
593117.TGAM_0552	C5A492
593117.TGAM_0762	C5A4V2
593117.TGAM_0010	C5A2L0
593117.TGAM_1074	C5A5R4
593117.TGAM_0370	C5A3R0
593117.TGAM_0643	C5A4I3
593117.TGAM_1827	C5A1R0
593117.TGAM_2084	C5A2G7
593117.TGAM_0426	C5A3W6
593117.TGAM_0448	C5A3Y8
593117.TGAM_1481	C5A6X1
593117.TGAM_1562	C5A752
593117.TGAM_0797	C5A4Y7
593117.TGAM_0285	C5A3H5
593117.TGAM_1304	C5A6E4
593117.TGAM_1711	C5A7K1
593117.TGAM_0257	C5A3E7
593117.TGAM_0537	C5A477
593117.TGAM_0702	C5A4P2
593117.TGAM_0853	C5A543
593117.TGAM_0900	C5A590
593117.TGAM_0277	C5A3G7
593117.TGAM_0217	C5A3A7
593117.TGAM_1963	C5A246
593117.TGAM_0120	C5A310
593117.TGAM_0423	C5A3W3
593117.TGAM_1980	C5A263
593117.TGAM_0404	C5A3U4
593117.TGAM_0578	C5A4B8
593117.TGAM_0653	C5A4J3
593117.TGAM_0530	C5A470
593117.TGAM_0840	C5A530
593117.TGAM_0185	C5A375
593117.TGAM_0420	C5A3W0
593117.TGAM_1285	C5A6C5
593117.TGAM_0397	C5A3T7
593117.TGAM_0025	C5A2M5
