211586.SO_2484	Q8EEA3
211586.SO_0522	Q8EJE5
211586.SO_3735	Q8EB02
211586.SO_0084	Q8EKK8
211586.SO_1322	Q8EHA7
211586.SO_3948	Q8EAF7
211586.SO_0213	Q8EK85
211586.SO_4218	Q8E9P8
211586.SO_4221	Q8E9P6
211586.SO_4224	Q8E9P3
211586.SO_4219	Q8CX35
211586.SO_0207	Q8EK90
211586.SO_1330	Q8EH99
211586.SO_0601	Q8EJ70
211586.SO_3431	Q8EBR9
211586.SO_2342	Q8EEN5
211586.SO_1171	Q8CX46
211586.SO_2021	Q8EFF2
211586.SO_1523	Q8EGS1
211586.SO_2250	Q8EEW2
211586.SO_0848	Q8EIJ1
211586.SO_0845	Q8EIJ4
211586.SO_0917	Q8EIC6
211586.SO_2274	Q8EEU0
211586.SO_2177	Q8EF25
211586.SO_4619	Q8E8P2
211586.SO_1336	Q8EH93
211586.SO_2886	Q8ED79
211586.SO_3747	Q8EAZ0
211586.SO_2295	Q8EES3
211586.SO_1938	Q8EFN2
211586.SO_1106	Q8EHV6
211586.SO_3470	Q8EBN9
211586.SO_3980	Q8EAC7
211586.SO_3358	Q8EBY7
211586.SO_1021	Q8EI29
211586.SO_1020	Q8EI30
211586.SO_1019	Q8EI31
211586.SO_1016	Q8EI34
211586.SO_1015	Q8EI35
211586.SO_1014	Q8EI36
211586.SO_1012	Q8EI38
211586.SO_3465	Q8EBP4
211586.SO_3649	Q8EB83
211586.SO_1051	Q8EI02
211586.SO_2107	Q8EF79
211586.SO_2731	Q8EDL2
211586.SO_2108	Q8EF78
211586.SO_0592	Q8EJ78
211586.SO_0277	Q8EK29
211586.SO_0870	Q8EIG9
211586.SO_0869	Q8EIH0
211586.SO_0162	Q8EKD3
211586.SO_0437	Q8EJM6
211586.SO_3638	Q8EB94
211586.SO_3071	Q8ECR2
211586.SO_2895	Q8ED71
211586.SO_1351	Q8EH78
211586.SO_2730	Q8EDL3
211586.SO_0022	Q8EKR8
211586.SO_0932	Q8EIB1
211586.SO_1667	Q8EGD7
211586.SO_3434	Q8EBR6
211586.SO_4602	Q8E8Q9
211586.SO_2779	Q8EDH0
211586.SO_1290	P59251
211586.SO_0272	Q8EK32
211586.SO_1209	Q8EHL1
211586.SO_3929	Q8EAH3
211586.SO_0395	Q8EJR7
211586.SO_3080	Q8ECQ4
211586.SO_3832	Q8EAR4
211586.SO_1122	Q8EHU1
211586.SO_1121	Q8EHU2
211586.SO_2602	Q8EDY8
211586.SO_0345	Q8EJW1
211586.SO_0344	Q8EJW2
211586.SO_0342	Q8EJW4
211586.SO_2645	Q8EDU8
211586.SO_1725	Q8EG82
211586.SO_4289	Q8E9I8
211586.SO_1184	Q8EHN5
211586.SO_3287	Q8EC57
211586.SO_2760	Q8EDI8
211586.SO_4066	Q8EA43
211586.SO_0442	Q8EJM1
211586.SO_3937	Q8EAG5
211586.SO_3613	Q8EBB7
211586.SO_3695	Q8EB40
211586.SO_2592	Q8EDZ8
211586.SO_4255	Q8E9L5
211586.SO_2398	Q8EEI4
211586.SO_3441	Q8EBQ9
211586.SO_1631	Q8EGH3
211586.SO_3114	Q8ECM2
211586.SO_2503	Q8EE85
211586.SO_1608	Q8EGJ4
211586.SO_3861	Q8EAN7
211586.SO_0575	Q8EJ93
211586.SO_1205	Q8EHL4
211586.SO_1556	Q8EGP3
211586.SO_3430	Q8EBS0
211586.SO_0010	Q8EKT0
211586.SO_2015	Q8EFF8
211586.SO_3429	P59207
211586.SO_3833	Q8EAR3
211586.SO_0407	Q8EJQ5
211586.SO_2831	Q8EDD1
211586.SO_0142	Q8EKF2
211586.SO_0811	Q8EIM7
211586.SO_0546	Q8EJC1
211586.SO_2270	Q8EEU3
211586.SO_1358	Q8EH71
211586.SO_4072	Q8EA37
211586.SO_1202	Q8EHL7
211586.SO_3466	Q8EBP3
211586.SO_0222	Q8EK76
211586.SO_0220	Q8EK78
211586.SO_3940	Q8EAG2
211586.SO_0241	Q8EK59
211586.SO_0250	Q8EK51
211586.SO_0238	Q8EK62
211586.SO_0257	Q8EK46
211586.SO_0247	Q8EK53
211586.SO_1360	Q8EH70
211586.SO_0221	Q8EK77
211586.SO_2302	Q8EER6
211586.SO_3652	Q8EB80
211586.SO_0236	Q8EK63
211586.SO_0233	Q8EK66
211586.SO_0242	Q8EK58
211586.SO_2112	Q8EF74
211586.SO_3651	Q8EB81
211586.SO_4247	Q8E9M3
211586.SO_0239	Q8EK61
211586.SO_0234	Q8EK65
211586.SO_0249	Q8EK52
211586.SO_4120	Q8E9Z0
211586.SO_2780	Q8EDG9
211586.SO_4246	Q8E9M4
211586.SO_0007	Q8EKT3
211586.SO_2301	Q8EER7
211586.SO_0252	Q8EK49
211586.SO_0231	Q8EK68
211586.SO_0232	Q8EK67
211586.SO_0243	Q8EK57
211586.SO_0246	Q8EK54
211586.SO_0223	Q8EK75
211586.SO_3927	Q8EAH5
211586.SO_3934	Q8EAG8
211586.SO_0980	Q8EI67
211586.SO_3456	Q8EBQ3
211586.SO_1196	Q8EHM3
211586.SO_0134	Q8EKF9
211586.SO_1097	Q8EHW5
211586.SO_1169	Q8EHP8
211586.SO_1149	Q8EHR8
211586.SO_1851	Q8EFW4
211586.SO_1536	Q8EGQ9
211586.SO_3315	Q8EC29
211586.SO_1348	Q8EH81
211586.SO_1643	Q8EGG1
211586.SO_2560	Q8EE30
211586.SO_0006	Q8EKT4
211586.SO_4256	Q8E9L4
211586.SO_2755	Q8EDJ2
211586.SO_1150	Q8EHR7
211586.SO_0256	Q8EK47
211586.SO_0224	Q8EK74
211586.SO_0225	Q8EK73
211586.SO_0360	Q8EJU7
211586.SO_1331	Q8EH98
211586.SO_2567	Q8EE23
211586.SO_4197	Q8E9R9
211586.SO_1632	Q8EGH2
211586.SO_0230	Q8EK69
211586.SO_0254	P59375
211586.SO_0226	P59166
211586.SO_0253	Q8EK48
211586.SO_0244	Q8EK56
211586.SO_1207	Q8EHL3
211586.SO_1357	Q8EH72
211586.SO_0240	Q8EK60
211586.SO_3928	Q8EAH4
211586.SO_0235	Q8EK64
211586.SO_3537	Q8EBH9
211586.SO_1288	Q8EHD7
211586.SO_1629	Q8EGH5
211586.SO_0237	P59183
211586.SO_0255	P59131
211586.SO_0248	P59124
211586.SO_3930	Q8EAH2
211586.SO_0227	Q8EK72
211586.SO_0245	Q8EK55
211586.SO_3939	Q8EAG3
211586.SO_0591	Q8EJ79
211586.SO_3639	Q8EB93
211586.SO_0030	Q8EKR0
211586.SO_0828	Q8EIL1
211586.SO_2609	Q8EDY2
211586.SO_4757	Q8E8B0
211586.SO_4227	Q8E9P0
211586.SO_4658	Q8E8K6
211586.SO_2430	Q8EEF2
211586.SO_2429	Q8EEF3
211586.SO_2431	Q8EEF1
211586.SO_3347	Q8EBZ8
211586.SO_4211	Q8E9Q5
211586.SO_0052	Q8EKP0
211586.SO_0105	Q8EKI8
211586.SO_0196	Q8EK99
211586.SO_0195	Q8EKA0
211586.SO_2335	Q8EEP2
211586.SO_2410	Q8EEH2
211586.SO_0875	Q8EIG4
211586.SO_4251	Q8E9L9
211586.SO_1063	Q8EHZ1
211586.SO_0035	Q8EKQ5
211586.SO_4266	Q8E9K5
211586.SO_1870	Q8EFU5
211586.SO_3763	Q8EAX8
211586.SO_0834	Q8EIK5
211586.SO_4028	Q8EA81
211586.SO_1473	Q8EGW8
211586.SO_3122	Q8ECL5
211586.SO_1932	Q8EFN8
211586.SO_3637	Q8EB95
211586.SO_3435	Q8EBR5
211586.SO_3428	Q8EBS1
211586.SO_1791	Q8EG22
211586.SO_1609	Q8EGJ3
211586.SO_2433	Q8EEE9
211586.SO_2085	Q8EFA0
211586.SO_2086	Q8EF99
211586.SO_0015	Q8EKS5
211586.SO_0014	Q8EKS6
211586.SO_3311	Q8EC33
211586.SO_3532	Q8EBI4
211586.SO_0992	Q8EI58
211586.SO_1174	Q8EHP4
211586.SO_2619	Q8EDX2
211586.SO_2218	Q8EEZ1
211586.SO_3154	Q8ECI8
211586.SO_1786	Q8EG26
211586.SO_4123	Q8E9Y7
211586.SO_2310	Q8EEQ9
211586.SO_2299	Q8EER9
211586.SO_3424	Q8EBS5
211586.SO_0294	Q8EK12
211586.SO_1315	Q8EHB3
211586.SO_3546	Q8EBH2
211586.SO_4202	Q8E9R4
211586.SO_4203	Q8E9R3
211586.SO_4673	Q8E8J1
211586.SO_3113	Q8ECM3
211586.SO_2445	Q8EED7
211586.SO_2441	Q8EEE1
211586.SO_1531	Q8EGR4
211586.SO_1793	Q8EG20
211586.SO_1645	Q8EGF9
211586.SO_2748	Q8EDJ8
211586.SO_1232	Q8EHI9
211586.SO_1231	Q8EHJ0
211586.SO_1200	Q8EHL9
211586.SO_0582	Q8EJ86
211586.SO_0206	Q8CX51
211586.SO_3367	Q8EBX8
211586.SO_1359	Q8CX44
211586.SO_0948	Q8EI95
211586.SO_3024	Q8ECU9
211586.SO_3023	Q8ECV0
211586.SO_3021	Q8ECV2
211586.SO_3436	Q8EBR4
211586.SO_0037	Q8EKQ3
211586.SO_1289	Q8EHD6
211586.SO_2354	Q8EEM4
211586.SO_0019	Q8EKS1
211586.SO_1218	Q8EHK3
211586.SO_1362	Q8EH68
211586.SO_1335	Q8EH94
211586.SO_0468	Q8EJJ5
211586.SO_4201	Q8E9R5
211586.SO_0131	Q8EKG2
211586.SO_0506	Q8EJG1
211586.SO_4199	Q8E9R7
211586.SO_2413	Q8EEG9
211586.SO_3654	Q8EB78
211586.SO_1293	Q8EHD3
211586.SO_4274	Q8E9K1
211586.SO_1633	Q8EGH1
211586.SO_2759	Q8EDI9
211586.SO_4620	Q8CVD0
211586.SO_2617	Q8EDX4
211586.SO_1861	Q8EFV4
211586.SO_4306	Q7ZAJ5
211586.SO_0950	Q7ZAJ8
211586.SO_1549	Q8EGP9
211586.SO_1163	Q8EHQ4
211586.SO_1339	Q8EH90
211586.SO_1403	Q8EH28
211586.SO_1475	Q8EGW6
211586.SO_1652	Q8EGF2
211586.SO_1800	Q8EG14
211586.SO_1811	Q8EG03
211586.SO_1816	Q8EFZ8
211586.SO_1867	Q8EFU8
211586.SO_1922	Q8EFP8
211586.SO_2008	Q8EFG5
211586.SO_2014	Q8EFF9
211586.SO_2143	Q8EF50
211586.SO_2176	Q8EF26
211586.SO_2251	P59273
211586.SO_2290	Q8EES8
211586.SO_2432	Q8EEF0
211586.SO_2497	P59192
211586.SO_2573	Q8EE17
211586.SO_2575	Q8EE15
211586.SO_2782	Q8EDG7
211586.SO_2800	Q8EDF2
211586.SO_2823	Q8EDD7
211586.SO_2883	P59352
211586.SO_2894	Q8ED72
211586.SO_2914	Q8ED56
211586.SO_0299	Q8EK07
211586.SO_3081	P59236
211586.SO_0311	Q8EJZ5
211586.SO_0330	Q8EJX6
211586.SO_3346	Q8EBZ9
211586.SO_3356	Q8EBY9
211586.SO_3370	Q8EBX5
211586.SO_3401	Q8EBU8
211586.SO_3540	Q8EBH6
211586.SO_3815	Q8EAS7
211586.SO_3888	Q8EAL4
211586.SO_3913	Q8EAI9
211586.SO_3964	Q8EAE2
211586.SO_3983	Q8EAC4
211586.SO_3997	Q8EAB0
211586.SO_4079	Q8EA30
211586.SO_4095	Q8EA14
211586.SO_4248	Q8E9M2
211586.SO_4401	Q8E985
211586.SO_4467	Q8E927
211586.SO_4708	Q8E8F7
211586.SO_0727	Q8EIV3
211586.SO_0736	P46149
211586.SO_0411	Q8EJQ1
211586.SO_1179	Q8EHN9
211586.SO_3035	P59365
211586.SO_0004	Q8EKT6
211586.SO_0005	Q8EKT5
211586.SO_4728	Q8E8D7
211586.SO_0335	Q8EJX1
211586.SO_2591	Q8EDZ9
211586.SO_0412	Q8EJQ0
211586.SO_2897	Q8ED69
211586.SO_4133	C7EWM3
211586.SO_0011	O52489
211586.SO_3926	E2GIC5
211586.SO_0837	Q6RFZ0
211586.SO_3923	E2GIC6
211586.SO_0011	O52488
211586.SO_0011	O52487
211586.SO_3925	E2GIC4
211586.SO_3699.1	K4DIE2
211586.SO_3880	Q8CMB0
211586.SO_2875	Q8CME7
211586.SO_4548	Q8CM09
211586.SO_3478	Q8CM94
211586.SO_3447	Q8CMC3
211586.SO_4707	Q8CMJ3
211586.SO_2212	Q8CLY6
211586.SO_2211	Q8CM99
211586.SO_3444	Q8CMI1
211586.SO_4578	Q8CMJ6
211586.SO_4582	Q8CME4
211586.SO_3544	Q8CM19
211586.SO_4437	Q8CLZ2
211586.SO_4269	Q8CM39
211586.SO_4580	Q7CCS5
211586.SO_2909	Q8CM95
211586.SO_3321	Q8CMD3
211586.SO_0392	Q8EJS0
211586.SO_1824	Q8EFZ0
211586.SO_2607	Q8EDY4
211586.SO_3778	Q8EAW3
211586.SO_3767	Q8EAX4
211586.SO_3468	Q8EBP1
211586.SO_1534	Q8EGR1
211586.SO_1049	Q8EI04
211586.SO_0644	Q8EJ29
211586.SO_0526	Q8EJE1
211586.SO_3553	Q8EBG5
211586.SO_2763	Q8EDI5
211586.SO_2694	Q8EDP9
211586.SO_1486	Q8EGV5
211586.SO_0144	Q8EKF0
211586.SO_4198	Q8E9R8
211586.SO_2767	Q8EDI2
211586.SO_2339	Q8EEN8
211586.SO_0289	Q8EK17
211586.SO_3302	Q8EC42
211586.SO_2603	Q8EDY7
211586.SO_2256	Q8EEV7
211586.SO_0678	Q8EIZ7
211586.SO_0511	Q8EJF6
211586.SO_3878	Q8EAM2
211586.SO_2899	Q8ED68
211586.SO_1878	Q8EFT8
211586.SO_0027	Q8EKR3
211586.SO_4403	Q8E983
211586.SO_3220	Q8ECC3
211586.SO_2861	Q8EDA1
211586.SO_2612	Q8EDX9
211586.SO_2581	Q8EE09
211586.SO_0808	Q8EIM9
211586.SO_0806	Q8EIN1
211586.SO_0502	Q8EJG5
211586.SO_0260	Q8EK43
211586.SO_3335	Q8EC10
211586.SO_2715	Q8EDM8
211586.SO_0741	Q8EIU3
211586.SO_0362	Q8EJU5
211586.SO_0312	Q8EJZ4
211586.SO_0159	Q8EKD6
211586.SO_4636	Q8E8M7
211586.SO_2360	Q8EEL9
211586.SO_1001	Q8EI49
211586.SO_0939	Q8EIA4
211586.SO_0283	Q8EK23
211586.SO_3674	Q8EB60
211586.SO_1819	Q8EFZ5
211586.SO_0876	Q8EIG3
211586.SO_0478	Q8EJI7
211586.SO_4600	Q8E8R1
211586.SO_3364	Q8EBY1
211586.SO_1947	Q8EFM3
211586.SO_1197	Q8EHM2
211586.SO_4564	Q8E8U2
211586.SO_4069	Q8EA40
211586.SO_3265	Q8EC79
211586.SO_2122	Q8EF65
211586.SO_1518	Q8EGS6
211586.SO_0766	Q8EIR9
211586.SO_4515	Q8E8Y5
211586.SO_4471	Q8E923
211586.SO_4462	Q8E932
211586.SO_4172	Q8E9U1
211586.SO_4089	Q8EA20
211586.SO_4060	Q8EA49
211586.SO_4006	Q8EAA2
211586.SO_3975	Q8EAD1
211586.SO_3941	Q8EAG1
211586.SO_3854	Q8EAP3
211586.SO_3693	Q8EB42
211586.SO_3618	Q8EBB2
211586.SO_3349	Q8EBZ6
211586.SO_3176	Q8ECG6
211586.SO_2967	Q8ED03
211586.SO_2695	Q8EDP8
211586.SO_2687	Q8EDQ6
211586.SO_2103	Q8EF83
211586.SO_1803	Q8EG11
211586.SO_1550	Q8EGP8
211586.SO_1495	Q8EGU6
211586.SO_1408	Q8EH23
211586.SO_1393	Q8EH37
211586.SO_1259	Q8EHG2
211586.SO_1258	Q8EHG3
211586.SO_1198	Q8EHM1
211586.SO_0167	Q8EKC8
211586.SO_0139	Q8EKF4
211586.SO_0066	Q8EKM6
211586.SO_0752	Q8EIT3
211586.SO_0351	Q8EJV5
211586.SO_0346	Q8EJW0
211586.SO_0643	Q8EJ30
211586.SO_0615	Q8EJ57
211586.SO_4105	Q8EA04
211586.SO_1959	Q8EFL2
211586.SO_1370	Q8EH60
211586.SO_0333	Q8EJX3
211586.SO_3052	Q8ECT0
211586.SO_4639	Q8E8M4
211586.SO_4020	Q8EA88
211586.SO_2884	Q8ED81
211586.SO_2682	Q8EDR1
211586.SO_1989	Q8EFI3
211586.SO_1561	Q8EGN8
211586.SO_0923	Q8EIC0
211586.SO_0652	Q8EJ21
211586.SO_0262	Q8EK41
211586.SO_4661	Q8E8K3
211586.SO_3270	Q8EC74
211586.SO_2081	Q8EFA4
211586.SO_1961	Q8EFL0
211586.SO_1048	Q8EI05
211586.SO_0568	Q8EJA0
211586.SO_0530	Q8EJD7
211586.SO_4756	Q8E8B1
211586.SO_3915	Q8EAI7
211586.SO_3100	Q8ECN6
211586.SO_1873	Q8EFU2
211586.SO_1532	Q8EGR3
211586.SO_1292	Q8EHD4
211586.SO_1229	Q8EHJ2
211586.SO_0461	Q8EJK2
211586.SO_0439	Q8EJM4
211586.SO_3841	Q8EAQ5
211586.SO_3706	Q8EB29
211586.SO_2714	Q8EDM9
211586.SO_1137	Q8EHT0
211586.SO_1065	Q8EHY9
211586.SO_0885	Q8EIF4
211586.SO_2898	Q7ZAJ7
211586.SO_2123	Q8EF64
211586.SO_1303	Q8EHC5
211586.SO_3656	Q8EB76
211586.SO_4634	Q8E8M9
211586.SO_3781	Q8EAW0
211586.SO_3507	Q8EBK6
211586.SO_2024	Q8EFF0
211586.SO_1427	Q8EH05
211586.SO_4286	Q8E9J1
211586.SO_1822	Q8EFZ2
211586.SO_2753.2	K4PU01
211586.SO_0742	Q8EIU2
211586.SO_4485	Q8E910
211586.SO_1046	Q8EI07
211586.SO_1614	Q8EGI8
211586.SO_1747	Q8EG61
211586.SO_1733	Q8EG74
211586.SO_1715	Q8EG91
211586.SO_1102	Q8EHW0
211586.SO_0535	Q8EJD2
211586.SO_2958	Q8ED13
211586.SO_0125	Q8EKG8
211586.SO_4320	Q8E9G3
211586.SO_1682	Q8EGC2
211586.SO_1732	Q8EG75
211586.SO_4138	Q8E9X4
211586.SO_3552	Q8EBG6
211586.SO_4372	Q8E9B2
211586.SO_3873	Q8EAM5
211586.SO_2727	Q8EDL6
211586.SO_1273	Q8EHF0
211586.SO_4264	Q8E9K7
211586.SO_3215	Q8ECC8
211586.SO_2101	Q8EF85
211586.SO_4428	Q8E961
211586.SO_3958	Q8EAE8
211586.SO_2893	Q8ED73
