208964.PA1024	Q9I4V0
208964.PA5553	Q9HT21
208964.PA5558	Q9HT16
208964.PA5555	Q9HT19
208964.PA5559	Q9HT15
208964.PA5561	Q9HT13
208964.PA0785	Q9I5F3
208964.PA1962	Q9I2E2
208964.PA3223	Q9HZ17
208964.PA4922	P00282
208964.PA4922	B3EWN9
208964.PA3800	Q9HXJ7
208964.PA4545	P33641
208964.PA4765	O68562
208964.PA0132	Q9I700
208964.PA0131	Q9I701
208964.PA0130	Q9I702
208964.PA0129	Q9I703
208964.PA0133	Q9I6Z9
208964.PA4847	P37799
208964.PA1423	Q9I3S1
208964.PA3286	Q9HYV7
208964.PA5372	Q9HTJ2
208964.PA5373	Q9HTJ1
208964.PA5374	Q9HTJ0
208964.PA4235	Q9HWF9
208964.PA0500	Q9I618
208964.PA0504	Q9I614
208964.PA0501	Q9I617
208964.PA2246	Q9I1M3
208964.PA4117	Q9HWR3
208964.PA1590	P19072
208964.PA1074	P21175
208964.PA1073	P21627
208964.PA1072	P21628
208964.PA1071	P21629
208964.PA1070	P21630
208964.PA1971	P25185
208964.PA1538	Q9I3H5
208964.PA0366	Q9I6C8
208964.PA3687	Q9HXV3
208964.PA4758	P38098
208964.PA4756	P38100
208964.PA0706	P26841
208964.PA4236	O52762
208964.PA4613	Q59635
208964.PA2508	Q9I0X4
208964.PA2147	Q9I1W8
208964.PA2908	Q9HZT9
208964.PA0852	Q9I589
208964.PA0584	Q9I5V3
208964.PA1475	Q9I3N7
208964.PA1476	Q9I3N6
208964.PA1477	Q9I3N5
208964.PA1478	Q9I3N4
208964.PA1479	Q9I3N3
208964.PA1480	Q9I3N2
208964.PA1482	Q9I3N0
208964.PA4587	P14532
208964.PA4608	Q9HVI1
208964.PA5389	Q9HTH5
208964.PA3651	Q59640
208964.PA4386	P30720
208964.PA4385	P30718
208964.PA1459	O87125
208964.PA0173	Q9I6V9
208964.PA3703	Q9HXT8
208964.PA3348	O87131
208964.PA0175	Q9I6V7
208964.PA1456	Q51455
208964.PA1457	Q51434
208964.PA5184	Q9HU05
208964.PA0417	O87005
208964.PA1580	P14165
208964.PA4542	Q9HVN5
208964.PA1801	Q9I2U1
208964.PA3326	Q9HYR9
208964.PA2621	Q9I0L7
208964.PA0090	Q9I742
208964.PA1802	Q9I2U0
208964.PA5394	Q9HTH0
208964.PA0775	Q9I5G3
208964.PA0774	Q9I5G4
208964.PA0363	Q9I6D1
208964.PA4529	Q9HVP8
208964.PA4279	Q9HWC1
208964.PA1273	Q9I471
208964.PA1276	Q9I468
208964.PA1275	Q9I469
208964.PA2905	Q9HZU2
208964.PA2904	Q9HZU3
208964.PA2907	Q9HZU0
208964.PA2948	Q9HZP9
208964.PA2944	Q9HZQ3
208964.PA1272	Q9I472
208964.PA1278	Q9I466
208964.PA1277	Q9I467
208964.PA1281	Q9I463
208964.PA1279	Q9I465
208964.PA2945	Q9HZQ2
208964.PA0655	Q9I5R6
208964.PA4969	D4P095
208964.PA4383	Q9HW19
208964.PA3667	Q9HXX3
208964.PA3266	P95459
208964.PA0905	O69078
208964.PA2561	G3XDA3
208964.PA4844	Q9HUW6
208964.PA0518	P00099
208964.PA5275	Q9HTS5
208964.PA5490	P00106
208964.PA1483	Q9I3M9
208964.PA2052	Q9I263
208964.PA2053	Q9I262
208964.PA1317	Q9I427
208964.PA1318	Q9I426
208964.PA1319	Q9I425
208964.PA1320	Q9I424
208964.PA0113	Q9I719
208964.PA1321	Q9I423
208964.PA0280	Q9I6L0
208964.PA1393	P57702
208964.PA4443	O50273
208964.PA2611	Q9I0M7
208964.PA1756	O05927
208964.PA0932	Q9I526
208964.PA4442	O50274
208964.PA0846	Q9I595
208964.PA5304	Q9HTQ0
208964.PA5084	Q9HU99
208964.PA1010	Q9I4W3
208964.PA4759	P38103
208964.PA3666	G3XD76
208964.PA1162	Q9I4H5
208964.PA5278	Q51564
208964.PA0265	Q9I6M5
208964.PA0266	Q9I6M4
208964.PA5348	Q9HTL0
208964.PA1804	P05384
208964.PA5277	P19572
208964.PA3480	Q9HYC9
208964.PA0119	Q9I713
208964.PA1183	Q9I4F5
208964.PA5034	P95458
208964.PA1195	Q9I4E3
208964.PA4201	Q9HWI0
208964.PA4410	Q9LCT6
208964.PA0019	Q9I7A8
208964.PA3799	Q9HXJ8
208964.PA3043	Q9HZG5
208964.PA1124	Q9I4L1
208964.PA3117	Q51344
208964.PA3068	Q9HZE0
208964.PA3736	P29365
208964.PA2250	Q9I1L9
208964.PA1587	Q9I3D1
208964.PA4829	Q9HUY1
208964.PA0001	Q9I7C5
208964.PA0669	Q9I5Q2
208964.PA0577	Q9I5W0
208964.PA4760	Q9HV44
208964.PA4761	Q9HV43
208964.PA1529	Q9I3I4
208964.PA5493	Q9HT80
208964.PA3640	Q9HXZ1
208964.PA0002	Q9I7C4
208964.PA0923	Q9I534
208964.PA5489	P0C2B2
208964.PA5256	P21482
208964.PA0538	P57701
208964.PA4845	Q9HUW5
208964.PA2478	Q9I104
208964.PA1481	Q9I3N1
208964.PA2476	Q9I106
208964.PA5079	Q9HUA4
208964.PA2795	Q9I048
208964.PA4852	Q9HUW1
208964.PA3129	Q9HZ95
208964.PA5321	Q9HTN3
208964.PA3650	Q9KGU6
208964.PA4044	Q9KGU7
208964.PA2755	Q9I088
208964.PA3194	P31961
208964.PA4266	Q9HWD2
208964.PA2071	Q9I244
208964.PA2851	Q9HZZ2
208964.PA3655	O82851
208964.PA4277	P09591
208964.PA3724	P14756
208964.PA5492	Q9HT81
208964.PA3635	Q9HXZ5
208964.PA0771	Q9XCX8
208964.PA0665	Q9I5Q6
208964.PA5112	O33407
208964.PA2856	Q9HZY8
208964.PA3489	Q9HYC0
208964.PA3490	Q9HYB9
208964.PA3491	Q9HYB8
208964.PA3492	Q9HYB7
208964.PA3494	Q9HYB5
208964.PA3493	Q9HYB6
208964.PA2951	Q9HZP7
208964.PA2952	Q9HZP6
208964.PA2953	Q9HZP5
208964.PA4025	Q9HX02
208964.PA3777	Q9HXL8
208964.PA4042	Q9HWY5
208964.PA1982	Q9Z4J7
208964.PA0199	Q9RMT1
208964.PA1713	P26993
208964.PA1712	P26994
208964.PA1710	P26995
208964.PA5110	Q9HU73
208964.PA1610	O33877
208964.PA2967	O54438
208964.PA3333	Q9HYR2
208964.PA1806	Q9ZFE4
208964.PA3645	Q9HXY7
208964.PA3013	Q9HZJ3
208964.PA3014	Q9HZJ2
208964.PA5421	Q9HTE3
208964.PA1865	Q9I2N0
208964.PA4809	Q9HV00
208964.PA3621	Q9HY07
208964.PA3809	Q51383
208964.PA5148	Q9HU36
208964.PA4853	Q9HUW0
208964.PA5254	P30417
208964.PA1083	Q9I4P6
208964.PA1084	Q9I4P5
208964.PA1085	Q9I4P4
208964.PA1453	Q9I3P8
208964.PA1455	P29248
208964.PA1092	P72151
208964.PA1094	Q9K3C5
208964.PA1100	Q51462
208964.PA1101	Q51463
208964.PA1102	Q51464
208964.PA1104	Q9I4N1
208964.PA1443	Q51465
208964.PA1444	Q51466
208964.PA1445	Q51467
208964.PA1446	Q51468
208964.PA1095	Q9I4N6
208964.PA1204	Q9I4D4
208964.PA4525	P04739
208964.PA0018	O85732
208964.PA1796	Q9I2U6
208964.PA1129	Q9I4K6
208964.PA0357	Q9L7T2
208964.PA4221	P42512
208964.PA4220	P42513
208964.PA2398	P48632
208964.PA4408	P47203
208964.PA3634	Q9HXZ6
208964.PA2615	Q9I0M3
208964.PA4419	Q9HVZ6
208964.PA4409	G3XDA7
208964.PA4407	P47204
208964.PA4470	Q51404
208964.PA0854	Q9I587
208964.PA4764	Q03456
208964.PA3195	P27726
208964.PA3183	O68282
208964.PA4732	Q9HV67
208964.PA2586	Q51373
208964.PA2023	Q9I291
208964.PA4483	Q9HVT8
208964.PA4484	Q9HVT7
208964.PA4482	Q9HVT9
208964.PA1421	Q9I3S3
208964.PA3438	Q9HYG8
208964.PA1674	Q9I351
208964.PA5539	Q9HT35
208964.PA2181	Q9I1T4
208964.PA2446	Q9I136
208964.PA5214	Q9HTX6
208964.PA2445	Q9I137
208964.PA5213	Q9HTX7
208964.PA5215	Q9HTX5
208964.PA1338	Q9I406
208964.PA2165	Q9I1V0
208964.PA2153	Q9I1W2
208964.PA2151	Q9I1W4
208964.PA3193	Q9HZ46
208964.PA4749	Q9HV50
208964.PA5549	Q9HT25
208964.PA5552	Q9HT22
208964.PA5119	Q9HU65
208964.PA3658	Q9Z9H0
208964.PA5014	Q9HUF4
208964.PA1813	Q9I2T1
208964.PA3584	P52111
208964.PA0589	Q9I5U8
208964.PA3581	Q51389
208964.PA3579	Q9HY41
208964.PA3582	Q51390
208964.PA3585	P52112
208964.PA3583	Q51391
208964.PA5129	Q9HU55
208964.PA1638	Q9I387
208964.PA4724	Q9HV75
208964.PA5415	Q9HTE9
208964.PA2444	Q9I138
208964.PA4602	Q9HVI7
208964.PA5453	Q51366
208964.PA4425	Q9HVZ0
208964.PA0006	Q9I7C0
208964.PA2322	Q9ZIJ1
208964.PA1614	Q9I3A8
208964.PA0608	Q9S586
208964.PA3172	Q9HZ62
208964.PA5131	Q9HU53
208964.PA0288	Q9I6K2
208964.PA4755	Q9HV46
208964.PA2859	Q9HZY5
208964.PA4762	Q9HV42
208964.PA3977	P48247
208964.PA5203	Q9HTY6
208964.PA0407	Q9I697
208964.PA2025	P23189
208964.PA3105	P35818
208964.PA3103	Q00512
208964.PA3102	Q00513
208964.PA3101	Q00514
208964.PA3100	Q00515
208964.PA3099	Q00516
208964.PA3098	Q00517
208964.PA3097	Q00518
208964.PA3096	P25060
208964.PA3095	P25061
208964.PA3104	Q51575
208964.PA4445	Q9HVX2
208964.PA3769	Q9HXM6
208964.PA3168	P48372
208964.PA0004	Q9I7C2
208964.PA1135	Q9I4K0
208964.PA2193	G3XD67
208964.PA2194	Q9I1S2
208964.PA2195	G3XD12
208964.PA0085	Q9I747
208964.PA4666	P42807
208964.PA5243	Q59643
208964.PA5260	Q60169
208964.PA5259	P48246
208964.PA0024	P43898
208964.PA4655	Q9HVD7
208964.PA1546	P77915
208964.PA1673	Q9I352
208964.PA3184	O68281
208964.PA2627	Q9I0L1
208964.PA4944	Q9HUM0
208964.PA4944	B3EWP0
208964.PA2009	Q9X4G0
208964.PA4449	Q9HVW8
208964.PA5067	Q9HUB6
208964.PA5066	Q9HUB7
208964.PA5141	Q9HU43
208964.PA5142	Q9HU42
208964.PA3152	P72138
208964.PA5140	Q9HU44
208964.PA3151	P72139
208964.PA5143	Q9HU41
208964.PA4447	Q9HVX0
208964.PA3165	Q9HZ68
208964.PA2926	Q9HZS1
208964.PA4448	Q9HVW9
208964.PA4939	Q9HUM5
208964.PA1518	Q9I3J5
208964.PA3337	Q9HYQ8
208964.PA4996	Q9HUG9
208964.PA2664	Q9I0H4
208964.PA4706	O68877
208964.PA2961	P52024
208964.PA3832	O68823
208964.PA0865	Q9I576
208964.PA4728	Q9HV71
208964.PA3810	Q51382
208964.PA3811	Q9HXJ1
208964.PA5193	Q9HTZ6
208964.PA5054	Q9HUC5
208964.PA5053	Q9HUC6
208964.PA1596	Q9I3C5
208964.PA2830	Q9I013
208964.PA5105	Q9HU78
208964.PA3175	Q9HZ59
208964.PA5098	Q9HU85
208964.PA5092	Q9HU91
208964.PA5100	Q9HU83
208964.PA0686	Q9I5N9
208964.PA0441	Q9I676
208964.PA2619	P65116
208964.PA4744	Q9HV55
208964.PA2743	Q9I0A0
208964.PA2738	Q51472
208964.PA3161	Q51473
208964.PA4694	Q9HVA2
208964.PA0353	Q9I6E0
208964.PA5013	O86428
208964.PA1151	Q06578
208964.PA1151	Q06579
208964.PA1250	Q03026
208964.PA4031	Q9HWZ6
208964.PA3814	Q9HXI8
208964.PA3633	P57707
208964.PA4669	P42805
208964.PA3627	P57708
208964.PA3803	Q9HXJ4
208964.PA4557	Q9HVM7
208964.PA3902	Q9HXB1
208964.PA3686	Q9HXV4
208964.PA3163	Q9HZ70
208964.PA3603	Q9HY23
208964.PA3636	Q9ZFK4
208964.PA2979	Q9HZM5
208964.PA4457	Q9HVW0
208964.PA5336	Q9HTM2
208964.PA5495	P29364
208964.PA5484	O34206
208964.PA4670	Q9HVC5
208964.PA0054	Q9I778
208964.PA2962	Q9HZN8
208964.PA0917	Q9I540
208964.PA2150	Q9I1W5
208964.PA2081	Q9I234
208964.PA2939	Q9HZQ8
208964.PA1871	P14789
208964.PA1432	P33883
208964.PA1430	P25084
208964.PA5386	Q9HTH8
208964.PA5198	Q9HTZ1
208964.PA4528	P22610
208964.PA0767	Q9I5G8
208964.PA0768	Q9I5G7
208964.PA3792	Q9HXK5
208964.PA3118	Q51375
208964.PA3121	Q9HZA3
208964.PA3120	Q9HZA4
208964.PA3007	P37452
208964.PA2617	Q9I0M1
208964.PA0341	Q9I6F2
208964.PA5111	Q9HU72
208964.PA2863	Q01725
208964.PA2138	Q9I1X7
208964.PA3996	Q9HX25
208964.PA3997	Q9X6V9
208964.PA2862	P26876
208964.PA2011	Q9I2A0
208964.PA4771	Q9HV37
208964.PA3984	Q9ZI86
208964.PA4923	P48636
208964.PA2614	Q9I0M4
208964.PA4668	P42812
208964.PA2987	Q9HZL7
208964.PA1169	Q9I4G8
208964.PA1169	Q8RNT4
208964.PA5276	P17323
208964.PA0595	Q9I5U2
208964.PA3644	Q9X6P4
208964.PA3643	Q9HXY8
208964.PA4406	P47205
208964.PA3646	Q9HXY6
208964.PA1792	Q9I2V0
208964.PA2981	Q9HZM3
208964.PA4559	Q9HVM5
208964.PA5413	Q9HTF1
208964.PA4175	Q9HWK6
208964.PA2007	P57109
208964.PA2390	Q9I190
208964.PA5267	Q9HI36
208964.PA2652	Q9I0I6
208964.PA3471	Q9HYD5
208964.PA0482	Q9I636
208964.PA0209	Q9I6S9
208964.PA0210	Q9I6S8
208964.PA0213	Q9I6S5
208964.PA4901	Q9HUR2
208964.PA1927	P57703
208964.PA1843	Q9I2Q2
208964.PA0546	Q9I5Z0
208964.PA2350	Q9I1C8
208964.PA5503	Q9HT70
208964.PA0390	P57714
208964.PA3107	P55218
208964.PA0425	P52477
208964.PA0426	P52002
208964.PA0424	P52003
208964.PA4945	Q9HUL9
208964.PA3980	Q51470
208964.PA3243	Q9HYZ7
208964.PA3245	Q9HYZ5
208964.PA0867	Q9I574
208964.PA3764	Q9HXN1
208964.PA3570	P28810
208964.PA3569	P28811
208964.PA3571	P28809
208964.PA2626	Q9I0L2
208964.PA3456	Q9HYF0
208964.PA5567	Q9HT07
208964.PA5565	Q9HT09
208964.PA4334	Q9RPF3
208964.PA0809	Q9RPF2
208964.PA2910	Q9HZT7
208964.PA3870	Q9HXD6
208964.PA1505	Q9I3K7
208964.PA3918	Q9HX95
208964.PA3916	Q9HX97
208964.PA3030	O68799
208964.PA1861	Q9I2N4
208964.PA3452	Q9HYF4
208964.PA4640	Q9HVF1
208964.PA4415	Q9HVZ8
208964.PA4421	Q9HVZ4
208964.PA4997	Q9HUG8
208964.PA4614	Q9HVH7
208964.PA5018	Q9HUF1
208964.PA2827	Q9I016
208964.PA2356	Q9I1C2
208964.PA2357	O31038
208964.PA4990	Q9HUH5
208964.PA0378	Q9I6B7
208964.PA3004	Q9HZK1
208964.PA3169	Q9HZ65
208964.PA1683	Q9I342
208964.PA1685	Q9I340
208964.PA1684	Q9I341
208964.PA0763	P38107
208964.PA0764	P38108
208964.PA4450	Q9HVW7
208964.PA2977	Q9HZM7
208964.PA4411	Q9HW02
208964.PA4414	Q9HVZ9
208964.PA4417	Q59650
208964.PA4412	Q9HW01
208964.PA4662	Q9HVD0
208964.PA4946	Q9HUL8
208964.PA3620	Q9HY08
208964.PA1004	Q9I4W9
208964.PA0761	Q51363
208964.PA4524	P30819
208964.PA4006	Q9HX21
208964.PA4920	Q9HUP3
208964.PA3088	Q9HZC0
208964.PA3005	Q9HZK0
208964.PA1174	Q9I4G3
208964.PA0845	Q9I596
208964.PA3807	Q59636
208964.PA3849	Q9HXF7
208964.PA1847	Q9I2P8
208964.PA4600	P32265
208964.PA1820	Q9I2S5
208964.PA5021	Q9HUE8
208964.PA3887	G3XD29
208964.PA0517	Q51479
208964.PA0515	P95412
208964.PA0516	Q51480
208964.PA0513	P95414
208964.PA0512	P95415
208964.PA0514	P95413
208964.PA0520	Q51481
208964.PA0519	P24474
208964.PA3623	P45682
208964.PA0524	Q59647
208964.PA0523	Q59646
208964.PA5294	Q9HTR0
208964.PA3393	Q9HYL1
208964.PA3391	Q9HYL3
208964.PA3395	Q9HYK9
208964.PA3392	Q9HYL2
208964.PA1125	Q9I4L0
208964.PA1197	Q9I4E1
208964.PA0949	Q9I509
208964.PA2999	Q9HZK6
208964.PA2998	Q9HZK7
208964.PA2997	Q9HZK8
208964.PA2996	Q9HZK9
208964.PA2995	Q9HZL0
208964.PA2994	Q9HZL1
208964.PA4057	Q9HWX1
208964.PA0387	Q9I6A8
208964.PA1823	O86062
208964.PA1883	Q9I2L4
208964.PA2637	Q9I0K1
208964.PA2638	Q9I0K0
208964.PA2639	Q9I0J9
208964.PA2640	Q9I0J8
208964.PA2641	Q9I0J7
208964.PA2642	Q9I0J6
208964.PA2643	Q9I0J5
208964.PA2644	Q9I0J4
208964.PA2645	Q9I0J3
208964.PA2646	Q9I0J2
208964.PA2647	Q9I0J1
208964.PA2648	Q9I0J0
208964.PA2649	Q9I0I9
208964.PA4052	Q9HWX6
208964.PA4275	Q9HWC4
208964.PA4872	Q9HUU1
208964.PA4566	Q9HVL8
208964.PA2249	Q9I1M0
208964.PA2247	Q9I1M2
208964.PA2248	Q9I1M1
208964.PA1586	Q9I3D2
208964.PA5015	Q59637
208964.PA5016	Q59638
208964.PA2219	Q01602
208964.PA5078	Q9HUA5
208964.PA5077	Q9HUA6
208964.PA2853	P11221
208964.PA4597	Q51397
208964.PA0427	Q51487
208964.PA2220	Q01610
208964.PA4951	P57665
208964.PA0831	P72171
208964.PA5172	P08308
208964.PA3537	P11724
208964.PA0142	Q9I6Z0
208964.PA5217	Q9HTX3
208964.PA0393	P22008
208964.PA2570	Q05097
208964.PA4999	Q9HUG6
208964.PA4019	Q9HX08
208964.PA4661	Q9HVD1
208964.PA0973	Q9I4Z4
208964.PA1598	Q9I3C3
208964.PA4729	Q9HV70
208964.PA4730	Q9HV69
208964.PA4731	Q9HV68
208964.PA4397	Q9HW09
208964.PA4964	Q9HUK1
208964.PA4967	Q9HUJ8
208964.PA0869	P72161
208964.PA5045	Q07806
208964.PA0230	Q9I6Q8
208964.PA0228	Q9I6R0
208964.PA0235	Q9I6Q3
208964.PA4231	Q51508
208964.PA4230	Q51507
208964.PA4227	P40883
208964.PA5192	Q9HTZ7
208964.PA3857	Q9HXE9
208964.PA4309	G3XD24
208964.PA4310	Q9HW91
208964.PA4307	Q9HW93
208964.PA0593	Q9I5U4
208964.PA2212	Q9I1Q5
208964.PA1375	Q9I3W9
208964.PA1049	Q9I4S5
208964.PA0773	Q9I5G5
208964.PA5516	Q9HT57
208964.PA2688	Q05098
208964.PA2686	Q04803
208964.PA2687	Q04804
208964.PA0552	Q9I5Y4
208964.PA0872	P43334
208964.PA0730	Q51553
208964.PA3166	Q9HZ67
208964.PA3475	Q01269
208964.PA0870	P43336
208964.PA0247	P20586
208964.PA0844	P06200
208964.PA3319	P15713
208964.PA1001	P09785
208964.PA1002	P09786
208964.PA3314	Q9HYT0
208964.PA3384	Q9HYL7
208964.PA1310	Q9I434
208964.PA1311	Q9I433
208964.PA5360	P23620
208964.PA5361	P23621
208964.PA5365	Q51547
208964.PA0871	P43335
208964.PA4210	Q9HWH1
208964.PA1899	Q9I2J9
208964.PA4211	O69753
208964.PA1900	Q9S508
208964.PA4215	O69754
208964.PA4526	P22608
208964.PA0408	P46384
208964.PA0409	P43501
208964.PA0410	P43502
208964.PA0411	P42257
208964.PA5040	P34750
208964.PA4547	Q00934
208964.PA4546	P33639
208964.PA0395	P24559
208964.PA4554	Q9HVM8
208964.PA3624	P45683
208964.PA4515	Q9HVQ7
208964.PA0843	P40695
208964.PA3673	Q9HXW7
208964.PA2969	Q9HZN5
208964.PA0581	Q9I5V6
208964.PA1361	Q9I3Y3
208964.PA0964	Q51423
208964.PA4919	Q9HUP4
208964.PA4376	Q9HW26
208964.PA4740	Q9HV59
208964.PA3186	Q51485
208964.PA0958	P32722
208964.PA1777	P13794
208964.PA3280	P32977
208964.PA3279	P05695
208964.PA0206	Q9I6T2
208964.PA3607	Q9HY19
208964.PA3296	P35483
208964.PA0688	P35482
208964.PA3227	Q59641
208964.PA5242	Q9S646
208964.PA5241	Q9ZN70
208964.PA1985	Q9ZAA0
208964.PA1986	Q9I2C3
208964.PA1987	Q9I2C2
208964.PA1988	Q9I2C1
208964.PA1989	Q9I2C0
208964.PA1973	Q9I2D2
208964.PA0996	Q9I4X3
208964.PA0999	P20582
208964.PA2587	Q9I0Q0
208964.PA4850	Q9HUW3
208964.PA1678	Q9I347
208964.PA4664	Q9HVC8
208964.PA4007	Q9HX20
208964.PA4565	Q9HVL9
208964.PA0610	Q06552
208964.PA0611	Q06553
208964.PA1718	Q9I317
208964.PA1719	P95434
208964.PA1720	P95435
208964.PA4957	Q9HUK8
208964.PA1769	Q9I2X0
208964.PA5366	Q51546
208964.PA5369	G3XDA8
208964.PA5369	P0DMR4
208964.PA0835	Q9I5A5
208964.PA4466	Q9HVV2
208964.PA4672	Q9HVC3
208964.PA4464	Q9HVV4
208964.PA2258	P72131
208964.PA3108	Q51342
208964.PA4855	Q9HUV8
208964.PA3763	Q9HXN2
208964.PA0945	Q9I513
208964.PA1013	Q9I4W0
208964.PA2629	Q9I0K9
208964.PA4854	Q9HUV9
208964.PA4938	Q9HUM6
208964.PA5426	P72157
208964.PA5425	P72158
208964.PA3751	Q9HXP3
208964.PA2256	O30372
208964.PA2386	Q51548
208964.PA2385	Q9I194
208964.PA1252	Q9I492
208964.PA0402	Q59653
208964.PA3527	P72170
208964.PA3050	Q9HZF8
208964.PA5331	P50587
208964.PA2876	Q59654
208964.PA3637	Q9HXZ4
208964.PA3654	O82852
208964.PA0403	Q9X6W6
208964.PA0401	Q51551
208964.PA1150	Q06584
208964.PA0023	P43903
208964.PA3824	Q9HXH8
208964.PA0976	Q9I4Z2
208964.PA2806	Q9I037
208964.PA4950	Q9HUL4
208964.PA1032	Q9I4U2
208964.PA4609	P96963
208964.PA3308	Q9HYT6
208964.PA3473	O68827
208964.PA4767	O68560
208964.PA4743	Q9HV56
208964.PA3388	Q9RPT0
208964.PA3263	Q9HYX7
208964.PA3617	P08280
208964.PA0003	Q9I7C3
208964.PA0772	Q9XCX7
208964.PA1534	Q9I3H9
208964.PA3616	P37860
208964.PA4665	P42806
208964.PA3701	P0C348
208964.PA3903	Q9HXB0
208964.PA5009	Q9HUF7
208964.PA3479	Q51559
208964.PA3861	Q9HXE5
208964.PA3387	Q9RPT1
208964.PA3476	P54291
208964.PA3477	P54292
208964.PA5239	Q9HTV1
208964.PA4047	Q9HWY1
208964.PA4054	Q9HWX4
208964.PA1928	Q9I2H6
208964.PA5197	Q9HTZ2
208964.PA3744	Q9HXQ0
208964.PA0916	Q9I541
208964.PA4746	Q9HV53
208964.PA4053	Q9HWX5
208964.PA4272	Q9HWC7
208964.PA4274	Q9HWC5
208964.PA4433	Q9HVY2
208964.PA4253	Q9HWE5
208964.PA4244	Q9HWF4
208964.PA4256	Q9HWE2
208964.PA4237	O52761
208964.PA4247	Q9HWF1
208964.PA3742	Q9HXQ2
208964.PA4273	Q9HWC6
208964.PA2741	Q9I0A2
208964.PA4568	Q9HVL6
208964.PA4258	Q9HWE0
208964.PA4261	Q9HWD7
208964.PA4252	Q9HWE6
208964.PA4671	Q9HVC4
208964.PA4567	Q9HVL7
208964.PA5316	Q9HTN8
208964.PA4255	Q9HWE3
208964.PA4260	Q9HWD8
208964.PA4245	Q9HWF3
208964.PA3601	Q9HY25
208964.PA5049	Q9HUD0
208964.PA2970	Q9HZN4
208964.PA5315	Q9HTN9
208964.PA5570	P29436
208964.PA2742	Q9I0A1
208964.PA3600	Q9HY26
208964.PA4242	Q9HWF6
208964.PA4263	Q9HWD5
208964.PA4262	Q9HWD6
208964.PA4251	Q9HWE7
208964.PA4248	Q9HWF0
208964.PA4271	Q9HWC8
208964.PA4932	Q9HUN2
208964.PA4936	Q9HUM8
208964.PA0933	Q9I525
208964.PA4752	P95454
208964.PA3840	Q9HXG4
208964.PA4617	Q9HVH4
208964.PA4004	Q9HX23
208964.PA3048	Q9HZG0
208964.PA1563	Q9I3F4
