10090.ENSMUSP00000018470	Q9CQV8
10090.ENSMUSP00000031707	Q99K67
10090.ENSMUSP00000041337	Q7TSV6
10090.ENSMUSP00000026196	P05201
10090.ENSMUSP00000018841	Q9JKX4
10090.ENSMUSP00000034097	P05202
10090.ENSMUSP00000003436	Q99JW1
10090.ENSMUSP00000056099	Q7M759
10090.ENSMUSP00000112988	Q8VCV1
10090.ENSMUSP00000014290	Q8R5A3
10090.ENSMUSP00000045808	Q8K442
10090.ENSMUSP00000020948	Q8K440
10090.ENSMUSP00000030010	P41233
10090.ENSMUSP00000099983	P41234
10090.ENSMUSP00000045285	Q8R420
10090.ENSMUSP00000013995	O35600
10090.ENSMUSP00000047927	Q8K448
10090.ENSMUSP00000035458	Q8K441
10090.ENSMUSP00000043090	Q91V24
10090.ENSMUSP00000036338	Q8K449
10090.ENSMUSP00000040465	Q5SSE9
10090.ENSMUSP00000046177	B5X0E4
10090.ENSMUSP00000027396	Q9DC29
10090.ENSMUSP00000033695	Q61102
10090.ENSMUSP00000072826	Q9CXJ4
10090.ENSMUSP00000031354	Q9JJ59
10090.ENSMUSP00000075011	Q9JI39
10090.ENSMUSP00000099770	Q9QY30
10090.ENSMUSP00000084805	P70170
10090.ENSMUSP00000002084	P48410
10090.ENSMUSP00000068940	Q61285
10090.ENSMUSP00000029770	P55096
10090.ENSMUSP00000021666	O89016
10090.ENSMUSP00000079379	P61222
10090.ENSMUSP00000036881	Q6P542
10090.ENSMUSP00000030795	Q99LE6
10090.ENSMUSP00000003319	Q8K268
10090.ENSMUSP00000024829	Q64343
10090.ENSMUSP00000031822	Q7TMS5
10090.ENSMUSP00000031239	Q99P81
10090.ENSMUSP00000069495	Q99PE8
10090.ENSMUSP00000035246	Q9DBM0
10090.ENSMUSP00000053558	Q99LR1
10090.ENSMUSP00000108204	P51908
10090.ENSMUSP00000047402	Q9WV35
10090.ENSMUSP00000105249	Q99J72
10090.ENSMUSP00000069723	Q497M3
10090.ENSMUSP00000091541	Q5F2F2
10090.ENSMUSP00000038361	Q9QXM0
10090.ENSMUSP00000002549	Q91ZH7
10090.ENSMUSP00000044134	Q8VD66
10090.ENSMUSP00000122274	Q9DBL9
10090.ENSMUSP00000026313	Q8R2Y0
10090.ENSMUSP00000008094	Q8R0P8
10090.ENSMUSP00000065282	Q6PE15
10090.ENSMUSP00000043041	Q8K4F5
10090.ENSMUSP00000036730	Q80UX8
10090.ENSMUSP00000038755	Q8VCR7
10090.ENSMUSP00000007251	Q9Z1Q2
10090.ENSMUSP00000066520	Q80YU0
10090.ENSMUSP00000118491	Q8CBW3
10090.ENSMUSP00000058754	P62484
10090.ENSMUSP00000061893	Q8BYZ1
10090.ENSMUSP00000075167	P00520
10090.ENSMUSP00000027888	Q4JIM5
10090.ENSMUSP00000078336	Q8K4G5
10090.ENSMUSP00000041243	Q69ZX8
10090.ENSMUSP00000020002	Q4KML4
10090.ENSMUSP00000051973	Q8BUZ1
10090.ENSMUSP00000091551	Q5SSL4
10090.ENSMUSP00000045888	Q9QYL7
10090.ENSMUSP00000032169	Q99LJ2
10090.ENSMUSP00000075566	Q7TQI7
10090.ENSMUSP00000020843	Q5SWU9
10090.ENSMUSP00000031583	E9Q4Z2
10090.ENSMUSP00000054370	Q9D7B6
10090.ENSMUSP00000011492	Q8JZN5
10090.ENSMUSP00000027153	P51174
10090.ENSMUSP00000072483	P45952
10090.ENSMUSP00000031524	Q07417
10090.ENSMUSP00000099634	P50544
10090.ENSMUSP00000001631	Q8K2H4
10090.ENSMUSP00000061501	Q6ZQK5
10090.ENSMUSP00000029402	Q99J27
10090.ENSMUSP00000110175	Q5XG73
10090.ENSMUSP00000049124	Q9D061
10090.ENSMUSP00000110741	Q9D258
10090.ENSMUSP00000034822	Q99PU5
10090.ENSMUSP00000042352	Q2XU92
10090.ENSMUSP00000114705	P31786
10090.ENSMUSP00000031412	Q8K370
10090.ENSMUSP00000043424	Q80XL6
10090.ENSMUSP00000015829	Q9DBL1
10090.ENSMUSP00000048180	Q5EE38
10090.ENSMUSP00000073626	Q8R0I0
10090.ENSMUSP00000062037	Q8R4X1
10090.ENSMUSP00000040048	Q8VD53
10090.ENSMUSP00000033020	Q9D099
10090.ENSMUSP00000024099	P21836
10090.ENSMUSP00000001963	P09470
10090.ENSMUSP00000022620	Q91X60
10090.ENSMUSP00000034851	Q8R4G9
10090.ENSMUSP00000066338	O70174
10090.ENSMUSP00000091365	Q2MKA5
10090.ENSMUSP00000033882	Q9R0W9
10090.ENSMUSP00000032738	P49582
10090.ENSMUSP00000028515	P04756
10090.ENSMUSP00000029562	Q9ERK7
10090.ENSMUSP00000052297	Q8BMN3
10090.ENSMUSP00000034854	Q8R493
10090.ENSMUSP00000047270	P09690
10090.ENSMUSP00000072983	P02716
10090.ENSMUSP00000099616	P20782
10090.ENSMUSP00000027470	P04760
10090.ENSMUSP00000022793	Q9JIX8
10090.ENSMUSP00000110777	O54967
10090.ENSMUSP00000045134	Q9QUI6
10090.ENSMUSP00000050119	O08707
10090.ENSMUSP00000069114	P56485
10090.ENSMUSP00000075507	Q924I3
10090.ENSMUSP00000100532	A2AKE7
10090.ENSMUSP00000029214	Q9Z2N8
10090.ENSMUSP00000119356	Q99MR0
10090.ENSMUSP00000092692	Q9QY84
10090.ENSMUSP00000092693	Q9QY83
10090.ENSMUSP00000103012	Q91V92
10090.ENSMUSP00000042632	P12657
10090.ENSMUSP00000130874	Q9ERZ4
10090.ENSMUSP00000055579	Q9ERZ3
10090.ENSMUSP00000040808	P32211
10090.ENSMUSP00000097185	Q920H4
10090.ENSMUSP00000048482	Q8R519
10090.ENSMUSP00000092702	A2AKK5
10090.ENSMUSP00000080256	Q8BGG9
10090.ENSMUSP00000051333	Q32MW3
10090.ENSMUSP00000099823	Q8VHQ9
10090.ENSMUSP00000022120	Q9DBK0
10090.ENSMUSP00000006900	Q9CQR4
10090.ENSMUSP00000029794	Q9CQJ0
10090.ENSMUSP00000100038	P28271
10090.ENSMUSP00000036936	P13516
10090.ENSMUSP00000026221	P13011
10090.ENSMUSP00000023116	Q99KI0
10090.ENSMUSP00000126448	O55137
10090.ENSMUSP00000021649	Q9QYR9
10090.ENSMUSP00000021653	Q9QYR7
10090.ENSMUSP00000021652	Q8BWN8
10090.ENSMUSP00000042019	Q6Q2Z6
10090.ENSMUSP00000056131	Q32Q92
10090.ENSMUSP00000099383	P58137
10090.ENSMUSP00000026324	Q9R0X4
10090.ENSMUSP00000063325	Q9R0H0
10090.ENSMUSP00000022271	Q9QXD1
10090.ENSMUSP00000063412	Q9EPL9
10090.ENSMUSP00000028859	Q9DBS4
10090.ENSMUSP00000033157	Q9CR21
10090.ENSMUSP00000085632	Q3V140
10090.ENSMUSP00000023295	P23578
10090.ENSMUSP00000028944	Q99NB1
10090.ENSMUSP00000029135	Q9QXG4
10090.ENSMUSP00000099453	Q8VCW8
10090.ENSMUSP00000015160	Q3URE1
10090.ENSMUSP00000069279	Q80WC9
10090.ENSMUSP00000034046	P41216
10090.ENSMUSP00000045291	Q9CZW4
10090.ENSMUSP00000033634	Q9QUJ7
10090.ENSMUSP00000046585	Q8JZR0
10090.ENSMUSP00000104532	Q91WC3
10090.ENSMUSP00000036140	Q91VA0
10090.ENSMUSP00000095690	Q8K0L3
10090.ENSMUSP00000068803	Q3UNX5
10090.ENSMUSP00000045160	Q80W40
10090.ENSMUSP00000063416	Q8BGA8
10090.ENSMUSP00000128209	Q14DH7
10090.ENSMUSP00000048218	P62737
10090.ENSMUSP00000052086	Q8BFZ3
10090.ENSMUSP00000098066	P60710
10090.ENSMUSP00000087736	P68033
10090.ENSMUSP00000071486	P63260
10090.ENSMUSP00000058691	Q64326
10090.ENSMUSP00000074658	P63268
10090.ENSMUSP00000134564	Q8CG27
10090.ENSMUSP00000021554	Q7TPR4
10090.ENSMUSP00000067708	Q9JI91
10090.ENSMUSP00000006626	O88990
10090.ENSMUSP00000066068	P57780
10090.ENSMUSP00000034453	P68134
10090.ENSMUSP00000062570	Q9D9J3
10090.ENSMUSP00000050377	Q9D9L5
10090.ENSMUSP00000048360	Q8BXF8
10090.ENSMUSP00000047326	Q8R5C5
10090.ENSMUSP00000039844	P61164
10090.ENSMUSP00000000544	Q61271
10090.ENSMUSP00000028178	Q8K348
10090.ENSMUSP00000000542	Q61288
10090.ENSMUSP00000056784	P37172
10090.ENSMUSP00000024031	Q99JW2
10090.ENSMUSP00000021119	Q8R3P0
10090.ENSMUSP00000050056	Q91XE4
10090.ENSMUSP00000008966	P56376
10090.ENSMUSP00000074195	P56375
10090.ENSMUSP00000058256	Q9R158
10090.ENSMUSP00000063839	O35598
10090.ENSMUSP00000069466	Q9R1V4
10090.ENSMUSP00000065213	Q61824
10090.ENSMUSP00000029676	O88839
10090.ENSMUSP00000067953	Q9Z0F8
10090.ENSMUSP00000033957	Q9R157
10090.ENSMUSP00000011400	O35674
10090.ENSMUSP00000053703	P97718
10090.ENSMUSP00000070200	P97717
10090.ENSMUSP00000008582	Q9JI76
10090.ENSMUSP00000055000	Q9R1V6
10090.ENSMUSP00000109738	Q9R1V7
10090.ENSMUSP00000050727	Q9R160
10090.ENSMUSP00000094420	Q9R159
10090.ENSMUSP00000022642	Q9JLN6
10090.ENSMUSP00000054292	Q811Q4
10090.ENSMUSP00000036203	Q01338
10090.ENSMUSP00000071798	P30545
10090.ENSMUSP00000059705	Q01337
10090.ENSMUSP00000113627	Q8K410
10090.ENSMUSP00000105861	Q923W9
10090.ENSMUSP00000115260	Q5SUE7
10090.ENSMUSP00000095964	Q9D5P4
10090.ENSMUSP00000067133	Q80SY6
10090.ENSMUSP00000022618	Q60718
10090.ENSMUSP00000112422	Q3TTE0
10090.ENSMUSP00000022640	O35227
10090.ENSMUSP00000101684	Q05910
10090.ENSMUSP00000081048	Q61072
10090.ENSMUSP00000021050	Q8R2V5
10090.ENSMUSP00000041967	Q8C0I1
10090.ENSMUSP00000034427	Q9JHI2
10090.ENSMUSP00000019944	Q6P6J0
10090.ENSMUSP00000040551	Q6PAT0
10090.ENSMUSP00000017841	P03958
10090.ENSMUSP00000098724	Q9D0L4
10090.ENSMUSP00000123563	Q6NSR3
10090.ENSMUSP00000027766	Q60936
10090.ENSMUSP00000003860	Q566J8
10090.ENSMUSP00000125055	Q80V03
10090.ENSMUSP00000101375	A2A7Z8
10090.ENSMUSP00000030328	Q8BM81
10090.ENSMUSP00000020706	O88444
10090.ENSMUSP00000022013	Q80TL1
10090.ENSMUSP00000020984	Q8VHH7
10090.ENSMUSP00000002398	Q91WF3
10090.ENSMUSP00000110563	P84309
10090.ENSMUSP00000093939	Q01341
10090.ENSMUSP00000096122	P51829
10090.ENSMUSP00000023007	P97490
10090.ENSMUSP00000005719	P51830
10090.ENSMUSP00000027852	Q8C0T9
10090.ENSMUSP00000109979	Q9QYC0
10090.ENSMUSP00000032069	Q9QYB8
10090.ENSMUSP00000025999	Q9QYB5
10090.ENSMUSP00000022641	Q9R0X2
10090.ENSMUSP00000136386	G3UZ78
10090.ENSMUSP00000004232	P00329
10090.ENSMUSP00000013458	Q9QYY9
10090.ENSMUSP00000087633	Q64437
10090.ENSMUSP00000005964	P28474
10090.ENSMUSP00000051732	Q8R400
10090.ENSMUSP00000024338	Q8R2Z0
10090.ENSMUSP00000023593	Q60994
10090.ENSMUSP00000101759	Q8VC66
10090.ENSMUSP00000047665	P55264
10090.ENSMUSP00000098320	Q60813
10090.ENSMUSP00000078343	Q8R534
10090.ENSMUSP00000064761	Q7TNK8
10090.ENSMUSP00000033054	P97297
10090.ENSMUSP00000068560	Q8CHC8
10090.ENSMUSP00000056809	Q9Z103
10090.ENSMUSP00000026266	Q8VDL4
10090.ENSMUSP00000053971	Q9CQF6
10090.ENSMUSP00000002923	P54923
10090.ENSMUSP00000112064	Q99KS6
10090.ENSMUSP00000027727	Q91VH1
10090.ENSMUSP00000032272	Q8BQS5
10090.ENSMUSP00000040847	P34971
10090.ENSMUSP00000062256	P18762
10090.ENSMUSP00000080162	P25962
10090.ENSMUSP00000050076	Q9JKV1
10090.ENSMUSP00000021078	Q61578
10090.ENSMUSP00000002640	Q60604
10090.ENSMUSP00000034049	P48962
10090.ENSMUSP00000016463	P51881
10090.ENSMUSP00000088723	Q3V132
10090.ENSMUSP00000071899	Q8C138
10090.ENSMUSP00000010348	Q9CPW2
10090.ENSMUSP00000034552	P46656
10090.ENSMUSP00000099987	Q640N1
10090.ENSMUSP00000084896	Q9Z248
10090.ENSMUSP00000075107	Q6PDY2
10090.ENSMUSP00000092735	A2AJA7
10090.ENSMUSP00000103046	Q9CZI9
10090.ENSMUSP00000002518	P63002
10090.ENSMUSP00000028076	O54826
10090.ENSMUSP00000113286	Q8BZI0
10090.ENSMUSP00000107210	Q5DTU0
10090.ENSMUSP00000066448	P97783
10090.ENSMUSP00000077232	A2AM29
10090.ENSMUSP00000118318	Q9QZQ1
10090.ENSMUSP00000108804	O89020
10090.ENSMUSP00000067779	Q80YS6
10090.ENSMUSP00000031256	O88573
10090.ENSMUSP00000033532	O55112
10090.ENSMUSP00000044128	P51827
10090.ENSMUSP00000051479	Q9ESC8
10090.ENSMUSP00000001520	Q920A7
10090.ENSMUSP00000025408	Q8JZQ2
10090.ENSMUSP00000036778	Q80WT5
10090.ENSMUSP00000097882	Q3UGP8
10090.ENSMUSP00000033621	P51569
10090.ENSMUSP00000027521	Q8BXK8
10090.ENSMUSP00000043466	Q3UHD9
10090.ENSMUSP00000024123	Q8VHH5
10090.ENSMUSP00000070250	Q8K2K6
10090.ENSMUSP00000031736	Q80WC7
10090.ENSMUSP00000022189	Q7TN31
10090.ENSMUSP00000031977	Q9ESW4
10090.ENSMUSP00000070871	Q9CYR6
10090.ENSMUSP00000095498	Q8CJG1
10090.ENSMUSP00000042207	Q8CJG0
10090.ENSMUSP00000066633	Q8CJF9
10090.ENSMUSP00000081312	Q8CJF8
10090.ENSMUSP00000020898	O88312
10090.ENSMUSP00000049212	Q8R3W7
10090.ENSMUSP00000137931	A2ASQ1
10090.ENSMUSP00000005849	P56473
10090.ENSMUSP00000086592	P35374
10090.ENSMUSP00000070958	P29754
10090.ENSMUSP00000068298	P29755
10090.ENSMUSP00000047113	Q6PAL7
10090.ENSMUSP00000101164	Q8K3E5
10090.ENSMUSP00000022059	Q3U1U7
10090.ENSMUSP00000112137	P30561
10090.ENSMUSP00000021425	Q8BK64
10090.ENSMUSP00000020529	Q8N9S3
10090.ENSMUSP00000040524	Q9WVE0
10090.ENSMUSP00000104795	Q8C4Q6
10090.ENSMUSP00000001920	Q9EQX4
10090.ENSMUSP00000025257	O70200
10090.ENSMUSP00000041104	Q9Z0X1
10090.ENSMUSP00000078998	Q8BUE4
10090.ENSMUSP00000023448	Q3TY86
10090.ENSMUSP00000019942	Q9D8B1
10090.ENSMUSP00000119465	Q91VJ1
10090.ENSMUSP00000029663	P31230
10090.ENSMUSP00000031613	Q8R010
10090.ENSMUSP00000041347	P46660
10090.ENSMUSP00000036279	Q924K1
10090.ENSMUSP00000025767	O08915
10090.ENSMUSP00000114904	Q9Z0E3
10090.ENSMUSP00000101271	A2ALI5
10090.ENSMUSP00000056977	Q91XC0
10090.ENSMUSP00000052042	A2A3V1
10090.ENSMUSP00000030455	Q9JII6
10090.ENSMUSP00000021634	Q8VC28
10090.ENSMUSP00000021628	Q91WR5
10090.ENSMUSP00000048830	Q8VCX1
10090.ENSMUSP00000099710	O88845
10090.ENSMUSP00000035829	Q9WTQ5
10090.ENSMUSP00000043624	O55074
10090.ENSMUSP00000043624	Q7TN79
10090.ENSMUSP00000018572	O08715
10090.ENSMUSP00000117466	O54931
10090.ENSMUSP00000093091	O88987
10090.ENSMUSP00000050962	Q60662
10090.ENSMUSP00000114495	D3YVF0
10090.ENSMUSP00000002699	Q9DBR0
10090.ENSMUSP00000046129	Q70FJ1
10090.ENSMUSP00000021635	Q8K023
10090.ENSMUSP00000089459	Q9DCT1
10090.ENSMUSP00000040946	Q6ZPS6
10090.ENSMUSP00000033335	Q9JJR5
10090.ENSMUSP00000081114	Q9DCJ7
10090.ENSMUSP00000099696	Q99LF1
10090.ENSMUSP00000081322	B1AXD8
10090.ENSMUSP00000041614	Q80VW7
10090.ENSMUSP00000051389	Q9R0L7
10090.ENSMUSP00000001780	P31750
10090.ENSMUSP00000052103	Q60823
10090.ENSMUSP00000106789	Q9WUA6
10090.ENSMUSP00000105238	Q64362
10090.ENSMUSP00000049764	Q9D1F4
10090.ENSMUSP00000028536	Q8BIX3
10090.ENSMUSP00000084918	P24549
10090.ENSMUSP00000034723	Q62148
10090.ENSMUSP00000015278	Q9JHW9
10090.ENSMUSP00000025656	O35945
10090.ENSMUSP00000041260	Q9CZS1
10090.ENSMUSP00000032175	Q8R0Y6
10090.ENSMUSP00000020497	Q8K009
10090.ENSMUSP00000081989	Q60I26
10090.ENSMUSP00000062497	Q8BVM7
10090.ENSMUSP00000019246	P47739
10090.ENSMUSP00000073764	P47740
10090.ENSMUSP00000056276	Q80VQ0
10090.ENSMUSP00000043821	Q8CHT0
10090.ENSMUSP00000071130	P30355
10090.ENSMUSP00000065089	Q9DBF1
10090.ENSMUSP00000038878	Q8BH00
10090.ENSMUSP00000028004	Q9JLJ2
10090.ENSMUSP00000023203	Q8QZR5
10090.ENSMUSP00000034136	Q8BGT5
10090.ENSMUSP00000031314	P07724
10090.ENSMUSP00000007449	P21300
10090.ENSMUSP00000040244	P45377
10090.ENSMUSP00000031411	P47738
10090.ENSMUSP00000084846	P05064
10090.ENSMUSP00000029987	Q91Y97
10090.ENSMUSP00000017534	P05063
10090.ENSMUSP00000100045	P45376
10090.ENSMUSP00000072382	Q3TZM9
10090.ENSMUSP00000123935	Q8VDB2
10090.ENSMUSP00000038387	Q9D081
10090.ENSMUSP00000097770	Q921Q3
10090.ENSMUSP00000043580	Q9DBE8
10090.ENSMUSP00000045272	Q8K2A8
10090.ENSMUSP00000035879	Q9DB25
10090.ENSMUSP00000095574	Q3TAE8
10090.ENSMUSP00000095901	Q6P8H8
10090.ENSMUSP00000034561	Q8VDI9
10090.ENSMUSP00000124565	P0CB42
10090.ENSMUSP00000056043	Q6P6J4
10090.ENSMUSP00000038721	Q8K1E6
10090.ENSMUSP00000098134	Q9D8F1
10090.ENSMUSP00000049116	Q3TSG4
10090.ENSMUSP00000051515	Q8K2U2
10090.ENSMUSP00000002737	Q9D6Z0
10090.ENSMUSP00000061511	Q80Y20
10090.ENSMUSP00000051441	Q8BS35
10090.ENSMUSP00000083840	P97793
10090.ENSMUSP00000020965	Q9JHX6
10090.ENSMUSP00000071904	Q8K4E0
10090.ENSMUSP00000021262	O35936
10090.ENSMUSP00000029662	Q9CXB8
10090.ENSMUSP00000048752	Q91ZB0
10090.ENSMUSP00000102971	Q924C5
10090.ENSMUSP00000080242	Q9JJW6
10090.ENSMUSP00000049186	P56213
10090.ENSMUSP00000027178	Q920R0
10090.ENSMUSP00000060169	P70389
10090.ENSMUSP00000042512	Q8C8B0
10090.ENSMUSP00000014747	O70137
10090.ENSMUSP00000047962	O35137
10090.ENSMUSP00000066915	O09174
10090.ENSMUSP00000031226	O55189
10090.ENSMUSP00000030041	Q07456
10090.ENSMUSP00000095228	P97467
10090.ENSMUSP00000109502	Q7TS75
10090.ENSMUSP00000022561	Q8CCJ4
10090.ENSMUSP00000054748	Q6NS69
10090.ENSMUSP00000111475	Q8JZZ6
10090.ENSMUSP00000052258	Q9R049
10090.ENSMUSP00000061244	Q80ZD8
10090.ENSMUSP00000059913	Q80ZD9
10090.ENSMUSP00000082137	Q8C2S7
10090.ENSMUSP00000023809	Q8K592
10090.ENSMUSP00000036085	Q9JHT5
10090.ENSMUSP00000021707	Q99JB7
10090.ENSMUSP00000013220	Q9D4H4
10090.ENSMUSP00000035121	Q8K371
10090.ENSMUSP00000108455	Q8VHG2
10090.ENSMUSP00000076564	Q8VCT3
10090.ENSMUSP00000088217	Q3V1D3
10090.ENSMUSP00000099697	Q9DBT5
10090.ENSMUSP00000005829	O08739
10090.ENSMUSP00000029658	P16406
10090.ENSMUSP00000003345	Q7TQF7
10090.ENSMUSP00000040222	Q9CPY7
10090.ENSMUSP00000035943	P97449
10090.ENSMUSP00000089148	Q8BXQ6
10090.ENSMUSP00000025358	Q2KHK3
10090.ENSMUSP00000049258	A2AH22
10090.ENSMUSP00000030986	P55302
10090.ENSMUSP00000073081	Q9D3J8
10090.ENSMUSP00000070368	P00687
10090.ENSMUSP00000137025	P00688
10090.ENSMUSP00000053110	Q8BVF9
10090.ENSMUSP00000090157	Q400C8
10090.ENSMUSP00000099638	Q80UP5
10090.ENSMUSP00000090568	Q5F259
10090.ENSMUSP00000038662	Q3UX43
10090.ENSMUSP00000053783	Q6PD24
10090.ENSMUSP00000082652	O35381
10090.ENSMUSP00000099990	Q9EST5
10090.ENSMUSP00000082652	Q64G17
10090.ENSMUSP00000128483	P97822
10090.ENSMUSP00000118984	Q3U0L2
10090.ENSMUSP00000054330	Q3UUF8
10090.ENSMUSP00000056787	Q8BLB8
10090.ENSMUSP00000028341	Q8BZQ7
10090.ENSMUSP00000087636	Q9DAZ9
10090.ENSMUSP00000052648	P19091
10090.ENSMUSP00000099521	P40753
10090.ENSMUSP00000027449	Q61839
10090.ENSMUSP00000118751	Q810B6
10090.ENSMUSP00000099520	P05125
10090.ENSMUSP00000062902	Q64438
10090.ENSMUSP00000073525	Q3TMQ6
10090.ENSMUSP00000021682	Q8VCU0
10090.ENSMUSP00000064556	Q8K1C0
10090.ENSMUSP00000067434	P21570
10090.ENSMUSP00000027885	Q640P2
10090.ENSMUSP00000004208	Q9R045
10090.ENSMUSP00000030280	Q9R182
10090.ENSMUSP00000002360	Q9Z1P8
10090.ENSMUSP00000035784	Q8R0Z6
10090.ENSMUSP00000030840	Q8R1Q3
10090.ENSMUSP00000022921	O08538
10090.ENSMUSP00000033846	O35608
10090.ENSMUSP00000028955	Q9WVH6
10090.ENSMUSP00000066488	P11859
10090.ENSMUSP00000113571	Q02357
10090.ENSMUSP00000090090	G5E8K5
10090.ENSMUSP00000054056	A2RT91
10090.ENSMUSP00000028726	Q9D2J7
10090.ENSMUSP00000022875	Q9JHZ2
10090.ENSMUSP00000034792	Q8BZ25
10090.ENSMUSP00000031474	Q6P1H6
10090.ENSMUSP00000025718	Q9CR42
10090.ENSMUSP00000026172	Q9WV06
10090.ENSMUSP00000041300	Q69ZU8
10090.ENSMUSP00000111054	Q9D504
10090.ENSMUSP00000048823	Q8BH83
10090.ENSMUSP00000023157	Q9CZK6
10090.ENSMUSP00000081665	Q6GQX6
10090.ENSMUSP00000096689	Q3UUE9
10090.ENSMUSP00000039484	Q3TPE9
10090.ENSMUSP00000136163	Q80UU1
10090.ENSMUSP00000045873	Q8K298
10090.ENSMUSP00000103474	Q9JIF0
10090.ENSMUSP00000020452	Q9R144
10090.ENSMUSP00000032715	Q922H1
10090.ENSMUSP00000023873	Q8CIG8
10090.ENSMUSP00000102177	Q6NZB1
10090.ENSMUSP00000071521	Q922X9
10090.ENSMUSP00000032500	Q6PAK3
10090.ENSMUSP00000050181	Q3U3W5
10090.ENSMUSP00000108622	Q8C0W1
10090.ENSMUSP00000045214	Q8BH79
