5061.CADANGAP00000030	P42254
5061.CADANGAP00007488	J7G0I4
5061.CADANGAP00006514	D3GAQ6
5061.CADANGAP00000070	F5CI28
5061.CADANGAP00006514	M4WHP2
5061.CADANGAP00004317	A0A088CMI3
5061.CADANGAP00004317	A0A0A7NS50
5061.CADANGAP00006514	C9WS95
5061.CADANGAP00006514	C9WS84
5061.CADANGAP00004317	B3FDF8
5061.CADANGAP00006514	E5RTD4
5061.CADANGAP00010928	Q5DR86
5061.CADANGAP00006514	A0MGK3
5061.CADANGAP00013734	I1Z9C3
5061.CADANGAP00006514	A0EXQ5
5061.CADANGAP00006514	A0A060BAS8
5061.CADANGAP00006889	E5RTC0
5061.CADANGAP00006514	C9WS76
5061.CADANGAP00008406	G4WW85
5061.CADANGAP00008406	G4WWA3
5061.CADANGAP00004317	D5HKT7
5061.CADANGAP00006889	E5RT77
5061.CADANGAP00008163	Q2I1B4
5061.CADANGAP00005876	F2VK37
5061.CADANGAP00013860	D7GAW2
5061.CADANGAP00007284	A1XRK3
5061.CADANGAP00003894	F2VK44
5061.CADANGAP00012735	D3GAZ2
5061.CADANGAP00004317	A0A060BJH5
5061.CADANGAP00012414	B8XPM3
5061.CADANGAP00009343	G0KVT3
5061.CADANGAP00006514	K4IVS3
5061.CADANGAP00004317	Q4GZK1
5061.CADANGAP00006514	Q32ZK4
5061.CADANGAP00006514	C1JGY1
5061.CADANGAP00006514	V5P8N1
5061.CADANGAP00007611	B8YIE6
5061.CADANGAP00006514	U3Q4K6
5061.CADANGAP00000220	F2VK27
5061.CADANGAP00004317	I7B155
5061.CADANGAP00013464	F2VK18
5061.CADANGAP00013734	Q30BH9
5061.CADANGAP00013464	F2VK21
5061.CADANGAP00004317	E7BCM0
5061.CADANGAP00000220	F2VK25
5061.CADANGAP00003574	F1DHX7
5061.CADANGAP00003894	F2VK42
5061.CADANGAP00003894	F2VK40
5061.CADANGAP00013464	F2VK23
5061.CADANGAP00006514	F2VJZ8
5061.CADANGAP00006514	A0A023SE18
5061.CADANGAP00010994	O74705
5061.CADANGAP00005992	Q2L887
5061.CADANGAP00010127	Q5EC68
5061.CADANGAP00011153	I2DCM9
5061.CADANGAP00012231	F4YRN2
5061.CADANGAP00004308	A0PCH8
5061.CADANGAP00009343	B3FD61
5061.CADANGAP00006514	C8CB17
5061.CADANGAP00011200	G3MES6
5061.CADANGAP00009770	Q2L884
5061.CADANGAP00004317	D2KAK7
5061.CADANGAP00000070	Q9C1G6
5061.CADANGAP00009658	Q1JTV6
5061.CADANGAP00012918	A0A0B4UL66
5061.CADANGAP00004785	D9ZKR5
5061.CADANGAP00006514	D3GAQ8
5061.CADANGAP00007984	Q68CM8
5061.CADANGAP00003574	A0A0A1E2J8
5061.CADANGAP00006514	D3GAQ7
5061.CADANGAP00004785	B6V876
5061.CADANGAP00008887	G3KLH6
5061.CADANGAP00011907	U6C3R6
5061.CADANGAP00011453	U6C0R0
5061.CADANGAP00000070	I3QKR9
5061.CADANGAP00009988	B3RFW0
5061.CADANGAP00011453	I3QKR8
5061.CADANGAP00000664	A0A097GWY8
5061.CADANGAP00009988	Q6UNZ8
5061.CADANGAP00010509	Q6ED33
5061.CADANGAP00008175	H6VNN8
5061.CADANGAP00004785	G5CJA5
5061.CADANGAP00001948	A0A097HUV7
5061.CADANGAP00013544	U4MZ33
5061.CADANGAP00012161	A0A0A0Y6X2
5061.CADANGAP00008390	Q874Q3
5061.CADANGAP00000666	A0A097GWY5
5061.CADANGAP00006293	Q9UVJ7
5061.CADANGAP00003719	B6V7E4
5061.CADANGAP00001399	U6C393
5061.CADANGAP00011453	E3UN71
5061.CADANGAP00000667	A0A097GWZ2
5061.CADANGAP00000070	Q9HGU0
5061.CADANGAP00000898	Q2L888
5061.CADANGAP00004785	H2E6Y8
5061.CADANGAP00008175	A0A097F1T4
5061.CADANGAP00001027	Q45U61
5061.CADANGAP00011453	C0LZ11
5061.CADANGAP00000070	U6C0N2
5061.CADANGAP00002891	O93964
5061.CADANGAP00005983	O94184
5061.CADANGAP00006514	A0A0B5E2M1
5061.CADANGAP00001883	P87077
5061.CADANGAP00002897	Q9P8N3
5061.CADANGAP00008496	B5AMY9
5061.CADANGAP00013734	K7WQK7
5061.CADANGAP00004161	Q4LEL1
5061.CADANGAP00013555	Q5DVM4
5061.CADANGAP00006780	Q5DR89
5061.CADANGAP00012414	B8XPM5
5061.CADANGAP00007287	K4K2F9
5061.CADANGAP00008517	A8W8Z4
5061.CADANGAP00012414	B8XPM4
5061.CADANGAP00013734	B7U4V8
5061.CADANGAP00000853	Q5RL91
5061.CADANGAP00000967	A0A023J5W7
5061.CADANGAP00006850	Q874Q5
5061.CADANGAP00001413	A0A068CB13
5061.CADANGAP00007284	A1X812
5061.CADANGAP00011557	D3GAV5
5061.CADANGAP00009366	A0A088Q0I5
5061.CADANGAP00000637	R9W5L0
5061.CADANGAP00009963	U5XHW7
5061.CADANGAP00009963	U5XIM2
5061.CADANGAP00012419	Q0PW44
5061.CADANGAP00002298	Q9C455
5061.CADANGAP00000016	Q6W8X2
5061.CADANGAP00007253	Q3MSU5
5061.CADANGAP00007494	Q3MSU4
5061.CADANGAP00010938	Q3MSB9
5061.CADANGAP00014082	G3F4G8
5061.CADANGAP00001619	T1RQH4
5061.CADANGAP00003968	E3UHI1
5061.CADANGAP00007978	B5AFM4
5061.CADANGAP00007249	Q5DR87
5061.CADANGAP00001127	E3V047
5061.CADANGAP00008164	Q1ZYK6
5061.CADANGAP00007611	Q0PW43
5061.CADANGAP00013860	D7GAW3
5061.CADANGAP00004106	Q537X1
5061.CADANGAP00003574	Q8TG09
5061.CADANGAP00003968	A0JJX7
5061.CADANGAP00003968	E3UHI3
5061.CADANGAP00011512	Q49LQ8
5061.CADANGAP00000967	A0A060IKI3
5061.CADANGAP00013734	B6V747
5061.CADANGAP00008517	F1C3F8
5061.CADANGAP00003908	Q8J219
5061.CADANGAP00012211	Q2L886
5061.CADANGAP00005994	Q1ZZ47
5061.CADANGAP00001413	Q0Z8S2
5061.CADANGAP00005552	Q3MSV1
5061.CADANGAP00012448	A0ES88
5061.CADANGAP00006514	A0A060BJJ9
5061.CADANGAP00001782	Q5GHR7
5061.CADANGAP00011488	Q0ZR36
5061.CADANGAP00001227	G9JY17
5061.CADANGAP00010926	A0A075TJ05
5061.CADANGAP00008891	G3KLH2
5061.CADANGAP00003765	A1YWA7
5061.CADANGAP00005996	Q1ZZ46
5061.CADANGAP00007287	Q0ZR37
5061.CADANGAP00002298	Q9P8J8
5061.CADANGAP00002179	Q9P8K0
5061.CADANGAP00003042	A0A060IP77
5061.CADANGAP00008496	U6C191
5061.CADANGAP00009963	U5XHL2
5061.CADANGAP00010127	Q1KTB5
5061.CADANGAP00000665	A0A097GX11
5061.CADANGAP00012027	A0A068JBT9
5061.CADANGAP00000660	A0A097GX17
5061.CADANGAP00006514	C9WS94
5061.CADANGAP00011725	A4ZIT3
5061.CADANGAP00009963	U5XL03
5061.CADANGAP00003574	Q6DNH5
5061.CADANGAP00003968	G8GYH6
5061.CADANGAP00009509	Q5GHR8
5061.CADANGAP00007551	Q96X06
5061.CADANGAP00006514	A0A060BK35
5061.CADANGAP00002671	Q49LQ7
5061.CADANGAP00008162	I4DEZ1
5061.CADANGAP00013734	Q0PHW1
5061.CADANGAP00003040	A0A060IU57
5061.CADANGAP00012030	A9YBX9
5061.CADANGAP00001413	C5J0H1
5061.CADANGAP00005142	Q0ZR35
5061.CADANGAP00000663	A0A097GWY4
5061.CADANGAP00012768	Q874Q4
5061.CADANGAP00000010	Q6ZYP7
5061.CADANGAP00013555	Q5F4N6
5061.CADANGAP00013734	A0A075EKG1
5061.CADANGAP00001173	T1SCG0
5061.CADANGAP00011200	G3MES7
5061.CADANGAP00012220	Q5GHR9
5061.CADANGAP00004317	U3MIY7
5061.CADANGAP00011512	H2D5U0
5061.CADANGAP00004014	Q96VT6
5061.CADANGAP00010418	Q58FL9
5061.CADANGAP00003576	A3F715
5061.CADANGAP00008444	Q3MU67
5061.CADANGAP00003968	A1XRK2
5061.CADANGAP00009589	A1YWA6
5061.CADANGAP00008062	A0A060IV82
5061.CADANGAP00011557	D3GAV4
5061.CADANGAP00003968	I2DBZ3
5061.CADANGAP00012918	T2D2W8
5061.CADANGAP00011753	Q2L885
5061.CADANGAP00001210	Q537X0
5061.CADANGAP00000659	A0A097GWZ3
5061.CADANGAP00005495	Q2L883
5061.CADANGAP00008073	Q9HET3
5061.CADANGAP00004923	G5D7B5
5061.CADANGAP00008850	Q6A595
5061.CADANGAP00012715	T1RQG9
5061.CADANGAP00008062	T1SGS1
5061.CADANGAP00003968	Q2MKJ5
5061.CADANGAP00004317	A0A089QE61
5061.CADANGAP00000826	Q9UUZ5
5061.CADANGAP00005991	Q1ZZ50
5061.CADANGAP00005268	Q1ZZM4
5061.CADANGAP00007046	Q8X1U4
5061.CADANGAP00012254	Q3MSB2
5061.CADANGAP00006514	K4G7P8
5061.CADANGAP00013734	A0A076V327
5061.CADANGAP00001173	B6HYI9
5061.CADANGAP00007091	Q9C1C9
5061.CADANGAP00009963	U5XHX1
5061.CADANGAP00006514	V5P6G8
5061.CADANGAP00006514	E9ABG8
5061.CADANGAP00003968	Q5XNQ8
5061.CADANGAP00000581	Q9HET5
5061.CADANGAP00000815	Q8WZI9
5061.CADANGAP00013860	A0A068BFT7
5061.CADANGAP00004317	A0A076JF37
5061.CADANGAP00004603	Q5GHS0
5061.CADANGAP00011517	Q58FL5
5061.CADANGAP00001413	B2CNX8
5061.CADANGAP00009358	Q3MSV0
5061.CADANGAP00003574	Q870G8
5061.CADANGAP00001810	Q8J0U9
5061.CADANGAP00008074	Q96UQ4
5061.CADANGAP00000661	A0A097GWY9
5061.CADANGAP00000656	A0A097GWZ4
5061.CADANGAP00006889	E5RTA3
5061.CADANGAP00003968	Q6GYA8
5061.CADANGAP00013860	A0A068BC89
5061.CADANGAP00007686	Q8J0U8
5061.CADANGAP00000661	E0WEQ9
5061.CADANGAP00011557	D3GAV2
5061.CADANGAP00013734	C9E8N1
5061.CADANGAP00008053	Q96UQ3
5061.CADANGAP00011648	M1V8R3
5061.CADANGAP00006514	A0A060BE67
5061.CADANGAP00005268	Q1ZZM2
5061.CADANGAP00010994	D3YNY2
5061.CADANGAP00010616	G8IHC1
5061.CADANGAP00010722	Q9HET4
5061.CADANGAP00000508	Q3MSC2
5061.CADANGAP00003968	E3UHI6
5061.CADANGAP00011820	Q7Z8M1
5061.CADANGAP00005558	Q5DR88
5061.CADANGAP00011115	Q8J0V0
5061.CADANGAP00006514	E9MWH6
5061.CADANGAP00011939	Q96UP4
5061.CADANGAP00003968	E3UHI2
5061.CADANGAP00013734	C7C4Z9
5061.CADANGAP00000119	Q3MSC1
5061.CADANGAP00004603	Q5DQ84
5061.CADANGAP00003968	H9C6G1
5061.CADANGAP00008888	G3KLH5
5061.CADANGAP00000033	A1YWA5
5061.CADANGAP00002175	Q00070
5061.CADANGAP00000765	Q00093
5061.CADANGAP00001413	Q5Q041
5061.CADANGAP00008646	Q96VT2
5061.CADANGAP00008890	G3KLH3
5061.CADANGAP00008504	Q874R2
5061.CADANGAP00002931	Q5U9X2
5061.CADANGAP00011557	D3GAV3
5061.CADANGAP00008654	Q54AC8
5061.CADANGAP00005495	Q3KZ41
5061.CADANGAP00003968	Q6T9Z6
5061.CADANGAP00013238	Q58FL2
5061.CADANGAP00011656	Q58FL8
5061.CADANGAP00006514	E9ABG7
5061.CADANGAP00014053	Q5YBF4
5061.CADANGAP00002686	Q5F4N9
5061.CADANGAP00006514	A0A023SE23
5061.CADANGAP00006514	A0A023SEY8
5061.CADANGAP00000923	Q5DR90
5061.CADANGAP00001413	Q0PGS3
5061.CADANGAP00006514	K4PNU7
5061.CADANGAP00006514	A0A023SGN0
5061.CADANGAP00012715	T1RPZ7
5061.CADANGAP00003968	E3UHI5
5061.CADANGAP00002874	W8R465
5061.CADANGAP00006514	C9WS83
5061.CADANGAP00008504	A0A068FCL2
5061.CADANGAP00004108	Q58FL1
5061.CADANGAP00000657	A0A097GX03
5061.CADANGAP00013734	B0YIR9
5061.CADANGAP00000247	Q86ZV5
5061.CADANGAP00004269	Q3MSB8
5061.CADANGAP00004529	B3RFW1
5061.CADANGAP00009144	Q5DR84
5061.CADANGAP00000661	E0WER2
5061.CADANGAP00011648	A0A077EZA1
5061.CADANGAP00007252	Q3MSU6
5061.CADANGAP00001413	M4VR58
5061.CADANGAP00008062	F5BBE8
5061.CADANGAP00004317	I6XIH5
5061.CADANGAP00001413	I6VCW8
5061.CADANGAP00005993	Q1ZZ48
5061.CADANGAP00003968	I2DBZ4
5061.CADANGAP00004317	M4Q927
5061.CADANGAP00008504	Q8X217
5061.CADANGAP00004317	W8FXC2
5061.CADANGAP00006514	A0A023SE27
5061.CADANGAP00009343	A0A0A1GNY8
5061.CADANGAP00006514	M1NQM5
5061.CADANGAP00010994	D3YC02
5061.CADANGAP00004769	A0A068JD34
5061.CADANGAP00003968	Q9UUZ7
5061.CADANGAP00003968	E3UHI4
5061.CADANGAP00009771	Q1ZYK4
5061.CADANGAP00001113	C6KLC9
5061.CADANGAP00001780	Q8TGX0
5061.CADANGAP00013734	A8WE01
5061.CADANGAP00003968	O93838
5061.CADANGAP00010496	Q00079
5061.CADANGAP00002970	G3F4G7
5061.CADANGAP00009976	Q8J0V1
5061.CADANGAP00001127	F6KST3
5061.CADANGAP00010061	Q6S3E2
5061.CADANGAP00014082	G3F4H1
5061.CADANGAP00011654	Q58FL7
5061.CADANGAP00008889	G3KLH4
5061.CADANGAP00011107	Q6UNZ9
5061.CADANGAP00007609	Q96VT8
5061.CADANGAP00004449	Q2VSG4
5061.CADANGAP00006514	S4X795
5061.CADANGAP00001619	T1RQF0
5061.CADANGAP00012018	Q58FL3
5061.CADANGAP00011692	Q58FL4
5061.CADANGAP00003761	Q3MSU8
5061.CADANGAP00004308	A0A0A1E2X6
5061.CADANGAP00005982	A4ZVM9
5061.CADANGAP00001023	Q3KZ42
5061.CADANGAP00013142	Q6A596
5061.CADANGAP00004193	G3XCN7
5061.CADANGAP00007773	Q00206
5061.CADANGAP00008062	Q9P8D6
5061.CADANGAP00006889	E5RTA5
5061.CADANGAP00011153	G3F4G9
5061.CADANGAP00002873	Q5DR85
5061.CADANGAP00001413	E3VW38
5061.CADANGAP00003574	E3VX23
5061.CADANGAP00008322	Q3MSC0
5061.CADANGAP00008162	Q1ZYK8
5061.CADANGAP00003968	B3VPB3
5061.CADANGAP00012073	A1YWA4
5061.CADANGAP00010167	A3F716
5061.CADANGAP00011788	Q0MVR6
5061.CADANGAP00006514	K4J8Q0
5061.CADANGAP00012419	A0A068FLM3
5061.CADANGAP00001413	Q9P8M8
5061.CADANGAP00011809	Q3MSU7
5061.CADANGAP00004307	Q9Y8A1
5061.CADANGAP00007761	Q3MSB5
5061.CADANGAP00013734	A0A075M391
5061.CADANGAP00000661	E0WEQ7
5061.CADANGAP00006514	C9WS78
5061.CADANGAP00012020	Q078W8
5061.CADANGAP00003968	Q2XQS0
5061.CADANGAP00012448	Q1KTB6
5061.CADANGAP00001413	B2CNX9
5061.CADANGAP00000438	O93914
5061.CADANGAP00012419	Q0ZAX7
5061.CADANGAP00007405	A3F717
5061.CADANGAP00006680	Q3MSB4
5061.CADANGAP00003824	Q8X165
5061.CADANGAP00012564	U6C186
5061.CADANGAP00012992	Q3MSA8
5061.CADANGAP00008162	Q7Z986
5061.CADANGAP00000030	D6QST5
5061.CADANGAP00010261	Q3MSV4
5061.CADANGAP00003968	F4ZNF9
5061.CADANGAP00000661	E0WEQ8
5061.CADANGAP00003040	U6C0R7
5061.CADANGAP00000662	A0A097GWZ8
5061.CADANGAP00009772	Q1ZYK3
5061.CADANGAP00000175	Q8TFP1
5061.CADANGAP00006514	M9T682
5061.CADANGAP00006514	K4PB28
5061.CADANGAP00013734	C0M0K9
5061.CADANGAP00000658	A0A097GWZ0
5061.CADANGAP00007702	Q5GHR6
5061.CADANGAP00007287	V9SEC7
5061.CADANGAP00003574	I2BGA3
5061.CADANGAP00006187	Q9HET1
5061.CADANGAP00007284	A9XD02
5061.CADANGAP00008136	Q6UP00
5061.CADANGAP00001173	A1E372
5061.CADANGAP00004317	D8LUD4
5061.CADANGAP00013734	Q9P8F4
5061.CADANGAP00002224	A8DRH9
5061.CADANGAP00008496	I3QKS0
