3702.AT1G22300.1	P48347
3702.AT3G02360.1	Q9FWA3
3702.AT1G64190.1	Q9SH69
3702.AT5G41670.1	Q9FFR3
3702.AT1G13700.1	Q9LMX8
3702.AT3G49360.1	Q8LG70
3702.AT5G24420.1	Q8LEV7
3702.AT5G24410.1	Q9FIN1
3702.AT5G24400.1	Q84WW2
3702.AT2G21430.1	P43295
3702.AT5G07230.1	Q00762
3702.AT3G56900.1	Q8GWR1
3702.AT1G66120.1	Q9C8D4
3702.AT1G65890.1	Q9SS00
3702.AT3G16170.1	Q8H151
3702.AT4G14070.1	Q8W471
3702.AT3G23790.1	Q9LK39
3702.AT5G23050.1	F4KBF3
3702.AT1G20560.1	F4HUK6
3702.AT1G65880.1	Q9SS01
3702.AT2G17650.1	Q9SEY5
3702.AT1G77240.1	O80658
3702.AT5G16370.1	Q9FFE6
3702.AT5G16340.1	Q9FFE9
3702.AT1G75960.1	Q9LQS1
3702.AT2G37240.1	Q9ZUU2
3702.AT4G20070.1	O49434
3702.AT1G58360.1	Q42400
3702.AT5G09220.1	Q38967
3702.AT1G77380.1	Q39134
3702.AT5G63850.1	Q9FN04
3702.AT1G44100.1	Q8GUM3
3702.AT5G49630.1	P92934
3702.AT5G23810.1	Q9FF99
3702.AT1G10010.1	O80592
3702.AT1G13560.1	O82567
3702.AT3G25585.1	O82568
3702.AT4G33150.1	Q9SMZ4
3702.AT2G30970.1	P46643
3702.AT5G19550.1	P46645
3702.AT5G11520.1	P46644
3702.AT1G62800.2	P46646
3702.AT4G31990.3	P46248
3702.AT1G10680.1	Q9SGY1
3702.AT3G59140.1	Q9LYS2
3702.AT1G53270.1	Q9MAH4
3702.AT4G33460.1	Q8H1R4
3702.AT5G61690.1	Q9FKF2
3702.AT1G02520.1	Q9FWX7
3702.AT1G30420.1	Q9C8H1
3702.AT1G17840.1	Q8RXN0
3702.AT5G14100.1	Q8LEF6
3702.AT5G61700.1	Q9FLT8
3702.AT1G02530.1	Q9FWX8
3702.AT1G30410.1	Q9C8H0
3702.AT1G51500.1	Q9C8K2
3702.AT3G21580.1	Q944H2
3702.AT1G27940.1	Q9C7F8
3702.AT2G07680.1	Q9SKX0
3702.AT1G51460.1	Q9C8J8
3702.AT1G65410.1	Q9AT00
3702.AT1G28010.1	Q9C7F2
3702.AT3G62700.1	Q9LZJ5
3702.AT1G31770.1	Q9C6W5
3702.AT3G28345.1	Q9LHD1
3702.AT3G60970.1	Q7FB56
3702.AT3G21090.1	Q8RWI9
3702.AT3G28360.1	Q9LSJ8
3702.AT3G55090.1	Q9M2V7
3702.AT3G28380.1	Q9LSJ6
3702.AT3G55100.1	Q9M2V6
3702.AT1G67940.1	Q9C9W0
3702.AT3G28390.1	Q9LSJ5
3702.AT3G55110.1	Q9M2V5
3702.AT3G28860.1	Q9LJX0
3702.AT3G55130.1	Q9M3D6
3702.AT1G03905.1	Q3EDJ0
3702.AT2G41700.1	Q84M24
3702.AT2G36910.1	Q9ZR72
3702.AT1G30400.1	Q9C8G9
3702.AT4G39850.3	Q94FB9
3702.AT3G13640.1	Q9LID6
3702.AT5G60790.1	Q9FJH6
3702.AT2G39350.1	O80946
3702.AT1G63270.1	Q9C8T1
3702.AT3G55320.1	Q9M3B9
3702.AT3G53510.1	Q9LFG8
3702.AT3G62150.1	Q9M1Q9
3702.AT3G25620.2	Q7XA72
3702.AT5G44110.1	Q9XF19
3702.AT3G28415.1	Q9LSJ2
3702.AT5G06530.1	Q93YS4
3702.AT4G28630.1	Q9FUT3
3702.AT5G19410.1	Q3E9B8
3702.AT4G28620.1	Q9M0G9
3702.AT1G53390.1	Q9MAG3
3702.AT5G58270.1	Q9LVM1
3702.AT1G71960.1	Q84TH5
3702.AT1G70610.1	Q8RY46
3702.AT3G13220.1	Q9LK50
3702.AT5G39040.1	Q0WML0
3702.AT3G52310.1	Q9FT51
3702.AT4G25450.1	Q8LPQ6
3702.AT5G60740.1	Q9FF46
3702.AT5G03910.1	Q9LZB8
3702.AT3G16340.1	Q94A18
3702.AT3G47730.1	Q84K47
3702.AT4G25960.1	Q8LPK2
3702.AT2G34660.1	Q42093
3702.AT1G54350.1	Q6NLC1
3702.AT4G19210.1	Q8LPJ4
3702.AT5G09930.1	Q9FIB4
3702.AT2G37360.1	Q9ZUT0
3702.AT4G15230.1	Q8GZ52
3702.AT2G29940.1	Q7PC88
3702.AT2G26910.1	O81016
3702.AT2G37280.1	Q9ZUT8
3702.AT2G36380.1	Q7PC87
3702.AT1G15210.1	Q7PC86
3702.AT1G59870.1	Q9XIE2
3702.AT3G53480.1	Q9LFH0
3702.AT3G30842.1	Q7PC85
3702.AT1G66950.1	Q7PC84
3702.AT3G47740.1	Q1PEH6
3702.AT4G01820.1	Q9SYI2
3702.AT3G13080.1	Q9LK64
3702.AT4G30300.1	Q9M0D0
3702.AT1G64550.1	Q8H0V6
3702.AT2G28070.1	Q9ZUU9
3702.AT1G15520.1	Q9M9E1
3702.AT4G15215.1	Q7PC83
3702.AT4G15233.2	Q7PC82
3702.AT4G15236.1	Q7PC81
3702.AT3G47750.1	Q9STT8
3702.AT2G47000.1	O80725
3702.AT2G47800.1	Q7DM58
3702.AT3G54540.1	Q9M1H3
3702.AT4G25750.1	Q9SW08
3702.AT4G01830.1	Q9SYI3
3702.AT1G04120.1	Q7GB25
3702.AT5G64840.1	Q9LV93
3702.AT2G13610.1	Q9SIT6
3702.AT2G39480.1	Q8LPT1
3702.AT3G13090.1	Q8VZZ4
3702.AT5G13580.1	Q9FNB5
3702.AT3G10670.1	Q9CAF5
3702.AT3G47780.1	Q9STT5
3702.AT5G46540.1	Q9FHF1
3702.AT3G13100.1	Q9LK62
3702.AT2G01320.3	Q9ZU35
3702.AT1G32500.1	Q9LQK7
3702.AT3G47790.1	Q8LPK0
3702.AT3G21250.2	Q8LGU1
3702.AT5G52860.1	Q9FLX5
3702.AT4G04770.1	Q9ZS97
3702.AT5G61730.1	Q9FLT5
3702.AT4G18050.1	Q9M0M2
3702.AT3G60160.1	Q9M1C7
3702.AT4G27420.1	Q9SZR9
3702.AT5G44316.1	Q3E8H7
3702.AT1G52340.1	Q9C826
3702.AT2G29090.1	O81077
3702.AT5G45340.1	Q9FH76
3702.AT3G19270.1	Q9LJK2
3702.AT5G13060.1	B7U179
3702.AT3G24650.1	Q01593
3702.AT2G40220.1	A0MES8
3702.AT2G36270.1	Q9SJN0
3702.AT3G49290.1	Q9M3A3
3702.AT5G24310.1	Q6NMC6
3702.AT5G42030.1	Q9FHY1
3702.AT4G02980.1	P33487
3702.AT5G64750.1	Q9FGF8
3702.AT4G29900.1	Q9SZR1
3702.AT3G57330.1	Q9M2L4
3702.AT3G63380.1	Q9LY77
3702.AT3G22910.1	Q9LIK7
3702.AT1G27770.1	Q37145
3702.AT4G37640.1	O81108
3702.AT2G41560.1	O22218
3702.AT2G22950.1	O64806
3702.AT5G57110.1	Q9LF79
3702.AT3G21180.1	Q9LU41
3702.AT4G34490.1	O65902
3702.AT5G53470.1	Q9SM23
3702.AT4G27780.1	Q9STP8
3702.AT4G24230.6	Q9STX1
3702.AT3G05420.2	Q9MA55
3702.AT5G27630.1	Q8RWD9
3702.AT1G31812.1	P57752
3702.AT1G36160.1	Q38970
3702.AT1G36180.1	F4I1L3
3702.AT2G38040.1	Q9LD43
3702.AT5G35360.3	O04983
3702.ATCG00500.1	P56765
3702.AT1G06620.1	Q84MB3
3702.AT1G06640.1	Q9C5K7
3702.AT1G06650.2	Q8H1S4
3702.AT1G03400.1	Q94A78
3702.AT1G03410.1	Q43383
3702.AT1G04350.1	P93824
3702.AT1G04380.1	P93821
3702.AT3G61400.1	Q9M2C4
3702.AT5G43440.1	Q9LSW7
3702.AT2G19590.1	Q9ZUN4
3702.AT1G62380.1	Q41931
3702.AT1G12010.1	O65378
3702.AT1G05010.1	Q06588
3702.AT1G77330.1	Q0WPW4
3702.AT3G09780.1	Q9S7D9
3702.AT2G39180.1	O80963
3702.AT3G55950.1	Q9LY50
3702.AT5G47850.1	Q9FIJ6
3702.AT2G34690.1	O64587
3702.AT4G39670.1	Q8L7U7
3702.AT3G21720.1	P28297
3702.AT4G25570.1	Q8L856
3702.AT5G38630.1	Q9SWS1
3702.AT1G14730.1	Q67ZF6
3702.AT1G26100.1	Q9C540
3702.AT5G43450.1	Q9LSW6
3702.AT5G59530.1	Q9LTH8
3702.AT5G59540.1	Q9LTH7
3702.AT5G19530.1	Q9S7X6
3702.AT1G10670.3	Q9SGY2
3702.AT1G60810.1	O22718
3702.AT1G09430.1	O80526
3702.AT3G06650.1	Q9C522
3702.AT5G49460.1	Q9FGX1
3702.AT2G35690.1	Q9ZQP2
3702.AT4G35830.1	Q42560
3702.AT2G05710.1	Q9SIB9
3702.AT1G06310.1	Q9LMI7
3702.AT4G26970.1	Q94A28
3702.AT4G16760.1	O65202
3702.AT5G65110.1	O65201
3702.AT1G06290.1	P0CZ23
3702.AT3G51840.1	Q96329
3702.AT3G05020.1	P11829
3702.AT1G54580.1	P25701
3702.AT1G54630.1	P25702
3702.AT5G27200.1	O04652
3702.AT2G44620.1	P53665
3702.AT1G65290.1	O80800
3702.AT5G47630.1	Q9FGJ4
3702.AT2G36840.1	Q9SJM1
3702.AT1G16880.1	Q9FZ47
3702.AT5G04740.1	Q9LZ23
3702.AT5G65890.1	Q9FHP1
3702.AT5G25320.1	F4JWR0
3702.AT1G76990.1	O49285
3702.AT3G59420.1	Q9LX29
3702.AT1G69040.2	Q8LJW3
3702.AT2G03730.1	Q9ZPQ8
3702.AT3G01990.1	Q9SGA0
3702.AT4G22780.1	Q8LJW1
3702.AT1G12420.1	Q9LNA5
3702.AT2G39570.1	O80644
3702.AT5G36880.2	B9DGD6
3702.AT3G12110.1	P53496
3702.AT3G46520.1	P53497
3702.AT3G53750.1	P0CJ46
3702.AT3G18780.2	Q96292
3702.AT3G53750.1	P0CJ47
3702.AT5G59370.1	P53494
3702.AT2G42100.1	Q8RYC2
3702.AT5G09810.1	P53492
3702.AT1G49240.1	Q96293
3702.AT2G42090.1	P93738
3702.AT2G28880.1	Q8LPN3
3702.AT1G01750.1	Q9LQ81
3702.AT3G45990.1	Q9LZT3
3702.AT5G52360.1	Q8LFH6
3702.AT3G46010.2	Q39250
3702.AT3G46000.1	Q39251
3702.AT5G59880.1	Q9ZSK4
3702.AT5G59890.1	Q9ZSK3
3702.AT2G16700.1	Q9ZNT3
3702.AT2G31200.1	Q9ZSK2
3702.AT4G25590.1	Q67ZM4
3702.AT4G00680.1	Q570Y6
3702.AT4G34970.1	O49606
3702.AT1G77120.1	P06525
3702.AT1G22430.1	Q9SK86
3702.AT1G22440.1	Q9SK87
3702.AT1G32780.1	A1L4Y2
3702.AT1G64710.1	Q8VZ49
3702.AT4G22110.1	Q0V7W6
3702.AT5G24760.1	Q8LEB2
3702.AT5G42250.1	Q9FH04
3702.AT5G43940.2	Q96533
3702.AT3G09820.1	Q9SF85
3702.AT5G03300.1	Q9LZG0
3702.AT2G44900.1	O22161
3702.AT3G60350.1	Q9M224
3702.AT4G01100.2	O04619
3702.AT5G57360.2	Q94BT6
3702.AT2G18915.2	Q8W420
3702.AT1G68050.1	Q9C9W9
3702.AT3G57510.1	O23147
3702.AT2G41850.1	Q8RY29
3702.AT4G24730.1	Q9SB68
3702.AT1G33560.1	Q9FW44
3702.AT1G06080.1	O65797
3702.AT2G31360.1	Q9SID2
3702.AT3G15870.1	Q9LVZ3
3702.AT3G15850.1	Q949X0
3702.AT1G06090.1	Q9LND9
3702.AT1G06100.1	Q9LND8
3702.AT1G06120.1	Q9FPD5
3702.AT1G06350.1	Q9LMI4
3702.AT1G06360.1	Q9LMI3
3702.AT3G08580.1	P31167
3702.AT5G13490.1	P40941
3702.AT4G28390.1	O49447
3702.AT5G17400.1	Q8LB08
3702.AT5G56450.1	Q9FM86
3702.AT1G21530.2	Q9LPK7
3702.AT1G55320.1	Q84P17
3702.AT5G35930.1	F4K1G2
3702.AT1G76290.1	Q9SFW5
3702.AT1G68270.1	Q9C9G2
3702.AT3G16910.1	Q8VZF1
3702.AT1G21540.1	Q9LPK6
3702.AT3G26810.1	Q9LW29
3702.AT1G12820.1	Q9LPW7
3702.AT3G53570.1	P51566
3702.AT4G24740.1	P51567
3702.AT4G32660.1	P51568
3702.AT1G69260.1	Q9LQ98
3702.AT1G13740.1	Q9LMX5
3702.AT3G29575.1	Q94F39
3702.AT3G02140.1	Q9S7Z2
3702.AT2G24540.1	Q8LAW2
3702.AT5G08380.1	Q9FT97
3702.AT5G08370.1	Q8RX86
3702.AT3G56310.1	Q8VXZ7
3702.AT3G12690.1	Q9LTW5
3702.AT1G79250.1	Q1PFB9
3702.AT5G61160.1	Q9FNP9
3702.AT2G35210.1	O82171
3702.AT3G07940.1	Q8L7A4
3702.AT4G21160.1	Q9FVJ3
3702.AT4G05330.1	Q8LFN9
3702.AT1G08680.4	Q8RXE7
3702.AT3G17660.1	Q0WQQ1
3702.AT5G61980.1	Q9FIT8
3702.AT1G60860.1	Q9C6C3
3702.AT5G13300.1	Q5W7F2
3702.AT1G10870.1	Q9SMX5
3702.AT5G54310.1	Q9FL69
3702.AT3G53710.1	Q9M354
3702.AT2G37550.1	O80925
3702.AT4G17890.1	Q8H100
3702.AT5G46750.1	Q9FIQ0
3702.AT4G09960.3	Q38836
3702.AT1G71692.1	Q38841
3702.AT3G61120.1	Q38837
3702.AT4G11880.1	Q38838
3702.AT5G13790.1	Q38847
3702.AT3G57230.1	A2RVQ5
3702.AT2G22630.1	Q38840
3702.AT3G57390.1	Q9M2K8
3702.AT4G22950.1	O82743
3702.AT4G37940.1	Q9SZJ6
3702.AT4G24540.1	O82794
3702.AT1G77080.4	Q9AT76
3702.AT5G65050.3	Q9FPN7
3702.AT5G26650.1	Q7XJK6
3702.AT2G03710.1	P29383
3702.AT2G42830.2	P29385
3702.AT2G24840.1	Q4PSU4
3702.AT5G60440.1	Q9FKK2
3702.AT2G45650.1	P29386
3702.AT5G48670.1	Q9FJK3
3702.AT1G31630.1	Q9C6V3
3702.AT5G60910.1	Q38876
3702.AT5G27960.1	Q7XJK5
3702.AT1G31640.1	Q9C6V4
3702.AT5G26950.1	Q7X9H9
3702.AT1G46408.1	Q9C633
3702.AT5G18200.1	Q9FK51
3702.AT5G18070.1	P57750
3702.AT5G43810.1	Q9XGW1
3702.AT1G48410.2	O04379
3702.AT1G31280.1	Q9SHF3
3702.AT1G31290.1	Q9SHF2
3702.AT2G27040.1	Q9ZVD5
3702.AT2G27880.1	Q9SJK3
3702.AT2G32940.1	O48771
3702.AT1G69440.1	Q9C793
3702.AT5G21030.1	Q3E984
3702.AT5G21150.1	Q84VQ0
3702.AT4G09030.1	Q9M0S4
3702.AT3G01700.1	Q9FVE0
3702.AT3G13520.1	Q9LJD9
3702.AT4G26320.1	Q9STQ3
3702.AT5G56540.1	Q9LVC0
3702.AT5G11740.1	Q9LYF6
3702.AT2G46330.1	O82337
3702.AT2G23130.1	O22194
3702.AT4G37450.1	Q9FPR2
3702.AT1G68725.1	Q9S740
3702.AT5G64310.1	Q8LCN5
3702.AT3G61640.1	Q9M373
3702.AT1G55330.1	Q9C8A4
3702.AT5G53250.1	Q9FK16
3702.AT3G57690.1	Q8S2W4
3702.AT5G40730.1	Q5PP12
3702.AT5G18690.1	Q6NN00
3702.AT2G47930.1	Q94F57
3702.AT3G06360.1	Q9SQT9
3702.AT2G22470.1	Q9SJY7
3702.AT2G33790.1	P93013
3702.AT1G28290.1	Q9FZA2
3702.AT4G40090.1	Q9ZT17
3702.AT3G20865.1	Q8LD43
3702.AT5G10430.1	Q9ZT16
3702.AT1G35230.1	Q8LCE4
3702.AT5G14380.1	Q9LY91
3702.AT5G65390.1	Q8LG54
3702.AT2G14890.1	Q9C5S0
3702.AT4G39660.1	Q940M2
3702.AT2G38400.2	Q94AL9
3702.AT3G08860.1	Q9SR86
3702.AT5G08170.1	Q8GWW7
3702.AT4G18960.1	P17839
3702.AT2G17820.1	Q9SXL4
3702.AT5G35750.1	Q9C5U2
3702.AT1G27320.1	Q9C5U1
3702.AT2G01830.2	Q9C5U0
3702.AT5G10720.1	Q3S4A7
3702.AT2G33620.1	O22812
3702.AT3G61310.1	Q8L7L5
3702.AT1G63480.1	Q8LPN5
3702.AT4G17950.1	Q940I0
3702.AT3G04590.2	A1L4X7
3702.AT3G55560.1	Q9M2S3
3702.AT2G42940.1	Q9SJG4
3702.AT5G49700.1	Q9LTA2
3702.AT3G60870.1	Q9LZX7
3702.AT3G04570.1	Q9SR17
3702.AT4G12080.1	Q8VYJ2
3702.AT4G14465.1	Q8GWQ2
3702.AT2G35270.1	O82166
3702.AT2G45430.1	O22130
3702.AT4G17800.1	O23620
3702.AT4G22810.1	O49662
3702.AT4G35390.1	Q6DBQ1
3702.AT4G12050.1	Q9SZ70
3702.AT1G20900.1	Q9S7C9
3702.AT1G14490.1	Q9M9R4
3702.AT1G76500.1	Q9C9K7
3702.AT4G22770.1	O49658
3702.AT4G25320.1	Q9SB31
3702.AT5G51590.1	Q9FHM5
3702.AT1G63470.1	Q8GXB3
3702.AT5G62260.1	Q9LVB0
3702.AT4G00200.1	Q4V3E0
3702.AT5G46640.1	Q9FIR1
3702.AT2G45850.1	O80834
3702.AT3G21510.1	Q9ZNV9
3702.AT3G29350.1	Q9ZNV8
3702.AT5G39340.1	Q9SAZ5
3702.AT3G16360.2	Q9LU15
3702.AT1G03430.1	Q8L9T7
3702.AT1G80100.1	Q9SSC9
3702.AT3G44460.1	Q8RYD6
3702.AT3G56850.1	Q9LES3
3702.AT2G41070.1	Q9C5Q2
3702.AT1G49720.2	Q9M7Q5
3702.AT1G45249.3	Q9M7Q4
3702.AT4G34000.1	Q9M7Q3
3702.AT3G19290.3	Q9M7Q2
3702.AT5G42910.1	Q9FMM7
3702.AT2G46510.1	Q9ZPY8
3702.AT1G33960.1	P54120
3702.AT5G39720.1	Q9FIX2
3702.AT3G28930.1	P54121
3702.AT1G72570.1	Q1PFE1
3702.AT5G57390.1	Q6PQQ3
3702.AT5G10510.3	Q52QU2
3702.AT5G65510.1	Q6J9N8
3702.AT4G29010.1	Q9ZPI6
3702.AT5G20910.1	Q8RXD3
3702.AT3G07390.1	Q94BT2
3702.AT4G12545.1	Q9ZSP6
3702.AT4G12550.1	Q9S7I2
3702.AT2G04160.1	Q9ZSP5
3702.AT2G34680.1	F4IIU4
3702.AT5G13280.1	Q9LYU8
3702.AT5G14060.1	O23653
3702.AT3G02020.1	Q9S702
3702.AT1G31230.1	Q9SA18
3702.AT4G19710.2	O81852
3702.AT4G35450.5	Q9SAR5
3702.AT2G37760.1	O80944
3702.AT2G37770.2	Q0PGJ6
3702.AT2G37790.1	Q84TF0
3702.AT3G53880.1	Q9M338
3702.AT5G66055.1	Q05753
3702.AT2G26650.1	Q38998
3702.AT4G22200.1	Q38898
3702.AT4G32500.1	Q9SCX5
3702.AT2G25600.1	Q8GXE6
3702.AT5G62530.1	Q8VZC3
3702.AT3G66658.2	Q0WSF1
3702.AT3G48000.1	Q9SU63
3702.AT1G23800.1	Q8S528
3702.AT3G24503.1	Q56YU0
3702.AT4G36250.1	Q70E96
3702.AT1G44170.1	Q70DU8
3702.AT4G34240.1	Q8W033
3702.AT1G54100.1	Q9SYG7
3702.AT3G25610.1	Q9LI83
3702.AT1G13210.1	Q9SAF5
3702.AT1G26130.2	P57792
3702.AT5G04930.1	P98204
3702.AT5G44240.1	P98205
3702.AT1G59820.1	Q9XIE6
3702.AT1G17500.1	Q9LNQ4
3702.AT1G72700.1	Q9SGG3
3702.AT1G54280.1	Q9SLK6
3702.AT3G13900.1	Q9LVK9
3702.AT3G27870.1	Q9LK90
3702.AT1G68710.1	Q9SX33
3702.AT1G17290.1	F4I7I0
3702.AT1G72330.3	Q9LDV4
3702.AT1G24490.1	Q9FYL3
3702.AT1G65080.1	Q8L718
3702.AT3G44370.1	Q0WUC5
3702.AT2G28800.1	Q8LBP4
3702.AT5G67110.1	Q9FHA2
3702.AT2G13810.1	Q9ZQI7
3702.AT5G20960.1	Q7G193
3702.AT3G43600.1	Q7G192
3702.AT2G27150.1	Q7G9P4
3702.AT1G04580.1	Q7G191
3702.AT2G20300.1	Q8RWW0
3702.AT3G45310.1	Q8RWQ9
3702.AT5G60360.3	Q8H166
3702.AT5G11030.2	Q84VX3
3702.AT3G23560.1	Q9LUH2
3702.AT2G21330.1	Q9SJU4
3702.AT4G38970.1	Q944G9
3702.AT2G01140.1	Q9ZU52
3702.AT5G05610.1	Q9FFF5
3702.AT3G11200.1	Q9SRM4
3702.AT3G42790.1	Q9M2B4
3702.AT5G26210.1	O81488
3702.AT5G20510.1	Q5XEM9
3702.AT2G02470.1	Q8S8M9
3702.AT1G14510.1	Q8LA16
3702.AT4G26520.1	P22197
3702.AT2G40190.1	Q9XEE9
3702.AT1G02145.3	A8MR93
3702.AT2G47760.1	O82244
3702.AT5G38460.1	Q9FF17
3702.AT2G44660.1	O80505
3702.AT1G16900.1	Q9FZ49
3702.AT3G12740.1	Q9LTW0
3702.AT5G46150.1	Q67YS6
3702.AT1G54320.1	Q9SLK2
3702.AT1G16360.1	Q9SA35
3702.AT1G79450.1	Q8L8W0
3702.AT2G22260.1	Q9SIE0
3702.AT1G11780.1	Q9SA98
3702.AT1G10810.1	Q9C5B9
3702.AT1G60680.1	Q84M96
3702.AT1G60690.1	O22707
3702.AT1G60710.1	Q93ZN2
3702.AT1G60750.1	F4HPY8
3702.AT1G08430.1	Q9SJE9
3702.AT1G08440.1	Q9SJE8
3702.AT1G18420.1	Q9LPQ8
3702.AT1G25480.1	Q9C6L8
3702.AT1G68600.1	Q93Z29
3702.AT2G17470.1	Q9SHM1
3702.AT2G27240.1	Q9XIN1
3702.AT3G11680.1	Q9SRM9
3702.AT3G18440.1	Q9LS46
3702.AT4G00910.1	O23086
3702.AT4G17585.1	Q3E9Z9
3702.AT4G17970.1	O49696
3702.AT5G46600.1	Q9LS23
3702.AT5G46610.1	Q9LS22
3702.AT4G04955.1	Q94AP0
3702.AT2G37330.1	Q9ZUT3
3702.AT5G27610.1	Q6A331
3702.AT3G05380.2	Q6A333
3702.AT3G21430.2	Q6A332
3702.AT2G38710.1	Q9ZVJ2
3702.AT1G08980.1	Q9FR37
3702.AT5G61960.1	Q8W4I9
3702.AT2G42890.1	Q9SJG8
3702.AT4G18120.1	Q9SVV9
3702.AT5G07290.1	Q9LYN7
3702.AT1G29400.1	Q8VWF5
3702.AT1G62810.1	Q8H1H9
3702.AT2G38280.1	O80452
3702.AT2G24200.1	P30184
3702.AT4G30910.1	Q8RX72
3702.AT4G30920.1	Q944P7
3702.AT1G48790.1	Q8VYB5
3702.AT1G10600.1	Q6NKP9
3702.AT4G16144.1	Q5PNU3
3702.AT2G16910.1	Q9ZVX2
3702.AT4G13510.1	P54144
3702.AT1G64780.1	Q9ZPJ8
3702.AT3G24300.1	Q9SQH9
3702.AT4G28700.1	Q9SVT8
3702.AT3G24290.1	Q9LK16
3702.AT2G38290.1	Q9M6N7
3702.AT4G25000.1	Q8VZ56
3702.AT1G76130.1	Q8LFG1
3702.AT1G69830.1	Q94A41
3702.AT3G50690.1	Q9SCQ7
3702.AT4G00730.1	Q0WV12
3702.AT1G04870.2	Q9MAT5
3702.AT4G29510.1	Q9SU94
3702.AT2G19670.1	O82210
3702.AT3G06930.2	Q84W92
3702.AT5G49020.1	A3KPF2
3702.AT4G31120.1	Q8GWT4
3702.AT4G16570.1	Q944R7
3702.AT3G12270.1	Q0WVD6
3702.AT3G20020.1	Q08A71
3702.AT1G09000.1	O22040
3702.AT2G14210.1	Q9SI38
3702.AT2G29650.1	O82390
3702.AT4G00370.1	Q8GX78
3702.AT2G38060.1	Q7XJR2
3702.AT3G46980.3	Q66GI9
3702.AT5G44370.1	Q9FKV1
3702.AT5G20380.1	Q3E9A0
3702.AT4G37750.1	Q38914
3702.AT3G04690.1	Q9SR05
3702.AT5G28680.1	Q3E8W4
3702.AT1G35720.1	Q9SYT0
3702.AT5G65020.1	Q9XEE2
3702.AT2G38760.1	Q9SE45
3702.AT2G38750.1	Q9ZVJ6
3702.AT1G68090.1	Q9C9X3
3702.AT5G10220.1	Q9LX08
3702.AT5G10230.1	Q9LX07
3702.AT5G12380.1	Q94CK4
3702.AT3G25760.1	Q9LS03
3702.AT3G25770.1	Q9LS02
3702.AT3G25780.1	Q9LS01
3702.AT1G13280.1	Q93ZC5
3702.AT4G03070.1	Q9ZTA3
3702.AT4G03070.1	Q945B6
3702.AT4G03070.1	Q944Z5
3702.AT4G03050.2	Q9ZTA1
3702.AT4G03050.2	Q945B4
3702.AT4G03050.2	Q944X7
3702.AT3G22370.1	Q39219
3702.AT3G22360.1	O23913
3702.AT3G27620.1	O22048
3702.AT5G64210.1	O22049
3702.AT1G32350.1	Q8LEE7
3702.AT4G22260.1	Q56X52
3702.AT1G05020.1	Q9ZVN6
3702.AT1G23900.1	Q84K16
3702.AT1G60070.2	Q9ZUI6
3702.AT1G10730.1	Q9SAC9
3702.AT1G60780.1	O22715
3702.AT2G17380.1	Q8LEZ8
3702.AT4G35410.2	O23685
3702.AT1G69120.1	P35631
3702.AT5G22770.1	Q8LPL6
