160490.SPy_1744	Q99YE0
160490.SPy_1923	Q99Y12
160490.SPy_1707	Q99YH2
160490.SPy_1922	Q99Y13
160490.SPy_1921	Q99Y14
160490.SPy_1704	P63703
160490.SPy_1919	P63705
160490.SPy_1916	Q99Y18
160490.SPy_1170	Q99ZM2
160490.SPy_1151	P65259
160490.SPy_1053	Q99ZV8
160490.SPy_0585	P60965
160490.SPy_0826	Q9A0D2
160490.SPy_1642	P0C0C8
160490.SPy_1642	P0C0C7
160490.SPy_1298	Q99ZB6
160490.SPy_0281	P60187
160490.SPy_1359	Q99Z77
160490.SPy_0320	Q9A1E3
160490.SPy_0921	Q9A059
160490.SPy_2188	P58075
160490.SPy_1071	Q99ZU0
160490.SPy_2185	Q99XI8
160490.SPy_1662	Q99YK2
160490.SPy_1557	Q99YT1
160490.SPy_0466	Q9A149
160490.SPy_1055	Q99ZV6
160490.SPy_0453	P0A4G4
160490.SPy_0763	P65458
160490.SPy_1358	Q99Z78
160490.SPy_1101	Q99ZS9
160490.SPy_0345	Q9A1C7
160490.SPy_1525	P0C0D8
160490.SPy_1525	P0C0D7
160490.SPy_0388	Q9A196
160490.SPy_1524	P65483
160490.SPy_0361	Q9A1B7
160490.SPy_2121	Q99XN7
160490.SPy_1837	Q99Y73
160490.SPy_2148	Q99XL8
160490.SPy_0308	Q9A1F2
160490.SPy_1652	Q99YK9
160490.SPy_1126	P65781
160490.SPy_1399	Q99Z50
160490.SPy_0251	P65522
160490.SPy_1984	Q99XX2
160490.SPy_0426	Q9A176
160490.SPy_0338	P67320
160490.SPy_0362	Q9A1B6
160490.SPy_1818	Q99Y88
160490.SPy_0164	P68893
160490.SPy_1333	Q99Z94
160490.SPy_0297	P0A2V6
160490.SPy_1544	P0C0D0
160490.SPy_1544	P0C0C9
160490.SPy_2018	P49054
160490.SPy_0852	P65666
160490.SPy_0910	Q9L7Q4
160490.SPy_0506	P68896
160490.SPy_0713	Q9A0M0
160490.SPy_2066	Q99XS1
160490.SPy_0799	Q9A0F4
160490.SPy_1858	Q99Y58
160490.SPy_1283	Q99ZD0
160490.SPy_1881	P68897
160490.SPy_0128	Q9A1S2
160490.SPy_0022	P65742
160490.SPy_0908	P67168
160490.SPy_1946	Q99XZ5
160490.SPy_1102	Q99ZS8
160490.SPy_0380	P65757
160490.SPy_1988	Q99XW8
160490.SPy_1670	Q99YJ8
160490.SPy_1672	Q99YJ7
160490.SPy_1390	P60811
160490.SPy_2037	P60812
160490.SPy_1241	P63375
160490.SPy_1242	P63378
160490.SPy_0007	Q9A206
160490.SPy_0032	Q9A1Y7
160490.SPy_0027	Q9A1Z0
160490.SPy_0024	Q9A1Z3
160490.SPy_0160	Q9A1P8
160490.SPy_1147	Q99ZN9
160490.SPy_0832	P65620
160490.SPy_0907	Q9A071
160490.SPy_1432	Q99Z28
160490.SPy_0901	Q9A076
160490.SPy_0900	Q9A077
160490.SPy_1894	P65925
160490.SPy_0462	P65938
160490.SPy_0830	Q9A0D0
160490.SPy_1400	Q99Z49
160490.SPy_0236	Q9A1K1
160490.SPy_1719	P65971
160490.SPy_2116	P0C095
160490.SPy_2204	P0C0D1
160490.SPy_0021	P65987
160490.SPy_1422	P65994
160490.SPy_1648	Q99YL2
160490.SPy_1607	Q99YP2
160490.SPy_1120	P60388
160490.SPy_1141	Q99ZP5
160490.SPy_1416	P66021
160490.SPy_0847	P58183
160490.SPy_1725	P59819
160490.SPy_1072	P68900
160490.SPy_0460	P66058
160490.SPy_0061	Q9A1W4
160490.SPy_0072	Q9A1V5
160490.SPy_0057	Q9A1W7
160490.SPy_0067	Q9A1V8
160490.SPy_0724	P66084
160490.SPy_0461	P66097
160490.SPy_0806	P66114
160490.SPy_0819	Q9A0D6
160490.SPy_0055	P0C0D4
160490.SPy_0055	P0C0D3
160490.SPy_0051	Q9A1X2
160490.SPy_0062	Q9A1W3
160490.SPy_0822	P66137
160490.SPy_1888	P66157
160490.SPy_0059	P66176
160490.SPy_0052	P60434
160490.SPy_0071	Q9A1V6
160490.SPy_0717	P66202
160490.SPy_2159	Q99XK8
160490.SPy_2160	P66235
160490.SPy_0250	P66258
160490.SPy_0805	P66280
160490.SPy_0076	P66303
160490.SPy_0049	Q9A1X4
160490.SPy_0050	P0C0D6
160490.SPy_0050	P0C0D5
160490.SPy_0063	Q9A1W2
160490.SPy_0066	Q9A1V9
160490.SPy_1073	P66063
160490.SPy_2183	P66322
160490.SPy_2215	Q99XH0
160490.SPy_1533	Q99YU5
160490.SPy_0531	P66670
160490.SPy_1162	Q99ZM6
160490.SPy_1841	P66677
160490.SPy_0246	Q9A1J4
160490.SPy_1633	P67284
160490.SPy_0924	P60199
160490.SPy_0889	P66697
160490.SPy_0080	P66710
160490.SPy_0098	Q9A1U1
160490.SPy_0099	P0C0E0
160490.SPy_0099	P0C0D9
160490.SPy_1895	P66719
160490.SPy_1630	P68840
160490.SPy_0463	P68903
160490.SPy_0047	P66341
160490.SPy_0078	Q9A1V0
160490.SPy_0271	P66376
160490.SPy_0077	P66394
160490.SPy_0064	P66421
160490.SPy_1871	P66424
160490.SPy_1955	Q99XZ0
160490.SPy_0840	P66446
160490.SPy_0060	Q9A1W5
160490.SPy_1829	P66475
160490.SPy_0053	P66496
160490.SPy_1234	P66509
160490.SPy_0779	P66526
160490.SPy_2092	P68901
160490.SPy_0056	P66555
160490.SPy_2178	P66567
160490.SPy_0069	P66583
160490.SPy_1831	P66599
160490.SPy_0272	P66619
160490.SPy_0065	P66634
160490.SPy_1931	P66648
160490.SPy_0263	Q9A1H9
160490.SPy_0262	Q9A1I0
160490.SPy_0329	Q9A1D7
160490.SPy_1666	P65431
160490.SPy_0406	Q9A186
160490.SPy_2119	P66751
160490.SPy_0038	Q9A1Y1
160490.SPy_2113	Q99XP4
160490.SPy_0366	Q9A1B2
160490.SPy_0367	P60220
160490.SPy_1805	Q99Y96
160490.SPy_1518	Q48XR0
160490.SPy_1406	P0C0I1
160490.SPy_1406	P0C0I0
160490.SPy_2039	P0C0J1
160490.SPy_2039	P0C0J0
160490.SPy_0711	P0C0I5
160490.SPy_0212	Q9X5C7
160490.SPy_1008	P0C0I7
160490.SPy_1008	P0C0I6
160490.SPy_0581	Q9A0W7
160490.SPy_1249	P60381
160490.SPy_1083	P0C0H9
160490.SPy_1083	P0C0H8
160490.SPy_1085	P0C0E3
160490.SPy_1085	P0C0E2
160490.SPy_1830	P66852
160490.SPy_0504	Q9A126
160490.SPy_0324	Q9A1E0
160490.SPy_1979	P10520
160490.SPy_1389	Q99Z57
160490.SPy_1941	Q99XZ9
160490.SPy_2156	Q99XL0
160490.SPy_0239	P67023
160490.SPy_0768	Q9A0I1
160490.SPy_0769	Q9A0I0
160490.SPy_1689	Q99YI3
160490.SPy_1688	Q99YI4
160490.SPy_2157	Q99XK9
160490.SPy_1513	Q99YW3
160490.SPy_0595	Q9A0V7
160490.SPy_0173	Q9A1P0
160490.SPy_0422	Q9A178
160490.SPy_0651	P67575
160490.SPy_1962	Q99XY4
160490.SPy_2151	Q99XL5
160490.SPy_1742	Q99YE2
160490.SPy_0517	Q9A115
160490.SPy_1568	Q99YS1
160490.SPy_2207	Q99XH4
160490.SPy_0096	Q9A1U3
160490.SPy_0167	P0C0I3
160490.SPy_1678	P66959
160490.SPy_0203	Q9A1L6
160490.SPy_0817	Q9A0D8
160490.SPy_1896	P0C0E1
160490.SPy_0013	Q9A201
160490.SPy_0613	P69887
160490.SPy_1726	P67504
160490.SPy_0849	Q9A0B6
160490.SPy_1173	Q99ZL9
160490.SPy_1901	P65850
160490.SPy_1251	P65858
160490.SPy_1872	Q99Y46
160490.SPy_0882	P67051
160490.SPy_0632	Q9A0T3
160490.SPy_2201	P0C0F5
160490.SPy_2201	P0C0F4
160490.SPy_0905	Q9A072
160490.SPy_0280	P67392
160490.SPy_0392	P67400
160490.SPy_1368	P67415
160490.SPy_1825	Q99Y84
160490.SPy_1314	Q99ZA5
160490.SPy_1068	Q99ZU3
160490.SPy_0154	Q9A1Q3
160490.SPy_0155	Q9A1Q2
160490.SPy_0157	Q9A1Q1
160490.SPy_0654	Q9A0R6
160490.SPy_0365	Q9A1B3
160490.SPy_1196	P67634
160490.SPy_1136	Q99ZQ0
160490.SPy_1056	Q99ZV5
160490.SPy_1118	P65962
160490.SPy_1139	P67532
160490.SPy_1201	P67253
160490.SPy_1216	Q99ZI6
160490.SPy_1248	P67363
160490.SPy_1261	Q99ZE6
160490.SPy_1343	Q99Z89
160490.SPy_1346	Q99Z86
160490.SPy_1412	P67354
160490.SPy_1493	P67372
160490.SPy_1546	P0C0H5
160490.SPy_1606	Q99YP3
160490.SPy_1608	Q99YP1
160490.SPy_1647	Q99YL3
160490.SPy_1687	P60080
160490.SPy_1698	Q99YH7
160490.SPy_1862	P67268
160490.SPy_1875	Q99Y43
160490.SPy_1898	Q99Y31
160490.SPy_1936	P67374
160490.SPy_1963	Q99XY3
160490.SPy_2005	Q99XV5
160490.SPy_2104	Q99XQ1
160490.SPy_2112	Q99XP5
160490.SPy_2114	P68886
160490.SPy_2205	P0C0G9
160490.SPy_0285	Q9A1G5
160490.SPy_0314	Q9A1E8
160490.SPy_0316	P67188
160490.SPy_0358	Q9A1B9
160490.SPy_0359	P67295
160490.SPy_0397	P60419
160490.SPy_0467	Q9A148
160490.SPy_0538	P66768
160490.SPy_0652	P67113
160490.SPy_0811	Q9A0E3
160490.SPy_0865	Q9A0A6
160490.SPy_0915	P67332
160490.SPy_0405	Q9A187
160490.SPy_1546	P0C0H4
160490.SPy_0473	P67140
160490.SPy_0247	P65631
160490.SPy_0351	Q9A1C3
160490.SPy_0370	P67307
160490.SPy_0484	A0F0A5
160490.SPy_1054	Q83UP8
160490.SPy_0146	A0A0C6G1L0
160490.SPy_0816	A0A0C6FV71
160490.SPy_1941	A0A0C6FWP9
160490.SPy_0261	A0A0C6FYH9
160490.SPy_1493	A0A0C6G090
160490.SPy_1749	A0A0C6G4L3
160490.SPy_0294	A0A0C6G1R2
160490.SPy_0441	A0A0C6FYJ7
160490.SPy_1810	A0A0C6G0V0
160490.SPy_0440	A0A0C6FUN0
160490.SPy_1034	A0A0C6FVN4
160490.SPy_1424	A0A0C6FVZ9
160490.SPy_1796	A0A0C6FWI1
160490.SPy_2111	A0A0C6FXN8
160490.SPy_0109	A0A0C6G537
160490.SPy_0100	A0A0C6FHV9
160490.SPy_1623	A0A0C6FWW2
160490.SPy_0505	A0A0C6G3F8
160490.SPy_0630	A0A0C6FUZ4
160490.SPy_1816	A0A0C6G0J9
160490.SPy_1152	A0A0C6FZJ4
160490.SPy_1901	A0A0C6G0M8
160490.SPy_1438	A0A0C6FW04
160490.SPy_0519	A0A0C6FYW8
160490.SPy_2189	A0A0C6G122
160490.SPy_0022	A0A0C6FCP5
160490.SPy_1322	A0A0C6FFF2
160490.SPy_0922	A0A0C6FJD0
160490.SPy_0569	A0A0C6FUV8
160490.SPy_1834	A0A0C6FL55
160490.SPy_0754	A0A0C6FV48
160490.SPy_1535	A0A0C6G0I6
160490.SPy_0047	A0A0C6FTT5
160490.SPy_0340	A0A0C6FYE5
160490.SPy_1455	A0A0C6G4A7
160490.SPy_0792	A0A0C6FJ63
160490.SPy_0631	A0A0C6G269
160490.SPy_1254	A0A0C6FVM8
160490.SPy_0059	A0A0C6FCS6
160490.SPy_1093	A0A0C6FVU1
160490.SPy_1985	A0A0C6G638
160490.SPy_0177	A0A0C6FI03
160490.SPy_0815	A0A0C6FRQ9
160490.SPy_0410	A0A0C6FYS9
160490.SPy_1940	A0A0C6G0Q1
160490.SPy_2029	A0A0C6G4U5
160490.SPy_1944	A0A0C6G632
160490.SPy_1865	A0A0C6FX91
160490.SPy_0855	A0A0C6G2D0
160490.SPy_1291	A0A0C6G462
160490.SPy_0877	A0A0C6FEE8
160490.SPy_0717	A0A0C6G281
160490.SPy_1764	A0A0C6FWG5
160490.SPy_2210	A0A0C6FX10
160490.SPy_0923	A0A0C6FZ94
160490.SPy_1769	A0A0C6G0I3
160490.SPy_0446	A0A0C6FR87
160490.SPy_1653	A0A0C6FT73
160490.SPy_0439	A0A0C6G5C2
160490.SPy_1734	A0A0C6G4K7
160490.SPy_1617	A0A0C6G5Y0
160490.SPy_2040	K7NBQ2
160490.SPy_2027	A0A0C6G0W3
160490.SPy_1900	A0A0C6FLB8
160490.SPy_1288	A0A0C6FW60
160490.SPy_2103	A0A0C6FWW7
160490.SPy_2087	A0A0C6FTX8
160490.SPy_1654	A0A0C6G0P9
160490.SPy_0652	A0A0C6FE24
160490.SPy_1272	A0A0C6G027
160490.SPy_1794	A0A0C6FGN6
160490.SPy_0838	A0A0C6G3R1
160490.SPy_0247	A0A0C6G573
160490.SPy_0422	A0A0C6G3D0
160490.SPy_1255	A0A0C6FF91
160490.SPy_1146	A0A0C6FJM7
160490.SPy_0716	A0A0C6FV17
160490.SPy_0800	A0A0C6FV66
160490.SPy_0259	A0A0C6G577
160490.SPy_1072	A0A0C6FS56
160490.SPy_0108	A0A0C6G1J7
160490.SPy_1150	A0A0C6G415
160490.SPy_0461	A0A0C6FYK8
160490.SPy_1251	A0A0C6G5R9
160490.SPy_1359	A0A0C6FFH4
160490.SPy_2003	A0A0C6FLK4
160490.SPy_0432	A0A0C6FDR0
160490.SPy_1071	A0A0C6G5N8
160490.SPy_0450	A0A0C6FDR8
160490.SPy_2193	A0A0C6FHJ6
160490.SPy_0840	A0A0C6FJ85
160490.SPy_1265	A0A0C6FF99
160490.SPy_1746	A0A0C6G3D5
160490.SPy_2070	A0A0C6G3T1
160490.SPy_1192	A0A0C6FVZ4
160490.SPy_0238	A0A0C6FYG0
160490.SPy_1978	A0A0C6FXF2
160490.SPy_1410	A0A0C6FFL8
160490.SPy_1552	A0A0C6G4D7
160490.SPy_1745	A0A0C6FGK5
160490.SPy_1789	A0A0C6FGN3
160490.SPy_2180	A0A0C6FUJ4
160490.SPy_0532	A0A0C6FYP8
160490.SPy_1225	A0A0C6G005
160490.SPy_1864	A0A0C6FGS2
160490.SPy_1717	A0A0C6G0R5
160490.SPy_1509	A0A0C6G4C4
160490.SPy_1888	Q7DHD8
160490.SPy_1184	A0A0C6FF33
160490.SPy_2159	A0A0C6FU08
160490.SPy_1039	A0A0C6FVP0
160490.SPy_0352	A0A0C6FDM9
160490.SPy_1432	A0A0C6G066
160490.SPy_1919	A0A0C6FTL2
160490.SPy_1155	A0A0C6FZX2
160490.SPy_1680	A0A0C6FGH3
160490.SPy_1124	A0A0C6FJL0
160490.SPy_0775	A0A0C6FJ53
160490.SPy_0832	A0A0C6G3Q9
160490.SPy_1916	A0A0C6FWN7
160490.SPy_2095	A0A0C6FWW5
160490.SPy_0819	A0A0C6FJ78
160490.SPy_0533	A0A0C6FUS8
160490.SPy_1157	A0A0C6FJN6
160490.SPy_1274	A0A0C6FVN8
160490.SPy_0584	A0A0C6G3I5
160490.SPy_1735	A0A0C6FGJ7
160490.SPy_0414	A0A0C6FDQ6
160490.SPy_0804	A0A0C6FJ69
160490.SPy_0002	A0A0C6FXX2
160490.SPy_1402	A0A0C6G303
160490.SPy_1962	A0A0C6FTP4
160490.SPy_0425	A0A0C6G5B8
160490.SPy_0467	A0A0C6FYL2
160490.SPy_2000	A0A0C6FH34
160490.SPy_1140	A7K7A2
160490.SPy_1028	A0A0C6FVB8
160490.SPy_0063	A0A0C6G525
160490.SPy_1513	A0A0C6FSX6
160490.SPy_1060	A0A0C6G2H5
160490.SPy_1657	A0A0C6G397
160490.SPy_0601	A0A0C6FIU9
160490.SPy_2023	A0A0C6G154
160490.SPy_0507	A0A0C6FUS1
160490.SPy_1510	A0A0C6G095
160490.SPy_1565	A0A0C6G365
160490.SPy_1959	A0A0C6G0R4
160490.SPy_2054	A0A0C6G174
160490.SPy_1787	A0A0C6FL09
160490.SPy_1531	A0A0C6FFZ8
160490.SPy_2153	A0A0C6FLU9
160490.SPy_2107	A0A0C6G102
160490.SPy_0271	A0A0C6FYI9
160490.SPy_0761	A0A0C6FZ50
160490.SPy_1459	A0A0C6G328
160490.SPy_0110	A0A0C6FTY0
160490.SPy_2121	A0A0C6FXP7
160490.SPy_1177	A0A0C6G423
160490.SPy_0364	A0A0C6FDN2
160490.SPy_1587	A0A0C6G0L1
160490.SPy_2088	A0A0C6G190
160490.SPy_1649	A0A0C6G0D9
160490.SPy_0464	A0A0C6FYU6
160490.SPy_0028	A0A0C6FQB5
160490.SPy_0112	A0A0C6FY22
160490.SPy_1248	A0A0C6FZR1
160490.SPy_1914	A0A0C6FLC8
160490.SPy_0608	A0A0C6FUY6
160490.SPy_0117	A0A0C6G1J9
160490.SPy_0472	A0A0C6G3E7
160490.SPy_1710	A0A0C6G0R3
160490.SPy_0257	A0A0C6G338
160490.SPy_1040	A0A0C6G2G8
160490.SPy_0510	A0A0C6FYW3
160490.SPy_1063	A0A0C6FZD3
160490.SPy_1216	A0A0C6G435
160490.SPy_1990	A0A0C6G639
160490.SPy_0296	A0A0C6FI66
160490.SPy_1280	A0A0C6FZT0
160490.SPy_1780	A0A0C6G606
160490.SPy_0743	A0A0C6FRK7
160490.SPy_0144	A0A0C6FY37
160490.SPy_0789	A0A0C6FV62
160490.SPy_0811	A0A0C6FV70
160490.SPy_0622	A0A0C6G3J6
160490.SPy_1149	A0A0C6G2L7
160490.SPy_2047	A0A0C6G647
160490.SPy_0546	A0A0C6G3H2
160490.SPy_0104	A0A0C6G536
160490.SPy_0852	A0A0C6FJ90
160490.SPy_2097	A0A0C6FTY4
160490.SPy_1378	A0A0C6FKB1
160490.SPy_1496	A0A0C6G0G5
160490.SPy_0521	A0A0C6G3G3
160490.SPy_1037	A0A0C6G3W9
160490.SPy_1312	A0A0C6G057
160490.SPy_2178	A0A0C6G1C8
160490.SPy_0913	A0A0C6G2E8
160490.SPy_0587	A0A0C6FUX4
160490.SPy_1602	A0A0C6G377
160490.SPy_1332	A0A0C6G5T5
160490.SPy_1979	Q53ZX6
160490.SPy_0827	A0A0C6FVC2
160490.SPy_2052	A0A0C6FXJ5
160490.SPy_0346	A0A0C6FYE9
160490.SPy_1241	A0A0C6FF78
160490.SPy_0262	A0A0C6G343
160490.SPy_0933	A0A0C6FZA0
160490.SPy_1179	A0A0C6G5Q7
160490.SPy_1870	A0A0C6FL90
160490.SPy_0822	A0A0C6FZA2
160490.SPy_2197	A0A0C6G3V6
160490.SPy_1172	A0A0C6FZY0
160490.SPy_0739	O85470
160490.SPy_0392	A0A0C6FYS5
160490.SPy_1120	A0A0C6G405
160490.SPy_0421	A0A0C6FYT2
160490.SPy_1791	A0A0C6G0U3
160490.SPy_1989	A0A0C6G3Q3
160490.SPy_1206	A0A0C6G431
160490.SPy_1665	A0A0C6G3A0
160490.SPy_0850	A0A0C6FEC8
160490.SPy_1850	A0A0C6FWK7
160490.SPy_1942	A0A0C6FXD4
160490.SPy_0847	A0A0C6FZ60
160490.SPy_0818	A0A0C6FEA8
160490.SPy_1379	A0A0C6G0A0
160490.SPy_1986	A0A0C6G134
160490.SPy_1481	A0A0C6G334
160490.SPy_0007	A0A0C6FHM9
160490.SPy_0273	A0A0C6FUF5
160490.SPy_0887	A0A0C6FVH2
160490.SPy_2058	A0A0C6G3S8
160490.SPy_1972	A0A0C6G127
160490.SPy_1292	A0A0C6G2U0
160490.SPy_0154	A0A0C6FHZ0
160490.SPy_1163	A0A0C6FZK3
160490.SPy_0287	A0A0C6FYB5
160490.SPy_1867	A0A0C6FWL4
160490.SPy_1596	A0A0C6FG68
160490.SPy_1647	A0A0C6G5Y5
160490.SPy_2053	A0A0C6FTW0
160490.SPy_1903	A0A0C6G626
160490.SPy_1759	A0A0C6FX35
160490.SPy_1088	A0A0C6G2I8
160490.SPy_1758	A0A0C6FWG2
160490.SPy_1080	A0A0C6FS63
160490.SPy_1683	A0A0C6G0Q5
160490.SPy_0049	A0A0C6FQD5
160490.SPy_1372	A0A0C6FKA6
160490.SPy_0722	A0A0C6FYY1
160490.SPy_0051	A0A0C6G522
160490.SPy_0713	A0A0C6FZ18
160490.SPy_2160	A0A0C6G1B8
160490.SPy_2085	A0A0C6FXM1
160490.SPy_1831	A0A0C6G3H7
160490.SPy_2010	A0A0C6G3R4
160490.SPy_0886	A0A0C6FJA7
160490.SPy_0771	A0A0C6FV55
160490.SPy_1785	A0A0C6G607
160490.SPy_0102	A0A0C6FUA4
160490.SPy_0524	A0A0C6FUT0
160490.SPy_1658	A0A0C6G5Y7
160490.SPy_2006	A0A0C6G3R2
160490.SPy_1258	A0A0C6FSG5
160490.SPy_0186	A0A0C6G1M6
160490.SPy_1346	D3VND5
160490.SPy_1437	A0A0C6G070
160490.SPy_0553	A0A0C6G5F8
160490.SPy_2051	A0A0C6G3S7
160490.SPy_2099	A0A0C6G197
160490.SPy_0613	A0A0C6G3J4
160490.SPy_1218	A0A0C6FJT4
160490.SPy_0883	V9TT65
160490.SPy_1099	A0A0C6FVU4
160490.SPy_2080	A0A0C6G652
160490.SPy_0935	A0A0C6FVB0
160490.SPy_1081	Q9FDV3
160490.SPy_0400	A0A0C6FYI0
160490.SPy_1768	A0A0C6G0T5
160490.SPy_1131	A0A0C6G409
160490.SPy_1282	A0A0C6FSH4
160490.SPy_1273	A0A0C6FZS6
160490.SPy_1523	A0A0C6FFY5
160490.SPy_1927	A0A0C6G0P4
160490.SPy_0361	A0A0C6FR54
160490.SPy_1896	A0A0C6G0M6
160490.SPy_1736	A0A0C6G3C8
160490.SPy_1136	A0A0C6FJL9
160490.SPy_1818	A0A0C6G4N3
160490.SPy_1542	A0A0C6FWQ0
160490.SPy_0585	A0A0C6G252
160490.SPy_0188	P72568
160490.SPy_0140	A0A0C6FCY8
160490.SPy_1699	A0A0C6FGI2
160490.SPy_1340	A0A0C6FK78
160490.SPy_1804	A0A0C6FWI6
160490.SPy_1441	A0A0C6G0D6
160490.SPy_1066	A0A0C6G5N7
160490.SPy_1057	A0A0C6FJG6
160490.SPy_0556	A0A0C6FRD9
160490.SPy_0925	A0A0C6G3V0
160490.SPy_1221	A0A0C6G2P8
160490.SPy_0019	Q7BH59
160490.SPy_1344	A0A0C6FVS9
160490.SPy_0179	A0A0C6FD33
160490.SPy_0443	A0A0C6G1X1
160490.SPy_1766	A0A0C6FTC1
160490.SPy_1830	A0A0C6G0V5
160490.SPy_2114	A0A0C6FWX0
160490.SPy_0837	A0A0C6FZB2
160490.SPy_2082	A0A0C6G187
160490.SPy_0797	A0A0C6G5K4
160490.SPy_0444	A0A0C6FUN4
160490.SPy_0874	A0A0C6G2D6
160490.SPy_1739	A0A0C6G4K9
160490.SPy_0721	A0A0C6FE33
160490.SPy_0105	A0A0C6FHW2
160490.SPy_0476	A0A0C6FRA1
160490.SPy_2154	A0A0C6G1B5
160490.SPy_1651	A0A0C6FWA4
160490.SPy_2201	W0S3J3
