546414.Deide_23220	C1D087
546414.Deide_11410	C1CV29
546414.Deide_18440	C1CXB5
546414.Deide_00880	C1CXT2
546414.Deide_21270	C1CYX1
546414.Deide_16000	C1CWJ7
546414.Deide_02690	C1CZ40
546414.Deide_18190	C1CX89
546414.Deide_16230	C1CWM4
546414.Deide_18100	C1CX80
546414.Deide_14250	C1CW06
546414.Deide_06340	C1D0V5
546414.Deide_15940	C1CWJ1
546414.Deide_10390	C1CUR2
546414.Deide_02240	C1CYL1
546414.Deide_06060	C1D0S4
546414.Deide_06080	C1D0S6
546414.Deide_07320	C1D166
546414.Deide_18850	C1CXF6
546414.Deide_18760	C1CXE7
546414.Deide_18620	C1CXD3
546414.Deide_18790	C1CXF0
546414.Deide_06070	C1D0S5
546414.Deide_05920	C1D0Q8
546414.Deide_22180	C1CZJ9
546414.Deide_18900	C1CXG1
546414.Deide_18930	C1CXG4
546414.Deide_18840	C1CXF5
546414.Deide_03310	C1CZB5
546414.Deide_22190	C1CZK0
546414.Deide_18870	C1CXF8
546414.Deide_18920	C1CXG3
546414.Deide_18770	C1CXE8
546414.Deide_06670	C1D0Z8
546414.Deide_01330	C1CYB8
546414.Deide_06110	C1D0S9
546414.Deide_03870	C1CZV9
546414.Deide_05910	C1D0Q7
546414.Deide_18670	C1CXD8
546414.Deide_18940	C1CXG5
546414.Deide_18800	C1CXF1
546414.Deide_06050	C1D0S3
546414.Deide_00100	C1CXJ9
546414.Deide_14650	C1CW51
546414.Deide_14010	C1CVX7
546414.Deide_02580	C1CZ29
546414.Deide_13210	C1CVP1
546414.Deide_18960	C1CXG7
546414.Deide_18650	C1CXD6
546414.Deide_18660	C1CXD7
546414.Deide_18820	C1CXF3
546414.Deide_10660	C1CUU1
546414.Deide_00110	C1CXK0
546414.Deide_18910	C1CXG2
546414.Deide_12360	C1CVD5
546414.Deide_13180	C1CVN8
546414.Deide_18890	C1CXG0
546414.Deide_18640	C1CXD5
546414.Deide_18780	C1CXE9
546414.Deide_00130	C1CXK2
546414.Deide_19000	C1CXH1
546414.Deide_18810	C1CXF2
546414.Deide_07310	C1D165
546414.Deide_23400	C1D0A7
546414.Deide_08670	C1D1L8
546414.Deide_13930	C1CVW9
546414.Deide_17210	C1CWX4
546414.Deide_11710	C1CV60
546414.Deide_11460	C1CV34
546414.Deide_20900	C1CYT5
546414.Deide_11470	C1CV35
546414.Deide_11380	C1CV26
546414.Deide_06410	C1D0W2
546414.Deide_07530	C1D186
546414.Deide_07570	C1D195
546414.Deide_05690	C1D0N3
546414.Deide_09052	C1D1Q9
546414.Deide_10630	C1CUT8
546414.Deide_08630	C1D1L3
546414.Deide_23040	C1D070
546414.Deide_00830	C1CXS7
546414.Deide_13160	C1CVN6
546414.Deide_00390	C1CXN1
546414.Deide_00990	C1CXU3
546414.Deide_01000	C1CXU4
546414.Deide_01010	C1CXU5
546414.Deide_00960	C1CXU0
546414.Deide_04030	C1CZX7
546414.Deide_03080	C1CZ90
546414.Deide_09390	C1D1U3
546414.Deide_03875	C1CZW1
546414.Deide_18970	C1CXG8
546414.Deide_16851	C1D1Z8
546414.Deide_16850	C1CWT9
546414.Deide_10572	E6RGA3
546414.Deide_21720	C1CZF0
546414.Deide_22410	C1CZM2
546414.Deide_22460	C1CZM7
546414.Deide_23460	C1D0B3
546414.Deide_04820	C1D0E3
546414.Deide_15620	C1CWG0
546414.Deide_21800	C1CZF8
546414.Deide_22140	C1CZJ5
546414.Deide_23100	C1D077
546414.Deide_15720	C1CWG9
546414.Deide_23370	C1D0A4
546414.Deide_18310	C1CXA1
546414.Deide_21941	C1CZH6
546414.Deide_05001	C1D0G2
546414.Deide_21520	C1CZD0
546414.Deide_18540	C1CXC5
546414.Deide_18730	C1CXE4
546414.Deide_15780	C1CWH5
546414.Deide_04600	C1D038
546414.Deide_23490	C1D0B6
546414.Deide_18420	C1CXB3
546414.Deide_23020	C1D068
546414.Deide_23300	C1D096
546414.Deide_05390	C1D0K3
546414.Deide_10680	C1CUU3
546414.Deide_06950	C1D129
546414.Deide_10970	C1CUX6
546414.Deide_11000	C1CUX9
546414.Deide_11400	C1CV28
546414.Deide_11720	C1CV61
546414.Deide_12121	C1CVA8
546414.Deide_12681	C1CVH1
546414.Deide_13050	C1CVL1
546414.Deide_08060	C1D1E7
546414.Deide_08410	C1D1I5
546414.Deide_08540	C1D1K3
546414.Deide_13840	C1CVV9
546414.Deide_11440	C1CV32
546414.Deide_10980	C1CUX7
546414.Deide_11240	C1CV11
546414.Deide_11780	C1CV69
546414.Deide_12650	C1CVG7
546414.Deide_13330	C1CVQ4
546414.Deide_07960	C1D1D6
546414.Deide_12361	C1CVD6
546414.Deide_13101	C1CVM9
546414.Deide_08430	C1D1I8
546414.Deide_11490	C1CV37
546414.Deide_08050	C1D1E6
546414.Deide_11170	C1CUZ9
546414.Deide_12150	C1CVB1
546414.Deide_12421	C1CVE3
546414.Deide_08010	C1D1E2
546414.Deide_11171	C1CV00
546414.Deide_14031	C1CVY1
546414.Deide_12200	C1CVB6
546414.Deide_12370	C1CVD7
546414.Deide_13590	C1CVT2
546414.Deide_08990	C1D1Q1
546414.Deide_12101	C1CVA4
546414.Deide_13280	C1CVP9
546414.Deide_13810	C1CVV5
546414.Deide_08790	C1D1N0
546414.Deide_12880	C1CVJ2
546414.Deide_13720	C1CVU5
546414.Deide_09400	C1D1U4
546414.Deide_19890	C1CY35
546414.Deide_20830	C1CYS4
546414.Deide_03520	C1CZS2
546414.Deide_04330	C1D010
546414.Deide_05200	C1D0I2
546414.Deide_05380	C1D0K2
546414.Deide_05450	C1D0K9
546414.Deide_05490	C1D0L4
546414.Deide_05760	C1D0P0
546414.Deide_08100	C1D1F3
546414.Deide_08180	C1D1G2
546414.Deide_09510	C1CUG2
546414.Deide_17240	C1CWX7
546414.Deide_19270	C1CXW8
546414.Deide_06390	C1D0W0
546414.Deide_07120	C1D145
546414.Deide_20060	C1CY54
546414.Deide_20480	C1CYN4
546414.Deide_22620	C1CZP5
546414.Deide_03770	C1CZU7
546414.Deide_04250	C1D000
546414.Deide_06630	C1D0Z3
546414.Deide_06811	C1D115
546414.Deide_08360	C1D1I0
546414.Deide_17390	C1CWZ3
546414.Deide_07250	C1D159
546414.Deide_17620	C1CX19
546414.Deide_02700	C1CZ41
546414.Deide_05410	C1D0K5
546414.Deide_16750	C1CWS9
546414.Deide_16851	C1CWU0
546414.Deide_19770	C1CY23
546414.Deide_01240	C1CYA5
546414.Deide_01740	C1CYG2
546414.Deide_01840	C1CYH2
546414.Deide_06990	C1D132
546414.Deide_14890	C1CW77
546414.Deide_04380	C1D015
546414.Deide_09790	C1CUJ2
546414.Deide_10450	C1CUS0
546414.Deide_17180	C1CWX1
546414.Deide_17826	C1CX48
546414.Deide_02390	C1CZ10
546414.Deide_14800	C1CW67
546414.Deide_00740	C1CXR8
546414.Deide_02801	C1CZ55
546414.Deide_10020	C1CUL6
546414.Deide_16960	C1CWV0
546414.Deide_19710	C1CY16
546414.Deide_02450	C1CZ17
546414.Deide_09490	C1CUG0
546414.Deide_09580	C1CUG9
546414.Deide_02590	C1CZ30
546414.Deide_02900	C1CZ70
546414.Deide_03810	C1CZV1
546414.Deide_04560	C1D034
546414.Deide_06030	C1D0S0
546414.Deide_06870	C1D121
546414.Deide_07450	C1D178
546414.Deide_10040	C1CUL8
546414.Deide_10380	C1CUR1
546414.Deide_10670	C1CUU2
546414.Deide_19310	C1CXX1
546414.Deide_02870	C1CZ67
546414.Deide_05420	C1D0K6
546414.Deide_14850	C1CW72
546414.Deide_00600	C1CXQ1
546414.Deide_20200	C1CY69
546414.Deide_21160	C1CYW0
546414.Deide_07050	C1D138
546414.Deide_07400	C1D173
546414.Deide_10090	C1CUM3
546414.Deide_15550	C1CWF3
546414.Deide_01890	C1CYH7
546414.Deide_22710	C1CZQ4
546414.Deide_23360	C1D0A3
546414.Deide_08510	C1D1J9
546414.Deide_10280	C1CUP4
546414.Deide_20780	C1CYR8
546414.Deide_04480	C1D026
546414.Deide_06350	C1D0V6
546414.Deide_19100	C1CXI4
546414.Deide_15930	C1CWJ0
546414.Deide_18410	C1CXB2
546414.Deide_21770	C1CZF5
546414.Deide_19290	C1CXW9
546414.Deide_09430	C1D1U7
546414.Deide_13460	C1CVR8
546414.Deide_17030	C1CWV7
546414.Deide_13090	C1CVM7
546414.Deide_14340	C1CW16
546414.Deide_08830	C1D1N5
546414.Deide_22591	C1CZP2
546414.Deide_14500	C1CW34
546414.Deide_15430	C1CWD9
546414.Deide_10725	C1CUU8
546414.Deide_11830	C1CV75
546414.Deide_12422	C1CVE4
546414.Deide_13500	C1CVS2
546414.Deide_09370	C1D1U1
546414.Deide_20290	C1CY82
546414.Deide_22720	C1CZQ5
546414.Deide_06510	C1D0X6
546414.Deide_10490	C1CUS4
546414.Deide_16485	C1CWQ3
546414.Deide_16700	C1CWS4
546414.Deide_17860	C1CX55
546414.Deide_18110	C1CX81
546414.Deide_19640	C1CY09
546414.Deide_01241	C1CYA6
546414.Deide_10410	C1CUR4
546414.Deide_06550	C1D0Y1
546414.Deide_20311	C1CY85
546414.Deide_01320	C1CYB7
546414.Deide_01560	C1CYE4
546414.Deide_04170	C1CZZ1
546414.Deide_05290	C1D0J1
546414.Deide_05680	C1D0N2
546414.Deide_23350	C1D0A2
546414.Deide_17730	C1CX30
546414.Deide_07790	C1D1B9
546414.Deide_07990	C1D1E0
546414.Deide_02842	C1CZ61
546414.Deide_15202	C1CWB1
546414.Deide_00450	C1CXN7
546414.Deide_00480	C1CXP0
546414.Deide_19190	C1CXV5
546414.Deide_19720	C1CY17
546414.Deide_01500	C1CYD8
546414.Deide_20313	C1CYL3
546414.Deide_02890	C1CZ69
546414.Deide_21810	C1CZF9
546414.Deide_18340	C1CXA4
546414.Deide_21850	C1CZG3
546414.Deide_04890	C1D0E9
546414.Deide_09680	C1CUI0
546414.Deide_14830	C1CW70
546414.Deide_16640	C1CWR9
546414.Deide_01470	C1CYD5
546414.Deide_03500	C1CZS0
546414.Deide_05710	C1D0N5
546414.Deide_06290	C1D0U9
546414.Deide_07300	C1D164
546414.Deide_22400	C1CZM1
546414.Deide_05440	C1D0K8
546414.Deide_02960	C1CZ76
546414.Deide_11600	C1CV49
546414.Deide_12700	C1CVH3
546414.Deide_13650	C1CVT8
546414.Deide_08700	C1D1M1
546414.Deide_08820	C1D1N4
546414.Deide_23321	C1D099
546414.Deide_09860	C1CUK0
546414.Deide_10400	C1CUR3
546414.Deide_17770	C1CX34
546414.Deide_18180	C1CX88
546414.Deide_00220	C1CXL4
546414.Deide_19500	C1CXZ5
546414.Deide_19590	C1CY04
546414.Deide_02470	C1CZ18
546414.Deide_05140	C1D0H6
546414.Deide_00730	C1CXR7
546414.Deide_19930	C1CY39
546414.Deide_20312	C1CY86
546414.Deide_01550	C1CYE3
546414.Deide_02570	C1CZ28
546414.Deide_03440	C1CZR4
546414.Deide_10791	C1CUV7
546414.Deide_16330	C1CWN5
546414.Deide_19250	C1CXW4
546414.Deide_20271	C1CY79
546414.Deide_05570	C1D0M1
546414.Deide_06300	C1D0V0
546414.Deide_20870	C1CYT2
546414.Deide_11800	C1CV71
546414.Deide_13580	C1CVT1
546414.Deide_17850	C1CX54
546414.Deide_20251	C1CY75
546414.Deide_01980	C1CYI5
546414.Deide_21280	C1CYX2
546414.Deide_03760	C1CZU6
546414.Deide_04150	C1CZY9
546414.Deide_06590	C1D0Y8
546414.Deide_18470	C1CXB8
546414.Deide_22110	C1CZJ1
546414.Deide_18430	C1CXB4
546414.Deide_04610	C1D040
546414.Deide_15770	C1CWH4
546414.Deide_06800	C1D112
546414.Deide_05210	C1D0I3
546414.Deide_14021	C1CVX9
546414.Deide_10720	C1CUU7
546414.Deide_13000	C1CVK4
546414.Deide_15480	C1CWE4
546414.Deide_19140	C1CXI9
546414.Deide_03360	C1CZC0
546414.Deide_13740	C1CVU7
546414.Deide_10750	C1CUV2
546414.Deide_11213	C1CV08
546414.Deide_08810	C1D1N3
546414.Deide_08940	C1D1P6
546414.Deide_09040	C1D1Q6
546414.Deide_10320	C1CUP8
546414.Deide_01090	C1CY88
546414.Deide_06740	C1D105
546414.Deide_07551	C1D193
546414.Deide_05130	C1D0H5
546414.Deide_05240	C1D0I6
546414.Deide_18480	C1CXB9
546414.Deide_14750	C1CW62
546414.Deide_16551	C1CWR0
546414.Deide_00710	C1CXR5
546414.Deide_02200	C1CYK7
546414.Deide_21230	C1CYW7
546414.Deide_02401	C1CZ12
546414.Deide_04240	C1CZZ9
546414.Deide_07510	C1D184
546414.Deide_18330	C1CXA3
546414.Deide_21851	C1CZG4
546414.Deide_23180	C1D083
546414.Deide_08770	C1D1M8
546414.Deide_02840	C1CZ59
546414.Deide_06040	C1D0S1
546414.Deide_10340	C1CUQ5
546414.Deide_14290	C1CW10
546414.Deide_14390	C1CW23
546414.Deide_15511	C1CWE8
546414.Deide_07060	C1D139
546414.Deide_04690	C1D0C9
546414.Deide_13200	C1CVP0
546414.Deide_07640	C1D1A2
546414.Deide_07700	C1D1A8
546414.Deide_16150	C1CWL5
546414.Deide_17970	C1CX66
546414.Deide_00850	C1CXS9
546414.Deide_01190	C1CY99
546414.Deide_06270	C1D0U7
546414.Deide_13800	C1CVV4
546414.Deide_10820	C1CUW1
546414.Deide_08800	C1D1N1
546414.Deide_10260	C1CUP2
546414.Deide_14950	C1CW83
546414.Deide_16860	C1CWU1
546414.Deide_17829	C1CX51
546414.Deide_17950	C1CX64
546414.Deide_04721	C1D0D3
546414.Deide_22330	C1CZL4
546414.Deide_17260	C1CWX9
546414.Deide_07840	C1D1C4
546414.Deide_08490	C1D1J7
546414.Deide_18120	C1CX82
546414.Deide_00250	C1CXL7
546414.Deide_21200	C1CYW4
546414.Deide_02880	C1CZ68
546414.Deide_05780	C1D0P3
546414.Deide_10322	C1CUP9
546414.Deide_13610	C1CVT4
546414.Deide_14070	C1CVY6
546414.Deide_00910	C1CXT5
546414.Deide_01590	C1CYE7
546414.Deide_03930	C1CZW7
546414.Deide_10990	C1CUX8
546414.Deide_12110	C1CVA6
546414.Deide_12301	C1CVC9
546414.Deide_12600	C1CVG2
546414.Deide_13080	C1CVM5
546414.Deide_13790	C1CVV3
546414.Deide_10780	C1CUV5
546414.Deide_10800	C1CUV9
546414.Deide_12350	C1CVD4
546414.Deide_09800	C1CUJ3
546414.Deide_16560	C1CWR1
546414.Deide_02720	C1CZ43
546414.Deide_03650	C1CZT5
546414.Deide_23170	C1D3Z8
546414.Deide_19350	C1CXX5
546414.Deide_14790	C1CW66
546414.Deide_15420	C1CWD8
546414.Deide_16090	C1CWK7
546414.Deide_01461	C1CYD4
546414.Deide_21150	C1CYV9
546414.Deide_04525	C1D030
546414.Deide_23060	C1D072
546414.Deide_21990	C1CZI1
546414.Deide_20210	C1CY70
546414.Deide_15740	C1CWH1
546414.Deide_15850	C1CWI2
546414.Deide_22270	C1CZK8
546414.Deide_04980	C1D0F9
546414.Deide_13940	C1CVX0
546414.Deide_14870	C1CW75
546414.Deide_16490	C1CWQ4
546414.Deide_18630	C1CXD4
546414.Deide_00490	C1CXP1
546414.Deide_19570	C1CY02
546414.Deide_08590	C1D1K8
546414.Deide_17040	C1CWV8
546414.Deide_03330	C1CZB7
546414.Deide_07660	C1D1A4
546414.Deide_11420	C1CV30
546414.Deide_13230	C1CVP3
546414.Deide_13780	C1CVV2
546414.Deide_15440	C1CWE0
546414.Deide_19520	C1CXZ7
546414.Deide_15170	C1CWA6
546414.Deide_16251	C1CWM7
546414.Deide_20630	C1CYQ3
546414.Deide_03800	C1CZV0
546414.Deide_21730	C1CZF1
546414.Deide_21960	C1CZH8
546414.Deide_04630	C1D0C1
546414.Deide_10890	C1CUW8
546414.Deide_16370	C1CWN9
546414.Deide_16890	C1CWU4
546414.Deide_00570	C1CXP8
546414.Deide_01640	C1CYF2
546414.Deide_21250	C1CYW9
546414.Deide_05770	C1D0P1
546414.Deide_14370	C1CW20
546414.Deide_14580	C1CW44
546414.Deide_15560	C1CWF4
546414.Deide_21060	C1CYV1
546414.Deide_06130	C1D0T2
546414.Deide_21680	C1CZE6
546414.Deide_09020	C1D1Q4
546414.Deide_13410	C1CVR3
546414.Deide_07950	C1D1D5
546414.Deide_14380	C1CW22
546414.Deide_00180	C1CXL0
546414.Deide_19451	C1CXY6
546414.Deide_22050	C1CZI5
546414.Deide_14420	C1CW26
546414.Deide_14820	C1CW69
546414.Deide_02350	C1CZ06
546414.Deide_03950	C1CZW9
546414.Deide_03960	C1CZX0
546414.Deide_03150	C1CZ97
546414.Deide_03230	C1CZA6
546414.Deide_04520	C1D029
546414.Deide_15640	C1CWG2
546414.Deide_09820	C1CUJ6
546414.Deide_12530	C1CVF5
546414.Deide_14041	C1CVY3
546414.Deide_10110	C1CUM5
546414.Deide_11910	C1CV83
546414.Deide_08155	C1D1F9
546414.Deide_08920	C1D1P4
546414.Deide_17220	C1CWX5
546414.Deide_20700	C1CYR1
546414.Deide_04810	C1D0E2
546414.Deide_02950	C1CZ75
546414.Deide_10440	C1CUR9
546414.Deide_19690	C1CY14
546414.Deide_22570	C1CZN9
546414.Deide_04020	C1CZX6
546414.Deide_05530	C1D0L8
546414.Deide_12261	C1CVC4
546414.Deide_14090	C1CVY9
546414.Deide_08415	C1D1I6
546414.Deide_15470	C1CWE3
546414.Deide_17980	C1CX68
546414.Deide_00120	C1CXK1
546414.Deide_00400	C1CXN2
546414.Deide_20300	C1CY83
546414.Deide_20720	C1CYR3
546414.Deide_20950	C1CYU0
546414.Deide_06470	C1D0W8
546414.Deide_06790	C1D111
546414.Deide_14110	C1CVZ1
546414.Deide_08000	C1D1E1
546414.Deide_17330	C1CWY7
546414.Deide_17825	C1CX47
546414.Deide_19261	C1CXW6
546414.Deide_01830	C1CYH1
546414.Deide_02852	C1CZ64
546414.Deide_03060	C1CZ88
546414.Deide_04370	C1D014
546414.Deide_04540	C1D032
546414.Deide_13640	C1CVT7
546414.Deide_14330	C1CW15
546414.Deide_11640	C1CV53
546414.Deide_17060	C1CWW0
546414.Deide_17610	C1CX18
546414.Deide_17870	C1CX56
546414.Deide_03000	C1CZ81
546414.Deide_07190	C1D152
546414.Deide_03290	C1CZB3
546414.Deide_21940	C1CZH5
546414.Deide_22880	C1D052
546414.Deide_12160	C1CVB2
546414.Deide_12740	C1CVH7
546414.Deide_10810	C1CUW0
546414.Deide_11290	C1CV16
546414.Deide_19972	C1CY47
546414.Deide_09780	C1CUJ1
546414.Deide_03320	C1CZB6
546414.Deide_22080	C1CZI8
546414.Deide_04130	C1CZY7
546414.Deide_15730	C1CWH0
546414.Deide_08710	C1D1M2
546414.Deide_12930	C1CVJ7
546414.Deide_11680	C1CV57
546414.Deide_13320	C1CVQ3
546414.Deide_10332	C1CUQ3
546414.Deide_16320	C1CWN4
546414.Deide_16740	C1CWS8
546414.Deide_17821	C1CX43
546414.Deide_20440	C1CYN0
546414.Deide_20750	C1CYR5
546414.Deide_03980	C1CZX2
546414.Deide_06140	C1D0T3
546414.Deide_07770	C1D1B6
546414.Deide_23330	C1D0A0
546414.Deide_15340	C1CWC9
546414.Deide_11500	C1CV38
546414.Deide_08530	C1D1K1
546414.Deide_10470	C1CUS2
546414.Deide_20710	C1CYR2
546414.Deide_10050	C1CUL9
546414.Deide_17410	C1CWZ5
546414.Deide_01060	C1CXV0
546414.Deide_19340	C1CXX4
546414.Deide_20460	C1CYN2
546414.Deide_22350	C1CZL6
546414.Deide_15690	C1CWG7
546414.Deide_11300	C1CV17
546414.Deide_14050	C1CVY4
546414.Deide_08130	C1D1F6
546414.Deide_14670	C1CW53
546414.Deide_20190	C1CY68
546414.Deide_02170	C1CYK4
546414.Deide_20500	C1CYN6
546414.Deide_20612	C1CYQ0
546414.Deide_21130	C1CYV7
546414.Deide_03700	C1CZU0
546414.Deide_05670	C1D0N1
546414.Deide_11040	C1CUY3
546414.Deide_12771	C1CVI1
546414.Deide_11540	C1CV42
546414.Deide_14150	C1CVZ5
546414.Deide_14300	C1CW11
546414.Deide_16430	C1CWP7
546414.Deide_17910	C1CX60
546414.Deide_01040	C1CXU8
546414.Deide_01050	C1CXU9
546414.Deide_19550	C1CY00
546414.Deide_20730	C1CYR4
546414.Deide_21240	C1CYW8
546414.Deide_03120	C1CZ94
546414.Deide_22750	C1CZQ8
546414.Deide_03860	C1CZV7
546414.Deide_09060	C1D1R0
546414.Deide_09650	C1CUH6
546414.Deide_03051	C1CZ87
546414.Deide_21790	C1CZF7
546414.Deide_08950	C1D1P7
546414.Deide_10760	C1CUV3
546414.Deide_14160	C1CVZ6
546414.Deide_14190	C1CVZ9
546414.Deide_09671	C1CUH9
546414.Deide_10300	C1CUP6
546414.Deide_14740	C1CW60
546414.Deide_16950	C1CWU9
546414.Deide_18080	C1CX78
546414.Deide_18130	C1CX83
546414.Deide_20180	C1CY67
546414.Deide_04431	C1D021
546414.Deide_16800	C1CWT4
546414.Deide_17560	C1CX12
546414.Deide_01480	C1CYD6
546414.Deide_03890	C1CZW3
546414.Deide_20317	C1CYL7
546414.Deide_04830	C1D0E4
546414.Deide_03430	C1CZC7
546414.Deide_22980	C1D064
546414.Deide_22320	C1CZL3
546414.Deide_14520	C1CW36
546414.Deide_19020	C1CXH4
546414.Deide_17640	C1CX21
546414.Deide_13530	C1CVS6
546414.Deide_09270	C1D1T0
546414.Deide_13960	C1CVX2
546414.Deide_14240	C1CW05
546414.Deide_19920	C1CY38
546414.Deide_21300	C1CYX4
546414.Deide_04120	C1CZY6
546414.Deide_05980	C1D0R5
546414.Deide_18270	C1CX97
546414.Deide_22060	C1CZI6
546414.Deide_23340	C1D0A1
546414.Deide_11080	C1CUY9
546414.Deide_11660	C1CV55
546414.Deide_13010	C1CVK5
546414.Deide_07850	C1D1C5
546414.Deide_09360	C1D1T9
546414.Deide_16260	C1CWM8
546414.Deide_19262	C1CXW7
546414.Deide_01580	C1CYE6
546414.Deide_21000	C1CYU5
546414.Deide_07500	C1D183
546414.Deide_06471	C1D0W9
546414.Deide_07532	C1D188
546414.Deide_21710	C1CZE9
546414.Deide_11610	C1CV50
546414.Deide_12690	C1CVH2
546414.Deide_13570	C1CVT0
546414.Deide_14730	C1CW59
546414.Deide_19470	C1CXZ1
546414.Deide_19850	C1CY31
546414.Deide_10120	C1CUM6
546414.Deide_10500	C1CUS5
546414.Deide_17380	C1CWZ2
546414.Deide_01310	C1CYB5
546414.Deide_20350	C1CYM1
546414.Deide_21180	C1CYW2
546414.Deide_21460	C1CYZ2
546414.Deide_03690	C1CZT9
546414.Deide_23150	C1D081
546414.Deide_23270	C1D092
546414.Deide_13710	C1CVU4
546414.Deide_05790	C1D0P4
546414.Deide_14981	C1CW87
546414.Deide_19052	C1CXH9
546414.Deide_00160	C1CXK8
546414.Deide_19400	C1CXY0
546414.Deide_06440	C1D0W5
546414.Deide_15790	C1CWH6
546414.Deide_13261	C1CVP7
546414.Deide_12030	C1CV96
546414.Deide_13340	C1CVQ5
546414.Deide_13420	C1CVR4
546414.Deide_10375	C1CUR0
546414.Deide_12990	C1CVK3
546414.Deide_16480	C1CWQ2
546414.Deide_16710	C1CWS5
546414.Deide_17660	C1CX23
546414.Deide_19490	C1CXZ4
546414.Deide_19830	C1CY29
546414.Deide_19975	C1CY46
546414.Deide_21740	C1CZF2
546414.Deide_05940	C1D0R0
546414.Deide_11850	C1CV77
546414.Deide_08450	C1D1J0
546414.Deide_10560	C1CUT0
546414.Deide_11630	C1CV52
546414.Deide_14310	C1CW13
546414.Deide_00780	C1CXS2
546414.Deide_01220	C1CYA2
546414.Deide_22940	C1D058
546414.Deide_17520	C1CX08
546414.Deide_20760	C1CYR6
546414.Deide_05080	C1D0H0
546414.Deide_07980	C1D1D8
546414.Deide_12280	C1CVC6
546414.Deide_10590	C1CUT4
546414.Deide_14450	C1CW29
546414.Deide_17831	C1CX49
546414.Deide_00140	C1CXK6
546414.Deide_19440	C1CXY4
546414.Deide_14180	C1CVZ8
546414.Deide_07270	C1D161
546414.Deide_13470	C1CVR9
546414.Deide_14620	C1CW48
546414.Deide_00690	C1CXR0
546414.Deide_01850	C1CYH3
546414.Deide_10740	C1CUV1
546414.Deide_12180	C1CVB4
546414.Deide_08720	C1D1M3
546414.Deide_14910	C1CW79
546414.Deide_00380	C1CXN0
546414.Deide_01790	C1CYG7
546414.Deide_20600	C1CYP8
546414.Deide_21140	C1CYV8
546414.Deide_21350	C1CYY0
546414.Deide_05150	C1D0H7
546414.Deide_05960	C1D0R2
546414.Deide_06730	C1D104
546414.Deide_07090	C1D142
546414.Deide_15100	C1CW99
546414.Deide_17140	C1CWW7
546414.Deide_19201	C1CXV8
546414.Deide_01710	C1CYF9
546414.Deide_01810	C1CYG9
546414.Deide_02140	C1CYK1
546414.Deide_06780	C1D109
546414.Deide_07535	C1D187
546414.Deide_11211	C1CV06
546414.Deide_12310	C1CVD0
546414.Deide_12550	C1CVF8
546414.Deide_08090	C1D1F1
546414.Deide_20120	C1CY60
546414.Deide_21660	C1CZE4
546414.Deide_21880	C1CZG9
546414.Deide_22260	C1CZK7
546414.Deide_04710	C1D0D1
546414.Deide_04930	C1D0F3
