9823.ENSSSCP00000024131	P54612
9823.ENSSSCP00000004976	Q712U6
9823.ENSSSCP00000013174	Q7YS78
9823.ENSSSCP00000017271	P79260
9823.ENSSSCP00000007749	Q6ZYM3
9823.ENSSSCP00000014591	Q6Q7K0
9823.ENSSSCP00000007190	P05024
9823.ENSSSCP00000006814	D2WKD8
9823.ENSSSCP00000006713	P05027
9823.ENSSSCP00000029611	Q9BDK6
9823.ENSSSCP00000018933	O77696
9823.ENSSSCP00000000984	P23220
9823.ENSSSCP00000018592	A1XQS5
9823.ENSSSCP00000014504	Q684M2
9823.ENSSSCP00000023669	Q29307
9823.ENSSSCP00000019250	Q6PQD5
9823.ENSSSCP00000003126	P19156
9823.ENSSSCP00000010209	P18434
9823.ENSSSCP00000022175	Q9MYT8
9823.ENSSSCP00000023528	P13618
9823.ENSSSCP00000019140	Q35915
9823.ENSSSCP00000019139	Q35914
9823.ENSSSCP00000004854	P80021
9823.ENSSSCP00000014280	Q95312
9823.ENSSSCP00000008142	Q95339
9823.ENSSSCP00000012823	Q2EN81
9823.ENSSSCP00000028760	A5GFW1
9823.ENSSSCP00000022968	Q9N0X0
9823.ENSSSCP00000028777	Q66T47
9823.ENSSSCP00000003227	P26776
9823.ENSSSCP00000007697	O77737
9823.ENSSSCP00000005050	Q07717
9823.ENSSSCP00000023800	Q864U6
9823.ENSSSCP00000023905	Q864U8
9823.ENSSSCP00000006463	Q8WNE9
9823.ENSSSCP00000030229	A5D9M6
9823.ENSSSCP00000003397	O19098
9823.ENSSSCP00000007142	Q95KQ6
9823.ENSSSCP00000014166	P14082
9823.ENSSSCP00000018420	Q4A1L5
9823.ENSSSCP00000025663	Q8WMR7
9823.ENSSSCP00000008265	Q4FAT7
9823.ENSSSCP00000021610	Q95332
9823.ENSSSCP00000026427	Q66RM2
9823.ENSSSCP00000000817	Q4JHS0
9823.ENSSSCP00000002708	Q8HZN9
9823.ENSSSCP00000029962	Q9GLX8
9823.ENSSSCP00000022287	A5A777
9823.ENSSSCP00000030070	Q5XW65
9823.ENSSSCP00000012797	A4UTQ2
9823.ENSSSCP00000003825	Q69DL0
9823.ENSSSCP00000027481	D0VWV4
9823.ENSSSCP00000021843	O18926
9823.ENSSSCP00000003409	Q866X6
9823.ENSSSCP00000006551	Q5S1S4
9823.ENSSSCP00000016247	P25117
9823.ENSSSCP00000022117	P01259
9823.ENSSSCP00000016986	Q8WN93
9823.ENSSSCP00000014615	P28491
9823.ENSSSCP00000013824	P35750
9823.ENSSSCP00000005095	P43368
9823.ENSSSCP00000021370	A0FKG7
9823.ENSSSCP00000014264	P80015
9823.ENSSSCP00000003793	A0PFK7
9823.ENSSSCP00000017982	Q9BDP9
9823.ENSSSCP00000009877	P39035
9823.ENSSSCP00000009878	P39036
9823.ENSSSCP00000009875	P39037
9823.ENSSSCP00000009882	P11841
9823.ENSSSCP00000023919	Q9N2I1
9823.ENSSSCP00000016724	Q95ND5
9823.ENSSSCP00000007195	O18934
9823.ENSSSCP00000007986	A5GFW5
9823.ENSSSCP00000014135	O62839
9823.ENSSSCP00000024395	A1E295
9823.ENSSSCP00000001934	O46427
9823.ENSSSCP00000007088	Q9GLE3
9823.ENSSSCP00000011919	Q28944
9823.ENSSSCP00000017622	Q6RVA9
9823.ENSSSCP00000017623	Q2QLE2
9823.ENSSSCP00000017617	Q29221
9823.ENSSSCP00000002680	Q9GK37
9823.ENSSSCP00000017542	P09954
9823.ENSSSCP00000012464	P09955
9823.ENSSSCP00000018299	Q2MJQ7
9823.ENSSSCP00000001472	Q9TSV3
9823.ENSSSCP00000012023	P01356
9823.ENSSSCP00000014444	Q4PR21
9823.ENSSSCP00000018779	P42831
9823.ENSSSCP00000018754	Q711P4
9823.ENSSSCP00000028561	Q29288
9823.ENSSSCP00000018777	P49873
9823.ENSSSCP00000000774	Q8WNW2
9823.ENSSSCP00000018036	Q52QT8
9823.ENSSSCP00000024934	Q75ZH0
9823.ENSSSCP00000013753	Q6PWT7
9823.ENSSSCP00000027437	Q9XS72
9823.ENSSSCP00000029693	A8WH75
9823.ENSSSCP00000028968	Q764N2
9823.ENSSSCP00000016015	Q7YRN2
9823.ENSSSCP00000016017	Q5PXD3
9823.ENSSSCP00000020229	Q95MQ5
9823.ENSSSCP00000012724	Q9GKE8
9823.ENSSSCP00000025898	O62680
9823.ENSSSCP00000023818	Q3ZDR4
9823.ENSSSCP00000026090	Q8WMQ3
9823.ENSSSCP00000004268	Q5H7C0
9823.ENSSSCP00000029815	Q007T2
9823.ENSSSCP00000022407	P79432
9823.ENSSSCP00000019951	Q9MYN5
9823.ENSSSCP00000027144	P58780
9823.ENSSSCP00000003756	P08419
9823.ENSSSCP00000026330	P00772
9823.ENSSSCP00000013655	Q29026
9823.ENSSSCP00000001522	Q03710
9823.ENSSSCP00000014267	P51779
9823.ENSSSCP00000017611	Q6PQZ2
9823.ENSSSCP00000025159	I3LM39
9823.ENSSSCP00000004099	Q19QT7
9823.ENSSSCP00000011138	Q4G1G8
9823.ENSSSCP00000016408	Q29411
9823.ENSSSCP00000026382	P32752
9823.ENSSSCP00000015855	A9YUB1
9823.ENSSSCP00000005303	O19112
9823.ENSSSCP00000021332	P00889
9823.ENSSSCP00000011081	P13222
9823.ENSSSCP00000024397	Q9GLF3
9823.ENSSSCP00000007392	Q9TUB5
9823.ENSSSCP00000027416	Q9GKE7
9823.ENSSSCP00000013241	Q95N02
9823.ENSSSCP00000010030	Q95N03
9823.ENSSSCP00000010325	Q29549
9823.ENSSSCP00000001169	O19074
9823.ENSSSCP00000002657	P04404
9823.ENSSSCP00000010614	B1PHQ8
9823.ENSSSCP00000002661	P0C8B5
9823.ENSSSCP00000014468	Q08092
9823.ENSSSCP00000001789	A5GFQ5
9823.ENSSSCP00000021143	O02732
9823.ENSSSCP00000005908	P01032
9823.ENSSSCP00000017865	Q9TUQ3
9823.ENSSSCP00000018433	Q8MIR4
9823.ENSSSCP00000002141	Q5G6V9
9823.ENSSSCP00000024582	P01192
9823.ENSSSCP00000001686	P02703
9823.ENSSSCP00000010805	Q99028
9823.ENSSSCP00000014234	D2SW95
9823.ENSSSCP00000023413	Q8WNR0
9823.ENSSSCP00000012672	P81045
9823.ENSSSCP00000019137	O79876
9823.ENSSSCP00000019138	P50667
9823.ENSSSCP00000019141	Q35916
9823.ENSSSCP00000022554	Q95283
9823.ENSSSCP00000008748	Q5S3G4
9823.ENSSSCP00000015039	Q1W0Y2
9823.ENSSSCP00000023389	P10612
9823.ENSSSCP00000011283	P19100
9823.ENSSSCP00000025837	P79430
9823.ENSSSCP00000001529	P15540
9823.ENSSSCP00000021926	P79402
9823.ENSSSCP00000000051	O46658
9823.ENSSSCP00000011493	P79383
9823.ENSSSCP00000004207	Q9GJX5
9823.ENSSSCP00000022475	Q8SPK1
9823.ENSSSCP00000022475	Q8SPK0
9823.ENSSSCP00000016238	O46420
9823.ENSSSCP00000006650	O46491
9823.ENSSSCP00000025968	P04574
9823.ENSSSCP00000027987	Q8HY46
9823.ENSSSCP00000010635	Q007T1
9823.ENSSSCP00000006626	P06296
9823.ENSSSCP00000029570	O19062
9823.ENSSSCP00000014232	Q862B1
9823.ENSSSCP00000014228	Q766Y7
9823.ENSSSCP00000014226	Q766Y6
9823.ENSSSCP00000015948	Q7M2W6
9823.ENSSSCP00000009883	Q8SQ26
9823.ENSSSCP00000020413	Q29118
9823.ENSSSCP00000018536	O02837
9823.ENSSSCP00000030176	P67872
9823.ENSSSCP00000009855	A7Y521
9823.ENSSSCP00000004525	O19113
9823.ENSSSCP00000014493	F1S584
9823.ENSSSCP00000028905	A5PF08
9823.ENSSSCP00000031088	Q9MYX7
9823.ENSSSCP00000007445	A8I499
9823.ENSSSCP00000020706	Q8SPJ9
9823.ENSSSCP00000004580	Q29101
9823.ENSSSCP00000009557	P43030
9823.ENSSSCP00000016630	Q764M9
9823.ENSSSCP00000021968	A4GVD1
9823.ENSSSCP00000029924	Q9GKE2
9823.ENSSSCP00000029153	P52649
9823.ENSSSCP00000018329	Q95245
9823.ENSSSCP00000005246	P00172
9823.ENSSSCP00000019147	P24964
9823.ENSSSCP00000017704	P62895
9823.ENSSSCP00000022174	Q28988
9823.ENSSSCP00000027834	Q28987
9823.ENSSSCP00000021841	Q29290
9823.ENSSSCP00000002240	Q29036
9823.ENSSSCP00000021948	Q29243
9823.ENSSSCP00000023541	P48319
9823.ENSSSCP00000011796	P48321
9823.ENSSSCP00000016152	Q8MIZ3
9823.ENSSSCP00000019955	P80041
9823.ENSSSCP00000026827	Q6GWX0
9823.ENSSSCP00000023307	Q9GLV6
9823.ENSSSCP00000025388	O62697
9823.ENSSSCP00000006714	P45846
9823.ENSSSCP00000011594	A3QRX8
9823.ENSSSCP00000021504	P02540
9823.ENSSSCP00000007548	P60982
9823.ENSSSCP00000000387	P20192
9823.ENSSSCP00000013919	F1RKQ4
9823.ENSSSCP00000028689	Q9XT00
9823.ENSSSCP00000003425	Q9TV69
9823.ENSSSCP00000011056	P42174
9823.ENSSSCP00000024691	Q8MJ30
9823.ENSSSCP00000002200	Q8WNV7
9823.ENSSSCP00000015958	A5GZW8
9823.ENSSSCP00000005040	Q29318
9823.ENSSSCP00000001456	Q767K6
9823.ENSSSCP00000016374	P09623
9823.ENSSSCP00000001830	B2LW77
9823.ENSSSCP00000030238	Q5GN48
9823.ENSSSCP00000005628	Q9TT01
9823.ENSSSCP00000000097	A4F4L4
9823.ENSSSCP00000008492	P11936
9823.ENSSSCP00000006628	F1RTY8
9823.ENSSSCP00000014601	O62855
9823.ENSSSCP00000019823	P22412
9823.ENSSSCP00000007962	A5GFZ5
9823.ENSSSCP00000028692	P22411
9823.ENSSSCP00000007333	Q28943
9823.ENSSSCP00000020447	P50130
9823.ENSSSCP00000020931	Q3BDI7
9823.ENSSSCP00000005035	Q8HZK3
9823.ENSSSCP00000005038	Q8HZK2
9823.ENSSSCP00000011002	P0C596
9823.ENSSSCP00000001487	Q29024
9823.ENSSSCP00000015020	P00377
9823.ENSSSCP00000009137	Q29554
9823.ENSSSCP00000001121	P09558
9823.ENSSSCP00000008036	A5A752
9823.ENSSSCP00000009635	Q29010
9823.ENSSSCP00000010120	P35463
9823.ENSSSCP00000013894	Q29387
9823.ENSSSCP00000006959	Q06AS9
9823.ENSSSCP00000001540	A5A8Y8
9823.ENSSSCP00000028117	Q00968
9823.ENSSSCP00000006026	P37176
9823.ENSSSCP00000010899	A1XSY8
9823.ENSSSCP00000012016	P61220
9823.ENSSSCP00000009538	O97939
9823.ENSSSCP00000018966	Q1KYT0
9823.ENSSSCP00000007095	P68211
9823.ENSSSCP00000012801	P98074
9823.ENSSSCP00000011184	Q9MYU4
9823.ENSSSCP00000008996	Q75QW1
9823.ENSSSCP00000014472	Q9MYZ9
9823.ENSSSCP00000008194	P49157
9823.ENSSSCP00000002505	P80230
9823.ENSSSCP00000005415	B6CVD7
9823.ENSSSCP00000003383	Q7YR83
9823.ENSSSCP00000030835	Q29040
9823.ENSSSCP00000005491	Q9XSW2
9823.ENSSSCP00000003045	Q29550
9823.ENSSSCP00000010038	Q9GJT2
9823.ENSSSCP00000009469	P55931
9823.ENSSSCP00000011671	P00636
9823.ENSSSCP00000024170	O97507
9823.ENSSSCP00000006704	Q9GLP1
9823.ENSSSCP00000028556	P12263
9823.ENSSSCP00000004216	Q9TUI8
9823.ENSSSCP00000018050	P10289
9823.ENSSSCP00000025576	Q45KW7
9823.ENSSSCP00000008769	P49924
9823.ENSSSCP00000005017	Q9TV36
9823.ENSSSCP00000006389	Q1A730
9823.ENSSSCP00000006776	Q9XSZ6
9823.ENSSSCP00000023182	Q29042
9823.ENSSSCP00000019414	Q29041
9823.ENSSSCP00000009550	Q8MJ76
9823.ENSSSCP00000012570	P29700
9823.ENSSSCP00000019575	P20002
9823.ENSSSCP00000025433	Q9N198
9823.ENSSSCP00000009895	Q95L12
9823.ENSSSCP00000009601	P14477
9823.ENSSSCP00000002194	B2MVP8
9823.ENSSSCP00000007854	B2LYG4
9823.ENSSSCP00000023659	Q767L6
9823.ENSSSCP00000016191	P16549
9823.ENSSSCP00000016193	Q9TTB4
9823.ENSSSCP00000027466	O77564
9823.ENSSSCP00000002583	O97930
9823.ENSSSCP00000019349	Q6VFT6
9823.ENSSSCP00000002629	Q33BP8
9823.ENSSSCP00000010000	A4L7N3
9823.ENSSSCP00000003417	P19133
9823.ENSSSCP00000014160	P01228
9823.ENSSSCP00000020856	P49059
9823.ENSSSCP00000017901	P10669
9823.ENSSSCP00000022108	P53603
9823.ENSSSCP00000026068	P10173
9823.ENSSSCP00000013626	Q864V5
9823.ENSSSCP00000003400	Q29043
9823.ENSSSCP00000003406	Q10982
9823.ENSSSCP00000002478	P79282
9823.ENSSSCP00000023061	O97797
9823.ENSSSCP00000004769	A1Y2K1
9823.ENSSSCP00000003094	P08059
9823.ENSSSCP00000008445	P80147
9823.ENSSSCP00000013698	P07480
9823.ENSSSCP00000009052	Q9GKX6
9823.ENSSSCP00000002856	Q8WNQ7
9823.ENSSSCP00000003598	Q9TT95
9823.ENSSSCP00000028297	Q29121
9823.ENSSSCP00000025647	P79403
9823.ENSSSCP00000022312	P01351
9823.ENSSSCP00000004009	Q95JA5
9823.ENSSSCP00000005032	P50441
9823.ENSSSCP00000023723	P63246
9823.ENSSSCP00000007989	A5GFW8
9823.ENSSSCP00000015324	Q9N1U3
9823.ENSSSCP00000017001	O18831
9823.ENSSSCP00000011877	Q6Q7J2
9823.ENSSSCP00000010324	Q8HXW0
9823.ENSSSCP00000028318	P20735
9823.ENSSSCP00000005915	P50127
9823.ENSSSCP00000017661	P34999
9823.ENSSSCP00000012327	Q9GKY5
9823.ENSSSCP00000017873	P19756
9823.ENSSSCP00000012525	Q95254
9823.ENSSSCP00000014781	B3SP85
9823.ENSSSCP00000023744	P01281
9823.ENSSSCP00000021821	Q8HYA9
9823.ENSSSCP00000023154	D2XPP7
9823.ENSSSCP00000006950	Q70KH2
9823.ENSSSCP00000023820	P01219
9823.ENSSSCP00000016481	P46410
9823.ENSSSCP00000015066	P12309
9823.ENSSSCP00000010597	P68266
9823.ENSSSCP00000016844	P01274
9823.ENSSSCP00000027841	I3LUP1
9823.ENSSSCP00000012142	P0C5I2
9823.ENSSSCP00000019751	Q2XSV9
9823.ENSSSCP00000001790	Q29555
9823.ENSSSCP00000009521	P49922
9823.ENSSSCP00000010305	P49921
9823.ENSSSCP00000003866	Q58DD9
9823.ENSSSCP00000016648	B2ZHY2
9823.ENSSSCP00000021702	P36968
9823.ENSSSCP00000001283	O18994
9823.ENSSSCP00000020573	B5KFD7
9823.ENSSSCP00000012443	Q8WP15
9823.ENSSSCP00000006000	P34935
9823.ENSSSCP00000002831	P51781
9823.ENSSSCP00000011305	Q9N1F5
9823.ENSSSCP00000013714	P80031
9823.ENSSSCP00000025763	O62786
9823.ENSSSCP00000022419	Q9XT10
9823.ENSSSCP00000021398	P79897
9823.ENSSSCP00000004292	O13009
9823.ENSSSCP00000000644	P55204
9823.ENSSSCP00000026784	Q71LE2
9823.ENSSSCP00000027849	P62802
9823.ENSSSCP00000001574	P15981
9823.ENSSSCP00000001575	P15982
9823.ENSSSCP00000008514	P02009
9823.ENSSSCP00000008517	P01965
9823.ENSSSCP00000015647	P02067
9823.ENSSSCP00000015279	Q01580
9823.ENSSSCP00000015648	P02101
9823.ENSSSCP00000015648	P04246
9823.ENSSSCP00000009757	P00348
9823.ENSSSCP00000003142	Q9GJR5
9823.ENSSSCP00000000651	Q5ISC6
9823.ENSSSCP00000015556	P50828
9823.ENSSSCP00000028422	Q8MJ80
9823.ENSSSCP00000014965	Q29548
9823.ENSSSCP00000007162	O02734
9823.ENSSSCP00000014973	Q1W675
9823.ENSSSCP00000009955	P12682
9823.ENSSSCP00000010363	P17741
9823.ENSSSCP00000003858	P80272
9823.ENSSSCP00000028034	Q03365
9823.ENSSSCP00000009489	Q8MJD6
9823.ENSSSCP00000007090	E2IUK4
9823.ENSSSCP00000003968	Q06AT1
9823.ENSSSCP00000015032	P10859
9823.ENSSSCP00000025410	Q45FY6
9823.ENSSSCP00000002967	Q8SPS7
9823.ENSSSCP00000020097	P34930
9823.ENSSSCP00000020097	Q6S4N2
9823.ENSSSCP00000019687	P04101
9823.ENSSSCP00000008216	Q5S1U1
9823.ENSSSCP00000008819	Q1W674
9823.ENSSSCP00000012158	Q6RHW4
9823.ENSSSCP00000012156	Q6RHW2
9823.ENSSSCP00000011571	P79381
9823.ENSSSCP00000010323	Q6Q2C2
9823.ENSSSCP00000004110	Q8MJS1
9823.ENSSSCP00000019802	P26461
9823.ENSSSCP00000000612	Q29119
9823.ENSSSCP00000017718	Q75ZP3
9823.ENSSSCP00000026205	P24853
9823.ENSSSCP00000017719	P16611
9823.ENSSSCP00000018516	P24854
9823.ENSSSCP00000028711	Q28985
9823.ENSSSCP00000015070	P12675
9823.ENSSSCP00000021371	Q29545
9823.ENSSSCP00000009215	Q2VIU1
9823.ENSSSCP00000021281	Q06AV5
9823.ENSSSCP00000007635	P56472
9823.ENSSSCP00000013592	P41566
9823.ENSSSCP00000002026	P33198
9823.ENSSSCP00000023652	P20460
9823.ENSSSCP00000018178	A6M931
9823.ENSSSCP00000028605	P49879
9823.ENSSSCP00000005523	A7UHZ5
9823.ENSSSCP00000000511	P17803
9823.ENSSSCP00000017634	Q5S1U6
9823.ENSSSCP00000005182	Q29000
9823.ENSSSCP00000000915	P16545
9823.ENSSSCP00000002133	Q08353
9823.ENSSSCP00000001489	Q9TSV7
9823.ENSSSCP00000016594	Q29055
9823.ENSSSCP00000012501	Q29053
9823.ENSSSCP00000018057	Q28938
9823.ENSSSCP00000015192	Q95J68
9823.ENSSSCP00000009657	Q95253
9823.ENSSSCP00000001905	Q60I29
9823.ENSSSCP00000015962	O19073
9823.ENSSSCP00000008638	P18430
9823.ENSSSCP00000008636	P26889
9823.ENSSSCP00000009696	Q76LU6
9823.ENSSSCP00000023036	O02733
9823.ENSSSCP00000009697	P26891
9823.ENSSSCP00000008346	Q863Z5
9823.ENSSSCP00000015193	Q04745
9823.ENSSSCP00000015189	Q9MYM5
9823.ENSSSCP00000024026	P26893
9823.ENSSSCP00000006572	Q9N2G6
9823.ENSSSCP00000026976	P26894
9823.ENSSSCP00000001081	P80229
9823.ENSSSCP00000008128	C6K7I2
9823.ENSSSCP00000006654	F1RT67
9823.ENSSSCP00000021670	P04087
9823.ENSSSCP00000024268	P03970
9823.ENSSSCP00000014767	P51461
9823.ENSSSCP00000025428	P01315
9823.ENSSSCP00000007032	P18175
9823.ENSSSCP00000025038	Q6QN13
9823.ENSSSCP00000025124	Q6QN12
9823.ENSSSCP00000002752	Q6QN11
9823.ENSSSCP00000006574	Q71U53
9823.ENSSSCP00000026610	Q7YQJ4
9823.ENSSSCP00000025570	B3VKQ2
9823.ENSSSCP00000015188	A0FIN4
9823.ENSSSCP00000028920	Q764M6
9823.ENSSSCP00000022179	P00998
9823.ENSSSCP00000011731	P37109
9823.ENSSSCP00000030775	Q9GLP0
9823.ENSSSCP00000028146	P53714
9823.ENSSSCP00000016835	Q1RPR6
9823.ENSSSCP00000023164	Q462R2
9823.ENSSSCP00000011867	O02668
9823.ENSSSCP00000012206	P79263
9823.ENSSSCP00000010034	Q52N47
9823.ENSSSCP00000017233	Q06AV4
9823.ENSSSCP00000005606	O19064
9823.ENSSSCP00000018502	Q29218
9823.ENSSSCP00000006028	P00571
9823.ENSSSCP00000018286	P07802
9823.ENSSSCP00000012116	P05207
9823.ENSSSCP00000014641	P36887
9823.ENSSSCP00000015364	O19175
9823.ENSSSCP00000009730	Q95266
9823.ENSSSCP00000011011	O18866
9823.ENSSSCP00000007950	O18868
9823.ENSSSCP00000020421	O02670
9823.ENSSSCP00000005068	Q29577
9823.ENSSSCP00000004197	Q29561
9823.ENSSSCP00000029482	A1YVX4
9823.ENSSSCP00000014495	Q684M4
9823.ENSSSCP00000014875	P31006
9823.ENSSSCP00000009430	Q2HWD6
9823.ENSSSCP00000021547	C7EMF5
9823.ENSSSCP00000023475	P79288
9823.ENSSSCP00000027121	P00752
9823.ENSSSCP00000021083	Q9MZS9
9823.ENSSSCP00000010237	Q00655
9823.ENSSSCP00000006164	P04119
9823.ENSSSCP00000010712	P01846
9823.ENSSSCP00000024183	P18137
9823.ENSSSCP00000014202	P00339
9823.ENSSSCP00000024847	P00336
9823.ENSSSCP00000014199	Q9TSX5
9823.ENSSSCP00000015201	Q95JB4
9823.ENSSSCP00000000129	Q49I35
9823.ENSSSCP00000022838	O02671
9823.ENSSSCP00000017572	Q29406
9823.ENSSSCP00000026919	B0KYV5
9823.ENSSSCP00000011355	P00591
9823.ENSSSCP00000003269	Q68J42
9823.ENSSSCP00000018896	Q9GL51
9823.ENSSSCP00000030478	Q29191
9823.ENSSSCP00000012297	Q5PXT2
9823.ENSSSCP00000006923	Q3ZD69
9823.ENSSSCP00000018988	P16469
9823.ENSSSCP00000003414	P01232
9823.ENSSSCP00000007259	Q66X52
9823.ENSSSCP00000006699	P98110
9823.ENSSSCP00000015138	P45845
9823.ENSSSCP00000000522	P12067
9823.ENSSSCP00000000522	P12068
9823.ENSSSCP00000004583	O02773
9823.ENSSSCP00000023573	Q28949
9823.ENSSSCP00000019457	Q2TLZ2
9823.ENSSSCP00000023309	A4UTQ0
9823.ENSSSCP00000013109	Q6ITT4
9823.ENSSSCP00000004804	Q29558
9823.ENSSSCP00000026746	Q5U9S1
9823.ENSSSCP00000025444	P81558
9823.ENSSSCP00000005275	O97504
9823.ENSSSCP00000027505	Q9MZV8
9823.ENSSSCP00000000079	Q9MZ01
9823.ENSSSCP00000001438	Q767L8
9823.ENSSSCP00000021561	P11708
9823.ENSSSCP00000025866	P00346
9823.ENSSSCP00000001794	Q95313
9823.ENSSSCP00000006128	Q6Q7J5
9823.ENSSSCP00000018072	Q2F7Z4
9823.ENSSSCP00000026217	A2ICN5
9823.ENSSSCP00000015044	A4UTP7
9823.ENSSSCP00000017620	Q2QLE0
9823.ENSSSCP00000002007	P79385
9823.ENSSSCP00000017005	A1DWM3
9823.ENSSSCP00000005385	O19071
9823.ENSSSCP00000000637	Q8MJ39
9823.ENSSSCP00000000994	Q6ITT3
9823.ENSSSCP00000009421	D5K8A2
9823.ENSSSCP00000010740	P80928
9823.ENSSSCP00000001029	Q8WN98
9823.ENSSSCP00000008541	Q864R5
9823.ENSSSCP00000002229	Q9XT90
9823.ENSSSCP00000015909	P21692
9823.ENSSSCP00000015906	P79287
9823.ENSSSCP00000007964	A5GFZ6
9823.ENSSSCP00000013160	P26042
9823.ENSSSCP00000006661	P50118
9823.ENSSSCP00000001650	P01307
9823.ENSSSCP00000015242	Q29029
9823.ENSSSCP00000027353	Q865K8
9823.ENSSSCP00000002827	Q865K9
9823.ENSSSCP00000027395	Q9TU05
9823.ENSSSCP00000028823	O02826
9823.ENSSSCP00000009448	Q6UGB2
9823.ENSSSCP00000025546	P49068
9823.ENSSSCP00000025546	P79376
9823.ENSSSCP00000022537	P79379
9823.ENSSSCP00000022537	P79380
9823.ENSSSCP00000009789	Q865F1
9823.ENSSSCP00000006951	Q27HK4
9823.ENSSSCP00000027271	Q2L969
9823.ENSSSCP00000001889	Q8MI68
9823.ENSSSCP00000029166	P27594
9823.ENSSSCP00000012857	A7VK00
9823.ENSSSCP00000006374	Q29031
9823.ENSSSCP00000011996	A2TF48
9823.ENSSSCP00000001001	Q3YFL6
9823.ENSSSCP00000000151	P81271
9823.ENSSSCP00000019078	Q9TV61
9823.ENSSSCP00000019078	Q9TV63
9823.ENSSSCP00000002219	P79293
9823.ENSSSCP00000000411	P60662
9823.ENSSSCP00000026757	P29269
9823.ENSSSCP00000012639	P79280
9823.ENSSSCP00000004831	Q29122
9823.ENSSSCP00000015796	Q28970
9823.ENSSSCP00000014214	P49811
9823.ENSSSCP00000016407	P49812
