99287.STM2332	Q8ZNE0
99287.STM2302	O52328
99287.STM2303	Q8ZNF0
99287.STM2301	O52327
99287.STM0978	P07637
99287.STM3486	P77980
99287.STM2384	P58729
99287.STM1358	P58687
99287.STM3401	Q8ZLN1
99287.STM2670	P0A1B5
99287.STM1347	Q8ZPS4
99287.STM3487	P63601
99287.STM0388	P63603
99287.STM0150	P0CK99
99287.STM3877	Q8ZKW4
99287.STM2548	P26474
99287.STM2549	P26475
99287.STM2550	P0A1Y2
99287.STM1485	Q8ZPK9
99287.STM3290.S	Q8ZLT0
99287.STM1304	Q8ZPV1
99287.STM1306	Q8ZPU9
99287.STM1303	Q8ZPV2
99287.STM1305	Q8ZPV0
99287.STM1307	Q8ZPU8
99287.STM0706	Q8ZQW1
99287.STM0705	Q8ZQW2
99287.STM0704	Q8ZQW3
99287.STM4456	P36640
99287.STM3763	P22036
99287.STM3871	Q7CPE3
99287.STM3867	Q7CPE1
99287.STM3865	Q7CPE2
99287.STM3868	Q7CPE5
99287.STM3864	P0A1B7
99287.STM3869	Q7CPE4
99287.STM3866	Q8ZKW8
99287.STM3870	P68704
99287.STM1642	P63462
99287.STM0224	Q8ZRP0
99287.STM2520	H9L451
99287.STM2685	Q7CPZ3
99287.STM4292	P36556
99287.STM4291	P36557
99287.STM3619	Q93IN2
99287.STM3618	Q93IN1
99287.STM3616	Q8ZLB8
99287.STM3622	Q8ZLB5
99287.STM3623	Q7CPI8
99287.STM3624	Q7CPI7
99287.STM3620	Q8ZLB6
99287.STM1564	P65641
99287.STM2494	P66950
99287.STM3444	P0A1Z6
99287.STM3443	O68926
99287.STM2166	Q56078
99287.STM3478	P25927
99287.STM0793	P12677
99287.STM0794	P12678
99287.STM0796	Q8ZQQ6
99287.STM0797	Q8ZQQ5
99287.STM1489	Q8ZPK6
99287.STM0795	Q8ZQQ7
99287.STM3509	Q8ZLI9
99287.STM4138	P37416
99287.STM0399	P0A1W8
99287.STM4130	P37409
99287.STM1340	Q8ZPS8
99287.STM1342	P63351
99287.STM0206	Q8ZRP7
99287.STM1718	P31570
99287.STM4439	P63727
99287.STM0073	Q8ZRX2
99287.STM0072	Q8ZRX3
99287.STM0071	Q8ZRX4
99287.STM0070	Q8ZRX5
99287.STM0069	Q8ZRX6
99287.STM0074	Q8ZRX1
99287.STM4119	Q8ZKM0
99287.STM0066	P14845
99287.STM0067	P14846
99287.STM2035	P29946
99287.STM2034	Q05600
99287.STM2033	Q05601
99287.STM2032	Q05628
99287.STM2031	P0A2H1
99287.STM2029	P0A2G9
99287.STM2028	Q05631
99287.STM2027	Q05590
99287.STM2026	Q05591
99287.STM2025	Q05592
99287.STM2024	Q05593
99287.STM2023	Q05594
99287.STM2022	Q05595
99287.STM2020	Q05596
99287.STM2019	Q05597
99287.STM2021	Q05598
99287.STM2030	Q05632
99287.STM1112	P63263
99287.STM1111	Q7CQS3
99287.STM3204	Q8ZLY4
99287.STM3819	Q8ZKZ9
99287.STM2254	P61378
99287.STM3815	Q8XG35
99287.STM2183	Q8ZNM0
99287.STM4064	P26219
99287.STM1319	Q8ZPU0
99287.STM4329	P0A1D5
99287.STM4330	P0A1D3
99287.STM1317	Q8ZPU1
99287.STM1921	P09384
99287.STM1917	P04042
99287.STM1918	P07801
99287.STM1920	P06110
99287.STM1916	P0A2D5
99287.STM1915	P07800
99287.STM0687	Q7CQY4
99287.STM0688	Q8ZQX4
99287.STM1269	Q93LJ4
99287.STM1309	Q8ZPU6
99287.STM0730	O68883
99287.STM0689	P0A2G3
99287.STM0690	P37463
99287.STM0623	Q7CQZ6
99287.STM0059	Q7CR91
99287.STM0063	Q8ZRX9
99287.STM0619	Q8ZR14
99287.STM0057	P0A2F8
99287.STM0203	Q8ZRP8
99287.STM1490	Q8ZPK5
99287.STM2660	Q7CQ01
99287.STM0448	P0A1D7
99287.STM0944	P67649
99287.STM0449	Q8ZRC0
99287.STM1739	P63798
99287.STM0812	Q8ZQP4
99287.STM1905	Q7CQC4
99287.STM1906	Q8ZNV1
99287.STM1461.S	Q7CQK5
99287.STM4139	Q9L9K3
99287.STM3725	Q8ZL48
99287.STM0140	P63828
99287.STM0643	P39701
99287.STM0644	P97084
99287.STM2017	Q05602
99287.STM2016	Q05603
99287.STM2018	Q05599
99287.STM0457	Q8ZRB6
99287.STM0498	Q8ZR95
99287.STM3952	P0A2R8
99287.STM0667	P0A2L3
99287.STM4403	P26265
99287.STM4118	Q7CPC0
99287.STM0118	P0A2P8
99287.STM0630	P63866
99287.STM0319	Q7CR52
99287.STM3466	P0A2T6
99287.STM1144	P0A1E5
99287.STM1143	P0A1E8
99287.STM1145	P0A1Z8
99287.STM1142	O54294
99287.STM1141	P0A200
99287.STM1140	P0A202
99287.STM1139	P0A204
99287.STM2789	P0CL02
99287.STM3649	P0A9Y2
99287.STM1837	P0A9Y9
99287.STM1243	P0A1D9
99287.STM1996	P0CL01
99287.STM2826	P69917
99287.STM0168	Q8ZRS2
99287.STM0499	Q93CH6
99287.STM4324	Q7CPA2
99287.STM1907	Q8ZNV0
99287.STM3939	P0A1A7
99287.STM3943	P56978
99287.STM0439	Q8ZRC4
99287.STM2441	P40860
99287.STM1713	P06614
99287.STM2933	P63889
99287.STM2935	P65672
99287.STM3699	P29847
99287.STM3477	P25924
99287.STM2946	P17853
99287.STM2947	P17845
99287.STM2948	P38039
99287.STM2430	P0A1E3
99287.STM2440	P29848
99287.STM2934	Q8ZMF5
99287.STM2444	P41031
99287.STM4404	P26264
99287.STM2443	P41032
99287.STM2429	P12673
99287.STM2062	P37604
99287.STM1803	Q8ZP17
99287.STM2489	Q8ZN71
99287.STM0064	Q8ZRX8
99287.STM0213	Q8ZRP4
99287.STM2483	Q8ZN75
99287.STM3947	P0A1F2
99287.STM4170	P0A1R6
99287.STM0451	P0A1R8
99287.STM2121	P63905
99287.STM3352	Q03030
99287.STM1512	P27236
99287.STM3614	P50334
99287.STM4167	Q9L9I4
99287.STM1953	Q8ZNT7
99287.STM0380	P0A1F0
99287.STM0130	Q8ZRU1
99287.STM3406	Q8ZLM7
99287.STM0209	P26982
99287.STM4569	P63923
99287.STM4567	Q8ZJV8
99287.STM4570	Q8ZJV7
99287.STM2519	Q9XCI8
99287.STM2190	P23905
99287.STM3828	Q8ZKZ1
99287.STM0208	P40733
99287.STM3539	P0A1F8
99287.STM1299	P15111
99287.STM0732	P63725
99287.STM3266	Q8ZLU2
99287.STM0821	Q8ZQN7
99287.STM0094	Q7CR86
99287.STM3165	Q8ZM06
99287.STM0255	Q8ZRM7
99287.STM0186	P0A1G5
99287.STM3668	Q8ZL83
99287.STM3967	Q9L6M9
99287.STM3484	P0DMP4
99287.STM3484	P0DMP3
99287.STM1495	Q8ZPK0
99287.STM3838	P35891
99287.STM4246	P0A1Q4
99287.STM3210	P07362
99287.STM0013	P0A1G7
99287.STM0012	Q56073
99287.STM4544	P67524
99287.STM2427	Q8ZN89
99287.STM1002	P40817
99287.STM3999	Q9F173
99287.STM0231	P14567
99287.STM3837	P26464
99287.STM0264	P0A1G9
99287.STM0484	P74876
99287.STM0313	P63989
99287.STM0831	Q7CQV9
99287.STM3997	P0A2H9
99287.STM1807	P63993
99287.STM3043	P55890
99287.STM4323	Q8ZKC3
99287.STM3813	Q8XFK6
99287.STM3194	P0A1H1
99287.STM1983	P0C0T3
99287.STM4028	P58533
99287.STM1452	Q8ZPM6
99287.STM3592	Q8ZLD6
99287.STM0710	Q7CQY0
99287.STM4243	Q8ZKH4
99287.STM3384	P0A2R6
99287.STM2174	Q8ZNM4
99287.STM3731	P64008
99287.STM0220	Q8ZRP3
99287.STM0422	Q8ZRD1
99287.STM3070	Q7CPU5
99287.STM1517	Q56072
99287.STM2645	Q8ZMX5
99287.STM2262	Q8ZNH4
99287.STM3446	P0A1H3
99287.STM2211.S	P64046
99287.STM4334	P64036
99287.STM0217	P64052
99287.STM4146	P0A1H5
99287.STM1799	Q7CQE4
99287.STM2203	Q8ZNK6
99287.STM0728	P0CL05
99287.STM2729	Q8ZMS4
99287.STM4001	P64068
99287.STM2952	P64076
99287.STM0584	Q56064
99287.STM0599	Q8ZR29
99287.STM0593	Q8ZR35
99287.STM1242	Q56030
99287.STM1240	Q56032
99287.STM3501	P08982
99287.STM4344	Q9ZJ12
99287.STM4333	Q8ZKB8
99287.STM4293	P36555
99287.STM3635	P43666
99287.STM2580	Q56057
99287.STM2015	P40680
99287.STM0204.S	Q7CR66
99287.STM2459	Q9ZFV2
99287.STM2458	P19264
99287.STM2457	P19265
99287.STM2466	P41790
99287.STM2463	P41793
99287.STM2461	P41795
99287.STM2460	P41796
99287.STM2462	P0A206
99287.STM2455	Q9ZFU8
99287.STM2456	P0A1C9
99287.STM2465	P41791
99287.STM2464	P41792
99287.STM2469	P0A208
99287.STM2468	Q9ZFV5
99287.STM2454	Q9ZFU7
99287.STM2470	Q9ZFV7
99287.STM2467	Q9ZFV4
99287.STM1302	P0A1A9
99287.STM2512	Q8ZN58
99287.STM0424	P67458
99287.STM3159	P0A1H7
99287.STM4415	Q8ZK67
99287.STM1067	P64105
99287.STM1194	O85140
99287.STM1195	P0A2C9
99287.STM1193	O85139
99287.STM1700	P16657
99287.STM4127	Q7CPB8
99287.STM0227	P0A1H9
99287.STM3982	P0A2H7
99287.STM3983	Q9L6L5
99287.STM0309	Q8ZRJ7
99287.STM2389	Q8ZNA6
99287.STM2388	Q8ZNA7
99287.STM2391	Q8ZNA5
99287.STM1805	Q8ZP15
99287.STM4038	Q8ZKS7
99287.STM4034	Q8ZKT0
99287.STM3506	P74884
99287.STM3507	Q7CPK5
99287.STM3111	P67617
99287.STM2859	P0CL46
99287.STM0194	O87656
99287.STM3470	P20751
99287.STM4061	Q8ZKR4
99287.STM0543	P55223
99287.STM0543	P37921
99287.STM0545	P37923
99287.STM0546	P37924
99287.STM0548	P37926
99287.STM0547	P37925
99287.STM0544	P37922
99287.STM0552	P37928
99287.STM0550	P26318
99287.STM0549	P26319
99287.STM3385	P0A6R6
99287.STM0075	Q8ZRX0
99287.STM0076	P64095
99287.STM0077	Q8ZRW9
99287.STM0078	Q8ZRW8
99287.STM0694	Q8ZQX1
99287.STM3045	P0A1N6
99287.STM1173	P40131
99287.STM1174	P16437
99287.STM1175	P0A1I7
99287.STM1176	P0A1I9
99287.STM1177	P0A1J1
99287.STM1178	P16323
99287.STM1179	P0A1J3
99287.STM1180	P0A1N8
99287.STM1181	P15930
99287.STM1182	P15931
99287.STM1183	P0A1J5
99287.STM1184	P16326
99287.STM1172	P26477
99287.STM1171	P0A1J7
99287.STM1913	P40729
99287.STM1914	P40727
99287.STM1924.S	O52222
99287.STM1925	P0A2R2
99287.STM1912	P0A1N4
99287.STM1956	P0A2E8
99287.STM1958	Q56106
99287.STM1959	P06179
99287.STM1960	P16328
99287.STM1968	P26462
99287.STM1969	P15928
99287.STM1970	P0A1J9
99287.STM1971	P15934
99287.STM1972	P26465
99287.STM1973	P0A1K1
99287.STM1974	P26416
99287.STM1975	P26417
99287.STM1976	P26418
99287.STM1977	P26419
99287.STM1978	P0A1L1
99287.STM1979	P54700
99287.STM1980	P0A1L5
99287.STM1981	P54702
99287.STM1961	P26609
99287.STM1962	P0A1N2
99287.STM1955	P0A210
99287.STM2770	P52619
99287.STM2771	P52616
99287.STM2371	Q7CQ37
99287.STM3407	Q8ZLM6
99287.STM1660.S	P0A2T8
99287.STM0542	P58688
99287.STM0364	P0CL48
99287.STM3726	O54326
99287.STM4341	P67638
99287.STM4340	P67645
99287.STM3979	Q9L6L9
99287.STM0318	P37722
99287.STM4109	Q8ZKM8
99287.STM2931	P64162
99287.STM3296	P63343
99287.STM0960	Q8ZQD5
99287.STM0121	Q7CR84
99287.STM3172	P0A1C5
99287.STM0131	Q7CR81
99287.STM2976	Q8ZMC6
99287.STM2977	Q8ZMC5
99287.STM2978	Q8ZMC4
99287.STM1468	P40720
99287.STM1469	Q8ZPL7
99287.STM1290	P0A1P0
99287.STM4221	Q8ZKI4
99287.STM0774	P22713
99287.STM0775	P22714
99287.STM0776	P22715
99287.STM2098	P0A2K7
99287.STM3011	P0CL11
99287.STM2191	P41030
99287.STM3249	Q7CPQ8
99287.STM3253	Q7CPQ7
99287.STM3257	Q8ZLV1
99287.STM2193	P64209
99287.STM0583	Q8ZR41
99287.STM3054	Q8ZM75
99287.STM3053	Q8ZM76
99287.STM3055	P64222
99287.STM1135	Q8ZQ30
99287.STM3646	Q8ZLA1
99287.STM3535	P05416
99287.STM3538	Q8ZLG5
99287.STM3536	P05415
99287.STM3197	P58614
99287.STM3537	Q8ZLG6
99287.STM2403	Q93IM5
99287.STM3294	Q7CPP9
99287.STM3861	Q8ZKX1
99287.STM3862	Q8ZKX0
99287.STM4007	P0A1P6
99287.STM2561	P0A9Z4
99287.STM0214	P23679
99287.STM3201	Q8ZLY6
99287.STM0261	Q8ZRM2
99287.STM2285	Q8ZNG4
99287.STM3525	P64251
99287.STM3524	Q8ZLH5
99287.STM4086	Q8ZKP3
99287.STM0872	P0A1P8
99287.STM1525	Q8ZPI2
99287.STM0665	Q9ZF60
99287.STM0185	Q8ZRQ7
99287.STM2555	P0A2E1
99287.STM0310	P63223
99287.STM0248	Q8ZRM8
99287.STM2107	Q9F7A2
99287.STM0801	P58586
99287.STM1809	P64267
99287.STM3510	Q8ZLI8
99287.STM3700	P0A1P2
99287.STM3482	Q8ZLK5
99287.STM0772	Q8ZQS2
99287.STM4585	Q8ZJU8
99287.STM3704	Q8ZL56
99287.STM3913	P0A267
99287.STM2646	Q7CQ05
99287.STM3299	P64281
99287.STM3503	Q8ZLJ2
99287.STM2681	Q7CPZ4
99287.STM0202	P0CL07
99287.STM2818	O68838
99287.STM3095	P58580
99287.STM0848	Q8ZQM4
99287.STM0849	Q8ZQM3
99287.STM0850	Q8ZQM2
99287.STM0851	Q7CQV4
99287.STM0711	P67270
99287.STM2510	Q8ZN60
99287.STM0141	Q8ZRT5
99287.STM3617	Q8ZLB7
99287.STM2838.S	Q8ZMJ9
99287.STM2272	P37411
99287.STM3835	P0A2I3
99287.STM0937	Q8ZQE8
99287.STM2496	Q7CQ21
99287.STM3897	P0A2Q0
99287.STM1777	P0A1Q6
99287.STM3938	P0A1Q8
99287.STM3937	Q9L6Q3
99287.STM2451	P33771
99287.STM3987	Q9L6L1
99287.STM0489	P37408
99287.STM4004	P0A1E1
99287.STM1233	Q8ZPZ5
99287.STM4361	P0A1R0
99287.STM2876	P43015
99287.STM2875	P0CL08
99287.STM2772	P03013
99287.STM2071	P00499
99287.STM2078	P10367
99287.STM2076	P10372
99287.STM2075	P0A1R4
99287.STM2077	P0A1R2
99287.STM2074	P10368
99287.STM2073	P10369
99287.STM2354	P02910
99287.STM2352	P0A2I7
99287.STM2351	P02915
99287.STM2353	P0A2I9
99287.STM2072	P10370
99287.STM1097	Q8ZQ52
99287.STM3710	P67912
99287.STM3200	Q7CPR9
99287.STM2556	P26353
99287.STM1751	P0A1S2
99287.STM3442	O68927
99287.STM1098	Q8ZQ51
99287.STM1106	Q8ZQ47
99287.STM3321	P26983
99287.STM0170	O33799
99287.STM2539	Q8ZN42
99287.STM2540	Q8ZN41
99287.STM3498	Q8ZLJ4
99287.STM4091	O30911
99287.STM4092	P0A271
99287.STM1079	Q7CQT0
99287.STM0487.S	P58480
99287.STM1844	P65817
99287.STM0788	Q8ZQR1
99287.STM0791	Q8ZQQ9
99287.STM0787	Q8ZQR2
99287.STM3144	P64421
99287.STM2854	P64419
99287.STM0847	Q7CQV5
99287.STM2881	P0CL00
99287.STM2877	P0CL15
99287.STM3809.S	Q7CPF1
99287.STM3808.S	Q8ZL03
99287.STM4187	P17430
99287.STM3039	Q8ZM82
99287.STM0953	P69226
99287.STM3286	Q9ZF31
99287.STM1334.c	P33321
99287.STM3495	P0CL13
99287.STM1339	P0A1S0
99287.STM0982	P64394
99287.STM3905	P20506
99287.STM3909	P05989
99287.STM3904	P40810
99287.STM3903	P0A1A5
99287.STM0117	P21622
99287.STM0116	P40811
99287.STM3908	P0A2Q2
99287.STM2896	P0A1I3
99287.STM2897	P35671
99287.STM2899	P69343
99287.STM2898	P35672
99287.STM2900	P0CL43
99287.STM4424.S	Q8ZK58
99287.STM4425	Q8ZK57
99287.STM4414	P65748
99287.STM3130	Q8ZM27
99287.STM1110	Q9F0N8
99287.STM0383	Q7CR46
99287.STM2541	Q7CQ12
99287.STM2544	Q7CQ10
99287.STM2543	Q8ZN40
99287.STM2930	Q8ZMF6
99287.STM1779	P30753
99287.STM2929	Q8ZMF7
99287.STM2523	P58671
99287.STM0049	P58679
99287.STM0488	P0A1V4
99287.STM4106	P17750
99287.STM3709	P37419
99287.STM0980	Q8ZQC4
99287.STM0161	P65207
99287.STM0651	Q8ZQZ4
99287.STM1772	P65215
99287.STM0988	Q8ZQC0
99287.STM3316	Q8ZLS0
99287.STM3315	Q8ZLS1
99287.STM3018	Q8ZM98
99287.STM3457	Q8ZLL3
99287.STM0086	Q8ZRW2
99287.STM0085	Q8ZRW3
99287.STM3458	P65510
99287.STM3740	Q9X6M5
99287.STM0003	P65226
99287.STM1750	Q7CQF3
99287.STM1780	P0A1V6
99287.STM1378	P77983
99287.STM1888	Q8ZNW0
99287.STM1200	P65246
99287.STM3880	Q8ZKW1
99287.STM4231	P26466
99287.STM1818	P63521
99287.STM2559	P0A1Z0
99287.STM2583	P0A1W4
99287.STM2582	P0A1W2
99287.STM0113	P15875
99287.STM0112	P37412
99287.STM0111	P15717
99287.STM0329	Q8ZRJ0
99287.STM0110	P04787
99287.STM0330	Q8ZRI9
99287.STM1270	Q7CQP8
99287.STM0115	P46924
99287.STM4237	P0A273
99287.STM0955	P67613
99287.STM3002	P60959
99287.STM1435	P0A1Q2
99287.STM3739	Q8ZL42
99287.STM0633	Q8ZR04
99287.STM0635.S	Q8ZR03
99287.STM3560	P0A191
99287.STM3561	P0A193
99287.STM3563	P0A2J1
99287.STM3567	P17215
99287.STM3564	P0A1W6
99287.STM3562	P30296
99287.STM3694	Q8ZL61
99287.STM3692	Q8ZL63
99287.STM0666	O87576
99287.STM0961	Q8ZQD4
99287.STM1778	P30752
99287.STM1218	P61482
99287.STM3640	P43660
99287.STM3639	P43661
99287.STM3638	P43662
99287.STM3637	P43663
99287.STM3636	P43664
99287.STM3900	P62527
99287.STM4576	Q8ZJV1
99287.STM3009	Q8ZMA5
99287.STM0114	P03062
99287.STM1207	Q8ZQ08
99287.STM1377	Q7CQN4
99287.STM1376	Q8ZPP9
99287.STM4461	P0A1W0
99287.STM0093	Q8ZRW0
99287.STM0647	Q8ZQZ7
99287.STM0001	Q7CRA3
99287.STM0228	P32200
99287.STM0229	Q8ZRN9
99287.STM0134	Q8ZRT9
99287.STM0226	P0A1X4
99287.STM0535	Q8ZR69
99287.STM0985	Q8ZQC2
99287.STM0959	P0A2S0
99287.STM0047	Q8ZRY9
99287.STM4074	Q8ZKQ4
99287.STM4077	Q8ZKQ1
99287.STM4075	Q8ZKQ3
99287.STM4076	Q8ZKQ2
99287.STM4080	Q8ZKP8
99287.STM4078	Q8ZKQ0
99287.STM4079.S	Q8ZKP9
99287.STM4072	Q8ZKQ6
99287.STM4073	Q8ZKQ5
99287.STM2817	Q9L4T0
99287.STM2651	Q8ZMX2
99287.STM0942	Q8ZQE4
99287.STM4229	P19576
99287.STM4228	P26467
99287.STM4227	P26468
99287.STM4230	P19566
99287.STM4232	P26478
99287.STM3515	Q8ZLI3
99287.STM1467	P25081
99287.STM2104	P26341
99287.STM2105.S	P26340
99287.STM1566	Q8ZPE8
99287.STM2472	Q9ZFV8
99287.STM0215	P0A1X6
99287.STM1519.S	P0A2S4
99287.STM1518	P0A214
99287.STM1521	P0A2L5
99287.STM1520	P0A2T4
99287.STM1069	Q8ZQ68
99287.STM1919	P02941
99287.STM3577	Q02755
99287.STM3359	P25077
99287.STM2126	Q8ZNQ3
99287.STM2127	Q8ZNQ2
99287.STM2128	Q8ZNQ1
99287.STM2129	Q8ZNQ0
99287.STM1154	Q8ZQ25
99287.STM1166	Q8ZQ19
99287.STM1483	Q7CQK0
99287.STM1482	Q7CQK1
99287.STM1425	Q8ZPP2
99287.STM3847	Q8ZKY1
99287.STM4517	Q7CP73
99287.STM4299	P30878
99287.STM2307	Q7CQ56
99287.STM2306	P58486
99287.STM2309	Q8ZNE8
99287.STM2305	P37418
99287.STM2308	Q8ZNE9
99287.STM2383	Q8ZNB0
99287.STM4182	P37413
99287.STM3161	P18949
99287.STM3965	Q9L6N1
99287.STM4105	P11003
99287.STM4188.S	P37586
99287.STM0246	Q8ZRN0
99287.STM4099	P06203
99287.STM3090	P66764
99287.STM0247	Q8ZRM9
99287.STM0511	Q8ZR89
99287.STM0245	Q8ZRN1
99287.STM3964	P0A2Q4
99287.STM2189	P23924
99287.STM2188	Q56036
99287.STM1840	Q7CQD5
99287.STM1076	P65350
99287.STM3764	P0CI70
99287.STM4360	P37724
99287.STM0670	Q9RCI2
99287.STM4471	Q08015
99287.STM1814	P65359
99287.STM1816	P65363
99287.STM2160	P0CL12
99287.STM3112	Q8ZM39
99287.STM2567	Q8ZN28
99287.STM1234.S	Q8ZPZ4
99287.STM2379	Q8ZNB2
99287.STM3843	Q8ZKY3
99287.STM3874	Q8ZKW6
99287.STM2408	Q9RPF4
99287.STM1834	Q8ZP00
99287.STM0835	P67710
99287.STM0802	P65386
99287.STM0804	Q8ZQQ1
99287.STM0806	P65398
99287.STM3994	Q8ZKU9
99287.STM0783	Q8ZQR6
99287.STM0846	Q56066
99287.STM0845	Q56067
99287.STM1923	P55891
99287.STM1922	P55892
99287.STM1986	P65417
99287.STM0125	Q8ZRU5
99287.STM0119	Q8ZRU9
99287.STM3374	P0A9X6
99287.STM0984	P63359
99287.STM3410	P0A1X8
99287.STM1241	P0A1G3
99287.STM4408	Q8ZK71
99287.STM1291	P65449
99287.STM2001	Q8ZNS5
99287.STM3326	Q8ZLR7
99287.STM3686	Q8ZL67
99287.STM0207	P60217
99287.STM1160	P58525
99287.STM3212	Q7CPR7
99287.STM0994	Q935S7
99287.STM0993	Q8ZQB6
99287.STM0992	Q8ZQB7
99287.STM3307	P65454
99287.STM4137	P37417
99287.STM0129	Q8ZRU2
99287.STM0126	Q8ZRU4
99287.STM0123	Q8ZRU7
99287.STM0128	Q8ZRU3
99287.STM4131	P40723
99287.STM1170	P37169
99287.STM2571	Q8ZN25
99287.STM3005	Q8ZMA8
99287.STM4359	P14161
99287.STM2909	P0A1Y0
99287.STM3110	Q05869
99287.STM0756	P24519
99287.STM2641	Q8ZMX9
99287.STM0145	P30012
99287.STM0645	Q8ZQZ8
99287.STM1310	Q8ZPU5
99287.STM2683	P65774
99287.STM4580.S	P24518
99287.STM0684	Q8ZQX7
99287.STM1220	Q8ZPZ9
99287.STM1209	Q8ZQ06
99287.STM3339	Q8ZLQ6
99287.STM1129	P60631
99287.STM3337	Q8ZLQ7
99287.STM0928	P29768
99287.STM3336	Q8ZLQ8
99287.STM1130	Q8ZQ34
99287.STM3340	P67735
99287.STM3338	P0A2G5
99287.STM2259	Q8ZNH6
99287.STM1576	P37593
99287.STM4584	P39432
99287.STM2526	P65534
99287.STM2226	P67714
99287.STM3776	Q7CPG0
99287.STM4168	P68738
99287.STM0874	Q9Z5Z2
99287.STM0578	P15888
99287.STM3511	Q8ZLI7
99287.STM0039	Q8ZRZ3
99287.STM1806	Q8ZP14
99287.STM1801	P65524
99287.STM1582	Q00267
99287.STM3584	P64413
99287.STM3476	P25926
99287.STM3475	P0A229
99287.STM2925	P40827
99287.STM3281	Q7CPQ1
99287.STM2839	Q8ZMJ8
99287.STM2840	Q8ZMJ7
99287.STM2841	Q8ZMJ6
99287.STM1221	P0A2F2
99287.STM1119	Q8ZQ40
99287.STM4452	Q9L646
99287.STM4451	Q9L645
99287.STM2805	Q56108
99287.STM2806	Q56109
99287.STM0415	P0A2M1
99287.STM4277	Q8ZKF5
99287.STM4367	Q8ZKA3
99287.STM4006	P0A2D9
99287.STM4005	P41789
99287.STM4166	Q9L9I5
99287.STM2295	Q8ZNF5
99287.STM2477	Q7CQ25
99287.STM1825	P0A2K9
99287.STM2328	Q7CQ49
99287.STM2327	Q7CQ50
99287.STM2326	P0A1Y6
99287.STM2325	P0A1Y8
99287.STM2324	P33901
99287.STM2323.S	P0A1Y4
99287.STM2322	Q60010
99287.STM2321	Q7CQ51
99287.STM2319	Q7CQ53
99287.STM2316.S	Q8ZNE4
99287.STM3287	P37430
99287.STM0418	Q8ZRD3
99287.STM4148	P0AA02
99287.STM0054	Q8ZRY4
99287.STM3351	Q03031
99287.STM0056	P58651
99287.STM3353	Q03032
99287.STM0766	P58650
99287.STM3301	Q8ZLS5
99287.STM1659	P0A2U0
99287.STM1070	P02936
99287.STM2267	P0A263
99287.STM1572	P37592
99287.STM0999	P37432
99287.STM4016	Q9L7R3
99287.STM3502	P0AA19
99287.STM1732	Q8ZP50
99287.STM3594	P27237
99287.STM4541	Q8ZJX6
99287.STM1149	Q8ZQ27
99287.STM1622	Q8ZPB3
99287.STM1150	P67557
99287.STM1151	Q8ZQ26
99287.STM1746.S	P06202
99287.STM1745	P08005
99287.STM1744	P08006
99287.STM1743	P04285
99287.STM1742	P08007
99287.STM2870	P0CL44
99287.STM2869	P0CL45
99287.STM4350	P65599
99287.STM1705	P37723
99287.STM1491	Q8ZPK4
99287.STM1492	Q8ZPK3
99287.STM1493	Q8ZPK2
99287.STM1494	Q8ZPK1
99287.STM4465	Q8ZK35
99287.STM4469	Q08016
99287.STM1928	P0CL06
99287.STM1929	P0CL50
99287.STM3957	P0A231
99287.STM3469	P06193
