192222.Cj0443	Q9PI62
192222.Cj0662c	Q9PHL0
192222.Cj0663c	Q9PHK9
192222.Cj0518	Q9PHZ3
192222.Cj0627	Q9PHP0
192222.Cj1590	Q9PM85
192222.Cj0136	Q9PIZ1
192222.Cj0207	Q9PIS2
192222.Cj0632	Q9PHN5
192222.Cj0013	Q9PJ98
192222.Cj0638c	Q9PHM9
192222.Cj1607	Q9PM68
192222.Cj1104	Q9PNJ0
192222.Cj0686	Q9PPM1
192222.Cj0894c	P0C632
192222.Cj0824	Q9PP99
192222.Cj0639c	Q9PHM8
192222.Cj0384c	Q9PIB8
192222.Cj1177c	Q9PNB8
192222.Cj0134	Q9PIZ3
192222.Cj0918c	Q9PP15
192222.Cj0766c	Q9PPF3
192222.Cj1030c	Q9PNR1
192222.Cj1719c	Q9PLV9
192222.Cj1718c	Q9PLW0
192222.Cj1717c	Q9PLW1
192222.Cj1716c	Q9PLW2
192222.Cj1109	Q9PNI5
192222.Cj0407	Q9PI98
192222.Cj1095	Q9PNJ9
192222.Cj0943	Q9PNZ0
192222.Cj1073c	O69300
192222.Cj0274	Q9PIM1
192222.Cj0288c	Q9PIK8
192222.Cj0132	Q9PIZ5
192222.Cj0576	Q9PHU0
192222.Cj0811	Q9PPA9
192222.Cj0361	Q0PBE9
192222.Cj1198	Q9PN97
192222.Cj0607	Q0PAR0
192222.Cj1029c	P0C633
192222.Cj0532	Q9PHY2
192222.Cj1726c	Q9PLV2
192222.Cj1201	Q9PN94
192222.Cj0774c	Q0PAB6
192222.Cj0166	Q9PIW2
192222.Cj0458c	Q0PB55
192222.Cj0053c	Q9PJ66
192222.Cj1268c	Q9PN30
192222.Cj0956c	Q9PNX9
192222.Cj1188c	Q9PNA7
192222.Cj0167c	Q9PIW1
192222.Cj0161c	Q9PIW6
192222.Cj0252	Q9PIP3
192222.Cj1350	Q9PMU9
192222.Cj0117	Q0PC20
192222.Cj0393c	P56954
192222.Cj0433c	Q9PI72
192222.Cj0637c	Q9PHN0
192222.Cj0858c	Q9PP65
192222.Cj1676	Q9PM01
192222.Cj1054c	Q9PNN7
192222.Cj0432c	Q9PI73
192222.Cj1641	O69290
192222.Cj1039	Q9PNQ2
192222.Cj1652c	Q9PM24
192222.Cj1404	Q9PMQ3
192222.Cj0810	Q9PPB0
192222.Cj0641	Q9PHM6
192222.Cj0780	Q9PPD9
192222.Cj0332c	Q9PIG7
192222.Cj1331	Q0P8S7
192222.Cj1327	Q0P8T1
192222.Cj1328	Q0P8T0
192222.Cj1654c	Q0P7X4
192222.Cj1655c	Q0P7X3
192222.Cj1050c	Q9JN05
192222.Cj1374c	Q9PMS6
192222.Cj1578c	Q0P850
192222.Cj1576c	Q9PM99
192222.Cj1572c	Q9PMA3
192222.Cj1571c	Q0P857
192222.Cj1568c	Q9PMA7
192222.Cj0382c	Q9PIC0
192222.Cj0473	Q9PI36
192222.Cj0096	Q0PC41
192222.Cj0994c	Q9PNU6
192222.Cj0768c	Q9PPF1
192222.Cj0298c	Q9PIK1
192222.Cj0297c	Q9PIK2
192222.Cj0296c	Q9PIK3
192222.Cj0101	Q9PJ25
192222.Cj0932c	Q9PP01
192222.Cj1239	Q9PN58
192222.Cj1238	Q9PN59
192222.Cj0921c	Q0P9X8
192222.Cj0922c	Q0P9X7
192222.Cj1402c	Q9PMQ5
192222.Cj1125c	Q0P9C9
192222.Cj1126c	Q0P9C8
192222.Cj1124c	Q0P9D0
192222.Cj1123c	Q0P9D1
192222.Cj1121c	Q0P9D3
192222.Cj1120c	Q0P9D4
192222.Cj1129c	Q0P9C5
192222.Cj1128c	Q0P9C6
192222.Cj1127c	Q0P9C7
192222.Cj1130c	Q0P9C4
192222.Cj0945c	Q0P9V4
192222.Cj0329c	Q9PIH0
192222.Cj0357c	Q9PIE4
192222.Cj1253	Q0P903
192222.Cj1259	P80672
192222.Cj1359	Q9PMU0
192222.Cj1117c	Q9PNH7
192222.Cj0558c	P53000
192222.Cj0097	Q9PJ29
192222.Cj0847	Q9PP76
192222.Cj1293	Q0P8W4
192222.Cj1294	Q0P8W3
192222.Cj1311	Q0P8U6
192222.Cj1312	Q0P8U5
192222.Cj1313	Q0P8U4
192222.Cj1317	Q0P8U0
192222.Cj0616	Q9PHQ1
192222.Cj0312	Q9PII7
192222.Cj1250	Q9PN47
192222.Cj0512	Q9PHZ9
192222.Cj0953c	Q9PNY2
192222.Cj1498c	Q9PMG4
192222.Cj0955c	Q9PNY0
192222.Cj0514	Q9PHZ7
192222.Cj1098	Q9PNJ6
192222.Cj0233c	Q9PIR1
192222.Cj0381c	Q9PIC1
192222.Cj0027	Q9PJ84
192222.Cj1274c	Q9PN24
192222.Cj0577c	Q9PHT9
192222.Cj0016	P0C634
192222.Cj0160c	Q0PBX7
192222.Cj1724c	Q9PLV4
192222.Cj1205c	Q9PN90
192222.Cj0137	Q9PIZ0
192222.Cj1673c	Q0P7V6
192222.Cj0642	Q9PHM5
192222.Cj1263	Q9PN35
192222.Cj1612	Q9PM63
192222.Cj1455	Q9PMK5
192222.Cj0572	Q9PHU4
192222.Cj0712	Q9PPJ5
192222.Cj1454c	Q0P8G1
192222.Cj0138	Q9PIY9
192222.Cj0383c	Q9PIB9
192222.Cj0476	Q9PI33
192222.Cj0474	Q9PI35
192222.Cj1697c	Q0P7T4
192222.Cj1700c	Q9PLX8
192222.Cj1596	Q0P832
192222.Cj1691c	Q9PLY7
192222.Cj0714	Q9PPJ3
192222.Cj0475	Q9PI34
192222.Cj0245	Q9PIQ0
192222.Cj0094	Q0PC43
192222.Cj1702c	Q9PLX6
192222.Cj1705c	Q0P7S6
192222.Cj1696c	Q9PLY2
192222.Cj0311	Q9PII8
192222.Cj0095	Q9PJ31
192222.Cj0450c	Q9PI58
192222.Cj1699c	Q9PLX9
192222.Cj1704c	Q9PLX4
192222.Cj0155c	Q9PIX2
192222.Cj0330c	Q9PIG9
192222.Cj0471	Q9PI38
192222.Cj0961c	Q9PNX4
192222.Cj0244	Q9PIQ1
192222.Cj1591	Q9PM84
192222.Cj1707c	Q9PLX1
192222.Cj1706c	Q9PLX2
192222.Cj1695c	Q9PLY3
192222.Cj1692c	Q0P7T9
192222.Cj0477	Q9PI32
192222.Cj0664c	Q9PHK8
192222.Cj0126c	Q9PJ01
192222.Cj1713	Q0P7R8
192222.Cj0646	Q9PHM1
192222.Cj1635c	Q9PM40
192222.Cj0010c	Q9PJA1
192222.Cj1636c	Q9PM39
192222.Cj0960c	Q9PNX5
192222.Cj1209	Q9PN86
192222.Cj1595	Q9PM80
192222.Cj0478	Q46124
192222.Cj0479	Q9PI30
192222.Cj1273c	Q9PN25
192222.Cj0581	Q9PHT5
192222.Cj0234c	Q9PIR0
192222.Cj1708c	Q9PLX0
192222.Cj1593	Q9PM82
192222.Cj0491	Q9PI18
192222.Cj1592	Q9PM83
192222.Cj1694c	Q9PLY4
192222.Cj0884	Q0PA13
192222.Cj0710	Q9PPJ7
192222.Cj1698c	Q9PLY0
192222.Cj1072	O69301
192222.Cj1703c	Q9PLX5
192222.Cj1611	Q9PM64
192222.Cj0370	Q9PID2
192222.Cj1182c	Q9PNB3
192222.Cj1701c	Q9PLX7
192222.Cj1594	Q9PM81
192222.Cj1690c	Q9PLY8
192222.Cj1070	Q9ZAH3
192222.Cj0492	Q9PI17
192222.Cj1693c	Q9PLY5
192222.Cj1479c	Q9PMI3
192222.Cj1711c	Q9PLW7
192222.Cj0997	Q9PNU3
192222.Cj0693c	Q9PPL4
192222.Cj0799c	Q9PPC1
192222.Cj1362	Q9PMT7
192222.Cj1731c	Q9PLU8
192222.Cj0635	Q9PHN2
192222.Cj0942c	Q0P9V7
192222.Cj1378	Q9PMS2
192222.Cj1504c	Q9PMF9
192222.Cj0326	Q9PIH3
192222.Cj0169	Q0PBW9
192222.Cj1071	O69302
192222.Cj1105	Q9PNI9
192222.Cj1097	Q0P9F7
192222.Cj0533	Q9PHY1
192222.Cj0293	Q9PIK6
192222.Cj0506	Q9PI05
192222.Cj0802	Q9PPB8
192222.Cj0640c	Q9PHM7
192222.Cj0845c	Q9PP78
192222.Cj1288c	O52914
192222.Cj0897c	Q9PP34
192222.Cj0896c	Q9PP35
192222.Cj0704	Q9PPK3
192222.Cj0765c	Q9PPF4
192222.Cj1061c	P41257
192222.Cj0401	P41258
192222.Cj1091c	Q9PNK3
192222.Cj0838c	Q9PP85
192222.Cj0543	Q9PHX1
192222.Cj1175c	Q9PNC0
192222.Cj0389	Q9PIB3
192222.Cj0206	Q9PIS3
192222.Cj0775c	Q9PPE4
192222.Cj0388	Q9PIB4
192222.Cj1271c	Q9PN27
192222.Cj0281c	Q9PIL5
192222.Cj1176c	Q9PNB9
192222.Cj0579c	Q9PHT7
192222.Cj0578c	Q9PHT8
192222.Cj1010	Q9PNT0
192222.Cj0453	Q9PI55
192222.Cj1081c	Q9PNL3
192222.Cj1045c	Q9PNP6
192222.Cj0026c	Q9PJ85
192222.Cj0193c	Q46108
192222.Cj1453c	Q9PMK7
192222.Cj0112	Q9PJ14
192222.Cj1686c	Q9PLZ2
192222.Cj1401c	Q9PMQ6
192222.Cj0779	Q9PPE0
192222.Cj0465c	Q0PB48
192222.Cj0831c	Q9PP92
192222.Cj1278c	Q9PN20
192222.Cj0713	Q9PPJ4
192222.Cj0349	Q9PIF1
192222.Cj0348	Q9PIF2
192222.Cj0498	Q9PI11
192222.Cj0347	Q9PIF3
192222.Cj0827	Q9PP96
192222.Cj1102	Q9PNJ2
192222.Cj1457c	Q9PMK3
192222.Cj1344c	Q0P8R5
192222.Cj0324	Q9PIH5
192222.Cj0086c	Q9PJ40
192222.Cj0205	Q9PIS4
192222.Cj1286c	Q9PN13
192222.Cj0680c	Q9PPM7
192222.Cj1246c	Q9PN51
192222.Cj1068	Q9PNM6
192222.Cj1172c	Q9PNC3
192222.Cj1217c	Q9PN78
192222.Cj1397	Q9PMR0
192222.Cj1449c	Q9PML1
192222.Cj1463	Q9PMJ7
192222.Cj0148c	Q9PIX9
192222.Cj1541	Q9PMC8
192222.Cj1642	Q9PM34
192222.Cj0236c	Q9PIQ8
192222.Cj0253	Q9PIP2
192222.Cj0270	Q9PIM5
192222.Cj0371	Q9PID1
192222.Cj0374	Q9PIC8
192222.Cj0507	Q9PI04
192222.Cj0593c	Q9PHS3
192222.Cj0846	Q9PP77
192222.Cj0983	P45492
192222.Cj0984	P45491
192222.Cj0987c	P45490
192222.Cj0990c	P45489
192222.Cj0993c	Q0P9Q9
192222.Cj0999c	Q9PNU1
192222.Cj0121	Q9PJ06
192222.Cj0379c	Q9PIC3
192222.Cj0958c	Q9PNX7
192222.Cj0959c	Q9PNX6
192222.Cj0263	Q9PIN2
192222.Cj0259	M4MCH4
192222.Cj0642	M4MAT3
192222.Cj1085c	M4ME68
192222.Cj0992c	M4MB41
192222.Cj0994c	M4MB82
192222.Cj1424c	F2X6Z6
192222.Cj1420c	F2X6Z3
192222.Cj1416c	F2X735
192222.Cj1416c	F2X6Y9
192222.Cj1417c	F2X6Z0
192222.Cj0914c	A0A023ZYJ3
192222.Cj1417c	F2X772
192222.Cj1415c	F2X734
192222.Cj1415c	F2X6Y8
192222.Cj1620c	M4ME60
192222.Cj0437	M4MEB7
192222.Cj1339c	I6ZA10
192222.Cj1339c	B1A9A1
192222.Cj1339c	Q933H3
192222.Cj1339c	Q933H4
192222.Cj1338c	Q93EN3
192222.Cj1137c	Q7BC54
192222.Cj1338c	Q933H6
192222.Cj1339c	B1A9D7
192222.Cj1338c	Q2LD10
192222.Cj1339c	Q7BVN2
192222.Cj1338c	Q5I8M2
192222.Cj1339c	B1Q169
192222.Cj1338c	B1A9E9
192222.Cj0859c	A5Y0P7
192222.Cj1338c	Q2LD32
192222.Cj1339c	I6ZMP1
192222.Cj1339c	Q933V4
192222.Cj1338c	Q5I8D2
192222.Cj1339c	Q5I8J7
192222.Cj1339c	Q5I8K5
192222.Cj1338c	Q5BN55
192222.Cj1338c	B1Q154
192222.Cj1339c	B1A9B0
192222.Cj1339c	Q5I8N8
192222.Cj1339c	A0A0A7KN61
192222.Cj1338c	B1A9D1
192222.Cj1339c	D7NNG7
192222.Cj0859c	A5Y0N9
192222.Cj1338c	Q2LD35
192222.Cj1338c	Q933H5
192222.Cj1339c	Q03844
192222.Cj1338c	Q2LD15
192222.Cj1338c	O34711
192222.Cj1339c	Q5I888
192222.Cj1339c	B1A9B1
192222.Cj1339c	I6ZIV4
192222.Cj1339c	Q5I8K8
192222.Cj1339c	Q933J6
192222.Cj1339c	Q2LD27
192222.Cj1339c	Q2LD30
192222.Cj0989	Q46118
192222.Cj1553c	Q7B7V5
192222.Cj1702c	Q06S88
192222.Cj1702c	C9E7U8
192222.Cj1702c	C9E7V2
192222.Cj1702c	C9E7S6
192222.Cj1702c	C9E7T8
192222.Cj1551c	Q7B7V7
192222.Cj0368c	M1SWA0
192222.Cj1416c	Q5M6P4
192222.Cj1702c	C9E7M6
192222.Cj1133	Q9K2V0
192222.Cj0859c	A5Y0P2
192222.Cj1702c	C9E7S3
192222.Cj1702c	C9E7V6
192222.Cj0977	Q0R4E3
192222.Cj1702c	C9E7K1
192222.Cj0368c	Q7B8P6
192222.Cj1702c	C9E7Q8
192222.Cj1702c	C9E7K5
192222.Cj0367c	C0M166
192222.Cj0299	Q001U9
192222.Cj1259	M9QUK7
192222.Cj1123c	O86157
192222.Cj0077c	Q5F1K4
192222.Cj1141	A1E2Q2
192222.Cj1420c	Q6EF90
192222.Cj0798c	Q9AEK3
192222.Cj1134	G0T317
192222.Cj0368c	Q6PMN0
192222.Cj0368c	E1CJZ3
192222.Cj0368c	E1CJZ4
192222.Cj0078c	Q46101
192222.Cj0274	Q5QH34
192222.Cj0367c	C4NFJ5
192222.Cj1401c	D6BX45
192222.Cj1339c	E0XFH8
192222.Cj1148	Q938X0
192222.Cj0368c	Q6PMN5
192222.Cj1259	Q9F792
192222.Cj0078c	A4F277
192222.Cj0368c	E1CJY7
192222.Cj0368c	E1CQ48
192222.Cj1259	Q2LAB1
192222.Cj1023c	Q99QF5
192222.Cj0306c	A6MZ20
192222.Cj1131c	Q0ZSP9
192222.Cj1339c	E0XFH9
192222.Cj1139c	Q933S0
192222.Cj0077c	L7VTK8
192222.Cj0077c	L7VTL5
192222.Cj1148	Q9K383
192222.Cj0274	Q5QGE2
192222.Cj0985c	C0L380
192222.Cj1141	Q9EU02
192222.Cj0079c	Q5F1K6
192222.Cj0079c	W0GDR3
192222.Cj1133	Q1L2N3
192222.Cj0078c	L7VT31
192222.Cj1133	Q7BR40
192222.Cj1259	Q2LAA5
192222.Cj0299	A0A088DJX0
192222.Cj1415c	C6EQC9
192222.Cj1132c	Q0ZSQ0
192222.Cj1134	Q9F0N3
192222.Cj1134	Q9K5D2
192222.Cj0274	Q5QGE6
192222.Cj1129c	D6BWU4
192222.Cj0029	B6V667
192222.Cj1355	D6BWI1
192222.Cj0368c	C4NFJ4
192222.Cj1339c	E0XFI0
192222.Cj1355	E5RXB4
192222.Cj1129c	D6BWT9
192222.Cj0265c	Q001V5
192222.Cj0798c	Q9AEK4
192222.Cj0079c	W0GDW5
192222.Cj0078c	W8VLH7
192222.Cj0078c	A0A088ND30
192222.Cj1351	D6BWV7
192222.Cj1133	Q199Y6
192222.Cj1148	Q7BN90
192222.Cj1133	Q933J2
192222.Cj0798c	Q99QB9
192222.Cj0985c	C6KL12
192222.Cj1338c	Q2LD14
192222.Cj0366c	A0A024FS98
192222.Cj0368c	E1CJZ2
192222.Cj0859c	A5Y0N1
192222.Cj1133	Q1KYS0
192222.Cj1134	Q93CZ9
192222.Cj0277	A6MZ23
192222.Cj1339c	E0XFK8
192222.Cj1134	Q1KYR9
192222.Cj1351	D6BWW0
192222.Cj0265c	Q001V3
192222.Cj0079c	L7VTJ7
192222.Cj1023c	Q99PX5
192222.Cj1134	Q9K379
192222.Cj1415c	Q6EF72
192222.Cj1259	Q9F791
192222.Cj1259	M9QUN9
192222.Cj0008	Q001U2
192222.Cj1133	A2I3Q7
192222.Cj0345	A6MZ04
192222.Cj0322	A6MZ14
192222.Cj0079c	L7VU61
192222.Cj1134	Q5WQZ4
192222.Cj1023c	Q9AEI6
192222.Cj1355	D6BWH8
192222.Cj0078c	W0GDQ6
192222.Cj0078c	W0GHY1
192222.Cj0077c	A0A088NDG4
192222.Cj0368c	E1CJY8
192222.Cj1134	Q5DT17
192222.Cj0366c	A0A024FR27
192222.Cj1134	A2I3Q8
192222.Cj0860	F6LD16
192222.Cj1132c	Q7BPS5
192222.Cj0368c	Q5Y178
192222.Cj0798c	Q99QI7
192222.Cj0368c	Q6PTU8
192222.Cj1401c	D6BX42
192222.Cj1138	Q7BC53
192222.Cj1136	Q7BC55
192222.Cj1140	Q7BP25
192222.Cj1478c	M9QP74
192222.Cj0860	F6LD12
192222.Cj1550c	Q8RJ37
192222.Cj1259	M9QLS5
192222.Cj0365c	A0A024FRV4
192222.Cj1145c	Q932V3
192222.Cj1259	M9QTA1
192222.Cj0078c	W8VLH3
192222.Cj1149c	G0T331
192222.Cj0628	Q001W1
192222.Cj1552c	Q7B7V6
192222.Cj0077c	Q46102
192222.Cj1135	Q7BC56
192222.Cj1142	Q7BP23
192222.Cj1146c	Q7BC48
192222.Cj0367c	E1CJL3
192222.Cj0079c	A4F270
192222.Cj1141	Q7BC51
192222.Cj1424c	F2X7C3
192222.Cj1424c	F2X758
192222.Cj1071	M4MAP6
192222.Cj1424c	F2X742
192222.Cj1424c	F2X7A3
192222.Cj1424c	F2X7E1
192222.Cj1424c	F2X779
192222.Cj1418c	F2X6Z1
192222.Cj0366c	A0A024FR88
192222.Cj0079c	X2KWT2
192222.Cj1132c	A0A060NF08
192222.Cj1134	A1A494
192222.Cj1124c	A0A060NLS4
192222.Cj1128c	A0A060NGX3
192222.Cj1457c	Q32VQ1
192222.Cj1420c	F2X775
192222.Cj1134	H9XFG1
192222.Cj0367c	A0A024FRW5
192222.Cj0077c	X2L2Q2
192222.Cj1420c	F2X739
192222.Cj1442c	F2X794
192222.Cj1260c	X2JI24
192222.Cj1122c	A0A060NF17
192222.Cj1420c	F2X7A0
192222.Cj1418c	F2X714
192222.Cj1121c	A0A060NG83
192222.Cj1425c	F2X7A4
192222.Cj0078c	X2KVQ2
192222.Cj0079c	X2KSE3
192222.Cj1417c	F2X736
192222.Cj1146c	A1A4A4
192222.Cj1126c	A0A060NG81
192222.Cj1129c	A0A060NLS2
192222.Cj1418c	F2X798
192222.Cj0077c	X2KSE7
192222.Cj1100	A0A090KLV7
192222.Cj1373	A0A090KQ17
192222.Cj0375	A0A090KNT9
192222.Cj0967	A0A090KPD5
192222.Cj1458c	A0A090KQB0
192222.Cj0825	A0A090KQQ6
192222.Cj0895c	A0A090KQV6
192222.Cj0103	A0A090MM69
192222.Cj1463	A0A090KQB5
192222.Cj1190c	A0A090KM60
192222.Cj0608	A0A090KPN2
192222.Cj0317	A0A090KJ67
192222.Cj0620	A0A090KPP0
192222.Cj0905c	A0A090KQW5
192222.Cj1415c	Q5M6P5
192222.Cj0301c	A0A090KIA4
192222.Cj0306c	A0A090KIA9
192222.Cj0496	A0A090KJW8
192222.Cj1530	A0A090KL14
192222.Cj1619	A0A090KMH0
192222.Cj0831c	A0A090KSK0
192222.Cj0857c	A0A090KSL9
192222.Cj1129c	A0A090KT56
192222.Cj1162c	A0A090KT89
192222.Cj1269c	A0A090KTL4
192222.Cj0250c	A0A090KTS5
192222.Cj0719c	A0A090KU02
192222.Cj0309c	A0A090MI22
192222.Cj1374c	A0A090MJA9
192222.Cj1187c	A0A090MKN5
192222.Cj0782	A0A090MLD7
192222.Cj1618c	A0A090MLM7
192222.Cj1652c	A0A090MLQ4
192222.Cj0253	A0A090MMK8
192222.Cj0636	A0A090KK87
192222.Cj1482c	A0A090KKW1
192222.Cj0367c	A0A090KQM3
192222.Cj0722c	A0A090KS78
192222.Cj1564	A0A090KTT6
192222.Cj0734c	A0A090KU17
192222.Cj0254	A0A090KVJ2
192222.Cj0463	A0A090MIH7
192222.Cj1061c	A0A090MKB5
192222.Cj1107	A0A090MKG2
192222.Cj0577c	A0A090KJ75
192222.Cj0587	A0A090KJ84
192222.Cj0035c	A0A090KNQ3
192222.Cj1370	A0A090KRS6
192222.Cj0065c	A0A090KT59
192222.Cj0422c	A0A090MIC9
192222.Cj0543	A0A090MIR6
192222.Cj0886c	A0A090MJZ5
192222.Cj1534c	A0A090KK82
192222.Cj0689	A0A090KLT5
192222.Cj0015c	A0A090KMY4
192222.Cj0086c	A0A090KN87
192222.Cj0133	A0A090KNF4
192222.Cj0005c	A0A090KNL3
192222.Cj0187c	A0A090KPC2
192222.Cj0707	A0A090KS64
192222.Cj0912c	A0A090KSQ3
192222.Cj0144	A0A090KTG6
192222.Cj1264c	A0A090KTK8
192222.Cj0763c	A0A090KU53
192222.Cj1583c	A0A090KUA8
192222.Cj0224	A0A090MMI7
192222.Cj0651	A0A090KK97
192222.Cj0067	A0A090KUW9
192222.Cj0339	A0A090MI51
192222.Cj1039	A0A090MK96
192222.Cj0281c	B9TU11
192222.Cj1339c	Q5I8I8
192222.Cj1530	Q29XU9
192222.Cj0859c	F6LCZ6
192222.Cj1339c	X2D076
192222.Cj1339c	X2CZ42
192222.Cj0507	A0A090KJ33
192222.Cj0248	A0A090KNS9
192222.Cj1356c	A0A090KRR2
192222.Cj1193c	A0A090KTC4
192222.Cj1648	A0A090KUH1
192222.Cj1367c	A0A090KKH8
192222.Cj0116	A0A090KNZ2
192222.Cj1542	A0A090KSH0
192222.Cj0653c	A0A090MJ17
192222.Cj1355	A0A090MJ88
192222.Cj1505c	A0A090KQG3
192222.Cj0798c	A0A090KM99
192222.Cj1113	A0A090KT44
192222.Cj0429c	A0A090KJI3
192222.Cj1006c	A0A090KKR0
192222.Cj0685c	A0A090KLS7
192222.Cj0581	A0A090KRE4
192222.Cj1577c	A0A090MLI0
192222.Cj0374	A0A090KJB8
192222.Cj1071	A0A090KR85
192222.Cj0145	A0A090MMC3
192222.Cj0683	A0A090KPX9
192222.Cj0312	A0A090KJ61
192222.Cj1236	A0A090KMB3
192222.Cj0384c	A0A090KIJ7
192222.Cj1239	A0A090KTH6
192222.Cj0994c	A0A090MK64
192222.Cj0539	A0A090KRB7
192222.Cj0979c	A0A090KST6
192222.Cj0153c	A0A090KNI5
192222.Cj0776c	A0A090KSE3
192222.Cj1278c	A0A090MKY0
192222.Cj0940c	A0A090KM27
192222.Cj0124c	A0A090KP05
192222.Cj0160c	A0A090KTI9
192222.Cj0713	A0A090ML69
192222.Cj1339c	X2D091
192222.Cj1406c	A0A090KRW0
192222.Cj0668	A0A090KJI8
192222.Cj0520	A0A090MIQ1
192222.Cj1339c	X2CZS9
192222.Cj1601	A0A090KN77
192222.Cj0953c	A0A090KSA6
192222.Cj1338c	B1Q156
192222.Cj1514c	A0A090KK61
192222.Cj1372	A0A090KKI3
192222.Cj0068	A0A090KN60
192222.Cj0090	A0A090KUZ6
192222.Cj1258	A0A090MKV3
192222.Cj1008c	A0A090KR25
192222.Cj1424c	R4JE16
