7227.FBpp0087084	P32234
7227.FBpp0079009	Q24048
7227.FBpp0305828	Q05825
7227.FBpp0084907	O01666
7227.FBpp0072246	Q9W141
7227.FBpp0082522	Q24439
7227.FBpp0074888	Q9VVN4
7227.FBpp0084212	Q9GQN5
7227.FBpp0074047	Q9VXG8
7227.FBpp0086567	P45884
7227.FBpp0086568	Q9V751
7227.FBpp0297062	Q95NH6
7227.FBpp0078353	Q94546
7227.FBpp0082555	Q8SWR8
7227.FBpp0079754	O76922
7227.FBpp0079769	Q9VKN7
7227.FBpp0086569	Q8ML92
7227.FBpp0303103	Q8IRC7
7227.FBpp0084919	Q9V407
7227.FBpp0075919	Q9VTG7
7227.FBpp0291409	Q9VLA1
7227.FBpp0070612	O97422
7227.FBpp0072538	Q9W0K7
7227.FBpp0072535	Q9W0K4
7227.FBpp0305308	Q9VLU0
7227.FBpp0083486	P22809
7227.FBpp0084243	P22745
7227.FBpp0073572	Q9VYG2
7227.FBpp0074204	Q24255
7227.FBpp0074203	Q24256
7227.FBpp0087297	A1Z8E9
7227.FBpp0294057	Q8SY41
7227.FBpp0082298	Q9VFR0
7227.FBpp0081168	P09081
7227.FBpp0088180	Q961D9
7227.FBpp0070415	O46098
7227.FBpp0083975	Q9VCE1
7227.FBpp0074817	Q9NHB0
7227.FBpp0074861	Q9VVR4
7227.FBpp0076237	Q9NHA8
7227.FBpp0303213	Q24040
7227.FBpp0072141	Q9W1I2
7227.FBpp0080168	Q9V3U0
7227.FBpp0080167	Q9V3S9
7227.FBpp0076434	Q9VSH3
7227.FBpp0303019	P23645
7227.FBpp0080361	Q24009
7227.FBpp0303259	P16568
7227.FBpp0075500	Q8SWR2
7227.FBpp0290948	A1Z9S1
7227.FBpp0075932	Q9VTE0
7227.FBpp0111364	A8JNV4
7227.FBpp0075998	Q9VTC2
7227.FBpp0110178	Q0KI28
7227.FBpp0289374	Q9VTM0
7227.FBpp0081910	Q9VGI8
7227.FBpp0072224	Q9W138
7227.FBpp0085336	Q7K480
7227.FBpp0078369	Q9VNH1
7227.FBpp0073194	Q9VZD2
7227.FBpp0074427	P29746
7227.FBpp0293525	Q9VZA4
7227.FBpp0085116	P40794
7227.FBpp0088519	Q7K0Y1
7227.FBpp0074874	Q9VVR2
7227.FBpp0079417	Q9VLD6
7227.FBpp0084323	P22815
7227.FBpp0304242	Q24207
7227.FBpp0297869	Q9VQU9
7227.FBpp0078210	Q9VNP5
7227.FBpp0293081	Q8MQJ9
7227.FBpp0303432	Q01295
7227.FBpp0303432	Q24206
7227.FBpp0072209	Q9W157
7227.FBpp0076822	Q9VRP9
7227.FBpp0303193	P25439
7227.FBpp0070606	Q24157
7227.FBpp0072026	P12428
7227.FBpp0072643	Q24039
7227.FBpp0080933	Q9VIL0
7227.FBpp0073098	Q9VZE6
7227.FBpp0070426	Q9V3X4
7227.FBpp0302745	P11929
7227.FBpp0088920	Q04787
7227.FBpp0071314	Q24266
7227.FBpp0073637	Q9VYB0
7227.FBpp0079237	P08630
7227.FBpp0288933	Q24522
7227.FBpp0288933	Q24523
7227.FBpp0083529	Q9VD83
7227.FBpp0305943	P39736
7227.FBpp0304380	P55965
7227.FBpp0071046	P51406
7227.FBpp0083145	Q9VE00
7227.FBpp0083144	Q9VE01
7227.FBpp0085792	Q9V8M2
7227.FBpp0074858	Q9VVR9
7227.FBpp0290498	Q9VGZ0
7227.FBpp0073610	Q9VYD1
7227.FBpp0087219	A1Z8J0
7227.FBpp0073887	Q9VXT5
7227.FBpp0079388	Q7K237
7227.FBpp0081741	O96553
7227.FBpp0080164	Q9V419
7227.FBpp0305230	Q9VYT8
7227.FBpp0078698	Q9VMT5
7227.FBpp0078697	Q9VMT6
7227.FBpp0297275	Q9VKJ9
7227.FBpp0080197	Q7KT91
7227.FBpp0289753	O77086
7227.FBpp0078388	Q9VNE7
7227.FBpp0087403	Q9V5L3
7227.FBpp0113050	Q9V7G5
7227.FBpp0078701	Q9VMS9
7227.FBpp0289683	Q9VMS8
7227.FBpp0078703	Q9VMS7
7227.FBpp0087839	Q9V4T3
7227.FBpp0070372	O46054
7227.FBpp0301778	O46051
7227.FBpp0072837	Q9W011
7227.FBpp0079095	Q9VLZ7
7227.FBpp0073352	Q9VYY4
7227.FBpp0086257	Q23997
7227.FBpp0087770	Q9V4U9
7227.FBpp0302888	Q9V4U7
7227.FBpp0086581	Q9V770
7227.FBpp0084553	Q9VB31
7227.FBpp0086583	P82711
7227.FBpp0289404	Q9V773
7227.FBpp0086586	Q9V774
7227.FBpp0086580	Q9V769
7227.FBpp0086582	Q9V771
7227.FBpp0082413	Q9VFJ0
7227.FBpp0086204	P41044
7227.FBpp0298326	P91645
7227.FBpp0089047	Q24270
7227.FBpp0080402	Q03017
7227.FBpp0293207	Q9VGW1
7227.FBpp0081987	Q9VGG5
7227.FBpp0290916	Q9VEU1
7227.FBpp0084248	Q9VBW3
7227.FBpp0071475	Q24298
7227.FBpp0072097	P45594
7227.FBpp0300935	Q9VJB6
7227.FBpp0099721	O15943
7227.FBpp0080942	P09085
7227.FBpp0082511	Q24572
7227.FBpp0085614	Q5BI42
7227.FBpp0291175	P49258
7227.FBpp0293502	P62152
7227.FBpp0081581	P29413
7227.FBpp0086383	Q7K5N4
7227.FBpp0085714	Q11002
7227.FBpp0300667	P48451
7227.FBpp0301600	Q24214
7227.FBpp0076072	Q9VT65
7227.FBpp0074005	Q9VXH6
7227.FBpp0304507	Q9VKY2
7227.FBpp0088620	P27398
7227.FBpp0078034	Q8ITC7
7227.FBpp0291850	Q8SXX4
7227.FBpp0074865	Q9I7D3
7227.FBpp0298334	Q9NHE5
7227.FBpp0288517	Q24120
7227.FBpp0071461	Q9W2N0
7227.FBpp0077549	P48603
7227.FBpp0305840	Q9VH48
7227.FBpp0071971	O02002
7227.FBpp0113052	Q8IRY7
7227.FBpp0078374	Q7M3M8
7227.FBpp0074825	P17336
7227.FBpp0076997	Q9VR99
7227.FBpp0086719	Q95029
7227.FBpp0075641	P54269
7227.FBpp0083943	Q95RV2
7227.FBpp0073996	Q27294
7227.FBpp0079464	Q9VL86
7227.FBpp0089126	P42787
7227.FBpp0085801	Q7K0F0
7227.FBpp0293006	Q868T3
7227.FBpp0083726	Q9VCW0
7227.FBpp0304603	Q9VM65
7227.FBpp0070480	O76879
7227.FBpp0088436	Q7KR10
7227.FBpp0088437	P82712
7227.FBpp0075096	Q9VVB4
7227.FBpp0079162	Q9VLT8
7227.FBpp0300642	Q7KW14
7227.FBpp0075807	P14785
7227.FBpp0084103	Q9I7I0
7227.FBpp0071822	P20439
7227.FBpp0082469	P25008
7227.FBpp0294012	P54733
7227.FBpp0305335	O96433
7227.FBpp0079616	Q9VKV5
7227.FBpp0289675	P23573
7227.FBpp0072660	Q24276
7227.FBpp0301153	P40793
7227.FBpp0304488	Q9VIS1
7227.FBpp0078013	Q9VP22
7227.FBpp0079641	P23572
7227.FBpp0086483	P48609
7227.FBpp0076098	Q9VT57
7227.FBpp0086116	Q7K4W1
7227.FBpp0081386	Q9VHN3
7227.FBpp0076411	P56079
7227.FBpp0072299	Q8MMC4
7227.FBpp0072179	Q02637
7227.FBpp0084978	P14954
7227.FBpp0085002	P14956
7227.FBpp0084980	O16829
7227.FBpp0297720	Q7JUY7
7227.FBpp0080123	Q9NGC3
7227.FBpp0082435	Q9VFH6
7227.FBpp0086454	Q7JVA5
7227.FBpp0303092	P16241
7227.FBpp0088592	P20385
7227.FBpp0079634	Q9VKV8
7227.FBpp0076299	P07185
7227.FBpp0076301	P22977
7227.FBpp0076298	P07184
7227.FBpp0076300	P07186
7227.FBpp0071150	P07182
7227.FBpp0289676	P07183
7227.FBpp0077665	Q9VPS5
7227.FBpp0078742	Q9VMN5
7227.FBpp0073290	O02649
7227.FBpp0303134	P12024
7227.FBpp0297122	Q7KU24
7227.FBpp0074766	O16102
7227.FBpp0099808	O97159
7227.FBpp0080396	Q9NK54
7227.FBpp0297108	Q9W092
7227.FBpp0110419	Q9W5U2
7227.FBpp0080441	O61661
7227.FBpp0305334	Q9VVI9
7227.FBpp0293744	Q7YU81
7227.FBpp0304225	Q9VTI8
7227.FBpp0083939	Q9VCC0
7227.FBpp0084839	Q9VAI1
7227.FBpp0086590	Q7K1Y4
7227.FBpp0293566	Q9U1H0
7227.FBpp0086787	Q9V6Q2
7227.FBpp0070063	P39205
7227.FBpp0084774	Q9VAM6
7227.FBpp0070871	Q9W401
7227.FBpp0088245	P19538
7227.FBpp0081735	Q9VGZ1
7227.FBpp0071478	Q95SK3
7227.FBpp0079399	Q24152
7227.FBpp0080529	Q9VJE5
7227.FBpp0088469	Q9NBD7
7227.FBpp0088397	P07668
7227.FBpp0082002	Q9VGH7
7227.FBpp0290037	Q9VWA1
7227.FBpp0073966	P29742
7227.FBpp0099478	O61735
7227.FBpp0086820	Q7K284
7227.FBpp0073142	Q8IRB5
7227.FBpp0086380	A1ZAB5
7227.FBpp0297541	Q9VA73
7227.FBpp0088518	Q9UAS6
7227.FBpp0303398	P20482
7227.FBpp0076921	Q9VRG7
7227.FBpp0292051	Q24278
7227.FBpp0080405	P49858
7227.FBpp0301625	P54623
7227.FBpp0082112	Q9V3G6
7227.FBpp0078641	P08120
7227.FBpp0291477	P0DKM0
7227.FBpp0110448	Q9W5N0
7227.FBpp0082093	Q9VGC3
7227.FBpp0082568	Q9VF78
7227.FBpp0077262	Q961G1
7227.FBpp0079628	Q95TN4
7227.FBpp0080552	Q9VJD3
7227.FBpp0087676	Q9V564
7227.FBpp0084875	Q9VAD6
7227.FBpp0079833	Q9VKH0
7227.FBpp0292667	B7Z0K8
7227.FBpp0111722	P56721
7227.FBpp0077414	Q9VQG4
7227.FBpp0305237	Q24139
7227.FBpp0301699	Q01819
7227.FBpp0078557	Q9VN14
7227.FBpp0080048	O62621
7227.FBpp0074348	P45437
7227.FBpp0303129	Q8I0G5
7227.FBpp0085450	Q8MLL3
7227.FBpp0081347	Q9VHS7
7227.FBpp0298344	Q9VVG6
7227.FBpp0073568	Q9VYF8
7227.FBpp0078759	Q9VMQ5
7227.FBpp0087999	Q8MKN0
7227.FBpp0300441	P41046
7227.FBpp0078949	Q960N3
7227.FBpp0082386	Q26377
7227.FBpp0088087	O16844
7227.FBpp0100176	P00399
7227.FBpp0100177	P00408
7227.FBpp0100180	P00417
7227.FBpp0081947	Q94514
7227.FBpp0296960	Q9VHS2
7227.FBpp0301614	A1Z7Z9
7227.FBpp0300785	Q9VGB4
7227.FBpp0082086	Q9VGB3
7227.FBpp0082136	Q9VG40
7227.FBpp0082088	Q9VGB5
7227.FBpp0074381	Q95078
7227.FBpp0082580	Q24478
7227.FBpp0084880	Q9NIP6
7227.FBpp0086937	Q9V6D6
7227.FBpp0073061	Q9NGX9
7227.FBpp0080386	Q9V399
7227.FBpp0082159	Q9VG17
7227.FBpp0074694	Q9VW43
7227.FBpp0074374	Q9VWR5
7227.FBpp0076836	Q9VRM7
7227.FBpp0074375	Q9VWR2
7227.FBpp0080627	Q9VJ71
7227.FBpp0073473	Q9VYQ7
7227.FBpp0305085	Q9VVN6
7227.FBpp0081379	Q9VHP4
7227.FBpp0089324	Q9VUF8
7227.FBpp0081949	Q9VGH1
7227.FBpp0304450	Q9VS78
7227.FBpp0086536	Q9V776
7227.FBpp0073460	Q9VYQ5
7227.FBpp0077429	Q9VQD2
7227.FBpp0077428	P82713
7227.FBpp0085074	Q9VA27
7227.FBpp0070412	P33269
7227.FBpp0070371	Q27589
7227.FBpp0076543	Q9VS79
7227.FBpp0087825	Q9V4T5
7227.FBpp0087824	Q27606
7227.FBpp0079515	Q9VL92
7227.FBpp0070094	Q9V3S0
7227.FBpp0087673	Q9V558
7227.FBpp0087672	Q9V557
7227.FBpp0087674	Q9V559
7227.FBpp0073845	Q9VXY0
7227.FBpp0085466	P33270
7227.FBpp0086585	Q27593
7227.FBpp0289405	Q27594
7227.FBpp0071839	Q9W223
7227.FBpp0083697	Q9VCW1
7227.FBpp0088707	Q9VFP1
7227.FBpp0087100	Q9V674
7227.FBpp0087117	Q9V675
7227.FBpp0076908	Q9VRI9
7227.FBpp0087101	Q9V676
7227.FBpp0085516	Q9V979
7227.FBpp0076968	Q9VRB3
7227.FBpp0085332	Q9V9L1
7227.FBpp0088127	Q9V4I0
7227.FBpp0088126	Q9V4I1
7227.FBpp0072228	Q9W130
7227.FBpp0082070	Q9VG82
7227.FBpp0086933	Q9V6H1
7227.FBpp0081467	P22058
7227.FBpp0072136	O77475
7227.FBpp0290013	Q8IPM8
7227.FBpp0082021	Q02910
7227.FBpp0303306	Q01617
7227.FBpp0078465	Q9VN93
7227.FBpp0089163	Q9V726
7227.FBpp0084726	Q9V3D6
7227.FBpp0083105	Q9VE51
7227.FBpp0077676	Q9VPT8
7227.FBpp0076433	Q9VSH4
7227.FBpp0081652	Q9VH36
7227.FBpp0293268	P10040
7227.FBpp0113106	Q9U6B8
7227.FBpp0089339	P29747
7227.FBpp0074326	Q9VWW0
7227.FBpp0110092	Q9VC61
7227.FBpp0088181	Q9XYM0
7227.FBpp0084303	Q8MZC4
7227.FBpp0070472	O76906
7227.FBpp0070402	P17886
7227.FBpp0078049	P32027
7227.FBpp0077747	Q27367
7227.FBpp0083150	O77059
7227.FBpp0110433	P08181
7227.FBpp0089135	P08182
7227.FBpp0085590	O96863
7227.FBpp0303394	Q24210
7227.FBpp0074841	Q9VVU5
7227.FBpp0303869	Q94899
7227.FBpp0077927	Q8SYG2
7227.FBpp0087935	Q9V345
7227.FBpp0082743	Q9XZ58
7227.FBpp0083658	Q9VCY3
7227.FBpp0087821	Q9V4S8
7227.FBpp0079262	Q7KTH8
7227.FBpp0078146	Q03751
7227.FBpp0305853	Q9V498
7227.FBpp0080687	Q9V3A4
7227.FBpp0070363	P29349
7227.FBpp0099514	O46036
7227.FBpp0073088	Q9VZE7
7227.FBpp0084740	Q9VAP3
7227.FBpp0070037	P35220
7227.FBpp0083750	Q9VCR7
7227.FBpp0087712	Q7JWW5
7227.FBpp0303745	Q9VIV3
7227.FBpp0073074	Q9VZH1
7227.FBpp0079123	Q26416
7227.FBpp0072590	Q95RU0
7227.FBpp0087141	Q9V629
7227.FBpp0087921	Q24311
7227.FBpp0078062	P27779
7227.FBpp0081186	P27780
7227.FBpp0082926	P27781
7227.FBpp0079016	P14484
7227.FBpp0288761	Q9VMA3
7227.FBpp0292328	Q9VF71
7227.FBpp0113105	P10180
7227.FBpp0071259	Q9V3B6
7227.FBpp0080638	Q9VJ87
7227.FBpp0071262	Q9W352
7227.FBpp0073809	P32870
7227.FBpp0304264	P19967
7227.FBpp0087979	Q9V4N3
7227.FBpp0100186	P18935
7227.FBpp0080445	P04657
7227.FBpp0080446	P84029
7227.FBpp0074693	O61734
7227.FBpp0082541	Q9VF87
7227.FBpp0072874	Q9VZV5
7227.FBpp0077688	P15425
7227.FBpp0082439	P23779
7227.FBpp0081044	Q8INT5
7227.FBpp0085901	A1ZB91
7227.FBpp0082402	Q8INF7
7227.FBpp0303222	P98081
7227.FBpp0079324	Q9VLM5
7227.FBpp0081564	Q9VH89
7227.FBpp0297069	Q24114
7227.FBpp0084155	Q9VBW9
7227.FBpp0303320	Q9VBW6
7227.FBpp0073356	Q0KHT7
7227.FBpp0304504	P11420
7227.FBpp0075561	Q9VU84
7227.FBpp0076410	Q9VSD7
7227.FBpp0084724	Q9VAT2
7227.FBpp0293270	Q9W2F2
7227.FBpp0079584	P91931
7227.FBpp0073131	P20228
7227.FBpp0304256	Q05733
7227.FBpp0110466	Q7PLI7
7227.FBpp0297285	Q9VUQ8
7227.FBpp0087939	P40807
7227.FBpp0087940	P40808
7227.FBpp0085104	O76324
7227.FBpp0083717	Q9VCU9
7227.FBpp0074597	Q9VWA2
7227.FBpp0075498	P13496
7227.FBpp0087722	Q7K2D2
7227.FBpp0113059	Q9V595
7227.FBpp0082177	Q9XYZ5
7227.FBpp0080710	P05031
7227.FBpp0083451	Q9VDD1
7227.FBpp0078301	P19109
7227.FBpp0083572	Q9VD51
7227.FBpp0304166	O61305
7227.FBpp0078144	Q9VNV3
7227.FBpp0081374	Q9VHP0
7227.FBpp0078606	Q9V3C0
7227.FBpp0087645	Q07886
7227.FBpp0075106	P26802
7227.FBpp0081355	Q9VHU1
7227.FBpp0079565	P23128
7227.FBpp0304463	Q24180
7227.FBpp0071097	P18169
7227.FBpp0071097	P18170
7227.FBpp0071097	P18171
7227.FBpp0077451	P07713
7227.FBpp0075727	Q9VTT9
7227.FBpp0087518	P36192
7227.FBpp0084381	P41894
7227.FBpp0088975	P81160
7227.FBpp0305298	Q9VIF5
7227.FBpp0302657	Q9VX98
7227.FBpp0077489	Q9VQ57
7227.FBpp0081138	P07548
7227.FBpp0080212	Q9V3Y3
7227.FBpp0071145	O44424
7227.FBpp0300813	Q01583
7227.FBpp0305778	Q09103
7227.FBpp0293459	A8JQ65
7227.FBpp0073988	Q9VXJ0
7227.FBpp0088988	P54385
7227.FBpp0081114	P18173
7227.FBpp0084910	Q9Y140
7227.FBpp0083857	Q9VCI5
7227.FBpp0085117	Q9VA02
7227.FBpp0076418	Q9VSF4
7227.FBpp0297103	P48608
7227.FBpp0075488	Q24533
7227.FBpp0290792	P98149
7227.FBpp0084729	Q9VAQ5
7227.FBpp0305546	B6VQA1
7227.FBpp0072420	Q9W0S9
7227.FBpp0085802	P24492
7227.FBpp0074028	P23792
7227.FBpp0078314	Q9VNJ5
7227.FBpp0079308	Q9VLK4
7227.FBpp0073862	Q9VXT2
7227.FBpp0088683	O01352
7227.FBpp0099583	O44081
7227.FBpp0290503	P31007
7227.FBpp0072673	Q8T626
7227.FBpp0083153	P10041
7227.FBpp0071076	Q9W3L5
7227.FBpp0071079	Q9W3M2
7227.FBpp0110219	Q9VDW6
7227.FBpp0110219	Q9VDW3
7227.FBpp0110219	Q0KI50
7227.FBpp0110219	Q7YU29
7227.FBpp0072935	P41964
7227.FBpp0076829	Q24133
7227.FBpp0089101	Q94521
7227.FBpp0290487	P92029
7227.FBpp0302815	Q9XZT6
7227.FBpp0072041	Q9W1H4
7227.FBpp0289029	P49762
7227.FBpp0076894	P54353
7227.FBpp0085222	Q9V9U4
7227.FBpp0074525	Q9VWE0
7227.FBpp0071529	Q9NDJ2
7227.FBpp0078445	Q9VNA8
7227.FBpp0303087	A1ZBE8
7227.FBpp0303554	P41596
7227.FBpp0303325	Q24563
7227.FBpp0080560	P15330
7227.FBpp0072803	Q9VZZ9
7227.FBpp0292801	Q8INR6
7227.FBpp0081829	Q9VGQ9
7227.FBpp0080817	Q9VIU7
7227.FBpp0087879	Q26263
7227.FBpp0113035	Q9VB62
7227.FBpp0075277	P54358
7227.FBpp0072658	Q9W088
7227.FBpp0080148	Q27607
7227.FBpp0083514	P26019
7227.FBpp0082131	O18475
7227.FBpp0081331	Q9VHR8
7227.FBpp0074383	Q9VWR8
7227.FBpp0079701	Q9VKQ9
7227.FBpp0071104	Q9W3J8
7227.FBpp0110094	Q4V516
7227.FBpp0099564	Q8IS44
7227.FBpp0080284	Q9V3Y2
7227.FBpp0071982	Q24573
7227.FBpp0086812	Q08012
7227.FBpp0077219	Q9VQS6
7227.FBpp0301076	P36193
7227.FBpp0303369	Q9VS29
7227.FBpp0073310	P51140
7227.FBpp0078628	P09040
7227.FBpp0071248	Q24324
7227.FBpp0303107	P23023
7227.FBpp0077708	Q24292
7227.FBpp0074829	Q9VVT5
7227.FBpp0070876	Q23985
7227.FBpp0289611	Q9VQH2
7227.FBpp0303122	Q9VVW5
7227.FBpp0078754	Q27268
7227.FBpp0074126	Q9VXA8
7227.FBpp0304991	P37276
7227.FBpp0088428	Q24246
7227.FBpp0070672	Q24117
7227.FBpp0077590	O96860
7227.FBpp0082996	Q94524
7227.FBpp0087755	Q7KNA0
7227.FBpp0305866	P27619
7227.FBpp0302965	Q9V3D5
7227.FBpp0099820	P83102
7227.FBpp0110210	P17719
7227.FBpp0078417	Q9NIV1
7227.FBpp0081029	O77051
7227.FBpp0083516	Q27368
7227.FBpp0073031	P48593
7227.FBpp0099825	P11536
7227.FBpp0297726	P17672
7227.FBpp0297726	P13055
7227.FBpp0297726	P17671
7227.FBpp0297287	P45447
7227.FBpp0306049	Q9Y0I1
7227.FBpp0088079	Q7JRJ1
7227.FBpp0082539	P13582
7227.FBpp0073990	P54352
7227.FBpp0077715	Q95RJ9
7227.FBpp0085119	Q9V9Z9
7227.FBpp0082885	Q07892
7227.FBpp0087116	Q9V677
7227.FBpp0076592	Q9VS50
7227.FBpp0291631	P34021
7227.FBpp0078296	Q9U6M0
7227.FBpp0074970	Q9VVI2
7227.FBpp0079818	Q9VKK1
7227.FBpp0304260	P08736
7227.FBpp0085193	P05303
7227.FBpp0305165	O96827
7227.FBpp0079542	Q9VL18
7227.FBpp0084761	Q9NJH0
7227.FBpp0305182	P13060
7227.FBpp0079041	Q9VM33
7227.FBpp0080727	Q9VJ26
7227.FBpp0078844	Q9VMH7
7227.FBpp0100147	Q8IGJ0
7227.FBpp0080547	Q9VJC7
7227.FBpp0071571	P04412
7227.FBpp0070423	O01346
7227.FBpp0078091	P15370
7227.FBpp0088565	Q9VCK0
7227.FBpp0082019	Q9VGC7
7227.FBpp0078532	Q9VN50
7227.FBpp0085334	A1Z6K7
7227.FBpp0070430	Q9W4X7
