722438.MPNE_0359	E1QC64
722438.MPNE_0324	E1QC43
722438.MPNE_0077	E1QBJ7
722438.MPNE_0485	E1QCF9
722438.MPNE_0245	E1QBX6
722438.MPNE_0203	E1QBT9
722438.MPNE_0646	E1QCT3
722438.MPNE_0069	E1QBJ0
722438.MPNE_0554	E1QCK7
722438.MPNE_0091	E1QBL0
722438.MPNE_0791	E1QD51
722438.MPNE_0042	E1QBG8
722438.MPNE_0775	E1QD35
722438.MPNE_0099	E1QBL7
722438.MPNE_0394	E1QC92
722438.MPNE_0428	E1QCC0
722438.MPNE_0334	E1QC50
722438.MPNE_0627	E1QCR7
722438.MPNE_0643	E1QCT2
722438.MPNE_0765	E1QD25
722438.MPNE_0147	E1QBP5
722438.MPNE_0381	E1QC81
722438.MPNE_0032	E1QBF9
722438.MPNE_0374	E1QC74
722438.MPNE_0066	E1QBI7
722438.MPNE_0272	E1QC00
722438.MPNE_0427	E1QCB9
722438.MPNE_0556	E1QCK9
722438.MPNE_0236	E1QBW6
722438.MPNE_0082	E1QBK3
722438.MPNE_0254	E1QBY2
722438.MPNE_0390	E1QC88
722438.MPNE_0586	E1QCN5
722438.MPNE_0009	E1QBD8
722438.MPNE_0705	E1QCX7
722438.MPNE_0456	E1QCE1
722438.MPNE_0165	E1QBQ9
722438.MPNE_0331	E1QC47
722438.MPNE_0786	E1QD46
722438.MPNE_0421	E1QCB5
722438.MPNE_0800	E1QD60
722438.MPNE_0633	E1QCS2
722438.MPNE_0111	E1QBM3
722438.MPNE_0065	E1QBI6
722438.MPNE_0379	E1QC79
722438.MPNE_0525	E1QCJ3
722438.MPNE_0796	E1QD56
722438.MPNE_0251	E1QBX9
722438.MPNE_0315	E1QC36
722438.MPNE_0564	E1QCL7
722438.MPNE_0289	E1QC16
722438.MPNE_0570	E1QCM2
722438.MPNE_0090	E1QBK9
722438.MPNE_0184	E1QBS4
722438.MPNE_0192	E1QBT0
722438.MPNE_0036	E1QBG3
722438.MPNE_0757	E1QD21
722438.MPNE_0247	E1QBX7
722438.MPNE_0074	E1QBJ5
722438.MPNE_0144	E1QBP3
722438.MPNE_0364	E1QC67
722438.MPNE_0217	E1QBV3
722438.MPNE_0580	E1QCM9
722438.MPNE_0582	E1QCN1
722438.MPNE_0653	E1QCU0
722438.MPNE_0655	E1QCU2
722438.MPNE_0680	E1QCW0
722438.MPNE_0702	E1QCX5
722438.MPNE_0067	E1QBI8
722438.MPNE_0081	E1QBK2
722438.MPNE_0088	E1QBK7
722438.MPNE_0769	E1QD29
722438.MPNE_0257	E1QBY5
722438.MPNE_0573	E1QCM5
722438.MPNE_0740	E1QD08
722438.MPNE_0137	E1QBN8
722438.MPNE_0679	E1QCV9
722438.MPNE_0711	E1QCY3
722438.MPNE_0716	E1QCY8
722438.MPNE_0142	E1QBP1
722438.MPNE_0382	E1QC82
722438.MPNE_0493	E1QCG4
722438.MPNE_0712	E1QCY4
722438.MPNE_0055	E1QBH8
722438.MPNE_0321	E1QC40
722438.MPNE_0415	E1QCB1
722438.MPNE_0766	E1QD26
722438.MPNE_0096	E1QBL4
722438.MPNE_0513	E1QCI3
722438.MPNE_0566	E1QCL9
722438.MPNE_0057	E1QBI0
722438.MPNE_0070	E1QBJ1
722438.MPNE_0434	E1QCC2
722438.MPNE_0742	E1QD10
722438.MPNE_0049	E1QBH4
722438.MPNE_0227	E1QBW3
722438.MPNE_0120	E1QBM8
722438.MPNE_0357	E1QC62
722438.MPNE_0562	E1QCL5
722438.MPNE_0719	E1QCY9
722438.MPNE_0163	E1QBQ7
722438.MPNE_0469	E1QCE7
722438.MPNE_0789	E1QD49
722438.MPNE_0225	E1QBW1
722438.MPNE_0262	E1QBZ0
722438.MPNE_0516	E1QCI4
722438.MPNE_0034	E1QBG1
722438.MPNE_0727	E1QCZ6
722438.MPNE_0135	E1QBN5
722438.MPNE_0721	E1QCZ0
722438.MPNE_0446	E1QCD2
722438.MPNE_0506	E1QCH7
722438.MPNE_0031	E1QBF8
722438.MPNE_0089	E1QBK8
722438.MPNE_0605	E1QCQ2
722438.MPNE_0169	E1QBR3
722438.MPNE_0436	E1QCC3
722438.MPNE_0637	E1QCS6
722438.MPNE_0545	E1QCK2
722438.MPNE_0221	E1QBV7
722438.MPNE_0006	E1QBD5
722438.MPNE_0078	E1QBJ9
722438.MPNE_0265	E1QBZ3
722438.MPNE_0392	E1QC90
722438.MPNE_0134	E1QBN6
722438.MPNE_0625	E1QCR5
722438.MPNE_0297	E1QC24
722438.MPNE_0503	E1QCH4
722438.MPNE_0543	E1QCK0
722438.MPNE_0560	E1QCL3
722438.MPNE_0751	E1QD17
722438.MPNE_0035	E1QBG2
722438.MPNE_0449	E1QCD4
722438.MPNE_0133	E1QBN4
722438.MPNE_0033	E1QBG0
722438.MPNE_0039	E1QBG6
722438.MPNE_0340	E1QC56
722438.MPNE_0101	E1QBL9
722438.MPNE_0418	E1QCB2
722438.MPNE_0698	E1QCX1
722438.MPNE_0730	E1QCZ9
722438.MPNE_0785	E1QD45
722438.MPNE_0132	E1QBN3
722438.MPNE_0160	E1QBQ4
722438.MPNE_0314	E1QC35
722438.MPNE_0402	E1QC99
722438.MPNE_0528	E1QCJ5
722438.MPNE_0064	E1QBI5
722438.MPNE_0213	E1QBU9
722438.MPNE_0292	E1QC19
722438.MPNE_0433	E1QCC1
722438.MPNE_0668	E1QCV0
722438.MPNE_0062	E1QBI3
722438.MPNE_0018	E1QBE7
722438.MPNE_0567	E1QCM0
722438.MPNE_0310	E1QC32
722438.MPNE_0748	E1QD14
722438.MPNE_0601	E1QCP8
722438.MPNE_0798	E1QD58
722438.MPNE_0750	E1QD16
722438.MPNE_0157	E1QBQ1
722438.MPNE_0302	E1QC28
722438.MPNE_0327	E1QC45
722438.MPNE_0393	E1QC91
722438.MPNE_0511	E1QCI2
722438.MPNE_0576	E1QCM8
722438.MPNE_0238	E1QBW8
722438.MPNE_0682	E1QCW1
722438.MPNE_0696	E1QCW9
722438.MPNE_0519	E1QCI7
722438.MPNE_0649	E1QCT6
722438.MPNE_0487	E1QCG0
722438.MPNE_0504	E1QCH5
722438.MPNE_0223	E1QBV9
722438.MPNE_0629	E1QCR8
722438.MPNE_0743	E1QD12
722438.MPNE_0051	E1QBH6
722438.MPNE_0317	E1QC38
722438.MPNE_0388	E1QC86
722438.MPNE_0200	E1QBT7
722438.MPNE_0295	E1QC22
722438.MPNE_0406	E1QCA2
722438.MPNE_0677	E1QCV7
722438.MPNE_0172	E1QBR7
722438.MPNE_0368	E1QC70
722438.MPNE_0059	E1QBI2
722438.MPNE_0117	E1QBM7
722438.MPNE_0498	E1QCG9
722438.MPNE_0708	E1QCY1
722438.MPNE_0651	E1QCT8
722438.MPNE_0093	E1QBL2
722438.MPNE_0632	E1QCS1
722438.MPNE_0652	E1QCT9
722438.MPNE_0676	E1QCV6
722438.MPNE_0029	E1QBF7
722438.MPNE_0770	E1QD30
722438.MPNE_0795	E1QD55
722438.MPNE_0122	E1QBN0
722438.MPNE_0500	E1QCH1
722438.MPNE_0044	E1QBG9
722438.MPNE_0443	E1QCC9
722438.MPNE_0408	E1QCA5
722438.MPNE_0527	E1QCJ4
722438.MPNE_0598	E1QCP5
722438.MPNE_0787	E1QD47
722438.MPNE_0002	E1QBD3
722438.MPNE_0683	E1QCW2
722438.MPNE_0199	E1QBT6
722438.MPNE_0714	E1QCY5
722438.MPNE_0255	E1QBY3
722438.MPNE_0461	E1QCE6
722438.MPNE_0663	E1QCU7
722438.MPNE_0569	E1QCM1
722438.MPNE_0168	E1QBR2
722438.MPNE_0558	E1QCL1
722438.MPNE_0092	E1QBL1
722438.MPNE_0313	E1QC34
722438.MPNE_0328	E1QC46
722438.MPNE_0768	E1QD28
722438.MPNE_0038	E1QBG5
722438.MPNE_0471	E1QCE9
722438.MPNE_0635	E1QCS3
722438.MPNE_0715	E1QCY7
722438.MPNE_0079	E1QBK0
722438.MPNE_0080	E1QBK1
722438.MPNE_0182	E1QBS2
722438.MPNE_0187	E1QBS5
722438.MPNE_0623	E1QCR2
722438.MPNE_0372	E1QC72
722438.MPNE_0458	E1QCE3
722438.MPNE_0474	E1QCF1
722438.MPNE_0007	E1QBD6
722438.MPNE_0592	E1QCP0
722438.MPNE_0524	E1QCJ2
722438.MPNE_0591	E1QCN9
722438.MPNE_0753	E1QD19
722438.MPNE_0654	E1QCU1
722438.MPNE_0391	E1QC89
722438.MPNE_0595	E1QCP3
722438.MPNE_0380	E1QC80
722438.MPNE_0482	E1QCF6
722438.MPNE_0647	E1QCT4
722438.MPNE_0339	E1QC55
722438.MPNE_0397	E1QC95
722438.MPNE_0779	E1QD39
722438.MPNE_0294	E1QC21
722438.MPNE_0076	E1QBJ8
722438.MPNE_0306	E1QC30
722438.MPNE_0371	E1QC71
722438.MPNE_0017	E1QBE6
722438.MPNE_0240	E1QBX0
722438.MPNE_0323	E1QC42
722438.MPNE_0398	E1QC96
722438.MPNE_0700	E1QCX3
722438.MPNE_0216	E1QBV2
722438.MPNE_0072	E1QBJ3
722438.MPNE_0559	E1QCL2
722438.MPNE_0025	E1QBF2
722438.MPNE_0107	E1QBM2
722438.MPNE_0602	E1QCP9
722438.MPNE_0001	E1QBD2
722438.MPNE_0642	E1QCT0
722438.MPNE_0630	E1QCR9
722438.MPNE_0692	E1QCW5
722438.MPNE_0790	E1QD50
722438.MPNE_0308	E1QC31
722438.MPNE_0561	E1QCL4
722438.MPNE_0188	E1QBS6
722438.MPNE_0307	E1QC29
722438.MPNE_0335	E1QC51
722438.MPNE_0455	E1QCE0
722438.MPNE_0772	E1QD32
722438.MPNE_0279	E1QC06
722438.MPNE_0640	E1QCS9
722438.MPNE_0242	E1QBX2
722438.MPNE_0723	E1QCZ2
722438.MPNE_0285	E1QC12
722438.MPNE_0145	E1QBP4
722438.MPNE_0411	E1QCA8
722438.MPNE_0481	E1QCF5
722438.MPNE_0508	E1QCH9
722438.MPNE_0517	E1QCI5
722438.MPNE_0631	E1QCS0
722438.MPNE_0531	E1QCJ6
722438.MPNE_0263	E1QBZ1
722438.MPNE_0589	E1QCN7
722438.MPNE_0788	E1QD48
722438.MPNE_0220	E1QBV6
722438.MPNE_0636	E1QCS5
722438.MPNE_0492	E1QCG3
722438.MPNE_0152	E1QBP9
722438.MPNE_0754	E1QD20
722438.MPNE_0794	E1QD54
722438.MPNE_0603	E1QCQ0
722438.MPNE_0518	E1QCI6
722438.MPNE_0454	E1QCD9
722438.MPNE_0621	E1QCR1
722438.MPNE_0058	E1QBI1
722438.MPNE_0189	E1QBS7
722438.MPNE_0761	E1QD23
722438.MPNE_0767	E1QD27
722438.MPNE_0453	E1QCD8
722438.MPNE_0054	E1QBH7
722438.MPNE_0063	E1QBI4
722438.MPNE_0420	E1QCB4
722438.MPNE_0013	E1QBE2
722438.MPNE_0403	E1QCA0
722438.MPNE_0345	E1QC61
722438.MPNE_0666	E1QCU8
722438.MPNE_0105	E1QBM0
722438.MPNE_0439	E1QCC5
722438.MPNE_0445	E1QCD1
722438.MPNE_0246	E1QBX5
722438.MPNE_0271	E1QBZ9
722438.MPNE_0376	E1QC76
722438.MPNE_0407	E1QCA4
722438.MPNE_0367	E1QC69
722438.MPNE_0138	E1QBN9
722438.MPNE_0277	E1QC03
722438.MPNE_0024	E1QBF1
722438.MPNE_0480	E1QCF4
722438.MPNE_0510	E1QCI1
722438.MPNE_0738	E1QD07
722438.MPNE_0744	E1QD11
722438.MPNE_0150	E1QBP7
722438.MPNE_0710	E1QCY2
722438.MPNE_0206	E1QBU2
722438.MPNE_0030	E1QBF6
722438.MPNE_0404	E1QCA1
722438.MPNE_0045	E1QBH0
722438.MPNE_0612	E1QCQ4
722438.MPNE_0021	E1QBE8
722438.MPNE_0084	E1QBK4
722438.MPNE_0283	E1QC10
722438.MPNE_0781	E1QD41
722438.MPNE_0281	E1QC08
722438.MPNE_0780	E1QD40
722438.MPNE_0336	E1QC52
722438.MPNE_0597	E1QCP4
722438.MPNE_0764	E1QD24
722438.MPNE_0288	E1QC15
722438.MPNE_0149	E1QBP6
722438.MPNE_0588	E1QCN6
722438.MPNE_0496	E1QCG7
722438.MPNE_0358	E1QC63
722438.MPNE_0362	E1QC65
722438.MPNE_0451	E1QCD6
722438.MPNE_0553	E1QCK6
722438.MPNE_0296	E1QC23
722438.MPNE_0783	E1QD43
722438.MPNE_0584	E1QCN3
722438.MPNE_0275	E1QC02
722438.MPNE_0284	E1QC11
722438.MPNE_0141	E1QBP2
722438.MPNE_0156	E1QBQ0
722438.MPNE_0422	E1QCB6
722438.MPNE_0497	E1QCG8
722438.MPNE_0731	E1QD01
722438.MPNE_0005	E1QBD4
722438.MPNE_0167	E1QBR1
722438.MPNE_0494	E1QCG5
722438.MPNE_0590	E1QCN8
722438.MPNE_0426	E1QCB8
722438.MPNE_0490	E1QCG1
722438.MPNE_0797	E1QD57
722438.MPNE_0198	E1QBT5
722438.MPNE_0774	E1QD34
722438.MPNE_0332	E1QC49
722438.MPNE_0713	E1QCY6
722438.MPNE_0745	E1QD13
722438.MPNE_0190	E1QBS8
722438.MPNE_0634	E1QCS4
722438.MPNE_0771	E1QD31
722438.MPNE_0450	E1QCD5
722438.MPNE_0594	E1QCP2
722438.MPNE_0671	E1QCV3
722438.MPNE_0164	E1QBQ8
722438.MPNE_0725	E1QCZ4
722438.MPNE_0162	E1QBQ6
722438.MPNE_0075	E1QBJ6
722438.MPNE_0363	E1QC66
722438.MPNE_0565	E1QCL8
722438.MPNE_0604	E1QCQ1
722438.MPNE_0792	E1QD52
722438.MPNE_0342	E1QC58
722438.MPNE_0650	E1QCT7
722438.MPNE_0015	E1QBE5
722438.MPNE_0037	E1QBG4
722438.MPNE_0136	E1QBN7
722438.MPNE_0484	E1QCF8
722438.MPNE_0782	E1QD42
722438.MPNE_0171	E1QBR5
722438.MPNE_0196	E1QBT3
722438.MPNE_0389	E1QC87
722438.MPNE_0477	E1QCF3
722438.MPNE_0752	E1QD18
722438.MPNE_0131	E1QBN2
722438.MPNE_0161	E1QBQ5
722438.MPNE_0259	E1QBY7
722438.MPNE_0539	E1QCJ7
722438.MPNE_0338	E1QC54
722438.MPNE_0383	E1QC83
722438.MPNE_0378	E1QC78
722438.MPNE_0095	E1QBL3
722438.MPNE_0116	E1QBM6
722438.MPNE_0210	E1QBU6
722438.MPNE_0014	E1QBE3
722438.MPNE_0689	E1QCW3
722438.MPNE_0266	E1QBZ4
722438.MPNE_0483	E1QCF7
722438.MPNE_0728	E1QCZ7
722438.MPNE_0551	E1QCK4
722438.MPNE_0333	E1QC48
722438.MPNE_0694	E1QCW7
722438.MPNE_0423	E1QCB7
722438.MPNE_0613	E1QCQ5
722438.MPNE_0699	E1QCX2
722438.MPNE_0706	E1QCX8
722438.MPNE_0522	E1QCJ0
722438.MPNE_0701	E1QCX4
722438.MPNE_0023	E1QBF0
722438.MPNE_0209	E1QBU5
722438.MPNE_0593	E1QCP1
722438.MPNE_0776	E1QD36
722438.MPNE_0693	E1QCW6
722438.MPNE_0012	E1QBE1
722438.MPNE_0258	E1QBY6
722438.MPNE_0495	E1QCG6
722438.MPNE_0571	E1QCM3
722438.MPNE_0222	E1QBV8
722438.MPNE_0799	E1QD59
722438.MPNE_0557	E1QCL0
722438.MPNE_0749	E1QD15
722438.MPNE_0778	E1QD38
722438.MPNE_0112	E1QBM4
722438.MPNE_0239	E1QBW9
722438.MPNE_0322	E1QC41
722438.MPNE_0085	E1QBK5
722438.MPNE_0624	E1QCR3
722438.MPNE_0197	E1QBT4
722438.MPNE_0399	E1QC97
722438.MPNE_0472	E1QCF0
722438.MPNE_0619	E1QCQ9
722438.MPNE_0675	E1QCV5
722438.MPNE_0337	E1QC53
722438.MPNE_0224	E1QBW0
722438.MPNE_0309	E1QC33
722438.MPNE_0550	E1QCK3
722438.MPNE_0293	E1QC20
722438.MPNE_0784	E1QD44
722438.MPNE_0056	E1QBH9
722438.MPNE_0638	E1QCS7
722438.MPNE_0581	E1QCN0
722438.MPNE_0618	E1QCQ8
722438.MPNE_0639	E1QCS8
722438.MPNE_0395	E1QC93
722438.MPNE_0231	E1QBW4
722438.MPNE_0215	E1QBV1
722438.MPNE_0226	E1QBW2
722438.MPNE_0459	E1QCE5
722438.MPNE_0734	E1QD03
722438.MPNE_0269	E1QBZ7
722438.MPNE_0300	E1QC26
722438.MPNE_0572	E1QCM4
722438.MPNE_0270	E1QBZ8
722438.MPNE_0100	E1QBL8
722438.MPNE_0291	E1QC18
722438.MPNE_0678	E1QCV8
722438.MPNE_0241	E1QBX1
722438.MPNE_0127	E1QBN1
722438.MPNE_0179	E1QBS0
722438.MPNE_0437	E1QCC4
722438.MPNE_0505	E1QCH6
722438.MPNE_0191	E1QBS9
722438.MPNE_0615	E1QCQ6
722438.MPNE_0341	E1QC57
722438.MPNE_0628	E1QCR6
722438.MPNE_0097	E1QBL5
722438.MPNE_0709	E1QCY0
722438.MPNE_0280	E1QC07
722438.MPNE_0278	E1QC05
722438.MPNE_0287	E1QC14
722438.MPNE_0609	E1QCQ3
722438.MPNE_0707	E1QCX9
722438.MPNE_0777	E1QD37
722438.MPNE_0180	E1QBS1
722438.MPNE_0028	E1QBF5
722438.MPNE_0520	E1QCI8
722438.MPNE_0208	E1QBU4
722438.MPNE_0290	E1QC17
722438.MPNE_0405	E1QCA3
722438.MPNE_0444	E1QCD0
722438.MPNE_0540	E1QCJ8
722438.MPNE_0410	E1QCA7
722438.MPNE_0697	E1QCX0
722438.MPNE_0695	E1QCW8
722438.MPNE_0170	E1QBR4
722438.MPNE_0667	E1QCU9
722438.MPNE_0729	E1QCZ8
722438.MPNE_0521	E1QCI9
722438.MPNE_0086	E1QBK6
722438.MPNE_0205	E1QBU1
722438.MPNE_0620	E1QCR0
722438.MPNE_0401	E1QC98
722438.MPNE_0670	E1QCV2
722438.MPNE_0010	E1QBD9
722438.MPNE_0574	E1QCM6
722438.MPNE_0501	E1QCH2
722438.MPNE_0166	E1QBR0
722438.MPNE_0026	E1QBF3
722438.MPNE_0447	E1QCD3
722438.MPNE_0552	E1QCK5
722438.MPNE_0194	E1QBT1
722438.MPNE_0726	E1QCZ5
722438.MPNE_0626	E1QCR4
722438.MPNE_0660	E1QCU4
722438.MPNE_0674	E1QCV4
722438.MPNE_0703	E1QCX6
722438.MPNE_0470	E1QCE8
722438.MPNE_0575	E1QCM7
