260799.BAS2336	Q6HYJ1
260799.BAS2015	Q6HZG0
260799.BAS4188	Q44703
260799.BAS5037	Q6HQW2
260799.BAS0412	Q6I3Y8
260799.BAS3520	Q6HV64
260799.BAS5135	Q6HQL4
260799.BAS0433	Q6I3W7
260799.BAS0009	Q6I532
260799.BAS2810	Q6HX70
260799.BAS4768	Q6HRM7
260799.BAS3476	Q6HVA7
260799.BAS3641	Q6HUU6
260799.BAS4320	Q6HSX1
260799.BAS2016	Q6HZF9
260799.BAS2110	Q6HZ65
260799.BAS0341	Q6I459
260799.BAS0353	Q6I447
260799.BAS0413	Q6I3Y7
260799.BAS1815	Q6I009
260799.BAS0174	Q6I4M1
260799.BAS5199	Q9XCQ8
260799.BAS1814	Q6I010
260799.BAS0558	Q6I3J4
260799.BAS0855	Q6I2P9
260799.BAS4336	Q6HSV5
260799.BAS0742	Q6I312
260799.BAS0438	Q6I3W2
260799.BAS1193	Q6I1R7
260799.BAS1169	Q6I1U1
260799.BAS1579	Q6I0N5
260799.BAS0985	Q6I2C2
260799.BAS0630	Q6I3C3
260799.BAS4844	Q6HRF1
260799.BAS2740	Q6HXE0
260799.BAS2951	Q6HWT0
260799.BAS4921	Q6HR76
260799.BAS3977	Q6HTW1
260799.BAS0679	Q6I374
260799.BAS4959	Q6HR39
260799.BAS3150	Q6HW81
260799.BAS5134	Q6HQL5
260799.BAS3976	Q6HTW2
260799.BAS1126	Q6I1Y2
260799.BAS3548	Q6HV36
260799.BAS2414	Q6HYB4
260799.BAS4599	Q6HS43
260799.BAS3292	Q6HVT9
260799.BAS2648	Q6HXN1
260799.BAS1020	Q6I287
260799.BAS4529	Q6HSB2
260799.BAS1078	Q6I231
260799.BAS1695	Q6I0C5
260799.BAS0764	Q6I2Z0
260799.BAS1578	Q6I0N6
260799.BAS1367	Q6I195
260799.BAS0986	Q6I2C1
260799.BAS4920	Q6HR77
260799.BAS5233	Q6HQB7
260799.BAS3397	Q6HVI5
260799.BAS2669	Q6HXL1
260799.BAS2926	Q6HWV4
260799.BAS1564	Q6I0Q0
260799.BAS0910	Q6I2J5
260799.BAS1624	Q6I0J6
260799.BAS0231	Q6I4G4
260799.BAS4960	Q6HR38
260799.BAS1881	Q6HZU3
260799.BAS0439	Q6I3W1
260799.BAS2230	Q6HYU7
260799.BAS0230	Q6I4G5
260799.BAS0762	Q6I2Z2
260799.BAS0477	Q6I3S3
260799.BAS0203	Q6I4J2
260799.BAS2647	Q6HXN2
260799.BAS1615	Q6I0K5
260799.BAS5029	Q6HQX0
260799.BAS3547	Q6HV37
260799.BAS0340	Q6I460
260799.BAS0627	B9ZSE7
260799.BAS1560	Q6I0Q4
260799.BAS3041	Q6HWJ0
260799.BAS3387	Q6HVJ4
260799.BAS2342	Q6HYI5
260799.BAS1552	Q6I0R2
260799.BAS4729	Q6HRR5
260799.BAS0153	Q6I4P2
260799.BAS3583	Q6HV02
260799.BAS4256	Q6HT34
260799.BAS3064	Q6HWG7
260799.BAS4395	Q6HSP6
260799.BAS2119	Q6HZ57
260799.BAS1130	Q6I1X8
260799.BAS2906	Q6HWX4
260799.BAS5264	Q6HQ86
260799.BAS2344	Q6HYI3
260799.BAS2708	Q6HXH2
260799.BAS3031	Q6HWK0
260799.BAS2352	Q6HYH5
260799.BAS2872	Q6HX08
260799.BAS3380	Q6HVK1
260799.BAS0444	Q6I3V6
260799.BAS1772	Q6I052
260799.BAS0400	Q6I400
260799.BAS3732	Q6HUK5
260799.BAS3222	Q6HW09
260799.BAS5232	Q6HQB8
260799.BAS2008	Q6HZG7
260799.BAS3309	Q6HVS2
260799.BAS4408	Q6HSN3
260799.BAS2224	Q6HYV3
260799.BAS0713	Q6I341
260799.BAS0344	Q6I456
260799.BAS5084	Q6HQR5
260799.BAS2428	Q6HYA0
260799.BAS2075	Q6HZA0
260799.BAS2497	Q6HY31
260799.BAS3010	Q6HWM1
260799.BAS2343	Q6HYI4
260799.BAS5087	Q6HQR2
260799.BAS2281	Q6HYP6
260799.BAS1641	Q6I0H9
260799.BAS3495	Q6HV88
260799.BAS0163	Q6I4N2
260799.BAS3639	Q6HUU7
260799.BAS3221	Q6HW10
260799.BAS1857	Q6HZW7
260799.BAS2518	Q6HY10
260799.BAS0678	Q6I375
260799.BAS1845	Q6HZX9
260799.BAS2071	Q6HZA4
260799.BAS1543	Q6I0S1
260799.BAS1237	Q6I1M4
260799.BAS4407	Q6HSN4
260799.BAS1398	Q6I164
260799.BAS4732	Q6HRR2
260799.BAS3567	Q6HV18
260799.BAS1572	Q6I0P2
260799.BAS0619	Q6I3D4
260799.BAS4600	Q6HS42
260799.BAS2704	Q6HXH6
260799.BAS2931	Q6HWU9
260799.BAS1553	Q6I0R1
260799.BAS2228	Q6HYU9
260799.BAS4621	Q6HS21
260799.BAS0862	Q6I2P2
260799.BAS2423	Q6HYA5
260799.BAS1908	Q6HZR6
260799.BAS1542	Q6I0S2
260799.BAS2930	Q6HWV0
260799.BAS1678	Q6I0E2
260799.BAS1741	Q6I083
260799.BAS0478	Q6I3S2
260799.BAS2114	Q6HZ61
260799.BAS3009	Q6HWM2
260799.BAS1856	Q6HZW8
260799.BAS2488	Q6HY40
260799.BAS4681	Q6HRW3
260799.BAS0164	Q6I4N1
260799.BAS1747	Q6I077
260799.BAS2424	Q6HYA4
260799.BAS0861	Q6I2P3
260799.BAS2519	Q6HY09
260799.BAS4551	Q6HS90
260799.BAS3260	Q6HVX1
260799.BAS2104	Q6HZ71
260799.BAS3308	Q6HVS3
260799.BAS2429	Q6HY99
260799.BAS1677	Q6I0E3
260799.BAS0216	Q6I4H9
260799.BAS1689	Q6I0D1
260799.BAS3047	Q6HWI4
260799.BAS2487	Q6HY41
260799.BAS4728	Q6HRR6
260799.BAS1584	Q6I0N0
260799.BAS1125	Q6I1Y3
260799.BAS0992	Q6I2B5
260799.BAS5083	Q6HQR6
260799.BAS4623	Q6HS19
260799.BAS1941	Q6HZN4
260799.BAS2118	Q6HZ58
260799.BAS1622	Q6I0J8
260799.BAS0303	Q6I497
260799.BAS5265	Q6HQ85
260799.BAS1586	Q6I0M8
260799.BAS2933	Q6HWU7
260799.BAS1585	Q6I0M9
260799.BAS2341	Q6HYI6
260799.BAS1690	Q6I0D0
260799.BAS5245	Q6HQA5
260799.BAS3952	Q6HTY6
260799.BAS2353	Q6HYH4
260799.BAS3205	Q6HW26
260799.BAS0396	Q6I404
260799.BAS2512	Q6HY16
260799.BAS0529	Q6I3M3
260799.BAS2229	Q6HYU8
260799.BAS1498	Q6I0W4
260799.BAS3261	Q6HVX0
260799.BAS2070	Q6HZA5
260799.BAS1623	Q6I0J7
260799.BAS2392	Q6HYD6
260799.BAS3462	Q6HVC1
260799.BAS0352	Q6I448
260799.BAS1247	Q6I1L4
260799.BAS1245	Q6I1L6
260799.BAS0810	Q6I2U4
260799.BAS3843	Q6HU95
260799.BAS4680	Q6HRW4
260799.BAS3557	Q6HV27
260799.BAS0401	Q6I3Z9
260799.BAS0352	B9ZSE3
260799.BAS4960	B9ZSG5
260799.BAS1248	Q6I1L3
260799.BAS5088	Q6HQR1
260799.BAS2383	Q6HYE5
260799.BAS2340	Q6HYI7
260799.BAS1751	Q6I073
260799.BAS1846	Q6HZX8
260799.BAS0528	Q6I3M4
260799.BAS2869	Q6HX11
260799.BAS1740	Q6I084
260799.BAS4798	Q6HRJ7
260799.BAS3048	Q6HWI3
260799.BAS1236	Q6I1M5
260799.BAS3496	Q6HV87
260799.BAS2116	Q6HZ60
260799.BAS1571	Q6I0P3
260799.BAS1940	Q6HZN5
260799.BAS3206	Q6HW25
260799.BAS2949	Q6HWT2
260799.BAS2327	Q6HYK0
260799.BAS2326	Q6HYK1
260799.BAS1771	Q6I053
260799.BAS1748	Q6I076
260799.BAS0202	Q6I4J3
260799.BAS0811	Q6I2U3
260799.BAS2934	Q6HWU6
260799.BAS2769	Q6HXB1
260799.BAS2223	Q6HYV4
260799.BAS1397	Q6I165
260799.BAS0725	Q6I329
260799.BAS0263	Q6I4D4
260799.BAS2927	Q6HWV3
260799.BAS3953	Q6HTY5
260799.BAS1032	Q6I276
260799.BAS0620	Q6I3D3
260799.BAS2768	Q6HXB2
260799.BAS1672	Q6I0E8
260799.BAS1960	Q6HZL5
260799.BAS0154	Q6I4P1
260799.BAS0627	Q6I3C6
260799.BAS4550	Q6HS91
260799.BAS2741	Q6HXD9
260799.BAS2907	Q6HWX3
260799.BAS1715	Q6I0A7
260799.BAS1028	Q6I279
260799.BAS0225	Q6I4H0
260799.BAS1244	Q6I1L7
260799.BAS3638	Q6HUU8
260799.BAS2945	Q6HWT5
260799.BAS4127	Q6HTG2
260799.BAS3879	Q6HU59
260799.BAS0763	Q6I2Z1
260799.BAS3061	Q6HWH0
260799.BAS5246	Q6HQA4
260799.BAS1847	Q6HZX7
260799.BAS2411	Q6HYB7
260799.BAS4048	Q6HTP0
260799.BAS2420	Q6HYA8
260799.BAS3477	Q6HVA6
260799.BAS2421	Q6HYA7
260799.BAS0224	Q6I4H1
260799.BAS3272	Q6HVV9
260799.BAS1027	Q6I280
260799.BAS2393	Q6HYD5
260799.BAS4044	Q6HTP4
260799.BAS4319	Q6HSX2
260799.BAS0223	Q6I4H2
260799.BAS1294	Q6I1G7
260799.BAS3006	Q6HWM5
260799.BAS3386	Q6HVJ5
260799.BAS3301	Q6HVT0
260799.BAS2619	Q6HXR0
260799.BAS2538	Q6HXZ0
260799.BAS2925	Q6HWV5
260799.BAS5205	Q6HQE4
260799.BAS3042	Q6HWI9
260799.BAS2987	Q6HWP4
260799.BAS1088	Q6I220
260799.BAS0991	Q6I2B6
260799.BAS0302	Q6I498
260799.BAS3566	Q6HV19
260799.BAS2537	Q6HXZ1
260799.BAS1694	Q6I0C6
260799.BAS0702	Q6I352
260799.BAS4733	Q6HRR1
260799.BAS4120	Q6HTG9
260799.BAS2164	Q6HZ13
260799.BAS5037	D0Z5M1
260799.BAS1674	Q6I0E6
260799.BAS5207	Q6HQE2
260799.BAS2496	Q6HY32
260799.BAS4335	Q6HSV6
260799.BAS2540	Q6HXY8
260799.BAS5037	B9ZSG6
260799.BAS2924	Q6HWV6
260799.BAS5206	Q6HQE3
260799.BAS2831	Q6HX49
260799.BAS1639	Q6I0I1
260799.BAS1642	Q6I0H8
260799.BAS1581	Q6I0N3
260799.BAS4622	Q6HS20
