39947.LOC_Os08g37490.1	Q84J55
39947.LOC_Os10g21910.1	Q8S6N5
39947.LOC_Os05g22940.1	B9FK36
39947.LOC_Osp1g00440.1	P0C2Y2
39947.LOC_Osp1g00440.1	P0C2Y4
39947.LOC_Os09g27820.1	Q0J1C1
39947.LOC_Os07g34520.1	Q6Z6M4
39947.LOC_Os02g42890.1	A3A9H6
39947.LOC_Os04g45090.2	Q7XMK3
39947.LOC_Os11g47120.1	Q53JY8
39947.LOC_Os11g47330.1	Q2QZ86
39947.LOC_Os12g37870.1	Q2QNG7
39947.LOC_Os01g19450.1	Q93VT8
39947.LOC_Os08g09200.1	Q6YZX6
39947.LOC_Os03g01770.1	Q10SX6
39947.LOC_Os03g50885.1	Q10DV7
39947.LOC_Os10g36650.1	A3C6D7
39947.LOC_Os03g61970.1	Q10AZ4
39947.LOC_Os01g64630.1	P0C540
39947.LOC_Os04g01690.1	Q7XRA1
39947.LOC_Os06g48620.1	Q5Z856
39947.LOC_Os10g37670.1	Q337A5
39947.LOC_Os12g43340.1	Q2QLT8
39947.LOC_Os02g44470.1	Q6EUH7
39947.LOC_Os03g56790.1	Q9AY76
39947.LOC_Os03g60580.1	Q84TB6
39947.LOC_Os03g60590.2	Q84TB3
39947.LOC_Os03g13950.1	Q10P87
39947.LOC_Os04g46910.1	Q7XSN9
39947.LOC_Os07g20170.1	Q0D744
39947.LOC_Os07g30090.1	Q8H2P8
39947.LOC_Os11g10480.1	Q2R8Z5
39947.LOC_Os11g10510.1	Q0ITW7
39947.LOC_Os02g57040.1	Q0DWH1
39947.LOC_Os06g47890.1	Q5Z8K3
39947.LOC_Os02g05700.1	Q67UX0
39947.LOC_Os11g34460.1	Q2R2W1
39947.LOC_Os06g43620.1	B7F9G7
39947.LOC_Os02g08320.1	Q6ETK9
39947.LOC_Os03g13040.1	Q10PI5
39947.LOC_Os07g48840.1	Q8H5F8
39947.LOC_Os02g48720.1	P31691
39947.LOC_Os10g35110.1	Q9FXT4
39947.LOC_Os04g09390.1	Q0JF21
39947.LOC_Os06g46284.1	Q653V7
39947.LOC_Os07g09720.1	Q6ZDQ1
39947.LOC_Os03g47830.1	Q10F39
39947.LOC_Os03g47820.1	Q7Y001
39947.LOC_Os03g57560.1	Q852N2
39947.LOC_Os07g09020.1	Q6Z4F1
39947.LOC_Os02g07310.1	Q6H6C3
39947.LOC_Os07g28850.1	Q69UP6
39947.LOC_Os02g45070.1	Q6EU14
39947.LOC_Os04g47870.1	Q7XSA2
39947.LOC_Os02g58490.1	Q6K972
39947.LOC_Os06g51310.1	Q5Z5B2
39947.LOC_Os04g52540.1	Q7XTS4
39947.LOC_Os04g52550.1	Q7XTS3
39947.LOC_Os01g16870.1	Q9SDG8
39947.LOC_Os04g06770.1	Q0JF58
39947.LOC_Os03g33650.1	Q75HC2
39947.LOC_Os02g33080.1	Q93XI4
39947.LOC_Os04g26870.1	Q0JE32
39947.LOC_Os04g26910.1	Q7XT99
39947.LOC_Os04g27060.1	Q7XQ45
39947.LOC_Os01g45990.1	Q0JKV1
39947.LOC_Os05g35410.1	Q75HP9
39947.LOC_Os07g07910.1	Q8H569
39947.LOC_Os03g09910.1	Q6VMN7
39947.LOC_Os10g04860.1	Q7XH05
39947.LOC_Os03g57690.1	Q852M1
39947.LOC_Os03g57680.1	Q852M2
39947.LOC_Os07g18154.1	Q69R21
39947.LOC_Os07g18120.1	Q6Z351
39947.LOC_Os11g07020.1	Q40677
39947.LOC_Os05g07040.1	Q75IR6
39947.LOC_Os07g12910.1	Q8H383
39947.LOC_Os03g60390.1	Q84TV4
39947.LOC_Os04g36730.1	Q7XUW3
39947.LOC_Os05g34640.1	Q60DW3
39947.LOC_Os01g66420.1	Q7F2Z1
39947.LOC_Os02g35600.1	Q6Z7F4
39947.LOC_Os11g14010.1	Q2R837
39947.LOC_Os07g41740.1	Q6YTY3
39947.LOC_Os05g33380.1	P17784
39947.LOC_Os04g58390.1	B9FDB8
39947.LOC_Os07g49270.1	Q84NP7
39947.LOC_Os12g24650.1	Q2QSB9
39947.LOC_Os02g55140.1	Q6K669
39947.LOC_Os04g43070.1	Q7XQ12
39947.LOC_Os02g40730.1	Q6K9G1
39947.LOC_Os02g40710.1	Q6K9G3
39947.LOC_Os05g39240.1	Q84KJ7
39947.LOC_Os01g61550.1	Q8S230
39947.LOC_Os01g61510.1	Q8S233
39947.LOC_Os01g65000.1	Q84KJ6
39947.LOC_Os03g62200.1	Q851M9
39947.LOC_Os02g34580.1	Q69T29
39947.LOC_Os03g53780.1	Q10CV4
39947.LOC_Os02g52710.1	P17654
39947.LOC_Os06g49970.2	Q0D9J1
39947.LOC_Os09g28400.1	P27932
39947.LOC_Os09g28420.1	P27937
39947.LOC_Os09g28420.1	P27939
39947.LOC_Os08g36910.1	P27933
39947.LOC_Os08g36900.1	P27934
39947.LOC_Os01g25510.1	Q0JMV4
39947.LOC_Os07g41694.1	Q6YSF3
39947.LOC_Os03g46600.1	Q7Y180
39947.LOC_Os06g05090.1	Q9SNQ2
39947.LOC_Os09g19560.1	Q0J2C6
39947.LOC_Os07g44640.1	A3BMN9
39947.LOC_Os02g04660.1	Q6YXZ7
39947.LOC_Os04g58060.1	Q7XKC0
39947.LOC_Os10g34740.1	Q75G68
39947.LOC_Os06g01640.1	Q5VS72
39947.LOC_Os01g57040.1	A9UGV5
39947.LOC_Os02g12650.1	Q6Z6L4
39947.LOC_Os08g30810.1	Q0J5V5
39947.LOC_Os09g19790.1	Q0J2B5
39947.LOC_Os07g32570.1	Q6Z4A7
39947.LOC_Os06g11740.1	Q67VZ8
39947.LOC_Os02g51850.1	Q84P95
39947.LOC_Os03g59170.1	Q84M47
39947.LOC_Os12g35640.1	Q2QP53
39947.LOC_Os03g17690.1	Q10N21
39947.LOC_Os07g49400.1	Q9FE01
39947.LOC_Os04g14680.1	Q0JEQ2
39947.LOC_Os08g43560.1	Q6ZJJ1
39947.LOC_Os12g07830.1	P0C0L0
39947.LOC_Os12g07820.1	P0C0L1
39947.LOC_Os04g35520.1	Q7XJ02
39947.LOC_Os02g34810.1	Q69SV0
39947.LOC_Os03g21120.1	Q8H7L6
39947.LOC_Os07g48430.1	Q6Z4P2
39947.LOC_Os12g02980.1	Q2QYE1
39947.LOC_Os07g04690.1	Q8H930
39947.LOC_Os04g52730.1	Q8H0B6
39947.LOC_Os08g03570.1	Q8H0B2
39947.LOC_Os01g59790.1	Q06396
39947.LOC_Os05g41060.1	P51823
39947.LOC_Os01g13520.1	Q5NB85
39947.LOC_Os01g48060.1	Q0JKI9
39947.LOC_Os01g54990.1	Q5JMM1
39947.LOC_Os01g70270.1	Q5JK20
39947.LOC_Os02g04810.1	Q6Z2W3
39947.LOC_Os02g06910.1	Q6H6V4
39947.LOC_Os02g35140.1	Q6YVY0
39947.LOC_Os02g41800.1	Q6K223
39947.LOC_Os04g36054.1	Q0JCZ4
39947.LOC_Os04g43910.1	Q7XKK6
39947.LOC_Os04g56850.1	Q8S983
39947.LOC_Os04g57610.1	Q0J951
39947.LOC_Os04g59430.1	Q7XSS9
39947.LOC_Os05g43920.1	Q0DGS1
39947.LOC_Os05g48870.1	Q8S985
39947.LOC_Os06g09660.1	A3B9A0
39947.LOC_Os06g46410.1	Q653U3
39947.LOC_Os06g47150.1	Q653H7
39947.LOC_Os06g48950.1	Q0D9R7
39947.LOC_Os07g08520.1	A3BH85
39947.LOC_Os08g40900.1	Q6YZW0
39947.LOC_Os10g33940.1	Q9AV47
39947.LOC_Os11g32110.1	Q2R3F5
39947.LOC_Os12g29520.1	Q2QQX6
39947.LOC_Os12g41950.1	Q2QM84
39947.LOC_Os03g42110.1	Q6AV34
39947.LOC_Os04g01590.1	Q7X7N2
39947.LOC_Os03g17120.1	Q10N79
39947.LOC_Os04g36670.1	Q7X6L2
39947.LOC_Os03g05820.1	Q0DV28
39947.LOC_Os06g04560.1	Q5VQ09
39947.LOC_Os03g27230.1	Q75LR2
39947.LOC_Os07g42960.1	Q75W16
39947.LOC_Os08g28190.1	Q6Z256
39947.LOC_Os02g38340.1	Q6K908
39947.LOC_Os08g04280.1	Q6ZJW9
39947.LOC_Os01g16414.1	Q5NBI2
39947.LOC_Os04g57210.1	Q7XR80
39947.LOC_Os04g09860.1	Q0JF03
39947.LOC_Os12g07280.1	Q2QX40
39947.LOC_Os03g61120.1	Q94GF1
39947.LOC_Os03g15780.1	Q9XJ29
39947.LOC_Os04g38950.1	Q7XUS2
39947.LOC_Os03g50880.1	Q764B9
39947.LOC_Os02g37080.1	Q6EUN0
39947.LOC_Os02g49590.1	Q6YWS8
39947.LOC_Os03g15750.1	Q84QC0
39947.LOC_Os03g18130.1	Q10MX3
39947.LOC_Os06g15420.1	Q43011
39947.LOC_Os11g08200.1	Q0IU52
39947.LOC_Os05g49200.1	Q42456
39947.LOC_Os05g04630.1	P42211
39947.LOC_Os06g10340.1	Q69NP0
39947.LOC_Os04g58560.1	Q7XPW8
39947.LOC_Os02g02570.1	Q6ZGL4
39947.LOC_Os07g32800.1	Q69RC4
39947.LOC_Os04g53240.1	Q7XPR1
39947.LOC_Os08g09240.1	Q6Z1D5
39947.LOC_Os11g01010.1	Q2RBS4
39947.LOC_Os02g32700.1	Q6H6P0
39947.LOC_Os03g08920.1	Q8H7N9
39947.LOC_Os04g50100.1	Q7XLY8
39947.LOC_Os06g34450.1	Q5Z5F2
39947.LOC_Osm1g00580.1	P0C520
39947.LOC_Osm1g00580.1	P0C522
39947.LOC_Osp1g00310.1	P0C2Z4
39947.LOC_Osp1g00310.1	P0C2Z6
39947.LOC_Os05g47980.1	Q01859
39947.LOC_Os10g21266.1	P0C2Z7
39947.LOC_Os10g21266.1	P12085
39947.LOC_Osp1g00400.1	P0C2Z1
39947.LOC_Osp1g00400.1	P0C2Z3
39947.LOC_Os10g38272.1	P0C2Z0
39947.LOC_Osp1g00290.1	P0C301
39947.LOC_Osp1g00280.1	P0C2Y5
39947.LOC_Osp1g00280.1	P0C2Y7
39947.LOC_Os06g50910.1	Q5Z987
39947.LOC_Os01g63250.1	Q8LQ36
39947.LOC_Os01g73790.1	Q8S9Z2
39947.LOC_Os04g39020.1	O24174
39947.LOC_Os08g32870.1	Q84LK3
39947.LOC_Os03g44810.1	Q7XZZ3
39947.LOC_Os07g47590.1	Q7XI73
39947.LOC_Os02g33450.1	Q6ER94
39947.LOC_Os04g31210.1	Q7XVB3
39947.LOC_Os01g45750.1	Q5VRB2
39947.LOC_Os02g27490.1	Q6K739
39947.LOC_Os02g32930.1	Q6ESG1
39947.LOC_Os09g34900.1	Q650U0
39947.LOC_Os01g50622.1	Q5N8J3
39947.LOC_Os08g26870.1	Q6YZM6
39947.LOC_Os10g02584.1	P0DH88
39947.LOC_Os10g02584.1	P0DH89
39947.LOC_Os10g02620.1	Q7XH85
39947.LOC_Os06g04010.1	Q5VSA8
39947.LOC_Os09g02650.1	Q6YUL8
39947.LOC_Os04g55290.1	Q94DE2
39947.LOC_Os05g37390.1	Q65WT0
39947.LOC_Os12g05410.1	P35682
39947.LOC_Os06g42310.1	Q67VU7
39947.LOC_Os08g43570.1	Q6ZJJ0
39947.LOC_Os09g36810.1	Q0IZZ8
39947.LOC_Os10g18400.1	Q7G3T8
39947.LOC_Os10g19960.1	Q7XFK2
39947.LOC_Os12g24170.1	Q0INM3
39947.LOC_Os01g34920.1	Q8RUV9
39947.LOC_Os01g39830.1	Q8W0A1
39947.LOC_Os01g65460.1	Q5N8X6
39947.LOC_Os02g12730.1	Q6Z6K4
39947.LOC_Os03g06940.1	Q10RB4
39947.LOC_Os03g15020.1	Q10NX8
39947.LOC_Os05g35360.1	Q75HQ3
39947.LOC_Os05g46200.1	Q0DGD7
39947.LOC_Os06g37560.1	Q5Z7L0
39947.LOC_Os01g32364.1	Q5QMT0
39947.LOC_Os01g59819.1	B7F8N7
39947.LOC_Os01g59840.1	Q8RZL1
39947.LOC_Os01g67220.1	Q5N863
39947.LOC_Os01g70520.1	Q5JK35
39947.LOC_Os03g11420.1	Q8L7J2
39947.LOC_Os03g49600.1	Q75I93
39947.LOC_Os03g49610.1	Q75I94
39947.LOC_Os04g39814.1	B7ECS8
39947.LOC_Os04g39880.1	Q7XKV4
39947.LOC_Os04g39900.1	Q7XKV2
39947.LOC_Os04g43360.1	Q7XPY7
39947.LOC_Os04g43380.1	Q7XPY5
39947.LOC_Os04g43390.2	Q7XSK2
39947.LOC_Os04g43400.1	Q7XSK1
39947.LOC_Os04g43410.1	Q7XSK0
39947.LOC_Os05g30250.1	Q0DIT2
39947.LOC_Os05g30280.3	B9FHH2
39947.LOC_Os05g30300.1	Q60DY1
39947.LOC_Os05g30350.1	Q60DX8
39947.LOC_Os05g30390.1	Q6L597
39947.LOC_Os06g21570.1	Q5Z9Z0
39947.LOC_Os06g46940.2	Q0DA21
39947.LOC_Os07g46280.1	A3BMZ5
39947.LOC_Os08g39860.1	Q84YK7
39947.LOC_Os08g39870.1	Q7EXZ4
39947.LOC_Os09g31430.1	Q0J0N4
39947.LOC_Os09g33680.1	B7F7K7
39947.LOC_Os09g33690.1	Q0J0G2
39947.LOC_Os09g33710.1	Q0J0G1
39947.LOC_Os10g17650.1	Q339X2
39947.LOC_Os11g08120.1	Q53NF0
39947.LOC_Os12g23170.1	Q2QSR8
39947.LOC_Os02g03280.2	Q9MBD8
39947.LOC_Os09g07300.1	B9G2A8
39947.LOC_Os08g14770.1	Q6ZKV8
39947.LOC_Os03g09220.1	Q10QL5
39947.LOC_Os09g28550.1	Q67J19
39947.LOC_Os05g15630.1	Q84UT5
39947.LOC_Os03g08480.1	Q8L4E7
39947.LOC_Os07g08200.1	Q6ZLD3
39947.LOC_Os04g46450.1	Q7XU27
39947.LOC_Os10g41590.1	Q336R3
39947.LOC_Os02g58320.1	Q84VA7
39947.LOC_Os08g36020.1	Q6YUB8
39947.LOC_Os02g47230.1	Q6ZIK7
39947.LOC_Os04g51172.1	Q7XPT0
39947.LOC_Os03g63650.1	Q84T65
39947.LOC_Os12g09080.1	Q2QWK1
39947.LOC_Os05g05240.1	Q60EX6
39947.LOC_Os12g42310.1	Q2QM47
39947.LOC_Os05g12400.1	Q6I5B3
39947.LOC_Os05g12640.1	Q6I5W0
39947.LOC_Os01g53240.1	Q942D4
39947.LOC_Os02g18690.1	Q0E1Z0
39947.LOC_Os04g14990.1	Q0JEP3
39947.LOC_Os05g12410.1	Q6I5B2
39947.LOC_Os05g12630.1	Q60E34
39947.LOC_Os05g13490.1	Q75G46
39947.LOC_Os06g13240.1	Q67VD7
39947.LOC_Os06g17000.1	Q5VN46
39947.LOC_Os08g29200.1	Q6ZA27
39947.LOC_Os08g38810.1	Q7F8U7
39947.LOC_Os09g16010.1	Q6K2M1
39947.LOC_Os09g30320.1	Q69QR8
39947.LOC_Os10g26940.1	Q7XES5
39947.LOC_Os01g11350.1	Q5QNI5
39947.LOC_Os01g55150.1	Q5JMK6
39947.LOC_Os02g14910.1	Q6K3R9
39947.LOC_Os07g39220.1	Q7XI96
39947.LOC_Os01g10610.1	Q0JPT4
39947.LOC_Os06g35900.1	Q5Z9E5
39947.LOC_Os07g48330.1	Q7XHW5
39947.LOC_Os03g21400.1	Q0DS59
39947.LOC_Os12g02630.1	B9GBJ9
39947.LOC_Os12g02640.1	Q2QYH7
39947.LOC_Os12g02630.1	B9G934
39947.LOC_Os05g40384.1	Q5KQH7
39947.LOC_Os01g53650.1	Q94JI5
39947.LOC_Os01g61830.1	Q0JHZ2
39947.LOC_Os01g68860.1	Q5JLB5
39947.LOC_Os02g06584.2	Q6H7U2
39947.LOC_Os02g10080.1	Q7F8R0
39947.LOC_Os02g19804.1	Q6K4V3
39947.LOC_Os02g35150.1	Q6YVX9
39947.LOC_Os02g45480.1	Q0DYP5
39947.LOC_Os02g55000.1	Q6K687
39947.LOC_Os02g58440.1	Q6K977
39947.LOC_Os01g07930.1	Q5VR07
39947.LOC_Os03g02160.3	Q0DVU4
39947.LOC_Os03g18950.1	Q10MN8
39947.LOC_Os03g21140.1	Q10M00
39947.LOC_Os03g21160.1	Q10LZ9
39947.LOC_Os03g49170.1	Q10EL1
39947.LOC_Os03g61110.1	Q10B98
39947.LOC_Os04g32340.1	Q0JDM0
39947.LOC_Os04g35800.1	Q0JD07
39947.LOC_Os04g41060.1	Q7XSB2
39947.LOC_Os01g09620.1	Q9FU27
39947.LOC_Os04g56750.1	Q7XM16
39947.LOC_Os04g57010.1	Q7XPK1
39947.LOC_Os04g57600.1	Q0J952
39947.LOC_Os05g03760.1	Q688R3
39947.LOC_Os05g08400.1	Q6AT25
39947.LOC_Os05g10670.1	Q6L4N4
39947.LOC_Os05g45020.1	Q65X92
39947.LOC_Os05g50080.1	Q6L5G1
39947.LOC_Os01g14870.1	Q0JP11
39947.LOC_Os06g07350.1	Q5SNN4
39947.LOC_Os06g21390.1	Q5ZA07
39947.LOC_Os06g32720.1	Q0DBW8
39947.LOC_Os06g32860.1	Q5Z5Q3
39947.LOC_Os06g41384.1	Q69XQ3
39947.LOC_Os06g46400.1	Q0DA50
39947.LOC_Os06g49080.1	Q5Z807
39947.LOC_Os07g04580.1	Q8GW05
39947.LOC_Os07g04650.1	Q8GVZ8
39947.LOC_Os07g18050.1	Q6Z358
39947.LOC_Os01g15300.1	Q1EHT7
39947.LOC_Os07g38090.1	Q84SL2
39947.LOC_Os07g48410.1	Q0D3J9
39947.LOC_Os08g03310.1	Q6ZK57
39947.LOC_Os08g04170.1	Q6YYC0
39947.LOC_Os08g06330.1	Q84UQ3
39947.LOC_Os08g38370.1	A3BUD2
39947.LOC_Os09g13530.1	Q69KP0
39947.LOC_Os09g19940.1	Q69NK8
39947.LOC_Os01g15350.1	Q5NAV3
39947.LOC_Os10g25220.1	Q338N2
39947.LOC_Os11g28270.1	Q2R4J4
39947.LOC_Os12g03554.1	A3CEM4
39947.LOC_Os12g18120.1	Q2QTY2
39947.LOC_Os12g21700.1	Q2QT65
39947.LOC_Os12g33090.1	Q2QPW2
39947.LOC_Os01g15460.1	Q5NAW2
39947.LOC_Os01g39100.1	Q657B3
39947.LOC_Os01g42970.1	Q5ZDJ6
39947.LOC_Os01g45730.1	A2ZVY5
39947.LOC_Os06g37300.1	Q0DBF4
39947.LOC_Os06g37224.1	Q5Z5S6
39947.LOC_Os06g37330.1	Q5Z5R7
39947.LOC_Os02g36150.1	A3A871
39947.LOC_Os02g36190.1	Q6YV88
39947.LOC_Os04g39430.1	Q6F4F5
39947.LOC_Os02g11020.1	Q6Z6D6
39947.LOC_Os06g39880.1	Q69XM6
39947.LOC_Os07g45290.1	Q8LIF2
39947.LOC_Os03g55800.1	Q7Y0C8
39947.LOC_Os03g12500.1	Q7XYS3
39947.LOC_Os02g12680.1	Q6Z6L1
39947.LOC_Os02g12690.1	Q6Z6K9
39947.LOC_Os02g36030.1	Q6YTF5
39947.LOC_Os02g36280.1	Q6Z5I7
39947.LOC_Os06g39780.1	Q69X58
39947.LOC_Os02g36070.1	Q6YTF1
39947.LOC_Os10g26340.1	Q7Y1V5
39947.LOC_Os03g40540.1	Q8GSQ1
39947.LOC_Os04g48170.1	Q7XU38
39947.LOC_Os01g10040.1	Q94IW5
39947.LOC_Os04g10160.1	Q7X7X4
39947.LOC_Os04g09920.1	Q0JF01
39947.LOC_Os01g51040.1	Q0JJZ6
39947.LOC_Os09g23530.1	Q6ERX1
39947.LOC_Os09g23540.1	Q6ERW9
39947.LOC_Os09g23550.1	Q6ERW7
39947.LOC_Os09g23560.1	Q6ERW5
39947.LOC_Os10g11810.1	Q8H859
39947.LOC_Os02g09490.1	Q6ZHS4
39947.LOC_Os10g29470.1	Q337Y2
39947.LOC_Os11g40690.1	Q2R114
39947.LOC_Os04g15920.1	Q7XWU3
39947.LOC_Os04g52280.1	Q0JA75
39947.LOC_Os03g12270.1	Q10PS6
39947.LOC_Os08g07790.1	Q6Z4U2
39947.LOC_Os01g31110.1	Q5VMQ5
39947.LOC_Os08g08860.1	Q0J7J7
39947.LOC_Os01g21990.1	Q657G7
39947.LOC_Os07g48780.1	Q0JNS6
39947.LOC_Os05g41210.1	Q6F332
39947.LOC_Os01g17190.1	Q0JNL7
39947.LOC_Os07g14270.1	Q9SLY8
39947.LOC_Os03g25070.1	Q10KY3
39947.LOC_Os01g07200.1	Q942N7
39947.LOC_Os11g01830.1	Q2RBJ2
39947.LOC_Os12g01830.1	Q2QYR1
39947.LOC_Os12g15314.1	Q2QUS0
39947.LOC_Os10g41780.1	Q8S7E1
39947.LOC_Os01g38970.1	B9EXM2
39947.LOC_Os07g47500.1	Q7XI75
39947.LOC_Os04g58760.1	Q7XPU9
39947.LOC_Os08g01160.1	Q6Z1Y7
39947.LOC_Os06g12500.1	Q67X40
39947.LOC_Os02g51010.1	Q6Z2U5
39947.LOC_Os04g38690.1	Q7XUV7
39947.LOC_Os02g36845.1	Q6EP58
39947.LOC_Os03g62650.1	Q75LD5
39947.LOC_Os02g04710.1	Q6Z2X6
39947.LOC_Os02g02400.1	Q0E4K1
39947.LOC_Os06g51150.1	Q0D9C4
39947.LOC_Os01g37690.1	Q769E5
39947.LOC_Os05g51610.1	Q5TKG3
39947.LOC_Os02g21009.1	Q5KTQ9
39947.LOC_Os03g27960.1	Q5KQN0
39947.LOC_Os04g55940.1	Q6K1C4
39947.LOC_Os09g17740.1	P12330
39947.LOC_Os01g41710.1	P12331
39947.LOC_Os03g39610.1	Q10HD0
39947.LOC_Os12g15470.1	P37890
39947.LOC_Os02g02320.1	P37891
39947.LOC_Os07g29620.1	P52712
39947.LOC_Os01g13260.1	Q7F830
39947.LOC_Os12g20324.1	Q0JPA4
39947.LOC_Os12g20324.1	Q0INT0
39947.LOC_Os05g14730.1	Q0DJR9
39947.LOC_Os12g31810.1	Q2QQ96
39947.LOC_Os03g41100.1	Q75I54
39947.LOC_Os12g39210.1	Q2QN26
39947.LOC_Os05g41090.1	Q6AVM3
39947.LOC_Os01g59120.1	Q0JIF2
39947.LOC_Os02g55720.1	Q0DWQ7
39947.LOC_Os01g17402.1	Q0JNK6
39947.LOC_Os05g41390.1	Q0DH40
39947.LOC_Os04g47580.1	Q7XSJ6
39947.LOC_Os06g51110.1	Q0D9C7
39947.LOC_Os09g32680.1	P93411
39947.LOC_Os08g23440.1	Q6Z0E2
39947.LOC_Os01g19850.1	Q657W3
39947.LOC_Os06g12980.1	Q67V81
39947.LOC_Os08g32540.1	Q8H339
39947.LOC_Os09g21450.1	Q0J233
39947.LOC_Os07g42860.1	Q8LHA8
39947.LOC_Os03g27420.1	Q10K98
39947.LOC_Os06g11410.1	Q69QB8
39947.LOC_Os09g02360.1	Q0J3H7
39947.LOC_Os09g29100.1	Q6YXH8
39947.LOC_Os08g37390.1	Q4KYM5
39947.LOC_Os03g42070.1	Q0DQA9
39947.LOC_Os12g39830.1	Q2QMW1
39947.LOC_Os03g10650.1	Q10QA2
39947.LOC_Os07g37010.1	Q69S43
39947.LOC_Os11g47950.1	Q53MB7
39947.LOC_Os04g46470.1	Q7XU29
39947.LOC_Os01g38580.1	Q93VD5
39947.LOC_Os01g54270.1	Q8LIY8
39947.LOC_Os11g04500.1	Q2RAR6
39947.LOC_Os12g04270.1	Q2QY07
39947.LOC_Os02g39220.1	Q6K8S5
39947.LOC_Os02g39240.1	Q6K8S1
39947.LOC_Os02g39230.1	Q6K8S3
39947.LOC_Os02g39420.1	Q6K1Z6
39947.LOC_Os02g39260.1	Q6K8S0
39947.LOC_Os03g11030.1	Q10Q63
39947.LOC_Os03g11040.1	Q10Q62
39947.LOC_Os03g52750.1	Q10D80
39947.LOC_Os03g13480.1	Q0DTM7
39947.LOC_Os01g27940.1	Q9AS36
39947.LOC_Os02g17520.1	Q6K7S7
39947.LOC_Os04g53680.1	Q0J9W0
39947.LOC_Os04g46660.1	Q7FAT5
39947.LOC_Os05g33040.1	Q75HV0
39947.LOC_Os10g41430.1	Q7XC35
39947.LOC_Os03g55970.1	Q75KA9
39947.LOC_Osp1g00900.1	P0C375
39947.LOC_Osp1g00900.1	P0C377
39947.LOC_Os03g12414.1	Q10PQ9
39947.LOC_Os04g48410.1	Q7XTY9
39947.LOC_Os02g04010.2	Q0E474
39947.LOC_Os02g24190.1	Q6Z7H3
39947.LOC_Os11g05850.2	Q2RAC5
39947.LOC_Os12g30020.1	Q2QQS5
39947.LOC_Os03g02680.1	P29618
39947.LOC_Os02g03060.1	P29619
39947.LOC_Os05g32360.1	Q6I5Y0
39947.LOC_Os01g72790.1	Q5JK68
39947.LOC_Os08g35220.1	Q6ZAG3
39947.LOC_Os05g32600.1	P29620
39947.LOC_Os10g42950.1	Q336M2
39947.LOC_Os06g22820.1	Q5Z754
39947.LOC_Os12g23700.1	Q2QSL4
39947.LOC_Os03g63020.1	Q84SN3
39947.LOC_Os02g47220.1	Q6Z8C8
39947.LOC_Os02g39010.1	Q6K5F8
39947.LOC_Os04g41100.1	Q7XUF4
39947.LOC_Os10g39420.1	P53682
39947.LOC_Os07g33110.1	P53683
39947.LOC_Os03g03660.1	P53684
39947.LOC_Os07g29410.1	Q84NN4
39947.LOC_Os03g04110.1	Q8H8C7
39947.LOC_Osp1g00470.1	P0C302
39947.LOC_Osp1g00470.1	P12212
39947.LOC_Os09g33630.1	D7UPN3
39947.LOC_Os02g43906.1	C0LT23
39947.LOC_Os05g08370.1	Q6AT26
39947.LOC_Os03g59340.1	Q84M43
39947.LOC_Os07g24190.1	Q69V23
