44689.DDB0232938	P54632
44689.DDB0230168	Q54XS2
44689.DDB0234154	Q54GQ6
44689.DDB0238774	Q54E22
44689.DDB0231684	Q54Z60
44689.DDB0231689	Q554Z5
44689.DDB0220457	Q54GX7
44689.DDB0185125	Q554S6
44689.DDB0220459	P07828
44689.DDB0220456	P07830
44689.DDB0220460	Q553U6
44689.DDB0220461	Q55EU6
44689.DDB0220462	Q54HF1
44689.DDB0220463	Q54HF0
44689.DDB0220464	Q55CU2
44689.DDB0229353	Q54HE9
44689.DDB0229354	Q54HE7
44689.DDB0229355	Q54L54
44689.DDB0220458	P07829
44689.DDB0214810	P24005
44689.DDB0191133	P05095
44689.DDB0191136	O76329
44689.DDB0231649	Q55DU3
44689.DDB0231663	Q55DU1
44689.DDB0220489	Q54I79
44689.DDB0266648	Q55DP8
44689.DDB0191146	O96759
44689.DDB0230177	Q54XP3
44689.DDB0230171	Q54KF3
44689.DDB0233899	Q54CH1
44689.DDB0267091	Q86KB1
44689.DDB0267092	Q55CH0
44689.DDB0267090	Q54LD5
44689.DDB0267093	Q55GN8
44689.DDB0267094	Q54HT7
44689.DDB0238276	Q54TC2
44689.DDB0230174	Q54MB5
44689.DDB0238204	Q556N5
44689.DDB0234047	Q54KG7
44689.DDB0238599	Q54H71
44689.DDB0201558	O97470
44689.DDB0217434	Q556I2
44689.DDB0233870	Q55B10
44689.DDB0231341	Q54RP0
44689.DDB0266643	Q55DB6
44689.DDB0266658	Q54NS9
44689.DDB0266656	Q54NS8
44689.DDB0191137	Q9GRX6
44689.DDB0214916	P54686
44689.DDB0220120	Q54DK4
44689.DDB0229934	Q54RA2
44689.DDB0231504	P83401
44689.DDB0232139	Q54MJ7
44689.DDB0185188	Q54DG1
44689.DDB0231387	Q86A67
44689.DDB0231366	Q54DM9
44689.DDB0191150	P90522
44689.DDB0231364	Q7KWM5
44689.DDB0231368	Q55F69
44689.DDB0191396	Q54J42
44689.DDB0231451	Q54QG6
44689.DDB0231452	Q554E2
44689.DDB0185177	Q8T7K0
44689.DDB0234218	Q54N08
44689.DDB0231471	Q54VL5
44689.DDB0231352	Q54SV3
44689.DDB0231351	Q55C91
44689.DDB0215363	Q6IMN8
44689.DDB0231282	Q54NZ7
44689.DDB0231284	Q55FL3
44689.DDB0191089	Q54DD0
44689.DDB0215396	Q54YF2
44689.DDB0231024	Q5V9F0
44689.DDB0185017	Q9BLG4
44689.DDB0214902	Q9BLG3
44689.DDB0191130	Q8MXY0
44689.DDB0235399	Q54EF2
44689.DDB0235402	Q54HI0
44689.DDB0235403	Q54KI3
44689.DDB0266679	Q54KH3
44689.DDB0232009	P24639
44689.DDB0231707	Q54IT3
44689.DDB0266407	Q556K3
44689.DDB0266408	Q556K4
44689.DDB0234067	Q54X82
44689.DDB0214928	Q8I8U2
44689.DDB0191102	Q54HS9
44689.DDB0232337	Q54WW3
44689.DDB0252557	B0G185
44689.DDB0234235	Q86KI1
44689.DDB0191267	P54672
44689.DDB0234236	Q54H39
44689.DDB0238781	Q556J8
44689.DDB0234240	Q54WN0
44689.DDB0214930	Q9GPF1
44689.DDB0234244	Q553S2
44689.DDB0234245	Q54R84
44689.DDB0237723	Q54VE0
44689.DDB0219948	Q9GPF0
44689.DDB0232330	Q54NZ4
44689.DDB0235160	Q55ER5
44689.DDB0231277	Q54L48
44689.DDB0234263	Q54NC6
44689.DDB0234264	Q551S9
44689.DDB0266416	Q54J83
44689.DDB0234268	Q54NI1
44689.DDB0234269	Q54VV5
44689.DDB0235159	Q54D58
44689.DDB0185018	P51173
44689.DDB0266683	Q55FS3
44689.DDB0191665	Q54CL0
44689.DDB0231036	Q5XM24
44689.DDB0234150	Q54T49
44689.DDB0233905	Q55FK4
44689.DDB0230173	Q55C82
44689.DDB0191271	Q9U8P7
44689.DDB0205768	Q54WT8
44689.DDB0214915	Q54V53
44689.DDB0305182	Q54BU9
44689.DDB0185212	P36416
44689.DDB0191101	O00909
44689.DDB0229377	Q54I24
44689.DDB0229379	Q54HK2
44689.DDB0229367	Q54JJ3
44689.DDB0229372	Q54V47
44689.DDB0229373	Q54V41
44689.DDB0230047	Q54YV7
44689.DDB0231462	Q54M18
44689.DDB0231481	Q55DT8
44689.DDB0191165	P54638
44689.DDB0231449	Q54DY1
44689.DDB0229363	Q54HC6
44689.DDB0229375	Q54UF1
44689.DDB0229431	Q55AD9
44689.DDB0229376	Q54R04
44689.DDB0233231	Q1ZXA5
44689.DDB0233828	Q54JY2
44689.DDB0185179	O96621
44689.DDB0219936	P42528
44689.DDB0234009	Q54E71
44689.DDB0234010	Q54KZ7
44689.DDB0234011	Q54JV5
44689.DDB0214932	O96622
44689.DDB0214935	O96623
44689.DDB0201632	O96624
44689.DDB0191121	O96625
44689.DDB0191138	O96626
44689.DDB0305174	Q54F87
44689.DDB0191323	Q54GU0
44689.DDB0305173	Q54GD9
44689.DDB0267112	Q54IU9
44689.DDB0267113	Q54IU8
44689.DDB0267114	Q54IU7
44689.DDB0304690	Q54VC4
44689.DDB0266681	Q54N45
44689.DDB0230992	Q54WW4
44689.DDB0215362	Q8T662
44689.DDB0230140	Q54MB4
44689.DDB0305010	Q86H65
44689.DDB0214945	P54678
44689.DDB0238346	Q55EI0
44689.DDB0252608	Q55EL2
44689.DDB0191412	Q86CR6
44689.DDB0237867	B0G140
44689.DDB0235215	Q54NA2
44689.DDB0185178	Q86CS2
44689.DDB0252605	Q550A8
44689.DDB0304861	Q557H7
44689.DDB0191390	Q54GT9
44689.DDB0214819	Q86CR9
44689.DDB0238851	Q54G11
44689.DDB0191413	Q86CR8
44689.DDB0191423	Q54NA3
44689.DDB0266682	Q54KX5
44689.DDB0266724	Q54PZ2
44689.DDB0201962	Q55CA5
44689.DDB0233319	Q75JK6
44689.DDB0233951	Q55CS9
44689.DDB0238330	Q55F42
44689.DDB0237782	Q54DF1
44689.DDB0266798	Q54RA8
44689.DDB0229332	Q54ER4
44689.DDB0230996	Q54K95
44689.DDB0237976	Q55EI6
44689.DDB0237977	Q55DE7
44689.DDB0233850	Q54HG7
44689.DDB0216254	Q54WX4
44689.DDB0233391	Q54BM5
44689.DDB0230183	Q54N47
44689.DDB0266725	Q54HY8
44689.DDB0266726	Q54DY9
44689.DDB0191425	Q55CC5
44689.DDB0220127	Q54JI9
44689.DDB0204031	Q54UE3
44689.DDB0266380	Q54GE1
44689.DDB0266381	Q54MV6
44689.DDB0305147	Q54K40
44689.DDB0266530	Q556U6
44689.DDB0233663	Q8T869
44689.DDB0231752	Q54VX7
44689.DDB0302513	Q54Y67
44689.DDB0204251	Q54TC6
44689.DDB0168304	Q7KWX1
44689.DDB0238809	Q54VJ1
44689.DDB0204835	Q54SB6
44689.DDB0204836	Q54SB5
44689.DDB0237686	Q54TD8
44689.DDB0266708	Q869K3
44689.DDB0237665	Q86KL1
44689.DDB0231424	Q54X65
44689.DDB0238376	Q54JN0
44689.DDB0266860	Q54NU5
44689.DDB0231500	Q54CV5
44689.DDB0232237	Q55EP9
44689.DDB0233126	Q54DM1
44689.DDB0216402	Q54W07
44689.DDB0185221	Q964D8
44689.DDB0266395	Q54IS0
44689.DDB0220096	Q54WU0
44689.DDB0220090	Q54Y73
44689.DDB0220089	Q55E93
44689.DDB0220091	Q54WN7
44689.DDB0216335	Q54RZ9
44689.DDB0220095	Q86AF3
44689.DDB0216260	Q54GG8
44689.DDB0220002	Q554P0
44689.DDB0220094	Q54T16
44689.DDB0216259	Q54Q90
44689.DDB0220093	Q54T17
44689.DDB0220085	Q54LU5
44689.DDB0216391	Q54GH0
44689.DDB0220088	Q54G94
44689.DDB0220086	Q54IJ9
44689.DDB0220092	Q54GH2
44689.DDB0220087	Q54GG9
44689.DDB0238836	Q556M5
44689.DDB0238837	Q556M4
44689.DDB0238838	Q1ZXL7
44689.DDB0232355	Q1ZXF5
44689.DDB0232408	Q54SK0
44689.DDB0232965	Q54CS3
44689.DDB0232976	Q1ZXA4
44689.DDB0232336	Q1ZXG6
44689.DDB0232338	Q55BU9
44689.DDB0232339	Q54KV0
44689.DDB0232340	Q54F47
44689.DDB0232341	Q54WB9
44689.DDB0232342	Q54SN0
44689.DDB0232343	Q1ZXI7
44689.DDB0232982	Q54FM9
44689.DDB0232984	Q1ZXC4
44689.DDB0232979	Q54FP9
44689.DDB0232986	Q86A22
44689.DDB0232395	Q54SV9
44689.DDB0232988	Q54DT2
44689.DDB0232991	Q55AJ4
44689.DDB0232394	Q54QD2
44689.DDB0232998	Q1ZXF3
44689.DDB0233016	Q54QD0
44689.DDB0233017	Q54ZM4
44689.DDB0233018	Q1ZXL2
44689.DDB0233019	Q554S4
44689.DDB0233020	Q54Q53
44689.DDB0233022	Q1ZXN4
44689.DDB0233025	Q54EM5
44689.DDB0233026	Q54LT7
44689.DDB0233029	Q54D38
44689.DDB0252692	Q54E98
44689.DDB0233030	Q1ZXA1
44689.DDB0233031	Q1ZXG3
44689.DDB0233032	Q55EK2
44689.DDB0233046	Q7KWN2
44689.DDB0233047	Q54NY3
44689.DDB0233048	Q54LA8
44689.DDB0233049	Q54PT3
44689.DDB0231385	Q8T2T5
44689.DDB0191175	P54657
44689.DDB0191303	O97113
44689.DDB0304515	Q54MP0
44689.DDB0304699	Q54NS1
44689.DDB0214954	P54670
44689.DDB0191193	O00897
44689.DDB0214955	P02599
44689.DDB0191384	Q23858
44689.DDB0229910	Q86IC9
44689.DDB0229909	Q86IC8
44689.DDB0266729	Q55AS5
44689.DDB0191204	Q55G87
44689.DDB0235276	Q54MF3
44689.DDB0234116	Q86KD1
44689.DDB0266498	P19198
44689.DDB0185023	P34122
44689.DDB0266712	Q55AQ3
44689.DDB0266710	Q54XM0
44689.DDB0191335	Q550W1
44689.DDB0266713	Q8T2Q6
44689.DDB0191243	P13022
44689.DDB0191202	P13021
44689.DDB0191139	P54654
44689.DDB0238333	P13773
44689.DDB0191393	P34907
44689.DDB0216181	P35352
44689.DDB0216256	Q9TX43
44689.DDB0185176	Q95VZ3
44689.DDB0191311	Q55D85
44689.DDB0185123	O77229
44689.DDB0191496	Q55DH8
44689.DDB0215012	O76856
44689.DDB0238373	Q557E7
44689.DDB0191196	P54653
44689.DDB0219925	Q54RF4
44689.DDB0191416	Q9GYD9
44689.DDB0185026	P42529
44689.DDB0231553	Q54QX0
44689.DDB0191405	Q54QT7
44689.DDB0185183	Q869S9
44689.DDB0235288	Q54QU0
44689.DDB0191383	Q54QT9
44689.DDB0191382	Q54QT8
44689.DDB0191153	Q966Q9
44689.DDB0185027	Q966R0
44689.DDB0231009	Q55C62
44689.DDB0237509	Q86IV8
44689.DDB0237507	Q86IV7
44689.DDB0231012	Q6DN52
44689.DDB0231014	Q54LX0
44689.DDB0214957	P35085
44689.DDB0305000	Q55DL1
44689.DDB0233064	Q55FR8
44689.DDB0191292	P46794
44689.DDB0305172	Q54GW3
44689.DDB0305013	Q54TR4
44689.DDB0186696	Q54MP2
44689.DDB0304990	Q55D55
44689.DDB0305277	Q55GU2
44689.DDB0189669	Q55FU3
44689.DDB0184520	Q54CV3
44689.DDB0233745	Q54WR5
44689.DDB0266707	Q552W5
44689.DDB0185035	P42524
44689.DDB0231775	Q86KE7
44689.DDB0231776	Q55F19
44689.DDB0238038	Q54F73
44689.DDB0305148	Q54IQ5
44689.DDB0266706	Q75JF9
44689.DDB0232238	Q1ZXE6
44689.DDB0237885	Q54MZ3
44689.DDB0266418	Q86B11
44689.DDB0266411	Q54C30
44689.DDB0237549	Q55GA4
44689.DDB0220620	Q54WZ0
44689.DDB0231210	Q54DK3
44689.DDB0230205	Q54I82
44689.DDB0266709	Q54KM3
44689.DDB0302421	Q54HX8
44689.DDB0229427	Q55GS4
44689.DDB0216376	Q54RB2
44689.DDB0185028	P34112
44689.DDB0191155	P34117
44689.DDB0191429	P54685
44689.DDB0191261	Q95YH0
44689.DDB0233125	Q55D90
44689.DDB0230172	Q553U5
44689.DDB0219932	Q54IY3
44689.DDB0220501	Q54X77
44689.DDB0191161	Q86HE5
44689.DDB0266487	Q556R7
44689.DDB0229833	Q54PR9
44689.DDB0229834	Q54Z64
44689.DDB0231572	Q1ZXJ7
44689.DDB0229856	Q86HB8
44689.DDB0229857	Q54TR1
44689.DDB0191318	Q55DV9
44689.DDB0231250	Q54J68
44689.DDB0219929	Q54J97
44689.DDB0266404	Q54G42
44689.DDB0191317	O96552
44689.DDB0234036	Q54P63
44689.DDB0231531	Q86H98
44689.DDB0234057	Q54JK4
44689.DDB0234035	Q54KZ4
44689.DDB0266400	Q86K93
44689.DDB0266672	Q55DA2
44689.DDB0191118	P14606
44689.DDB0191307	Q94481
44689.DDB0214944	Q86AV6
44689.DDB0220638	Q553V1
44689.DDB0191110	Q8MQU6
44689.DDB0216346	Q54PF1
44689.DDB0266584	Q54KV4
44689.DDB0235212	B0G102
44689.DDB0234043	Q54GS1
44689.DDB0215359	Q54AX6
44689.DDB0233305	Q86AZ6
44689.DDB0233304	Q75JF3
44689.DDB0233313	Q1ZXJ0
44689.DDB0233306	Q54LQ4
44689.DDB0233307	Q54C67
44689.DDB0191305	Q8MN58
44689.DDB0185029	P25870
44689.DDB0230105	Q54UA9
44689.DDB0233983	Q54F25
44689.DDB0168413	Q86JG6
44689.DDB0206016	Q54WC3
44689.DDB0191840	Q54C37
44689.DDB0234077	Q553W9
44689.DDB0235305	Q54N48
44689.DDB0215379	O15818
44689.DDB0234032	Q54GK9
44689.DDB0234176	Q54DB1
44689.DDB0201645	Q54JC0
44689.DDB0266728	Q54MZ9
44689.DDB0234089	Q54RB9
44689.DDB0191095	Q9U641
44689.DDB0191097	P34090
44689.DDB0231095	Q54JH6
44689.DDB0232148	Q1ZXI2
44689.DDB0229859	Q54RJ1
44689.DDB0229881	Q54JL7
44689.DDB0215369	P34121
44689.DDB0231515	Q54Y51
44689.DDB0238697	Q966T6
44689.DDB0238845	Q556H5
44689.DDB0232097	Q54R65
44689.DDB0232100	Q86IX3
44689.DDB0214987	P0DJ26
44689.DDB0214987	P0DJ27
44689.DDB0237853	Q54ZB3
44689.DDB0237852	Q54UC2
44689.DDB0237869	Q54TT4
44689.DDB0237854	Q55FT5
44689.DDB0237951	Q54HE0
44689.DDB0237952	Q54CT0
44689.DDB0237953	Q54LC8
44689.DDB0216803	Q55BB8
44689.DDB0235178	Q54CU4
44689.DDB0237871	Q8T2A1
44689.DDB0237870	Q54TT6
44689.DDB0237872	Q54NU3
44689.DDB0214840	Q55AP8
44689.DDB0266452	Q54DR0
44689.DDB0266453	Q54P14
44689.DDB0234048	Q54QK4
44689.DDB0266455	Q550I8
44689.DDB0266456	Q86IW8
44689.DDB0266457	Q54MA5
44689.DDB0266458	Q86I14
44689.DDB0266460	Q54CU8
44689.DDB0266461	Q554G3
44689.DDB0304435	Q557B8
44689.DDB0219923	Q03380
44689.DDB0233797	Q55FR9
44689.DDB0233798	Q54YD8
44689.DDB0191250	Q23924
44689.DDB0305305	Q55EZ6
44689.DDB0233799	Q55FU2
44689.DDB0233801	Q54HL0
44689.DDB0233825	Q54HD4
44689.DDB0305237	Q54CA7
44689.DDB0266671	Q556V1
44689.DDB0231591	Q54U71
44689.DDB0231592	Q54XD0
44689.DDB0231593	Q54CZ2
44689.DDB0231541	Q54VN2
44689.DDB0231594	Q54EN1
44689.DDB0266669	Q54VB3
44689.DDB0266667	Q86HS0
44689.DDB0191115	P27133
44689.DDB0232260	Q55E54
44689.DDB0202716	Q558Y7
44689.DDB0231473	Q54JB3
44689.DDB0252815	Q54HM6
44689.DDB0305161	Q54ID0
44689.DDB0305164	Q54IA0
44689.DDB0214995	P30815
44689.DDB0191104	P29505
44689.DDB0186146	Q54P95
44689.DDB0215013	P26310
44689.DDB0216179	P20609
44689.DDB0216180	P20610
44689.DDB0232962	Q1ZXH9
44689.DDB0229980	Q75J93
44689.DDB0231848	Q54BW4
44689.DDB0191171	Q8MUF9
44689.DDB0215368	Q7YXU4
44689.DDB0238176	Q86K21
44689.DDB0216239	Q54P51
44689.DDB0216244	Q55GG1
44689.DDB0216242	Q54FY7
44689.DDB0233133	Q1ZXB3
44689.DDB0233700	Q55BS1
44689.DDB0233696	Q86A79
44689.DDB0233564	Q55E68
44689.DDB0266715	Q869Q8
44689.DDB0191434	P35401
44689.DDB0215007	Q54U75
44689.DDB0191394	Q6UUW5
44689.DDB0191432	Q6UUW6
44689.DDB0231823	Q54QV5
44689.DDB0230116	Q54LY7
44689.DDB0231827	Q54GG1
44689.DDB0231310	Q54WN6
44689.DDB0233480	Q54XP4
44689.DDB0216392	Q54YU6
44689.DDB0168543	Q869N6
44689.DDB0185065	Q9GSB0
44689.DDB0232251	Q550A6
44689.DDB0232252	Q55C66
44689.DDB0191254	P21837
44689.DDB0191156	P08796
44689.DDB0185034	P16642
44689.DDB0185093	P16643
44689.DDB0220655	Q558X5
44689.DDB0202865	Q55BG7
44689.DDB0202862	Q55BG3
44689.DDB0202768	Q55B72
44689.DDB0202747	Q55B51
44689.DDB0217394	Q556L8
44689.DDB0219674	Q54EJ7
44689.DDB0185025	Q02720
44689.DDB0233099	Q54QX3
44689.DDB0233100	Q54HL6
44689.DDB0233101	Q54E53
44689.DDB0233102	Q54B82
44689.DDB0233103	Q54PF3
44689.DDB0233105	Q54C92
44689.DDB0233106	Q55BD5
44689.DDB0233107	Q75K24
44689.DDB0229894	Q9XYL0
44689.DDB0266389	Q54I48
44689.DDB0188069	Q54IJ2
44689.DDB0167700	Q869R1
44689.DDB0190711	Q55CN8
44689.DDB0185089	Q86IV5
44689.DDB0214993	Q8WSR7
44689.DDB0220699	Q86HV8
44689.DDB0305009	Q554K2
44689.DDB0237502	Q54WT7
44689.DDB0233997	Q54QD9
44689.DDB0238050	Q54GB2
44689.DDB0191478	Q94480
44689.DDB0302516	Q55EX7
44689.DDB0191103	Q54HG2
44689.DDB0185031	Q550R2
44689.DDB0191385	O00841
44689.DDB0185191	O60999
44689.DDB0191260	Q9XZJ3
44689.DDB0266742	Q54NZ5
44689.DDB0266743	Q54CS2
44689.DDB0266744	Q54XF7
44689.DDB0191523	Q55FW5
44689.DDB0191376	Q7Z203
44689.DDB0191377	Q7Z202
44689.DDB0266357	Q54BF5
44689.DDB0191378	Q7Z1I0
44689.DDB0191379	Q7Z1Z9
44689.DDB0266360	Q54FW5
44689.DDB0266361	Q75JP7
44689.DDB0266362	Q54Z20
44689.DDB0266769	Q54K76
44689.DDB0267176	Q54PH5
44689.DDB0238603	Q54D07
44689.DDB0191314	Q867X6
44689.DDB0214814	Q03100
44689.DDB0191294	Q55F68
44689.DDB0185013	Q03101
44689.DDB0191270	O77033
44689.DDB0216257	Q869N1
44689.DDB0191208	Q9NI62
44689.DDB0230066	Q54CN7
44689.DDB0201647	P04988
44689.DDB0214998	P04989
44689.DDB0220784	Q23894
44689.DDB0214999	P54639
44689.DDB0185092	P54640
44689.DDB0215002	Q94503
44689.DDB0215005	Q94504
44689.DDB0220657	Q65YR8
44689.DDB0220658	Q65YR7
44689.DDB0252666	Q5R1U3
44689.DDB0191462	Q54Q40
44689.DDB0232939	Q1ZXG8
44689.DDB0191143	Q54LR0
44689.DDB0185088	P05817
44689.DDB0220022	P18142
44689.DDB0191433	P54682
44689.DDB0233175	Q54FB6
44689.DDB0232027	Q54YL2
44689.DDB0191300	O76187
44689.DDB0302489	Q557J6
44689.DDB0233302	Q54CI8
44689.DDB0168265	Q7KWL3
44689.DDB0267164	Q552R1
44689.DDB0237590	Q8T1E3
44689.DDB0216809	Q55BA5
44689.DDB0232076	Q55BZ5
44689.DDB0232077	Q54CS6
44689.DDB0191395	Q6TMJ1
44689.DDB0232053	Q55DQ0
44689.DDB0188688	Q54GP1
44689.DDB0237755	Q54UF3
44689.DDB0232254	Q86KS1
44689.DDB0191159	Q9U720
44689.DDB0220488	Q54N50
44689.DDB0231396	Q54XU5
44689.DDB0233815	Q54FM4
44689.DDB0231418	Q54DF9
44689.DDB0233528	Q550F6
44689.DDB0191438	Q02465
44689.DDB0231683	Q58A42
44689.DDB0191144	B0M0P5
44689.DDB0266774	Q54JB0
44689.DDB0190724	Q55CM7
44689.DDB0202794	Q55B97
44689.DDB0234197	Q54Q94
44689.DDB0233431	Q54CE0
44689.DDB0234194	Q54S03
44689.DDB0215338	Q54TF8
44689.DDB0233650	Q55CP6
44689.DDB0266359	Q54ZI9
44689.DDB0219950	Q54Y81
44689.DDB0234200	Q54TD7
44689.DDB0234201	Q54TJ4
44689.DDB0234202	Q869P0
44689.DDB0233447	Q54QS3
44689.DDB0233452	Q54KG1
44689.DDB0233432	Q54IV3
44689.DDB0191329	Q553B1
44689.DDB0234204	Q54VT4
44689.DDB0234206	Q55BR9
44689.DDB0234210	Q54BD6
44689.DDB0234211	Q86IZ9
44689.DDB0215372	Q54CD8
44689.DDB0234215	Q54EC2
44689.DDB0234216	Q54VF1
44689.DDB0266367	Q54CD6
44689.DDB0234196	Q54E49
44689.DDB0266779	Q54WG0
44689.DDB0266772	Q54IC9
44689.DDB0266773	Q54NN1
44689.DDB0216198	P11467
44689.DDB0304727	Q55BH9
44689.DDB0233097	Q54GC1
44689.DDB0185037	P34125
44689.DDB0233982	Q54UT2
44689.DDB0266459	Q55EE0
44689.DDB0231438	Q54KB7
44689.DDB0215354	Q54U87
44689.DDB0215358	Q54YH4
44689.DDB0185038	Q95PI2
44689.DDB0215384	Q54SP4
44689.DDB0191265	Q55E44
44689.DDB0185098	Q551X9
44689.DDB0191388	Q54Q69
44689.DDB0219944	Q54W36
44689.DDB0231984	Q86AT9
44689.DDB0215385	Q54YZ9
44689.DDB0214934	Q86CZ2
44689.DDB0191389	Q54RP6
44689.DDB0220020	Q54SK5
44689.DDB0237752	Q86A17
44689.DDB0302650	Q8T197
44689.DDB0230197	Q54VG0
44689.DDB0233403	Q54NJ4
44689.DDB0233398	Q54MH3
44689.DDB0233399	Q54F05
44689.DDB0266388	Q54MQ7
44689.DDB0191142	Q54N81
44689.DDB0185193	O96042
44689.DDB0238380	Q7KWW8
44689.DDB0238379	Q8T293
44689.DDB0191200	Q55GS3
44689.DDB0266789	Q54QK7
44689.DDB0216189	Q54XG7
44689.DDB0220084	Q54ER9
44689.DDB0266623	P02886
44689.DDB0266624	P02887
44689.DDB0266625	P02888
44689.DDB0215382	P42530
44689.DDB0267060	Q54MG7
44689.DDB0233790	Q54PV9
44689.DDB0233679	Q54T81
44689.DDB0216232	Q54EW8
44689.DDB0233887	Q55F94
44689.DDB0302371	Q54MH8
44689.DDB0302372	Q55AX0
44689.DDB0219945	Q8T638
44689.DDB0233607	Q54ED3
44689.DDB0233602	Q54M21
44689.DDB0233605	Q54IP0
44689.DDB0232265	Q869E1
44689.DDB0232266	Q54QM4
44689.DDB0232255	Q54CR9
44689.DDB0266791	Q54M70
44689.DDB0266327	Q556G4
44689.DDB0185194	Q869S5
44689.DDB0266806	Q86IX2
44689.DDB0233511	Q55AX2
44689.DDB0191431	Q04503
44689.DDB0238860	Q54PW5
44689.DDB0238859	B0G132
44689.DDB0238861	Q54CI5
44689.DDB0238863	Q75JG8
44689.DDB0267165	Q55C80
44689.DDB0231708	Q54LP3
44689.DDB0266959	Q556K9
44689.DDB0266960	Q76NT6
44689.DDB0238884	Q55F34
44689.DDB0304676	Q54S08
44689.DDB0232268	Q54N97
44689.DDB0216320	Q54RD4
44689.DDB0216321	Q54Y85
44689.DDB0216318	Q75JQ9
44689.DDB0232274	Q54SV8
44689.DDB0266802	Q557H1
44689.DDB0231590	Q54VJ9
44689.DDB0231100	Q55FT1
44689.DDB0191172	Q55DL0
44689.DDB0216275	O15692
44689.DDB0188361	Q54HP3
44689.DDB0205772	Q54WT4
44689.DDB0230060	Q54H46
44689.DDB0229954	Q54H45
44689.DDB0229964	Q54TA1
44689.DDB0214883	Q54TM7
44689.DDB0267115	Q54DI8
44689.DDB0216377	Q86IX1
44689.DDB0216378	Q55GC2
44689.DDB0216379	Q54EY4
44689.DDB0216374	Q54JG7
44689.DDB0266900	Q54EY1
44689.DDB0191273	O96668
44689.DDB0252867	Q54J86
44689.DDB0252868	Q54CQ0
44689.DDB0252869	Q54CP9
44689.DDB0252870	Q54CP8
44689.DDB0252838	Q54CP7
44689.DDB0238072	Q54CU9
44689.DDB0238562	Q54R42
44689.DDB0202886	Q55BI8
44689.DDB0238872	Q54T76
44689.DDB0238328	Q556Y8
44689.DDB0230111	Q54BW5
