9615.ENSCAFP00000014770	Q5IFP1
9615.ENSCAFP00000022476	P06583
9615.ENSCAFP00000025477	O46674
9615.ENSCAFP00000041904	Q9TT99
9615.ENSCAFP00000040362	P50996
9615.ENSCAFP00000009569	P33704
9615.ENSCAFP00000030314	Q9ZZ62
9615.ENSCAFP00000030314	Q1HKB1
9615.ENSCAFP00000030313	Q9ZZ63
9615.ENSCAFP00000030313	Q3L6Z3
9615.ENSCAFP00000016862	Q45T69
9615.ENSCAFP00000003803	Q5CAZ6
9615.ENSCAFP00000037824	Q5TJE8
9615.ENSCAFP00000014984	Q7YRB4
9615.ENSCAFP00000006929	Q9TRY9
9615.ENSCAFP00000014967	O18835
9615.ENSCAFP00000022282	A1E2V0
9615.ENSCAFP00000007914	Q8I009
9615.ENSCAFP00000039552	Q9BDQ5
9615.ENSCAFP00000041323	P34819
9615.ENSCAFP00000001157	Q9GL27
9615.ENSCAFP00000021534	Q95153
9615.ENSCAFP00000001265	Q5TJG6
9615.ENSCAFP00000020581	Q2VLG6
9615.ENSCAFP00000039091	P30992
9615.ENSCAFP00000030108	F1PAA9
9615.ENSCAFP00000029168	Q865C0
9615.ENSCAFP00000012567	P41547
9615.ENSCAFP00000042695	P24643
9615.ENSCAFP00000021900	Q9MZV7
9615.ENSCAFP00000038581	Q8MKI5
9615.ENSCAFP00000038116	Q075B4
9615.ENSCAFP00000014348	P12637
9615.ENSCAFP00000010324	O97492
9615.ENSCAFP00000037626	O97578
9615.ENSCAFP00000014791	Q4LAL9
9615.ENSCAFP00000017808	Q3ZKN1
9615.ENSCAFP00000040898	Q9GL24
9615.ENSCAFP00000017782	Q8HY81
9615.ENSCAFP00000005060	P33724
9615.ENSCAFP00000005057	O46550
9615.ENSCAFP00000027658	P10463
9615.ENSCAFP00000005070	A0M8V0
9615.ENSCAFP00000012089	P55261
9615.ENSCAFP00000016966	E2R1I5
9615.ENSCAFP00000036103	Q5D0K2
9615.ENSCAFP00000007846	Q9TS44
9615.ENSCAFP00000012872	Q95N01
9615.ENSCAFP00000019742	Q68Y86
9615.ENSCAFP00000027121	Q68A93
9615.ENSCAFP00000040578	Q64H35
9615.ENSCAFP00000031374	Q68A91
9615.ENSCAFP00000027107	P52203
9615.ENSCAFP00000026832	Q68A92
9615.ENSCAFP00000026825	Q68AZ0
9615.ENSCAFP00000026835	Q8HYS0
9615.ENSCAFP00000027105	Q68AY9
9615.ENSCAFP00000023556	Q659K0
9615.ENSCAFP00000015750	Q64HP0
9615.ENSCAFP00000020344	Q64H34
9615.ENSCAFP00000006935	Q8MJW8
9615.ENSCAFP00000020323	Q5ECR9
9615.ENSCAFP00000014280	O46634
9615.ENSCAFP00000035044	Q3C2E2
9615.ENSCAFP00000017250	Q28270
9615.ENSCAFP00000018835	P27597
9615.ENSCAFP00000027967	O97626
9615.ENSCAFP00000010256	Q28284
9615.ENSCAFP00000018435	Q28896
9615.ENSCAFP00000007407	P0CAN6
9615.ENSCAFP00000011083	P33706
9615.ENSCAFP00000021683	P60952
9615.ENSCAFP00000019502	Q6SLL5
9615.ENSCAFP00000011502	Q867B0
9615.ENSCAFP00000005112	Q5U820
9615.ENSCAFP00000021376	P32750
9615.ENSCAFP00000018714	A7YH32
9615.ENSCAFP00000018866	Q9MZT1
9615.ENSCAFP00000036941	Q95KM6
9615.ENSCAFP00000018448	Q95KM5
9615.ENSCAFP00000033194	E2RA18
9615.ENSCAFP00000025242	Q29611
9615.ENSCAFP00000007554	Q5JZQ9
9615.ENSCAFP00000025751	Q5JZQ8
9615.ENSCAFP00000024048	Q5JZQ7
9615.ENSCAFP00000027095	Q95KN1
9615.ENSCAFP00000012350	P25473
9615.ENSCAFP00000018316	P21842
9615.ENSCAFP00000035274	Q28279
9615.ENSCAFP00000036190	Q8MJD7
9615.ENSCAFP00000008629	P54827
9615.ENSCAFP00000002838	Q71DR4
9615.ENSCAFP00000006992	Q0V8T0
9615.ENSCAFP00000025056	Q9XSJ7
9615.ENSCAFP00000029400	O46392
9615.ENSCAFP00000026629	Q28247
9615.ENSCAFP00000037321	Q9N281
9615.ENSCAFP00000001934	P19090
9615.ENSCAFP00000004595	Q8WMD0
9615.ENSCAFP00000016247	Q6J3Q7
9615.ENSCAFP00000030311	Q9ZZ64
9615.ENSCAFP00000030311	Q1HKA1
9615.ENSCAFP00000030312	P67780
9615.ENSCAFP00000030312	P67782
9615.ENSCAFP00000030315	Q9ZZ61
9615.ENSCAFP00000030315	Q1HK97
9615.ENSCAFP00000022607	Q5QQX7
9615.ENSCAFP00000026483	P56590
9615.ENSCAFP00000035314	P56592
9615.ENSCAFP00000001018	Q8WNW0
9615.ENSCAFP00000001018	Q2LCM1
9615.ENSCAFP00000032358	P24460
9615.ENSCAFP00000011937	P56594
9615.ENSCAFP00000034940	Q9MZY0
9615.ENSCAFP00000022014	P24463
9615.ENSCAFP00000017377	A2ICR5
9615.ENSCAFP00000017026	Q2LEC2
9615.ENSCAFP00000019924	A2IBY7
9615.ENSCAFP00000005495	P79145
9615.ENSCAFP00000040748	P49926
9615.ENSCAFP00000019994	A3RLE1
9615.ENSCAFP00000037656	A3RLE2
9615.ENSCAFP00000012545	Q75V94
9615.ENSCAFP00000031979	Q75V93
9615.ENSCAFP00000006035	Q8SQ03
9615.ENSCAFP00000015568	P68280
9615.ENSCAFP00000001176	P48749
9615.ENSCAFP00000023945	P35834
9615.ENSCAFP00000018967	Q9XSI1
9615.ENSCAFP00000007783	B6V8E6
9615.ENSCAFP00000032437	P04813
9615.ENSCAFP00000006833	Q9TU53
9615.ENSCAFP00000042210	P61902
9615.ENSCAFP00000040725	Q9TR29
9615.ENSCAFP00000041768	Q6S9C0
9615.ENSCAFP00000016302	P33725
9615.ENSCAFP00000021542	O97571
9615.ENSCAFP00000025254	Q5KSK8
9615.ENSCAFP00000007600	Q3LSL6
9615.ENSCAFP00000020776	P28228
9615.ENSCAFP00000032015	Q5KSV9
9615.ENSCAFP00000030321	Q34101
9615.ENSCAFP00000030321	Q6Y8J2
9615.ENSCAFP00000004225	P00011
9615.ENSCAFP00000042779	Q2KNA0
9615.ENSCAFP00000016488	Q9TSZ6
9615.ENSCAFP00000001395	Q5TJE1
9615.ENSCAFP00000006413	Q4PRC2
9615.ENSCAFP00000022792	Q5XFN2
9615.ENSCAFP00000001317	Q5TJF5
9615.ENSCAFP00000005770	Q9TV68
9615.ENSCAFP00000019966	P81999
9615.ENSCAFP00000005721	P49819
9615.ENSCAFP00000031637	O97592
9615.ENSCAFP00000028424	Q767J3
9615.ENSCAFP00000006171	P82539
9615.ENSCAFP00000029281	Q68CI2
9615.ENSCAFP00000020466	Q9GJU1
9615.ENSCAFP00000026691	Q9GKQ8
9615.ENSCAFP00000026686	Q7YRU7
9615.ENSCAFP00000020209	Q9MZF4
9615.ENSCAFP00000014726	Q4VSN4
9615.ENSCAFP00000031897	Q5WR10
9615.ENSCAFP00000020551	Q8SPS9
9615.ENSCAFP00000007253	Q9MYU8
9615.ENSCAFP00000023841	Q9N1R2
9615.ENSCAFP00000014389	P13206
9615.ENSCAFP00000038061	P12064
9615.ENSCAFP00000018044	Q765Z4
9615.ENSCAFP00000011497	Q5KSU9
9615.ENSCAFP00000016954	Q9BEA0
9615.ENSCAFP00000024118	Q2Q421
9615.ENSCAFP00000011044	P41148
9615.ENSCAFP00000009819	Q5NDL9
9615.ENSCAFP00000030595	Q1M199
9615.ENSCAFP00000025668	Q2KL21
9615.ENSCAFP00000038507	P33707
9615.ENSCAFP00000024079	O18735
9615.ENSCAFP00000021334	Q6QMY5
9615.ENSCAFP00000032923	Q9GL25
9615.ENSCAFP00000013718	Q6AW47
9615.ENSCAFP00000004309	P09582
9615.ENSCAFP00000011202	E2R766
9615.ENSCAFP00000029035	O18806
9615.ENSCAFP00000028031	P19540
9615.ENSCAFP00000011047	Q9TTY2
9615.ENSCAFP00000004494	Q8MJU5
9615.ENSCAFP00000034270	Q20FD0
9615.ENSCAFP00000021986	P79150
9615.ENSCAFP00000014598	O62682
9615.ENSCAFP00000012402	P68213
9615.ENSCAFP00000031225	P02677
9615.ENSCAFP00000012417	P12800
9615.ENSCAFP00000021176	Q28275
9615.ENSCAFP00000022051	Q95LA2
9615.ENSCAFP00000041912	Q95LA1
9615.ENSCAFP00000006628	Q9TUB3
9615.ENSCAFP00000041322	B5RHS5
9615.ENSCAFP00000033829	Q95MP7
9615.ENSCAFP00000041126	Q53VB8
9615.ENSCAFP00000019256	P48300
9615.ENSCAFP00000009503	Q5F2N4
9615.ENSCAFP00000023924	Q659X0
9615.ENSCAFP00000005103	Q659L1
9615.ENSCAFP00000042809	E2RKN7
9615.ENSCAFP00000000924	Q8WMU5
9615.ENSCAFP00000022224	Q28259
9615.ENSCAFP00000021606	O19133
9615.ENSCAFP00000015855	P33710
9615.ENSCAFP00000031633	P54804
9615.ENSCAFP00000007327	Q9GKK4
9615.ENSCAFP00000029422	Q32KH5
9615.ENSCAFP00000023420	P01353
9615.ENSCAFP00000038219	Q0Q0E4
9615.ENSCAFP00000005562	E2QUD0
9615.ENSCAFP00000031020	P62872
9615.ENSCAFP00000021609	P79147
9615.ENSCAFP00000003005	P63210
9615.ENSCAFP00000029424	Q95158
9615.ENSCAFP00000024872	O97564
9615.ENSCAFP00000030953	Q9TSZ7
9615.ENSCAFP00000012533	Q4ZHS0
9615.ENSCAFP00000012587	Q4ZHR9
9615.ENSCAFP00000039212	Q2PQH8
9615.ENSCAFP00000013840	Q6UKZ8
9615.ENSCAFP00000007805	O97556
9615.ENSCAFP00000043191	Q5DWN0
9615.ENSCAFP00000007641	Q9BEF8
9615.ENSCAFP00000037936	Q9TU69
9615.ENSCAFP00000004531	Q9XSW8
9615.ENSCAFP00000032533	Q8HZM5
9615.ENSCAFP00000038113	P02727
9615.ENSCAFP00000015307	P29794
9615.ENSCAFP00000033576	P38400
9615.ENSCAFP00000028446	Q28294
9615.ENSCAFP00000015846	Q28300
9615.ENSCAFP00000004111	Q9MZI6
9615.ENSCAFP00000030927	P25291
9615.ENSCAFP00000039807	Q9TTQ9
9615.ENSCAFP00000017573	O46607
9615.ENSCAFP00000020500	P47842
9615.ENSCAFP00000023753	Q9XST2
9615.ENSCAFP00000024862	O19179
9615.ENSCAFP00000006520	E2RJI4
9615.ENSCAFP00000032576	Q4W1W1
9615.ENSCAFP00000001156	P18470
9615.ENSCAFP00000038026	P60529
9615.ENSCAFP00000009258	P60524
9615.ENSCAFP00000010474	Q5U9D2
9615.ENSCAFP00000012336	Q9TSZ2
9615.ENSCAFP00000021566	Q6QNF4
9615.ENSCAFP00000009539	Q867B7
9615.ENSCAFP00000001724	Q6URC2
9615.ENSCAFP00000009862	Q6YKA4
9615.ENSCAFP00000030733	Q711A6
9615.ENSCAFP00000017772	E2RSQ2
9615.ENSCAFP00000027831	Q6WIT9
9615.ENSCAFP00000029992	P19006
9615.ENSCAFP00000037128	P17124
9615.ENSCAFP00000030227	Q1HGE8
9615.ENSCAFP00000000903	Q7YQC6
9615.ENSCAFP00000001368	Q2TFN9
9615.ENSCAFP00000019945	P42929
9615.ENSCAFP00000041782	Q8MJ36
9615.ENSCAFP00000026935	Q95LF0
9615.ENSCAFP00000016395	Q29467
9615.ENSCAFP00000039036	P17716
9615.ENSCAFP00000026375	P33729
9615.ENSCAFP00000007306	P35521
9615.ENSCAFP00000018974	Q7YR73
9615.ENSCAFP00000019544	Q712G9
9615.ENSCAFP00000024558	Q01634
9615.ENSCAFP00000000588	P42161
9615.ENSCAFP00000025211	E2QSX5
9615.ENSCAFP00000015184	Q5XWD5
9615.ENSCAFP00000010834	P33712
9615.ENSCAFP00000016812	P48411
9615.ENSCAFP00000020931	Q28267
9615.ENSCAFP00000025465	Q28268
9615.ENSCAFP00000001250	Q9N0W9
9615.ENSCAFP00000038185	Q9XSR0
9615.ENSCAFP00000038305	O46612
9615.ENSCAFP00000010762	Q28292
9615.ENSCAFP00000010796	Q9BEH0
9615.ENSCAFP00000005939	Q6L7I9
9615.ENSCAFP00000041465	P40321
9615.ENSCAFP00000005941	Q29416
9615.ENSCAFP00000001172	Q9BDX4
9615.ENSCAFP00000001253	O77762
9615.ENSCAFP00000001224	Q95J76
9615.ENSCAFP00000004016	P41323
9615.ENSCAFP00000004516	P41324
9615.ENSCAFP00000041498	Q6X7V3
9615.ENSCAFP00000040273	P01321
9615.ENSCAFP00000032077	P18174
9615.ENSCAFP00000003719	Q6JAN1
9615.ENSCAFP00000009968	P01002
9615.ENSCAFP00000009934	P04542
9615.ENSCAFP00000000209	P15881
9615.ENSCAFP00000023577	Q6EIZ0
9615.ENSCAFP00000023465	O18740
9615.ENSCAFP00000010729	Q6EIZ1
9615.ENSCAFP00000010719	Q6EIY9
9615.ENSCAFP00000024262	Q8MJ44
9615.ENSCAFP00000022780	Q28265
9615.ENSCAFP00000024942	Q28266
9615.ENSCAFP00000029266	Q28293
9615.ENSCAFP00000032916	Q95167
9615.ENSCAFP00000035370	Q9TSZ3
9615.ENSCAFP00000015804	Q9MYY9
9615.ENSCAFP00000026998	P05124
9615.ENSCAFP00000006727	P05123
9615.ENSCAFP00000023837	Q38JA7
9615.ENSCAFP00000039467	O97799
9615.ENSCAFP00000035934	Q38HS3
9615.ENSCAFP00000012799	Q5PU49
9615.ENSCAFP00000024956	Q29536
9615.ENSCAFP00000041753	P86229
9615.ENSCAFP00000037652	Q52MQ7
9615.ENSCAFP00000029239	P33685
9615.ENSCAFP00000029241	P33686
9615.ENSCAFP00000013149	Q9N2G9
9615.ENSCAFP00000022105	P38486
9615.ENSCAFP00000002433	O02720
9615.ENSCAFP00000037830	Q1ZZS1
9615.ENSCAFP00000027533	Q5XNR9
9615.ENSCAFP00000023039	P80035
9615.ENSCAFP00000017453	P06857
9615.ENSCAFP00000040025	P49256
9615.ENSCAFP00000005719	P18842
9615.ENSCAFP00000022350	P33730
9615.ENSCAFP00000013141	P81708
9615.ENSCAFP00000000619	P81709
9615.ENSCAFP00000018853	Q2TLZ1
9615.ENSCAFP00000020016	Q9TTY4
9615.ENSCAFP00000010473	Q28296
9615.ENSCAFP00000010824	Q5XXR2
9615.ENSCAFP00000000608	P56950
9615.ENSCAFP00000020909	A2SXS5
9615.ENSCAFP00000041478	Q75ZY9
9615.ENSCAFP00000035481	Q6TDU1
9615.ENSCAFP00000000190	A2IBY8
9615.ENSCAFP00000001968	O02812
9615.ENSCAFP00000022195	Q6Y4Q5
9615.ENSCAFP00000035167	O18733
9615.ENSCAFP00000001703	P19863
9615.ENSCAFP00000028245	Q1HG70
9615.ENSCAFP00000025361	Q6UR05
9615.ENSCAFP00000024602	Q9GK08
9615.ENSCAFP00000013400	O19000
9615.ENSCAFP00000013399	Q9XST5
9615.ENSCAFP00000013416	Q9TUI5
9615.ENSCAFP00000039244	Q863Z4
9615.ENSCAFP00000041846	P83762
9615.ENSCAFP00000014941	Q9N0Y3
9615.ENSCAFP00000014935	Q9N0Y2
9615.ENSCAFP00000001523	Q28350
9615.ENSCAFP00000002477	P63113
9615.ENSCAFP00000025727	Q076A3
9615.ENSCAFP00000025847	Q076A6
9615.ENSCAFP00000025847	Q076A7
9615.ENSCAFP00000025934	Q076A5
9615.ENSCAFP00000025828	Q076A4
9615.ENSCAFP00000002455	Q258K2
9615.ENSCAFP00000021988	Q2PT31
9615.ENSCAFP00000009692	P23685
9615.ENSCAFP00000001359	Q0X0E5
9615.ENSCAFP00000040464	Q50KA9
9615.ENSCAFP00000025504	Q50KA8
9615.ENSCAFP00000008959	P10673
9615.ENSCAFP00000015815	Q6F3J0
9615.ENSCAFP00000016876	Q861Y6
9615.ENSCAFP00000012041	Q5DUB3
9615.ENSCAFP00000020552	Q5DUB2
9615.ENSCAFP00000027521	E2QWQ2
9615.ENSCAFP00000039796	Q5R1P3
9615.ENSCAFP00000039888	P34962
9615.ENSCAFP00000024694	E2QRY6
9615.ENSCAFP00000006985	Q9TUX8
9615.ENSCAFP00000024889	Q28895
9615.ENSCAFP00000010483	Q9TU19
9615.ENSCAFP00000012917	O02813
9615.ENSCAFP00000036624	O62729
9615.ENSCAFP00000021599	Q9XT74
9615.ENSCAFP00000030309	P92604
9615.ENSCAFP00000030309	Q3L6Y8
9615.ENSCAFP00000030310	Q9ZZ65
9615.ENSCAFP00000030310	Q85PR2
9615.ENSCAFP00000030316	Q9ZZ60
9615.ENSCAFP00000030316	Q3L6Y6
9615.ENSCAFP00000030317	Q9ZZ59
9615.ENSCAFP00000030317	Q3L6Y4
9615.ENSCAFP00000030318	Q9ZZ58
9615.ENSCAFP00000030318	Q3L6Y5
9615.ENSCAFP00000030319	Q9ZZ57
9615.ENSCAFP00000030319	Q1HK80
9615.ENSCAFP00000030320	Q9ZZ56
9615.ENSCAFP00000030320	Q1HK79
9615.ENSCAFP00000011546	Q28269
9615.ENSCAFP00000004263	A1YQ91
9615.ENSCAFP00000038802	Q95154
9615.ENSCAFP00000038051	Q95156
9615.ENSCAFP00000038784	Q95157
9615.ENSCAFP00000028532	P30955
9615.ENSCAFP00000033796	Q0ZFW8
9615.ENSCAFP00000006912	P32308
9615.ENSCAFP00000028751	O18914
9615.ENSCAFP00000013921	P83286
9615.ENSCAFP00000022949	Q9GLF6
9615.ENSCAFP00000022169	Q05052
9615.ENSCAFP00000024773	P81455
9615.ENSCAFP00000042288	P86218
9615.ENSCAFP00000003376	Q9TUP7
9615.ENSCAFP00000024579	Q29537
9615.ENSCAFP00000015064	P06596
9615.ENSCAFP00000030617	Q28262
9615.ENSCAFP00000030134	Q6XPZ3
9615.ENSCAFP00000021236	P01299
9615.ENSCAFP00000010840	P47240
9615.ENSCAFP00000015956	E2R222
9615.ENSCAFP00000034752	O77746
9615.ENSCAFP00000026963	Q28263
9615.ENSCAFP00000024683	P33726
9615.ENSCAFP00000016354	Q9XT54
9615.ENSCAFP00000001945	Q6Q7I7
9615.ENSCAFP00000024002	Q9BGL8
9615.ENSCAFP00000021671	Q9XT82
9615.ENSCAFP00000014590	Q3YIX4
9615.ENSCAFP00000024018	Q9GMY6
9615.ENSCAFP00000029216	Q8SQ41
9615.ENSCAFP00000004788	Q8HYB7
9615.ENSCAFP00000001363	Q5TJE6
9615.ENSCAFP00000013277	P52784
9615.ENSCAFP00000016949	Q28343
9615.ENSCAFP00000000714	Q6QNF3
9615.ENSCAFP00000030067	Q8HZR1
9615.ENSCAFP00000028297	O02678
9615.ENSCAFP00000009230	Q29393
9615.ENSCAFP00000035560	O77560
9615.ENSCAFP00000020449	P79149
9615.ENSCAFP00000004558	D2KC46
9615.ENSCAFP00000027279	E2RD63
9615.ENSCAFP00000004841	Q6Q308
9615.ENSCAFP00000001078	P80009
9615.ENSCAFP00000010530	P56513
9615.ENSCAFP00000043129	Q5NDE9
9615.ENSCAFP00000041563	Q52S86
9615.ENSCAFP00000003109	P54832
9615.ENSCAFP00000007848	Q8MJ47
9615.ENSCAFP00000030520	Q8MJ46
9615.ENSCAFP00000001118	Q95N78
9615.ENSCAFP00000001880	Q0ZAQ8
9615.ENSCAFP00000007423	Q4U3Q4
9615.ENSCAFP00000036921	P61012
9615.ENSCAFP00000007398	Q8HY39
9615.ENSCAFP00000041988	Q00LT9
9615.ENSCAFP00000005906	Q9GLW0
9615.ENSCAFP00000009842	Q8WN22
9615.ENSCAFP00000000382	Q9TTD8
9615.ENSCAFP00000002506	P52204
9615.ENSCAFP00000001185	Q5W416
9615.ENSCAFP00000031755	Q6RH31
9615.ENSCAFP00000014140	P22397
9615.ENSCAFP00000023027	P60483
9615.ENSCAFP00000043090	Q9XS65
9615.ENSCAFP00000040771	A0SYQ0
9615.ENSCAFP00000020013	Q9TU31
9615.ENSCAFP00000016137	P52211
9615.ENSCAFP00000012029	P52212
9615.ENSCAFP00000021232	P68004
9615.ENSCAFP00000030367	Q9GMY1
9615.ENSCAFP00000036940	P24409
9615.ENSCAFP00000027554	P51152
9615.ENSCAFP00000025621	F1PTE3
9615.ENSCAFP00000004753	P62822
9615.ENSCAFP00000000675	P55745
9615.ENSCAFP00000024805	E2RQ15
9615.ENSCAFP00000010623	P61105
9615.ENSCAFP00000007571	P61017
9615.ENSCAFP00000008690	P18066
9615.ENSCAFP00000022977	P51147
9615.ENSCAFP00000034211	P18067
9615.ENSCAFP00000037722	P61007
9615.ENSCAFP00000017285	P24408
9615.ENSCAFP00000013557	Q8MKI8
9615.ENSCAFP00000009963	P62825
9615.ENSCAFP00000025408	P62490
9615.ENSCAFP00000017821	P51154
9615.ENSCAFP00000023411	Q1HE58
9615.ENSCAFP00000023389	Q9XSR3
9615.ENSCAFP00000001047	Q865S0
9615.ENSCAFP00000025716	Q8MIH6
9615.ENSCAFP00000031075	Q9TRM8
9615.ENSCAFP00000028704	O18921
9615.ENSCAFP00000014146	Q6DYE7
9615.ENSCAFP00000001375	Q5TJE5
9615.ENSCAFP00000003128	Q3BCQ5
9615.ENSCAFP00000017570	Q3BCQ4
9615.ENSCAFP00000007595	Q00M95
9615.ENSCAFP00000010111	B9VTT2
9615.ENSCAFP00000036971	P83509
9615.ENSCAFP00000030438	P24406
9615.ENSCAFP00000011084	Q8HXG3
9615.ENSCAFP00000001328	Q5TJF3
9615.ENSCAFP00000029847	E2RR58
9615.ENSCAFP00000005417	Q9XSU0
9615.ENSCAFP00000008630	E2QXF3
9615.ENSCAFP00000005899	D0VWQ3
9615.ENSCAFP00000024264	D0VWQ5
9615.ENSCAFP00000024349	Q9XSU3
9615.ENSCAFP00000021561	Q9XSU7
9615.ENSCAFP00000031693	E2RKA8
9615.ENSCAFP00000034850	D0VWQ4
9615.ENSCAFP00000021714	P63050
9615.ENSCAFP00000036039	Q28346
9615.ENSCAFP00000035221	Q2XNS1
9615.ENSCAFP00000010380	Q8MJ04
9615.ENSCAFP00000030301	Q9TVB8
9615.ENSCAFP00000012838	F1PBJ0
9615.ENSCAFP00000037530	Q9N1T2
9615.ENSCAFP00000033307	Q9XSU4
9615.ENSCAFP00000031934	P63273
9615.ENSCAFP00000001357	Q5TJE9
9615.ENSCAFP00000008052	E2RH47
9615.ENSCAFP00000025269	Q4TUC0
9615.ENSCAFP00000042872	E2RGI3
9615.ENSCAFP00000009735	Q5XM32
9615.ENSCAFP00000001304	Q5TJF7
9615.ENSCAFP00000025862	Q9TV56
9615.ENSCAFP00000041042	Q8WMX5
9615.ENSCAFP00000023037	Q8WMS0
9615.ENSCAFP00000029677	O77592
9615.ENSCAFP00000001312	Q5TJF6
9615.ENSCAFP00000006087	P38377
9615.ENSCAFP00000023174	P27799
9615.ENSCAFP00000013464	P19708
9615.ENSCAFP00000027123	B6VH75
9615.ENSCAFP00000018993	P67811
9615.ENSCAFP00000000138	P13679
9615.ENSCAFP00000014029	P31637
9615.ENSCAFP00000003690	P60467
9615.ENSCAFP00000005144	P60058
9615.ENSCAFP00000006683	Q00589
9615.ENSCAFP00000043148	Q9GLJ9
9615.ENSCAFP00000009149	Q06220
9615.ENSCAFP00000010590	Q4PPC4
9615.ENSCAFP00000011447	O46669
9615.ENSCAFP00000026101	Q95165
9615.ENSCAFP00000026294	E2RBS6
9615.ENSCAFP00000012270	Q863H1
9615.ENSCAFP00000023171	P06908
9615.ENSCAFP00000010630	Q8SQ72
9615.ENSCAFP00000005368	E2R5I0
9615.ENSCAFP00000014453	E2RDZ6
9615.ENSCAFP00000018535	Q95MM9
9615.ENSCAFP00000011560	O02771
9615.ENSCAFP00000020465	P49670
9615.ENSCAFP00000007917	Q68AM8
9615.ENSCAFP00000018659	P33711
9615.ENSCAFP00000013114	P83362
9615.ENSCAFP00000042144	Q28250
9615.ENSCAFP00000023824	P21262
9615.ENSCAFP00000041095	P16255
9615.ENSCAFP00000019649	P61010
9615.ENSCAFP00000007483	Q00004
9615.ENSCAFP00000003266	P33731
9615.ENSCAFP00000041524	P06625
9615.ENSCAFP00000020273	Q49LX5
9615.ENSCAFP00000006717	Q49LX6
9615.ENSCAFP00000014018	P16967
9615.ENSCAFP00000024839	P23438
9615.ENSCAFP00000025221	Q29476
9615.ENSCAFP00000004246	Q95JD5
9615.ENSCAFP00000027039	Q28288
9615.ENSCAFP00000022325	O62732
9615.ENSCAFP00000033984	Q8HZV4
9615.ENSCAFP00000021961	Q9GKK5
9615.ENSCAFP00000022507	Q5XNS0
9615.ENSCAFP00000026178	Q861Q9
9615.ENSCAFP00000003516	E2RDV1
9615.ENSCAFP00000022556	Q9TTW3
9615.ENSCAFP00000015805	Q6A548
9615.ENSCAFP00000005055	A0M8U6
9615.ENSCAFP00000015219	Q863T4
9615.ENSCAFP00000015215	Q863J2
9615.ENSCAFP00000032737	Q863B4
9615.ENSCAFP00000043052	A1XD97
9615.ENSCAFP00000019067	Q9GLD3
9615.ENSCAFP00000007462	P54831
9615.ENSCAFP00000017949	Q9GLK0
9615.ENSCAFP00000003591	A8C750
9615.ENSCAFP00000022333	P81546
9615.ENSCAFP00000035219	Q9TTY1
9615.ENSCAFP00000030804	Q5I2M8
9615.ENSCAFP00000003759	E2R0A5
