283166.BH00340	Q6G581
283166.BH12820	Q6G2F1
283166.BH14740	Q6G5P7
283166.BH09920	Q6G322
283166.BH09930	Q6G321
283166.BH04800	Q6G488
283166.BH16640	Q6G1L3
283166.BH07540	Q6G3L3
283166.BH01260	Q6G518
283166.BH12450	Q8L1Z7
283166.BH11700	Q6G2M7
283166.BH00560	Q6G563
283166.BH01820	Q6G5J3
283166.BH07490	Q6G3L8
283166.BH04930	Q6G475
283166.BH00550	Q6G564
283166.BH02080	Q6G5G0
283166.BH02070	Q6G5G1
283166.BH16000	Q6G5S9
283166.BH06500	Q6G3U8
283166.BH14140	Q6G252
283166.BH02150	Q6G4W7
283166.BH00490	Q6G570
283166.BH07640	Q6G3K3
283166.BH10890	Q6G2T6
283166.BH00980	Q6G543
283166.BH05820	Q6G3Z8
283166.BH04210	Q6G4E4
283166.BH15270	Q6G1X4
283166.BH04410	Q6G4C5
283166.BH10300	Q6G2Y6
283166.BH00940	Q6G546
283166.BH05710	Q6G409
283166.BH02360	Q6G4U6
283166.BH05390	Q6G439
283166.BH04420	Q6G4C4
283166.BH08460	Q6G5D6
283166.BH00710	Q6G550
283166.BH08420	Q6G5D9
283166.BH11800	Q6G2L7
283166.BH05790	Q6G401
283166.BH07850	Q6G3I3
283166.BH02710	Q6G4R2
283166.BH08770	Q6G3A6
283166.BH06310	Q8VQ21
283166.BH06290	Q8VQ23
283166.BH02670	Q6G4R6
283166.BH00100	Q6G5A2
283166.BH15460	Q6G1V5
283166.BH16570	Q6G1M0
283166.BH12920	Q6G2E2
283166.BH10930	Q6G2T3
283166.BH02260	Q6G4V6
283166.BH12020	Q6G2J9
283166.BH16690	Q6G1K8
283166.BH16680	Q6G1K9
283166.BH11270	Q6G2Q2
283166.BH03860	Q6G4F8
283166.BH14420	Q6G226
283166.BH11220	Q6G2Q7
283166.BH11230	Q6G2Q6
283166.BH11260	Q6G2Q3
283166.BH11240	Q6G2Q5
283166.BH08380	Q6G3D5
283166.BH02690	Q6G4R4
283166.BH01000	Q6G542
283166.BH05530	Q6G426
283166.BH10210	Q6G2Z5
283166.BH04040	Q6G5K1
283166.BH01930	Q6G5I3
283166.BH07550	Q6G3L2
283166.BH00540	Q6G565
283166.BH08940	Q6G389
283166.BH08930	Q6G390
283166.BH08920	Q6G391
283166.BH08880	Q6G395
283166.BH08870	Q6G396
283166.BH08850	Q6G398
283166.BH07590	Q6G3K8
283166.BH01560	Q6G4Z2
283166.BH05130	Q6G5H3
283166.BH05120	Q6G456
283166.BH00010	Q6G5B1
283166.BH04290	Q6G4D7
283166.BH15070	Q8L1Z8
283166.BH07620	Q6G3K5
283166.BH08180	Q6G3F5
283166.BH00910	Q6G5H6
283166.BH02100	Q6G5F8
283166.BH09820	Q6G327
283166.BH01580	Q6G4Z0
283166.BH01570	Q6G4Z1
283166.BH05210	Q6G5G6
283166.BH02460	Q6G4T6
283166.BH11860	Q6G2L1
283166.BH09560	Q6G5R9
283166.BH09710	Q6G338
283166.BH15970	Q6G5S5
283166.BH03790	Q6G4G5
283166.BH09740	Q6G335
283166.BH09730	Q6G336
283166.BH08200	Q6G3F3
283166.BH03870	Q6G4F7
283166.BH05050	Q6G463
283166.BH05700	Q6G410
283166.BH06240	Q6G5C7
283166.BH02140	Q6G4W8
283166.BH10230	Q6G2Z3
283166.BH05110	Q6G457
283166.BH02300	Q6G4V2
283166.BH01970	Q6G5T7
283166.BH15830	Q6G1R8
283166.BH08410	Q6G5E0
283166.BH02180	Q6G4W4
283166.BH07580	Q9REF4
283166.BH06080	Q6G3X7
283166.BH06060	Q6G3X9
283166.BH07820	Q6G3I6
283166.BH10410	Q6G2X5
283166.BH10320	Q6G2Y4
283166.BH10440	Q6G2X2
283166.BH10260	Q6G2Z0
283166.BH10350	Q6G2Y1
283166.BH15810	Q6G1S0
283166.BH06070	Q6G3X8
283166.BH00830	Q6G5E4
283166.BH01390	Q6G508
283166.BH10460	Q6G2X0
283166.BH10490	Q6G2W7
283166.BH10400	Q6G2X6
283166.BH11850	Q6G2L2
283166.BH01400	Q6G507
283166.BH15920	Q6G5T1
283166.BH10430	Q6G2X3
283166.BH10480	Q6G2W8
283166.BH10330	Q6G2Y3
283166.BH15050	Q6G1Z4
283166.BH15250	Q6G1X6
283166.BH08140	Q6G3F9
283166.BH12390	Q6G2G8
283166.BH00820	Q6G5E5
283166.BH14340	Q6G234
283166.BH10510	Q6G2W5
283166.BH10500	Q6G2W6
283166.BH10390	Q6G2X7
283166.BH10360	Q6G2Y0
283166.BH06090	Q6G3X6
283166.BH05290	Q6G449
283166.BH01550	Q6G4Z3
283166.BH01610	Q6G4Y7
283166.BH00200	Q6G592
283166.BH05090	Q6G459
283166.BH09800	Q6G329
283166.BH04230	Q6G4E3
283166.BH04430	Q6G4C3
283166.BH12400	Q6G2G7
283166.BH06410	Q6G3V6
283166.BH10270	Q9FDC7
283166.BH06100	Q9KJG4
283166.BH06110	Q6G3X4
283166.BH05030	Q6G465
283166.BH01640	Q6G4Y4
283166.BH06250	Q6G5C6
283166.BH10520	Q6G2W4
283166.BH10280	Q6G2Y8
283166.BH10560	Q8KNX8
283166.BH10290	Q6G2Y7
283166.BH10380	Q6G2X8
283166.BH02110	Q6G5F7
283166.BH16020	Q6G5S7
283166.BH10420	Q6G2X4
283166.BH05310	Q6G447
283166.BH10470	Q6G2W9
283166.BH01170	Q6G527
283166.BH01320	Q6G512
283166.BH06220	Q6G5C9
283166.BH10450	Q6G2X1
283166.BH08390	Q6G5E2
283166.BH10340	Q6G2Y2
283166.BH05320	Q6G446
283166.BH10550	Q6G2W1
283166.BH10370	Q6G2X9
283166.BH07810	Q6G3I7
283166.BH05400	Q6G438
283166.BH16670	Q6G1L0
283166.BH11320	Q6G2P7
283166.BH14900	Q6G5R0
283166.BH14890	Q6G5R1
283166.BH14910	Q6G5Q9
283166.BH08220	Q6G3F1
283166.BH00310	Q6G584
283166.BH01990	Q6G5U2
283166.BH01020	Q6G540
283166.BH08360	Q6G3D7
283166.BH05010	Q6G467
283166.BH16560	Q6G1M1
283166.BH10220	Q6G2Z4
283166.BH05180	Q6G5G9
283166.BH09790	Q6G330
283166.BH06390	Q6G3V8
283166.BH06460	Q6G3V1
283166.BH00840	Q6G5E3
283166.BH00850	Q6G5I2
283166.BH13610	Q6G289
283166.BH02580	Q6G4S5
283166.BH15390	Q6G1W2
283166.BH08790	Q6G3A4
283166.BH09980	Q6G316
283166.BH05610	Q6G419
283166.BH07660	Q6G3K1
283166.BH10630	Q6G2V3
283166.BH08670	Q6G3B6
283166.BH15370	Q6G1W4
283166.BH05580	Q6G422
283166.BH04910	Q6G477
283166.BH04880	Q6G480
283166.BH05940	Q6G3Y8
283166.BH14760	Q6G5P5
283166.BH14840	Q6G5R6
283166.BH05680	Q8L1Z5
283166.BH02190	Q6G4W3
283166.BH15820	Q6G1R9
283166.BH05920	Q6G3Y9
283166.BH00740	Q6G547
283166.BH02130	Q6G5F5
283166.BH16110	Q6G1R3
283166.BH08400	Q6G5E1
283166.BH10980	Q6G2S8
283166.BH11580	Q6G5M1
283166.BH00400	Q6G577
283166.BH04020	Q6G5K3
283166.BH01840	Q6G5J0
283166.BH05550	Q6G424
283166.BH13260	Q9R3F2
283166.BH13270	Q9S3N1
283166.BH13280	Q9R2W4
283166.BH13300	Q9RND2
283166.BH13320	Q6G2B4
283166.BH13330	Q6G2B3
283166.BH13340	Q6G2B2
283166.BH13350	Q9RNC7
283166.BH13380	Q6G2A8
283166.BH00020	Q6G5B0
283166.BH12350	Q6G2H1
283166.BH12760	Q6G5N5
283166.BH12860	Q6G2E7
283166.BH14130	Q6G253
283166.BH14810	Q6G5P2
283166.BH15140	Q6G1Y5
283166.BH16190	Q6G1Q5
283166.BH02290	Q6G4V3
283166.BH02310	Q6G4V1
283166.BH02760	Q6G4Q8
283166.BH04450	Q6G4C1
283166.BH06270	Q8VQ25
283166.BH02240	Q6G4V8
283166.BH07670	Q6G3K0
283166.BH13530	A0A096VIC2
283166.BH08570	C7DY68
283166.BH02560	T1RQ90
283166.BH07570	G9L5X4
283166.BH06380	G8HV32
283166.BH13290	Q9KJ97
283166.BH13530	Q6PL50
283166.BH14680	I3NPC2
283166.BH11180	G8HV50
283166.BH00620	A7DVR8
283166.BH00620	Q6WG15
283166.BH13290	Q45198
283166.BH11180	V9PVJ6
283166.BH06100	V9PVL5
283166.BH07570	Q5EI68
283166.BH07570	Q06XU0
283166.BH06380	B8Y1Q6
283166.BH06380	B8Y1Q4
283166.BH01510	A1XX07
283166.BH06380	B8Y7F8
283166.BH15560	B0RK89
283166.BH13530	A7DVS8
283166.BH06100	A2TEX5
283166.BH06380	B8Y1U9
283166.BH06100	G8HV41
283166.BH05630	A7DVT0
283166.BH06100	A7DVT4
283166.BH06380	B8Y1U5
283166.BH13530	D6P587
283166.BH07570	E5FP69
283166.BH06380	D0FHV3
283166.BH06380	B8Y1U3
283166.BH06380	W0FJI9
283166.BH06380	Q38JK0
283166.BH14680	I3NPD6
283166.BH15720	Q70XR6
283166.BH15730	Q70XR5
283166.BH06280	Q8VQ24
283166.BH06380	W5S3N0
283166.BH15060	Q8L207
283166.BH06380	Q8G9E7
283166.BH16530	Q67B07
283166.BH06380	E9LIU9
283166.BH06380	W5S2D9
283166.BH01980	Q93DM5
283166.BH06380	W5S3M5
283166.BH05840	Q3HXZ3
283166.BH15080	Q8L201
283166.BH06380	W5S748
283166.BH11180	O69074
283166.BH16520	Q67B06
283166.BH13460	Q5QSZ8
283166.BH05850	Q3HXZ2
283166.BH15120	Q8L200
283166.BH05900	Q6GWG0
283166.BH10530	Q9F653
283166.BH13420	Q5QT01
283166.BH13440	Q5QSZ9
283166.BH06380	I0B557
283166.BH06380	C7DUW7
283166.BH15650	B0RK97
283166.BH11180	Q9S464
283166.BH13330	I3QKD2
283166.BH14680	I3NPB9
283166.BH07570	A4L7A3
283166.BH06380	C1KIR5
283166.BH13030	Q4KWH4
283166.BH14680	I3NPE0
283166.BH04920	Q93FN8
283166.BH06380	A4L7A2
283166.BH14680	I3NPB8
283166.BH06100	D3YIG5
283166.BH06380	C6KF66
283166.BH13310	I3QKD0
283166.BH06100	Q9KJG3
283166.BH05640	Q8RNB4
283166.BH16540	Q76HZ2
283166.BH02560	Q19D20
283166.BH16530	Q76HZ1
283166.BH07930	Q9RGD2
283166.BH13530	Q6SPY0
283166.BH15750	B0RKA7
283166.BH13370	Q5QT06
283166.BH06860	C7DY65
283166.BH07570	G9L5X6
283166.BH15620	B0RK68
283166.BH05890	Q6GWG1
283166.BH06380	A1ED54
283166.BH06100	R4HYY4
283166.BH13530	Q93FX1
283166.BH06100	C1KIR2
283166.BH05630	Q6WG12
283166.BH02560	W8P8K7
283166.BH15740	B0RKA6
283166.BH06100	D4QE40
283166.BH07940	Q9RGD1
283166.BH13280	A3F6M7
283166.BH13530	Q6R5M5
283166.BH05650	Q8RIU4
283166.BH11180	A4L7A1
283166.BH01510	A1XX15
283166.BH07570	G9L5X5
283166.BH13530	Q93FX5
283166.BH07570	A7DVT3
283166.BH13530	Q6SPX8
283166.BH13540	O34199
283166.BH14680	I3NPC5
283166.BH06100	C1KIR4
283166.BH06380	C1KIR1
283166.BH04770	I6VCX4
283166.BH07570	A7DVT2
283166.BH06380	E1AW24
283166.BH03930	Q8L203
283166.BH16540	Q67B08
283166.BH07570	C1KIR3
283166.BH13530	M4WGG8
283166.BH06100	A9YT51
283166.BH15740	Q70XR4
283166.BH11180	A7DVS4
283166.BH13500	Q6H8L1
283166.BH11180	Q93FV0
283166.BH15530	B0RK59
283166.BH05720	A7DVS2
283166.BH15600	B0RK66
283166.BH15550	B0RK88
283166.BH13280	A3F6M8
283166.BH06100	E9LIV2
283166.BH14680	I3NPA8
283166.BH13530	Q93FX4
283166.BH13310	Q9RND1
283166.BH03920	Q8L206
283166.BH04920	Q93FN9
283166.BH15530	B0RK86
283166.BH13440	I3QKE0
283166.BH14680	I3NPD1
283166.BH13430	Q5QT00
283166.BH15660	B0RK98
283166.BH13400	Q5QT03
283166.BH13390	Q5QT04
283166.BH06860	C7DY64
283166.BH11180	G9L5Z4
283166.BH15540	B0RK60
283166.BH04770	U5ZJW4
283166.BH11180	A7DVS3
283166.BH06380	W5S2K4
283166.BH11510	Q0H392
283166.BH06100	A0AQI2
283166.BH04920	Q45197
283166.BH02560	U3M038
283166.BH13530	Q6SPX9
283166.BH11180	S5R2M0
283166.BH04770	G1JZ04
283166.BH15540	B0RK87
283166.BH15710	Q70XR3
283166.BH15720	B0RK78
283166.BH06320	Q8VQ20
283166.BH11180	Q9S465
283166.BH11180	A7DVS5
283166.BH02560	W5S2E3
283166.BH04920	Q93FP2
283166.BH14680	I3NPD8
283166.BH06860	C7DY63
283166.BH04920	Q93FP3
283166.BH05630	Q8RNB5
283166.BH13530	Q93FX3
283166.BH11180	Q9S466
283166.BH04920	Q93FP0
283166.BH06380	M1NI64
283166.BH15690	B0RK81
283166.BH13280	A3F6M6
283166.BH13120	A8RRP0
283166.BH13410	Q5QT02
283166.BH02200	Q9XCL4
283166.BH00620	S5RNB5
283166.BH14680	I3NPC3
283166.BH04920	Q93FP1
283166.BH13530	Q93FX2
283166.BH13530	F8T0T4
283166.BH07560	Q9REF6
283166.BH02560	W5S3N6
283166.BH11210	Q83XW8
283166.BH15740	Q4L2V2
283166.BH15760	Q4L2V0
283166.BH15560	Q4L2U2
283166.BH15620	Q4L2T6
283166.BH01510	A1XX05
283166.BH15640	Q4L2T4
283166.BH15600	Q4L2T8
283166.BH11190	Q83XW6
283166.BH15630	Q4L2T5
283166.BH11200	Q83XW7
283166.BH13530	Q8KP93
283166.BH15570	Q4L2U1
283166.BH15750	Q4L2V1
283166.BH15680	Q6G1T3
283166.BH07460	X5MH80
283166.BH05750	Q8L1Z6
283166.BH09400	X5MGY2
283166.BH15560	B0RK62
283166.BH03910	Q8L205
283166.BH15750	B0RK84
283166.BH07070	X5MFB5
283166.BH07570	Q9REF5
283166.BH07550	X5MFK7
283166.BH16340	C7DY60
283166.BH07600	X5LVP2
283166.BH15570	B0RK63
283166.BH07870	X5M4A9
283166.BH07300	C6KHU7
283166.BH09480	X5MEP1
283166.BH07010	X5M706
283166.BH12770	Q8L204
283166.BH07400	X5M479
283166.BH07690	X5MH33
283166.BH06840	X5M6Z5
283166.BH06910	X5MFH6
283166.BH15760	B0RKA8
283166.BH10530	X5M563
283166.BH07800	X5MFF6
283166.BH07670	X5M4H1
283166.BH07280	X5M3J1
283166.BH07710	X5MFL4
283166.BH07860	X5MH41
283166.BH15700	Q6G1T1
283166.BH15690	Q6G1T2
283166.BH07590	X5MH27
283166.BH13390	I3QKD7
283166.BH09490	X5LVX9
283166.BH14970	Q6G250
283166.BH09390	X5LMF3
283166.BH07730	X5M749
283166.BH13540	Q6H8L3
283166.BH06900	X5M773
283166.BH15590	Q6G1U2
283166.BH07430	X5LT84
283166.BH06810	X5M3G6
283166.BH15590	B0RK65
283166.BH15730	Q4L2V3
283166.BH09100	Q6G376
283166.BH03620	X5M3E7
283166.BH06880	Q6G3R4
283166.BH13800	Q6G284
283166.BH13700	Q6G286
283166.BH15670	Q6G1T4
283166.BH15610	Q6G1U0
283166.BH13380	I3QKD6
283166.BH09090	Q6G377
283166.BH09400	X5MH67
283166.BH09490	Q6G4I7
283166.BH07890	X5M4K4
283166.BH09430	X5M465
283166.BH07850	X5M7F5
283166.BH07130	Q6G3P0
283166.BH15660	Q6G1T5
283166.BH07830	X5M4J8
283166.BH15650	Q6G1T6
283166.BH07080	X5LZS8
283166.BH06850	X5M3F5
283166.BH13470	Q5QSZ7
283166.BH07410	X5MH76
283166.BH15550	Q6G1U6
283166.BH07060	X5M710
283166.BH07520	X5M6U5
283166.BH12500	Q9L7A9
283166.BH05910	Q6GWF9
283166.BH07140	X5LVM3
283166.BH07820	X5M7D6
283166.BH09470	Q6G3Q0
283166.BH07500	X5M485
283166.BH06860	Q6G3R6
283166.BH09420	Q6G3P3
283166.BH07640	X5M7C3
283166.BH07490	X5MH19
283166.BH06870	Q6G3R5
283166.BH06990	X5M6R8
283166.BH15720	Q4L2V4
283166.BH07840	X5MHA6
283166.BH07910	X5M7E4
283166.BH03650	X5M4C0
283166.BH11510	Q0H391
283166.BH07140	X5MHB2
283166.BH03640	X5LZE0
283166.BH14680	Q6G203
283166.BH06890	Q6G3R3
283166.BH07910	X5M4K9
283166.BH15580	Q6G1U3
283166.BH11250	Q6J572
283166.BH09430	Q6G3P4
283166.BH15580	B0RK64
283166.BH14680	I3NPA9
283166.BH10720	Q6G2U9
283166.BH09080	Q6G378
283166.BH09410	Q6G348
283166.BH09400	Q6G349
283166.BH03420	Q6G4K0
283166.BH07810	X5MFM6
283166.BH15710	Q4L2V5
283166.BH13320	I3QKD1
283166.BH15610	B0RK67
283166.BH15650	B0RK71
283166.BH13300	I3QKE1
283166.BH15730	B0RK82
283166.BH15690	B0RK75
283166.BH13340	I3QKE2
283166.BH13280	I3QKC8
283166.BH13350	I3QKD3
283166.BH08570	C7DY66
283166.BH15740	B0RK83
283166.BH15660	B0RK72
283166.BH13270	I3QKC7
283166.BH15550	B0RK61
283166.BH15360	X5M6C1
283166.BH05420	X5M6N9
283166.BH12920	X5MGD0
283166.BH07510	X5MH84
283166.BH05240	X5M3V3
283166.BH07150	X5M4J3
283166.BH09010	X5M4X6
283166.BH02330	X5M5L0
283166.BH08100	X5M7G9
283166.BH09940	X5M7V1
283166.BH10300	X5M7Y2
283166.BH02890	X5MGD4
283166.BH14520	X5MGM6
283166.BH12810	X5LWI6
283166.BH03420	X5M3B8
283166.BH11270	X5MG25
283166.BH13860	X5MGJ2
283166.BH00110	X5LRS3
283166.BH12280	X5M076
283166.BH04610	X5M2X7
283166.BH01820	X5M337
283166.BH04730	X5M3P4
283166.BH08300	X5M4Q2
283166.BH07040	X5M4Y5
283166.BH15440	X5M566
283166.BH01700	X5M5R0
283166.BH07930	X5M7G2
283166.BH11630	X5M7L4
283166.BH10140	X5M7X0
283166.BH10250	X5M7X6
283166.BH10940	X5M835
283166.BH12000	X5M8C1
283166.BH16360	X5M9B9
283166.BH10260	X5MFW7
283166.BH13550	X5MGH9
283166.BH00630	X5M5G8
283166.BH11050	X5M845
283166.BH15380	X5M967
283166.BH14870	X5MGP6
283166.BH12310	X5M5I0
283166.BH00010	X5MFY2
283166.BH01460	X5MG53
283166.BH01500	X5MG56
283166.BH06860	X5MGY9
283166.BH08940	X5MHI3
283166.BH09990	X5M7V5
283166.BH15100	X5M8E0
283166.BH05470	X5MF22
283166.BH05800	X5LM19
283166.BH16020	X5LPJ5
283166.BH12550	X5LU84
283166.BH13700	X5M094
283166.BH08880	X5MFS9
283166.BH02270	X5MG99
283166.BH12220	X5M5H0
283166.BH08560	X5M7L2
283166.BH12090	X5M7Q2
283166.BH05690	X5MF38
283166.BH02940	X5M3B5
283166.BH06830	X5MFH2
283166.BH01180	X5MG40
283166.BH04050	X5MGH8
283166.BH04750	X5LSP6
283166.BH11440	X5M030
283166.BH10060	X5MFV8
283166.BH05880	X5LSZ3
283166.BH15860	X5M6F8
283166.BH01800	X5LS64
283166.BH03890	X5LSI6
283166.BH04110	X5M3I6
283166.BH12470	X5MGA4
283166.BH06560	X5MGY0
283166.BH06520	X5LT38
283166.BH05610	X5M3X7
283166.BH11660	X5M5C4
283166.BH10090	X5M7W5
283166.BH11740	X5M8A2
283166.BH06960	X5MGF8
283166.BH15040	X5MGR4
283166.BH07790	X5MHA1
283166.BH10910	X5MHS5
283166.BH12690	X5LWH9
283166.BH05490	X5M3W8
283166.BH06780	X5M445
283166.BH13160	X5M8L9
283166.BH05440	X5LVC9
283166.BH01730	X5M332
283166.BH03350	X5LYL7
283166.BH02900	X5LYJ9
283166.BH06540	X5LZ63
283166.BH16290	X5LPM1
283166.BH01300	X5LS14
283166.BH04140	X5MES6
283166.BH07130	X5LZF1
283166.BH04760	X5MEW6
283166.BH15180	X5MID2
283166.BH03900	X5MEQ9
283166.BH07610	X5LZB0
283166.BH02510	X5LSA5
283166.BH04570	X5LYV6
283166.BH06330	X5LZ52
283166.BH15400	X5M8G8
283166.BH02060	X5MEF3
283166.BH00620	X5LU91
283166.BH15110	X5M0Q7
283166.BH00570	X5LY58
283166.BH01100	X5ME85
283166.BH08860	X5LVV6
283166.BH06940	X5LZ81
283166.BH08610	X5LZQ1
283166.BH02770	X5MEK2
283166.BH04490	X5MEV0
283166.BH14400	X5MIA3
283166.BH00960	X5LY77
283166.BH09020	X5LZS4
283166.BH16150	X5M0V9
283166.BH04940	X5MEX9
283166.BH09920	X5M532
283166.BH15300	X5M961
283166.BH02540	X5MGB4
283166.BH05230	X5MGP9
283166.BH14140	X5M873
283166.BH03380	X5MGE8
283166.BH04040	X5LLK2
283166.BH16330	X5MIH2
283166.BH11060	X5MG09
283166.BH11380	X5LW91
283166.BH05300	X5M3V6
283166.BH08120	X5M6X0
283166.BH09690	X5M772
283166.BH13990	X5M8T7
283166.BH00700	X5MG15
283166.BH15500	X5M6D1
283166.BH11560	X5M4A5
283166.BH10830	X5M826
283166.BH03320	X5MEM5
283166.BH14990	X5MIC7
283166.BH07480	X5LZG5
283166.BH15450	X5MIE1
283166.BH13580	X5M0G7
283166.BH14350	X5M618
283166.BH15540	X5M6D5
283166.BH09790	X5MHL5
283166.BH06860	X5LZD7
283166.BH01670	X5M329
283166.BH08230	X5M3N8
283166.BH00430	X5M5F3
283166.BH01750	X5M5R3
283166.BH16040	X5M6H0
283166.BH10840	X5MFZ6
283166.BH00930	X5LUB8
283166.BH15800	X5MIF4
283166.BH02430	X5MGA8
283166.BH10280	X5M550
283166.BH07940	X5MFN5
283166.BH04290	X5LLM2
283166.BH00150	X5ME35
283166.BH01280	X5MG45
283166.BH06090	X5LVG7
283166.BH01550	X5MEC1
283166.BH09100	X5LMI6
283166.BH02780	X5LSC0
283166.BH14970	X5M0J6
283166.BH09750	X5M521
283166.BH01130	X5M5K8
283166.BH07740	X5MFF4
283166.BH02020	X5MG84
283166.BH16310	X5MGY8
283166.BH13210	X5MI61
283166.BH07540	X5LMH1
283166.BH09720	X5M7T7
283166.BH11650	X5LNC7
283166.BH10550	X5LW42
283166.BH04160	X5M2U1
283166.BH15010	X5M693
283166.BH15520	X5M974
283166.BH10100	X5MFW0
283166.BH00060	X5MFY6
283166.BH16210	X5MGX8
283166.BH16610	X5LPP8
283166.BH07160	X5M6S9
283166.BH06830	X5LT63
283166.BH02040	X5LYE0
283166.BH06440	X5M6W8
283166.BH07170	X5M715
283166.BH04590	X5MEV7
283166.BH02640	X5LYI0
283166.BH04230	X5LSK9
283166.BH04630	X5LSN8
283166.BH09550	X5M7R2
283166.BH03850	X5MGG8
283166.BH03300	X5LYL0
283166.BH06590	X5LZ66
283166.BH16240	X5M0W3
283166.BH16460	X5M0X3
283166.BH01710	X5MEC9
283166.BH10080	X5LN02
283166.BH02440	X5M376
283166.BH09520	X5M761
283166.BH02750	X5LYI8
283166.BH01760	X5MED4
283166.BH16590	X5MII1
283166.BH11800	X5LU14
283166.BH12250	X5LWE9
283166.BH08420	X5MFQ7
283166.BH00790	X5LUA5
283166.BH06480	X5LVI6
283166.BH12300	X5MI08
283166.BH11530	X5M884
283166.BH11040	X5M004
283166.BH08110	X5M3M9
283166.BH07290	X5M6T4
283166.BH11520	X5M7K5
283166.BH13440	X5MI74
283166.BH09080	X5M4A4
283166.BH12520	X5MGA7
283166.BH05580	X5M351
283166.BH11470	X5LNB0
283166.BH10640	X5LZY7
283166.BH03400	X5M3D1
283166.BH08390	X5M4R3
283166.BH00040	X5M5D0
283166.BH06130	X5M410
283166.BH15390	X5M562
283166.BH00920	X5M5J1
283166.BH13500	X5M5V0
283166.BH16110	X5M9A5
283166.BH02670	X5MGC2
283166.BH00600	X5LRW2
283166.BH09810	X5M7U3
283166.BH15840	X5MGW2
283166.BH04190	X5LLL4
283166.BH15980	X5LX01
283166.BH00540	X5M535
283166.BH02110	X5MEF6
283166.BH04460	X5M3M0
283166.BH11190	X5M597
283166.BH05550	X5M6P6
283166.BH05010	X5LYY6
283166.BH07740	X5LZI2
283166.BH14610	X5MIB0
283166.BH08790	X5LTG0
283166.BH00300	X5M257
283166.BH00880	X5M5I8
283166.BH06750	X5M717
283166.BH11970	X5MG72
283166.BH07660	X5MH93
283166.BH06040	X5LVG4
283166.BH16650	X5M0Y3
283166.BH04770	X5LV73
283166.BH02930	X5MGD7
283166.BH15220	X5MGS5
283166.BH04710	X5MEW3
283166.BH04470	X5LYU9
283166.BH09080	X5M7D2
283166.BH10800	X5M576
283166.BH05680	X5M6Q5
283166.BH16160	X5M9A8
283166.BH07480	X5MFD5
283166.BH11370	X5MG33
283166.BH11280	X5MHU9
283166.BH14390	X5MGM0
283166.BH08710	X5LZQ7
283166.BH07780	X5M3L4
283166.BH00050	X5ME29
283166.BH02150	X5M5U9
283166.BH14120	X5MGK8
283166.BH04960	X5M3R8
283166.BH01030	X5M5J8
283166.BH06820	X5M6Q7
283166.BH06450	X5MF84
283166.BH07580	X5MFE2
283166.BH13700	X5MGI5
283166.BH06360	X5LT27
283166.BH11840	X5M053
283166.BH00120	X5M2T5
283166.BH10370	X5M7C2
283166.BH12530	X5MI19
283166.BH06430	X5LZ57
283166.BH15930	X5M0U9
283166.BH03370	X5MEM9
283166.BH07810	X5LMJ1
283166.BH06620	X5LVJ5
283166.BH05560	X5M6D6
283166.BH05140	X5MGP7
283166.BH05940	X5MGT8
283166.BH12100	X5M8C7
283166.BH07290	X5M4E7
283166.BH04120	X5M605
283166.BH12720	X5MI28
283166.BH00030	X5LY32
283166.BH04690	X5LYW2
