267671.LIC10846	Q72U18
267671.LIC12418	Q72PQ0
267671.LIC12573	Q72PA2
267671.LIC13094	Q72MU5
267671.LIC10763	P61703
267671.LIC12028	Q72QT1
267671.LIC12108	Q72QK5
267671.LIC13345	Q72M46
267671.LIC13310	Q72M80
267671.LIC13219	Q72MG8
267671.LIC12350	Q72PW7
267671.LIC10048	P62371
267671.LIC12400	Q72PR7
267671.LIC11913	Q72R38
267671.LIC10517	Q72UY6
267671.LIC13129	Q72MR4
267671.LIC12025	Q72QT4
267671.LIC10858	Q72U06
267671.LIC12102	Q72QL1
267671.LIC13480	Q72LS1
267671.LIC12465	Q72PK6
267671.LIC10473	Q72V30
267671.LIC11698	Q72RP6
267671.LIC11652	Q72RT8
267671.LIC11980	Q72QX8
267671.LIC11005	Q72TL3
267671.LIC12679	Q72NZ8
267671.LIC10800	Q72U64
267671.LIC11416	Q72SG7
267671.LIC10131	Q72W10
267671.LIC12094	Q72QL9
267671.LIC12765	Q72NR4
267671.LIC10126	Q72W15
267671.LIC11558	Q72S28
267671.LIC10860	Q72U04
267671.LIC10859	Q72U05
267671.LIC12786	Q72NP6
267671.LIC12541	Q72PD0
267671.LIC11773	Q72RH2
267671.LIC12703	Q72NX5
267671.LIC13038	Q72N01
267671.LIC12302	Q72Q12
267671.LIC11457	P62465
267671.LIC11717	Q72RM8
267671.LIC12941	Q72N95
267671.LIC11756	Q72RI9
267671.LIC11599	Q72RY9
267671.LIC11479	Q72SA5
267671.LIC10016	Q72WC1
267671.LIC10086	Q72W54
267671.LIC11085	Q72TD6
267671.LIC11384	Q72SJ7
267671.LIC11556	Q72S30
267671.LIC11564	Q72S23
267671.LIC11769	Q72RH6
267671.LIC12068	Q72QP5
267671.LIC10249	Q72VP7
267671.LIC12681	Q72NZ6
267671.LIC12886	P62038
267671.LIC12973	P61547
267671.LIC13295	Q72M93
267671.LIC13475	Q72LS6
267671.LIC10764	Q72U97
267671.LIC10976	Q72TP1
267671.LIC12105	Q72QK8
267671.LIC10157	Q72VY8
267671.LIC10156	Q72VY9
267671.LIC12094	C6KGG6
267671.LIC11517	D2XC92
267671.LIC11937	D2XC94
267671.LIC10309	D2XC95
267671.LIC10586	D2XC97
267671.LIC12346	C6KGF8
267671.LIC10046	C6KGE2
267671.LIC12966	C6KGM0
267671.LIC13244	C6KGK9
267671.LIC12853	C6KGP0
267671.LIC20074	C6KGJ0
267671.LIC10428	C6KGI2
267671.LIC11352	C6KGN0
267671.LIC12852	C6KGJ8
267671.LIC12474	C6KGF0
267671.LIC11262	C6KGH4
267671.LIC11335	D2XCR6
267671.LIC12906	A8S9P6
267671.LIC12853	C6JWG7
267671.LIC10005	Q5BTU7
267671.LIC10753	A0A068L6U6
267671.LIC10813	D2XCR3
267671.LIC13006	A8S9Q0
267671.LIC10464	C7SAD0
267671.LIC10005	A4F203
267671.LIC12853	Q09KM9
267671.LIC12853	C6JWG5
267671.LIC13248	A8S9R3
267671.LIC10813	D2XC93
267671.LIC10003	D2XCR8
267671.LIC13467	A8S9Q9
267671.LIC10465	C7SAB7
267671.LIC10465	Q846V5
267671.LIC11335	D2XC96
267671.LIC12315	A8S9Q4
267671.LIC10973	Q6S9L8
267671.LIC10973	Q6S9L7
267671.LIC10973	Q6S9K9
267671.LIC10973	Q6S9L0
267671.LIC10973	Q6S9L2
267671.LIC11347	Q72SN2
267671.LIC13161	Q72VN1
267671.LIC13159	Q72MN4
267671.LIC11151	Q72T70
267671.LIC10246	Q72VQ0
267671.LIC11389	Q72SJ3
267671.LIC12331	Q72PY6
267671.LIC12917	Q72NB8
267671.LIC11577	Q72S10
267671.LIC11374	Q3V898
267671.LIC10839	Q72U25
267671.LIC10748	Q72UB3
267671.LIC12844	Q72NJ0
267671.LIC11096	Q72TC5
267671.LIC12086	Q72QM7
267671.LIC11174	Q72T47
267671.LIC10971	Q72TP6
267671.LIC10624	Q72UN3
267671.LIC11325	Q72SQ0
267671.LIC12598	Q72P78
267671.LIC12247	Q72Q65
267671.LIC11293	Q72ST2
267671.LIC11168	Q72T53
267671.LIC12893	Q72NE1
267671.LIC10239	Q72VQ7
267671.LIC10067	Q72W70
267671.LIC20049	Q75FY2
267671.LIC20037	Q75FZ4
267671.LIC12296	Q72Q18
267671.LIC11982	Q72QX6
267671.LIC11900	Q72R49
267671.LIC11298	Q72SS7
267671.LIC10650	Q72UK7
267671.LIC10718	Q72UD9
267671.LIC11076	Q72TE5
267671.LIC13244	Q72ME4
267671.LIC10237	Q72VQ9
267671.LIC10192	Q72VV4
267671.LIC12492	Q72PH9
267671.LIC20217	Q75FH2
267671.LIC20129	Q75FQ3
267671.LIC20010	Q75G05
267671.LIC13437	Q72LV6
267671.LIC12438	Q72PN0
267671.LIC10509	Q72UZ4
267671.LIC11696	Q72RP8
267671.LIC11442	Q72SE1
267671.LIC11092	Q72TC9
267671.LIC13412	Q72LY1
267671.LIC13510	Q72QG0
267671.LIC11622	Q72RW6
267671.LIC10942	Q72TS5
267671.LIC12925	Q72NB1
267671.LIC12215	Q72Q97
267671.LIC11212	Q72T10
267671.LIC10932	Q72TT5
267671.LIC13286	Q72MA2
267671.LIC10484	Q72V19
267671.LIC10234	Q72VR2
267671.LIC13171	Q72MM2
267671.LIC20057	Q75FX4
267671.LIC10413	Q72V88
267671.LIC13207	Q72MI0
267671.LIC10603	Q72UQ4
267671.LIC20159	Q75FM3
267671.LIC10299	Q72VJ8
267671.LIC10110	Q72W30
267671.LIC20115	Q75FR6
267671.LIC10441	Q72V61
267671.LIC10213	Q72VT3
267671.LIC20127	Q75FQ5
267671.LIC20015	Q75G00
267671.LIC13383	Q72M10
267671.LIC11888	Q72R60
267671.LIC11343	Q72SN6
267671.LIC11321	Q72SQ4
267671.LIC11046	Q72TH5
267671.LIC10632	Q72UM5
267671.LIC12605	Q72P71
267671.LIC12327	Q72PY8
267671.LIC11803	Q72RE3
267671.LIC11531	Q72S55
267671.LIC10779	Q72U82
267671.LIC12896	Q72ND8
267671.LIC12519	Q72PF2
267671.LIC12427	Q72PP1
267671.LIC12119	Q72QJ4
267671.LIC11237	Q72SY5
267671.LIC11202	Q72T19
267671.LIC10784	Q72U78
267671.LIC11332	Q72SP5
267671.LIC10507	Q72UZ6
267671.LIC10478	Q72V25
267671.LIC11468	Q72SB6
267671.LIC11705	Q72RP0
267671.LIC11503	Q72S81
267671.LIC12945	Q72N91
267671.LIC10660	Q72UJ7
267671.LIC12741	Q72NT8
267671.LIC11441	Q72SE2
267671.LIC11073	Q72TE8
267671.LIC12055	Q72QQ7
267671.LIC11567	Q72S20
267671.LIC20172	Q75FL0
267671.LIC11572	Q72S15
267671.LIC13414	Q72LX9
267671.LIC10661	Q72UJ6
267671.LIC13470	Q72LT0
267671.LIC12222	Q72Q90
267671.LIC11873	Q72R75
267671.LIC10137	Q72W04
267671.LIC10056	Q72W81
267671.LIC11393	Q72SI9
267671.LIC12186	Q72QC6
267671.LIC10261	Q72VN5
267671.LIC12602	Q72P74
267671.LIC11551	Q72S35
267671.LIC11199	Q72T22
267671.LIC10593	Q72UR4
267671.LIC10348	Q72VE9
267671.LIC13433	Q72LW0
267671.LIC12392	Q72PS5
267671.LIC10943	Q72TS4
267671.LIC10869	Q72TZ5
267671.LIC10563	Q72UU4
267671.LIC11373	Q3V899
267671.LIC13400	Q72LZ3
267671.LIC12112	Q72QK1
267671.LIC10459	Q72V44
267671.LIC12799	Q72NN3
267671.LIC12085	Q72QM8
267671.LIC13451	Q72MJ3
267671.LIC10109	Q72W31
267671.LIC13046	Q72MZ3
267671.LIC10551	Q72UV6
267671.LIC20196	Q75FI8
267671.LIC11674	Q72RR8
267671.LIC10823	Q72U41
267671.LIC12106	Q72QK7
267671.LIC13447	Q72LU6
267671.LIC12062	Q72QQ1
267671.LIC12042	Q72QS0
267671.LIC11504	Q72S80
267671.LIC11702	Q72RP3
267671.LIC10722	Q72UD5
267671.LIC13227	Q72MG0
267671.LIC20230	Q75FG0
267671.LIC12700	Q72NX8
267671.LIC12069	Q72QP4
267671.LIC11712	Q72RN3
267671.LIC11376	Q72SK5
267671.LIC12279	Q72Q35
267671.LIC11857	Q72R91
267671.LIC11333	Q72SP4
267671.LIC13308	Q72M82
267671.LIC10502	Q72V01
267671.LIC10417	Q72V84
267671.LIC11499	Q72S85
267671.LIC11054	Q72TG7
267671.LIC12447	Q72PM2
267671.LIC11860	Q72R88
267671.LIC10146	Q72VZ5
267671.LIC20018	Q75FZ7
267671.LIC11224	Q72SZ8
267671.LIC13382	Q72M11
267671.LIC12954	Q72N83
267671.LIC10052	Q72W85
267671.LIC11083	Q72TD8
267671.LIC10927	Q72TT9
267671.LIC11733	Q72RL2
267671.LIC10818	Q72U46
267671.LIC13122	Q72MS0
267671.LIC12078	Q72QN5
267671.LIC11269	Q72SV3
267671.LIC10036	Q72WA1
267671.LIC10305	Q72VJ2
267671.LIC20269	Q75FC5
267671.LIC20053	Q75FX8
267671.LIC11326	Q72SP9
267671.LIC13241	Q72ME7
267671.LIC13481	Q72LS0
267671.LIC13457	Q72LU2
267671.LIC11547	Q72S39
267671.LIC10714	Q72UE3
267671.LIC12955	Q72N82
267671.LIC11170	Q72T51
267671.LIC10663	Q72UJ4
267671.LIC10500	Q72V03
267671.LIC12344	Q72PX3
267671.LIC10423	Q72V78
267671.LIC12060	Q72QQ3
267671.LIC11878	Q72R70
267671.LIC11372	Q72SK7
267671.LIC10940	Q72TS7
267671.LIC12737	Q72NU2
267671.LIC12255	Q72Q58
267671.LIC11890	Q72R58
267671.LIC11568	Q72S19
267671.LIC10518	Q72UY5
267671.LIC10283	Q72VL4
267671.LIC12487	Q72PI4
267671.LIC12149	Q72QG4
267671.LIC12367	Q72PV0
267671.LIC11229	Q72SZ3
267671.LIC12947	Q72N89
267671.LIC10222	Q72VS4
267671.LIC11658	Q72RT2
267671.LIC12534	Q72PD7
267671.LIC10005	Q72WD2
267671.LIC13044	Q72MZ5
267671.LIC11409	Q72SH3
267671.LIC11280	Q72SU3
267671.LIC12926	Q72NB0
267671.LIC12314	Q72Q01
267671.LIC11818	Q72RC8
267671.LIC10262	Q72VN4
267671.LIC10232	Q72VR4
267671.LIC20094	Q75FT7
267671.LIC12740	Q72NT9
267671.LIC11727	Q72RL8
267671.LIC11901	Q72R48
267671.LIC10680	Q72UH7
267671.LIC20178	Q75FK4
267671.LIC10208	Q72VT8
267671.LIC12706	Q72NX2
267671.LIC11080	Q72TE1
267671.LIC10531	Q72UX6
267671.LIC10390	Q72VB1
267671.LIC20100	Q75FT1
267671.LIC10900	Q72TW4
267671.LIC10099	Q72W41
267671.LIC10723	Q72UD4
267671.LIC13463	Q72LT6
267671.LIC12881	Q72NF3
267671.LIC10281	Q72VL6
267671.LIC10313	Q72VI4
267671.LIC11156	Q72T65
267671.LIC11377	Q72SK4
267671.LIC10089	Q72W51
267671.LIC12497	Q72PH4
267671.LIC12210	Q72QA2
267671.LIC11470	Q72SB4
267671.LIC11893	Q72R55
267671.LIC12722	Q72NV7
267671.LIC12699	Q72NX9
267671.LIC12002	Q72QV6
267671.LIC10082	Q72W56
267671.LIC11387	Q72SJ5
267671.LIC12889	Q72NE5
267671.LIC11639	Q72RU9
267671.LIC12494	Q72PH7
267671.LIC12425	Q72PP3
267671.LIC12219	Q72Q93
267671.LIC11994	Q72QW4
267671.LIC11077	Q72TE4
267671.LIC10123	Q72W18
267671.LIC13060	Q72MX9
267671.LIC12083	Q72QN0
267671.LIC20191	Q75FJ1
267671.LIC12987	Q72N51
267671.LIC13090	Q72MU9
267671.LIC11839	Q72RA9
267671.LIC10069	Q72W68
267671.LIC11729	Q72RL6
267671.LIC12452	Q72PL8
267671.LIC12077	Q72QN6
267671.LIC11952	Q72R00
267671.LIC10075	Q72W62
267671.LIC10634	Q72UM3
267671.LIC13222	Q72MG5
267671.LIC12289	Q72Q25
267671.LIC10487	Q72V16
267671.LIC11262	Q72SW0
267671.LIC12174	Q72QD8
267671.LIC12459	Q72PL2
267671.LIC12284	Q72Q30
267671.LIC11771	Q72RH4
267671.LIC10621	Q72UN6
267671.LIC20026	Q75G18
267671.LIC11656	Q72RT4
267671.LIC12953	Q72N84
267671.LIC12048	Q72QR4
267671.LIC11763	Q72RI2
267671.LIC11670	Q72RS2
267671.LIC11126	Q72T95
267671.LIC12049	Q72QR3
267671.LIC11692	Q72RQ2
267671.LIC11362	Q72SL7
267671.LIC10901	Q72TW3
267671.LIC10807	Q72U57
267671.LIC12989	Q72N49
267671.LIC12382	Q72PT5
267671.LIC12293	Q72Q21
267671.LIC11620	Q72RW8
267671.LIC10765	Q72U96
267671.LIC10477	Q72V26
267671.LIC12282	Q72Q32
267671.LIC11502	Q72S82
267671.LIC11033	Q72TI8
267671.LIC13021	Q72N17
267671.LIC11749	Q72RJ6
267671.LIC11580	Q72S07
267671.LIC11367	Q72SL2
267671.LIC10434	Q72V68
267671.LIC12412	Q72PQ6
267671.LIC11735	Q72RL0
267671.LIC11186	Q72T35
267671.LIC13370	Q72M21
267671.LIC11738	Q72RK7
267671.LIC10422	Q72V79
267671.LIC11165	Q72T56
267671.LIC12477	Q72PJ4
267671.LIC11859	Q72R89
267671.LIC11730	Q72RL5
267671.LIC11537	Q72S49
267671.LIC13374	Q72M17
267671.LIC12646	Q72P30
267671.LIC10615	Q72UP2
267671.LIC13296	Q72M92
267671.LIC12793	Q72NN9
267671.LIC10787	Q72U75
267671.LIC12686	Q72NZ1
267671.LIC10594	Q72UR3
267671.LIC12969	Q72N68
267671.LIC12930	Q72NA6
267671.LIC12885	Q72NE9
267671.LIC11370	Q72SK9
267671.LIC11091	Q72TD0
267671.LIC10034	Q72WA3
267671.LIC13115	Q72MS7
267671.LIC11849	Q72R99
267671.LIC10469	Q72V34
267671.LIC10921	Q72TU5
267671.LIC11013	Q72TK6
267671.LIC12929	Q72NA7
267671.LIC11842	Q72RA6
267671.LIC11218	Q72T04
267671.LIC10097	Q72W43
267671.LIC10202	Q72VU4
267671.LIC12685	Q72NZ2
267671.LIC10786	Q72U76
267671.LIC10914	Q72TV2
267671.LIC10761	Q72UA0
267671.LIC20200	Q75G22
267671.LIC10117	Q72W24
267671.LIC10210	Q72VT6
267671.LIC10623	Q72UN4
267671.LIC11687	Q72RQ7
267671.LIC11542	Q72S44
267671.LIC12761	Q72NR8
267671.LIC10008	Q72WC9
267671.LIC11785	Q72RG0
267671.LIC12728	Q72NV1
267671.LIC11544	Q72S42
267671.LIC10556	Q72UV1
267671.LIC10506	Q72UZ7
267671.LIC20002	Q75G11
267671.LIC10617	Q72UP0
267671.LIC13377	Q72M15
267671.LIC13003	Q72N35
267671.LIC12998	Q72N40
267671.LIC11879	Q72R69
267671.LIC11676	Q72RR6
267671.LIC10533	Q72UX4
267671.LIC12250	Q72Q63
267671.LIC11532	Q72S54
267671.LIC10656	Q72UK1
267671.LIC20029	Q75G15
267671.LIC20007	Q75G08
267671.LIC11031	Q72SB1
267671.LIC11394	Q72SI8
267671.LIC10891	Q72TX3
267671.LIC12579	Q72P96
267671.LIC12823	Q72NL1
267671.LIC10840	Q72U24
267671.LIC20028	Q75G16
267671.LIC10825	Q72U39
267671.LIC12120	Q72QJ3
267671.LIC11404	Q72SH8
267671.LIC10829	Q72U35
267671.LIC10573	Q72UT4
267671.LIC10268	Q72VM9
267671.LIC13008	Q72N30
267671.LIC11279	Q72SU4
267671.LIC10875	Q72TY9
267671.LIC10275	Q72VM2
267671.LIC13069	Q72MX0
267671.LIC12991	Q72N47
267671.LIC11732	Q72RL3
267671.LIC11439	Q72SE4
267671.LIC11401	Q72SI1
267671.LIC10939	Q72TS8
267671.LIC10906	Q72TV8
267671.LIC10788	Q72U74
267671.LIC11008	Q72TL0
267671.LIC20009	Q75G06
267671.LIC10185	Q72VW1
267671.LIC10667	Q72UJ0
267671.LIC12441	Q72PM7
267671.LIC12275	Q72Q39
267671.LIC10087	Q72W53
267671.LIC20019	Q75FZ6
267671.LIC11814	Q72RD2
267671.LIC10508	Q72UZ5
267671.LIC10967	Q72TQ0
267671.LIC13150	Q72MP3
267671.LIC12974	Q72N64
267671.LIC12657	Q72P19
267671.LIC12117	Q72QJ6
267671.LIC10890	Q72TX4
267671.LIC10379	Q72VC2
267671.LIC12546	Q72PC5
267671.LIC12338	Q72PX9
267671.LIC11863	Q72R85
267671.LIC11897	Q72R51
267671.LIC12711	Q72NW7
267671.LIC12584	Q72P91
267671.LIC12451	Q72PL9
267671.LIC10611	Q72UP6
267671.LIC13300	Q72M90
267671.LIC12542	Q72PC9
267671.LIC10682	Q72UH5
267671.LIC12343	Q72PX4
267671.LIC11846	Q72RA2
267671.LIC10945	Q72TS2
267671.LIC10962	Q72TQ5
267671.LIC10980	Q72TN7
267671.LIC12116	Q72QJ7
267671.LIC13469	Q72LT1
267671.LIC20005	Q75G10
267671.LIC12183	Q72QC9
267671.LIC13000	Q72N38
267671.LIC10966	Q72TQ1
267671.LIC13262	Q72MC6
267671.LIC13230	Q72MF7
267671.LIC10418	Q72V83
267671.LIC11484	Q72SA0
267671.LIC10694	Q72UG3
267671.LIC12278	Q72Q36
267671.LIC11375	Q72SK6
267671.LIC10941	Q72TS6
267671.LIC11694	Q72RQ0
267671.LIC10456	Q72V47
267671.LIC20181	Q75FK1
267671.LIC12475	Q72PJ6
267671.LIC12321	Q72PZ4
267671.LIC12036	Q72QS3
267671.LIC11491	Q72S93
267671.LIC13442	Q72LV1
267671.LIC12583	Q72P92
267671.LIC10094	Q72W46
267671.LIC10284	Q72VL3
267671.LIC20088	Q75FU3
267671.LIC11562	Q3V897
267671.LIC13113	Q72MS9
267671.LIC13453	Q72MJ2
267671.LIC13064	Q72MX5
267671.LIC12758	Q72NS1
267671.LIC12658	Q72P18
267671.LIC12375	Q72PU2
267671.LIC11919	Q72R32
267671.LIC12304	Q72Q10
267671.LIC10510	Q72UZ3
267671.LIC10385	Q72VB6
267671.LIC13186	Q72MK7
267671.LIC12620	Q72P56
267671.LIC11303	Q72SS2
267671.LIC10935	Q72TT2
267671.LIC11159	Q72T62
267671.LIC13395	Q72LZ8
267671.LIC11310	Q72SR5
267671.LIC10830	Q72U34
267671.LIC20222	Q75FG7
267671.LIC12596	Q72P80
267671.LIC11928	Q72R23
267671.LIC10592	Q72UR5
267671.LIC10298	Q72VJ9
