353153.XP_810529.1	P18269
353153.XP_821117.1	P26796
353153.XP_810946.1	P26643
353153.XP_818851.1	P23632
353153.XP_805182.1	P26795
353153.XP_808676.1	Q4D2R9
353153.XP_819645.1	Q4DZ41
353153.XP_813753.1	Q4DHA1
353153.XP_821506.1	Q4E4I4
353153.XP_810370.1	Q4D7L5
353153.XP_805589.1	Q4CTY5
353153.XP_802499.1	Q27352
353153.XP_816690.1	P08562
353153.XP_804367.1	O96876
353153.XP_813815.1	P30190
353153.XP_818253.1	P52270
353153.XP_803313.1	Q4CNL4
353153.XP_816349.1	Q4DPN8
353153.XP_810600.1	Q9GT49
353153.XP_805296.1	P28593
353153.XP_815361.1	Q4DD50
353153.XP_814552.1	Q4DH43
353153.XP_815927.1	Q4CMF1
353153.XP_812745.1	Q4CZX3
353153.XP_813380.1	Q4CV19
353153.XP_812482.1	Q4DDL6
353153.XP_804277.1	Q4CQ74
353153.XP_809435.1	Q4D4X6
353153.XP_814347.1	Q4DC23
353153.XP_819305.1	Q4DKZ4
353153.XP_815346.1	Q4D5P4
353153.XP_821643.1	Q4E4Q8
353153.XP_805747.1	Q4CQU0
353153.XP_815061.1	Q4DDN8
353153.XP_818992.1	Q4DJZ6
353153.XP_813657.1	Q4DGZ5
353153.XP_818979.1	Q4CSC4
353153.XP_816407.1	Q4CUG4
353153.XP_810118.1	Q4D6W0
353153.XP_810117.1	Q4D6V9
353153.XP_808258.1	Q4CVG3
353153.XP_820080.1	Q4CRX5
353153.XP_822075.1	Q4E661
353153.XP_821266.1	Q4D4S1
353153.XP_813855.1	Q4CSL1
353153.XP_802970.1	Q4CMM4
353153.XP_812827.1	Q4DEL1
353153.XP_809990.1	Q4D6H7
353153.XP_804346.1	Q4CQE2
353153.XP_821229.1	Q4E3P1
353153.XP_816670.1	Q4DMK9
353153.XP_818586.1	Q4DW38
353153.XP_809596.1	Q4CYK5
353153.XP_813865.1	Q4DHL3
353153.XP_815991.1	Q4D766
353153.XP_820200.1	Q4E0Q3
353153.XP_819440.1	Q4CRF6
353153.XP_819516.1	Q4DAV9
353153.XP_812138.1	Q4DCN9
353153.XP_805386.1	Q4CTD6
353153.XP_817769.1	Q4DTP7
353153.XP_817770.1	Q4DTQ1
353153.XP_821507.1	Q4DXW6
353153.XP_811815.1	Q4DBS1
353153.XP_819379.1	Q4DYB0
353153.XP_811314.1	Q4D4S7
353153.XP_814355.1	Q4DIZ9
353153.XP_813796.1	Q4DHF0
353153.XP_821554.1	Q4E4N4
353153.XP_819000.1	Q4DGP0
353153.XP_808970.1	Q4D3L9
353153.XP_804178.1	Q4CLR3
353153.XP_814843.1	Q4CYE3
353153.XP_807372.1	Q4CRB0
353153.XP_814554.1	Q4DH47
353153.XP_819127.1	Q4DXN5
353153.XP_820291.1	Q4E0W5
353153.XP_816863.1	Q4DR54
353153.XP_809531.1	Q4CVG6
353153.XP_820177.1	Q4DW23
353153.XP_812421.1	Q4D8T4
353153.XP_805948.1	Q4CUZ4
353153.XP_810871.1	Q4D916
353153.XP_817058.1	Q4DEP1
353153.XP_813849.1	Q4DHJ6
353153.XP_810994.1	Q4D9E1
353153.XP_806250.1	Q4CRK9
353153.XP_814759.1	Q4D3Z6
353153.XP_810405.1	Q4D340
353153.XP_811507.1	Q4D1H8
353153.XP_808716.1	Q4D2V8
353153.XP_821769.1	Q4DDU4
353153.XP_808932.1	Q4D3H3
353153.XP_804552.1	Q4CQI6
353153.XP_817734.1	Q4DTN2
353153.XP_817381.1	Q4DL86
353153.XP_809750.1	Q4CU77
353153.XP_808871.1	Q4D3C2
353153.XP_815532.1	Q4DFS0
353153.XP_818125.1	Q4D2I4
353153.XP_804012.1	Q4CLV5
353153.XP_808052.1	Q4CYN7
353153.XP_814118.1	Q4DEG3
353153.XP_814350.1	Q4DC28
353153.XP_808037.1	Q4D0Z2
353153.XP_813468.1	Q4CRI9
353153.XP_815312.1	Q4D0B9
353153.XP_813054.1	Q4DE00
353153.XP_821785.1	Q4E5A0
353153.XP_809864.1	Q4CNF3
353153.XP_811029.1	Q4CNK3
353153.XP_804692.1	Q4CR28
353153.XP_815234.1	Q4DEP9
353153.XP_818959.1	Q4CKV3
353153.XP_811594.1	Q4CUW6
353153.XP_821863.1	Q4E1W9
353153.XP_817083.1	Q4DEI2
353153.XP_805656.1	Q4CRI8
353153.XP_819195.1	Q4DD81
353153.XP_819859.1	Q4D708
353153.XP_816268.1	Q4D207
353153.XP_819182.1	Q4DXV5
353153.XP_812804.1	Q4CRM4
353153.XP_811946.1	Q4CWD8
353153.XP_821870.1	Q4DN73
353153.XP_820272.1	Q4CQQ9
353153.XP_808186.1	Q4CRN6
353153.XP_813063.1	Q4DFB0
353153.XP_821753.1	Q4CPV7
353153.XP_809620.1	Q4D0U7
353153.XP_818448.1	Q4CSW4
353153.XP_812005.1	Q4D108
353153.XP_806886.1	Q4CX02
353153.XP_816015.1	Q4DJB6
353153.XP_812239.1	Q4DCY4
353153.XP_820455.1	Q4E1E4
353153.XP_814229.1	Q4CMC0
353153.XP_821047.1	Q4CVT7
353153.XP_804964.1	Q4CS61
353153.XP_809131.1	Q4CQ10
353153.XP_809841.1	Q4CR82
353153.XP_808661.1	Q4CVZ2
353153.XP_817369.1	Q4CXT8
353153.XP_821726.1	Q4DBU9
353153.XP_811804.1	Q4D7I0
353153.XP_817095.1	Q4D205
353153.XP_814892.1	Q4DBM7
353153.XP_809829.1	Q4D621
353153.XP_819629.1	Q4DKZ2
353153.XP_818680.1	Q4CRJ8
353153.XP_805320.1	Q4CT68
353153.XP_807961.1	Q4CV38
353153.XP_804594.1	Q4CR40
353153.XP_814844.1	Q4CYE4
353153.XP_809018.1	Q4CPS3
353153.XP_817797.1	Q4D491
353153.XP_807785.1	Q4D083
353153.XP_819535.1	Q4DLA7
353153.XP_815762.1	Q4DN07
353153.XP_821185.1	Q4E3K5
353153.XP_820052.1	Q4E078
353153.XP_808041.1	Q4D0Y4
353153.XP_820224.1	Q4D1W7
353153.XP_820718.1	Q4D4K7
353153.XP_815536.1	Q4DHA9
353153.XP_821530.1	Q4DWX0
353153.XP_806218.1	Q4CVR5
353153.XP_820689.1	Q4DAX0
353153.XP_807232.1	Q4CW73
353153.XP_811259.1	Q4DA48
353153.XP_803995.1	Q4CPD8
353153.XP_818456.1	Q4D7B4
353153.XP_816582.1	Q4DFV9
353153.XP_813622.1	Q4DGW5
353153.XP_807532.1	Q4CZH3
353153.XP_810483.1	Q4D7Y8
353153.XP_817079.1	Q4CM27
353153.XP_817200.1	Q4DGB1
353153.XP_815631.1	Q4CZE5
353153.XP_809758.1	Q4D5V4
353153.XP_816021.1	Q4D456
353153.XP_817086.1	Q4DEH9
353153.XP_818317.1	Q4DTK6
353153.XP_811420.1	Q4CV79
353153.XP_815435.1	Q4DJ29
353153.XP_821731.1	Q4DWL0
353153.XP_806455.1	Q4D0J9
353153.XP_809804.1	Q4D604
353153.XP_815551.1	Q4DHA8
353153.XP_810489.1	Q4D3A7
353153.XP_810627.1	Q4D8B5
353153.XP_804322.1	Q4CPY1
353153.XP_815090.1	Q4CZP4
353153.XP_814496.1	Q4CUU5
353153.XP_820298.1	Q4CQ04
353153.XP_810187.1	Q4CVQ9
353153.XP_808328.1	Q4CXR4
353153.XP_817607.1	Q4D445
353153.XP_817785.1	Q4D492
353153.XP_818343.1	Q4DVC6
353153.XP_803982.1	Q4CN74
353153.XP_814141.1	Q4D8K4
353153.XP_819714.1	Q4DTX6
353153.XP_817562.1	Q4DT45
353153.XP_816256.1	Q4D214
353153.XP_808072.1	Q4CTR5
353153.XP_813942.1	Q4DHT0
353153.XP_817941.1	Q4D4K0
353153.XP_817930.1	Q4DG45
353153.XP_818937.1	Q4DX54
353153.XP_808753.1	Q4D300
353153.XP_804806.1	Q4CRQ5
353153.XP_820285.1	Q4CS91
353153.XP_812004.1	Q4CRD0
353153.XP_813719.1	Q4D9J1
353153.XP_812392.1	Q4DDD8
353153.XP_815029.1	Q4CTE9
353153.XP_815707.1	Q4DMW7
353153.XP_811022.1	Q4D5K2
353153.XP_804500.1	Q4CQU7
353153.XP_812389.1	Q4DDC5
353153.XP_819788.1	Q4DZG4
353153.XP_817764.1	Q4CVX9
353153.XP_808572.1	Q4CUY7
353153.XP_807252.1	Q4CUZ5
353153.XP_809810.1	Q4D259
353153.XP_821357.1	Q4D7R0
353153.XP_816464.1	Q4DQ26
353153.XP_820037.1	Q4E093
353153.XP_818144.1	Q4D0D5
353153.XP_820042.1	Q4E088
353153.XP_813438.1	Q4D439
353153.XP_814674.1	Q4DJX1
353153.XP_806633.1	Q4CTR1
353153.XP_806754.1	Q4CXA2
353153.XP_814263.1	Q4DFZ4
353153.XP_820219.1	Q4CXX4
353153.XP_821874.1	Q4E5J2
353153.XP_809858.1	Q4D654
353153.XP_816930.1	Q4DLP4
353153.XP_813058.1	Q4D2K4
353153.XP_812377.1	Q4DDD9
353153.XP_809736.1	Q4CZ46
353153.XP_817949.1	Q4D2P8
353153.XP_819204.1	Q4D729
353153.XP_818051.1	Q4DHW9
353153.XP_809523.1	Q4CSQ1
353153.XP_814402.1	Q4DJ48
353153.XP_810342.1	Q4CLQ9
353153.XP_816659.1	Q4DML2
353153.XP_813134.1	Q4DC04
353153.XP_809169.1	Q4CN92
353153.XP_810459.1	Q4CZU1
353153.XP_808097.1	Q4D143
353153.XP_816449.1	Q4DPS5
353153.XP_817609.1	Q4D441
353153.XP_817561.1	Q4DT46
353153.XP_806249.1	Q4CV26
353153.XP_806782.1	Q4CXD3
353153.XP_813875.1	Q4D8A5
353153.XP_819960.1	Q4DLK0
353153.XP_808198.1	Q4D1E6
353153.XP_822124.1	Q4CSJ1
353153.XP_816787.1	Q4DEF3
353153.XP_808040.1	Q4D0Y5
353153.XP_818238.1	Q4CZW1
353153.XP_818826.1	Q4DAT0
353153.XP_803710.1	Q4CNZ5
353153.XP_812755.1	Q4CSB3
353153.XP_807634.1	Q4CZS7
353153.XP_806274.1	Q4CVW8
353153.XP_812917.1	Q4DCM8
353153.XP_810931.1	Q4D3V1
353153.XP_820797.1	Q4DBE4
353153.XP_819790.1	Q4DM75
353153.XP_817153.1	Q4CX77
353153.XP_813012.1	Q4CXI5
353153.XP_811325.1	Q4DAC7
353153.XP_805236.1	Q4CSY1
353153.XP_812798.1	Q4DEK4
353153.XP_811689.1	Q4D6A5
353153.XP_802784.1	Q4CM36
353153.XP_810352.1	Q4D0S1
353153.XP_809557.1	Q4D4I9
353153.XP_816080.1	Q4D898
353153.XP_808199.1	Q4D1E5
353153.XP_808309.1	Q4D1Q8
353153.XP_813879.1	Q4D8A3
353153.XP_814073.1	Q4DB26
353153.XP_812578.1	Q4CT35
353153.XP_821044.1	Q4CZ18
353153.XP_818122.1	Q4D712
353153.XP_821825.1	Q4CNV2
353153.XP_806471.1	Q4CWG9
353153.XP_820525.1	Q4DDA3
353153.XP_808522.1	Q4CTW4
353153.XP_812904.1	Q4CU39
353153.XP_814102.1	Q4CW49
353153.XP_820751.1	Q4DKJ4
353153.XP_818986.1	Q4D6I5
353153.XP_812388.1	Q4DDC6
353153.XP_806489.1	Q4CSR9
353153.XP_808306.1	Q4D1Q2
353153.XP_813721.1	Q4CLJ5
353153.XP_810628.1	Q4D8D3
353153.XP_808983.1	Q4D3M9
353153.XP_809589.1	Q4D2H9
353153.XP_806411.1	Q4CPL6
353153.XP_812159.1	Q4D9I4
353153.XP_806295.1	Q4CRJ0
353153.XP_818655.1	Q4D7U5
353153.XP_815861.1	Q4DN94
353153.XP_819190.1	Q4DXU6
353153.XP_819350.1	Q4DVF4
353153.XP_820801.1	Q4E2E0
353153.XP_805728.1	Q4CUC8
353153.XP_809563.1	Q4D1A9
353153.XP_815675.1	Q4CRE2
353153.XP_818972.1	Q4DGP4
353153.XP_813794.1	Q4DCP1
353153.XP_807842.1	Q4D0D9
353153.XP_814979.1	Q4DKS9
353153.XP_809753.1	Q4D5N8
353153.XP_809558.1	Q4D4I8
353153.XP_809799.1	Q4CUQ3
353153.XP_810552.1	Q4CWD6
353153.XP_807300.1	Q4CYU3
353153.XP_808093.1	Q4CSZ2
353153.XP_808066.1	Q4CZL0
353153.XP_812661.1	Q4CW22
353153.XP_821468.1	Q4E4E7
353153.XP_816486.1	Q4DQ49
353153.XP_810151.1	Q4D6Z6
353153.XP_817171.1	Q4DGH7
353153.XP_808047.1	Q4D0Y6
353153.XP_805511.1	Q4CTQ8
353153.XP_805928.1	Q4CRP5
353153.XP_808028.1	Q4D0Y0
353153.XP_817766.1	Q4CRI4
353153.XP_808355.1	Q4D1V1
353153.XP_814770.1	Q4D3Z9
353153.XP_814693.1	Q4CU61
353153.XP_805296.1	I6LED1
353153.XP_816463.1	Q8ST54
353153.XP_809156.1	Q69EZ4
353153.XP_808031.1	Q6WAT5
353153.XP_805296.1	Q95NJ4
353153.XP_814034.1	A0A0A0Q3U7
353153.XP_805296.1	Q95NM3
353153.XP_805296.1	I6LED6
353153.XP_813657.1	Q8ST48
353153.XP_805296.1	Q0IK04
353153.XP_816690.1	Q8STF3
353153.XP_805296.1	Q95NT5
353153.XP_809933.1	Q8I7T4
353153.XP_805296.1	Q95NP3
353153.XP_806218.1	O96763
353153.XP_807181.1	Q27794
353153.XP_816670.1	K4DU81
353153.XP_820870.1	O61088
353153.XP_808093.1	A0A0C5AWD8
353153.XP_808093.1	A0A0C5AZS5
353153.XP_818614.1	K4E123
353153.XP_815327.1	Q8T5T8
353153.XP_821609.1	Q27335
353153.XP_808093.1	A0A0C5AU29
353153.XP_806666.1	A0A0C5BV55
353153.XP_808093.1	A0A0C5AWD5
353153.XP_806268.1	H2CSL0
353153.XP_809229.1	I3QEU1
353153.XP_815082.1	U5XNT1
353153.XP_805843.1	U5XRH8
353153.XP_806268.1	U5XMM0
353153.XP_812226.1	I6Q1A4
353153.XP_812157.1	H2CSD1
353153.XP_814885.1	G0Z1H8
353153.XP_815327.1	Q0IK63
353153.XP_812157.1	Q2TJ65
353153.XP_806268.1	U5XQP8
353153.XP_804328.1	A5PGW1
353153.XP_820895.1	G4WJ10
353153.XP_821603.1	G0Z1C6
353153.XP_814733.1	G0Z193
353153.XP_820889.1	G0Z1X7
353153.XP_819811.1	A8W105
353153.XP_819758.1	I3QEE5
353153.XP_820967.1	I3QEF1
353153.XP_805410.1	Q6ULN5
353153.XP_820895.1	G4WJA3
353153.XP_814034.1	H2CRU7
353153.XP_820895.1	H2CRY9
353153.XP_821969.1	J7JVF4
353153.XP_820895.1	A0A068F641
353153.XP_820895.1	G4WJA0
353153.XP_812157.1	A8W189
353153.XP_813774.1	G0Z1Z2
353153.XP_805426.1	A0A088CGQ6
353153.XP_820895.1	H2CRX2
353153.XP_805843.1	H2CS98
353153.XP_820553.1	Q7YSG9
353153.XP_820895.1	I7CR48
353153.XP_816016.1	Q8T8D9
353153.XP_816888.1	S5RGR3
353153.XP_806417.1	I3QEY1
353153.XP_820895.1	G4WJ87
353153.XP_820895.1	J7JZ39
353153.XP_807380.1	G0Z1H2
353153.XP_812556.1	G0Z1K0
353153.XP_812004.1	A0A024A3Q4
353153.XP_816888.1	S5RGR9
353153.XP_813173.1	I3QEZ6
353153.XP_809552.1	H2CSH4
353153.XP_820895.1	Q867V7
353153.XP_821969.1	Q867F9
353153.XP_815861.1	Q9U8F8
353153.XP_820895.1	I6RDT6
353153.XP_820895.1	Q867V6
353153.XP_819811.1	A8W0W6
353153.XP_812157.1	H2CSD6
353153.XP_808932.1	O61032
353153.XP_812157.1	Q2TJ60
353153.XP_815082.1	A0A0A0Q623
353153.XP_814670.1	G0Z101
353153.XP_820889.1	G0Z1X5
353153.XP_820895.1	J7K276
353153.XP_812157.1	A0A0A0Q4Z5
353153.XP_819758.1	I3QEE7
353153.XP_804009.1	I3QF49
353153.XP_812157.1	Q2TJ61
353153.XP_808292.1	G0Z124
353153.XP_820895.1	I7CCD9
353153.XP_812157.1	H2CSE9
353153.XP_818578.1	B5TYS0
353153.XP_820895.1	J7K1I1
353153.XP_820895.1	Q868B3
353153.XP_820942.1	G0Z196
353153.XP_807380.1	G0Z1G7
353153.XP_820895.1	J7JVA3
353153.XP_818577.1	Q8STI2
353153.XP_807270.1	G0Z1S6
353153.XP_808343.1	I3QE25
353153.XP_820967.1	I3QEF2
353153.XP_806417.1	I3QEX5
353153.XP_809552.1	H2CSI3
353153.XP_819221.1	I3QES9
353153.XP_819811.1	H2CS42
353153.XP_816888.1	S5RC79
353153.XP_805752.1	H2CS12
353153.XP_808343.1	I3QE20
353153.XP_813173.1	I3QF12
353153.XP_805177.1	G0Z1J4
353153.XP_820967.1	I3QEI3
353153.XP_814628.1	I3QEB9
353153.XP_820334.1	G0Z114
353153.XP_814628.1	I3QEC0
353153.XP_813774.1	G0Z1Y7
353153.XP_821969.1	H2CRX7
353153.XP_813434.1	I3QE30
353153.XP_819429.1	H6VNV0
353153.XP_816035.1	I3QFF1
353153.XP_816035.1	I3QFD6
353153.XP_805666.1	G0Z1S5
353153.XP_821219.1	I3QEM9
353153.XP_809229.1	H2CRS2
353153.XP_820967.1	I3QEG3
353153.XP_819877.1	Q56VA9
353153.XP_812556.1	G0Z1J3
353153.XP_802245.1	I3QEP4
353153.XP_812633.1	H2CSA9
353153.XP_818982.1	S5R9J5
353153.XP_815327.1	D3JL86
353153.XP_817956.1	K4DY24
353153.XP_810043.1	G0Z0Y1
353153.XP_802864.1	I3QF93
353153.XP_804009.1	I3QF52
353153.XP_808648.1	K4DSN1
353153.XP_821918.1	G0Z137
353153.XP_819700.1	Q9N619
353153.XP_814885.1	D3JLB5
353153.XP_807380.1	Q26950
353153.XP_813434.1	I3QE03
353153.XP_814431.1	A0A088CGF5
353153.XP_817055.1	G0Z156
353153.XP_809552.1	H2CSI9
353153.XP_819877.1	D5JAB3
353153.XP_815327.1	Q95NS0
353153.XP_821603.1	G0Z1B9
353153.XP_820883.1	G0Z1U0
353153.XP_820889.1	G0Z1W2
353153.XP_820174.1	Q9N6N3
353153.XP_807276.1	Q9N6R4
353153.XP_821219.1	M1KK91
353153.XP_804155.1	I3QEQ5
353153.XP_819221.1	I3QET2
353153.XP_807262.1	H9AZG3
353153.XP_814628.1	I3QEB1
353153.XP_815327.1	I6LEA5
353153.XP_814885.1	D3JLD2
353153.XP_819440.1	H9AZH5
353153.XP_815327.1	I6LEA3
353153.XP_806268.1	U5XQ67
353153.XP_820967.1	I3QEG0
353153.XP_817738.1	V5JFT8
353153.XP_808955.1	A5PGW5
353153.XP_821950.1	G0Z1V6
353153.XP_804155.1	I3QEP0
353153.XP_813336.1	Q9BH24
353153.XP_818579.1	D0QZN3
353153.XP_816015.1	Q6B9P3
353153.XP_815327.1	H9AZH1
353153.XP_804217.1	A5YQ13
353153.XP_802537.1	I3QEQ9
353153.XP_804155.1	I3QEP6
353153.XP_812389.1	A5YQ20
353153.XP_805951.1	I3PL41
353153.XP_815343.1	A0S624
353153.XP_816035.1	G4WJU3
353153.XP_811351.1	K4DNJ6
353153.XP_820967.1	I3QEE1
353153.XP_811824.1	K4DQA9
353153.XP_808343.1	I3QE05
353153.XP_812389.1	A5YQI8
353153.XP_806809.1	I3QEX1
353153.XP_812389.1	A5YQ03
353153.XP_806194.1	A5YQ05
353153.XP_818982.1	S5R9G7
353153.XP_809229.1	U5XMY7
353153.XP_814034.1	U5XN65
353153.XP_811133.1	G0Z105
353153.XP_817766.1	Q94799
353153.XP_819301.1	A5YRC6
353153.XP_812004.1	A0A024A3P0
353153.XP_812389.1	A5YQJ7
353153.XP_815327.1	Q95NI3
353153.XP_821969.1	Q867E0
353153.XP_812110.1	G0Z0X6
353153.XP_809229.1	I3QEV6
353153.XP_820871.1	O61087
353153.XP_812389.1	A5YQD0
353153.XP_816888.1	S5RW42
353153.XP_806268.1	U5XNH3
353153.XP_820872.1	O61086
353153.XP_820274.1	I3QE79
353153.XP_808914.1	G0Z1E4
353153.XP_805843.1	U5XN94
353153.XP_805843.1	U5XNA5
353153.XP_813173.1	I3QF11
353153.XP_821603.1	K4DRH6
353153.XP_811565.1	G0Z0X3
353153.XP_807924.1	G0Z1Q4
353153.XP_808292.1	G0Z141
353153.XP_820210.1	I3QEN0
353153.XP_814885.1	G0Z1G8
353153.XP_810645.1	I6PZV7
353153.XP_820895.1	C8CBG0
353153.XP_812556.1	G0Z1J5
353153.XP_805177.1	G0Z1K8
353153.XP_819221.1	I3QER0
353153.XP_818982.1	S5RYB1
353153.XP_817293.1	G0Z213
353153.XP_809497.1	I3QDY1
353153.XP_815082.1	U5XR49
353153.XP_813434.1	I3QE27
353153.XP_811038.1	A8W1B7
353153.XP_813796.1	D4N1Q7
353153.XP_805410.1	Q6ULN7
353153.XP_815082.1	U5XQI2
353153.XP_820174.1	O46364
353153.XP_810043.1	G0Z100
353153.XP_821603.1	G0Z1B4
353153.XP_817374.1	G0Z1I9
353153.XP_810645.1	I6PZV2
353153.XP_813434.1	I3QE04
353153.XP_821186.1	I3QF32
353153.XP_802993.1	E7L6Y0
353153.XP_817028.1	K4DSA4
353153.XP_820174.1	O46349
353153.XP_815082.1	H2CS76
353153.XP_806739.1	A0A088CH35
353153.XP_820895.1	J7JVB6
353153.XP_804734.1	K4E5W6
353153.XP_805843.1	H2CSB0
353153.XP_820895.1	J7JVC8
353153.XP_811627.1	K4DSA9
353153.XP_821114.1	K4DYS6
353153.XP_818453.1	K4DXY7
353153.XP_802864.1	I3QF95
353153.XP_821918.1	G0Z145
353153.XP_814030.1	A8W1G1
353153.XP_815082.1	H2CS84
353153.XP_815237.1	Q867I2
353153.XP_821038.1	G1ECB4
353153.XP_803099.1	G1ECG8
353153.XP_812385.1	K4E3I6
353153.XP_816685.1	K4DRZ9
353153.XP_821603.1	G0Z1C9
353153.XP_812389.1	Q27227
353153.XP_818136.1	K4DTR5
353153.XP_811038.1	H2CSE3
353153.XP_816888.1	S5RC84
353153.XP_816888.1	S5R9G0
353153.XP_820895.1	Q86LQ8
353153.XP_806739.1	O79469
353153.XP_810043.1	G0Z0Z4
353153.XP_822081.1	G0Z1A7
353153.XP_821038.1	G1ECB3
353153.XP_806062.1	K4DTU2
353153.XP_813796.1	D4N1Q8
353153.XP_821964.1	G0Z1X6
353153.XP_816589.1	K4DS44
353153.XP_819877.1	Q56VB1
353153.XP_815738.1	G0Z203
353153.XP_821623.1	Q8WQR2
353153.XP_805843.1	H2CS97
353153.XP_815082.1	U5XN06
353153.XP_805584.1	O46348
353153.XP_808168.1	Q867I4
353153.XP_805752.1	U5XMN7
353153.XP_803099.1	G1ECF2
353153.XP_812157.1	U5XR43
353153.XP_815267.1	C9DS93
353153.XP_814885.1	D3JLD5
353153.XP_809830.1	O18658
353153.XP_811200.1	I3QE61
353153.XP_821219.1	I3QEJ5
353153.XP_818982.1	S5RCC9
353153.XP_819758.1	I3QEE0
353153.XP_804155.1	I3QEP2
353153.XP_819439.1	I6LEB6
353153.XP_815428.1	Q6Y656
353153.XP_820174.1	I3PL56
353153.XP_806809.1	I3QEY7
353153.XP_819404.1	K4DJK1
353153.XP_803003.1	K9JF40
353153.XP_821038.1	Q6WB04
353153.XP_805825.1	O46353
353153.XP_802537.1	I3QET6
353153.XP_815082.1	U5XQK3
353153.XP_811786.1	Q867T6
353153.XP_808932.1	D0VAV8
353153.XP_814034.1	U5XRF3
353153.XP_819221.1	I3QER2
353153.XP_815082.1	H2CS77
353153.XP_816035.1	I3QFD0
353153.XP_808343.1	I3QDZ9
353153.XP_809817.1	K4DT97
353153.XP_815082.1	U5XMZ0
353153.XP_819811.1	U5XQB6
353153.XP_805951.1	I3PL24
353153.XP_814034.1	U5XN00
353153.XP_820029.1	A0A076JK12
353153.XP_806268.1	U5XNH9
353153.XP_819811.1	H2CS44
353153.XP_808932.1	D0VAW4
353153.XP_814311.1	S5RGT7
353153.XP_820967.1	I3QEG6
353153.XP_802993.1	I3QF73
353153.XP_802245.1	I3QEQ6
353153.XP_820895.1	J7JV98
353153.XP_816035.1	I3QFD3
353153.XP_819811.1	U5XMR5
353153.XP_814034.1	U5XP16
353153.XP_815327.1	D3JL87
353153.XP_816035.1	I3QFF7
353153.XP_814034.1	U5XN38
353153.XP_809229.1	H2CRQ5
353153.XP_820883.1	G0Z1U9
353153.XP_821219.1	G4WJT3
353153.XP_820895.1	K4L8I0
353153.XP_821603.1	Q26875
353153.XP_815327.1	Q95NT2
353153.XP_812694.1	Q95NW3
353153.XP_820203.1	Q9GN79
353153.XP_812157.1	H2CSF8
353153.XP_814885.1	D3JLC3
353153.XP_820967.1	I3QED7
353153.XP_802537.1	I3QER5
353153.XP_812157.1	U5XRJ9
353153.XP_819877.1	D5JA95
353153.XP_806045.1	I3QDX6
353153.XP_821219.1	I3QEI9
353153.XP_806829.1	Q0IK33
353153.XP_812157.1	A8W1A3
353153.XP_802787.1	O97466
353153.XP_820895.1	C8CBF3
353153.XP_821950.1	G0Z1U5
353153.XP_821256.1	G0Z1P1
353153.XP_821042.1	Q9N6G3
353153.XP_820623.1	I3QE56
353153.XP_806809.1	I3QEX3
353153.XP_804249.1	I3QE71
353153.XP_821186.1	I3QF39
353153.XP_812467.1	O61084
353153.XP_817738.1	V5JG79
353153.XP_817738.1	V5JG80
353153.XP_804155.1	I3QEN7
353153.XP_819440.1	Q0IK13
353153.XP_807262.1	Q7YSU1
353153.XP_802993.1	I3QF74
353153.XP_802864.1	I3QF94
353153.XP_818982.1	S5RW64
353153.XP_819811.1	A8W0Z4
