158878.SAV2344	P65414
158878.SAV1375	P0A0A6
158878.SAV2262	Q7A2M4
158878.SAV2372	Q99RQ5
158878.SAV2550	Q99R86
158878.SAV1158	P68799
158878.SAV1156	Q99UV1
158878.SAV2441	Q99RJ0
158878.SAV1057	Q7A2T0
158878.SAV1216	P64136
158878.SAV2503	Q99RD2
158878.SAV0515	P64145
158878.SAV1063	Q99V34
158878.SAV2333	P60863
158878.SAV1732	Q99TD2
158878.SAV1893	Q99SZ3
158878.SAV1185	P63764
158878.SAV1276	P64164
158878.SAV1186	P0A029
158878.SAV1851	P64172
158878.SAV1554	P0A032
158878.SAV0772	P0A036
158878.SAV1687	P64180
158878.SAV0962	P64194
158878.SAV1900	P63488
158878.SAV1899	P64201
158878.SAV1901	P68807
158878.SAV0566	Q99W43
158878.SAV0833	P64213
158878.SAV1536	P64217
158878.SAV1535	P64219
158878.SAV1537	P64224
158878.SAV1357	Q99UC2
158878.SAV2256	P60943
158878.SAV2161	P65704
158878.SAV2154	P64227
158878.SAV0499	Q99WA4
158878.SAV1310	P60890
158878.SAV1302	Q99UH2
158878.SAV1301	P63741
158878.SAV2113	P66803
158878.SAV1474	P64190
158878.SAV2416	P65708
158878.SAV0775	P64269
158878.SAV1446	Q99U42
158878.SAV0659	Q932F1
158878.SAV0660	Q99VW1
158878.SAV1610	P64283
158878.SAV1581	P63189
158878.SAV1667	P63508
158878.SAV1864	Q99T15
158878.SAV2500	Q99RD4
158878.SAV1559	P67272
158878.SAV0391	P64296
158878.SAV1337	P60562
158878.SAV0006	Q932M0
158878.SAV0005	P66936
158878.SAV0551	P64312
158878.SAV1136	Q99UW8
158878.SAV0165	Q99X56
158878.SAV1672	P64330
158878.SAV1668	P64333
158878.SAV1670	P64340
158878.SAV1833	P64124
158878.SAV2679	P64348
158878.SAV2672	P64355
158878.SAV2674	P64359
158878.SAV2675	P64363
158878.SAV2673	P64361
158878.SAV2676	P64372
158878.SAV0724	P67724
158878.SAV2678	P63952
158878.SAV2680	P64379
158878.SAV2035	P0A0M1
158878.SAV2419	P0A071
158878.SAV2420	Q99RL1
158878.SAV0760	P60700
158878.SAV0510	P65827
158878.SAV0570	Q99W39
158878.SAV1582	P68792
158878.SAV2359	Q99RR8
158878.SAV2360	Q99RR7
158878.SAV0195	Q99X26
158878.SAV0512	P64400
158878.SAV1254	P63796
158878.SAV1253	P65796
158878.SAV2361	Q99RR6
158878.SAV2362	Q99RR5
158878.SAV1023	Q99V70
158878.SAV2334	P63570
158878.SAV0008	P64415
158878.SAV2330	P64417
158878.SAV2331	Q931G1
158878.SAV2666	Q99QX3
158878.SAV2668	Q99QX2
158878.SAV2669	Q931E4
158878.SAV2667	Q7A2K4
158878.SAV2665	Q7A2K5
158878.SAV1694	P65099
158878.SAV2346	P65102
158878.SAV2228	P65118
158878.SAV1269	P65133
158878.SAV1680	P65139
158878.SAV2061	Q99SJ1
158878.SAV2056	P65151
158878.SAV2053	P65156
158878.SAV0554	P63512
158878.SAV0390	P65169
158878.SAV2569	P65645
158878.SAV2638	Q7A2K6
158878.SAV1130	Q99UX4
158878.SAV1129	Q99UX5
158878.SAV1131	Q99UX3
158878.SAV1133	Q99UX1
158878.SAV1134	Q99UX0
158878.SAV1731	Q931P4
158878.SAV0251	P65176
158878.SAV0255	Q99WW8
158878.SAV0495	P65180
158878.SAV1260	P60476
158878.SAV2229	P65201
158878.SAV0035	P05057
158878.SAV1478	P63805
158878.SAV1209	P65219
158878.SAV1330	P65228
158878.SAV2119	P65230
158878.SAV0500	P65236
158878.SAV1697	Q99TG5
158878.SAV0482	P65248
158878.SAV2195	P65250
158878.SAV2194	P65646
158878.SAV2193	P65698
158878.SAV2192	P0A009
158878.SAV2189	P67767
158878.SAV2196	P67743
158878.SAV0241	P65255
158878.SAV2602	P65258
158878.SAV2524	P63940
158878.SAV1585	P65271
158878.SAV0964	P0A063
158878.SAV0965	P0A067
158878.SAV2057	P63476
158878.SAV2058	P65100
158878.SAV2059	P63435
158878.SAV2060	P65279
158878.SAV1339	P65819
158878.SAV0761	P60961
158878.SAV2671	P65288
158878.SAV0320	Q99WQ6
158878.SAV0924	P65285
158878.SAV0262	P60649
158878.SAV0263	P60641
158878.SAV1196	P65266
158878.SAV1016	Q99V76
158878.SAV0719	Q99VQ4
158878.SAV2004	Q99SN8
158878.SAV2005	Q931I5
158878.SAV2134	P65329
158878.SAV2335	Q99RT8
158878.SAV1632	Q7A2R2
158878.SAV0276	Q99WV0
158878.SAV1247	Q99UM3
158878.SAV0261	P60609
158878.SAV0260	P60612
158878.SAV1888	P0A078
158878.SAV1938	Q99QS1
158878.SAV2069	Q99SI6
158878.SAV2068	Q7A2N3
158878.SAV0524	P65205
158878.SAV2167	Q7A2M6
158878.SAV0998	P60184
158878.SAV0043	Q932L5
158878.SAV0043	P68262
158878.SAV0042	P0A0A9
158878.SAV1045	Q99V48
158878.SAV1043	Q99V50
158878.SAV1797	P63525
158878.SAV1471	P67061
158878.SAV0334	Q99WP2
158878.SAV0356	P65342
158878.SAV1790	P66766
158878.SAV0462	Q99WE1
158878.SAV0837	Q99VG8
158878.SAV0503	Q99WA0
158878.SAV0686	Q99VT5
158878.SAV1874	Q99T05
158878.SAV1304	P65354
158878.SAV1292	Q99UI1
158878.SAV0952	P60674
158878.SAV0621	Q932F5
158878.SAV0951	P60676
158878.SAV0623	Q99VZ1
158878.SAV0950	P60680
158878.SAV0624	Q99VZ0
158878.SAV0949	P60684
158878.SAV0625	Q99VY9
158878.SAV0948	P60688
158878.SAV0626	Q99VY8
158878.SAV0947	P60692
158878.SAV0627	Q99VY7
158878.SAV0946	P60696
158878.SAV0628	Q99VY6
158878.SAV1621	Q931Q6
158878.SAV2712	Q931E1
158878.SAV2711	P64229
158878.SAV1105	Q931T9
158878.SAV2268	Q931G4
158878.SAV2275	P65406
158878.SAV2274	P65394
158878.SAV2271	P65400
158878.SAV2269	P65404
158878.SAV2273	P65407
158878.SAV1360	Q99UB9
158878.SAV2365	P65421
158878.SAV2607	P65424
158878.SAV1182	P68782
158878.SAV1178	P65438
158878.SAV1401	Q99U85
158878.SAV1347	P68803
158878.SAV1361	P0A081
158878.SAV1424	P65445
158878.SAV1423	P65451
158878.SAV1362	Q931S1
158878.SAV2159	P63955
158878.SAV1599	Q99TQ0
158878.SAV2099	Q931H5
158878.SAV2124	P65456
158878.SAV0738	P65462
158878.SAV1740	P65474
158878.SAV1183	P0A089
158878.SAV1018	P65479
158878.SAV1418	P65481
158878.SAV1151	P63637
158878.SAV0191	Q99X30
158878.SAV1297	P65491
158878.SAV1144	P65495
158878.SAV1295	Q931S8
158878.SAV1594	P65501
158878.SAV1912	P65506
158878.SAV1007	P65776
158878.SAV0569	P65512
158878.SAV0929	Q99VE8
158878.SAV0315	P63949
158878.SAV0318	P65516
158878.SAV2388	Q99RP1
158878.SAV1469	P68869
158878.SAV0382	Q99WJ6
158878.SAV0695	P0A0J4
158878.SAV1436	Q99U52
158878.SAV0108	Q99XA5
158878.SAV1914	P0A092
158878.SAV2197	P66815
158878.SAV0730	P68811
158878.SAV1686	P67315
158878.SAV2392	Q931F6
158878.SAV2391	Q99RN8
158878.SAV1152	P64309
158878.SAV0815	Q99VJ0
158878.SAV1524	P65577
158878.SAV0535	P0A095
158878.SAV0185	P60295
158878.SAV0957	P60297
158878.SAV2567	Q99R71
158878.SAV1644	Q99TK9
158878.SAV1413	Q931R8
158878.SAV1412	Q99U75
158878.SAV1095	P65635
158878.SAV1093	P60089
158878.SAV1094	P0A0A1
158878.SAV0828	Q99VH8
158878.SAV1382	Q99UA0
158878.SAV1381	Q99UA1
158878.SAV1380	Q99UA2
158878.SAV1379	Q99UA3
158878.SAV2634	P65601
158878.SAV1169	P0A099
158878.SAV0974	Q99VB6
158878.SAV1503	Q99TZ0
158878.SAV2599	Q931E6
158878.SAV2598	P65658
158878.SAV2597	P65664
158878.SAV1355	Q931S2
158878.SAV1354	P66938
158878.SAV1791	P0A0B3
158878.SAV2690	P65676
158878.SAV1905	P64318
158878.SAV1906	Q931N1
158878.SAV2136	Q99SC3
158878.SAV1563	P67199
158878.SAV0519	P60797
158878.SAV0520	Q99W83
158878.SAV0743	P65805
158878.SAV1751	Q7A2R1
158878.SAV1861	Q99T18
158878.SAV1698	P65694
158878.SAV0227	Q99WZ6
158878.SAV0226	Q99WZ7
158878.SAV2491	Q99RE2
158878.SAV0773	P68819
158878.SAV1283	P63755
158878.SAV0142	Q99X73
158878.SAV1229	P65738
158878.SAV1353	P67163
158878.SAV2497	Q931E9
158878.SAV1274	Q99UJ8
158878.SAV1099	Q99V03
158878.SAV1919	P65752
158878.SAV0550	P60121
158878.SAV0954	Q99VD4
158878.SAV0031	P0A0C5
158878.SAV0031	P0A0C7
158878.SAV1578	P0A0P3
158878.SAV0573	Q99W36
158878.SAV1841	P60747
158878.SAV1386	P69878
158878.SAV1389	Q7A2S1
158878.SAV1084	Q931U2
158878.SAV0588	P65862
158878.SAV0189	Q99X32
158878.SAV1422	P60856
158878.SAV1083	P0A0E1
158878.SAV0502	P65867
158878.SAV2191	P0A0D3
158878.SAV2190	Q931G6
158878.SAV2158	P0A0D7
158878.SAV2156	Q99SA3
158878.SAV1881	Q99T00
158878.SAV2115	Q99SE3
158878.SAV2538	Q99R97
158878.SAV0192	Q99X29
158878.SAV1070	P65831
158878.SAV1074	P65895
158878.SAV1072	P65897
158878.SAV1071	P67721
158878.SAV1066	P65891
158878.SAV1908	Q99SX9
158878.SAV1073	P67543
158878.SAV0017	P65884
158878.SAV1065	Q99V32
158878.SAV1069	P65900
158878.SAV1068	P65904
158878.SAV1902	Q99SY5
158878.SAV1200	P65617
158878.SAV1201	P65905
158878.SAV1205	P65916
158878.SAV1204	P65595
158878.SAV2127	P65923
158878.SAV1258	P65935
158878.SAV1198	P65943
158878.SAVP032	P0A0J8
158878.SAVP032	P0A0J9
158878.SAVP031	P0A0N3
158878.SAVP031	P0A0N4
158878.SAV1060	Q99V37
158878.SAV1061	Q99V36
158878.SAV1059	Q99V38
158878.SAV1058	Q99V39
158878.SAV1640	P65950
158878.SAV0712	Q99VR1
158878.SAV0728	Q99VP5
158878.SAV1270	P65966
158878.SAV0269	Q99WV6
158878.SAV0270	P60946
158878.SAV1285	P68843
158878.SAV0004	P68861
158878.SAV1227	P64324
158878.SAV1566	P65985
158878.SAV0480	Q932G3
158878.SAV1449	P68816
158878.SAV1873	P66002
158878.SAV1634	Q931Q4
158878.SAV0029	P0A0C3
158878.SAV2046	P60385
158878.SAV2118	P66018
158878.SAV0754	Q99VM1
158878.SAV1769	Q99TA0
158878.SAV1239	P66655
158878.SAV1265	P67220
158878.SAV1767	P61595
158878.SAV0539	P66048
158878.SAV0537	P0A0F1
158878.SAV2218	Q99S51
158878.SAV2240	Q99S31
158878.SAV2231	P0A0F5
158878.SAV2243	Q99S28
158878.SAV2223	Q99S46
158878.SAV2234	Q99S37
158878.SAV1241	P66082
158878.SAV0538	P66091
158878.SAV1678	P66107
158878.SAV1647	Q99TK6
158878.SAV2245	Q99S26
158878.SAV2248	Q99S23
158878.SAV2239	P60734
158878.SAV0501	Q99WA2
158878.SAV1645	Q931Q3
158878.SAV1224	P66152
158878.SAV2242	P66172
158878.SAV2247	P60431
158878.SAV2232	P0A0F9
158878.SAV2120	P66195
158878.SAV1128	P66209
158878.SAV1551	P66227
158878.SAV1335	P66230
158878.SAV2714	P66252
158878.SAV1679	P66275
158878.SAV2227	P66298
158878.SAV2250	P60448
158878.SAV2249	P61058
158878.SAV2238	Q99S33
158878.SAV2235	Q99S36
158878.SAV0540	P66061
158878.SAV0015	P66317
158878.SAV0024	P0A0N6
158878.SAV0024	P0C1V0
158878.SAV1218	Q99UQ0
158878.SAV1233	Q931T1
158878.SAV1244	P66675
158878.SAV1140	Q99UW5
158878.SAV1089	Q99V09
158878.SAV1275	Q99UJ7
158878.SAV2713	P66688
158878.SAV1286	P67277
158878.SAV1504	P60196
158878.SAV2554	P63939
158878.SAV1764	Q99TA4
158878.SAV2336	P66694
158878.SAV2224	P66705
158878.SAV0542	Q932F8
158878.SAV0543	P60284
158878.SAV2128	P66714
158878.SAV1210	P66725
158878.SAV1259	P68785
158878.SAV2251	Q931G5
158878.SAV2225	P66356
158878.SAV0545	P0A0G7
158878.SAV2226	P66387
158878.SAV2237	P66411
158878.SAV1336	P66414
158878.SAV1273	Q99UJ9
158878.SAV1238	P66439
158878.SAV2241	Q99S30
158878.SAV0367	P66467
158878.SAV2246	P66493
158878.SAV1476	Q99U14
158878.SAV1586	Q99TR3
158878.SAV1575	P66520
158878.SAV1256	P66543
158878.SAV2244	P66552
158878.SAV1719	P66562
158878.SAV2233	P66578
158878.SAV0365	P66595
158878.SAV0546	P66615
158878.SAV2236	P66629
158878.SAV2217	P66645
158878.SAV2066	P66837
158878.SAV2065	P0A0H6
158878.SAV1221	P67681
158878.SAV0493	Q932G1
158878.SAV2710	P64239
158878.SAV1179	P60485
158878.SAV1642	P66748
158878.SAV1641	P66757
158878.SAV1616	P67489
158878.SAV0544	P0A0G3
158878.SAV1656	P0A0D0
158878.SAV1656	P0A0D2
158878.SAV0706	Q99VR7
158878.SAV0705	Q99VR8
158878.SAV1944	P68801
158878.SAV1944	P68802
158878.SAV0616	Q7A2W5
158878.SAV2295	Q7A2M3
158878.SAV0112	Q7A2Y8
158878.SAV2498	Q99RD6
158878.SAV2499	Q99RD5
158878.SAV2267	Q99S05
158878.SAV0668	Q99VV3
158878.SAV2386	Q99RP3
158878.SAV1346	Q99UD0
158878.SAV1345	Q99UD1
158878.SAV2418	Q931F4
158878.SAV0116	Q932K9
158878.SAV0259	Q99WW4
158878.SAV2095	Q99SG2
158878.SAV1942	Q931M7
158878.SAV1495	P60223
158878.SAV1494	P60218
158878.SAV1916	Q99SX1
158878.SAV0561	Q99W48
158878.SAV0562	Q99W47
158878.SAV0563	Q932F7
158878.SAV0753	Q99VM2
158878.SAV2649	Q99QY9
158878.SAV0534	P0A0I1
158878.SAV0778	Q99VK3
158878.SAV2230	Q99S39
158878.SAV1189	Q99US7
158878.SAV1561	P0A0I8
158878.SAV1777	Q99T92
158878.SAV1553	P0A0J1
158878.SAV0133	P66830
158878.SAV0498	Q99WA5
158878.SAV0111	P0A015
158878.SAV1813	Q9FD08
158878.SAV1813	Q99T60
158878.SAV1812	Q7A2Q7
158878.SAV1811	Q7A2Q8
158878.SAV1810	Q7A2Q9
158878.SAV1809	Q99T61
158878.SAV2062	P67726
158878.SAV0997	P60378
158878.SAV2654	Q99QY4
158878.SAV1492	Q7A2R6
158878.SAV1491	Q99TZ9
158878.SAV2566	Q7A2K8
158878.SAV2299	Q99RX4
158878.SAV1983	Q931K4
158878.SAV0864	Q932A8
158878.SAV1048	Q99V45
158878.SAV1047	Q99V46
158878.SAV1046	Q99V47
158878.SAV1909	P65825
158878.SAV0782	P66862
158878.SAV0230	P07767
158878.SAV1245	P66871
158878.SAV1246	P66866
158878.SAV1618	P67010
158878.SAV0530	Q932G0
158878.SAV1630	P67014
158878.SAV0528	P67021
158878.SAV1138	P68847
158878.SAV1139	P67040
158878.SAV1565	P67034
158878.SAV1631	P60909
158878.SAV1193	P67508
158878.SAV0517	P67609
158878.SAV1760	P67512
158878.SAV0490	P67578
158878.SAV1454	P67571
158878.SAV1263	Q99UK9
158878.SAV0607	Q932F6
158878.SAV0009	P61083
158878.SAV1683	P67584
158878.SAV1663	Q931Q1
158878.SAV0996	P67592
158878.SAV1729	Q99TD5
158878.SAV0036	P0A043
158878.SAV0558	Q99W51
158878.SAV0636	Q99VX9
158878.SAV0637	Q7A2W2
158878.SAV0640	Q99VX6
158878.SAV2356	Q99RS0
158878.SAV1438	Q99U50
158878.SAV1406	P60107
158878.SAV2094	Q99SG3
158878.SAV0398	Q932I8
158878.SAV0398	Q53770
158878.SAV1639	P66904
158878.SAV2093	P66915
158878.SAV2091	P66918
158878.SAV1715	Q931P5
158878.SAV2092	P66922
158878.SAV1145	P0A0K4
158878.SAV0354	Q99WM3
158878.SAV1675	P66934
158878.SAV0509	Q99W94
158878.SAV1342	P66962
158878.SAV1659	P0A050
158878.SAV1659	P0A052
158878.SAV1658	P0A053
158878.SAV1658	P0A055
158878.SAV1658	P37375
158878.SAV1250	Q99UM1
158878.SAV2254	Q99S17
158878.SAV0774	P68822
158878.SAV1713	P66954
158878.SAVP025	P19775
158878.SAV1657	P0A047
158878.SAV1657	P0A049
158878.SAV1835	Q7A2Q4
158878.SAV1748	P67500
158878.SAV1240	P66970
158878.SAV1251	P64234
158878.SAV0531	Q99W72
158878.SAV1373	P66982
158878.SAV1372	P66986
158878.SAV1370	P66990
158878.SAV1369	P66996
158878.SAV1371	P67005
158878.SAV2219	P65848
158878.SAV1271	P65854
158878.SAV0764	P66010
158878.SAV2049	Q99SK3
158878.SAV2011	P06886
158878.SAV1365	Q99UB6
158878.SAV1427	P67046
158878.SAV1017	Q99V75
158878.SAV0581	P67075
158878.SAV0387	Q99WJ2
158878.SAV0683	P67390
158878.SAV2112	P67395
158878.SAV2290	P67403
158878.SAV2289	P67406
158878.SAV2288	P67718
158878.SAV2291	Q99RY1
158878.SAV2292	Q99RY0
158878.SAV2293	Q99RX9
158878.SAV1611	P67410
158878.SAV2171	Q99S95
158878.SAV0759	P63382
158878.SAV0758	P67424
158878.SAV1146	P67428
158878.SAV0575	Q99W34
158878.SAV0576	Q7A2W9
158878.SAV0577	Q7A2W8
158878.SAV1884	Q7A2Q1
158878.SAV1885	Q7A2Q0
158878.SAV0579	Q7A2W7
158878.SAV0019	Q7A305
158878.SAV0018	Q99XF3
158878.SAV0767	Q7A2U9
158878.SAV1252	P67630
158878.SAV1497	P0A0N9
158878.SAV0388	Q99WJ1
158878.SAV0096	Q99XB6
158878.SAV0097	Q99XB5
158878.SAV0098	Q99XB4
158878.SAV0099	Q99XB3
158878.SAV1001	Q931V3
158878.SAV1005	Q99V86
158878.SAV0100	Q99XB2
158878.SAV1015	Q99V77
158878.SAV0101	Q99XB1
158878.SAV1054	P0A0M6
158878.SAV1055	P0A0Q1
158878.SAV1090	Q931U1
158878.SAV1097	P67358
158878.SAV1106	Q931T8
158878.SAV1112	Q99UZ0
158878.SAV1122	P60416
158878.SAV1126	Q99UX8
158878.SAV1176	Q931T2
158878.SAV1177	Q99UT3
158878.SAV1187	Q99US8
158878.SAV1226	Q99UP2
158878.SAV1236	P67248
158878.SAV1262	P63332
158878.SAV1341	P60074
158878.SAV1343	P67290
158878.SAV1352	Q99UC6
158878.SAV1363	P67526
158878.SAV1398	Q99U87
158878.SAV1409	Q99U78
158878.SAV1421	Q99U66
158878.SAV1425	P67370
158878.SAV1428	Q99U60
158878.SAV1447	Q99U41
158878.SAV1462	P67759
158878.SAV1514	Q99TX9
158878.SAV1573	Q99TS3
158878.SAV1605	P67622
158878.SAV1615	Q99TN4
158878.SAV1617	P60358
158878.SAV1625	Q99TM4
158878.SAV1643	P67640
158878.SAV1707	P67325
158878.SAV1708	Q99TF5
158878.SAV1710	Q99TF3
158878.SAV1739	Q99TC5
158878.SAV1743	Q99TC1
158878.SAV1845	Q99T33
158878.SAV1846	Q99T32
158878.SAV1866	Q99T13
158878.SAV1867	Q99T12
158878.SAV1875	P0A0K0
158878.SAV1880	Q99T01
158878.SAV1889	Q7A2R3
158878.SAV1897	Q99SY9
158878.SAV1911	P61543
158878.SAV1921	Q99SW6
158878.SAV0210	Q932K6
158878.SAV2114	Q99SE4
158878.SAV2173	Q931G8
158878.SAV2204	Q99S65
158878.SAV0223	Q99X00
158878.SAV0224	Q99WZ9
158878.SAV2265	P62086
158878.SAV2305	Q99RW8
158878.SAV2339	P67148
158878.SAV2363	Q99RR4
158878.SAV2368	Q99RQ9
158878.SAV2478	Q99RF5
158878.SAV2481	Q99RF2
158878.SAV2485	Q99RE8
158878.SAV2486	Q99RE7
158878.SAV2487	Q99RE6
158878.SAV2523	Q99RB2
158878.SAV2573	P60075
158878.SAV2578	Q99R60
158878.SAV2581	Q99R57
158878.SAV2684	Q99QV7
158878.SAV2685	Q99QV6
158878.SAV2687	Q99QV4
158878.SAV2689	P67326
158878.SAV0325	P67343
158878.SAV0341	Q99WN6
158878.SAV0385	P60854
158878.SAV0436	Q99WG6
158878.SAV0437	Q99WG5
158878.SAV0438	Q99WG4
158878.SAV0440	Q932G7
158878.SAV0441	Q99WG1
158878.SAV0442	Q99WG0
158878.SAV0443	Q99WF9
158878.SAV0444	Q99WF8
158878.SAV0445	Q99WF7
158878.SAV0453	Q99WE9
158878.SAV0479	P67262
158878.SAV0488	P67351
158878.SAV0553	Q99W56
158878.SAV0583	Q99W28
158878.SAV0587	Q99W24
158878.SAV0593	Q99W19
158878.SAV0669	P67181
158878.SAV0681	P67336
158878.SAV0726	Q99VP7
158878.SAV0746	Q7A2V2
158878.SAV0749	P0A0N0
158878.SAV0752	Q99VM3
158878.SAV0765	P67108
158878.SAV0769	Q99VK8
158878.SAV0840	Q99VG5
158878.SAV0846	Q99VF9
158878.SAV0939	Q99VE2
158878.SAV0941	Q99VE0
158878.SAV0968	Q99VC2
158878.SAV0969	Q99VC1
158878.SAV0486	Q99WB7
158878.SAV1570	P67136
158878.SAV2090	P65628
158878.SAV1795	P67304
158878.SAV2186	P63475
158878.SAV0072	M1XGG0
158878.SAV0692	A0A0D1HMW0
158878.SAV2669	A0A0D1FIN2
158878.SAV1940	A0A0D1J4S5
158878.SAV2595	A0A0D1GZM7
158878.SAV1707	A0A0D1JRC9
158878.SAV1964	A0A0D1H207
158878.SAV0874	A0A0D1JK29
158878.SAV0427	A0A0D1IF48
158878.SAV2703	A0A0D1HGI4
158878.SAV1982	A0A0D1FT82
158878.SAV1323	A0A0D1EV22
158878.SAV2037	A0A0D1I0U7
158878.SAV2300	A0A0D1JYX4
158878.SAV2006	A0A0D1GUU7
158878.SAV0716	A0A0D1GV66
158878.SAV0057	M1XHA6
158878.SAV0147	A0A0D1JG66
