8364.ENSXETP00000049381	Q5XGC8
8364.ENSXETP00000022650	Q90X89
8364.ENSXETP00000062979	Q0V9N5
8364.ENSXETP00000051427	A4IGV6
8364.ENSXETP00000046041	Q28BZ7
8364.ENSXETP00000005911	Q5BL38
8364.ENSXETP00000019816	Q28HE9
8364.ENSXETP00000047617	A4IIM2
8364.ENSXETP00000058992	A0JM51
8364.ENSXETP00000011337	Q28I31
8364.ENSXETP00000043247	Q28HN9
8364.ENSXETP00000000357	Q5XGF1
8364.ENSXETP00000058492	Q28HU3
8364.ENSXETP00000036562	A9UL78
8364.ENSXETP00000060664	Q28FA8
8364.ENSXETP00000059626	Q0P4I1
8364.ENSXETP00000042582	Q28DH9
8364.ENSXETP00000007816	A2RRS8
8364.ENSXETP00000009560	Q28H54
8364.ENSXETP00000053781	Q6DIW0
8364.ENSXETP00000003906	Q5BKL1
8364.ENSXETP00000060131	A9UL63
8364.ENSXETP00000020655	Q28GG4
8364.ENSXETP00000052239	Q6P256
8364.ENSXETP00000041328	Q66IL0
8364.ENSXETP00000047854	Q6DF27
8364.ENSXETP00000041697	Q6DFS6
8364.ENSXETP00000016617	Q6NVL7
8364.ENSXETP00000038990	Q5BKM3
8364.ENSXETP00000059666	Q0V9B1
8364.ENSXETP00000057106	Q66JD9
8364.ENSXETP00000009700	Q0VFN8
8364.ENSXETP00000009442	Q28DW0
8364.ENSXETP00000044780	B1WB65
8364.ENSXETP00000046116	Q5I027
8364.ENSXETP00000020990	Q28DK1
8364.ENSXETP00000011639	Q6NX30
8364.ENSXETP00000061092	P0C921
8364.ENSXETP00000039959	Q28GJ2
8364.ENSXETP00000047995	Q5I0R4
8364.ENSXETP00000052241	Q0VFL4
8364.ENSXETP00000037625	Q0IHT1
8364.ENSXETP00000002682	Q640U3
8364.ENSXETP00000015427	Q66JK4
8364.ENSXETP00000054521	Q6P7K0
8364.ENSXETP00000056165	Q66KL0
8364.ENSXETP00000049937	Q28GV1
8364.ENSXETP00000014538	Q28HW9
8364.ENSXETP00000026302	Q6DK93
8364.ENSXETP00000018450	Q0VFK3
8364.ENSXETP00000040193	Q6P3N5
8364.ENSXETP00000002693	A0JPA0
8364.ENSXETP00000034721	A0JP85
8364.ENSXETP00000001564	A4II96
8364.ENSXETP00000028204	Q28HL3
8364.ENSXETP00000043834	Q6P4Z2
8364.ENSXETP00000055962	Q28CA1
8364.ENSXETP00000017668	Q0V9D9
8364.ENSXETP00000022402	Q6P4K7
8364.ENSXETP00000055308	Q6NX11
8364.ENSXETP00000026893	Q5U4Y2
8364.ENSXETP00000060074	Q5M8X6
8364.ENSXETP00000062838	A9JSD6
8364.ENSXETP00000062819	F6SNN2
8364.ENSXETP00000010225	Q28HC7
8364.ENSXETP00000035553	Q66JI9
8364.ENSXETP00000008596	Q28CM7
8364.ENSXETP00000006250	Q6DF46
8364.ENSXETP00000017076	A8WGE3
8364.ENSXETP00000053297	Q28BU7
8364.ENSXETP00000019036	Q28HY5
8364.ENSXETP00000046568	Q08D50
8364.ENSXETP00000026614	Q28CH2
8364.ENSXETP00000030200	A4IHR0
8364.ENSXETP00000019617	Q28FE0
8364.ENSXETP00000021783	Q66KE3
8364.ENSXETP00000017686	Q6P4X5
8364.ENSXETP00000024361	Q66JG2
8364.ENSXETP00000026727	Q0D2D7
8364.ENSXETP00000056329	Q28I13
8364.ENSXETP00000063665	Q08CW8
8364.ENSXETP00000063347	Q0V9M0
8364.ENSXETP00000058036	A4IGK3
8364.ENSXETP00000011183	Q640S2
8364.ENSXETP00000021426	A4QNB6
8364.ENSXETP00000060646	Q0IHT3
8364.ENSXETP00000022991	Q6DJ35
8364.ENSXETP00000038150	Q28C26
8364.ENSXETP00000060064	B0BM95
8364.ENSXETP00000043128	A8WGU8
8364.ENSXETP00000012648	Q28IV6
8364.ENSXETP00000050270	Q6P635
8364.ENSXETP00000019968	Q07G98
8364.ENSXETP00000054221	Q6P637
8364.ENSXETP00000027863	Q68FA2
8364.ENSXETP00000058946	A4IGI7
8364.ENSXETP00000017145	Q66KM5
8364.ENSXETP00000008736	Q5FW05
8364.ENSXETP00000024569	Q28ES8
8364.ENSXETP00000017945	A4IHP4
8364.ENSXETP00000044925	Q6P338
8364.ENSXETP00000056254	Q0V990
8364.ENSXETP00000032559	Q07FZ4
8364.ENSXETP00000031475	Q6NZH5
8364.ENSXETP00000040828	Q5CZL8
8364.ENSXETP00000018532	Q640U4
8364.ENSXETP00000049267	Q6PBF4
8364.ENSXETP00000054186	Q28H62
8364.ENSXETP00000009170	Q2KN96
8364.ENSXETP00000006972	F6S9E6
8364.ENSXETP00000026164	Q66KC9
8364.ENSXETP00000057345	Q28CI6
8364.ENSXETP00000027737	Q6P2Y2
8364.ENSXETP00000053944	Q76CY5
8364.ENSXETP00000005307	Q28FY7
8364.ENSXETP00000008194	Q0IJ31
8364.ENSXETP00000057335	Q6P886
8364.ENSXETP00000004775	Q5FW06
8364.ENSXETP00000008850	Q6NVS5
8364.ENSXETP00000006917	A4IH68
8364.ENSXETP00000006777	Q6GL75
8364.ENSXETP00000036490	A4IHK8
8364.ENSXETP00000013692	Q5FW42
8364.ENSXETP00000022598	Q28DR7
8364.ENSXETP00000028669	Q5BL73
8364.ENSXETP00000008619	Q66JG1
8364.ENSXETP00000029458	Q497D6
8364.ENSXETP00000056596	Q6P4J6
8364.ENSXETP00000038646	Q5XH91
8364.ENSXETP00000058366	Q0IHV9
8364.ENSXETP00000040228	Q68FB8
8364.ENSXETP00000061854	Q6DFN7
8364.ENSXETP00000038959	Q0VGW0
8364.ENSXETP00000004454	Q66KL4
8364.ENSXETP00000037319	F7DP49
8364.ENSXETP00000032965	Q6P342
8364.ENSXETP00000048094	Q28IU1
8364.ENSXETP00000019594	Q6P4M0
8364.ENSXETP00000057315	Q6DF30
8364.ENSXETP00000031363	A4IGM4
8364.ENSXETP00000057629	Q6P355
8364.ENSXETP00000034647	Q0P4R5
8364.ENSXETP00000062939	Q0V9R3
8364.ENSXETP00000003422	B1H2T2
8364.ENSXETP00000050382	B3DLA6
8364.ENSXETP00000026265	Q501I9
8364.ENSXETP00000020490	Q28I38
8364.ENSXETP00000031900	Q6DDA1
8364.ENSXETP00000024450	A9ULE9
8364.ENSXETP00000007496	Q28C55
8364.ENSXETP00000004858	P85119
8364.ENSXETP00000006216	A4QNP7
8364.ENSXETP00000016310	F6QXW0
8364.ENSXETP00000000099	Q28G94
8364.ENSXETP00000046731	Q6P642
8364.ENSXETP00000049978	Q6P2Y3
8364.ENSXETP00000058025	Q6P1U0
8364.ENSXETP00000048361	Q28J83
8364.ENSXETP00000051522	Q0P4G7
8364.ENSXETP00000063414	A4IHF8
8364.ENSXETP00000027823	Q6GL72
8364.ENSXETP00000009867	Q5EAK8
8364.ENSXETP00000030143	Q0V9S9
8364.ENSXETP00000013330	Q0VFE7
8364.ENSXETP00000026781	A9UM79
8364.ENSXETP00000028543	B1H3B4
8364.ENSXETP00000031497	Q6P1W0
8364.ENSXETP00000019301	Q28I29
8364.ENSXETP00000044495	A4IHU7
8364.ENSXETP00000024913	Q5XHB2
8364.ENSXETP00000057164	Q28BT8
8364.ENSXETP00000001971	Q67E00
8364.ENSXETP00000037494	Q05AS8
8364.ENSXETP00000037606	B1WAP7
8364.ENSXETP00000061382	Q28BM0
8364.ENSXETP00000031323	F6YVB9
8364.ENSXETP00000009660	F7EA39
8364.ENSXETP00000061979	Q28C91
8364.ENSXETP00000036500	Q0V9C9
8364.ENSXETP00000022912	Q28DT7
8364.ENSXETP00000022275	Q6DET9
8364.ENSXETP00000041262	A0JP75
8364.ENSXETP00000047681	A4II20
8364.ENSXETP00000024962	Q0V9J5
8364.ENSXETP00000006431	Q6P1V4
8364.ENSXETP00000056971	Q6P8G0
8364.ENSXETP00000062123	Q6P7L9
8364.ENSXETP00000016127	Q6P381
8364.ENSXETP00000011458	Q5EBE8
8364.ENSXETP00000017141	Q5I0B5
8364.ENSXETP00000056993	Q6P878
8364.ENSXETP00000017921	Q6DK91
8364.ENSXETP00000020681	Q28GD4
8364.ENSXETP00000018998	A4QNI8
8364.ENSXETP00000034904	Q5M8U1
8364.ENSXETP00000045738	Q6NVL5
8364.ENSXETP00000030460	Q28CX0
8364.ENSXETP00000053654	Q6P7K5
8364.ENSXETP00000007770	Q5M7J9
8364.ENSXETP00000037044	Q6PBF7
8364.ENSXETP00000055079	Q6GLC5
8364.ENSXETP00000024474	Q0IHY5
8364.ENSXETP00000060065	Q0IHN5
8364.ENSXETP00000057052	Q28ED6
8364.ENSXETP00000038936	Q6GLB9
8364.ENSXETP00000035990	B1H3D5
8364.ENSXETP00000027523	Q28C69
8364.ENSXETP00000035499	Q0VA77
8364.ENSXETP00000056121	Q6NVR1
8364.ENSXETP00000008111	Q28CF8
8364.ENSXETP00000057318	B2RYZ5
8364.ENSXETP00000025511	Q6DJR9
8364.ENSXETP00000005474	Q0IIS3
8364.ENSXETP00000023269	Q5XHA2
8364.ENSXETP00000023270	Q6P257
8364.ENSXETP00000034820	Q66JF2
8364.ENSXETP00000025940	P62498
8364.ENSXETP00000054300	Q6NVS2
8364.ENSXETP00000062950	Q28IT1
8364.ENSXETP00000062578	Q28DX1
8364.ENSXETP00000052598	Q28J34
8364.ENSXETP00000061870	B1H1F9
8364.ENSXETP00000059731	Q6DEZ7
8364.ENSXETP00000016677	Q28F19
8364.ENSXETP00000001210	Q6DIL6
8364.ENSXETP00000058262	Q66IK8
8364.ENSXETP00000032571	Q0P4Z1
8364.ENSXETP00000018637	A4QNC6
8364.ENSXETP00000014379	A4IHZ3
8364.ENSXETP00000064127	B0BM24
8364.ENSXETP00000049999	Q0VFM5
8364.ENSXETP00000059403	A8E5W8
8364.ENSXETP00000025347	Q6DIP8
8364.ENSXETP00000055455	A0JPB5
8364.ENSXETP00000032477	Q28HX0
8364.ENSXETP00000050983	Q6P4W0
8364.ENSXETP00000062860	Q6NX27
8364.ENSXETP00000056614	Q0VA42
8364.ENSXETP00000011922	A9JSQ8
8364.ENSXETP00000009421	Q28J76
8364.ENSXETP00000032238	A4IJ20
8364.ENSXETP00000007618	A0JPD7
8364.ENSXETP00000056804	Q5FW46
8364.ENSXETP00000063612	B0JZ89
8364.ENSXETP00000007322	Q28BK4
8364.ENSXETP00000015410	Q566M1
8364.ENSXETP00000050140	Q66JF7
8364.ENSXETP00000011553	A9JRM0
8364.ENSXETP00000041063	Q28DE0
8364.ENSXETP00000049183	B0BLS9
8364.ENSXETP00000001778	F7E235
8364.ENSXETP00000003088	Q0P4P2
8364.ENSXETP00000025830	B4F739
8364.ENSXETP00000037873	Q0D2D2
8364.ENSXETP00000040136	Q28GK6
8364.ENSXETP00000034875	F6Y9J3
8364.ENSXETP00000043856	Q5XGI3
8364.ENSXETP00000014663	B1H158
8364.ENSXETP00000049215	Q0P4W9
8364.ENSXETP00000048138	Q28G88
8364.ENSXETP00000035989	Q6DF11
8364.ENSXETP00000038311	B4F6I5
8364.ENSXETP00000034241	A4IHT0
8364.ENSXETP00000003686	A0JP80
8364.ENSXETP00000045788	Q6P4K5
8364.ENSXETP00000012652	Q5M7Q1
8364.ENSXETP00000042153	Q6GLC9
8364.ENSXETP00000026943	Q8AWH1
8364.ENSXETP00000056642	Q7T1R4
8364.ENSXETP00000055323	Q6P839
8364.ENSXETP00000001313	Q68F77
8364.ENSXETP00000035768	Q6NVT7
8364.ENSXETP00000036667	Q6F2E4
8364.ENSXETP00000023699	Q5M7L9
8364.ENSXETP00000003507	Q5WM45
8364.ENSXETP00000007706	Q28BS5
8364.ENSXETP00000045081	Q28GC4
8364.ENSXETP00000004118	Q6P2Z3
8364.ENSXETP00000011342	Q28HT3
8364.ENSXETP00000042292	Q5M7N6
8364.ENSXETP00000028887	Q28EM1
8364.ENSXETP00000049020	Q28F43
8364.ENSXETP00000036315	Q28G71
8364.ENSXETP00000046597	Q28H65
8364.ENSXETP00000036577	Q0P4Q4
8364.ENSXETP00000050012	Q0IJ35
8364.ENSXETP00000054793	B1H3B1
8364.ENSXETP00000038017	Q6A1G3
8364.ENSXETP00000033891	Q6A1G2
8364.ENSXETP00000016641	Q6NVP8
8364.ENSXETP00000006312	Q2HZX7
8364.ENSXETP00000005340	Q6P8A3
8364.ENSXETP00000052832	Q66IG8
8364.ENSXETP00000031072	Q5XGC0
8364.ENSXETP00000042154	Q5BJ56
8364.ENSXETP00000027115	Q5BL72
8364.ENSXETP00000031701	Q28D99
8364.ENSXETP00000036227	Q0VA39
8364.ENSXETP00000008001	Q6PBF6
8364.ENSXETP00000052038	Q5RJV1
8364.ENSXETP00000041743	Q0VFI5
8364.ENSXETP00000060383	Q63ZZ8
8364.ENSXETP00000035125	Q6P832
8364.ENSXETP00000035464	Q5BIZ2
8364.ENSXETP00000028398	Q0V9F1
8364.ENSXETP00000046760	A4QNE0
8364.ENSXETP00000054189	Q6P4M5
8364.ENSXETP00000034069	Q5BKK6
8364.ENSXETP00000046573	Q6NVA8
8364.ENSXETP00000004356	Q6DFP9
8364.ENSXETP00000057503	Q5M8L3
8364.ENSXETP00000062194	Q0VFA3
8364.ENSXETP00000015653	B4F6K2
8364.ENSXETP00000019548	Q5U4Q6
8364.ENSXETP00000024679	Q28ID3
8364.ENSXETP00000040315	B0BLT4
8364.ENSXETP00000041698	Q0VFM6
8364.ENSXETP00000013087	Q68EQ1
8364.ENSXETP00000057500	B0BML1
8364.ENSXETP00000005135	B3DM66
8364.ENSXETP00000033867	Q28FE5
8364.ENSXETP00000006591	Q0V9W0
8364.ENSXETP00000032859	Q6P824
8364.ENSXETP00000044714	Q5BJ53
8364.ENSXETP00000045249	Q28I42
8364.ENSXETP00000040135	Q6DF57
8364.ENSXETP00000044005	Q6P859
8364.ENSXETP00000027387	Q66II3
8364.ENSXETP00000014534	Q5M7R9
8364.ENSXETP00000060412	Q6GL65
8364.ENSXETP00000039215	A4IJ06
8364.ENSXETP00000004220	Q6GL87
8364.ENSXETP00000000253	A4IIV4
8364.ENSXETP00000030479	A4IIW5
8364.ENSXETP00000000516	Q66K99
8364.ENSXETP00000016187	Q5M8V6
8364.ENSXETP00000007515	Q0P4G6
8364.ENSXETP00000040639	B1WAR9
8364.ENSXETP00000034845	Q6NVM0
8364.ENSXETP00000002709	Q5BJ65
8364.ENSXETP00000063378	Q28D37
8364.ENSXETP00000058030	Q6P823
8364.ENSXETP00000063763	Q28DR4
8364.ENSXETP00000029095	Q28BK1
8364.ENSXETP00000002492	P08422
8364.ENSXETP00000002494	P07428
8364.ENSXETP00000054566	P07429
8364.ENSXETP00000053075	P08423
8364.ENSXETP00000005840	Q28DV3
8364.ENSXETP00000044353	B1H369
8364.ENSXETP00000052142	Q6P4K1
8364.ENSXETP00000057031	Q6DJ66
8364.ENSXETP00000061441	C0IN03
8364.ENSXETP00000028709	Q28DF1
8364.ENSXETP00000062036	Q5PPM5
8364.ENSXETP00000055937	Q6PBD4
8364.ENSXETP00000019915	Q28HA8
8364.ENSXETP00000019070	Q28J15
8364.ENSXETP00000017194	Q66KK8
8364.ENSXETP00000057734	Q8AWG6
8364.ENSXETP00000033364	Q28FR6
8364.ENSXETP00000022906	A4IGP0
8364.ENSXETP00000042472	Q28BZ2
8364.ENSXETP00000008705	Q0P4Y1
8364.ENSXETP00000033399	Q6DIJ5
8364.ENSXETP00000035272	Q6P7N4
8364.ENSXETP00000013886	Q5BL56
8364.ENSXETP00000021090	Q0P4W6
8364.ENSXETP00000032543	Q0V9P1
8364.ENSXETP00000027520	Q640A2
8364.ENSXETP00000007453	Q5M8W9
8364.ENSXETP00000063497	Q6P371
8364.ENSXETP00000007606	Q28IM6
8364.ENSXETP00000062603	Q5BKL0
8364.ENSXETP00000063676	Q66KC4
8364.ENSXETP00000019988	Q5FVX7
8364.ENSXETP00000030881	A0JP94
8364.ENSXETP00000041934	A1A5F2
8364.ENSXETP00000033992	A4IHA1
8364.ENSXETP00000062495	B1WAS2
8364.ENSXETP00000046755	Q68EP2
8364.ENSXETP00000045238	Q5M8L8
8364.ENSXETP00000003767	Q28IU6
8364.ENSXETP00000022209	Q0VA61
8364.ENSXETP00000053106	Q6DIH5
8364.ENSXETP00000042987	A4IIA2
8364.ENSXETP00000044625	Q688C4
8364.ENSXETP00000054646	Q6GL62
8364.ENSXETP00000030790	Q6PBC9
8364.ENSXETP00000003079	A8WGF4
8364.ENSXETP00000030049	B7ZTW1
8364.ENSXETP00000034697	Q28ET8
8364.ENSXETP00000042122	Q66KL7
8364.ENSXETP00000027320	Q5M8K8
8364.ENSXETP00000028939	Q28CW2
8364.ENSXETP00000029419	A4III8
8364.ENSXETP00000055345	Q28HX4
8364.ENSXETP00000038296	Q28DZ1
8364.ENSXETP00000021087	A0JPB4
8364.ENSXETP00000001376	Q5I0S8
8364.ENSXETP00000049823	F6S675
8364.ENSXETP00000059998	F7CYY5
8364.ENSXETP00000017934	Q28I39
8364.ENSXETP00000012482	Q28CL4
8364.ENSXETP00000033381	Q5M8G6
8364.ENSXETP00000014718	Q0IHP2
8364.ENSXETP00000018819	Q0IHV1
8364.ENSXETP00000029557	Q0V9G6
8364.ENSXETP00000032657	Q5U4Q2
8364.ENSXETP00000030789	Q0V9U1
8364.ENSXETP00000048774	F6U5F9
8364.ENSXETP00000057258	Q6P4Y6
8364.ENSXETP00000061991	Q6F2E3
8364.ENSXETP00000027698	Q66IK1
8364.ENSXETP00000012797	Q6NVN3
8364.ENSXETP00000019512	Q688D0
8364.ENSXETP00000006137	Q4LDQ3
8364.ENSXETP00000018162	Q0IHU5
8364.ENSXETP00000000280	Q6DF67
8364.ENSXETP00000049329	Q28CZ7
8364.ENSXETP00000006464	Q505H7
8364.ENSXETP00000022862	Q0P4S5
8364.ENSXETP00000001126	A8E4X8
8364.ENSXETP00000052078	Q08BT5
8364.ENSXETP00000044186	Q6P864
8364.ENSXETP00000060618	A4IH88
8364.ENSXETP00000057918	Q28F55
8364.ENSXETP00000002380	Q0IHW6
8364.ENSXETP00000061187	A0JMA9
8364.ENSXETP00000019414	Q0IIZ5
8364.ENSXETP00000013928	Q6P647
8364.ENSXETP00000061753	Q6P3P4
8364.ENSXETP00000035667	Q28H12
8364.ENSXETP00000034422	Q5U263
8364.ENSXETP00000047024	B2GUS6
8364.ENSXETP00000009677	Q0VFL3
8364.ENSXETP00000026683	B2GU58
8364.ENSXETP00000010161	Q6P3R1
8364.ENSXETP00000057858	Q28FL7
8364.ENSXETP00000017539	Q28GL2
8364.ENSXETP00000035576	Q28DE7
8364.ENSXETP00000009275	Q08CY1
8364.ENSXETP00000016578	Q0D2A9
8364.ENSXETP00000013576	Q5EB39
8364.ENSXETP00000060775	Q5XGI1
8364.ENSXETP00000035436	Q6DIZ8
8364.ENSXETP00000037655	A8KBH6
8364.ENSXETP00000053740	Q6NVM2
8364.ENSXETP00000020006	Q0P4V4
8364.ENSXETP00000050161	Q0V9C8
8364.ENSXETP00000003628	A8E5U3
8364.ENSXETP00000027398	A0JP86
8364.ENSXETP00000033005	A4IGL3
8364.ENSXETP00000051994	Q28G87
8364.ENSXETP00000048213	A4IHK6
8364.ENSXETP00000017424	Q5M7L2
8364.ENSXETP00000003595	Q6NVL6
8364.ENSXETP00000054765	Q6NVI7
8364.ENSXETP00000059944	Q0VA06
8364.ENSXETP00000005101	Q28DA8
8364.ENSXETP00000061102	B0BLW3
8364.ENSXETP00000060193	F7D3V9
8364.ENSXETP00000033400	A4IIW9
8364.ENSXETP00000058624	B7ZUL2
8364.ENSXETP00000011768	F6QEU4
8364.ENSXETP00000000785	Q0IHV2
8364.ENSXETP00000012870	Q5XGE9
8364.ENSXETP00000042100	Q6NZH4
8364.ENSXETP00000053520	Q6P828
8364.ENSXETP00000025326	Q6NVR5
8364.ENSXETP00000062645	Q0VGV9
8364.ENSXETP00000049930	Q0P4Y8
8364.ENSXETP00000050669	Q5FVB2
8364.ENSXETP00000053847	Q6DJ06
8364.ENSXETP00000026953	Q5EB47
8364.ENSXETP00000016481	Q28HF6
8364.ENSXETP00000037017	Q28C60
8364.ENSXETP00000061844	A4II83
8364.ENSXETP00000060744	Q28C74
8364.ENSXETP00000047077	A4IHY6
8364.ENSXETP00000051602	Q28CU0
8364.ENSXETP00000040773	Q6GLE8
8364.ENSXETP00000027052	Q5M8G4
8364.ENSXETP00000043212	Q0V9Y8
8364.ENSXETP00000014953	Q6NX28
8364.ENSXETP00000049449	Q68F79
8364.ENSXETP00000061120	A0JM56
8364.ENSXETP00000005025	Q6NVR8
8364.ENSXETP00000064076	A4IGZ4
8364.ENSXETP00000044287	Q0P4S0
8364.ENSXETP00000035110	Q5I0B4
