64091.VNG0309C	Q9HSB8
64091.VNG1262G	Q9HQ97
64091.VNG2056G	Q9HNK9
64091.VNG1997G	Q9HNQ2
64091.VNG1768G	Q9HP78
64091.VNG1001G	Q9HQU4
64091.VNG0259G	Q9HSF3
64091.VNG1031C	Q9HQS1
64091.VNG1724G	Q9HPA7
64091.VNG2045G	Q9HNL6
64091.VNG1727G	Q9HPA5
64091.VNG1797G	Q9HP55
64091.VNG1515G	Q9HPQ9
64091.VNG2203G	Q9HN88
64091.VNG1929G	Q9HNV4
64091.VNG2216G	Q9HN78
64091.VNG0303G	Q9HSC3
64091.VNG1682C	Q9HPD9
64091.VNG1686G	Q9HPD7
64091.VNG2367G	Q9HMV8
64091.VNG1081G	Q9HQN3
64091.VNG1297C	Q9HQ73
64091.VNG2420G	P57715
64091.VNG0327G	Q9HSA3
64091.VNG0085G	Q9HST4
64091.VNG1273G	Q9HQ89
64091.VNG1901C	Q9HNX6
64091.VNG0512G	Q9HRW4
64091.VNG1180G	Q9HQG0
64091.VNG2249G	Q9HN51
64091.VNG0159G	Q9HSM6
64091.VNG0163G	Q9HSM2
64091.VNG0172G	Q9HSL6
64091.VNG0424C	Q9HS36
64091.VNG1882G	Q9HNZ1
64091.VNG1883G	Q9HNZ0
64091.VNG2031G	Q9HNM7
64091.VNG1900C	Q9HNX7
64091.VNG0301C	Q9HSC4
64091.VNG1160G	P61136
64091.VNG0363G	Q9HS81
64091.VNG0147C	Q9HSN7
64091.VNG0548C	Q9HRT9
64091.VNG0171C	Q9HSL7
64091.VNG1986C	Q9HNR1
64091.VNG2661G	P0CW99
64091.VNG0510G	Q9HRW6
64091.VNG2000G	Q9HNP9
64091.VNG1478G	Q9HPT6
64091.VNG0730C	Q9HRF0
64091.VNG2256G	Q9HN45
64091.VNG1999H	Q9HNQ0
64091.VNG1793C	Q9HP57
64091.VNG2598G	Q9HMD2
64091.VNG1506G	Q9HPR5
64091.VNG2465C	Q9HMN2
64091.VNG0234C	Q9HSH0
64091.VNG1216G	Q9HQD1
64091.VNG0718C	Q9HRF9
64091.VNG2085G	Q9HNI8
64091.VNG1335G	Q9HQ46
64091.VNG1773G	Q9HP73
64091.VNG2254C	Q9HN47
64091.VNG1470G	Q9HPU3
64091.VNG0166G	P57697
64091.VNG0880G	Q9HR36
64091.VNG2255C	Q9HN46
64091.VNG0452G	Q9HS13
64091.VNG2482G	Q9HML8
64091.VNG0240a	P61414
64091.VNG1939G	Q9HNU7
64091.VNG1089G	Q9HQM6
64091.VNG0864G	Q9HR49
64091.VNG2371C	Q9HMV4
64091.VNG1945G	Q9HNU2
64091.VNG2533G	Q9HMH9
64091.VNG2507G	Q9HMK2
64091.VNG0448G	Q9HS16
64091.VNG2118G	Q9HNG2
64091.VNG1673G	Q9P9M3
64091.VNG1830G	Q9HP32
64091.VNG2015C	Q9HNN8
64091.VNG1406Gm	Q9HPZ2
64091.VNG0514C	Q9HRW3
64091.VNG2473G	Q9HMM4
64091.VNG1665G	Q9HPF2
64091.VNG2131G	Q9HNF0
64091.VNG1622G	Q9HPI4
64091.VNG2280G	Q9HN27
64091.VNG0777G	Q9HRB2
64091.VNG2126C	Q9HNF4
64091.VNG0630G	Q9HRM5
64091.VNG0099G	Q9HSS4
64091.VNG1104G	P13553
64091.VNG1108G	P05969
64091.VNG1103G	P05768
64091.VNG1138G	Q9HQJ3
64091.VNG1701G	O24787
64091.VNG0177G	Q9HSL2
64091.VNG1718G	P05971
64091.VNG1137G	Q9V2W0
64091.VNG1714G	P50562
64091.VNG1713G	Q9HPB6
64091.VNG1105G	P13575
64091.VNG1170G	Q9HQG8
64091.VNG1695G	P15008
64091.VNG1691G	Q06842
64091.VNG1159G	P61120
64091.VNG1702G	Q9HPC3
64091.VNG1698G	P22665
64091.VNG1692G	Q9HPD1
64091.VNG1716G	Q9HPB3
64091.VNG2467G	Q9HMN0
64091.VNG1711G	Q9HPB7
64091.VNG0239C	Q9HSG8
64091.VNG1494G	Q9HPS3
64091.VNG2469G	Q9HMM9
64091.VNG1689G	Q9HPD4
64091.VNG2076G	Q9HNJ5
64091.VNG0551G	Q9HRT6
64091.VNG1690G	Q9HPD3
64091.VNG1705G	P50558
64091.VNG1709G	Q9HPB8
64091.VNG1157G	Q9HQH8
64091.VNG2263G	Q9HN40
64091.VNG1984G	Q9HNR3
64091.VNG0255C	Q9HSF6
64091.VNG1149Cm	Q9HQI4
64091.VNG1699C	O24785
64091.VNG1279H	Q9HQ86
64091.VNG0599C	Q9HRP7
64091.VNG2239C	Q9HN60
64091.VNG2272G	Q9HN33
64091.VNG2664Gm	P0CX02
64091.VNG2662G	P0CX07
64091.VNG2665G	P0CX03
64091.VNG2666G	P0CX04
64091.VNG1136G	Q9HQJ4
64091.VNG2668G	P0CX06
64091.VNG1141G	Q9HQJ0
64091.VNG0860G	Q9HR53
64091.VNG1140G	Q9HQJ1
64091.VNG0237H	Q9HSG9
64091.VNG2648G	P48854
64091.VNG1134G	Q9HQJ5
64091.VNG2658G	P0CX00
64091.VNG1132G	Q9V2W4
64091.VNG1706G	Q9HPC0
64091.VNG0790G	Q9HRA2
64091.VNG1433G	Q9HPX1
64091.VNG1700G	O24786
64091.VNG1693G	P15010
64091.VNG2048G	Q9HNL4
64091.VNG2047G	Q9HNL5
64091.VNG0550G	Q9HRT7
64091.VNG1158G	P57710
64091.VNG1143G	P57713
64091.VNG0787G	Q9HRA5
64091.VNG1697G	P15009
64091.VNG1703G	Q9HPC2
64091.VNG1133G	Q9HQJ6
64091.VNG1715G	Q9HPB4
64091.VNG2514G	Q9HMJ5
64091.VNG2657G	P0CX01
64091.VNG1668G	Q9HPE9
64091.VNG1707G	Q9HPB9
64091.VNG1139Gm	Q9HQJ2
64091.VNG1165G	Q9HQH1
64091.VNG0732G	Q9HRE8
64091.VNG2604Gm	Q9HMC7
64091.VNG2251G	Q9HN50
64091.VNG0375G	Q9HS72
64091.VNG2599H	Q9HMD1
64091.VNG1719G	Q9HPB1
64091.VNG1190G	P09737
64091.VNG1332G	P09224
64091.VNG1367G	Q9HQ21
64091.VNG2459G	Q9HMN5
64091.VNG1541G	Q9HPP1
64091.VNG2584C	Q9HME3
64091.VNG1241G	Q9HQB2
64091.VNG2283G	Q9HN24
64091.VNG1097G	Q9HQL9
64091.VNG0461G	O07683
64091.VNG1153G	Q9HQI1
64091.VNG2504G	Q9HMK4
64091.VNG2505G	Q9HMK3
64091.VNG2005G	Q9HNP5
64091.VNG2190G	Q9HN97
64091.VNG2017G	Q9HNN7
64091.VNG2223G	Q9HN72
64091.VNG0326G	Q9HSA4
64091.VNG0403G	Q9HS52
64091.VNG2072G	Q9HNJ8
64091.VNG1835G	Q9HP27
64091.VNG2547G	Q9HMG9
64091.VNG2208G	Q9HN83
64091.VNG2232G	Q9HN66
64091.VNG2237G	Q9HN62
64091.VNG2243G	Q9HN56
64091.VNG2184G	Q9HNA2
64091.VNG0734G	Q9HRE6
64091.VNG0869G	Q9HR45
64091.VNG0315G	Q9HSB3
64091.VNG0254G	Q9HSF7
64091.VNG0757G	Q9HRC7
64091.VNG1587H	P0CX05
64091.VNG0715G	Q9HRG2
64091.VNG1299C	Q9HQ72
64091.VNG2011G	Q9HNP1
64091.VNG2226G	Q9HN70
64091.VNG2096G	Q9HNI0
64091.VNG1325C	Q9HQ52
64091.VNG2373G	Q9HMV2
64091.VNG0884G	Q9HR32
64091.VNG0885G	Q9HR31
64091.VNG1027G	Q9HQS4
64091.VNG2088G	P57705
64091.VNG0755C	Q9HRC8
64091.VNG1451C	Q9HPW0
64091.VNG1980C	Q9HNR6
64091.VNG0308Gm	Q9HSB9
64091.VNG0307G	Q9HSC0
64091.VNG0305G	Q9HSC1
64091.VNG1649G	Q9HPG3
64091.VNG1647G	Q9HPG5
64091.VNG0384G	Q9HS66
64091.VNG1648G	Q9HPG4
64091.VNG1646G	Q9HPG6
64091.VNG2003G	Q9HNP6
64091.VNG1729G	Q9HPA4
64091.VNG0243Cm	Q9HSG5
64091.VNG2075C	Q9HNJ6
64091.VNG1779C	Q9HP68
64091.VNG2305C	Q9HN05
64091.VNG1219G	Q9HQC9
64091.VNG2390G	Q9HMT9
64091.VNG2381G	Q9HMU5
64091.VNG2139G	Q9HNE3
64091.VNG2138G	Q9HNE4
64091.VNG2141G	Q9HNE1
64091.VNG2135G	Q9HNE7
64091.VNG2142G	Q9HNE0
64091.VNG2140G	Q9HNE2
64091.VNG2144G	Q9HND8
64091.VNG0066H	Q9HSU8
64091.VNG1038C	Q9HQR5
64091.VNG1110C	P17104
64091.VNG1111G	P17103
64091.VNG1115H	Q9HQK7
64091.VNG1264C	Q9HQ95
64091.VNG1336C	P20378
64091.VNG1401C	Q9HPZ6
64091.VNG1572C	Q9HPL8
64091.VNG1595C	Q9HPK2
64091.VNG1631G	Q9HPH7
64091.VNG1688C	Q06847
64091.VNG0195H	Q9HSJ8
64091.VNG2008H	Q9HNP3
64091.VNG2021C	Q9HNN4
64091.VNG2112C	Q9HNG7
64091.VNG2119C	Q9HNG1
64091.VNG2274C	Q9HN31
64091.VNG2317G	Q9HMZ4
64091.VNG2366C	Q9HMV9
64091.VNG2432C	Q9HMQ5
64091.VNG2452C	Q9HMP0
64091.VNG2543C	Q9HMH2
64091.VNG2608a	P58015
64091.VNG0746C	Q9HRD6
64091.VNG0879C	Q9HR37
64091.VNG0918H	P04137
64091.VNG1294G	Q9P9H4
64091.VNG1523G	O59634
64091.VNG0052H	Q47976
64091.VNG1719G	E3VPA0
64091.VNG2143G	Q48302
64091.VNG1128G	Q59455
64091.VNG1064H	Q48352
64091.VNG0887G	Q8U4S9
64091.VNG2654Gm	E3VNZ1
64091.VNG0887G	Q8U4T1
64091.VNG1157G	Q9HHC5
64091.VNG1157G	Q7M549
64091.VNG1442G	O93644
64091.VNG2473G	E3VP34
64091.VNG1914G	O50586
64091.VNG2138G	E3VNX2
64091.VNG1327G	F2Z639
64091.VNG2048G	Q7M550
64091.VNG1125G	Q59456
64091.VNG1160G	Q75WL1
64091.VNG1013G	O93642
64091.VNG2665G	C5NSC0
64091.VNG1856G	P71414
64091.VNG1395G	P71412
64091.VNG0793G	O93643
64091.VNG1719G	E3VP99
64091.VNG1759G	P71409
64091.VNG1653H	Q9HI34
64091.VNG2175H	O54648
64091.VNG0021H	O54664
64091.VNG0052H	O51972
64091.VNG0112H	Q9HI32
64091.VNG1651H	Q9HI31
64091.VNG0052H	O51966
64091.VNG1079G	Q9HQN4
64091.VNG0846C	Q9HR62
64091.VNG0828H	Q9HR75
64091.VNG0690C	Q9HRH7
64091.VNG0523G	Q9HRV8
64091.VNG0498C	Q9HRX8
64091.VNG0466C	Q9HS03
64091.VNG1193C	Q9HQE9
64091.VNG0518H	Q9HRW1
64091.VNG0044H	Q9HSW7
64091.VNG1233G	Q9HQC0
64091.VNG0427G	Q9HS33
64091.VNG0707C	Q9HRG7
64091.VNG0474G	Q9HRZ5
64091.VNG0438G	Q9HS23
64091.VNG0963G	Q9HQX3
64091.VNG1025H	Q9HQS6
64091.VNG0976G	Q9HQW5
64091.VNG0536G	Q9HRU8
64091.VNG0534C	Q9HRV0
64091.VNG0905G	Q9HR19
64091.VNG0450C	Q9HS15
64091.VNG0268C	Q9HSE6
64091.VNG1148G	Q9HQI5
64091.VNG0812G	Q9HR88
64091.VNG0572G	Q9HRS1
64091.VNG1187G	Q9HQF4
64091.VNG1088C	Q9HQM7
64091.VNG0142C	Q9HSP1
64091.VNG2155C	Q9HNC8
64091.VNG2122G	Q9HNF8
64091.VNG0256H	Q9HSF5
64091.VNG0794G	Q9HRA0
64091.VNG2214G	Q9HN79
64091.VNG1457C	Q9HPV4
64091.VNG0697H	Q9HRH4
64091.VNG1637G	Q9HPH3
64091.VNG0622H	Q9HRN2
64091.VNG1323C	Q9HQ54
64091.VNG1503C	Q9HPR7
64091.VNG1435G	Q9HPX0
64091.VNG1811G	Q9HP44
64091.VNG1523G	Q9HPQ5
64091.VNG1287C	Q9HQ79
64091.VNG0889G	Q9HR29
64091.VNG0322H	Q9HSA7
64091.VNG1524C	Q9HPQ4
64091.VNG0648G	Q9HRL1
64091.VNG1925H	Q9HNV7
64091.VNG1196H	Q9HQE7
64091.VNG0921G	Q9HR06
64091.VNG1866G	Q9HP03
64091.VNG2196G	Q9HN93
64091.VNG1839H	Q9HP24
64091.VNG1385G	Q9HQ06
64091.VNG0535C	Q9HRU9
64091.VNG1906H	Q9HNX1
64091.VNG0613H	Q9HRN7
64091.VNG0162G	Q9HSM3
64091.VNG1687C	Q9HPD6
64091.VNG0244H	Q9HSG4
64091.VNG2597C	Q9HMD3
64091.VNG2238C	Q9HN61
64091.VNG1578H	Q9HPL3
64091.VNG1448H	Q9HPW2
64091.VNG1450G	Q9HPW1
64091.VNG2616G	Q9HMB7
64091.VNG2153G	Q9HND0
64091.VNG1674H	Q9HPE6
64091.VNG1635G	Q9HPH4
64091.VNG1632G	Q9HPH6
64091.VNG2202H	Q9HN89
64091.VNG1650H	Q9HPG2
64091.VNG1345H	Q9HQ37
64091.VNG2560G	Q9HMG0
64091.VNG2273H	Q9HN32
64091.VNG2199H	Q9HN91
64091.VNG2299H	Q9HN09
64091.VNG2185H	Q9HNA1
64091.VNG1663C	Q9HPF4
64091.VNG1317H	Q9HQ58
64091.VNG2053G	Q9HNL1
64091.VNG1566G	Q9HPM2
64091.VNG1365C	Q9HQ23
64091.VNG1251G	Q9HQA5
64091.VNG2060G	Q9HNK7
64091.VNG1896C	Q9HNY0
64091.VNG1739G	Q9HP98
64091.VNG2531G	Q9HMI1
64091.VNG2413H	Q9HMS1
64091.VNG2105H	Q9HNH2
64091.VNG1899G	Q9HNX8
64091.VNG2637H	Q9HMA1
64091.VNG2378G	Q9HMU8
64091.VNG1405C	Q9HPZ4
64091.VNG1257H	Q9HQA0
64091.VNG1481G	Q9HPT3
64091.VNG0374G	Q9HS73
64091.VNG0784G	Q9HRA7
64091.VNG1306G	Q9HQ66
64091.VNG1468H	Q9HPU4
64091.VNG1181G	Q9HQF9
64091.VNG2512G	Q9HMJ7
64091.VNG2334C	Q9HMY1
64091.VNG2518C	Q9HMJ2
64091.VNG0311H	Q9HSB7
64091.VNG1296C	Q9HQ74
64091.VNG0753G	Q9HRD0
64091.VNG1379G	Q9HQ12
64091.VNG0280H	Q9HSE0
64091.VNG0819C	Q9HR82
64091.VNG1384H	Q9HQ07
64091.VNG0943C	Q9HQY7
64091.VNG0470G	Q9HRZ9
64091.VNG1771C	Q9HP75
64091.VNG0698H	Q9HRH3
64091.VNG1680G	Q9HPE1
64091.VNG1628G	Q9HPH9
64091.VNG0978H	Q9HQW4
64091.VNG1640H	Q9HPH1
64091.VNG0788H	Q9HRA4
64091.VNG1046H	Q9HQR0
64091.VNG0759H	Q9HRC5
64091.VNG0258H	Q9HSF4
64091.VNG0653G	Q9HRK7
64091.VNG0359C	Q9HS84
64091.VNG2230H	Q9HN68
64091.VNG1404G	Q9HPZ3
64091.VNG0937G	Q9HQZ2
64091.VNG1953C	Q9HNT5
64091.VNG1544G	Q9HPN8
64091.VNG2626H	Q9HMB0
64091.VNG2252G	Q9HN49
64091.VNG1557G	Q9HPM9
64091.VNG1017H	Q9HQT2
64091.VNG1454C	Q9HPV7
64091.VNG0941C	Q9HQY9
64091.VNG1787H	Q9HP61
64091.VNG1907H	Q9HNX0
64091.VNG1630H	Q9HPH8
64091.VNG2346G	Q9HMX1
64091.VNG1616C	Q9HPI8
64091.VNG1510C	Q9HPR3
64091.VNG1420H	Q9HPY1
64091.VNG0997G	Q9HQU8
64091.VNG1642H	Q9HPG9
64091.VNG2576H	Q9HME9
64091.VNG1735C	Q9HPA0
64091.VNG0608C	Q9HRP2
64091.VNG0640G	Q9HRL7
64091.VNG1029C	Q9HQS3
64091.VNG0617H	Q9HRN4
64091.VNG0264H	Q9HSF0
64091.VNG2342H	Q9HMX4
64091.VNG0530G	Q9HRV3
64091.VNG0140H	Q9HSP3
64091.VNG0179C	Q9HSL0
64091.VNG1000H	Q9HQU5
64091.VNG2563H	Q9HMF8
64091.VNG0521G	Q9HRV9
64091.VNG1641H	Q9HPH0
64091.VNG1809H	Q9HP45
64091.VNG1565G	Q9HPM3
64091.VNG0409C	Q9HS46
64091.VNG0090G	Q9HST2
64091.VNG0974G	F2Z6H5
64091.VNG1259G	P82854
64091.VNG0703H	Q9HRH0
64091.VNG0754C	Q9HRC9
64091.VNG1013G	Q9HQT5
64091.VNG0496H	Q9HRX9
64091.VNG0388C	Q9HS63
64091.VNG1101C	Q9HQL6
64091.VNG1280C	Q9HQ85
64091.VNG0467G	Q9HS02
64091.VNG0184H	Q9HSK6
64091.VNG1821G	Q9HP38
64091.VNG1205C	Q9HQE0
64091.VNG0780H	Q9HRA9
64091.VNG1721G	Q9HPA9
64091.VNG1726G	Q9HPA6
64091.VNG0061C	Q9HSV3
64091.VNG2522C	Q9HMI8
64091.VNG2181G	Q9HNA5
64091.VNG0932C	Q9HQZ7
64091.VNG0835G	Q9HR69
64091.VNG2497H	Q9HMK9
64091.VNG2344G	Q9HMX2
64091.VNG0575G	Q9HRR8
64091.VNG2426G	Q9HMQ9
64091.VNG2361G	Q9HMW2
64091.VNG0479G	Q9HRZ2
64091.VNG0436G	Q9HS26
64091.VNG1292H	Q9HQ76
64091.VNG2089H	Q9HNI4
64091.VNG2006C	Q9HNP4
64091.VNG0989C	Q9HQV5
64091.VNG1944C	Q9HNU1
64091.VNG1941C	Q9HNU5
64091.VNG1962C	Q9HNS9
64091.VNG2150G	Q9HND3
64091.VNG0503C	Q9HRX3
64091.VNG0442G	Q9HS20
64091.VNG0118H	Q9HSR1
64091.VNG0031H	Q9HSX9
64091.VNG1169C	Q9HQG9
64091.VNG1425H	Q9HPX8
64091.VNG2217G	Q9HN77
64091.VNG2086G	Q9HNI7
64091.VNG1791C	Q9HP58
64091.VNG0529H	Q9HRV4
64091.VNG0426G	Q9HS34
64091.VNG2594C	Q9HMD5
64091.VNG0062G	Q9HSV2
64091.VNG1520G	Q9HPQ6
64091.VNG1075G	Q9HQN6
64091.VNG1670C	Q9HPE8
64091.VNG0415G	Q9HS42
64091.VNG2532H	Q9HMI0
64091.VNG2529G	Q9HMI2
64091.VNG2483G	Q9HML7
64091.VNG2383G	Q9HMU4
64091.VNG0396C	Q9HS57
64091.VNG0032H	Q9HSX8
64091.VNG2468C	Q9HMM8
64091.VNG2444C	Q9HMP6
64091.VNG0488H	Q9HRY4
64091.VNG2613H	Q9HMC0
64091.VNG1194H	Q9HQE8
64091.VNG0799C	Q9HR96
64091.VNG1625H	Q9HPI1
64091.VNG1283H	Q9HQ82
64091.VNG1272C	Q9HQ90
64091.VNG1005H	Q9HQU1
64091.VNG0331H	Q9HSA0
64091.VNG0543H	Q9HRU2
64091.VNG0075H	Q9HSU1
64091.VNG0178H	Q9HSL1
64091.VNG2289G	Q9HN19
64091.VNG2067H	Q9HNK2
64091.VNG0057H	Q9HSV6
64091.VNG2415H	Q9HMR9
64091.VNG1480C	Q9HPT4
64091.VNG1340C	Q9HQ42
64091.VNG0664G	Q9HRK0
64091.VNG0217H	Q9HSI2
64091.VNG2359G	Q9HMW3
64091.VNG1412H	Q9HPY7
64091.VNG2620G	Q9HMB4
64091.VNG2353H	Q9HMW6
64091.VNG0731H	Q9HRE9
64091.VNG1249C	Q9HQA7
64091.VNG2164C	Q9HNC0
64091.VNG1777H	Q9HP69
64091.VNG1330H	Q9HQ48
64091.VNG1064H	Q9HQP6
64091.VNG1058H	Q9HQQ1
64091.VNG0841G	Q9HR64
64091.VNG2595G	Q9HMD6
64091.VNG2269G	Q9HN36
64091.VNG2102G	Q9HNH4
64091.VNG1528G	Q9HPQ1
64091.VNG2014H	Q9HNN9
64091.VNG1065C	Q9HQP5
64091.VNG2315H	Q9HMZ6
64091.VNG1519H	Q9HPQ7
64091.VNG0214C	Q9HSI5
64091.VNG2675C	Q9HM72
64091.VNG2603H	Q9HMC8
64091.VNG1431C	Q9HPX3
64091.VNG1095H	Q9HQM1
64091.VNG2589C	Q9HMD9
64091.VNG2323H	Q9HMZ0
64091.VNG0995H	Q9HQV0
64091.VNG0789C	Q9HRA3
64091.VNG0590H	Q9HRQ7
64091.VNG0050C	Q9HSW2
64091.VNG1875G	Q9HNZ5
64091.VNG2639G	Q9HM99
64091.VNG1492C	Q9HPS5
64091.VNG2043G	Q9HNL8
64091.VNG1567G	Q9HPM1
64091.VNG1898C	Q9HNX9
64091.VNG0068H	Q9HSU6
64091.VNG0681G	Q9HRI4
64091.VNG0321G	Q9HSA8
64091.VNG0070H	Q9HSU4
64091.VNG0150H	Q9HSN4
64091.VNG2042H	Q9HNL9
64091.VNG0795G	Q9HR99
64091.VNG2248H	Q9HN52
64091.VNG2515H	Q9HMJ4
64091.VNG2178H	Q9HNA8
64091.VNG1804G	Q9HP48
64091.VNG1052H	Q9HQQ7
64091.VNG0970G	F2Z5Y8
64091.VNG0524G	Q9HRV7
64091.VNG2644C	Q9HM94
64091.VNG0678G	Q9HRI8
64091.VNG0371G	Q9HS75
64091.VNG1949G	Q9HNT8
64091.VNG1305G	Q9HQ67
64091.VNG0631C	Q9HRM4
64091.VNG0402H	Q9HS53
64091.VNG1850G	Q9HP14
64091.VNG2414H	Q9HMS0
64091.VNG1846C	Q9HP18
64091.VNG1409C	Q9HPY9
64091.VNG1055G	Q9HQQ4
64091.VNG0469H	Q9HS00
64091.VNG0429H	Q9HS31
64091.VNG0283C	Q9HSD8
64091.VNG2607C	Q9HMC5
64091.VNG1496G	Q9HPS2
64091.VNG2421G	Q9HMR3
64091.VNG1914G	Q9HNW6
64091.VNG2582H	Q9HME4
64091.VNG1250H	Q9HQA6
64091.VNG2352G	Q9HMW7
64091.VNG0689G	Q9HRH8
64091.VNG1615G	Q9HPJ0
64091.VNG1271H	Q9HQ91
64091.VNG0761G	Q9HRC4
64091.VNG0686C	Q9HRI0
64091.VNG0136G	Q9HSP7
64091.VNG2358G	Q9HMW4
64091.VNG1751H	Q9HP91
64091.VNG0717H	Q9HRG0
64091.VNG1360H	Q9HQ26
