7460.GB18323-PA	P15450
7460.GB12449-PA	D3XL72
7460.GB18394-PA	G5D114
7460.GB15485-PA	G5D4M3
7460.GB11031-PA	G5D1U1
7460.GB14690-PA	G5D4G7
7460.GB16970-PA	R4U8D8
7460.GB15371-PA	R4TU72
7460.GB19870-PA	G5D4P2
7460.GB11031-PA	G5D2B3
7460.GB18447-PB	I2CJY4
7460.GB14044-PA	R4TTF7
7460.GB18767-PA	R4U913
7460.GB13884-PA	I2CL09
7460.GB17050-PA	I2CJH2
7460.GB17067-PA	I2CKP4
7460.GB17888-PA	I2CKR9
7460.GB13884-PA	I2CL17
7460.GB13884-PA	I2CL46
7460.GB19870-PA	I2CLG5
7460.GB17888-PA	I2CKS4
7460.GB14044-PA	R4TT44
7460.GB19066-PA	R4TTE4
7460.GB11474-PA	A0A088A367
7460.GB30243-PA	Q1W646
7460.GB12184-PA	B6V6A2
7460.GB19977-PA	G8FU55
7460.GB18427-PA	J7EQB6
7460.GB17991-PA	K7QND4
7460.GB11031-PA	G8HBM1
7460.GB10231-PA	R4U564
7460.GB20077-PA	I2CM31
7460.GB13999-PA	G5D3C2
7460.GB10231-PA	R4TRB9
7460.GB14948-PA	I2CK51
7460.GB18767-PA	R4TV66
7460.GB12344-PA	R4U7N1
7460.GB15485-PA	G5D4L7
7460.GB16868-PA	Q6V5L4
7460.GB19810-PA	I2CKH0
7460.GB10036-PA	R4TQQ1
7460.GB16970-PA	R4U5Z7
7460.GB13999-PA	G5D4D0
7460.GB13999-PA	G5D3U0
7460.GB17224-PA	I2CK76
7460.GB19745-PA	Q86PH6
7460.GB13999-PA	G5D3B8
7460.GB13999-PA	G5D2Y3
7460.GB13999-PA	G5D3R0
7460.GB13884-PA	I2CL27
7460.GB18394-PA	G5D154
7460.GB18447-PB	I2CJY2
7460.GB18520-PA	R4U3D1
7460.GB18313-PA	R4U6A5
7460.GB18767-PA	R4TSV2
7460.GB13999-PA	G5D2V6
7460.GB17224-PA	I2CK91
7460.GB13999-PA	G5D4D9
7460.GB17224-PA	I2CK94
7460.GB11226-PA	I2CKV7
7460.GB13884-PA	I2CL16
7460.GB30480-PA	A8CMG2
7460.GB13999-PA	G5D421
7460.GB12946-PA	I2CJJ5
7460.GB19870-PA	I2CLF5
7460.GB15485-PA	I2CLT5
7460.GB12344-PA	R4U7R0
7460.GB20077-PA	I2CLZ8
7460.GB11031-PA	G5D2B5
7460.GB17067-PA	I2CKQ0
7460.GB15713-PA	B6F2B8
7460.GB19468-PA	Q8ISL8
7460.GB18002-PA	U3KR67
7460.GB15165-PA	A0A087ZY54
7460.GB15779-PA	A0A0B4J2M6
7460.GB14697-PA	A0A088A1V8
7460.GB16727-PA	A0A088ATU2
7460.GB19857-PA	A0A088A436
7460.GB11297-PA	A0A088A7S6
7460.GB20120-PA	A0A088A9P4
7460.GB12611-PA	A0A088AAX4
7460.GB18395-PA	A0A088AAQ9
7460.GB30346-PA	W6GTG9
7460.GB19369-PA	A0A0B4J2P4
7460.GB12478-PA	A0A088AEV0
7460.GB12074-PA	A0A088A3M4
7460.GB12026-PA	A0A087ZNA8
7460.GB13800-PA	A0A088A0N0
7460.GB16323-PA	A0A088A777
7460.GB15559-PA	A0A088A7B3
7460.GB16006-PA	A0A088AF54
7460.GB17531-PA	A0A088AGA6
7460.GB12318-PA	A0A088AVI4
7460.GB16418-PA	A0A087ZP24
7460.GB15980-PA	A0A087ZVC3
7460.GB11586-PA	A0A087ZVC4
7460.GB15243-PA	A0A087ZW80
7460.GB13819-PA	A0A088AJI1
7460.GB17042-PA	A0A088AV14
7460.GB12798-PA	A0A088AEB3
7460.GB11048-PA	A0A088A1A2
7460.GB14693-PA	A0A088ABG0
7460.GB14040-PA	A0A087ZYS3
7460.GB17143-PA	A0A088A022
7460.GB10533-PA	A0A088A2E0
7460.GB14227-PA	A0A088AIW3
7460.GB13363-PA	A0A088ARE6
7460.GB10769-PA	A0A088AQJ2
7460.GB12613-PA	A0A088A4V7
7460.GB17490-PA	A0A087ZPS3
7460.GB19559-PA	A0A087ZV90
7460.GB12747-PA	A0A087ZST3
7460.GB13470-PA	A0A087ZT04
7460.GB11585-PA	A0A088A5B7
7460.GB10385-PA	A0A088AI47
7460.GB17953-PA	A0A088AE63
7460.GB10750-PA	A0A088AVL4
7460.GB15269-PA	A0A087ZWF1
7460.GB12853-PA	A0A088A3X2
7460.GB11323-PA	A0A088AAP2
7460.GB12246-PA	A0A088AR59
7460.GB10491-PA	A0A088ASX2
7460.GB18730-PA	A0A0B5EBQ3
7460.GB14518-PA	A0A088AVE5
7460.GB12027-PA	A0A087ZUP1
7460.GB12394-PA	A0A087ZZ60
7460.GB17354-PA	A0A088A4M2
7460.GB13667-PA	A0A088ADV8
7460.GB10343-PA	A0A088AJ35
7460.GB16876-PA	A0A088AKG6
7460.GB16102-PA	A0A088ANQ7
7460.GB11950-PA	A0A088A1F4
7460.GB15832-PA	A0A088ASY8
7460.GB19447-PA	A0A087ZN95
7460.GB14865-PA	A0A087ZPN3
7460.GB17625-PA	A0A087ZTW2
7460.GB10463-PB	A0A088A897
7460.GB15898-PA	A0A088AQE3
7460.GB20080-PA	A0A088AVZ9
7460.GB14195-PA	A0A087ZVN9
7460.GB11383-PA	A0A088A3R7
7460.GB16895-PA	A0A088AD44
7460.GB13731-PB	A0A088AEV2
7460.GB17364-PA	A0A088AKQ9
7460.GB10094-PA	A0A088AN83
7460.GB17661-PA	A0A088APQ1
7460.GB16664-PA	A0A087ZP25
7460.GB19820-PA	A0A087ZXU5
7460.GB18789-PA	A0A088A9Z0
7460.GB18325-PA	A0A088A310
7460.GB10800-PA	A0A088A3C0
7460.GB12622-PA	A0A088A7Y9
7460.GB16111-PA	A0A088AJ39
7460.GB12647-PA	A0A088AMB2
7460.GB30274-PA	A0A087ZN86
7460.GB13605-PA	A0A088A2D7
7460.GB13743-PA	A0A088A423
7460.GB15719-PA	A0A088AGM9
7460.GB14287-PA	A0A087ZNG4
7460.GB11732-PA	A0A087ZSS3
7460.GB20012-PA	A0A087ZVP7
7460.GB12726-PA	A0A088A3B8
7460.GB18525-PA	A0A088A8J7
7460.GB17280-PA	A0A088APV2
7460.GB19268-PA	A0A088ARW1
7460.GB11975-PA	A0A087ZZ10
7460.GB17776-PA	A0A088A253
7460.GB10774-PA	A0A088A2D0
7460.GB17721-PA	A0A088AC76
7460.GB12463-PA	A0A088ASV7
7460.GB13144-PA	A0A087ZQU8
7460.GB13628-PA	A0A088A1N8
7460.GB12558-PA	A0A087ZVR7
7460.GB10208-PA	A0A088ACE8
7460.GB30520-RA_2	A0A088AFN1
7460.GB13646-PA	A0A088AJ38
7460.GB20042-PA	A0A087ZNJ5
7460.GB14595-PA	A0A087ZQ36
7460.GB12340-PA	A0A088AQF0
7460.GB11659-PA	A0A088AQM5
7460.GB13531-PA	A0A088ATG8
7460.GB19885-PA	A0A087ZNH6
7460.GB19473-PA	A0A087ZR50
7460.GB15465-PA	A0A087ZR91
7460.GB12300-PA	A0A087ZRI1
7460.GB13439-PA	A0A087ZS02
7460.GB14545-PA	A0A087ZVA5
7460.GB18099-PA	A0A087ZWC1
7460.GB11738-PA	A0A087ZXV0
7460.GB13685-PA	A0A087ZZE5
7460.GB16395-PA	A0A088A1H8
7460.GB11527-PA	A0A088A1P0
7460.GB15972-PA	A0A088A1T8
7460.GB11437-PA	A0A088A4D0
7460.GB15590-PA	A0A087ZVW6
7460.GB17369-PA	A0A087ZX96
7460.GB14908-PA	A0A087ZYS4
7460.GB12422-PA	A0A088A098
7460.GB12797-PA	A0A088A3B7
7460.GB10119-PA	A0A088AFZ9
7460.GB17676-PA	A0A088AHH0
7460.GB11399-PA	A0A088AJM5
7460.GB10961-PA	A0A088ANJ6
7460.GB18086-PA	A0A088A2Z3
7460.GB11927-PA	A0A088A5K3
7460.GB14638-PA	A0A088ABL4
7460.GB12887-PA	A0A088ACI9
7460.GB11202-PA	A0A088AEP0
7460.GB15745-PA	A0A088AEW8
7460.GB15865-PA	A0A088AGH1
7460.GB15492-PA	A0A088AP10
7460.GB14001-PA	A0A088AP11
7460.GB12033-PA	A0A088AP30
7460.GB10803-PA	A0A088AKM8
7460.GB20072-PA	A0A088AMM7
7460.GB10366-PA	A0A087ZQF3
7460.GB15239-PA	A0A088AQL3
7460.GB11315-PA	A0A088ATB4
7460.GB16485-PA	A0A087ZS51
7460.GB15747-PA	A0A087ZTN6
7460.GB11506-PA	A0A088A1S7
7460.GB16853-PA	A0A088A2N6
7460.GB17609-PA	A0A088A3H8
7460.GB17439-PA	A0A088A6T4
7460.GB14276-PA	A0A088A9Y7
7460.GB17669-PA	A0A088AFW3
7460.GB10184-PA	A0A088AKL5
7460.GB16252-PA	A0A088ANK9
7460.GB12387-PA	A0A088AS96
7460.GB13360-PA	A0A088ADF0
7460.GB16086-PA	A0A088AFE9
7460.GB12875-PA	A0A088AMD5
7460.GB18954-PA	A0A088AMZ6
7460.GB13232-PA	A0A088APP7
7460.GB15215-PA	A0A087ZMS7
7460.GB14923-PA	A0A087ZYB8
7460.GB10467-PA	A0A088A4B2
7460.GB13077-PA	A0A088A786
7460.GB12740-PA	A0A088ACD3
7460.GB15602-PA	A0A088AEQ9
7460.GB16616-PA	A0A088AET7
7460.GB14211-PA	A0A088AM34
7460.GB18229-PA	A0A088ARE2
7460.GB10936-PA	A0A087ZTY5
7460.GB14720-PA	A0A087ZUD8
7460.GB10944-PA	A0A088A871
7460.GB12274-PA	A0A088AA35
7460.GB13495-PA	A0A088ATI5
7460.GB12049-PA	A0A088A0M7
7460.GB10999-PA	A0A088A2P7
7460.GB12475-PA	A0A088A560
7460.GB15053-PA	A0A088A957
7460.GB12113-PA	A0A088ACZ3
7460.GB11655-PA	A0A088ADV3
7460.GB10096-PA	A0A088AF87
7460.GB17699-PA	A0A088AHE2
7460.GB10992-PA	A0A088ARD2
7460.GB13786-PA	A0A088ASJ3
7460.GB11485-PA	A0A087ZR09
7460.GB13869-PA	A0A087ZWI7
7460.GB15868-PA	A0A087ZXB8
7460.GB13417-PA	A0A087ZYU6
7460.GB11576-PA	A0A088AKM9
7460.GB18055-PA	A0A088ALD9
7460.GB10647-PA	A0A088AM76
7460.GB12280-PA	A0A088A016
7460.GB16816-PA	A0A088A019
7460.GB11448-PA	A0A088A6N0
7460.GB17512-PA	A0A088ASN8
7460.GB18798-PA	A0A088A119
7460.GB17989-PA	A0A088AFH0
7460.GB19697-PA	A0A088ALC2
7460.GB16407-PA	A0A087ZNS5
7460.GB12635-PA	A0A087ZRD1
7460.GB14583-PA	A0A087ZZ12
7460.GB12510-PA	A0A088A503
7460.GB12768-PA	A0A088A5V3
7460.GB11037-PA	A0A088AEM2
7460.GB20053-PA	A0A088AG33
7460.GB16165-PA	A0A088AR56
7460.GB12176-PA	A0A088ARV4
7460.GB17425-PA	A0A088AU02
7460.GB17539-PA	A0A088AUW1
7460.GB30346-PA	W6GGW6
7460.GB18810-PA	A0A087ZZI8
7460.GB13591-PA	A0A088A9C4
7460.GB12523-PA	A0A088APT7
7460.GB14139-PA	A0A087ZRK5
7460.GB19457-PA	A0A087ZTM5
7460.GB13302-PA	A0A087ZV16
7460.GB15887-PA	A0A088A1M1
7460.GB10610-PA	A0A088AV46
7460.GB15629-PA	A0A088AV89
7460.GB12419-PA	A0A088ABP7
7460.GB14577-PA	A0A088AD04
7460.GB10374-PA	A0A088A234
7460.GB13444-PA	A0A087ZUE5
7460.GB14739-PA	A0A088AH58
7460.GB16286-PA	A0A088ADJ6
7460.GB11188-PA	A0A088AKL0
7460.GB16494-PA	A0A088AM30
7460.GB16268-PA	A0A088A5X1
7460.GB15537-PA	A0A088A7I7
7460.GB14162-PA	A0A088A8Y9
7460.GB18398-PA	A0A088AEK9
7460.GB15940-PA	A0A088AJD9
7460.GB12506-PA	A0A088AP20
7460.GB18586-PA	A0A088APX1
7460.GB11503-PA	A0A088AQB0
7460.GB13040-PA	A0A088AVL1
7460.GB30094-PA	A0A088AJW5
7460.GB14937-PA	A0A088A2P2
7460.GB11279-PA	A0A087ZMS4
7460.GB11502-PA	A0A087ZY84
7460.GB14027-PB	A0A088AIF7
7460.GB14780-PA	A0A088ARB0
7460.GB13674-PA	A0A088ATP6
7460.GB17023-PA	A0A088AVM2
7460.GB10222-PA	A0A087ZQQ2
7460.GB12146-PA	A0A088AU48
7460.GB11371-PA	A0A087ZN42
7460.GB16555-PA	A0A087ZZ32
7460.GB15648-PA	A0A088A0L9
7460.GB12761-PA	A0A088A1A3
7460.GB13643-PA	A0A088A3P1
7460.GB14520-PA	A0A088A4Z4
7460.GB15755-PA	A0A088A637
7460.GB18955-PA	A0A088AB47
7460.GB19304-PA	A0A088AC75
7460.GB12720-PA	A0A088AI18
7460.GB14916-PA	A0A088AIA5
7460.GB30440-PA	A0A088ALB2
7460.GB16509-PA	A0A088ARC3
7460.GB18446-PA	A0A088ARR5
7460.GB12777-PA	A0A0B4J2M8
7460.GB18634-PA	A0A088ACW6
7460.GB11692-PA	A0A087ZZY0
7460.GB11244-PA	A0A088AD09
7460.GB13751-PA	A0A088AEY7
7460.GB14068-PA	A0A088AJF6
7460.GB17327-PA	A0A088ATI3
7460.GB14420-PA	A0A088AC45
7460.GB16844-PA	A0A087ZRE3
7460.GB12929-PA	A0A087ZV49
7460.GB11846-PA	A0A088A0C7
7460.GB12271-PA	A0A088A3N3
7460.GB11482-PA	A0A088A859
7460.GB10388-PA	A0A088AAB7
7460.GB20068-PA	A0A088AAI3
7460.GB10843-PA	A0A088AAN1
7460.GB19183-PA	A0A088AD74
7460.GB16138-PA	A0A088ADV0
7460.GB13988-PA	A0A088AMB0
7460.GB16109-PA	A0A088AQM1
7460.GB13261-PA	A0A087ZYX5
7460.GB18080-PA	A0A088AHR1
7460.GB17961-PA	A0A087ZQW0
7460.GB16990-PA	A0A087ZX72
7460.GB14578-PA	A0A087ZYN4
7460.GB15618-PA	A0A088ALM1
7460.GB16100-PA	A0A088AU84
7460.GB15061-PA	A0A088AVI9
7460.GB15030-PA	A0A088A9C3
7460.GB17743-PA	A0A088AEF5
7460.GB13143-PA	A0A088AF60
7460.GB16804-PA	A0A088AGH0
7460.GB17256-PA	A0A088AL57
7460.GB11766-PA	A0A088AKI9
7460.GB10053-PA	A0A088A214
7460.GB11057-PA	A0A088A7X4
7460.GB19372-PA	A0A088AT93
7460.GB17488-PA	A0A087ZP70
7460.GB18511-PA	A0A087ZPF6
7460.GB17625-PA	A0A087ZTW1
7460.GB15952-PA	A0A087ZU01
7460.GB10026-PA	A0A087ZZX4
7460.GB19070-PA	A0A088A2W2
7460.GB12531-PA	A0A088A3K0
7460.GB11697-PA	A0A088AC81
7460.GB11268-PA	A0A088AEB8
7460.GB15793-PA	A0A088AEJ9
7460.GB16297-PA	A0A088AJU7
7460.GB16914-PA	A0A088ANK4
7460.GB17227-PA	A0A088ANS0
7460.GB12157-PA	A0A088ASX8
7460.GB17240-PA	A0A087ZZQ8
7460.GB19765-PA	A0A0B5ED43
7460.GB30031-PA	A0A0B5EL16
7460.GB30298-PA	A2PZF8
7460.GB16369-PA	A0A087ZVK7
7460.GB18160-PA	A0A088AGJ3
7460.GB14637-PA	A0A088ARJ5
7460.GB13792-PA	A0A087ZN12
7460.GB20133-PA	A0A087ZSD7
7460.GB11239-PA	A0A087ZZP2
7460.GB14982-PA	A0A088AUY2
7460.GB15315-PA	A0A088AVA5
7460.GB11366-PA	A0A088AVI6
