169963.lmo0928	P58621
169963.lmo1317	Q8Y7G4
169963.lmo1365	Q8Y7C1
169963.lmo2601	Q8Y454
169963.lmo2600	Q8Y455
169963.lmo2654	Q8Y421
169963.lmo1355	P64032
169963.lmo1657	Q8Y6M7
169963.lmo2653	Q8Y422
169963.lmo1449	Q8Y756
169963.lmo1558	Q8Y6X3
169963.lmo2455	P64074
169963.lmo1462	Q8Y750
169963.lmo1176	Q8Y7U4
169963.lmo1361	Q8Y7C4
169963.lmo1362	Q8Y7C3
169963.lmo1594	Q8Y6T8
169963.lmo0830	Q8Y8R5
169963.lmo2202	Q8Y573
169963.lmo2524	Q8Y4C6
169963.lmo1810	Q8Y687
169963.lmo2584	Q8Y471
169963.lmo1961	Q8Y5U4
169963.lmo2390	Q8Y4P5
169963.lmo0690	Q02551
169963.lmo0712	Q8Y930
169963.lmo1823	Q8Y676
169963.lmo1360	Q8Y7C5
169963.lmo1702	Q8Y6I2
169963.lmo1564	Q8Y6W7
169963.lmo1877	Q8Y624
169963.lmo1386	Q8Y7A3
169963.lmo2040	Q929X7
169963.lmo2225	Q8Y551
169963.lmo2367	Q8Y4R7
169963.lmo1755	Q8Y6D2
169963.lmo1754	Q8Y6D3
169963.lmo1756	P58817
169963.lmo1933	Q8Y5X1
169963.lmo2425	Q8Y4L2
169963.lmo1349	Q8Y7D4
169963.lmo1350	Q8Y7D3
169963.lmo1348	Q8Y7D5
169963.lmo2118	Q8Y5E6
169963.lmo0727	Q8Y915
169963.lmo0198	Q8YAD4
169963.lmo1538	Q8Y6Z2
169963.lmo2539	Q8Y4B2
169963.lmo2473	P58588
169963.lmo1936	Q8Y5W9
169963.lmo2205	Q8Y571
169963.lmo2456	Q8Y4I4
169963.lmo1888	Q8Y614
169963.lmo1496	P64277
169963.lmo1474	P0DJM3
169963.lmo1553	Q8Y6X8
169963.lmo1685	Q8Y6J9
169963.lmo2770	Q8Y3R3
169963.lmo2549	P58412
169963.lmo1452	P53434
169963.lmo1096	Q8Y822
169963.lmo0484	Q92EH3
169963.lmo1557	Q8Y6X4
169963.lmo1556	Q8Y6X5
169963.lmo2211	Q8Y565
169963.lmo0568	Q8Y9G0
169963.lmo0561	Q8Y9G7
169963.lmo0562	Q8Y9G6
169963.lmo0564	Q8Y9G4
169963.lmo0565	Q8Y9G3
169963.lmo0563	Q8Y9G5
169963.lmo0566	Q8Y9G2
169963.lmo1925	Q8Y5X8
169963.lmo0567	Q8Y9G1
169963.lmo0569	Q8Y9F9
169963.lmo2483	Q8Y4G1
169963.lmo1475	P0DJM4
169963.lmo0222	Q8YAC4
169963.lmo1279	Q8Y7J8
169963.lmo1278	Q8Y7J9
169963.lmo0963	Q8Y8E1
169963.lmo1383	Q8Y7A5
169963.lmo2610	P65110
169963.lmo1325	Q8Y7F6
169963.lmo1785	P0A3L1
169963.lmo1986	Q8Y5S0
169963.lmo1983	Q8Y5S2
169963.lmo0433	P0DJM0
169963.lmo0434	P25147
169963.lmo0333	Q8YA32
169963.lmo2821	Q8Y3L4
169963.lmo0383	Q8Y9Y4
169963.lmo0384	Q8Y9Y3
169963.lmo0385	Q8Y9Y2
169963.lmo0386	Q8Y9Y1
169963.lmo0235	Q8YAB5
169963.lmo1086	Q8Y832
169963.lmo0190	Q8YAE1
169963.lmo0236	Q8YAB4
169963.lmo1441	P58668
169963.lmo1451	P58676
169963.lmo1315	Q8Y7G6
169963.lmo2611	Q8Y449
169963.lmo1939	Q8Y5W6
169963.lmo1827	Q8Y672
169963.lmo2545	Q8Y4A6
169963.lmo2544	Q8Y4A7
169963.lmo0199	Q48793
169963.lmo0509	Q8Y9L8
169963.lmo2693	Q8Y3Y6
169963.lmo0539	Q8Y9I9
169963.lmo0210	P33380
169963.lmo1534	Q8Y6Z6
169963.lmo1479	Q8Y742
169963.lmo1987	Q8Y5R9
169963.lmo1988	Q8Y5R8
169963.lmo1989	Q8Y5R7
169963.lmo1990	Q8Y5R6
169963.lmo1302	Q8Y7H7
169963.lmo2482	Q8Y4G2
169963.lmo2566	Q8Y489
169963.lmo0841	Q8Y8Q5
169963.lmo0519	Q8Y9K8
169963.lmo0438	Q8Y9T5
169963.lmo1844	Q8Y656
169963.lmo1288	Q8Y7I9
169963.lmo0231	Q48759
169963.lmo2190	Q9RGW9
169963.lmo1675	Q8Y6K9
169963.lmo1672	P58730
169963.lmo1931	P67055
169963.lmo1681	Q8Y6K3
169963.lmo1664	Q8Y6M0
169963.lmo0284	Q8YA75
169963.lmo2419	Q8Y4L8
169963.lmo0594	Q8Y9D6
169963.lmo1906	Q8Y5Z7
169963.lmo1294	Q8Y7I3
169963.lmo1545	Q8Y6Y6
169963.lmo1512	Q8Y714
169963.lmo2811	Q8Y3M4
169963.lmo2810	Q8Y3M5
169963.lmo1847	Q8Y653
169963.lmo1849	Q8Y651
169963.lmo1848	Q8Y652
169963.lmo1424	Q8Y773
169963.lmo1878	Q8Y623
169963.lmo1047	Q8Y870
169963.lmo1046	Q8Y871
169963.lmo0674	P0DJO8
169963.lmo2037	Q8Y5M0
169963.lmo2042	Q8Y5L6
169963.lmo1547	Q8Y6Y4
169963.lmo0240	Q8YAB0
169963.lmo2064	Q8Y5J6
169963.lmo1860	Q8Y640
169963.lmo1859	Q8Y641
169963.lmo1494	Q8Y729
169963.lmo2526	Q8Y4C4
169963.lmo2552	Q8Y4A2
169963.lmo1420	Q8Y776
169963.lmo1605	Q8Y6S8
169963.lmo2036	Q8Y5M1
169963.lmo2038	Q8Y5L9
169963.lmo2035	Q8Y5M2
169963.lmo1237	Q8Y7N7
169963.lmo1404	Q8Y788
169963.lmo1232	Q8Y7P1
169963.lmo1403	Q8Y789
169963.lmo2025	Q8Y5N2
169963.lmo2023	Q8Y5N4
169963.lmo1488	Q8Y735
169963.lmo1093	Q8Y825
169963.lmo0968	Q8Y8D7
169963.lmo1586	P65770
169963.lmo0957	Q8Y8E7
169963.lmo2471	Q8Y4H1
169963.lmo2801	Q8Y3N4
169963.lmo1929	Q8Y5X4
169963.lmo1622	Q8Y6R2
169963.lmo2794	Q8Y3P1
169963.lmo1846	Q8Y654
169963.lmo2739	Q8Y3U2
169963.lmo1562	Q8Y6W9
169963.lmo1239	Q8Y7N5
169963.lmo1359	Q8Y7C6
169963.lmo1537	Q8Y6Z3
169963.lmo1428	Q9KHT9
169963.lmo1427	Q9KHT8
169963.lmo1426	Q9KHT7
169963.lmo1425	Q9KHT6
169963.lmo1587	Q8Y6U5
169963.lmo0582	P21171
169963.lmo1902	Q8Y601
169963.lmo1901	Q8Y602
169963.lmo1900	Q8Y603
169963.lmo2046	Q8Y5L2
169963.lmo1760	Q8Y6C8
169963.lmo1457	P67195
169963.lmo1866	Q8Y634
169963.lmo1182	Q8Y7T9
169963.lmo2101	Q8Y5G2
169963.lmo2102	Q8Y5G1
169963.lmo2338	O69192
169963.lmo1780	Q8Y6B1
169963.lmo1571	Q8Y6W0
169963.lmo1407	P0A442
169963.lmo2458	Q8Y4I2
169963.lmo0205	P33378
169963.lmo0799	P58724
169963.lmo0201	P34024
169963.lmo1809	Q8Y688
169963.lmo1284	Q8Y7J3
169963.lmo1331	Q8Y7F1
169963.lmo0807	Q8Y8T6
169963.lmo1448	Q8Y757
169963.lmo2481	Q8Y4G3
169963.lmo0200	P22262
169963.lmo1471	P0DJO9
169963.lmo2542	Q8Y4A9
169963.lmo1259	Q93Q55
169963.lmo1260	Q93Q56
169963.lmo1444	Q8Y759
169963.lmo2219	Q8Y557
169963.lmo0203	P34025
169963.lmo0203	P23224
169963.lmo0836	Q8Y8Q9
169963.lmo2495	P63363
169963.lmo2496	Q8Y4E9
169963.lmo1003	O31149
169963.lmo0036	Q8YAS7
169963.lmo1002	P0A438
169963.lmo0213	Q8YAD1
169963.lmo1764	Q8Y6C6
169963.lmo1767	Q8Y6C3
169963.lmo1772	Q8Y6B9
169963.lmo1765	Q8Y6C5
169963.lmo0055	Q8YAR1
169963.lmo1769	Q8Y6C1
169963.lmo1770	Q8Y6C0
169963.lmo1838	Q8Y662
169963.lmo1837	Q8Y663
169963.lmo1833	Q8Y667
169963.lmo1831	Q8Y668
169963.lmo1832	P58641
169963.lmo2559	Q8Y495
169963.lmo1313	P65927
169963.lmo1834	Q8Y666
169963.lmo1840	Q8Y660
169963.lmo1531	Q8Y6Z9
169963.lmo0934	Q8Y8H0
169963.lmo0233	Q48761
169963.lmo1327	Q8Y7F4
169963.lmo1398	P0DJP0
169963.lmo0005	Q8YAV8
169963.lmo1460	Q8Y752
169963.lmo2702	Q8Y3X7
169963.lmo1891	Q8Y611
169963.lmo1693	Q8Y6J1
169963.lmo2072	P60384
169963.lmo2543	Q8Y4A8
169963.lmo2509	Q8Y4D8
169963.lmo0988	Q8Y8C0
169963.lmo2848	Q8Y3I7
169963.lmo2849	Q8Y3I6
169963.lmo2847	Q8Y3I8
169963.lmo2846	Q8Y3I9
169963.lmo1793	Q8Y6A2
169963.lmo1321	Q8Y7G0
169963.lmo0250	P66042
169963.lmo0248	P66054
169963.lmo2597	Q8Y458
169963.lmo2622	Q927L7
169963.lmo2613	Q8Y447
169963.lmo2625	Q927L4
169963.lmo2605	Q8Y450
169963.lmo2616	Q8Y445
169963.lmo1787	O53083
169963.lmo0249	Q8YAA4
169963.lmo1783	P66103
169963.lmo1542	Q8Y6Y9
169963.lmo2627	Q927L2
169963.lmo2630	Q8Y441
169963.lmo2621	Q8Y443
169963.lmo0211	Q8YAD3
169963.lmo1540	P66125
169963.lmo1816	P66144
169963.lmo2624	P66166
169963.lmo2629	P60426
169963.lmo2614	Q927M5
169963.lmo2548	P0A485
169963.lmo0486	Q8Y9N9
169963.lmo2047	P66207
169963.lmo1335	P66219
169963.lmo0244	P66221
169963.lmo2856	P66248
169963.lmo1784	P0A491
169963.lmo2609	P66290
169963.lmo2632	Q8Y440
169963.lmo2631	P61055
169963.lmo2620	Q927L9
169963.lmo2617	Q8Y444
169963.lmo0251	Q8YAA3
169963.lmo0053	Q8YAR2
169963.lmo0293	Q8YA66
169963.lmo0482	Q8Y9P2
169963.lmo1805	Q8Y691
169963.lmo1273	Q8Y7K4
169963.lmo1228	Q8Y7P5
169963.lmo0187	Q8YAE3
169963.lmo2855	Q8Y3I1
169963.lmo1238	Q8Y7N6
169963.lmo1399	P0DJP2
169963.lmo1977	Q8Y5S8
169963.lmo0975	Q8Y8D3
169963.lmo2606	P66699
169963.lmo0258	Q9RLT9
169963.lmo0259	Q8YA96
169963.lmo2560	Q8Y494
169963.lmo1826	Q8Y673
169963.lmo1314	Q8Y7G7
169963.lmo2633	P66330
169963.lmo2607	P66352
169963.lmo2656	P66372
169963.lmo2608	P66383
169963.lmo2619	P66401
169963.lmo1882	Q8Y620
169963.lmo1330	Q92C24
169963.lmo1797	Q8Y699
169963.lmo2623	Q927L6
169963.lmo0046	P66461
169963.lmo2628	P66484
169963.lmo1480	P66503
169963.lmo1469	P0DJP1
169963.lmo1658	Q8Y6M6
169963.lmo2626	P66548
169963.lmo1596	Q8Y6T6
169963.lmo2615	Q8Y446
169963.lmo0044	Q8YAR9
169963.lmo2655	P66611
169963.lmo2618	P66623
169963.lmo2596	Q8Y459
169963.lmo0893	P0A4J8
169963.lmo0894	Q8Y8K6
169963.lmo1332	Q8Y7F0
169963.lmo1819	Q8Y680
169963.lmo0188	Q8YAE2
169963.lmo2802	Q8Y3N3
169963.lmo2041	Q8Y5L7
169963.lmo1533	Q8Y6Z7
169963.lmo1532	Q8Y6Z8
169963.lmo1502	Q8Y723
169963.lmo1951	Q8Y5V4
169963.lmo1950	Q8Y5V5
169963.lmo2510	P47847
169963.lmo0583	P0DJP3
169963.lmo2030	Q8Y5M7
169963.lmo2825	Q8Y3L0
169963.lmo1454	P52331
169963.lmo1439	P28764
169963.lmo0196	Q8YAD5
169963.lmo0197	Q92F70
169963.lmo0899	Q8Y8K2
169963.lmo2191	Q9RGX0
169963.lmo0045	Q8YAR8
169963.lmo2308	Q8Y4X1
169963.lmo2448	P66860
169963.lmo1821	Q8Y678
169963.lmo1504	Q8Y722
169963.lmo0239	Q8YAB1
169963.lmo1519	Q8Y709
169963.lmo0237	Q8YAB3
169963.lmo1221	Q8Y7Q2
169963.lmo1222	Q8Y7Q1
169963.lmo1459	Q8Y753
169963.lmo1458	Q8Y754
169963.lmo1520	Q8Y708
169963.lmo2019	Q8Y5N8
169963.lmo0228	Q8YAB8
169963.lmo1660	Q8Y6M4
169963.lmo0177	Q8YAF2
169963.lmo1896	P58695
169963.lmo1319	Q8Y7G2
169963.lmo2561	Q8Y493
169963.lmo2747	Q8Y3T4
169963.lmo1559	Q8Y6X2
169963.lmo1552	Q8Y6X9
169963.lmo2198	Q8Y577
169963.lmo1598	Q8Y6T4
169963.lmo0202	P13128
169963.lmo1075	Q8Y843
169963.lmo2743	Q8Y3T8
169963.lmo0343	P66957
169963.lmo1388	Q48754
169963.lmo1530	Q8Y700
169963.lmo0318	Q8YA44
169963.lmo1592	Q8Y6U0
169963.lmo0316	Q8YA46
169963.lmo1233	P0A4L3
169963.lmo1267	Q8Y7L0
169963.lmo0219	Q8YAC7
169963.lmo2457	Q8Y4I3
169963.lmo0346	Q8YA20
169963.lmo1583	Q8Y6U8
169963.lmo1615	Q8Y6R8
169963.lmo1792	Q8Y6A3
169963.lmo1276	Q8Y7K1
169963.lmo1627	Q8Y6Q7
169963.lmo1628	Q8Y6Q6
169963.lmo1630	Q8Y6Q4
169963.lmo1631	Q8Y6Q3
169963.lmo1629	Q8Y6Q5
169963.lmo2598	Q8Y457
169963.lmo1328	Q8Y7F3
169963.lmo2478	O32823
169963.lmo2075	Q8Y5I7
169963.lmo1874	Q8Y626
169963.lmo0390	Q8Y9X7
169963.lmo1227	Q8Y7P6
169963.lmo2538	Q8Y4B3
169963.lmo1497	Q8Y727
169963.lmo2488	Q8Y4F6
169963.lmo2489	Q8Y4F5
169963.lmo1234	Q8Y7P0
169963.lmo2472	Q8Y4H0
169963.lmo1277	Q8Y7K0
169963.lmo1955	Q8Y5V0
169963.lmo1885	Q8Y617
169963.lmo0025	Q8YAT8
169963.lmo1028	Q92CZ4
169963.lmo1058	P67356
169963.lmo1065	Q8Y853
169963.lmo1070	Q8Y848
169963.lmo1207	Q8Y7R4
169963.lmo0128	P58702
169963.lmo1304	Q8Y7H5
169963.lmo1306	P67288
169963.lmo1318	Q8Y7G3
169963.lmo1384	Q8Y7A4
169963.lmo1456	P52309
169963.lmo1501	Q92BL2
169963.lmo1503	P60357
169963.lmo1535	Q8Y6Z5
169963.lmo1549	Q8Y6Y2
169963.lmo1568	Q8Y6W3
169963.lmo1577	Q8Y6V4
169963.lmo1608	Q8Y6S5
169963.lmo0166	Q8YAG0
169963.lmo1687	Q8Y6J7
169963.lmo0169	Q8YAF7
169963.lmo1703	Q8Y6I1
169963.lmo1707	Q8Y6H7
169963.lmo1751	Q8Y6D6
169963.lmo0176	Q8YAF3
169963.lmo1776	Q8Y6B5
169963.lmo1796	P67234
169963.lmo1802	Q8Y694
169963.lmo1857	Q8Y643
169963.lmo1863	Q8Y637
169963.lmo1889	Q8Y613
169963.lmo1921	Q8Y5Y2
169963.lmo1967	Q8Y5T8
169963.lmo2049	Q8Y5L0
169963.lmo2054	P60415
169963.lmo0206	P33383
169963.lmo0207	P33385
169963.lmo0208	P0A4Q8
169963.lmo0209	P33381
169963.lmo2113	Q8Y5F1
169963.lmo2147	Q8Y5B8
169963.lmo2158	Q929L4
169963.lmo0216	Q9ZIM1
169963.lmo2223	Q8Y553
169963.lmo2224	Q8Y552
169963.lmo2265	Q8Y513
169963.lmo0234	Q48762
169963.lmo2392	Q8Y4P3
169963.lmo2474	Q8Y4G9
169963.lmo2514	Q8Y4D5
169963.lmo2564	Q8Y491
169963.lmo2703	Q8Y3X6
169963.lmo2759	Q8Y3S3
169963.lmo0363	P58495
169963.lmo0368	Q8Y9Z9
169963.lmo0369	Q8Y9Z8
169963.lmo0392	Q92EP8
169963.lmo0424	Q8Y9U6
169963.lmo0432	P25145
169963.lmo0496	P60073
169963.lmo0533	Q8Y9J4
169963.lmo0534	Q8Y9J3
169963.lmo0779	Q8Y8W3
169963.lmo0964	Q8Y8E0
169963.lmo0164	Q8YAG2
169963.lmo1465	Q8Y747
169963.lmo0191	Q8YAE0
169963.lmo2220	Q8Y556
169963.lmo1379	Q8Y7A9
169963.lmo2854	Q8Y3I2
169963.lmo1670	Q8Y6L4
169963.lmo1303	Q8Y7H6
169963.lmo1447	Q9XDA6
169963.lmo1445	P0A3E6
169963.lmo0690	Q6LAU6
169963.lmo0200	D1FKC8
169963.lmo1130	A0A0B8RFX7
169963.lmo0033	A0A0B8QVK0
169963.lmo1446	A0A0B8R4R8
169963.lmo1576	A0A0B8R3T8
169963.lmo2616	A0A0B8RD72
169963.lmo0372	A0A0B8RI37
169963.lmo2586	A0A0B8QV66
169963.lmo0764	A0A0B8RGI7
169963.lmo2264	A0A0B8R9X1
169963.lmo1638	A0A0B8RBJ7
169963.lmo0714	A0A0B8RBQ5
169963.lmo0949	A0A0B8RCL8
169963.lmo2425	A0A0B8RFD9
169963.lmo2406	A0A0B8R0A4
169963.lmo0152	A0A0B8R7X5
169963.lmo0383	A0A0B8QYI1
169963.lmo0207	A0A0B8QVW6
169963.lmo0271	A0A0B8R8H3
169963.lmo1537	A0A0B8R927
169963.lmo1582	A0A0B8R3G2
169963.lmo2094	A0A0B8RG68
169963.lmo2779	A0A0B8R5T1
169963.lmo2381	A0A0B8R4T9
169963.lmo0358	A0A0B8R882
169963.lmo1545	A0A0B8QXY0
169963.lmo1325	A0A0B8RD36
169963.lmo0200	Q5EII6
169963.lmo1991	A0A0B8R5Z0
169963.lmo0480	A0A0B8R881
169963.lmo1613	A0A0B8RBI3
169963.lmo0433	A0A0B8RD95
169963.lmo1292	A0A0B8R720
169963.lmo0185	A0A0B8RBI2
169963.lmo2244	A0A0B8RFL2
169963.lmo2690	A0A0B8QSG3
169963.lmo2511	A0A0B8R9V4
169963.lmo0630	A0A0B8R7P3
169963.lmo0958	A0A0B8QPL6
169963.lmo2438	A0A0B8QS83
169963.lmo2006	A0A0B8QQW8
169963.lmo0037	A0A0B8REG8
169963.lmo0499	A0A0B8R9R9
169963.lmo1276	A0A0B8QXQ6
169963.lmo0430	A0A0B8RHX9
169963.lmo2848	A0A0B8R5M5
169963.lmo0785	A0A0B8RAY5
169963.lmo0988	A0A0B8QPJ7
169963.lmo1296	A0A0B8QWW4
169963.lmo0360	A0A0B8RBF9
169963.lmo2225	A0A0B8R9S1
169963.lmo0639	A0A0B8R4T5
169963.lmo0977	A0A0B8R471
169963.lmo0077	A0A0B8R5G7
169963.lmo1798	A0A0B8R947
169963.lmo0419	A0A0B8RGD3
169963.lmo1017	A0A0B8R6B0
169963.lmo2820	A0A0B8REL2
169963.lmo1452	A0A0B8QTT9
169963.lmo2756	A0A0B8R8Z2
169963.lmo2057	A0A0B8RHU7
169963.lmo2714	A0A0B8QWM8
169963.lmo1740	A0A0B8R3R4
169963.lmo1995	A0A0B8REA4
169963.lmo2059	A0A0B8R4L4
169963.lmo0830	A0A0B8R7L5
169963.lmo0678	A0A0B8R7P0
169963.lmo1430	A0A0B8QY21
169963.lmo2661	A0A0B8QWR7
169963.lmo2231	A0A0B8R4A7
169963.lmo2588	A0A0B8RIP4
169963.lmo2039	A0A0B8QU19
169963.lmo2563	A0A0B8QV52
169963.lmo1238	A0A0B8RD25
169963.lmo1690	A0A0B8QRY7
169963.lmo2689	A0A0B8R7L0
169963.lmo0895	O85743
169963.lmo1605	A0A0B8R281
169963.lmo2531	A0A0B8QXL8
169963.lmo0825	A0A0B8QYE7
169963.lmo0314	A0A0B8R8A3
169963.lmo1984	A0A0B8R5Y5
169963.lmo1624	A0A0B8RBJ0
169963.lmo0967	A0A0B8R173
169963.lmo1262	A0A0B8R1I3
169963.lmo2694	A0A0B8R601
169963.lmo1155	A0A0B8QXD1
169963.lmo0672	A0A0B8RBT5
169963.lmo2798	A0A0B8REM7
169963.lmo1774	A0A0B8RF58
169963.lmo1786	A0A0B5CVE8
169963.lmo1457	A0A0B8R170
169963.lmo2578	A0A0B8RDD0
169963.lmo2721	A0A0B8QWM0
169963.lmo2116	A0A0B8R1B4
169963.lmo0003	A0A0B8R9K0
169963.lmo0200	Q4TVQ1
169963.lmo0169	A0A0B8R7W3
169963.lmo1811	A0A0B8RHA0
169963.lmo0200	Q400E5
169963.lmo2185	A0A0B8RGW6
169963.lmo1769	A0A0B8R7A5
169963.lmo1321	A0A0B8R1R6
169963.lmo0690	Q8G952
169963.lmo0250	A0A0B8QQQ1
169963.lmo2073	A0A0B8R9H7
169963.lmo2463	A0A0B8QS99
169963.lmo0836	A0A0B8R1L1
169963.lmo2704	A0A0B8QSH7
169963.lmo2378	A0A0B8QZM5
169963.lmo0686	A0A0B8R2D3
169963.lmo2414	A0A0B8R449
169963.lmo0554	A0A0B8RIP7
169963.lmo0411	A0A0B8R395
169963.lmo2013	A0A0B8QZQ5
169963.lmo0261	A0A0B8REG2
169963.lmo1053	C6ZWH0
169963.lmo1519	A0A0B8QZ87
169963.lmo0965	A0A0B8RCJ9
169963.lmo1787	A0A0B8QV79
169963.lmo1712	A0A0B8R3P3
169963.lmo0641	A0A0B8QYD0
169963.lmo2347	A0A0B8R5N7
169963.lmo2802	A0A0B8R914
169963.lmo2351	A0A0B8R729
169963.lmo0602	A0A0B8R2J3
169963.lmo0581	A0A0B8RDY0
169963.lmo1693	A0A0B8R0U4
169963.lmo0705	A0A0B8QY73
169963.lmo2656	A0A0B8QWS1
169963.lmo1580	A0A0B8RH16
169963.lmo1066	A0A0B8QY37
169963.lmo2723	A0A0B8QZS3
169963.lmo0282	A0A0B8R8G4
169963.lmo1277	A0A0B8QWU6
169963.lmo0040	A0A0B8QVJ3
169963.lmo1392	A0A0B8QV42
169963.lmo1560	A0A0B8RA62
169963.lmo1609	A0A0B8QXG5
169963.lmo1557	A0A0B8QUQ7
169963.lmo1694	A0A0B8R745
169963.lmo0782	A0A0B8QYS7
169963.lmo2453	A0A0B8RGN5
169963.lmo1399	A0A0B8R1K4
169963.lmo1689	A0A0B8R3M2
169963.lmo2730	A0A0B8R5W4
169963.lmo1660	A0A0B8RCT2
169963.lmo0260	A0A0B8RGT9
169963.lmo2362	A0A0B8RIK8
169963.lmo1767	C6ZXI9
169963.lmo2638	A0A0B8RAG8
169963.lmo0717	A0A0B8R2E6
169963.lmo2048	A0A0B8R4K7
169963.lmo2191	A0A0B8RGW4
169963.lmo1958	A0A0B8R8R4
169963.lmo0690	Q8G953
169963.lmo2827	A0A0B8R9P0
169963.lmo0200	D1FKC9
169963.lmo1255	A0A0B8RAW1
169963.lmo1516	A0A0B8RBW3
169963.lmo2501	A0A0B8QXJ6
169963.lmo0485	A0A0B8R9S9
169963.lmo0786	A0A0B8RGL4
169963.lmo0838	A0A0B8RFG2
169963.lmo0532	A0A0B8QSX7
169963.lmo1807	A0A0B8QV92
169963.lmo1947	A0A0B8R2U3
169963.lmo1590	A0A0B8R8K1
169963.lmo2446	A0A0B8RA88
169963.lmo0116	A0A0B8R0A0
169963.lmo0501	A0A0B8R0L2
169963.lmo0238	A0A0B8R8K5
169963.lmo1691	A0A0B8REZ2
169963.lmo1336	A0A0B8RFL7
169963.lmo1298	L8DSZ4
169963.lmo0605	A0A0B8QWN9
169963.lmo1637	A0A0B8QZI6
169963.lmo1683	A0A0B8R739
169963.lmo1491	A0A0B8R8F2
169963.lmo0692	B0FPH9
169963.lmo0218	Q92F57
169963.lmo0684	A0A0B8QXR3
169963.lmo2369	A0A0B8QZV7
169963.lmo1744	A0A0B8R788
169963.lmo0529	A0A0B8R823
169963.lmo0153	A0A0B8REA0
169963.lmo2459	A0A0B8RGN3
169963.lmo2032	A0A0B8RHT6
169963.lmo2469	A0A0B8RIF4
169963.lmo0424	A0A0B8QVB6
169963.lmo2164	A0A0B8QYM6
169963.lmo1240	A0A0B8R3W8
