243159.AFE_1462	B7JA39
243159.AFE_2852	B7J945
243159.AFE_0316	B7J456
243159.AFE_2611	B7J7S7
243159.AFE_0285	B7J429
243159.AFE_0332	B7J472
243159.AFE_0329	B7J469
243159.AFE_0338	B7J478
243159.AFE_0284	B7J428
243159.AFE_2670	B7J7Y4
243159.AFE_0335	B7J475
243159.AFE_0330	B7J470
243159.AFE_0345	B7J485
243159.AFE_0659	B7J5V5
243159.AFE_1904	B7JC05
243159.AFE_0035	B7J3D6
243159.AFE_2612	B7J7S8
243159.AFE_0350	B7J4A0
243159.AFE_0327	B7J467
243159.AFE_0328	B7J468
243159.AFE_0342	B7J482
243159.AFE_0318	B7J458
243159.AFE_2820	B7J913
243159.AFE_2828	B7J921
243159.AFE_2736	B7J8G6
243159.AFE_2950	B7J9S3
243159.AFE_0399	B7J4E2
243159.AFE_0629	B7J5S6
243159.AFE_0320	B7J460
243159.AFE_0564	B7J583
243159.AFE_0326	B7J466
243159.AFE_0322	B7J462
243159.AFE_0351	B7J4A1
243159.AFE_0340	B7J480
243159.AFE_0394	B7J4D7
243159.AFE_2855	B7J948
243159.AFE_0336	B7J476
243159.AFE_0331	B7J471
243159.AFE_2188	B7J5H6
243159.AFE_2340	B7J6A7
243159.AFE_0353	B7J4A3
243159.AFE_0344	B7J484
243159.AFE_2824	B7J917
243159.AFE_0323	B7J463
243159.AFE_0341	B7J481
243159.AFE_0167	B7J3R3
243159.AFE_0214	B7J3W0
243159.AFE_3146	B7JAQ0
243159.AFE_0061	B7J3G2
243159.AFE_0225	B7J3W9
243159.AFE_2127	B7J4Y5
243159.AFE_0895	B7J6V1
243159.AFE_0926	B7J7A3
243159.AFE_0157	B7J3Q3
243159.AFE_1792	B7JBP8
243159.AFE_0425	B7J4G8
243159.AFE_0056	B7J3F7
243159.AFE_2610	B7J7S6
243159.AFE_2581	B7J7P8
243159.AFE_2672	B7J7Y5
243159.AFE_2132	B7J4Y9
243159.AFE_0170	B7J3R6
243159.AFE_0380	B7J4C9
243159.AFE_2614	B7J7T0
243159.AFE_2059	B7J4R9
243159.AFE_0948	B7J7C4
243159.AFE_3304	B7JBI2
243159.AFE_0643	B7J5U0
243159.AFE_2633	B7J7U7
243159.AFE_0271	B7J415
243159.AFE_2068	B7J4S8
243159.AFE_2069	B7J4S9
243159.AFE_3242	B7JBC0
243159.AFE_3243	B7JBC1
243159.AFE_2070	B7J4T0
243159.AFE_0059	B7J3G0
243159.AFE_1661	B7JB00
243159.AFE_1920	B7JC17
243159.AFE_3021	B7J9Z4
243159.AFE_3267	B7JBE5
243159.AFE_0358	B7J4A8
243159.AFE_0977	B7J7F3
243159.AFE_0667	B7J5W3
243159.AFE_1208	Q9F2B0
243159.AFE_1612	P96097
243159.AFE_1330	Q5PU85
243159.AFE_2651	B8XX40
243159.AFE_3117	B7J7R7
243159.AFE_2939	B7J705
243159.AFE_2399	B7J530
243159.AFE_0836	B7J531
243159.AFE_0832	B7J527
243159.AFE_3183	B7JAT3
243159.AFE_3116	B7J7R6
243159.AFE_2938	B7J706
243159.AFE_3143	B7J5T2
243159.AFE_0838	B7J532
243159.AFE_3263	B7J569
243159.AFE_1237	Q5XLV9
243159.AFE_2397	B7J528
243159.AFE_0831	B7J525
243159.AFE_0830	B7J526
243159.AFE_3118	B7J7R8
243159.AFE_1364	B7J9G4
243159.AFE_2398	B7J529
243159.AFE_0325	B7J452
243159.AFE_1011	B7J7I6
243159.AFE_1677	B7JB16
243159.AFE_0368	B7J4B8
243159.AFE_0030	B7J3D1
243159.AFE_0118	B7J3L5
243159.AFE_0139	B7J3N6
243159.AFE_0152	B7J3P8
243159.AFE_1218	B7J8Q1
243159.AFE_1249	B7J8T1
243159.AFE_1279	B7J8W1
243159.AFE_2851	B7J944
243159.AFE_2897	B7J989
243159.AFE_1361	B7J9G5
243159.AFE_1428	B7J9M5
243159.AFE_0196	B7J3U2
243159.AFE_0247	B7J3Z1
243159.AFE_0321	B7J461
243159.AFE_2007	B7J489
243159.AFE_0372	B7J4C2
243159.AFE_0382	B7J4D1
243159.AFE_0405	B7J4E8
243159.AFE_0417	B7J4G0
243159.AFE_0481	B7J4M4
243159.AFE_2019	B7J4N0
243159.AFE_2046	B7J4Q7
243159.AFE_2064	B7J4S4
243159.AFE_2107	B7J4W6
243159.AFE_2114	B7J4X2
243159.AFE_0569	B7J588
243159.AFE_0573	B7J592
243159.AFE_0616	B7J5D2
243159.AFE_2230	B7J5L7
243159.AFE_2235	B7J5M2
243159.AFE_2257	B7J5P4
243159.AFE_2270	B7J5Q7
243159.AFE_0692	B7J5Y8
243159.AFE_0702	B7J5Z8
243159.AFE_0703	B7J5Z9
243159.AFE_0705	B7J601
243159.AFE_0726	B7J622
243159.AFE_2312	B7J682
243159.AFE_2337	B7J6A4
243159.AFE_2384	B7J6E8
243159.AFE_2386	B7J6F0
243159.AFE_2400	B7J6G2
243159.AFE_2415	B7J6H6
243159.AFE_0768	B7J6I4
243159.AFE_0779	B7J6J5
243159.AFE_0789	B7J6K5
243159.AFE_0871	B7J6T3
243159.AFE_0882	B7J6U1
243159.AFE_0885	B7J6U3
243159.AFE_2423	B7J6W3
243159.AFE_2438	B7J6X8
243159.AFE_2443	B7J6Y2
243159.AFE_0964	B7J7E0
243159.AFE_0974	B7J7F0
243159.AFE_1022	B7J7J7
243159.AFE_1067	B7J815
243159.AFE_1150	B7J898
243159.AFE_2714	B7J8E6
243159.AFE_2935	B7J9Q9
243159.AFE_2952	B7J9S5
243159.AFE_2971	B7J9U4
243159.AFE_3004	B7J9X7
243159.AFE_1486	B7JA63
243159.AFE_1500	B7JA77
243159.AFE_1552	B7JAC9
243159.AFE_3136	B7JAP0
243159.AFE_3260	B7JBD8
243159.AFE_1743	B7JBK1
243159.AFE_1778	B7JBN4
243159.AFE_1852	B7JBV5
243159.AFE_2001	B7JC95
243159.AFE_0001	B7J3A3
243159.AFE_2085	B7J4U5
243159.AFE_0574	B7J593
243159.AFE_2328	B7J696
243159.AFE_0815	B7J6N1
243159.AFE_1013	B7J7I8
243159.AFE_2657	B7J7X1
243159.AFE_2843	B7J936
243159.AFE_1452	B7J9P9
243159.AFE_2940	B7J9R3
243159.AFE_3047	B7JA20
243159.AFE_3077	B7JAI6
243159.AFE_1001	B7J7H6
243159.AFE_1273	B7J8V5
243159.AFE_1518	B7JA95
243159.AFE_1533	B7JAB0
243159.AFE_3128	B7JAN2
243159.AFE_0640	B7J5T7
243159.AFE_2339	B7J6A6
243159.AFE_2525	B7J759
243159.AFE_0950	B7J7C6
243159.AFE_1634	B7JAX3
243159.AFE_1689	B7JB28
243159.AFE_3229	B7JBA9
243159.AFE_1734	B7JBJ2
243159.AFE_1950	B7JC46
243159.AFE_0204	B7J3V0
243159.AFE_0302	B7J446
243159.AFE_0486	B7J509
243159.AFE_0536	B7J555
243159.AFE_2214	B7J5K1
243159.AFE_0800	B7J6L6
243159.AFE_0996	B7J7H1
243159.AFE_2627	B7J7U2
243159.AFE_1105	B7J853
243159.AFE_2719	B7J8F1
243159.AFE_2797	B7J8M2
243159.AFE_2895	B7J987
243159.AFE_1433	B7J9N0
243159.AFE_1670	B7JB09
243159.AFE_0561	B7J579
243159.AFE_0663	B7J5V9
243159.AFE_2544	B7J778
243159.AFE_0981	B7J7F7
243159.AFE_2578	B7J7P5
243159.AFE_1293	B7J8X5
243159.AFE_2879	B7J972
243159.AFE_2932	B7J9Q6
243159.AFE_1469	B7JA46
243159.AFE_1856	B7JBV9
243159.AFE_1956	B7JC51
243159.AFE_1964	B7JC59
243159.AFE_1965	B7JC60
243159.AFE_1975	B7JC70
243159.AFE_0076	B7J3H7
243159.AFE_2559	B7J7M6
243159.AFE_2786	B7J8L2
243159.AFE_2854	B7J947
243159.AFE_0119	B7J3L6
243159.AFE_2008	B7J490
243159.AFE_2278	B7J5R5
243159.AFE_2329	B7J697
243159.AFE_2630	B7J7U5
243159.AFE_2942	B7J9R4
243159.AFE_1457	B7JA34
243159.AFE_1643	B7JAY2
243159.AFE_1655	B7JAZ4
243159.AFE_3291	B7JBG9
243159.AFE_1803	B7JBQ9
243159.AFE_1845	B7JBU8
243159.AFE_1889	B7JBZ1
243159.AFE_1934	B7JC31
243159.AFE_1985	B7JC80
243159.AFE_1993	B7JC88
243159.AFE_0443	B7J4I6
243159.AFE_0754	B7J650
243159.AFE_2409	B7J6H0
243159.AFE_0997	B7J7H2
243159.AFE_2652	B7J7W6
243159.AFE_1451	B7J9P8
243159.AFE_2955	B7J9S8
243159.AFE_1728	B7JB65
243159.AFE_1898	B7JC00
243159.AFE_0092	B7J3J1
243159.AFE_0123	B7J3M0
243159.AFE_2067	B7J4S7
243159.AFE_2116	B7J4X4
243159.AFE_0545	B7J564
243159.AFE_2211	B7J5J9
243159.AFE_0669	B7J5W5
243159.AFE_0887	B7J6U5
243159.AFE_2531	B7J765
243159.AFE_1198	B7J8N1
243159.AFE_1248	B7J8T0
243159.AFE_1421	B7J9L8
243159.AFE_3023	B7J9Z6
243159.AFE_1681	B7JB20
243159.AFE_3189	B7JB70
243159.AFE_1843	B7JBU6
243159.AFE_1287	B7J8W9
243159.AFE_2890	B7J982
243159.AFE_0121	B7J3L8
243159.AFE_0369	B7J4B9
243159.AFE_0434	B7J4H7
243159.AFE_2129	B7J4Y6
243159.AFE_2143	B7J4Z9
243159.AFE_0617	B7J5D3
243159.AFE_2216	B7J5K4
243159.AFE_2441	B7J6Y0
243159.AFE_1000	B7J7H5
243159.AFE_2635	B7J7U9
243159.AFE_1083	B7J832
243159.AFE_1107	B7J855
243159.AFE_1207	B7J8P0
243159.AFE_2827	B7J920
243159.AFE_2866	B7J959
243159.AFE_2891	B7J983
243159.AFE_1496	B7JA73
243159.AFE_1618	B7JAV8
243159.AFE_1671	B7JB10
243159.AFE_3289	B7JBG7
243159.AFE_3292	B7JBH0
243159.AFE_1017	B7J7J2
243159.AFE_1042	B7J7Z1
243159.AFE_1270	B7J8V2
243159.AFE_2847	B7J939
243159.AFE_1373	B7J9H7
243159.AFE_1381	B7J9I2
243159.AFE_0406	B7J4E9
243159.AFE_2222	B7J5K9
243159.AFE_2281	B7J5R8
243159.AFE_2365	B7J6D0
243159.AFE_2545	B7J779
243159.AFE_0946	B7J7C3
243159.AFE_1662	B7JB01
243159.AFE_3211	B7JB92
243159.AFE_1731	B7JBI9
243159.AFE_0233	B7J3X7
243159.AFE_2185	B7J5H3
243159.AFE_2458	B7J6Z5
243159.AFE_0925	B7J7A2
243159.AFE_0944	B7J7C1
243159.AFE_2730	B7J8G1
243159.AFE_1553	B7JAD0
243159.AFE_3065	B7JAH4
243159.AFE_1656	B7JAZ5
243159.AFE_1709	B7JB46
243159.AFE_1714	B7JB51
243159.AFE_1715	B7JB52
243159.AFE_0039	B7J3E0
243159.AFE_0457	B7J4K0
243159.AFE_2053	B7J4R4
243159.AFE_2210	B7J5J8
243159.AFE_2275	B7J5R2
243159.AFE_0685	B7J5Y1
243159.AFE_0840	B7J6Q6
243159.AFE_2456	B7J6Z3
243159.AFE_1111	B7J859
243159.AFE_2696	B7J8C8
243159.AFE_2715	B7J8E7
243159.AFE_1211	B7J8P4
243159.AFE_1247	B7J8S9
243159.AFE_1401	B7J9K2
243159.AFE_1426	B7J9M4
243159.AFE_1437	B7J9N4
243159.AFE_3054	B7JA27
243159.AFE_1584	B7JAG0
243159.AFE_1673	B7JB12
243159.AFE_0050	B7J3F1
243159.AFE_0176	B7J3S2
243159.AFE_0333	B7J473
243159.AFE_0397	B7J4E0
243159.AFE_0633	B7J5T0
243159.AFE_0860	B7J6S3
243159.AFE_0878	B7J6T8
243159.AFE_2499	B7J734
243159.AFE_1009	B7J7I4
243159.AFE_2654	B7J7W8
243159.AFE_1277	B7J8V9
243159.AFE_2883	B7J975
243159.AFE_2991	B7J9W4
243159.AFE_1507	B7JA84
243159.AFE_1737	B7JBJ5
243159.AFE_2005	B7JC98
243159.AFE_0433	B7J4H6
243159.AFE_2224	B7J5L1
243159.AFE_2367	B7J6D2
243159.AFE_1834	B7JBT9
243159.AFE_1872	B7JBX4
243159.AFE_2131	B7J4Y8
243159.AFE_2336	B7J6A3
243159.AFE_0796	B7J6L2
243159.AFE_0824	B7J6P0
243159.AFE_2476	B7J713
243159.AFE_2516	B7J750
243159.AFE_0949	B7J7C5
243159.AFE_2648	B7J7W2
243159.AFE_1103	B7J851
243159.AFE_2695	B7J8C7
243159.AFE_2817	B7J910
243159.AFE_1430	B7J9M7
243159.AFE_3057	B7JAG6
243159.AFE_1762	B7JBL9
243159.AFE_0193	B7J3T9
243159.AFE_0276	B7J420
243159.AFE_0446	B7J4I9
243159.AFE_2191	B7J5H9
243159.AFE_2494	B7J729
243159.AFE_2700	B7J8D2
243159.AFE_1627	B7JAW7
243159.AFE_1896	B7JBZ7
243159.AFE_1987	B7JC82
243159.AFE_0294	B7J438
243159.AFE_2184	B7J5H2
243159.AFE_0771	B7J6I7
243159.AFE_2497	B7J732
243159.AFE_2590	B7J7Q7
243159.AFE_2806	B7J8Z9
243159.AFE_1414	B7J9L2
243159.AFE_1438	B7J9N5
243159.AFE_3048	B7JA21
243159.AFE_3261	B7JBD9
243159.AFE_1945	B7JC42
243159.AFE_2088	B7J4U8
243159.AFE_0648	B7J5U5
243159.AFE_0695	B7J5Z0
243159.AFE_0714	B7J610
243159.AFE_2484	B7J719
243159.AFE_2543	B7J777
243159.AFE_0927	B7J7A4
243159.AFE_0952	B7J7C8
243159.AFE_1085	B7J833
243159.AFE_1326	B7J9D1
243159.AFE_2978	B7J9V1
243159.AFE_1686	B7JB25
243159.AFE_1700	B7JB38
243159.AFE_1903	B7JC04
243159.AFE_0551	B7J570
243159.AFE_0845	B7J6R0
243159.AFE_0117	B7J3L4
243159.AFE_1475	B7JA52
243159.AFE_2078	B7J4T8
243159.AFE_1551	B7JAC8
243159.AFE_0103	B7J3K1
243159.AFE_0224	B7J3W8
243159.AFE_0242	B7J3Y6
243159.AFE_0686	B7J5Y2
243159.AFE_2325	B7J694
243159.AFE_0772	B7J6I8
243159.AFE_2522	B7J756
243159.AFE_1099	B7J847
243159.AFE_1114	B7J862
243159.AFE_2798	B7J8M3
243159.AFE_1222	B7J8Q4
243159.AFE_2949	B7J9S2
243159.AFE_2957	B7J9T0
243159.AFE_3055	B7JA28
243159.AFE_3219	B7JBA0
243159.AFE_1732	B7JBJ0
243159.AFE_1750	B7JBK7
243159.AFE_1936	B7JC33
243159.AFE_2225	B7J5L2
243159.AFE_0713	B7J609
243159.AFE_0741	B7J637
243159.AFE_2366	B7J6D1
243159.AFE_1654	B7JAZ3
243159.AFE_2208	B7J5J7
243159.AFE_1864	B7JBW7
243159.AFE_0033	B7J3D4
243159.AFE_0107	B7J3K5
243159.AFE_0627	B7J5S4
243159.AFE_0710	B7J606
243159.AFE_0945	B7J7C2
243159.AFE_2561	B7J7M8
243159.AFE_2576	B7J7P3
243159.AFE_2629	B7J7U4
243159.AFE_1231	B7J8R3
243159.AFE_1308	B7J8Z0
243159.AFE_2909	B7J9A1
243159.AFE_1523	B7JAA0
243159.AFE_3094	B7JAJ8
243159.AFE_3152	B7JAQ6
243159.AFE_3237	B7JBB5
243159.AFE_1901	B7JC02
243159.AFE_0827	B7J6P3
243159.AFE_2444	B7J6Y3
243159.AFE_2486	B7J721
243159.AFE_0447	B7J4J0
243159.AFE_0105	B7J3K3
243159.AFE_1174	B7J8A5
243159.AFE_3221	B7JBA2
243159.AFE_2029	B7J4P0
243159.AFE_2299	B7J670
243159.AFE_3098	B7JAK2
243159.AFE_2928	B7J9Q2
243159.AFE_1980	B7JC75
243159.AFE_0441	B7J4I4
243159.AFE_0623	B7J5D9
243159.AFE_2918	B7J9A9
243159.AFE_1902	B7JC03
243159.AFE_2650	B7J7W4
243159.AFE_2720	B7J8F2
243159.AFE_1740	B7JBJ8
243159.AFE_0278	B7J422
243159.AFE_1007	B7J7I2
243159.AFE_0956	B7J7D2
243159.AFE_0658	B7J5V4
243159.AFE_0765	B7J6I1
243159.AFE_1147	B7J895
243159.AFE_1232	B7J8R4
243159.AFE_2987	B7J9W0
243159.AFE_1610	B7JAV0
243159.AFE_1741	B7JBJ9
243159.AFE_0466	B7J4K9
243159.AFE_0482	B7J4M6
243159.AFE_2123	B7J4Y1
243159.AFE_0533	B7J552
243159.AFE_0615	B7J5D1
243159.AFE_2288	B7J661
243159.AFE_2311	B7J681
243159.AFE_2392	B7J6F5
243159.AFE_0843	B7J6Q9
243159.AFE_2437	B7J6X7
243159.AFE_2439	B7J6X9
243159.AFE_2547	B7J7L4
243159.AFE_2607	B7J7S3
243159.AFE_2745	B7J8H4
243159.AFE_2911	B7J9A2
243159.AFE_1712	B7JB49
243159.AFE_3308	B7JBI6
243159.AFE_1756	B7JBL3
243159.AFE_1913	B7JC13
243159.AFE_1302	B7J8Y4
243159.AFE_0073	B7J3H4
243159.AFE_0074	B7J3H5
243159.AFE_0766	B7J6I2
243159.AFE_1442	B7J9N9
243159.AFE_3235	B7JBB3
243159.AFE_0079	B7J3I0
243159.AFE_0158	B7J3Q4
243159.AFE_0172	B7J3R8
243159.AFE_0190	B7J3T6
243159.AFE_0232	B7J3X6
243159.AFE_2054	B7J4R5
243159.AFE_2105	B7J4W4
243159.AFE_0568	B7J587
243159.AFE_0602	B7J5B8
243159.AFE_0668	B7J5W4
243159.AFE_2317	B7J686
243159.AFE_0782	B7J6J8
243159.AFE_2425	B7J6W5
243159.AFE_1010	B7J7I5
243159.AFE_2562	B7J7M9
243159.AFE_2613	B7J7S9
243159.AFE_2625	B7J7U0
243159.AFE_2647	B7J7W1
243159.AFE_1050	B7J7Z8
243159.AFE_2893	B7J984
243159.AFE_1365	B7J9G9
243159.AFE_2929	B7J9Q3
243159.AFE_1534	B7JAB1
243159.AFE_1615	B7JAV5
243159.AFE_3196	B7JB77
243159.AFE_3199	B7JB80
243159.AFE_1861	B7JBW3
243159.AFE_2212	B7J5K0
243159.AFE_0037	B7J3D8
243159.AFE_0062	B7J3G3
243159.AFE_0212	B7J3V8
243159.AFE_2151	B7J507
243159.AFE_0495	B7J517
243159.AFE_2171	B7J5F9
243159.AFE_2372	B7J6D6
243159.AFE_0795	B7J6L1
243159.AFE_0993	B7J7G9
243159.AFE_2981	B7J9V4
243159.AFE_2989	B7J9W2
243159.AFE_1501	B7JA78
243159.AFE_3062	B7JAH1
243159.AFE_3161	B7JAR5
243159.AFE_1860	B7JBW4
243159.AFE_1910	B7JC11
243159.AFE_0192	B7J3T7
243159.AFE_1408	B7J9K9
243159.AFE_2156	B7J5E4
243159.AFE_0738	B7J634
243159.AFE_2480	B7J716
243159.AFE_2539	B7J773
243159.AFE_1808	B7JBR4
243159.AFE_0185	B7J3T1
243159.AFE_0269	B7J413
243159.AFE_0292	B7J436
243159.AFE_0461	B7J4K4
243159.AFE_0523	B7J542
243159.AFE_2248	B7J5N5
243159.AFE_0751	B7J647
243159.AFE_2364	B7J6C9
243159.AFE_2412	B7J6H3
243159.AFE_2528	B7J761
243159.AFE_1244	B7J8S6
243159.AFE_1296	B7J8X8
243159.AFE_1323	B7J9C8
243159.AFE_1388	B7J9I9
243159.AFE_3060	B7JAG9
243159.AFE_3066	B7JAH5
243159.AFE_1599	B7JAU1
243159.AFE_0870	B7J6T2
243159.AFE_0220	B7J3W4
243159.AFE_0022	B7J3C3
243159.AFE_0731	B7J627
243159.AFE_2343	B7J6B0
243159.AFE_2757	B7J8I5
243159.AFE_1217	B7J8Q0
243159.AFE_3259	B7JBD7
243159.AFE_1754	B7JBL1
243159.AFE_1888	B7JBZ0
243159.AFE_0008	B7J3B0
243159.AFE_0075	B7J3H6
243159.AFE_0250	B7J3Z4
243159.AFE_0265	B7J409
243159.AFE_0391	B7J4D4
243159.AFE_2186	B7J5H4
243159.AFE_2597	B7J7R4
243159.AFE_2603	B7J7S0
243159.AFE_1047	B7J7Z5
243159.AFE_1684	B7JB24
243159.AFE_3223	B7JBA4
243159.AFE_1787	B7JBP3
243159.AFE_2518	B7J753
243159.AFE_1900	B7JC01
243159.AFE_0929	B7J7A6
243159.AFE_0102	B7J3K0
243159.AFE_0182	B7J3S8
243159.AFE_0188	B7J3T4
243159.AFE_0253	B7J3Z7
243159.AFE_2118	B7J4X6
243159.AFE_2253	B7J5P0
243159.AFE_2404	B7J6G6
243159.AFE_2457	B7J6Z4
243159.AFE_2470	B7J707
243159.AFE_1014	B7J7I9
243159.AFE_2974	B7J9U7
243159.AFE_3017	B7J9Z0
243159.AFE_3033	B7JA06
243159.AFE_3130	B7JAN4
243159.AFE_3149	B7JAQ3
243159.AFE_1639	B7JAX8
243159.AFE_1721	B7JB58
243159.AFE_1976	B7JC71
243159.AFE_2872	B7J965
243159.AFE_0087	B7J3I6
243159.AFE_0304	B7J448
243159.AFE_0498	B7J519
243159.AFE_0852	B7J6R7
243159.AFE_1104	B7J852
243159.AFE_0005	B7J3A7
243159.AFE_0201	B7J3U7
243159.AFE_0262	B7J406
243159.AFE_2090	B7J4V0
243159.AFE_2092	B7J4V2
243159.AFE_2145	B7J501
243159.AFE_0589	B7J5A5
243159.AFE_2744	B7J8H3
243159.AFE_2746	B7J8H5
243159.AFE_1318	B7J9C3
243159.AFE_2960	B7J9T3
243159.AFE_3049	B7JA22
243159.AFE_1586	B7JAG2
243159.AFE_3089	B7JAJ3
243159.AFE_1667	B7JB06
243159.AFE_1690	B7JB29
243159.AFE_1706	B7JB44
243159.AFE_1830	B7JBT5
243159.AFE_1925	B7JC22
243159.AFE_1966	B7JC61
243159.AFE_2485	B7J720
243159.AFE_1472	B7JA49
243159.AFE_3186	B7JB67
243159.AFE_1242	B7J8S3
243159.AFE_0109	B7J3K7
243159.AFE_1315	B7J9B9
243159.AFE_1344	B7J9E9
243159.AFE_1510	B7JA87
243159.AFE_1822	B7JBS8
243159.AFE_0048	B7J3E9
243159.AFE_2034	B7J4P5
243159.AFE_0727	B7J623
243159.AFE_2383	B7J6E7
243159.AFE_2496	B7J731
243159.AFE_2501	B7J736
243159.AFE_0986	B7J7G2
243159.AFE_2549	B7J7L6
243159.AFE_2659	B7J7X3
243159.AFE_1074	B7J822
243159.AFE_2882	B7J974
243159.AFE_2887	B7J979
243159.AFE_1324	B7J9C9
243159.AFE_1330	B7J9D5
243159.AFE_2977	B7J9V0
243159.AFE_2996	B7J9W9
243159.AFE_3011	B7J9Y4
243159.AFE_1562	B7JAD8
243159.AFE_1588	B7JAG4
243159.AFE_3188	B7JB69
243159.AFE_3274	B7JBF2
243159.AFE_1779	B7JBN5
243159.AFE_3114	B7JAL8
243159.AFE_1775	B7JBN1
243159.AFE_0401	B7J4E4
243159.AFE_2829	B7J922
243159.AFE_2776	B7J8K2
243159.AFE_0440	B7J4I3
243159.AFE_0553	B7J572
243159.AFE_0735	B7J631
243159.AFE_1633	B7JAX1
243159.AFE_0115	B7J3L2
243159.AFE_2513	B7J747
243159.AFE_0966	B7J7E2
243159.AFE_2568	B7J7N5
243159.AFE_1129	B7J877
243159.AFE_2903	B7J994
243159.AFE_1547	B7JAC5
243159.AFE_3063	B7JAH2
243159.AFE_3072	B7JAI1
243159.AFE_3193	B7JB74
243159.AFE_1887	B7JBY9
243159.AFE_1977	B7JC72
243159.AFE_0111	B7J3K8
243159.AFE_0967	B7J7E3
243159.AFE_1483	B7JA60
243159.AFE_0168	B7J3R5
243159.AFE_0226	B7J3X0
243159.AFE_0581	B7J599
243159.AFE_0704	B7J600
243159.AFE_0897	B7J6V3
243159.AFE_1035	B7J7L0
