,EC_number,RID,Organism,Turnover_Number
53,1.1.1.1,R04880,Geobacillus thermodenitrificans,443.1
54,1.1.1.1,R04880,Homo sapiens,0.717
55,1.1.1.1,R04880,Mesocricetus auratus,7.75
56,1.1.1.1,R04880,Sulfolobus acidocaldarius,11.5
57,1.1.1.1,R04880,Sulfolobus solfataricus,3.95
58,1.1.1.1,R04880,Thermus thermophilus,26.62
59,1.1.1.1,R05233,Aeropyrum pernix,0.405
60,1.1.1.1,R05233,Coturnix coturnix,6.18
61,1.1.1.1,R05233,Geobacillus thermodenitrificans,443.1
62,1.1.1.1,R05233,Homo sapiens,0.717
63,1.1.1.1,R05233,Mesocricetus auratus,7.75
64,1.1.1.1,R05233,Sulfolobus acidocaldarius,11.5
65,1.1.1.1,R05233,Sulfolobus solfataricus,3.95
66,1.1.1.1,R05233,Thermus thermophilus,26.62
67,1.1.1.1,R05234,Aeropyrum pernix,0.405
68,1.1.1.1,R05234,Coturnix coturnix,6.18
69,1.1.1.1,R05234,Geobacillus thermodenitrificans,443.1
70,1.1.1.1,R05234,Homo sapiens,0.717
71,1.1.1.1,R05234,Mesocricetus auratus,7.75
72,1.1.1.1,R05234,Sulfolobus acidocaldarius,11.5
73,1.1.1.1,R05234,Sulfolobus solfataricus,3.95
74,1.1.1.1,R05234,Thermus thermophilus,26.62
75,1.1.1.1,R06917,Aeropyrum pernix,0.405
76,1.1.1.1,R06917,Coturnix coturnix,6.18
77,1.1.1.1,R06917,Geobacillus thermodenitrificans,443.1
78,1.1.1.1,R06917,Homo sapiens,0.717
79,1.1.1.1,R06917,Mesocricetus auratus,7.75
80,1.1.1.1,R06917,Sulfolobus acidocaldarius,11.5
81,1.1.1.1,R06917,Sulfolobus solfataricus,3.95
82,1.1.1.1,R06917,Thermus thermophilus,26.62
83,1.1.1.1,R06927,Aeropyrum pernix,0.405
84,1.1.1.1,R06927,Coturnix coturnix,6.18
85,1.1.1.1,R06927,Geobacillus thermodenitrificans,443.1
86,1.1.1.1,R06927,Homo sapiens,0.717
87,1.1.1.1,R06927,Mesocricetus auratus,7.75
88,1.1.1.1,R06927,Sulfolobus acidocaldarius,11.5
89,1.1.1.1,R06927,Sulfolobus solfataricus,3.95
90,1.1.1.1,R06927,Thermus thermophilus,26.62
91,1.1.1.1,R07105,Aeropyrum pernix,0.405
92,1.1.1.1,R07105,Coturnix coturnix,6.18
93,1.1.1.1,R07105,Geobacillus thermodenitrificans,443.1
94,1.1.1.1,R07105,Homo sapiens,0.717
95,1.1.1.1,R07105,Mesocricetus auratus,7.75
96,1.1.1.1,R07105,Sulfolobus acidocaldarius,11.5
97,1.1.1.1,R07105,Sulfolobus solfataricus,3.95
98,1.1.1.1,R07105,Thermus thermophilus,26.62
99,1.1.1.1,R07326,Aeropyrum pernix,0.405
100,1.1.1.1,R07326,Coturnix coturnix,6.18
101,1.1.1.1,R07326,Geobacillus thermodenitrificans,443.1
102,1.1.1.1,R07326,Homo sapiens,0.717
103,1.1.1.1,R07326,Mesocricetus auratus,7.75
104,1.1.1.1,R07326,Sulfolobus acidocaldarius,11.5
105,1.1.1.1,R07326,Sulfolobus solfataricus,3.95
106,1.1.1.1,R07326,Thermus thermophilus,26.62
107,1.1.1.1,R07327,Aeropyrum pernix,0.405
108,1.1.1.1,R07327,Coturnix coturnix,6.18
109,1.1.1.1,R07327,Geobacillus thermodenitrificans,443.1
110,1.1.1.1,R07327,Homo sapiens,0.717
111,1.1.1.1,R07327,Mesocricetus auratus,7.75
112,1.1.1.1,R07327,Sulfolobus acidocaldarius,11.5
113,1.1.1.1,R07327,Sulfolobus solfataricus,3.95
114,1.1.1.1,R07327,Thermus thermophilus,26.62
115,1.1.1.1,R08281,Aeropyrum pernix,0.405
116,1.1.1.1,R08281,Coturnix coturnix,6.18
117,1.1.1.1,R08281,Geobacillus thermodenitrificans,443.1
118,1.1.1.1,R08281,Homo sapiens,0.717
119,1.1.1.1,R08281,Mesocricetus auratus,7.75
120,1.1.1.1,R08281,Sulfolobus acidocaldarius,11.5
121,1.1.1.1,R08281,Sulfolobus solfataricus,3.95
122,1.1.1.1,R08281,Thermus thermophilus,26.62
123,1.1.1.1,R08306,Aeropyrum pernix,0.405
124,1.1.1.1,R08306,Coturnix coturnix,6.18
125,1.1.1.1,R08306,Geobacillus thermodenitrificans,443.1
126,1.1.1.1,R08306,Homo sapiens,0.717
127,1.1.1.1,R08306,Mesocricetus auratus,7.75
128,1.1.1.1,R08306,Sulfolobus acidocaldarius,11.5
129,1.1.1.1,R08306,Sulfolobus solfataricus,3.95
130,1.1.1.1,R08306,Thermus thermophilus,26.62
131,1.1.1.1,R08310,Aeropyrum pernix,0.405
132,1.1.1.1,R08310,Coturnix coturnix,6.18
133,1.1.1.1,R08310,Geobacillus thermodenitrificans,443.1
134,1.1.1.1,R08310,Homo sapiens,0.717
135,1.1.1.1,R08310,Mesocricetus auratus,7.75
136,1.1.1.1,R08310,Sulfolobus acidocaldarius,11.5
137,1.1.1.1,R08310,Sulfolobus solfataricus,3.95
138,1.1.1.1,R08310,Thermus thermophilus,26.62
139,1.1.1.1,R08557,Aeropyrum pernix,0.405
140,1.1.1.1,R08557,Coturnix coturnix,6.18
141,1.1.1.1,R08557,Geobacillus thermodenitrificans,443.1
142,1.1.1.1,R08557,Homo sapiens,0.717
143,1.1.1.1,R08557,Mesocricetus auratus,7.75
144,1.1.1.1,R08557,Sulfolobus acidocaldarius,11.5
145,1.1.1.1,R08557,Sulfolobus solfataricus,3.95
146,1.1.1.1,R08557,Thermus thermophilus,26.62
147,1.1.1.1,R08558,Geobacillus thermodenitrificans,283.1
148,1.1.1.10,R01904,Cavia porcellus,23.0
149,1.1.1.10,R01904,Homo sapiens,0.65
150,1.1.1.10,R01904,Mesocricetus auratus,26.0
151,1.1.1.10,R01904,Mus musculus,17.0
152,1.1.1.10,R01904,Neurospora crassa,5.6
153,1.1.1.10,R01904,Rattus norvegicus,10.0
154,1.1.1.10,R01904,Trichoderma reesei,4.375
155,1.1.1.100,R02767,Escherichia coli,0.59
156,1.1.1.100,R02767,Mycobacterium tuberculosis,7.0
157,1.1.1.100,R02767,Plasmodium falciparum,254.5
158,1.1.1.100,R02767,Streptococcus pneumoniae,11.0
159,1.1.1.100,R04533,Escherichia coli,0.59
160,1.1.1.100,R04533,Mycobacterium tuberculosis,7.0
161,1.1.1.100,R04533,Plasmodium falciparum,254.5
162,1.1.1.100,R04533,Streptococcus pneumoniae,11.0
163,1.1.1.100,R04534,Escherichia coli,0.59
164,1.1.1.100,R04534,Mycobacterium tuberculosis,7.0
165,1.1.1.100,R04534,Plasmodium falciparum,254.5
166,1.1.1.100,R04534,Streptococcus pneumoniae,11.0
167,1.1.1.100,R04536,Escherichia coli,0.59
168,1.1.1.100,R04536,Mycobacterium tuberculosis,7.0
169,1.1.1.100,R04536,Plasmodium falciparum,254.5
170,1.1.1.100,R04536,Streptococcus pneumoniae,11.0
171,1.1.1.100,R04543,Escherichia coli,0.59
172,1.1.1.100,R04543,Mycobacterium tuberculosis,7.0
173,1.1.1.100,R04543,Plasmodium falciparum,254.5
174,1.1.1.100,R04543,Streptococcus pneumoniae,11.0
175,1.1.1.100,R04566,Escherichia coli,0.59
176,1.1.1.100,R04566,Mycobacterium tuberculosis,7.0
177,1.1.1.100,R04566,Plasmodium falciparum,254.5
178,1.1.1.100,R04566,Streptococcus pneumoniae,11.0
179,1.1.1.100,R04953,Escherichia coli,0.59
180,1.1.1.100,R04953,Mycobacterium tuberculosis,7.0
181,1.1.1.100,R04953,Plasmodium falciparum,254.5
182,1.1.1.100,R04953,Streptococcus pneumoniae,11.0
183,1.1.1.100,R04964,Escherichia coli,0.59
184,1.1.1.100,R04964,Mycobacterium tuberculosis,7.0
185,1.1.1.100,R04964,Plasmodium falciparum,254.5
186,1.1.1.100,R04964,Streptococcus pneumoniae,11.0
187,1.1.1.100,R07763,Escherichia coli,0.59
188,1.1.1.100,R07763,Mycobacterium tuberculosis,7.0
189,1.1.1.100,R07763,Plasmodium falciparum,254.5
190,1.1.1.100,R07763,Streptococcus pneumoniae,11.0
191,1.1.1.101,R02756,Cavia porcellus,100.0
192,1.1.1.101,R03357,Cavia porcellus,100.0
193,1.1.1.101,R04360,Cavia porcellus,100.0
194,1.1.1.102,R02978,Candida albicans,1.07
195,1.1.1.103,R01465,Cupriavidus necator,38.0
196,1.1.1.103,R01465,Pyrococcus horikoshii,9.1
197,1.1.1.105,R02124,Homo sapiens,0.02
198,1.1.1.107,R01707,Mesorhizobium loti,142.5
199,1.1.1.107,R01707,Microbacterium luteolum,59.2
200,1.1.1.11,R00868,Gluconobacter oxydans,35.3
201,1.1.1.11,R05604,Gluconobacter oxydans,876.0
202,1.1.1.119,R00301,Haloferax mediterranei,0.250255
203,1.1.1.119,R00301,Sulfolobus tokodaii,5.105
204,1.1.1.119,R07147,Haloferax mediterranei,0.250255
205,1.1.1.119,R07147,Sulfolobus tokodaii,5.105
206,1.1.1.12,R01903,Aspergillus niger,11.425
207,1.1.1.12,R01903,Neurospora crassa,20.1
208,1.1.1.12,R01903,Penicillium chrysogenum,17.7
209,1.1.1.12,R01903,Rasamsonia emersonii,5.0
210,1.1.1.12,R01903,Trichoderma reesei,6.51
211,1.1.1.121,R00300,Thermus thermophilus HB8,3.85
212,1.1.1.121,R01429,Thermus thermophilus HB8,0.423
213,1.1.1.121,R08544,Thermus thermophilus HB8,8.25
214,1.1.1.133,R02777,Salmonella enterica,29.0
215,1.1.1.136,R00421,Escherichia coli,1.19
216,1.1.1.136,R00421,Salmonella enterica subsp. enterica serovar Typhi,15.5
217,1.1.1.137,R01524,Streptococcus pneumoniae,0.5
218,1.1.1.137,R01525,Haemophilus influenzae,3.72
219,1.1.1.137,R01525,Staphylococcus aureus,3.435
220,1.1.1.137,R01525,Streptococcus pneumoniae,0.5
221,1.1.1.14,R00875,Candida sp. HA 167,161.0
222,1.1.1.14,R00875,Ovis aries,254.0
223,1.1.1.14,R00875,Rattus norvegicus,0.71
224,1.1.1.141,R02580,Homo sapiens,12.4
225,1.1.1.141,R02683,Homo sapiens,47.0
226,1.1.1.145,R01837,Bos taurus,0.0333
227,1.1.1.145,R01837,Homo sapiens,0.06
228,1.1.1.145,R01837,Mycobacterium tuberculosis,11.6
229,1.1.1.145,R02216,Bos taurus,0.04
230,1.1.1.145,R02216,Homo sapiens,0.065
231,1.1.1.145,R02216,Mycobacterium tuberculosis,1.48
232,1.1.1.145,R02499,Bos taurus,0.0333
233,1.1.1.145,R02499,Homo sapiens,0.065
234,1.1.1.145,R02840,Homo sapiens,0.065
235,1.1.1.145,R03176,Homo sapiens,0.065
236,1.1.1.145,R03327,Homo sapiens,0.065
237,1.1.1.145,R04163,Homo sapiens,0.065
238,1.1.1.145,R04678,Homo sapiens,0.07
239,1.1.1.145,R04849,Homo sapiens,0.065
240,1.1.1.146,R02834,Cavia porcellus,0.17
241,1.1.1.146,R02834,Homo sapiens,0.134
242,1.1.1.146,R02836,Cavia porcellus,0.17
243,1.1.1.146,R02836,Homo sapiens,0.134
244,1.1.1.146,R03848,Rattus sp.,0.000148
245,1.1.1.149,R02207,Rattus norvegicus,1.65
246,1.1.1.149,R02209,Rattus norvegicus,1.52
247,1.1.1.149,R03325,Rattus norvegicus,1.43
248,1.1.1.149,R08958,Rattus norvegicus,1.475
249,1.1.1.149,R08959,Rattus norvegicus,1.475
250,1.1.1.154,R02935,Escherichia coli,59.5
251,1.1.1.154,R02936,Escherichia coli,57.0
252,1.1.1.159,R02792,Escherichia coli,107.15
253,1.1.1.169,R02472,Escherichia coli,25.0
254,1.1.1.17,R00758,Aspergillus fumigatus,67.8
255,1.1.1.17,R02703,Aspergillus fumigatus,9.55
256,1.1.1.175,R01429,Caulobacter vibrioides,28.25
257,1.1.1.179,R01430,Arthrobacter nicotinovorans,12.7
258,1.1.1.179,R01430,Haloarcula marismortui,356.0
259,1.1.1.179,R01430,Macaca fascicularis,2.6
260,1.1.1.179,R01430,Sus scrofa,58.0
261,1.1.1.179,R01430,Trichoderma reesei,21.8
262,1.1.1.18,R01183,Bacillus subtilis,58.0
263,1.1.1.184,R02581,Candida magnoliae,870.0
264,1.1.1.184,R02581,Candida parapsilosis,1.48
265,1.1.1.184,R02581,Homo sapiens,25.85
266,1.1.1.184,R02581,Methanobacterium palustre,186.0
267,1.1.1.184,R03557,Candida magnoliae,870.0
268,1.1.1.184,R03557,Candida parapsilosis,1.48
269,1.1.1.184,R03557,Homo sapiens,26.7
270,1.1.1.184,R03557,Methanobacterium palustre,186.0
271,1.1.1.184,R09420,Candida magnoliae,870.0
272,1.1.1.184,R09420,Candida parapsilosis,1.48
273,1.1.1.184,R09420,Homo sapiens,26.7
274,1.1.1.184,R09420,Methanobacterium palustre,186.0
275,1.1.1.192,R01998,Geobacillus thermodenitrificans,38.5
276,1.1.1.192,R02462,Geobacillus thermodenitrificans,38.5
277,1.1.1.195,R02593,Eucalyptus gunnii,0.27275
278,1.1.1.195,R02593,Helicobacter pylori,20.35
279,1.1.1.195,R02593,Nicotiana tabacum,0.335
280,1.1.1.195,R02593,Oryza sativa,1.3
281,1.1.1.195,R02593,Panicum virgatum,99.6
282,1.1.1.195,R03054,Eucalyptus gunnii,0.27275
283,1.1.1.195,R03054,Geobacillus stearothermophilus,49.0
284,1.1.1.195,R03054,Helicobacter pylori,14.4
285,1.1.1.195,R03054,Streptomyces sp.,16.25
286,1.1.1.195,R03054,Synechocystis sp.,84.34
287,1.1.1.195,R03918,Eucalyptus gunnii,0.27275
288,1.1.1.195,R03918,Helicobacter pylori,20.35
289,1.1.1.195,R03918,Oryza sativa,3.4
290,1.1.1.195,R03918,Panicum virgatum,195.0
291,1.1.1.195,R06570,Eucalyptus gunnii,0.27275
292,1.1.1.195,R06570,Helicobacter pylori,20.35
293,1.1.1.195,R06571,Eucalyptus gunnii,0.27275
294,1.1.1.195,R06571,Helicobacter pylori,20.35
295,1.1.1.195,R07437,Arabidopsis thaliana,6.8
296,1.1.1.195,R07437,Eucalyptus gunnii,0.27275
297,1.1.1.195,R07437,Helicobacter pylori,20.35
298,1.1.1.195,R07437,Panicum virgatum,24.7
299,1.1.1.198,R02944,Lavandula x intermedia,0.0004
300,1.1.1.2,R00625,Lactobacillus brevis,21.25
301,1.1.1.2,R00625,Pyrococcus furiosus,11.05
302,1.1.1.2,R00625,Thermococcus sp.,81.0
303,1.1.1.2,R00625,Thermotoga hypogea,51.0
304,1.1.1.2,R00746,Escherichia coli,53.5
305,1.1.1.2,R00746,Lactobacillus brevis,21.25
306,1.1.1.2,R00746,Pyrococcus furiosus,11.05
307,1.1.1.2,R00746,Synechocystis sp.,92.475
308,1.1.1.2,R00746,Thermococcus sp.,81.0
309,1.1.1.2,R00746,Thermotoga hypogea,32.5
310,1.1.1.2,R01041,Homo sapiens,0.0283
311,1.1.1.2,R01041,Lactobacillus brevis,21.25
312,1.1.1.2,R01041,Pyrococcus furiosus,11.05
313,1.1.1.2,R01041,Sus scrofa,7.506
314,1.1.1.2,R01041,Thermococcus sp.,81.0
315,1.1.1.2,R01041,Thermotoga hypogea,51.0
316,1.1.1.2,R05231,Lactobacillus brevis,21.25
317,1.1.1.2,R05231,Pyrococcus furiosus,11.05
318,1.1.1.2,R05231,Thermococcus sp.,81.0
319,1.1.1.2,R05231,Thermotoga hypogea,51.0
320,1.1.1.2,R07328,Lactobacillus brevis,21.25
321,1.1.1.2,R07328,Pyrococcus furiosus,11.05
322,1.1.1.2,R07328,Thermococcus sp.,81.0
323,1.1.1.2,R07328,Thermotoga hypogea,51.0
324,1.1.1.200,R00834,Malus domestica,0.1155
325,1.1.1.201,R03753,Collinsella aerofaciens,16.45
326,1.1.1.202,R02377,Klebsiella pneumoniae,71.315
327,1.1.1.202,R03119,Klebsiella pneumoniae,71.315
328,1.1.1.203,R01981,Agrobacterium tumefaciens,0.92
329,1.1.1.203,R01981,Pseudomonas putida KT2440,0.3
330,1.1.1.203,R01981,Pseudomonas syringae,26.7
331,1.1.1.203,R01981,Pseudomonas syringae pv. tomato,0.24
332,1.1.1.205,R01130,Borrelia burgdorferi,1.32165
333,1.1.1.205,R01130,Cryptosporidium parvum,2.6
334,1.1.1.205,R01130,Escherichia coli,13.0
335,1.1.1.205,R01130,Homo sapiens,0.31
336,1.1.1.205,R01130,Mycobacterium tuberculosis,0.53
337,1.1.1.205,R01130,Streptococcus pyogenes,12.2
338,1.1.1.205,R01130,Toxoplasma gondii,0.98
339,1.1.1.205,R01130,Tritrichomonas suis,1.9
340,1.1.1.205,R08240,Borrelia burgdorferi,0.0433
341,1.1.1.205,R08240,Cryptosporidium parvum,1.7
342,1.1.1.205,R08240,Homo sapiens,0.2075
343,1.1.1.205,R08240,Toxoplasma gondii,0.98
344,1.1.1.205,R08240,Tritrichomonas suis,1.65
345,1.1.1.206,R02832,Datura stramonium,25.6
346,1.1.1.206,R02832,Withania coagulans,4.85
347,1.1.1.207,R02177,Mentha x piperita,0.6
348,1.1.1.208,R02548,Artemisia annua,0.755
349,1.1.1.208,R02548,Mentha x piperita,0.06
350,1.1.1.209,R02476,Homo sapiens,0.000367
351,1.1.1.209,R02477,Homo sapiens,0.000367
352,1.1.1.21,R01036,Homo sapiens,0.55
353,1.1.1.21,R01041,Homo sapiens,0.55
354,1.1.1.21,R01093,Candida tenuis,1.1
355,1.1.1.21,R01093,Homo sapiens,0.379
356,1.1.1.21,R01095,Candida tenuis,1.1
357,1.1.1.21,R01095,Homo sapiens,0.379
358,1.1.1.21,R01431,Candida tenuis,0.283
359,1.1.1.21,R01431,Homo sapiens,1.1675
360,1.1.1.21,R02531,Candida tenuis,266.0
361,1.1.1.21,R02531,Leishmania donovani,61.4
362,1.1.1.21,R02531,Rattus norvegicus,0.43
363,1.1.1.213,R02476,Comamonas testosteroni,318.0
364,1.1.1.213,R02476,Rattus norvegicus,0.83
365,1.1.1.213,R02477,Comamonas testosteroni,318.0
366,1.1.1.213,R02477,Rattus norvegicus,0.83
367,1.1.1.213,R08955,Mesocricetus auratus,0.5
368,1.1.1.213,R08957,Rattus norvegicus,0.365
369,1.1.1.215,R01739,Gluconobacter oxydans,48.2
370,1.1.1.22,R00286,Arabidopsis thaliana,1.92
371,1.1.1.22,R00286,Burkholderia cenocepacia J2315,0.1435
372,1.1.1.22,R00286,Burkholderia cepacia,6.8
373,1.1.1.22,R00286,Homo sapiens,1.8
374,1.1.1.22,R00286,Pseudomonas aeruginosa,0.59
375,1.1.1.22,R00286,Sphingomonas elodea,8.165
376,1.1.1.22,R00286,Streptococcus pyogenes,0.117
377,1.1.1.227,R02945,Lavandula x intermedia,0.0004
378,1.1.1.23,R01158,Brassica oleracea,18.05
379,1.1.1.23,R01158,Mycobacterium tuberculosis,1.45
380,1.1.1.23,R03012,Brassica oleracea,18.05
381,1.1.1.23,R03012,Mycobacterium tuberculosis,1.45
382,1.1.1.236,R06734,Datura stramonium,71.4
383,1.1.1.237,R01370,Wickerhamia fluorescens,90.5
384,1.1.1.237,R01371,Wickerhamia fluorescens,135.5
385,1.1.1.237,R03336,Wickerhamia fluorescens,52.0
386,1.1.1.237,R03338,Wickerhamia fluorescens,97.0
387,1.1.1.237,R03373,Wickerhamia fluorescens,31.0
388,1.1.1.239,R01836,Mesocricetus auratus,0.417
389,1.1.1.24,R01872,Corynebacterium glutamicum,61.9
390,1.1.1.240,R01202,Pseudomonas sp.,655.0
391,1.1.1.248,R04697,Papaver bracteatum,11.95
392,1.1.1.248,R04697,Papaver somniferum,1.306
393,1.1.1.25,R02413,Aquifex aeolicus,55.0
394,1.1.1.25,R02413,Arabidopsis thaliana,413.5
395,1.1.1.25,R02413,Corynebacterium glutamicum,118.0
396,1.1.1.25,R02413,Helicobacter pylori,7.4
397,1.1.1.25,R02413,Mycobacterium tuberculosis,49.0
398,1.1.1.25,R02413,Pseudomonas putida,31.2
399,1.1.1.25,R02413,Pseudomonas putida KT2440,5.8
400,1.1.1.25,R02413,Staphylococcus epidermidis RP62A,22.8
401,1.1.1.250,R07134,Thermotoga maritima,92.15
402,1.1.1.252,R02906,Magnaporthe grisea,0.38
403,1.1.1.26,R00717,Arabidopsis thaliana,13.0
404,1.1.1.26,R00717,Rhizobium etli,1.35
405,1.1.1.26,R01388,Rhizobium etli,0.25
406,1.1.1.261,R05679,Aeropyrum pernix,2.4
407,1.1.1.261,R05680,Aeropyrum pernix,1.675
408,1.1.1.262,R05681,Escherichia coli,1.4
409,1.1.1.262,R05837,Escherichia coli,1.4
410,1.1.1.263,R05682,Ensifer adhaerens,251.35
411,1.1.1.263,R05682,Sus scrofa,8.7
412,1.1.1.265,R05685,Saccharomyces cerevisiae,83.35
413,1.1.1.265,R05686,Saccharomyces cerevisiae,83.35
414,1.1.1.266,R05687,Aggregatibacter actinomycetemcomitans,43.5
415,1.1.1.267,R05688,Arabidopsis thaliana,3.0
416,1.1.1.267,R05688,Escherichia coli,31.0
417,1.1.1.267,R05688,Francisella tularensis,1.65
418,1.1.1.267,R05688,Mycobacterium tuberculosis,5.25
419,1.1.1.267,R05688,Synechocystis sp.,17.0
420,1.1.1.267,R05688,Thermotoga maritima,2.895
421,1.1.1.267,R05688,synthetic construct,13.7
422,1.1.1.268,R05689,Xanthobacter autotrophicus,29.0
423,1.1.1.268,R05689,Xanthobacter sp.,25.15
424,1.1.1.269,R05690,Xanthobacter autotrophicus,18.0
425,1.1.1.27,R00703,Anas platyrhynchos,105.45
426,1.1.1.27,R00703,Babesia bovis,216.7
427,1.1.1.27,R00703,Champsocephalus gunnari,230.0
428,1.1.1.27,R00703,Deinococcus radiodurans,884.0
429,1.1.1.27,R00703,Gallus gallus,31.65
430,1.1.1.27,R00703,Geobacillus stearothermophilus,141.0
431,1.1.1.27,R00703,Homarus americanus,2330.0
432,1.1.1.27,R00703,Lactobacillus helveticus,643.0
433,1.1.1.27,R00703,Plasmodium berghei,106.0
434,1.1.1.27,R00703,Plasmodium falciparum,95.0
435,1.1.1.27,R00703,Plasmodium malariae,81.665
436,1.1.1.27,R00703,Plasmodium ovale,145.85
437,1.1.1.27,R00703,Plasmodium vivax,69.515
438,1.1.1.27,R00703,Rhizopus delemar,226.0
439,1.1.1.27,R00703,Rhizopus oryzae NRRL 395,281.0
440,1.1.1.27,R00703,Thermus thermophilus,676.0
441,1.1.1.27,R01000,Anas platyrhynchos,6.9
442,1.1.1.27,R01000,Babesia bovis,216.7
443,1.1.1.27,R01000,Gallus gallus,31.65
444,1.1.1.27,R01000,Geobacillus stearothermophilus,32.0
445,1.1.1.27,R01000,Homarus americanus,2330.0
446,1.1.1.27,R01000,Plasmodium falciparum,80.0
447,1.1.1.27,R01000,Plasmodium malariae,81.665
448,1.1.1.27,R01000,Plasmodium ovale,145.85
449,1.1.1.27,R01000,Plasmodium vivax,69.515
450,1.1.1.27,R03104,Anas platyrhynchos,6.9
451,1.1.1.27,R03104,Babesia bovis,216.7
452,1.1.1.27,R03104,Gallus gallus,31.65
453,1.1.1.27,R03104,Geobacillus stearothermophilus,32.0
454,1.1.1.27,R03104,Homarus americanus,2330.0
455,1.1.1.27,R03104,Plasmodium falciparum,80.5
456,1.1.1.27,R03104,Plasmodium malariae,81.665
457,1.1.1.27,R03104,Plasmodium ovale,145.85
458,1.1.1.27,R03104,Plasmodium vivax,69.515
459,1.1.1.270,R04328,Oryctolagus cuniculus,0.73
460,1.1.1.270,R05691,Oryctolagus cuniculus,0.73
461,1.1.1.270,R07495,Oryctolagus cuniculus,0.73
462,1.1.1.271,R05692,Helicobacter pylori,0.75
463,1.1.1.271,R07059,Helicobacter pylori,0.75
464,1.1.1.274,R05823,Corynebacterium sp.,8.33
465,1.1.1.274,R08878,Corynebacterium sp.,8.33
466,1.1.1.28,R00704,Lactobacillus jensenii,6.35
467,1.1.1.28,R00704,Lactobacillus pentosus,320.5
468,1.1.1.28,R00704,Leuconostoc mesenteroides subsp. mesenteroides,15640.0
469,1.1.1.28,R00704,Limulus polyphemus,633.0
470,1.1.1.28,R00704,Pediococcus pentosaceus,320.0
471,1.1.1.282,R01872,Escherichia coli,0.105
472,1.1.1.282,R01872,Pseudomonas putida KT2440,55.7
473,1.1.1.282,R02413,Escherichia coli,0.091
474,1.1.1.282,R02413,Pseudomonas putida KT2440,55.7
475,1.1.1.282,R06846,Escherichia coli,0.0815
476,1.1.1.282,R06846,Pseudomonas putida KT2440,37.7
477,1.1.1.282,R06847,Escherichia coli,0.098
478,1.1.1.282,R06847,Pseudomonas putida KT2440,55.7
479,1.1.1.283,R07139,Synechococcus sp.,0.85
480,1.1.1.284,R06983,Arabidopsis thaliana,22.5
